"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"	"X..77"
"131"	"BOOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"132"	"I-       0                            ci5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"133"	"<(                                           ..J  <(    :::e"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"134"	">-                                  j     z  U)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"135"	"o"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"<(    z 11.          iij                0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"11.                                       ::c <(  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"NO                       <("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"=> m"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"::!: :i:      D:-   z           o >-           :::,        ::!:              z           :::e         ::c           w e            _"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"-          ::c       ::e :::,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"<(  ::c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"ca   <(                   z"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"144"	"> ::c       < o"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"w                           Cl)                                                \"iii t:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	":       :::e"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"147"	".:::"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"148"	",en                      en"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"149"	"::e         ::s                                ::c ID         Cl)                     en            Cl)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"150"	".... :::,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"....."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"152"	":           :i:     (!)  <!>         ...1 0        >- Cl)            O ct)         ::c           W  :::,              i   > z       <"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"w            :::e o      -  co"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"<(  ;;i:;                       ::c .:::>                         0                                                                                           :::,              :::,                                 O o.."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"v                                                                                                                    Cl)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"156"	"l             2               j                  4                5            6              7            8            9            10           11            12           }j                14           !:)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"157"	"65"	""	""	""	"15"	""	""	""	""	"176"	""	""	""	""	""	""	""	""	""	"141"	""	""	"99"	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	""	"5"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"12"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	"463"	""	""	""	""	""	""	""
"158"	"66"	""	""	""	"5"	""	""	""	""	"215"	""	""	""	""	""	""	""	""	""	"98"	""	""	"54"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	"383"	""	""	""	""	""	""	""
"159"	"67"	""	""	""	"11"	""	""	""	""	"93"	""	""	""	""	""	""	""	""	""	"203"	""	""	"30"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"8"	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	"348"	""	""	""	""	""	""	""
"160"	"68"	""	""	""	"15"	""	""	""	""	"228"	""	""	""	""	""	""	""	""	""	"161"	""	""	"138"	""	""	""	"3\""	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	"555"	""	""	""	""	""	""	""
"161"	"69"	""	""	""	"11"	""	""	""	""	"94"	""	""	""	""	""	""	""	""	""	"58"	""	""	"34"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	"202"	""	""	""	""	""	""	""
"162"	"70"	""	""	""	"13"	""	""	""	""	"197"	""	""	""	""	""	""	""	""	""	"255"	""	""	"32"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"5"	""	""	"519"	""	""	""	""	""	""	""
"163"	"71"	""	""	""	"11"	""	""	""	""	"119"	""	""	""	""	""	""	""	""	""	""	""	""	"304"	""	""	""	"10"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	"559"	""	""	""	""	""	""	""
"164"	"72"	""	""	""	"9"	""	""	""	""	"105"	""	""	""	""	""	""	""	""	""	"119"	""	""	"4"	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"238"	""	""	""	""	""	""	""
"165"	"73"	""	""	""	"10"	""	""	""	""	"171"	""	""	""	""	""	""	""	""	""	"80"	""	""	"89"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"4"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	"367"	""	""	""	""	""	""	""
"166"	"74"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"3"	""	""	"2"	""	""	""	"171"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	"183"	""	""	""	""	""	""	""
"167"	"75"	""	""	""	"5"	""	""	""	""	"25"	""	""	""	""	""	""	""	""	""	"3"	""	""	"15"	""	""	""	"230"	""	""	""	""	""	"7"	""	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	"293"	""	""	""	""	""	""	""
"168"	"76"	""	""	""	"3"	""	""	""	""	"101"	""	""	""	""	""	""	""	""	""	"53"	""	""	"7"	""	""	""	"214"	""	""	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	"388"	""	""	""	""	""	""	""
"169"	"77"	""	""	""	"12"	""	""	""	""	"32"	""	""	""	""	""	""	""	""	""	"102"	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"149"	""	""	""	""	""	""	""
"170"	"78"	""	""	""	"27"	""	""	""	""	"110"	""	""	""	""	""	""	""	""	""	"363"	""	""	"10"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"7"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	"522"	""	""	""	""	""	""	""
"171"	"79"	""	""	""	"8"	""	""	""	""	"13"	""	""	""	""	""	""	""	""	""	"411"	""	""	"3"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"435"	""	""	""	""	""	""	""
"172"	"80"	""	""	""	"10"	""	""	""	""	"180"	""	""	""	""	""	""	""	""	""	"61"	""	""	"40"	""	""	""	"10"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	"312"	""	""	""	""	""	""	""
"173"	"81"	""	""	""	"8"	""	""	""	""	"106"	""	""	""	""	""	""	""	""	""	"225"	""	""	"83"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	"432"	""	""	""	""	""	""	""
"174"	"82"	""	""	""	"18"	""	""	""	""	"57"	""	""	""	""	""	""	""	""	""	"435"	""	""	"16"	""	""	""	"30"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"559"	""	""	""	""	""	""	""
"175"	"83"	""	""	""	"7"	""	""	""	""	"76"	""	""	""	""	""	""	""	""	""	"55"	""	""	"50"	""	""	""	"19"	""	""	""	""	""	"4"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"67"	""	""	""	""	"2"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	"290"	""	""	""	""	""	""	""
"176"	"84"	""	""	""	"12"	""	""	""	""	"57"	""	""	""	""	""	""	""	""	""	"137"	""	""	"15"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"224"	""	""	""	""	""	""	""
"177"	"85                 12            49 ·."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"222"	""	""	"54"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"338"	""	""	""	""	""	""	""
"178"	"86"	""	""	""	"12"	""	""	""	""	"28"	""	""	""	""	""	""	"40"	""	""	""	""	""	"73"	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"160"	""	""	""	""	""	""	""
"179"	"87"	""	""	""	"2"	""	""	""	""	"7"	""	""	""	""	""	""	"84"	""	""	""	""	""	"116"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"1"	""	""	"220"	""	""	""	""	""	""	""
"180"	"88"	""	""	""	"7"	""	""	""	""	"192"	""	""	""	""	""	""	"210"	""	""	""	""	""	"26"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"5"	""	""	""	""	"0"	""	""	""	"22"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"465"	""	""	""	""	""	""	""
"181"	"89"	""	""	""	"1"	""	""	""	""	"30"	""	""	""	""	""	""	"3"	""	""	""	""	""	"159"	""	""	""	"5"	""	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"201"	""	""	""	""	""	""	""
"182"	"90"	""	""	""	"47"	""	""	""	""	"89"	""	""	""	""	""	""	"192"	""	""	""	""	""	"2"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	"342"	""	""	""	""	""	""	""
"183"	"91"	""	""	""	"9"	""	""	""	""	"52"	""	""	""	""	""	""	"133"	""	""	""	""	""	"8"	""	""	""	"0"	""	""	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	""	"3"	""	""	"217"	""	""	""	""	""	""	""
"184"	"92"	""	""	""	"31"	""	""	""	""	"16"	""	""	""	""	""	""	"185"	""	""	""	""	""	"6"	""	""	""	"0"	""	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	"258"	""	""	""	""	""	""	""
"185"	"93                 12            61           57           18            0       '   1             2             2            0             1             7             1            3           165"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"186"	"94"	""	""	""	"16"	""	""	""	""	""	""	""	"15"	""	""	""	"152"	""	""	""	""	""	"116"	""	""	""	"5"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	"313"	""	""	""	""	""	""	""
"187"	"95"	""	""	""	"29"	""	""	""	""	""	""	""	"70"	""	""	""	"118"	""	""	""	""	""	"73"	""	""	""	"7"	""	""	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	"313"	""	""	""	""	""	""	""
"188"	"96"	""	""	""	"43"	""	""	""	""	"."	""	""	"63"	""	""	""	"97"	""	""	""	""	""	"16"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	""	"3"	""	""	"226"	""	""	""	""	""	""	""
"189"	"97"	""	""	""	"7"	""	""	""	""	""	""	""	"10"	""	""	""	"130"	""	""	""	""	""	"8"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"157"	""	""	""	""	""	""	""
"190"	"98                 21             28           92           57            0             0             0             0            0             0             0             0            1           199"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"· 99                 39   .,,.,,     50         153            13            0             0             1             0            0             2             0             1            1           260"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"100        -
101"	""	""	""	". - 8
1"	""	""	""	""	"71
29"	""	""	""	""	""	""	"94
22"	""	""	""	""	""	"4
67"	""	""	""	"0
·o"	""	""	""	""	""	"0
1"	""	""	""	""	""	"0
0"	""	""	""	""	"0
3"	""	""	""	""	"1
32"	""	""	""	""	"0
4"	""	""	""	"0
2"	""	""	""	""	"0
1"	""	""	""	""	""	"1
1"	""	""	"179
163"	""	""	""	""	""	""	""
"193"	"102"	""	""	""	"5"	""	""	""	""	"147"	""	""	""	""	""	""	"36"	""	""	""	""	""	"227"	""	""	""	"5"	""	""	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"18"	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"7"	""	""	"452"	""	""	""	""	""	""	""
"194"	"103"	""	""	""	"10"	""	""	""	""	"178"	""	""	""	""	""	""	"15"	""	""	""	""	""	"257"	""	""	""	"2"	""	""	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"6"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	"0"	""	""	"474"	""	""	""	""	""	""	""
"195"	"104"	""	""	""	"2"	""	""	""	""	"17"	""	""	""	""	""	""	"209"	""	""	""	""	""	"104"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"337"	""	""	""	""	""	""	""
"196"	"105"	""	""	""	"7"	""	""	""	""	"121"	""	""	""	""	""	""	"25"	""	""	""	""	""	"18"	""	""	""	"ff"	""	""	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"3"	""	""	""	""	"2"	""	""	""	""	""	"5"	""	""	"195"	""	""	""	""	""	""	""
"197"	"106"	""	""	""	"12"	""	""	""	""	"33"	""	""	""	""	""	""	"87"	""	""	""	""	""	"16"	""	""	""	"0"	""	""	""	""	""	"2"	""	""	""	""	""	"67"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	"223"	""	""	""	""	""	""	""
"198"	"107"	""	""	""	"3"	""	""	""	""	"10"	""	""	""	""	""	""	"172"	""	""	""	""	""	"14"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"205"	""	""	""	""	""	""	""
"199"	"108"	""	""	""	"21"	""	""	""	""	"11"	""	""	""	""	""	""	"165"	""	""	""	""	""	"22"	""	""	""	"2"	""	""	""	""	""	"1"	""	""	""	""	""	"18"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	""	"2"	""	""	"251"	""	""	""	""	""	""	""
"200"	"109"	""	""	""	"11"	""	""	""	""	"27"	""	""	""	""	""	""	"73"	""	""	""	""	""	"80"	""	""	""	"2"	""	""	""	""	""	"0"	""	""	""	""	""	"4"	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"204"	""	""	""	""	""	""	""
"201"	"110"	""	""	""	"6"	""	""	""	""	"4"	""	""	""	""	""	""	"81"	""	""	""	""	""	"57"	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"6"	""	""	""	""	"0"	""	""	""	""	""	"0"	""	""	"162"	""	""	""	""	""	""	""
"202"	"111"	""	""	""	"4"	""	""	""	""	"42"	""	""	""	""	""	""	"30"	""	""	""	""	""	"174"	""	""	""	"13"	""	""	""	""	""	"3"	""	""	""	""	""	"8"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	""	"2"	""	""	"283"	""	""	""	""	""	""	""
