"TOTAL.NO.OF.ELECTORS.IN.88..GAIGHAT.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X234814"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"105"	"96"	"36"	"2"	"135"	"3"	"3"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"4"	"2"	"3"	"0"	"7"	"0"	"1"	"0"	"0"	"1"	"0"	""	"200"	""	""
"106"	"97"	"66"	"4"	"88"	"3"	"8"	"2"	"1"	"3"	"3"	"2"	"2"	"5"	"1"	"3"	"3"	"16"	"3"	"11"	"2"	"21"	"6"	"1"	"2"	"8"	""	"264"	""	""
"107"	"98"	"16"	"83"	"6"	"4"	"107"	"3"	"1"	"1"	"19"	"12"	"2"	"5"	"3"	"8"	"9"	"19"	"2"	"41"	"2"	"10"	"6"	"0"	"3"	"6"	""	"368"	""	""
"108"	"99"	"40"	"91"	"41"	"3"	"1"	"0"	"2"	"3"	"2"	"3"	"0"	"1"	"1"	"3"	"4"	"6"	"3"	"16"	"3"	"32"	"2"	"0"	"2"	"1"	""	"260"	""	""
"109"	"100"	"118"	"80"	"53"	"3"	"3"	"2"	"0"	"3"	"4"	"7"	"5"	"5"	"4"	"11"	"21"	"21"	"10"	"19"	"4"	"18"	"5"	"2"	"4"	"10"	""	"412"	""	""
"110"	"101"	"161"	"22"	"63"	"4"	"3"	"0"	"4"	"1"	"4"	"5"	"0"	"1"	"7"	"6"	"2"	"6"	"10"	"32"	"3"	"11"	"0"	"0"	"2"	"1"	""	"348"	""	""
"111"	"102"	"55"	"55"	"95"	"6"	"24"	"5"	"0"	"3"	"5"	"0"	"1"	"2"	"4"	"4"	"8"	"14"	"3"	"10"	"2"	"14"	"1"	"5"	"4"	"4"	""	"324"	""	""
"112"	"103"	"148"	"39"	"34"	"1"	"34"	"4"	"3"	"3"	"4"	"2"	"2"	"1"	"2"	"1"	"3"	"8"	"6"	"5"	"0"	"14"	"1"	"1"	"3"	"5"	""	"324"	""	""
"113"	"104"	"5"	"30"	"27"	"0"	"5"	"0"	"1"	"1"	"1"	"1"	"1"	"2"	"0"	"0"	"2"	"6"	"0"	"1"	"0"	"38"	"3"	"0"	"0"	"1"	""	"125"	""	""
"114"	"105"	"64"	"64"	"4"	"1"	"3"	"2"	"1"	"1"	"1"	"1"	"0"	"3"	"2"	"7"	"6"	"10"	"4"	"0"	"1"	"3"	"3"	"1"	"1"	"6"	""	"189"	""	""
"115"	"106"	"25"	"70"	"110"	"11"	"22"	"5"	"10"	"30"	"12"	"17"	"6"	"7"	"7"	"10"	"11"	"24"	"1"	"38"	"3"	"28"	"2"	"4"	"3"	"4"	""	"460"	""	""
"116"	"107"	"11"	"118"	"47"	"4"	"6"	"1"	"2"	"1"	"2"	"2"	"1"	"3"	"1"	"2"	"4"	"5"	"4"	"21"	"3"	"13"	"2"	"3"	"8"	"9"	""	"273"	""	""
"117"	"108"	"50"	"122"	"67"	"7"	"9"	"9"	"5"	"4"	"6"	"18"	"3"	"4"	"3"	"4"	"4"	"16"	"1"	"47"	"3"	"9"	"0"	"1"	"3"	"2"	""	"397"	""	""
"118"	"109"	"21"	"99"	"24"	"2"	"25"	"5"	"4"	"2"	"8"	"8"	"1"	"0"	"2"	"2"	"2"	"1"	"7"	"20"	"2"	"15"	"3"	"1"	"2"	"5"	""	"261"	""	""
"119"	"110"	"91"	"227"	"30"	"6"	"12"	"2"	"1"	"5"	"5"	"1"	"2"	"3"	"2"	"3"	"6"	"8"	"8"	"23"	"6"	"28"	"0"	"3"	"1"	"5"	""	"478"	""	""
"120"	"TOTAL NO OF ELECTORS IN 88- GAIGHAT ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"234814"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"121"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR HUSSAN"	""	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"122"	"111"	"27"	"47"	"81"	"39"	"9"	"4"	"1"	"3"	"3"	"3"	"2"	"6"	"2"	"4"	"3"	"11"	"3"	"6"	"0"	"16"	"2"	"1"	"0"	"0"	""	"273"	""	""
"123"	"112"	"180"	"76"	"53"	"28"	"3"	"4"	"5"	"6"	"2"	"12"	"5"	"6"	"4"	"17"	"12"	"7"	"14"	"40"	"3"	"28"	"3"	"7"	"7"	"8"	""	"530"	""	""
"124"	"113"	"44"	"7"	"182"	"2"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"8"	"12"	"1"	"17"	"1"	"1"	"0"	"0"	""	"282"	""	""
"125"	"114"	"83"	"37"	"53"	"19"	"1"	"1"	"3"	"2"	"6"	"13"	"1"	"0"	"2"	"3"	"6"	"9"	"2"	"11"	"2"	"1"	"1"	"0"	"1"	"1"	""	"258"	""	""
"126"	"115"	"24"	"0"	"192"	"2"	"3"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"6"	"3"	"4"	"8"	"0"	"0"	"3"	"2"	"0"	""	"254"	""	""
"127"	"116"	"97"	"164"	"48"	"8"	"7"	"2"	"6"	"5"	"21"	"12"	"1"	"7"	"8"	"20"	"22"	"27"	"9"	"22"	"5"	"93"	"6"	"7"	"2"	"10"	""	"609"	""	""
"128"	"117"	"225"	"191"	"7"	"6"	"9"	"4"	"3"	"0"	"2"	"1"	"1"	"0"	"0"	"2"	"2"	"4"	"3"	"5"	"1"	"2"	"0"	"1"	"1"	"2"	""	"472"	""	""
"129"	"118"	"73"	"218"	"29"	"3"	"5"	"5"	"2"	"1"	"9"	"6"	"3"	"5"	"2"	"7"	"15"	"25"	"7"	"23"	"3"	"18"	"4"	"2"	"9"	"7"	""	"481"	""	""
"130"	"119"	"82"	"40"	"179"	"10"	"6"	"3"	"0"	"3"	"1"	"3"	"3"	"5"	"5"	"15"	"14"	"10"	"8"	"5"	"5"	"86"	"2"	"1"	"6"	"6"	""	"498"	""	""
"131"	"120"	"5"	"29"	"109"	"1"	"0"	"2"	"0"	"3"	"1"	"1"	"2"	"1"	"1"	"6"	"1"	"5"	"2"	"0"	"3"	"6"	"1"	"2"	"1"	"3"	""	"185"	""	""
"132"	"121"	"15"	"158"	"18"	"1"	"17"	"2"	"1"	"1"	"2"	"3"	"1"	"1"	"1"	"3"	"6"	"5"	"0"	"9"	"2"	"20"	"1"	"0"	"0"	"1"	""	"268"	""	""
"133"	"122"	"27"	"194"	"11"	"8"	"13"	"3"	"2"	"1"	"2"	"4"	"1"	"2"	"1"	"1"	"6"	"3"	"2"	"6"	"0"	"34"	"1"	"0"	"0"	"0"	""	"322"	""	""
"134"	"123"	"29"	"58"	"18"	"11"	"10"	"2"	"1"	"4"	"1"	"5"	"1"	"6"	"3"	"7"	"14"	"11"	"2"	"2"	"0"	"97"	"1"	"0"	"2"	"8"	""	"293"	""	""
"135"	"124"	"32"	"122"	"15"	"12"	"6"	"3"	"8"	"4"	"6"	"4"	"5"	"5"	"7"	"5"	"15"	"6"	"5"	"13"	"5"	"43"	"4"	"3"	"5"	"9"	""	"342"	""	""
"136"	"125"	"212"	"313"	"27"	"16"	"15"	"8"	"3"	"1"	"3"	"2"	"0"	"0"	"3"	"3"	"4"	"12"	"6"	"13"	"2"	"45"	"1"	"0"	"9"	"4"	""	"702"	""	""
"137"	"126"	"92"	"169"	"35"	"3"	"1"	"2"	"2"	"1"	"1"	"2"	"0"	"0"	"1"	"1"	"2"	"1"	"4"	"25"	"3"	"20"	"1"	"1"	"1"	"1"	""	"369"	""	""
"138"	"127"	"49"	"184"	"66"	"2"	"2"	"6"	"5"	"3"	"2"	"8"	"4"	"2"	"2"	"3"	"7"	"5"	"2"	"11"	"0"	"14"	"0"	"1"	"1"	"1"	""	"380"	""	""
"139"	"128"	"123"	"60"	"68"	"3"	"0"	"2"	"1"	"1"	"1"	"2"	"1"	"0"	"1"	"4"	"3"	"13"	"8"	"6"	"3"	"6"	"0"	"0"	"2"	"4"	""	"312"	""	""
"140"	"129"	"67"	"29"	"120"	"2"	"3"	"2"	"0"	"3"	"4"	"1"	"0"	"2"	"1"	"10"	"5"	"9"	"2"	"2"	"1"	"71"	"1"	"0"	"0"	"3"	""	"338"	""	""
"141"	"130"	"56"	"85"	"36"	"6"	"5"	"1"	"3"	"4"	"5"	"2"	"3"	"6"	"7"	"10"	"7"	"18"	"11"	"7"	"2"	"49"	"6"	"1"	"4"	"11"	""	"345"	""	""
"142"	"131"	"157"	"219"	"8"	"3"	"18"	"3"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"4"	"3"	"4"	"10"	"3"	"7"	"0"	"0"	"1"	"0"	""	"444"	""	""
"143"	"132"	"193"	"101"	"18"	"7"	"1"	"1"	"1"	"5"	"1"	"1"	"3"	"3"	"5"	"6"	"10"	"16"	"10"	"3"	"1"	"10"	"1"	"0"	"1"	"5"	""	"403"	""	""
"144"	"TOTAL NO OF ELECTORS IN 88- GAIGHAT ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"234814"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR HUSSAN"	""	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"146"	"133"	"152"	"13"	"15"	"2"	"1"	"2"	"3"	"2"	"1"	"3"	"2"	"0"	"0"	"4"	"2"	"2"	"4"	"67"	"2"	"3"	"0"	"0"	"0"	"1"	""	"281"	""	""
"147"	"134"	"300"	"98"	"55"	"9"	"6"	"3"	"5"	"3"	"5"	"2"	"2"	"4"	"1"	"11"	"7"	"22"	"9"	"19"	"3"	"26"	"1"	"1"	"1"	"8"	""	"601"	""	""
"148"	"135"	"258"	"106"	"79"	"19"	"1"	"6"	"5"	"4"	"5"	"6"	"2"	"2"	"5"	"9"	"7"	"21"	"4"	"11"	"1"	"38"	"0"	"0"	"1"	"1"	""	"591"	""	""
"149"	"136"	"356"	"84"	"1"	"0"	"0"	"0"	"2"	"2"	"0"	"2"	"0"	"2"	"0"	"3"	"6"	"11"	"15"	"9"	"1"	"1"	"0"	"0"	"2"	"1"	""	"498"	""	""
"150"	"137"	"188"	"82"	"52"	"8"	"2"	"5"	"2"	"2"	"6"	"7"	"2"	"3"	"3"	"6"	"8"	"28"	"8"	"10"	"7"	"16"	"2"	"1"	"4"	"10"	""	"462"	""	""
"151"	"138"	"114"	"82"	"16"	"1"	"2"	"4"	"4"	"3"	"2"	"13"	"5"	"3"	"4"	"8"	"1"	"15"	"2"	"18"	"2"	"5"	"1"	"0"	"0"	"3"	""	"308"	""	""
"152"	"139"	"112"	"105"	"22"	"5"	"2"	"0"	"7"	"2"	"8"	"19"	"4"	"2"	"5"	"9"	"8"	"22"	"13"	"67"	"3"	"9"	"3"	"3"	"5"	"11"	""	"446"	""	""
"153"	"140"	"124"	"67"	"4"	"4"	"0"	"2"	"0"	"1"	"4"	"12"	"0"	"0"	"0"	"5"	"4"	"6"	"10"	"51"	"1"	"6"	"0"	"1"	"1"	"0"	""	"303"	""	""
"154"	"141"	"171"	"13"	"10"	"3"	"2"	"2"	"0"	"2"	"3"	"11"	"1"	"0"	"0"	"2"	"1"	"5"	"20"	"156"	"5"	"17"	"0"	"3"	"3"	"1"	""	"431"	""	""
"155"	"142"	"76"	"98"	"75"	"2"	"2"	"2"	"4"	"4"	"2"	"7"	"5"	"1"	"0"	"2"	"2"	"1"	"9"	"132"	"3"	"11"	"2"	"1"	"5"	"5"	""	"451"	""	""
"156"	"143"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""
"157"	"144"	"199"	"46"	"3"	"1"	"1"	"1"	"1"	"0"	"2"	"4"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"36"	"0"	"11"	"0"	"1"	"0"	"1"	""	"312"	""	""
"158"	"145"	"189"	"171"	"44"	"4"	"2"	"5"	"2"	"5"	"8"	"7"	"2"	"4"	"6"	"15"	"18"	"35"	"22"	"29"	"1"	"42"	"3"	"5"	"10"	"18"	""	"647"	""	""
"159"	"146"	"134"	"10"	"350"	"7"	"3"	"0"	"3"	"2"	"5"	"3"	"0"	"2"	"3"	"12"	"5"	"13"	"6"	"28"	"4"	"7"	"1"	"2"	"3"	"12"	""	"615"	""	""
"160"	"147"	"74"	"132"	"4"	"2"	"2"	"0"	"4"	"6"	"7"	"10"	"2"	"3"	"1"	"7"	"16"	"31"	"10"	"39"	"1"	"15"	"2"	"3"	"1"	"12"	""	"384"	""	""
"161"	"148"	"168"	"133"	"5"	"15"	"2"	"0"	"3"	"2"	"3"	"5"	"2"	"2"	"1"	"4"	"8"	"13"	"10"	"19"	"1"	"20"	"1"	"2"	"2"	"2"	""	"423"	""	""
"162"	"149"	"119"	"139"	"13"	"2"	"3"	"3"	"1"	"3"	"7"	"10"	"5"	"4"	"5"	"7"	"14"	"14"	"10"	"45"	"1"	"3"	"4"	"0"	"5"	"2"	""	"419"	""	""
"163"	"150"	"96"	"44"	"77"	"3"	"0"	"0"	"2"	"2"	"3"	"1"	"1"	"1"	"37"	"4"	"2"	"6"	"2"	"21"	"1"	"0"	"0"	"1"	"0"	"2"	""	"306"	""	""
"164"	"151"	"281"	"30"	"21"	"3"	"3"	"0"	"1"	"3"	"3"	"1"	"0"	"0"	"0"	"2"	"2"	"1"	"6"	"47"	"0"	"8"	"0"	"0"	"0"	"0"	""	"412"	""	""
"165"	"152"	"156"	"21"	"39"	"11"	"0"	"0"	"0"	"1"	"1"	"6"	"2"	"1"	"116"	"2"	"1"	"2"	"11"	"66"	"1"	"2"	"0"	"1"	"4"	"0"	""	"444"	""	""
"166"	"153"	"293"	"69"	"2"	"8"	"3"	"4"	"3"	"6"	"8"	"1"	"2"	"1"	"7"	"12"	"2"	"43"	"9"	"2"	"2"	"3"	"1"	"1"	"2"	"5"	""	"489"	""	""
"167"	"154"	"128"	"68"	"61"	"10"	"5"	"4"	"2"	"11"	"6"	"3"	"8"	"9"	"193"	"14"	"18"	"22"	"4"	"1"	"4"	"42"	"2"	"6"	"3"	"7"	""	"631"	""	""
"168"	"TOTAL NO OF ELECTORS IN 88- GAIGHAT ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"234814"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR HUSSAN"	""	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"170"	"155"	"137"	"260"	"31"	"3"	"4"	"6"	"5"	"3"	"6"	"9"	"5"	"2"	"31"	"11"	"12"	"27"	"25"	"44"	"7"	"27"	"9"	"8"	"8"	"13"	""	"693"	""	""
"171"	"156"	"139"	"122"	"75"	"4"	"2"	"4"	"3"	"5"	"4"	"5"	"0"	"1"	"6"	"14"	"9"	"17"	"4"	"10"	"2"	"7"	"1"	"1"	"4"	"3"	""	"442"	""	""
"172"	"157"	"285"	"78"	"27"	"5"	"15"	"5"	"3"	"5"	"14"	"8"	"3"	"0"	"7"	"11"	"11"	"28"	"2"	"7"	"1"	"43"	"0"	"1"	"1"	"2"	""	"562"	""	""
"173"	"158"	"108"	"69"	"40"	"2"	"1"	"2"	"3"	"1"	"0"	"4"	"1"	"6"	"6"	"4"	"2"	"16"	"17"	"8"	"6"	"9"	"0"	"1"	"4"	"4"	""	"314"	""	""
"174"	"159"	"156"	"88"	"12"	"8"	"1"	"4"	"0"	"1"	"4"	"2"	"1"	"3"	"12"	"5"	"13"	"13"	"3"	"2"	"0"	"2"	"0"	"0"	"2"	"1"	""	"333"	""	""
"175"	"160"	"100"	"41"	"15"	"1"	"2"	"2"	"1"	"0"	"1"	"2"	"1"	"2"	"8"	"1"	"0"	"1"	"4"	"8"	"2"	"4"	"0"	"1"	"2"	"2"	""	"201"	""	""
"176"	"161"	"79"	"58"	"6"	"4"	"0"	"3"	"1"	"2"	"0"	"0"	"1"	"1"	"1"	"4"	"4"	"3"	"5"	"16"	"4"	"12"	"1"	"0"	"3"	"5"	""	"213"	""	""
"177"	"162"	"48"	"35"	"16"	"0"	"2"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"4"	"4"	"1"	"2"	"11"	"4"	"1"	"19"	"1"	"0"	"1"	"2"	""	"155"	""	""
"178"	"163"	"85"	"76"	"60"	"14"	"3"	"5"	"1"	"5"	"9"	"7"	"2"	"0"	"6"	"6"	"4"	"5"	"4"	"47"	"1"	"17"	"0"	"1"	"2"	"1"	""	"361"	""	""
"179"	"164"	"235"	"145"	"4"	"1"	"1"	"5"	"1"	"0"	"2"	"2"	"0"	"4"	"2"	"4"	"5"	"10"	"19"	"25"	"8"	"42"	"4"	"7"	"10"	"6"	""	"542"	""	""
"180"	"165"	"194"	"99"	"12"	"0"	"0"	"0"	"2"	"0"	"2"	"4"	"1"	"4"	"2"	"2"	"6"	"5"	"5"	"14"	"0"	"44"	"0"	"0"	"2"	"0"	""	"398"	""	""
"181"	"166"	"116"	"89"	"5"	"1"	"1"	"3"	"3"	"3"	"3"	"1"	"2"	"3"	"1"	"0"	"3"	"11"	"3"	"8"	"0"	"53"	"0"	"1"	"0"	"3"	""	"313"	""	""
"182"	"167"	"96"	"85"	"3"	"2"	"1"	"3"	"1"	"0"	"1"	"5"	"2"	"1"	"1"	"4"	"3"	"8"	"20"	"35"	"3"	"13"	"4"	"1"	"8"	"10"	""	"310"	""	""
"183"	"168"	"75"	"143"	"15"	"7"	"1"	"3"	"3"	"1"	"3"	"8"	"2"	"2"	"3"	"8"	"3"	"11"	"0"	"6"	"1"	"11"	"0"	"0"	"1"	"7"	""	"314"	""	""
"184"	"169"	"216"	"4"	"34"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"3"	"0"	"3"	"1"	"0"	"1"	"1"	"0"	""	"272"	""	""
"185"	"170"	"30"	"230"	"22"	"13"	"7"	"3"	"3"	"2"	"4"	"4"	"0"	"1"	"2"	"2"	"1"	"2"	"4"	"19"	"2"	"6"	"2"	"1"	"2"	"6"	""	"368"	""	""
"186"	"171"	"113"	"115"	"1"	"9"	"0"	"17"	"2"	"3"	"4"	"5"	"2"	"5"	"6"	"11"	"19"	"28"	"5"	"2"	"3"	"6"	"1"	"1"	"6"	"8"	""	"372"	""	""
"187"	"172"	"150"	"54"	"75"	"13"	"19"	"2"	"5"	"4"	"4"	"5"	"2"	"1"	"1"	"11"	"5"	"4"	"2"	"8"	"3"	"20"	"3"	"2"	"2"	"3"	""	"398"	""	""
"188"	"173"	"116"	"174"	"16"	"4"	"17"	"4"	"1"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"1"	"2"	"8"	"5"	"0"	"23"	"2"	"3"	"2"	"2"	""	"386"	""	""
"189"	"174"	"266"	"51"	"104"	"34"	"12"	"3"	"4"	"4"	"6"	"3"	"2"	"3"	"3"	"6"	"11"	"29"	"27"	"13"	"8"	"62"	"5"	"3"	"7"	"12"	""	"678"	""	""
"190"	"175"	"222"	"100"	"13"	"6"	"13"	"2"	"3"	"3"	"7"	"5"	"2"	"5"	"7"	"15"	"6"	"22"	"8"	"5"	"0"	"16"	"2"	"0"	"1"	"0"	""	"463"	""	""
"191"	"176"	"147"	"10"	"60"	"10"	"21"	"4"	"0"	"3"	"6"	"2"	"1"	"1"	"1"	"13"	"2"	"18"	"15"	"7"	"5"	"28"	"1"	"2"	"2"	"6"	""	"365"	""	""
"192"	"TOTAL NO OF ELECTORS IN 88- GAIGHAT ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	"234814"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"PS NO"	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR HUSSAN"	""	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"
"194"	"177"	"134"	"123"	"19"	"11"	"51"	"4"	"5"	"2"	"6"	"5"	"0"	"2"	"2"	"10"	"14"	"16"	"9"	"17"	"5"	"8"	"4"	"4"	"3"	"8"	""	"462"	""	""
"195"	"178"	"240"	"99"	"5"	"6"	"36"	"2"	"0"	"3"	"4"	"4"	"1"	"0"	"0"	"2"	"0"	"1"	"2"	"5"	"2"	"3"	"0"	"3"	"0"	"0"	""	"418"	""	""
"196"	"179"	"25"	"62"	"6"	"7"	"2"	"1"	"0"	"4"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"5"	"1"	"2"	"0"	"2"	"0"	"0"	"2"	"3"	""	"126"	""	""
"197"	"180"	"68"	"243"	"8"	"23"	"8"	"4"	"6"	"4"	"1"	"5"	"4"	"3"	"2"	"15"	"19"	"23"	"6"	"14"	"2"	"4"	"3"	"1"	"1"	"7"	""	"474"	""	""
"198"	"181"	"8"	"344"	"1"	"49"	"3"	"2"	"1"	"2"	"1"	"2"	"2"	"3"	"4"	"2"	"10"	"7"	"0"	"4"	"0"	"1"	"0"	"0"	"1"	"0"	""	"447"	""	""
"199"	"182"	"58"	"237"	"18"	"11"	"6"	"4"	"4"	"3"	"3"	"7"	"4"	"2"	"1"	"5"	"15"	"7"	"8"	"18"	"2"	"11"	"0"	"0"	"1"	"2"	""	"427"	""	""
"200"	"183"	"15"	"233"	"18"	"5"	"52"	"8"	"2"	"2"	"5"	"4"	"0"	"1"	"2"	"1"	"9"	"3"	"1"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	""	"367"	""	""
"201"	"184"	"27"	"57"	"14"	"4"	"114"	"2"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"11"	"0"	"0"	"1"	"0"	""	"235"	""	""
"202"	"185"	"58"	"339"	"15"	"9"	"6"	"5"	"5"	"2"	"0"	"6"	"0"	"4"	"4"	"8"	"10"	"16"	"10"	"19"	"2"	"11"	"2"	"2"	"1"	"5"	""	"539"	""	""
"203"	"186"	"26"	"112"	"37"	"6"	"0"	"2"	"0"	"1"	"0"	"2"	"3"	"1"	"0"	"3"	"2"	"10"	"6"	"18"	"2"	"7"	"2"	"1"	"1"	"7"	""	"249"	""	""
"204"	"187"	"216"	"157"	"24"	"5"	"7"	"12"	"3"	"2"	"6"	"8"	"5"	"4"	"3"	"9"	"14"	"30"	"43"	"41"	"8"	"47"	"8"	"10"	"10"	"23"	""	"695"	""	""
"205"	"188"	"188"	"110"	"80"	"6"	"6"	"4"	"1"	"2"	"8"	"2"	"2"	"3"	"1"	"9"	"9"	"14"	"18"	"29"	"3"	"26"	"5"	"3"	"9"	"22"	""	"560"	""	""
"206"	"189"	"61"	"47"	"91"	"14"	"4"	"1"	"2"	"4"	"6"	"1"	"0"	"6"	"1"	"8"	"3"	"8"	"7"	"23"	"0"	"20"	"2"	"0"	"0"	"1"	""	"310"	""	""
"207"	"190"	"117"	"149"	"37"	"28"	"4"	"3"	"8"	"9"	"27"	"24"	"3"	"5"	"6"	"11"	"13"	"31"	"2"	"56"	"1"	"11"	"0"	"3"	"3"	"14"	""	"565"	""	""
"208"	"191"	"238"	"170"	"66"	"5"	"7"	"3"	"7"	"3"	"4"	"2"	"1"	"4"	"2"	"9"	"3"	"4"	"18"	"16"	"5"	"32"	"4"	"2"	"8"	"5"	""	"618"	""	""
"209"	"192"	"214"	"99"	"76"	"4"	"3"	"6"	"3"	"8"	"6"	"3"	"1"	"3"	"4"	"11"	"8"	"24"	"21"	"18"	"10"	"14"	"3"	"4"	"4"	"11"	""	"558"	""	""
"210"	"193"	"221"	"29"	"97"	"24"	"12"	"5"	"5"	"2"	"10"	"24"	"7"	"6"	"7"	"12"	"5"	"15"	"3"	"36"	"0"	"1"	"0"	"0"	"2"	"1"	""	"524"	""	""
"211"	"194"	"126"	"146"	"115"	"17"	"3"	"3"	"4"	"1"	"0"	"7"	"2"	"0"	"2"	"11"	"7"	"26"	"7"	"36"	"9"	"49"	"2"	"2"	"4"	"4"	""	"583"	""	""
"212"	"195"	"35"	"85"	"29"	"1"	"4"	"0"	"1"	"3"	"2"	"18"	"5"	"2"	"3"	"3"	"5"	"9"	"16"	"231"	"11"	"31"	"8"	"3"	"6"	"29"	""	"540"	""	""
"213"	"196"	"215"	"44"	"30"	"7"	"18"	"2"	"4"	"6"	"9"	"9"	"5"	"10"	"12"	"23"	"25"	"47"	"9"	"13"	"2"	"79"	"2"	"5"	"7"	"12"	""	"595"	""	""
