"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendered.votes"
"178"	"154"	"154"	"49"	"18"	"31"	"110"	"8"	"10"	"1"	"1"	"5"	"3"	"1"	"13"	"250"	"0"	"250"	""
"179"	"155"	"155"	"96"	"73"	"9"	"173"	"14"	"10"	"0"	"2"	"1"	"5"	"6"	"2"	"391"	"0"	"391"	""
"180"	"156"	"156"	"194"	"18"	"76"	"124"	"8"	"4"	"3"	"1"	"2"	"2"	"2"	"11"	"445"	"0"	"445"	""
"181"	"157"	"157"	"128"	"130"	"11"	"133"	"22"	"10"	"2"	"2"	"5"	"1"	"6"	"20"	"470"	"0"	"470"	""
"182"	"158"	"158"	"98"	"117"	"25"	"92"	"12"	"11"	"5"	"3"	"7"	"2"	"4"	"20"	"396"	"0"	"396"	""
"183"	"159"	"159"	"42"	"29"	"2"	"2"	"11"	"0"	"1"	"2"	"1"	"0"	"2"	"1"	"93"	"0"	"93"	""
"184"	"160"	"160"	"25"	"68"	"0"	"79"	"8"	"8"	"0"	"2"	"2"	"3"	"3"	"2"	"200"	"0"	"200"	""
"185"	"161"	"161"	"119"	"3"	"2"	"15"	"3"	"0"	"2"	"2"	"0"	"0"	"0"	"2"	"148"	"0"	"148"	""
"186"	"162"	"162"	"88"	"180"	"11"	"138"	"15"	"7"	"3"	"4"	"9"	"2"	"2"	"9"	"468"	"0"	"468"	""
"187"	"163"	"163"	"75"	"38"	"8"	"80"	"12"	"4"	"0"	"0"	"3"	"0"	"1"	"3"	"224"	"0"	"224"	""
"188"	"164"	"164"	"70"	"40"	"6"	"196"	"33"	"4"	"2"	"3"	"10"	"9"	"3"	"16"	"392"	"0"	"392"	""
"189"	"165"	"165"	"150"	"102"	"34"	"117"	"27"	"4"	"2"	"1"	"0"	"1"	"3"	"1"	"442"	"0"	"442"	""
"190"	"166"	"166"	"82"	"154"	"14"	"146"	"83"	"7"	"10"	"2"	"2"	"3"	"2"	"5"	"510"	"0"	"510"	""
"191"	"167"	"167"	"128"	"87"	"14"	"238"	"81"	"8"	"7"	"3"	"3"	"3"	"9"	"14"	"595"	"0"	"595"	""
"192"	"168"	"168"	"33"	"88"	"7"	"362"	"36"	"14"	"8"	"4"	"4"	"4"	"6"	"17"	"583"	"0"	"583"	""
"193"	"169"	"169"	"114"	"72"	"118"	"116"	"12"	"7"	"3"	"5"	"1"	"0"	"3"	"7"	"458"	"0"	"458"	""
"194"	"170"	"170"	"154"	"101"	"40"	"69"	"4"	"3"	"2"	"2"	"3"	"6"	"7"	"13"	"404"	"0"	"404"	""
"195"	"171"	"171"	"55"	"45"	"5"	"240"	"11"	"4"	"3"	"3"	"2"	"1"	"3"	"14"	"386"	"0"	"386"	""
"196"	"172"	"172"	"25"	"57"	"10"	"126"	"8"	"3"	"1"	"1"	"1"	"1"	"1"	"2"	"236"	"0"	"236"	""
"197"	"173"	"173"	"60"	"137"	"9"	"94"	"2"	"6"	"1"	"3"	"2"	"0"	"0"	"1"	"315"	"0"	"315"	""
"198"	"174"	"174"	"27"	"68"	"8"	"188"	"15"	"4"	"3"	"2"	"5"	"3"	"3"	"16"	"342"	"0"	"342"	""
"199"	"175"	"175"	"56"	"101"	"5"	"229"	"8"	"5"	"2"	"3"	"4"	"2"	"5"	"7"	"427"	"0"	"427"	""
"200"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"201"	""	""	"AKHILES H PRASAD
SINGH"	"ARVIND KUMAR GUPTA"	"GAGAND EO YADAV"	"RADHA MOHAN SINGH"	"RAM CHANDRA PRASAD"	"UMESH KUMAR SINGH"	"NAGENDRA SAHANI"	"SURESH KUMAR RAJAK"	"SURESH KUMAR RAI"	"JHAGAR U MAHATO"	"PARASN ATHPAN DEY"	"MD. MURTUJ A
ANSARI"	""	""	""	""
"202"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"17"	"18"	"19"	"20"
"203"	"176"	"176"	"38"	"22"	"2"	"238"	"10"	"4"	"0"	"1"	"1"	"2"	"1"	"3"	"322"	"0"	"322"	""
"204"	"Total No. of votes recording at polling Stations"	""	"18511"	"9689"	"1825"	"30466"	"2942"	"1060"	"1515"	"349"	"595"	"412"	"709"	"1607"	"69680"	"0"	"69680"	""
"205"	"No. of votes recorded on postal ballot papers"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"206"	"Total Votes polled"	""	"18511"	"9689"	"1825"	"30466"	"2942"	"1060"	"1515"	"349"	"595"	"412"	"709"	"1607"	"69680"	"0"	"69680"	""
"207"	"Place :       MOTIHARI                                                                                                                                                                                                                                  Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"Date  :   16/05/2009                                                                                                                                                                                                                                                016-Kalyanpur"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
