"Candidate.s.Name...........BOTH.NO.."	"No..of.valid.votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"Total.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.tendered.votes"
"133"	"119"	"25"	"7"	"4"	"48"	"104"	"6"	"0"	"2"	"1"	"0"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	""	"205"	""
"134"	"120"	"8"	"0"	"4"	"175"	"176"	"5"	"2"	"0"	"0"	"1"	"12"	"2"	"1"	"1"	"2"	"0"	"3"	"0"	"1"	"393"	""	"393"	""
"135"	"Candidate s
Name
-------->
BOTH NO
|"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"136"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"137"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"138"	"121"	"11"	"5"	"11"	"82"	"157"	"7"	"0"	"3"	"1"	"1"	"22"	"3"	"5"	"0"	"3"	"8"	"6"	"3"	"5"	"333"	""	"333"	""
"139"	"122"	"137"	"36"	"3"	"181"	"82"	"14"	"2"	"4"	"3"	"2"	"55"	"3"	"1"	"0"	"0"	"6"	"6"	"0"	"7"	"542"	""	"542"	""
"140"	"123"	"7"	"5"	"1"	"508"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"529"	""	"529"	""
"141"	"124"	"86"	"7"	"1"	"199"	"82"	"7"	"2"	"1"	"1"	"0"	"24"	"0"	"6"	"0"	"1"	"1"	"3"	"8"	"3"	"432"	""	"432"	""
"142"	"125"	"16"	"17"	"3"	"239"	"83"	"4"	"0"	"0"	"0"	"0"	"36"	"4"	"6"	"0"	"3"	"4"	"2"	"0"	"0"	"417"	""	"417"	""
"143"	"126"	"68"	"18"	"0"	"313"	"58"	"7"	"0"	"1"	"2"	"2"	"63"	"3"	"2"	"1"	"1"	"0"	"1"	"3"	"0"	"543"	""	"543"	""
"144"	"127"	"32"	"3"	"1"	"216"	"31"	"7"	"1"	"0"	"1"	"2"	"38"	"1"	"1"	"1"	"0"	"4"	"1"	"0"	"0"	"340"	""	"340"	""
"145"	"128"	"40"	"4"	"28"	"135"	"15"	"7"	"1"	"4"	"0"	"1"	"27"	"2"	"2"	"0"	"1"	"6"	"6"	"10"	"2"	"291"	""	"291"	""
"146"	"129"	"12"	"7"	"1"	"160"	"209"	"5"	"1"	"0"	"0"	"0"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"414"	""	"414"	""
"147"	"130"	"19"	"5"	"2"	"111"	"212"	"3"	"1"	"0"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"363"	""	"363"	""
"148"	"131"	"12"	"9"	"2"	"183"	"271"	"4"	"0"	"0"	"1"	"1"	"40"	"1"	"3"	"0"	"0"	"1"	"2"	"0"	"0"	"530"	""	"530"	""
"149"	"132"	"51"	"5"	"5"	"196"	"61"	"3"	"2"	"1"	"3"	"0"	"42"	"5"	"4"	"0"	"2"	"1"	"1"	"1"	"2"	"385"	""	"385"	""
"150"	"133"	"10"	"29"	"4"	"118"	"100"	"4"	"2"	"2"	"2"	"4"	"23"	"3"	"3"	"1"	"2"	"4"	"1"	"1"	"2"	"315"	""	"315"	""
"151"	"134"	"8"	"26"	"3"	"177"	"50"	"3"	"4"	"4"	"4"	"2"	"32"	"2"	"9"	"2"	"3"	"4"	"5"	"0"	"3"	"341"	""	"341"	""
"152"	"135"	"16"	"10"	"1"	"119"	"51"	"2"	"0"	"0"	"2"	"0"	"23"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"231"	""	"231"	""
"153"	"136"	"28"	"69"	"5"	"68"	"15"	"5"	"4"	"0"	"7"	"4"	"63"	"4"	"3"	"5"	"4"	"8"	"22"	"9"	"13"	"336"	""	"336"	""
"154"	"137"	"75"	"53"	"9"	"120"	"65"	"6"	"2"	"1"	"1"	"1"	"48"	"2"	"3"	"2"	"2"	"4"	"5"	"0"	"3"	"402"	""	"402"	""
"155"	"138"	"17"	"21"	"6"	"228"	"51"	"2"	"3"	"2"	"1"	"0"	"46"	"3"	"7"	"0"	"0"	"2"	"3"	"0"	"2"	"394"	""	"394"	""
"156"	"139"	"6"	"6"	"1"	"268"	"9"	"0"	"1"	"0"	"0"	"0"	"23"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"316"	""	"316"	""
"157"	"140"	"27"	"9"	"17"	"322"	"89"	"3"	"2"	"1"	"0"	"2"	"25"	"3"	"3"	"2"	"0"	"1"	"3"	"2"	"1"	"512"	""	"512"	""
"158"	"141"	"5"	"13"	"2"	"7"	"479"	"6"	"1"	"3"	"2"	"2"	"3"	"0"	"4"	"0"	"0"	"2"	"3"	"1"	"1"	"534"	""	"534"	""
"159"	"142"	"73"	"19"	"9"	"225"	"70"	"10"	"3"	"1"	"1"	"1"	"35"	"4"	"8"	"0"	"0"	"4"	"8"	"2"	"6"	"479"	""	"479"	""
"160"	"143"	"11"	"17"	"2"	"116"	"43"	"3"	"2"	"0"	"0"	"2"	"16"	"2"	"2"	"0"	"1"	"1"	"2"	"0"	"1"	"221"	""	"221"	""
"161"	"144"	"16"	"2"	"2"	"32"	"383"	"4"	"1"	"1"	"0"	"1"	"6"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"451"	""	"451"	""
"162"	"Candidate s
Name
-------->
BOTH NO
|"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"163"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"164"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"165"	"145"	"72"	"90"	"7"	"159"	"20"	"11"	"1"	"3"	"2"	"3"	"36"	"3"	"4"	"0"	"1"	"2"	"0"	"1"	"1"	"416"	""	"416"	""
"166"	"146"	"42"	"84"	"24"	"86"	"56"	"5"	"1"	"3"	"4"	"3"	"41"	"2"	"6"	"0"	"1"	"1"	"3"	"2"	"1"	"365"	""	"365"	""
"167"	"147"	"0"	"3"	"1"	"295"	"15"	"0"	"0"	"0"	"0"	"0"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"327"	""	"327"	""
"168"	"148"	"11"	"7"	"8"	"362"	"12"	"12"	"3"	"0"	"0"	"4"	"31"	"1"	"2"	"1"	"0"	"1"	"4"	"0"	"4"	"463"	""	"463"	""
"169"	"149"	"6"	"3"	"5"	"129"	"19"	"6"	"5"	"1"	"3"	"0"	"31"	"3"	"10"	"0"	"0"	"3"	"2"	"1"	"2"	"229"	""	"229"	""
"170"	"150"	"55"	"8"	"0"	"19"	"252"	"5"	"3"	"1"	"0"	"2"	"9"	"2"	"6"	"0"	"1"	"8"	"2"	"2"	"1"	"376"	""	"376"	""
"171"	"151"	"25"	"61"	"37"	"187"	"20"	"7"	"5"	"3"	"2"	"3"	"63"	"1"	"3"	"3"	"1"	"3"	"2"	"4"	"3"	"433"	""	"433"	""
"172"	"152"	"18"	"20"	"1"	"235"	"77"	"6"	"1"	"4"	"2"	"3"	"42"	"11"	"48"	"4"	"5"	"13"	"0"	"0"	"5"	"495"	""	"495"	""
"173"	"153"	"29"	"54"	"9"	"133"	"94"	"13"	"1"	"5"	"4"	"4"	"79"	"5"	"12"	"0"	"4"	"7"	"7"	"3"	"6"	"469"	""	"469"	""
"174"	"154"	"47"	"22"	"25"	"46"	"42"	"3"	"2"	"2"	"0"	"0"	"30"	"1"	"2"	"0"	"1"	"4"	"3"	"1"	"8"	"239"	""	"239"	""
"175"	"155"	"65"	"9"	"1"	"116"	"131"	"3"	"1"	"0"	"0"	"0"	"21"	"0"	"3"	"2"	"0"	"6"	"3"	"2"	"0"	"363"	""	"363"	""
"176"	"156"	"57"	"13"	"14"	"35"	"96"	"3"	"2"	"0"	"2"	"0"	"13"	"2"	"3"	"0"	"1"	"7"	"2"	"2"	"4"	"256"	""	"256"	""
"177"	"157"	"75"	"25"	"13"	"161"	"120"	"12"	"6"	"8"	"3"	"5"	"109"	"11"	"6"	"5"	"4"	"14"	"8"	"4"	"10"	"599"	""	"599"	""
"178"	"158"	"38"	"285"	"24"	"57"	"59"	"9"	"1"	"5"	"2"	"1"	"23"	"0"	"2"	"1"	"2"	"4"	"2"	"0"	"2"	"517"	""	"517"	""
"179"	"159"	"11"	"9"	"0"	"55"	"6"	"0"	"0"	"0"	"0"	"0"	"27"	"1"	"2"	"0"	"0"	"2"	"2"	"1"	"2"	"118"	""	"118"	""
"180"	"160"	"20"	"58"	"1"	"89"	"27"	"2"	"4"	"0"	"1"	"0"	"11"	"0"	"3"	"1"	"0"	"1"	"2"	"0"	"1"	"221"	""	"221"	""
"181"	"161"	"49"	"24"	"3"	"106"	"64"	"6"	"0"	"3"	"2"	"1"	"28"	"3"	"7"	"3"	"2"	"4"	"1"	"4"	"2"	"312"	""	"312"	""
"182"	"162"	"13"	"13"	"3"	"86"	"100"	"8"	"2"	"1"	"1"	"3"	"40"	"3"	"8"	"1"	"0"	"6"	"8"	"1"	"4"	"301"	""	"301"	""
"183"	"163"	"26"	"26"	"3"	"128"	"123"	"8"	"1"	"3"	"2"	"0"	"25"	"3"	"5"	"1"	"2"	"3"	"5"	"1"	"2"	"367"	""	"367"	""
"184"	"164"	"13"	"9"	"8"	"264"	"39"	"2"	"4"	"2"	"5"	"0"	"37"	"6"	"5"	"0"	"2"	"1"	"13"	"2"	"5"	"417"	""	"417"	""
"185"	"165"	"4"	"1"	"6"	"55"	"4"	"3"	"0"	"2"	"0"	"1"	"15"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"95"	""	"95"	""
"186"	"166"	"6"	"9"	"2"	"47"	"82"	"3"	"0"	"0"	"0"	"1"	"19"	"2"	"2"	"1"	"1"	"3"	"2"	"4"	"2"	"186"	""	"186"	""
"187"	"167"	"32"	"43"	"3"	"230"	"224"	"20"	"6"	"3"	"3"	"4"	"35"	"6"	"4"	"0"	"1"	"8"	"7"	"0"	"1"	"630"	""	"630"	""
"188"	"168"	"11"	"7"	"2"	"87"	"118"	"8"	"2"	"0"	"2"	"1"	"30"	"4"	"3"	"4"	"1"	"5"	"6"	"1"	"8"	"300"	""	"300"	""
"189"	"Candidate s
Name
-------->
BOTH NO
|"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"190"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"191"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"192"	"169"	"0"	"1"	"0"	"2"	"382"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"386"	""	"386"	""
"193"	"170"	"15"	"37"	"17"	"140"	"59"	"5"	"2"	"1"	"8"	"2"	"51"	"5"	"8"	"5"	"4"	"13"	"10"	"5"	"12"	"399"	""	"399"	""
"194"	"171"	"37"	"9"	"1"	"124"	"74"	"3"	"4"	"1"	"2"	"0"	"13"	"1"	"3"	"1"	"2"	"3"	"0"	"0"	"2"	"280"	""	"280"	""
"195"	"172"	"68"	"35"	"7"	"121"	"100"	"5"	"6"	"3"	"10"	"3"	"49"	"3"	"1"	"6"	"1"	"4"	"2"	"4"	"0"	"428"	""	"428"	""
"196"	"173"	"34"	"18"	"4"	"138"	"63"	"5"	"1"	"2"	"2"	"2"	"27"	"1"	"2"	"0"	"2"	"0"	"3"	"2"	"3"	"309"	""	"309"	""
"197"	"174"	"7"	"89"	"3"	"108"	"33"	"2"	"0"	"0"	"0"	"0"	"8"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"253"	""	"253"	""
"198"	"175"	"33"	"25"	"7"	"39"	"141"	"7"	"2"	"5"	"3"	"1"	"14"	"3"	"6"	"29"	"0"	"5"	"4"	"2"	"2"	"328"	""	"328"	""
"199"	"176"	"12"	"22"	"0"	"54"	"23"	"3"	"2"	"1"	"2"	"0"	"7"	"2"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"132"	""	"132"	""
"200"	"177"	"15"	"3"	"2"	"93"	"131"	"6"	"0"	"0"	"1"	"1"	"20"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"275"	""	"275"	""
"201"	"178"	"7"	"9"	"0"	"11"	"469"	"7"	"1"	"1"	"1"	"1"	"1"	"2"	"3"	"8"	"0"	"2"	"1"	"1"	"0"	"525"	""	"525"	""
"202"	"179"	"41"	"29"	"5"	"221"	"14"	"3"	"2"	"1"	"1"	"7"	"42"	"3"	"7"	"0"	"2"	"9"	"1"	"1"	"6"	"395"	""	"395"	""
"203"	"180"	"59"	"9"	"2"	"119"	"20"	"9"	"4"	"2"	"2"	"1"	"22"	"7"	"4"	"1"	"0"	"2"	"1"	"0"	"4"	"268"	""	"268"	""
"204"	"181"	"6"	"6"	"4"	"140"	"52"	"4"	"3"	"4"	"0"	"0"	"19"	"3"	"4"	"7"	"1"	"3"	"0"	"1"	"1"	"258"	""	"258"	""
"205"	"182"	"9"	"4"	"4"	"143"	"131"	"5"	"1"	"3"	"2"	"2"	"27"	"7"	"14"	"5"	"1"	"11"	"1"	"0"	"1"	"371"	""	"371"	""
"206"	"183"	"6"	"8"	"2"	"173"	"9"	"2"	"1"	"1"	"0"	"3"	"12"	"3"	"12"	"0"	"0"	"9"	"0"	"1"	"3"	"245"	""	"245"	""
"207"	"184"	"11"	"2"	"11"	"89"	"93"	"7"	"0"	"0"	"0"	"0"	"11"	"1"	"1"	"4"	"0"	"2"	"2"	"0"	"3"	"237"	""	"237"	""
"208"	"185"	"8"	"8"	"4"	"248"	"102"	"5"	"0"	"1"	"1"	"0"	"28"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"410"	""	"410"	""
"209"	"186"	"33"	"9"	"1"	"121"	"133"	"6"	"0"	"1"	"0"	"0"	"24"	"2"	"4"	"3"	"0"	"0"	"1"	"0"	"3"	"341"	""	"341"	""
"210"	"187"	"67"	"18"	"6"	"201"	"93"	"5"	"2"	"2"	"4"	"4"	"29"	"4"	"10"	"2"	"2"	"6"	"6"	"1"	"3"	"465"	""	"465"	""
"211"	"188"	"22"	"5"	"0"	"105"	"101"	"6"	"0"	"2"	"2"	"2"	"27"	"5"	"5"	"3"	"0"	"5"	"10"	"4"	"2"	"306"	""	"306"	""
"212"	"189"	"62"	"37"	"34"	"59"	"84"	"11"	"5"	"1"	"2"	"1"	"51"	"3"	"4"	"8"	"3"	"10"	"1"	"2"	"2"	"380"	""	"380"	""
"213"	"190"	"174"	"29"	"3"	"42"	"62"	"6"	"0"	"1"	"4"	"1"	"13"	"1"	"4"	"2"	"2"	"5"	"15"	"5"	"6"	"375"	""	"375"	""
"214"	"191"	"122"	"10"	"6"	"150"	"78"	"3"	"2"	"1"	"0"	"3"	"46"	"3"	"2"	"28"	"0"	"0"	"3"	"0"	"2"	"459"	""	"459"	""
"215"	"192"	"15"	"18"	"1"	"134"	"268"	"7"	"4"	"3"	"3"	"4"	"40"	"2"	"2"	"3"	"2"	"8"	"1"	"0"	"3"	"518"	""	"518"	""
"216"	"Candidate s
Name
-------->
BOTH NO
|"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"217"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"218"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"219"	"193"	"14"	"2"	"0"	"62"	"48"	"2"	"0"	"2"	"0"	"1"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	""	"138"	""
"220"	"194"	"65"	"10"	"1"	"127"	"62"	"5"	"2"	"2"	"1"	"0"	"28"	"5"	"9"	"7"	"2"	"9"	"4"	"1"	"2"	"342"	""	"342"	""
"221"	"195"	"95"	"12"	"1"	"140"	"101"	"4"	"1"	"0"	"3"	"0"	"25"	"3"	"5"	"12"	"3"	"9"	"0"	"0"	"0"	"414"	""	"414"	""
"222"	"196"	"87"	"13"	"9"	"209"	"150"	"7"	"4"	"6"	"4"	"2"	"55"	"5"	"6"	"2"	"1"	"4"	"9"	"3"	"5"	"581"	""	"581"	""
"223"	"197"	"31"	"12"	"4"	"152"	"113"	"14"	"3"	"1"	"2"	"4"	"59"	"5"	"2"	"4"	"6"	"7"	"2"	"0"	"2"	"423"	""	"423"	""
"224"	"198"	"66"	"20"	"23"	"153"	"48"	"9"	"2"	"1"	"2"	"1"	"18"	"6"	"3"	"8"	"5"	"15"	"2"	"3"	"5"	"390"	""	"390"	""
"225"	"199"	"17"	"39"	"8"	"47"	"281"	"28"	"6"	"5"	"9"	"1"	"22"	"2"	"4"	"7"	"4"	"8"	"3"	"1"	"0"	"492"	""	"492"	""
"226"	"200"	"4"	"10"	"3"	"79"	"394"	"11"	"0"	"3"	"1"	"1"	"25"	"2"	"8"	"5"	"0"	"2"	"0"	"0"	"3"	"551"	""	"551"	""
"227"	"201"	"56"	"5"	"30"	"141"	"80"	"8"	"10"	"3"	"3"	"4"	"27"	"2"	"4"	"3"	"0"	"2"	"1"	"1"	"1"	"381"	""	"381"	""
"228"	"202"	"163"	"20"	"32"	"117"	"20"	"5"	"1"	"2"	"2"	"1"	"43"	"1"	"4"	"0"	"3"	"2"	"1"	"1"	"2"	"420"	""	"420"	""
"229"	"203"	"56"	"6"	"2"	"98"	"79"	"6"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"12"	"6"	"0"	"3"	"273"	""	"273"	""
"230"	"204"	"83"	"68"	"3"	"129"	"48"	"7"	"2"	"0"	"5"	"3"	"60"	"2"	"8"	"5"	"4"	"17"	"8"	"4"	"13"	"469"	""	"469"	""
"231"	"205"	"28"	"42"	"9"	"130"	"249"	"13"	"2"	"2"	"3"	"0"	"25"	"4"	"7"	"1"	"0"	"5"	"4"	"2"	"2"	"528"	""	"528"	""
"232"	"206"	"14"	"81"	"0"	"144"	"258"	"7"	"1"	"1"	"3"	"0"	"30"	"1"	"1"	"1"	"1"	"9"	"2"	"1"	"4"	"559"	""	"559"	""
"233"	"207"	"16"	"6"	"2"	"163"	"47"	"7"	"1"	"1"	"3"	"3"	"26"	"7"	"14"	"3"	"2"	"10"	"1"	"0"	"3"	"315"	""	"315"	""
"234"	"208"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"235"	"209"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"236"	"210"	"23"	"17"	"4"	"84"	"36"	"9"	"4"	"2"	"2"	"0"	"54"	"2"	"1"	"9"	"2"	"4"	"6"	"1"	"4"	"264"	""	"264"	""
"237"	"211"	"151"	"10"	"14"	"133"	"7"	"3"	"10"	"3"	"0"	"0"	"9"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"342"	""	"342"	""
"238"	"212"	"33"	"44"	"2"	"194"	"144"	"6"	"3"	"3"	"2"	"4"	"43"	"2"	"5"	"2"	"1"	"4"	"0"	"0"	"1"	"493"	""	"493"	""
"239"	"213"	"77"	"9"	"1"	"92"	"23"	"3"	"1"	"0"	"1"	"0"	"9"	"1"	"1"	"0"	"2"	"0"	"0"	"2"	"1"	"223"	""	"223"	""
"240"	"214"	"25"	"45"	"5"	"115"	"101"	"3"	"2"	"2"	"6"	"2"	"17"	"4"	"3"	"0"	"0"	"7"	"3"	"0"	"1"	"341"	""	"341"	""
"241"	"215"	"11"	"63"	"5"	"182"	"41"	"5"	"2"	"2"	"1"	"1"	"51"	"0"	"7"	"4"	"3"	"3"	"1"	"2"	"5"	"389"	""	"389"	""
"242"	"216"	"9"	"33"	"4"	"97"	"46"	"5"	"0"	"1"	"1"	"0"	"6"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"205"	""	"205"	""
"243"	"Candidate s
Name
-------->
BOTH NO
|"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"244"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"245"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"246"	"217"	"36"	"39"	"7"	"123"	"259"	"13"	"3"	"5"	"6"	"2"	"27"	"3"	"9"	"6"	"7"	"5"	"8"	"7"	"6"	"571"	""	"571"	""
"247"	"218"	"26"	"28"	"4"	"130"	"170"	"4"	"1"	"0"	"1"	"1"	"26"	"2"	"3"	"0"	"0"	"1"	"1"	"0"	"0"	"398"	""	"398"	""
"248"	"219"	"34"	"12"	"51"	"95"	"111"	"5"	"7"	"2"	"7"	"9"	"26"	"5"	"4"	"5"	"5"	"6"	"1"	"0"	"2"	"387"	""	"387"	""
"249"	"220"	"174"	"20"	"12"	"192"	"19"	"5"	"0"	"3"	"2"	"1"	"23"	"3"	"9"	"3"	"5"	"4"	"4"	"4"	"1"	"484"	""	"484"	""
"250"	"221"	"89"	"2"	"32"	"194"	"76"	"1"	"0"	"2"	"1"	"2"	"19"	"3"	"3"	"0"	"1"	"5"	"0"	"0"	"1"	"431"	""	"431"	""
"251"	"222"	"39"	"39"	"3"	"426"	"83"	"3"	"0"	"3"	"1"	"0"	"9"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"610"	""	"610"	""
"252"	"223"	"49"	"15"	"1"	"166"	"59"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	""	"294"	""
"253"	"224"	"70"	"0"	"1"	"159"	"76"	"2"	"0"	"0"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"316"	""	"316"	""
"254"	"225"	"34"	"65"	"9"	"301"	"67"	"3"	"4"	"1"	"3"	"1"	"14"	"4"	"8"	"1"	"2"	"2"	"4"	"1"	"0"	"524"	""	"524"	""
"255"	"226"	"100"	"14"	"4"	"194"	"76"	"6"	"4"	"0"	"1"	"0"	"28"	"4"	"3"	"1"	"2"	"7"	"4"	"2"	"4"	"454"	""	"454"	""
"256"	"227"	"27"	"77"	"11"	"107"	"185"	"13"	"4"	"6"	"3"	"3"	"35"	"4"	"7"	"9"	"4"	"9"	"5"	"1"	"2"	"512"	""	"512"	""
"257"	"228"	"44"	"25"	"3"	"180"	"38"	"2"	"1"	"3"	"3"	"8"	"26"	"1"	"4"	"2"	"1"	"2"	"3"	"2"	"2"	"350"	""	"350"	""
"258"	"229"	"5"	"2"	"9"	"127"	"81"	"6"	"1"	"0"	"1"	"2"	"7"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"246"	""	"246"	""
"259"	"230"	"161"	"18"	"26"	"97"	"119"	"10"	"2"	"1"	"1"	"0"	"18"	"5"	"12"	"2"	"1"	"7"	"13"	"4"	"9"	"506"	""	"506"	""
"260"	"231"	"60"	"15"	"42"	"136"	"70"	"8"	"5"	"2"	"2"	"8"	"14"	"3"	"3"	"2"	"1"	"5"	"3"	"1"	"1"	"381"	""	"381"	""
"261"	"232"	"143"	"19"	"5"	"56"	"58"	"7"	"2"	"1"	"2"	"0"	"10"	"1"	"2"	"1"	"0"	"1"	"5"	"0"	"0"	"313"	""	"313"	""
"262"	"233"	"14"	"71"	"7"	"66"	"158"	"9"	"3"	"2"	"2"	"1"	"16"	"3"	"4"	"1"	"1"	"3"	"0"	"1"	"1"	"363"	""	"363"	""
"263"	"234"	"35"	"13"	"2"	"68"	"103"	"5"	"2"	"2"	"1"	"1"	"13"	"3"	"4"	"1"	"1"	"6"	"9"	"2"	"1"	"272"	""	"272"	""
"264"	"235"	"46"	"8"	"3"	"83"	"154"	"10"	"3"	"4"	"0"	"2"	"22"	"3"	"0"	"2"	"0"	"1"	"2"	"2"	"1"	"346"	""	"346"	""
"265"	"236"	"21"	"2"	"7"	"30"	"81"	"6"	"3"	"1"	"2"	"0"	"4"	"0"	"2"	"2"	"2"	"2"	"12"	"3"	"6"	"186"	""	"186"	""
"266"	"237"	"40"	"3"	"1"	"27"	"84"	"4"	"0"	"1"	"0"	"0"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	""	"170"	""
