"TOTAL.NO.OF.ELECTORS.IN.90.MINAPUR.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"200"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"201"	181	"97"	"105"	"11"	"8"	"2"	"1"	"1"	"1"	"1"	"1"	"5"	"11"	"244"	""	""	""
"202"	182	"136"	"47"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"8"	"198"	""	""	""
"203"	183	"90"	"311"	"7"	"11"	"8"	"2"	"2"	"2"	"5"	"16"	"9"	"6"	"469"	""	""	""
"204"	184	"85"	"158"	"7"	"5"	"4"	"2"	"3"	"4"	"1"	"2"	"4"	"2"	"277"	""	""	""
"205"	185	"31"	"348"	"2"	"80"	"4"	"1"	"1"	"0"	"3"	"5"	"2"	"11"	"488"	""	""	""
"206"	186	"52"	"353"	"4"	"14"	"11"	"2"	"2"	"3"	"4"	"8"	"17"	"15"	"485"	""	""	""
"207"	187	"150"	"359"	"4"	"5"	"7"	"1"	"5"	"0"	"4"	"2"	"4"	"15"	"556"	""	""	""
"208"	188	"523"	"35"	"0"	"3"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"567"	""	""	""
"209"	189	"271"	"328"	"7"	"6"	"13"	"2"	"4"	"3"	"1"	"8"	"7"	"3"	"653"	""	""	""
"210"	190	"302"	"213"	"1"	"3"	"2"	"1"	"2"	"1"	"0"	"0"	"5"	"11"	"541"	""	""	""
"211"	191	"247"	"244"	"5"	"4"	"8"	"6"	"2"	"1"	"3"	"2"	"9"	"6"	"537"	""	""	""
"212"	192	"43"	"381"	"5"	"8"	"4"	"0"	"0"	"0"	"4"	"4"	"3"	"4"	"456"	""	""	""
"213"	193	"91"	"282"	"7"	"17"	"8"	"1"	"12"	"5"	"1"	"19"	"6"	"6"	"455"	""	""	""
"214"	194	"157"	"204"	"7"	"45"	"5"	"2"	"4"	"2"	"3"	"7"	"9"	"13"	"458"	""	""	""
"215"	195	"190"	"139"	"7"	"6"	"5"	"3"	"2"	"0"	"1"	"9"	"7"	"9"	"378"	""	""	""
"216"	196	"148"	"256"	"11"	"10"	"3"	"0"	"2"	"0"	"1"	"6"	"9"	"16"	"462"	""	""	""
"217"	197	"212"	"436"	"11"	"9"	"7"	"1"	"4"	"2"	"6"	"14"	"6"	"11"	"719"	""	""	""
"218"	198	"121"	"371"	"5"	"6"	"2"	"1"	"1"	"5"	"2"	"4"	"2"	"4"	"524"	""	""	""
"219"	199	"313"	"272"	"8"	"8"	"4"	"3"	"5"	"2"	"3"	"12"	"7"	"11"	"648"	""	""	""
"220"	200	"254"	"366"	"5"	"10"	"0"	"0"	"0"	"2"	"1"	"3"	"2"	"1"	"644"	""	""	""
"221"	201	"245"	"90"	"3"	"9"	"2"	"0"	"1"	"1"	"2"	"1"	"1"	"4"	"359"	""	""	""
"222"	202	"168"	"191"	"4"	"7"	"2"	"3"	"4"	"2"	"7"	"5"	"16"	"12"	"421"	""	""	""
"223"	203	"285"	"69"	"0"	"2"	"0"	"0"	"1"	"2"	"3"	"0"	"1"	"0"	"363"	""	""	""
"224"	204	"158"	"432"	"12"	"8"	"3"	"4"	"3"	"6"	"5"	"11"	"11"	"27"	"680"	""	""	""
"225"	205	"518"	"252"	"2"	"1"	"4"	"0"	"0"	"2"	"1"	"2"	"5"	"6"	"793"	""	""	""
"226"	206	"315"	"127"	"5"	"19"	"4"	"1"	"0"	"0"	"0"	"2"	"2"	"2"	"477"	""	""	""
"227"	207	"54"	"187"	"4"	"1"	"4"	"1"	"4"	"0"	"4"	"4"	"4"	"4"	"271"	""	""	""
"228"	208	"134"	"412"	"4"	"38"	"5"	"2"	"3"	"4"	"1"	"16"	"16"	"27"	"662"	""	""	""
"229"	209	"359"	"208"	"8"	"38"	"7"	"4"	"3"	"2"	"1"	"5"	"1"	"7"	"643"	""	""	""
"230"	210	"79"	"545"	"6"	"2"	"3"	"0"	"4"	"2"	"2"	"7"	"16"	"10"	"676"	""	""	""
"231"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	196417	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"234"	211	"275"	"278"	"7"	"27"	"4"	"12"	"3"	"6"	"4"	"5"	"5"	"6"	"632"	""	""	""
"235"	212	"491"	"173"	"6"	"5"	"2"	"4"	"4"	"4"	"7"	"6"	"9"	"17"	"728"	""	""	""
"236"	213	"115"	"230"	"5"	"8"	"2"	"2"	"3"	"2"	"2"	"7"	"3"	"3"	"382"	""	""	""
"237"	214	"162"	"261"	"7"	"9"	"2"	"2"	"0"	"4"	"2"	"5"	"4"	"9"	"467"	""	""	""
"238"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	NA	""	""	""	""	""	""	""	""	"102725"	""	""	""	""	""	""	""
"242"	NA	""	""	""	""	""	""	""	""	"102725"	""	""	""	""	""	""	""
