"PC.No."	"AC.No."	"BOOTH.No."	"BOOTH.EXT"	"ARCHN.A.CHAND.RA"	"NIKHIL.KUMAR"	"SHAKIL.AHMAD.KHAN"	"SUSHIL.KUMAR.SINGH"	"ANIL.KUMAR.SINGH"	"AMERIK.A.MAHTO"	"RAM.KUMAR.MEHTA"	"VIJAY.PASWA.N"	"ASLAM.ANSARI"	"INDRA.DEO.RAM"	"UDAY.PASWAN"	"PUNA.DAS"	"RANJEE.T.KUMAR"	"RAJEND.RA.YADAV"	"RAMSWA.RUP.PRASAD.YADAV"	"SANTOS.H.KUMAR"	"TOTAL"
"286"	37	224	278	""	8	47	163	127	2	3	2	4	0	1	4	4	2	3	0	6	376
"287"	37	224	279	""	18	8	98	292	2	0	4	0	0	0	0	3	1	0	0	14	440
"288"	37	224	280	""	1	10	45	272	5	2	2	1	1	0	0	3	2	1	0	5	350
"289"	37	224	281	""	51	48	80	174	2	2	2	2	0	1	1	3	2	2	1	1	372
"290"	37	224	282	""	21	131	10	271	2	1	1	0	0	0	0	1	2	0	0	0	440
"291"	37	224	283	""	5	11	116	218	4	5	1	2	2	2	3	6	4	3	2	5	389
"292"	37	224	284	""	17	6	152	160	11	4	3	4	1	2	0	4	6	6	2	1	379
"293"	37	224	285	""	3	35	235	223	8	5	1	1	0	0	0	2	4	1	1	2	521
"294"	37	224	286	""	33	13	89	135	2	6	18	4	2	4	2	17	14	11	1	7	358
"295"	37	224	287	""	123	12	116	176	9	7	1	4	0	1	4	6	4	2	6	6	477
"296"	37	224	288	""	5	43	70	88	11	8	2	1	2	0	1	0	0	1	4	2	238
"297"	NA	NA	NA	"BOOTH EXT"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"298"	37	224	289	""	40	15	227	149	9	6	6	2	5	2	1	16	11	14	11	7	521
"299"	37	224	290	""	19	89	29	72	4	1	1	2	2	1	0	2	0	4	1	3	230
"300"	NA	NA	NA	""	7081	8337	25502	38454	897	760	913	484	298	236	390	1026	1075	724	560	1063	87800
