"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X231191.35.Bisfi"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"153"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"156"	"Round No 9"	"113"	"6"	"0"	"28"	"12"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"2"	"2"	"556"	"611"	""	"611"	""
"157"	""	"114"	"73"	"4"	"33"	"18"	"4"	"0"	"1"	"2"	"4"	"0"	"3"	"6"	"6"	"328"	"482"	""	"482"	""
"158"	""	"115"	"71"	"5"	"89"	"5"	"6"	"1"	"0"	"2"	"2"	"4"	"5"	"4"	"8"	"210"	"412"	""	"412"	""
"159"	""	"116"	"116"	"6"	"94"	"81"	"56"	"1"	"2"	"1"	"1"	"1"	"4"	"0"	"1"	"60"	"424"	""	"424"	""
"160"	""	"117"	"184"	"7"	"80"	"78"	"29"	"1"	"4"	"3"	"2"	"0"	"6"	"2"	"7"	"51"	"454"	""	"454"	""
"161"	""	"118"	"283"	"1"	"31"	"54"	"48"	"2"	"3"	"0"	"1"	"2"	"3"	"4"	"0"	"82"	"514"	""	"514"	""
"162"	""	"119"	"140"	"7"	"101"	"107"	"32"	"6"	"2"	"3"	"5"	"4"	"4"	"5"	"1"	"54"	"471"	""	"471"	""
"163"	""	"120"	"371"	"17"	"28"	"25"	"14"	"2"	"5"	"5"	"3"	"2"	"8"	"8"	"5"	"78"	"571"	""	"571"	""
"164"	""	"121"	"32"	"1"	"33"	"27"	"8"	"3"	"1"	"3"	"2"	"0"	"5"	"3"	"4"	"190"	"312"	""	"312"	""
"165"	""	"122"	"42"	"0"	"11"	"5"	"4"	"0"	"0"	"5"	"3"	"0"	"10"	"5"	"18"	"360"	"463"	""	"463"	""
"166"	""	"123"	"105"	"5"	"40"	"24"	"4"	"3"	"2"	"1"	"2"	"1"	"3"	"8"	"11"	"234"	"443"	""	"443"	""
"167"	""	"124"	"121"	"8"	"26"	"89"	"15"	"3"	"3"	"5"	"9"	"5"	"5"	"5"	"5"	"220"	"519"	""	"519"	""
"168"	""	"125"	"77"	"14"	"73"	"119"	"37"	"10"	"4"	"5"	"4"	"6"	"6"	"4"	"11"	"130"	"500"	""	"500"	""
"169"	""	"126"	"23"	"2"	"11"	"47"	"20"	"4"	"3"	"1"	"2"	"2"	"10"	"12"	"9"	"155"	"301"	""	"301"	""
"170"	""	"Total -9"	"1644"	"77"	"678"	"691"	"278"	"36"	"30"	"37"	"41"	"27"	"74"	"68"	"88"	"2708"	"6477"	"0"	"6477"	"0"
"171"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"173"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"175"	"Round No 10"	"127"	"13"	"2"	"38"	"39"	"34"	"0"	"0"	"1"	"1"	"2"	"4"	"4"	"5"	"51"	"194"	""	"194"	""
"176"	""	"128"	"104"	"0"	"7"	"213"	"19"	"2"	"1"	"2"	"2"	"2"	"2"	"3"	"1"	"5"	"363"	""	"363"	""
"177"	""	"129"	"270"	"14"	"86"	"29"	"10"	"3"	"5"	"3"	"0"	"2"	"5"	"3"	"2"	"13"	"445"	""	"445"	""
"178"	""	"130"	"188"	"28"	"73"	"37"	"9"	"4"	"3"	"4"	"0"	"2"	"7"	"3"	"2"	"18"	"378"	""	"378"	""
"179"	""	"131"	"87"	"4"	"431"	"22"	"20"	"8"	"2"	"4"	"4"	"3"	"8"	"17"	"4"	"18"	"632"	""	"632"	""
"180"	""	"132"	"155"	"10"	"74"	"92"	"36"	"5"	"3"	"4"	"1"	"2"	"2"	"2"	"4"	"16"	"406"	""	"406"	""
"181"	""	"133"	"179"	"13"	"175"	"137"	"36"	"7"	"6"	"1"	"3"	"2"	"2"	"3"	"2"	"19"	"585"	""	"585"	""
"182"	""	"134"	"221"	"10"	"13"	"259"	"22"	"7"	"2"	"5"	"2"	"3"	"5"	"0"	"5"	"5"	"559"	""	"559"	""
"183"	""	"135"	"137"	"6"	"124"	"16"	"6"	"3"	"0"	"3"	"1"	"1"	"5"	"4"	"1"	"21"	"328"	""	"328"	""
"184"	""	"136"	"240"	"3"	"100"	"4"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"0"	"1"	"8"	"361"	""	"361"	""
"185"	""	"137"	"146"	"7"	"208"	"12"	"12"	"1"	"1"	"2"	"3"	"2"	"1"	"0"	"0"	"9"	"404"	""	"404"	""
"186"	""	"138"	"40"	"2"	"199"	"7"	"23"	"1"	"2"	"0"	"0"	"0"	"2"	"1"	"0"	"3"	"280"	""	"280"	""
"187"	""	"139"	"24"	"0"	"288"	"40"	"14"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"370"	""	"370"	""
"188"	""	"140"	"56"	"4"	"71"	"41"	"7"	"3"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"49"	"238"	""	"238"	""
"189"	""	"Total -
10"	"1860"	"103"	"1887"	"948"	"248"	"44"	"26"	"30"	"19"	"22"	"47"	"42"	"29"	"238"	"5543"	"0"	"5543"	"0"
"190"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"192"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"194"	"Round No 11"	"141"	"270"	"2"	"10"	"89"	"77"	"3"	"3"	"2"	"5"	"3"	"3"	"5"	"3"	"20"	"495"	""	"495"	""
"195"	""	"142"	"76"	"2"	"9"	"342"	"53"	"4"	"2"	"4"	"1"	"2"	"8"	"0"	"6"	"27"	"536"	""	"536"	""
"196"	""	"143"	"94"	"3"	"226"	"4"	"6"	"3"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"341"	""	"341"	""
"197"	""	"144"	"45"	"1"	"162"	"2"	"3"	"3"	"2"	"0"	"1"	"2"	"0"	"3"	"1"	"5"	"230"	""	"230"	""
"198"	""	"145"	"218"	"9"	"224"	"11"	"7"	"2"	"1"	"2"	"3"	"0"	"5"	"7"	"3"	"16"	"508"	""	"508"	""
"199"	""	"146"	"44"	"4"	"199"	"5"	"8"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"262"	""	"262"	""
"200"	""	"147"	"115"	"5"	"194"	"16"	"9"	"0"	"0"	"3"	"0"	"0"	"1"	"3"	"3"	"6"	"355"	""	"355"	""
"201"	""	"148"	"36"	"1"	"350"	"73"	"4"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"8"	"476"	""	"476"	""
"202"	""	"149"	"132"	"4"	"78"	"25"	"7"	"1"	"0"	"0"	"2"	"0"	"2"	"1"	"1"	"4"	"257"	""	"257"	""
"203"	""	"150"	"119"	"5"	"205"	"11"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"4"	"349"	""	"349"	""
"204"	""	"151"	"347"	"2"	"53"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"406"	""	"406"	""
"205"	""	"152"	"139"	"5"	"197"	"21"	"21"	"2"	"2"	"3"	"0"	"2"	"2"	"0"	"0"	"2"	"396"	""	"396"	""
"206"	""	"153"	"125"	"1"	"17"	"137"	"19"	"2"	"2"	"4"	"1"	"4"	"5"	"3"	"5"	"8"	"333"	""	"333"	""
"207"	""	"154"	"143"	"3"	"106"	"70"	"29"	"0"	"1"	"1"	"1"	"0"	"3"	"0"	"3"	"2"	"362"	""	"362"	""
"208"	""	"Total -
11"	"1903"	"47"	"2030"	"807"	"246"	"21"	"17"	"20"	"14"	"15"	"30"	"25"	"27"	"104"	"5306"	"0"	"5306"	"0"
"209"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"213"	"Round No 12"	"155"	"147"	"4"	"18"	"63"	"7"	"4"	"0"	"1"	"2"	"3"	"1"	"2"	"1"	"9"	"262"	""	"262"	""
"214"	""	"156"	"28"	"2"	"97"	"43"	"41"	"1"	"1"	"3"	"0"	"1"	"1"	"2"	"2"	"30"	"252"	""	"252"	""
"215"	""	"157"	"206"	"11"	"26"	"260"	"114"	"3"	"4"	"9"	"4"	"1"	"7"	"1"	"11"	"28"	"685"	""	"685"	""
"216"	""	"158"	"59"	"6"	"172"	"102"	"18"	"1"	"3"	"3"	"1"	"2"	"3"	"3"	"1"	"12"	"386"	""	"386"	""
"217"	""	"159"	"131"	"1"	"251"	"64"	"11"	"1"	"3"	"2"	"3"	"1"	"2"	"4"	"2"	"17"	"493"	""	"493"	""
"218"	""	"160"	"115"	"1"	"212"	"34"	"5"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"7"	"378"	""	"378"	""
"219"	""	"161"	"36"	"8"	"19"	"62"	"243"	"2"	"6"	"4"	"6"	"6"	"4"	"0"	"1"	"1"	"398"	""	"398"	""
"220"	""	"162"	"23"	"1"	"55"	"38"	"264"	"5"	"4"	"1"	"1"	"3"	"0"	"0"	"3"	"5"	"403"	""	"403"	""
"221"	""	"163"	"147"	"4"	"93"	"10"	"99"	"7"	"8"	"0"	"0"	"2"	"0"	"1"	"0"	"3"	"374"	""	"374"	""
"222"	""	"164"	"204"	"12"	"16"	"62"	"78"	"4"	"6"	"4"	"4"	"8"	"7"	"6"	"4"	"26"	"441"	""	"441"	""
"223"	""	"165"	"144"	"17"	"63"	"181"	"159"	"8"	"3"	"2"	"6"	"1"	"5"	"5"	"6"	"16"	"616"	""	"616"	""
"224"	""	"166"	"35"	"2"	"101"	"82"	"15"	"0"	"1"	"3"	"0"	"0"	"1"	"2"	"1"	"6"	"249"	""	"249"	""
"225"	""	"167"	"45"	"3"	"48"	"57"	"17"	"2"	"0"	"0"	"1"	"2"	"0"	"6"	"2"	"9"	"192"	""	"192"	""
"226"	""	"168"	"119"	"7"	"52"	"59"	"53"	"2"	"2"	"1"	"2"	"0"	"1"	"0"	"4"	"10"	"312"	""	"312"	""
"227"	""	"Total -
12"	"1439"	"79"	"1223"	"1117"	"1124"	"41"	"41"	"33"	"31"	"30"	"33"	"33"	"38"	"179"	"5441"	"0"	"5441"	"0"
"228"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"230"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"232"	"Round No 13"	"169"	"134"	"6"	"31"	"108"	"89"	"4"	"0"	"6"	"5"	"2"	"1"	"1"	"3"	"2"	"392"	""	"392"	""
"233"	""	"170"	"145"	"7"	"23"	"44"	"39"	"3"	"4"	"3"	"2"	"2"	"2"	"3"	"1"	"1"	"279"	""	"279"	""
"234"	""	"171"	"51"	"5"	"61"	"167"	"114"	"8"	"4"	"7"	"9"	"4"	"5"	"1"	"3"	"3"	"442"	""	"442"	""
"235"	""	"172"	"122"	"11"	"165"	"184"	"42"	"3"	"3"	"6"	"0"	"2"	"0"	"1"	"10"	"7"	"556"	""	"556"	""
"236"	""	"173"	"159"	"27"	"28"	"184"	"76"	"6"	"7"	"1"	"4"	"2"	"8"	"4"	"5"	"68"	"579"	""	"579"	""
"237"	""	"174"	"126"	"5"	"28"	"183"	"57"	"6"	"3"	"4"	"5"	"2"	"4"	"6"	"10"	"274"	"713"	""	"713"	""
"238"	""	"175"	"53"	"5"	"221"	"60"	"45"	"5"	"5"	"5"	"0"	"2"	"1"	"5"	"5"	"20"	"432"	""	"432"	""
"239"	""	"176"	"132"	"18"	"118"	"74"	"37"	"2"	"0"	"1"	"0"	"1"	"2"	"1"	"5"	"22"	"413"	""	"413"	""
"240"	""	"177"	"327"	"17"	"37"	"85"	"42"	"2"	"3"	"3"	"7"	"2"	"1"	"1"	"7"	"13"	"547"	""	"547"	""
"241"	""	"178"	"332"	"16"	"18"	"120"	"28"	"5"	"5"	"7"	"4"	"0"	"2"	"4"	"2"	"5"	"548"	""	"548"	""
"242"	""	"179"	"117"	"8"	"95"	"195"	"150"	"17"	"8"	"11"	"1"	"1"	"3"	"6"	"13"	"28"	"653"	""	"653"	""
"243"	""	"180"	"115"	"7"	"64"	"277"	"34"	"0"	"2"	"3"	"3"	"3"	"1"	"3"	"5"	"27"	"544"	""	"544"	""
"244"	""	"181"	"86"	"18"	"77"	"166"	"196"	"3"	"5"	"4"	"0"	"3"	"0"	"1"	"3"	"5"	"567"	""	"567"	""
"245"	""	"182"	"124"	"12"	"60"	"30"	"116"	"1"	"2"	"7"	"0"	"0"	"4"	"1"	"2"	"16"	"375"	""	"375"	""
"246"	""	"Total -
13"	"2023"	"162"	"1026"	"1877"	"1065"	"65"	"51"	"68"	"40"	"26"	"34"	"38"	"74"	"491"	"7040"	"0"	"7040"	"0"
"247"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"249"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"251"	"Round No 14"	"183"	"109"	"6"	"57"	"36"	"160"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"1"	"372"	""	"372"	""
"252"	""	"184"	"51"	"20"	"324"	"10"	"89"	"2"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"3"	"503"	""	"503"	""
"253"	""	"185"	"10"	"9"	"110"	"104"	"97"	"1"	"0"	"0"	"1"	"2"	"3"	"2"	"2"	"7"	"348"	""	"348"	""
"254"	""	"186"	"86"	"4"	"69"	"48"	"132"	"8"	"0"	"0"	"3"	"3"	"5"	"2"	"3"	"20"	"383"	""	"383"	""
"255"	""	"187"	"27"	"1"	"11"	"110"	"28"	"1"	"2"	"1"	"0"	"3"	"4"	"1"	"2"	"9"	"200"	""	"200"	""
"256"	""	"188"	"108"	"4"	"79"	"105"	"165"	"9"	"4"	"2"	"3"	"3"	"7"	"1"	"6"	"30"	"526"	""	"526"	""
"257"	""	"189"	"142"	"5"	"73"	"61"	"69"	"0"	"2"	"6"	"0"	"3"	"3"	"3"	"1"	"4"	"372"	""	"372"	""
"258"	""	"190"	"122"	"4"	"29"	"32"	"55"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"11"	"258"	""	"258"	""
"259"	""	"191"	"111"	"6"	"41"	"94"	"200"	"0"	"3"	"2"	"7"	"1"	"0"	"2"	"2"	"1"	"470"	""	"470"	""
"260"	""	"192"	"41"	"1"	"26"	"49"	"179"	"3"	"3"	"1"	"2"	"2"	"2"	"4"	"1"	"5"	"319"	""	"319"	""
"261"	""	"193"	"70"	"15"	"30"	"154"	"156"	"5"	"2"	"3"	"4"	"2"	"4"	"3"	"2"	"12"	"462"	""	"462"	""
"262"	""	"194"	"52"	"4"	"28"	"84"	"98"	"0"	"3"	"2"	"2"	"1"	"4"	"0"	"8"	"10"	"296"	""	"296"	""
"263"	""	"195"	"33"	"5"	"35"	"124"	"238"	"3"	"2"	"4"	"3"	"8"	"1"	"2"	"5"	"8"	"471"	""	"471"	""
"264"	""	"196"	"361"	"9"	"13"	"19"	"25"	"2"	"2"	"2"	"4"	"2"	"1"	"8"	"2"	"12"	"462"	""	"462"	""
"265"	""	"Total -
14"	"1323"	"93"	"925"	"1030"	"1691"	"36"	"24"	"27"	"29"	"31"	"35"	"30"	"35"	"133"	"5442"	"0"	"5442"	"0"
"266"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"268"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"270"	"Round No 15"	"197"	"240"	"5"	"16"	"9"	"65"	"0"	"2"	"2"	"0"	"0"	"0"	"4"	"0"	"5"	"348"	""	"348"	""
"271"	""	"198"	"115"	"9"	"17"	"181"	"95"	"5"	"9"	"4"	"1"	"7"	"1"	"6"	"1"	"4"	"455"	""	"455"	""
"272"	""	"199"	"42"	"1"	"12"	"34"	"357"	"7"	"0"	"0"	"4"	"5"	"1"	"0"	"0"	"4"	"467"	""	"467"	""
"273"	""	"200"	"1"	"1"	"12"	"44"	"318"	"4"	"2"	"1"	"1"	"0"	"0"	"7"	"1"	"4"	"396"	""	"396"	""
"274"	""	"201"	"140"	"7"	"3"	"31"	"170"	"3"	"5"	"1"	"1"	"1"	"0"	"1"	"2"	"1"	"366"	""	"366"	""
"275"	""	"202"	"104"	"6"	"66"	"114"	"172"	"6"	"6"	"0"	"2"	"3"	"9"	"40"	"6"	"8"	"542"	""	"542"	""
"276"	""	"203"	"6"	"4"	"19"	"26"	"487"	"2"	"2"	"1"	"1"	"0"	"4"	"1"	"1"	"2"	"556"	""	"556"	""
"277"	""	"204"	"38"	"3"	"238"	"44"	"9"	"0"	"2"	"1"	"0"	"0"	"3"	"3"	"1"	"5"	"347"	""	"347"	""
"278"	""	"205"	"176"	"6"	"34"	"201"	"22"	"2"	"3"	"5"	"0"	"1"	"5"	"5"	"2"	"19"	"481"	""	"481"	""
"279"	""	"206"	"233"	"11"	"30"	"119"	"31"	"3"	"1"	"9"	"3"	"2"	"6"	"3"	"8"	"13"	"472"	""	"472"	""
"280"	""	"207"	"168"	"1"	"195"	"52"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"3"	"3"	"5"	"431"	""	"431"	""
"281"	""	"208"	"139"	"2"	"39"	"83"	"20"	"0"	"0"	"11"	"1"	"0"	"0"	"0"	"2"	"7"	"304"	""	"304"	""
"282"	""	"209"	"196"	"2"	"23"	"139"	"25"	"4"	"0"	"6"	"4"	"1"	"5"	"3"	"2"	"16"	"426"	""	"426"	""
"283"	""	"210"	"123"	"7"	"64"	"200"	"22"	"0"	"1"	"0"	"1"	"1"	"2"	"4"	"5"	"6"	"436"	""	"436"	""
"284"	""	"Total -
15"	"1721"	"65"	"768"	"1277"	"1794"	"37"	"33"	"42"	"19"	"21"	"37"	"80"	"34"	"99"	"6027"	"0"	"6027"	"0"
"285"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"287"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"289"	"Round No 16"	"211"	"68"	"15"	"348"	"96"	"13"	"4"	"1"	"1"	"1"	"3"	"5"	"5"	"6"	"20"	"586"	""	"586"	""
"290"	""	"212"	"128"	"4"	"179"	"96"	"61"	"4"	"2"	"2"	"1"	"1"	"4"	"5"	"2"	"14"	"503"	""	"503"	""
"291"	""	"213"	"243"	"9"	"28"	"141"	"30"	"4"	"7"	"4"	"1"	"2"	"3"	"3"	"3"	"9"	"487"	""	"487"	""
"292"	""	"214"	"133"	"3"	"20"	"135"	"19"	"5"	"1"	"2"	"2"	"2"	"1"	"1"	"6"	"11"	"341"	""	"341"	""
"293"	""	"215"	"57"	"1"	"6"	"172"	"3"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"16"	"257"	""	"257"	""
"294"	""	"216"	"169"	"8"	"54"	"150"	"28"	"5"	"5"	"1"	"0"	"5"	"6"	"1"	"3"	"22"	"457"	""	"457"	""
"295"	""	"217"	"47"	"15"	"43"	"361"	"71"	"3"	"4"	"2"	"1"	"1"	"2"	"4"	"4"	"6"	"564"	""	"564"	""
"296"	""	"218"	"169"	"12"	"104"	"267"	"80"	"5"	"4"	"3"	"0"	"2"	"0"	"4"	"0"	"11"	"661"	""	"661"	""
"297"	""	"219"	"81"	"12"	"221"	"16"	"28"	"3"	"6"	"8"	"4"	"2"	"0"	"5"	"0"	"3"	"389"	""	"389"	""
"298"	""	"220"	"140"	"5"	"158"	"148"	"17"	"2"	"1"	"0"	"2"	"0"	"1"	"3"	"0"	"6"	"483"	""	"483"	""
"299"	""	"221"	"72"	"5"	"272"	"6"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"361"	""	"361"	""
"300"	""	"222"	"118"	"3"	"26"	"179"	"18"	"5"	"3"	"4"	"1"	"0"	"6"	"5"	"4"	"7"	"379"	""	"379"	""
"301"	""	"223"	"65"	"2"	"9"	"111"	"3"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"196"	""	"196"	""
"302"	""	"224"	"135"	"9"	"124"	"50"	"25"	"5"	"2"	"1"	"1"	"2"	"0"	"6"	"8"	"10"	"378"	""	"378"	""
"303"	""	"Total -
16"	"1625"	"103"	"1592"	"1928"	"396"	"48"	"37"	"28"	"15"	"21"	"30"	"46"	"36"	"137"	"6042"	"0"	"6042"	"0"
"304"	""	""	""	""	""	""	""	"231191
35-Bisfi"	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
