"TOTAL.NO.OF.ELECTORS.IN.91.BOCHHAN.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X199351"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"
"101"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"102"	"93"	""	""	"136"	""	"36"	"135"	"6"	"1"	"2"	"3"	"0"	"3"	"1"	"1"	"0"	"0"	"5"	"3"	"10"	"8"	"3"	"4"	"15"	"3"	"2"	"4"	"10"	"391"	""	""	""
"103"	"94"	""	""	"409"	""	"103"	"31"	"8"	"1"	"2"	"4"	"0"	"3"	"1"	"4"	"2"	"3"	"12"	"4"	"21"	"29"	"3"	"6"	"71"	"1"	"5"	"1"	"8"	"732"	""	""	""
"104"	"95"	""	""	"308"	""	"130"	"26"	"5"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"5"	"4"	"1"	"10"	"5"	"1"	"34"	"0"	"2"	"3"	"3"	"544"	""	""	""
"105"	"96"	""	""	"280"	""	"118"	"17"	"4"	"3"	"1"	"0"	"8"	"4"	"2"	"5"	"4"	"3"	"8"	"9"	"16"	"5"	"3"	"0"	"37"	"2"	"1"	"3"	"6"	"539"	""	""	""
"106"	"97"	""	""	"169"	""	"98"	"175"	"10"	"4"	"4"	"4"	"4"	"5"	"5"	"3"	"5"	"4"	"13"	"10"	"17"	"22"	"13"	"5"	"19"	"5"	"6"	"10"	"12"	"622"	""	""	""
"107"	"98"	""	""	"216"	""	"89"	"78"	"7"	"1"	"0"	"1"	"3"	"3"	"0"	"2"	"1"	"0"	"2"	"4"	"0"	"2"	"8"	"0"	"49"	"0"	"0"	"1"	"0"	"467"	""	""	""
"108"	"99"	""	""	"95"	""	"197"	"106"	"2"	"0"	"7"	"0"	"6"	"3"	"3"	"1"	"1"	"4"	"4"	"9"	"10"	"2"	"2"	"2"	"18"	"0"	"0"	"0"	"2"	"474"	""	""	""
"109"	"100"	""	""	"205"	""	"143"	"228"	"10"	"1"	"1"	"3"	"2"	"3"	"5"	"5"	"2"	"3"	"9"	"10"	"23"	"6"	"4"	"1"	"87"	"1"	"2"	"6"	"3"	"763"	""	""	""
"110"	"101"	""	""	"146"	""	"155"	"61"	"4"	"8"	"6"	"8"	"4"	"6"	"6"	"2"	"0"	"2"	"5"	"4"	"8"	"0"	"20"	"0"	"10"	"0"	"1"	"1"	"2"	"459"	""	""	""
"111"	"102"	""	""	"115"	""	"54"	"306"	"9"	"5"	"1"	"1"	"2"	"2"	"3"	"2"	"3"	"4"	"9"	"1"	"14"	"6"	"1"	"2"	"19"	"0"	"1"	"4"	"9"	"573"	""	""	""
"112"	"103"	""	""	"285"	""	"99"	"167"	"28"	"26"	"8"	"2"	"2"	"7"	"4"	"2"	"1"	"2"	"7"	"5"	"3"	"9"	"4"	"4"	"37"	"3"	"1"	"2"	"4"	"712"	""	""	""
"113"	"104"	""	""	"176"	""	"79"	"70"	"3"	"9"	"5"	"6"	"1"	"1"	"2"	"0"	"1"	"3"	"2"	"1"	"1"	"4"	"6"	"2"	"16"	"0"	"2"	"2"	"0"	"392"	""	""	""
"114"	"105"	""	""	"211"	""	"53"	"12"	"3"	"2"	"2"	"3"	"4"	"6"	"7"	"2"	"2"	"4"	"12"	"10"	"24"	"6"	"33"	"3"	"68"	"2"	"0"	"4"	"10"	"483"	""	""	""
"115"	"106"	""	""	"509"	""	"135"	"35"	"2"	"1"	"3"	"3"	"1"	"2"	"4"	"1"	"0"	"5"	"9"	"4"	"20"	"22"	"8"	"1"	"10"	"1"	"0"	"0"	"6"	"782"	""	""	""
"116"	"107"	""	""	"252"	""	"166"	"12"	"6"	"6"	"4"	"5"	"1"	"6"	"7"	"2"	"2"	"1"	"3"	"6"	"7"	"9"	"14"	"2"	"21"	"0"	"3"	"2"	"5"	"542"	""	""	""
"117"	"108"	""	""	"126"	""	"239"	"20"	"6"	"2"	"4"	"5"	"2"	"5"	"3"	"0"	"1"	"0"	"2"	"0"	"0"	"3"	"8"	"0"	"5"	"2"	"2"	"0"	"0"	"435"	""	""	""
"118"	"109"	""	""	"107"	""	"40"	"52"	"3"	"2"	"5"	"1"	"5"	"2"	"3"	"1"	"1"	"2"	"9"	"6"	"13"	"2"	"14"	"0"	"8"	"4"	"1"	"5"	"4"	"290"	""	""	""
"119"	"110"	""	""	"138"	""	"152"	"106"	"7"	"23"	"13"	"3"	"9"	"30"	"6"	"2"	"3"	"3"	"5"	"6"	"2"	"13"	"13"	"6"	"89"	"1"	"3"	"2"	"3"	"638"	""	""	""
"120"	"111"	""	""	"173"	""	"104"	"168"	"9"	"40"	"7"	"10"	"7"	"27"	"14"	"6"	"8"	"4"	"10"	"12"	"23"	"7"	"11"	"2"	"22"	"1"	"0"	"2"	"3"	"670"	""	""	""
"121"	"112"	""	""	"103"	""	"75"	"124"	"11"	"38"	"7"	"1"	"5"	"8"	"6"	"9"	"2"	"5"	"9"	"8"	"14"	"5"	"12"	"4"	"33"	"2"	"1"	"3"	"15"	"500"	""	""	""
"122"	"113"	""	""	"98"	""	"272"	"26"	"0"	"14"	"1"	"3"	"2"	"5"	"8"	"2"	"2"	"1"	"3"	"8"	"9"	"6"	"12"	"4"	"9"	"0"	"2"	"1"	"1"	"489"	""	""	""
"123"	"114"	""	""	"254"	""	"25"	"11"	"2"	"1"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"4"	"2"	"6"	"4"	"0"	"1"	"32"	"1"	"3"	"1"	"4"	"356"	""	""	""
"124"	"115"	""	""	"322"	""	"86"	"77"	"9"	"5"	"5"	"2"	"2"	"7"	"9"	"2"	"2"	"1"	"5"	"4"	"5"	"6"	"9"	"0"	"15"	"1"	"1"	"5"	"2"	"582"	""	""	""
"125"	"TOTAL NO OF ELECTORS IN 91-BOCHHAN ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"199351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"126"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"127"	"116"	""	""	"240"	""	"95"	"28"	"4"	"4"	"6"	"1"	"3"	"6"	"3"	"2"	"4"	"3"	"10"	"35"	"25"	"3"	"3"	"1"	"1"	"0"	"0"	"3"	"4"	"484"	""	""	""
"128"	"117"	""	""	"114"	""	"58"	"40"	"3"	"1"	"2"	"1"	"1"	"0"	"1"	"1"	"3"	"1"	"4"	"4"	"10"	"2"	"2"	"1"	"11"	"1"	"1"	"2"	"0"	"264"	""	""	""
"129"	"118"	""	""	"248"	""	"141"	"138"	"16"	"15"	"12"	"5"	"7"	"4"	"3"	"1"	"1"	"2"	"5"	"1"	"8"	"6"	"6"	"1"	"25"	"4"	"2"	"4"	"0"	"655"	""	""	""
"130"	"119"	""	""	"298"	""	"116"	"87"	"4"	"9"	"7"	"5"	"6"	"7"	"3"	"2"	"3"	"1"	"6"	"2"	"16"	"4"	"0"	"2"	"25"	"1"	"0"	"1"	"3"	"608"	""	""	""
"131"	"120"	""	""	"218"	""	"342"	"44"	"11"	"4"	"2"	"3"	"8"	"4"	"4"	"0"	"1"	"0"	"7"	"6"	"5"	"8"	"8"	"3"	"78"	"0"	"0"	"2"	"3"	"761"	""	""	""
"132"	"121"	""	""	"366"	""	"92"	"76"	"1"	"2"	"2"	"3"	"2"	"4"	"3"	"2"	"0"	"1"	"4"	"8"	"16"	"9"	"2"	"0"	"25"	"0"	"0"	"1"	"3"	"622"	""	""	""
"133"	"122"	""	""	"309"	""	"206"	"62"	"15"	"0"	"6"	"3"	"2"	"3"	"8"	"2"	"6"	"6"	"15"	"25"	"34"	"15"	"12"	"4"	"13"	"1"	"4"	"4"	"10"	"765"	""	""	""
"134"	"123"	""	""	"157"	""	"193"	"45"	"3"	"0"	"3"	"0"	"2"	"0"	"4"	"0"	"1"	"1"	"5"	"7"	"4"	"10"	"15"	"4"	"9"	"0"	"0"	"1"	"2"	"466"	""	""	""
"135"	"124"	""	""	"168"	""	"104"	"31"	"2"	"0"	"3"	"0"	"5"	"2"	"1"	"0"	"3"	"1"	"6"	"7"	"25"	"8"	"3"	"2"	"1"	"0"	"0"	"2"	"2"	"376"	""	""	""
"136"	"125"	""	""	"142"	""	"109"	"57"	"3"	"2"	"2"	"2"	"3"	"1"	"5"	"1"	"1"	"1"	"3"	"4"	"1"	"3"	"2"	"1"	"10"	"0"	"0"	"3"	"0"	"356"	""	""	""
"137"	"126"	""	""	"181"	""	"29"	"20"	"4"	"4"	"2"	"1"	"2"	"4"	"1"	"3"	"0"	"0"	"4"	"4"	"14"	"14"	"4"	"3"	"52"	"2"	"0"	"1"	"4"	"353"	""	""	""
"138"	"127"	""	""	"184"	""	"57"	"31"	"5"	"26"	"1"	"1"	"1"	"14"	"5"	"2"	"2"	"1"	"9"	"10"	"12"	"3"	"2"	"0"	"19"	"4"	"3"	"3"	"4"	"399"	""	""	""
"139"	"128"	""	""	"182"	""	"145"	"10"	"10"	"0"	"0"	"4"	"0"	"5"	"2"	"3"	"2"	"3"	"7"	"7"	"10"	"5"	"2"	"3"	"5"	"1"	"0"	"2"	"1"	"409"	""	""	""
"140"	"129"	""	""	"127"	""	"40"	"107"	"6"	"3"	"7"	"3"	"2"	"6"	"3"	"4"	"2"	"1"	"8"	"7"	"13"	"29"	"10"	"12"	"114"	"8"	"6"	"13"	"17"	"548"	""	""	""
"141"	"130"	""	""	"269"	""	"217"	"14"	"20"	"5"	"2"	"5"	"4"	"4"	"5"	"3"	"1"	"1"	"11"	"13"	"15"	"6"	"6"	"2"	"25"	"2"	"0"	"3"	"9"	"642"	""	""	""
"142"	"131"	""	""	"229"	""	"386"	"31"	"7"	"5"	"1"	"5"	"5"	"5"	"3"	"4"	"5"	"4"	"4"	"10"	"29"	"14"	"12"	"2"	"37"	"2"	"1"	"8"	"8"	"817"	""	""	""
"143"	"132"	""	""	"94"	""	"123"	"53"	"11"	"38"	"2"	"1"	"2"	"8"	"2"	"1"	"3"	"1"	"6"	"5"	"9"	"9"	"9"	"2"	"6"	"2"	"0"	"5"	"2"	"394"	""	""	""
"144"	"133"	""	""	"222"	""	"21"	"70"	"6"	"0"	"0"	"3"	"4"	"3"	"0"	"0"	"1"	"6"	"4"	"9"	"15"	"5"	"2"	"1"	"29"	"1"	"0"	"2"	"0"	"404"	""	""	""
"145"	"134"	""	""	"144"	""	"45"	"63"	"21"	"6"	"3"	"4"	"3"	"0"	"2"	"0"	"2"	"1"	"4"	"5"	"26"	"36"	"9"	"8"	"14"	"2"	"5"	"5"	"9"	"417"	""	""	""
"146"	"135"	""	""	"151"	""	"38"	"154"	"28"	"32"	"2"	"1"	"4"	"4"	"2"	"2"	"3"	"2"	"12"	"3"	"6"	"2"	"2"	"0"	"4"	"0"	"0"	"1"	"0"	"453"	""	""	""
"147"	"136"	""	""	"158"	""	"29"	"17"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"2"	"13"	"4"	"4"	"4"	"0"	"1"	"3"	"5"	"245"	""	""	""
"148"	"137"	""	""	"59"	""	"90"	"61"	"12"	"5"	"2"	"3"	"3"	"28"	"0"	"0"	"3"	"1"	"6"	"1"	"4"	"9"	"4"	"2"	"5"	"0"	"2"	"1"	"0"	"301"	""	""	""
"149"	"138"	""	""	"75"	""	"27"	"433"	"26"	"21"	"1"	"1"	"2"	"2"	"1"	"0"	"2"	"6"	"3"	"2"	"13"	"8"	"16"	"4"	"17"	"4"	"0"	"7"	"4"	"675"	""	""	""
"150"	"TOTAL NO OF ELECTORS IN 91-BOCHHAN ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"199351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"151"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"152"	"139"	""	""	"206"	""	"54"	"75"	"4"	"19"	"3"	"4"	"5"	"7"	"2"	"3"	"2"	"3"	"10"	"6"	"20"	"17"	"8"	"1"	"16"	"2"	"1"	"1"	"2"	"471"	""	""	""
"153"	"140"	""	""	"210"	""	"52"	"29"	"12"	"1"	"2"	"0"	"3"	"4"	"2"	"0"	"0"	"2"	"6"	"2"	"10"	"20"	"14"	"3"	"4"	"3"	"5"	"10"	"8"	"402"	""	""	""
"154"	"141"	""	""	"162"	""	"9"	"77"	"6"	"7"	"0"	"3"	"4"	"5"	"4"	"2"	"2"	"2"	"6"	"2"	"18"	"31"	"41"	"8"	"4"	"0"	"0"	"1"	"2"	"396"	""	""	""
"155"	"142"	""	""	"211"	""	"18"	"113"	"3"	"24"	"0"	"1"	"1"	"7"	"2"	"0"	"0"	"1"	"8"	"2"	"19"	"5"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"418"	""	""	""
"156"	"143"	""	""	"135"	""	"76"	"83"	"5"	"40"	"4"	"8"	"5"	"12"	"7"	"1"	"3"	"1"	"12"	"7"	"25"	"2"	"1"	"2"	"7"	"0"	"0"	"4"	"4"	"444"	""	""	""
"157"	"144"	""	""	"132"	""	"7"	"72"	"1"	"4"	"0"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"4"	"3"	"13"	"15"	"7"	"2"	"10"	"1"	"2"	"6"	"2"	"290"	""	""	""
"158"	"145"	""	""	"315"	""	"34"	"54"	"5"	"17"	"3"	"0"	"3"	"2"	"1"	"1"	"1"	"1"	"8"	"2"	"2"	"12"	"2"	"3"	"6"	"3"	"3"	"5"	"2"	"485"	""	""	""
"159"	"146"	""	""	"95"	""	"337"	"50"	"6"	"9"	"8"	"4"	"3"	"4"	"9"	"3"	"0"	"3"	"5"	"7"	"15"	"3"	"12"	"5"	"1"	"2"	"1"	"2"	"4"	"588"	""	""	""
"160"	"147"	""	""	"103"	""	"148"	"216"	"16"	"15"	"5"	"4"	"5"	"38"	"1"	"8"	"1"	"2"	"6"	"6"	"4"	"2"	"1"	"0"	"24"	"0"	"0"	"1"	"0"	"606"	""	""	""
"161"	"148"	""	""	"50"	""	"256"	"45"	"6"	"28"	"6"	"7"	"6"	"4"	"7"	"0"	"6"	"4"	"11"	"19"	"17"	"7"	"30"	"2"	"17"	"1"	"1"	"6"	"9"	"545"	""	""	""
"162"	"149"	""	""	"89"	""	"21"	"77"	"7"	"3"	"4"	"4"	"7"	"4"	"8"	"4"	"3"	"4"	"18"	"14"	"22"	"4"	"6"	"2"	"13"	"0"	"5"	"1"	"1"	"321"	""	""	""
"163"	"150"	""	""	"112"	""	"105"	"70"	"16"	"1"	"5"	"1"	"7"	"7"	"7"	"1"	"3"	"3"	"12"	"12"	"19"	"4"	"18"	"2"	"11"	"0"	"3"	"5"	"1"	"425"	""	""	""
"164"	"151"	""	""	"209"	""	"67"	"55"	"4"	"3"	"0"	"1"	"2"	"2"	"5"	"4"	"1"	"1"	"10"	"5"	"5"	"3"	"33"	"3"	"26"	"0"	"1"	"2"	"2"	"444"	""	""	""
"165"	"152"	""	""	"208"	""	"41"	"3"	"2"	"5"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"5"	"15"	"1"	"3"	"3"	"1"	"4"	"1"	"5"	"304"	""	""	""
"166"	"153"	""	""	"258"	""	"132"	"87"	"117"	"6"	"1"	"6"	"2"	"6"	"4"	"1"	"2"	"1"	"11"	"7"	"19"	"8"	"9"	"0"	"3"	"2"	"0"	"2"	"3"	"687"	""	""	""
"167"	"154"	""	""	"49"	""	"31"	"327"	"10"	"10"	"0"	"1"	"1"	"1"	"1"	"2"	"2"	"0"	"4"	"0"	"4"	"1"	"1"	"2"	"12"	"0"	"0"	"0"	"2"	"461"	""	""	""
"168"	"155"	""	""	"90"	""	"22"	"67"	"29"	"38"	"4"	"0"	"3"	"4"	"3"	"2"	"1"	"2"	"1"	"2"	"1"	"1"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"275"	""	""	""
"169"	"156"	""	""	"6"	""	"84"	"43"	"3"	"3"	"0"	"3"	"0"	"3"	"0"	"0"	"2"	"1"	"2"	"3"	"5"	"2"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"163"	""	""	""
"170"	"157"	""	""	"67"	""	"68"	"108"	"2"	"5"	"1"	"3"	"2"	"3"	"3"	"1"	"4"	"3"	"8"	"7"	"13"	"3"	"3"	"13"	"1"	"3"	"2"	"2"	"3"	"328"	""	""	""
"171"	"158"	""	""	"152"	""	"176"	"119"	"2"	"3"	"1"	"2"	"2"	"0"	"2"	"0"	"1"	"2"	"4"	"8"	"4"	"0"	"2"	"1"	"7"	"0"	"0"	"0"	"1"	"489"	""	""	""
"172"	"159"	""	""	"144"	""	"238"	"40"	"12"	"5"	"5"	"3"	"1"	"4"	"7"	"5"	"5"	"2"	"12"	"8"	"17"	"5"	"13"	"2"	"10"	"3"	"3"	"3"	"3"	"550"	""	""	""
"173"	"160"	""	""	"170"	""	"121"	"83"	"7"	"7"	"2"	"3"	"0"	"8"	"3"	"0"	"2"	"2"	"4"	"6"	"13"	"7"	"9"	"5"	"11"	"4"	"3"	"0"	"6"	"476"	""	""	""
"174"	"161"	""	""	"176"	""	"47"	"108"	"14"	"19"	"4"	"2"	"2"	"5"	"2"	"2"	"3"	"4"	"7"	"3"	"12"	"5"	"6"	"1"	"13"	"4"	"3"	"2"	"2"	"446"	""	""	""
"175"	"TOTAL NO OF ELECTORS IN 91-BOCHHAN ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"199351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"177"	"162"	""	""	"153"	""	"108"	"55"	"3"	"25"	"3"	"0"	"2"	"9"	"1"	"0"	"5"	"6"	"6"	"8"	"25"	"10"	"4"	"3"	"4"	"2"	"0"	"1"	"7"	"440"	""	""	""
"178"	"163"	""	""	"550"	""	"95"	"21"	"30"	"5"	"2"	"4"	"2"	"6"	"4"	"2"	"2"	"0"	"5"	"2"	"5"	"10"	"1"	"4"	"10"	"0"	"0"	"0"	"1"	"761"	""	""	""
"179"	"164"	""	""	"265"	""	"96"	"52"	"24"	"6"	"1"	"0"	"1"	"5"	"2"	"4"	"0"	"7"	"6"	"4"	"22"	"24"	"11"	"4"	"29"	"5"	"1"	"3"	"12"	"584"	""	""	""
"180"	"165"	""	""	"227"	""	"140"	"47"	"18"	"9"	"8"	"7"	"6"	"4"	"4"	"1"	"5"	"3"	"11"	"10"	"24"	"19"	"11"	"6"	"16"	"6"	"6"	"10"	"11"	"609"	""	""	""
"181"	"166"	""	""	"364"	""	"80"	"25"	"1"	"18"	"1"	"1"	"2"	"4"	"6"	"1"	"5"	"2"	"7"	"4"	"20"	"12"	"25"	"4"	"16"	"0"	"4"	"4"	"4"	"610"	""	""	""
"182"	"167"	""	""	"217"	""	"157"	"38"	"7"	"74"	"4"	"2"	"6"	"18"	"2"	"8"	"1"	"4"	"9"	"8"	"19"	"5"	"3"	"3"	"7"	"2"	"5"	"1"	"6"	"606"	""	""	""
"183"	"168"	""	""	"515"	""	"217"	"13"	"9"	"2"	"2"	"2"	"3"	"1"	"2"	"0"	"1"	"0"	"6"	"2"	"8"	"3"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"789"	""	""	""
"184"	"169"	""	""	"203"	""	"53"	"7"	"0"	"1"	"2"	"0"	"2"	"3"	"1"	"0"	"0"	"2"	"4"	"4"	"13"	"12"	"5"	"6"	"3"	"0"	"1"	"5"	"6"	"333"	""	""	""
"185"	"170"	""	""	"283"	""	"53"	"6"	"2"	"2"	"1"	"2"	"3"	"4"	"1"	"2"	"0"	"2"	"6"	"2"	"12"	"20"	"4"	"1"	"4"	"2"	"1"	"2"	"5"	"420"	""	""	""
"186"	"171"	""	""	"411"	""	"88"	"30"	"20"	"6"	"3"	"2"	"2"	"6"	"3"	"1"	"3"	"2"	"7"	"4"	"21"	"10"	"5"	"2"	"4"	"2"	"1"	"3"	"2"	"638"	""	""	""
"187"	"172"	""	""	"388"	""	"91"	"64"	"3"	"47"	"2"	"2"	"2"	"11"	"1"	"4"	"3"	"2"	"13"	"4"	"37"	"11"	"7"	"6"	"5"	"2"	"5"	"11"	"17"	"738"	""	""	""
"188"	"173"	""	""	"63"	""	"14"	"19"	"3"	"20"	"0"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"3"	"1"	"0"	"2"	"2"	"1"	"1"	"0"	"137"	""	""	""
"189"	"174"	""	""	"247"	""	"79"	"48"	"1"	"68"	"5"	"3"	"11"	"10"	"4"	"1"	"17"	"9"	"24"	"11"	"38"	"45"	"10"	"11"	"13"	"15"	"12"	"18"	"26"	"726"	""	""	""
"190"	"175"	""	""	"173"	""	"303"	"37"	"7"	"35"	"2"	"6"	"6"	"14"	"2"	"0"	"2"	"7"	"10"	"3"	"7"	"7"	"10"	"5"	"7"	"1"	"1"	"5"	"3"	"653"	""	""	""
"191"	"176"	""	""	"199"	""	"46"	"95"	"2"	"34"	"4"	"2"	"7"	"11"	"0"	"2"	"1"	"3"	"11"	"3"	"18"	"4"	"1"	"1"	"1"	"2"	"0"	"2"	"4"	"453"	""	""	""
"192"	"177"	""	""	"113"	""	"42"	"77"	"4"	"35"	"7"	"2"	"3"	"10"	"3"	"2"	"5"	"3"	"6"	"3"	"31"	"11"	"4"	"3"	"5"	"5"	"2"	"3"	"10"	"389"	""	""	""
"193"	"178"	""	""	"62"	""	"196"	"46"	"4"	"20"	"2"	"1"	"0"	"5"	"7"	"1"	"1"	"4"	"5"	"7"	"14"	"3"	"8"	"1"	"3"	"0"	"0"	"2"	"4"	"396"	""	""	""
"194"	"179"	""	""	"383"	""	"173"	"81"	"27"	"15"	"2"	"1"	"4"	"4"	"5"	"1"	"0"	"3"	"8"	"4"	"6"	"5"	"10"	"4"	"8"	"3"	"0"	"1"	"2"	"750"	""	""	""
"195"	"180"	""	""	"42"	""	"473"	"37"	"23"	"1"	"2"	"1"	"0"	"2"	"2"	"0"	"1"	"6"	"1"	"3"	"10"	"0"	"8"	"1"	"1"	"1"	"2"	"0"	"2"	"619"	""	""	""
"196"	"181"	""	""	"170"	""	"44"	"46"	"11"	"6"	"6"	"4"	"0"	"7"	"3"	"2"	"2"	"3"	"7"	"4"	"14"	"14"	"13"	"1"	"7"	"0"	"2"	"1"	"6"	"373"	""	""	""
"197"	"182"	""	""	"149"	""	"90"	"4"	"13"	"3"	"1"	"2"	"2"	"1"	"1"	"0"	"1"	"0"	"5"	"1"	"3"	"11"	"4"	"1"	"3"	"0"	"1"	"2"	"0"	"298"	""	""	""
"198"	"183"	""	""	"88"	""	"149"	"78"	"12"	"4"	"5"	"1"	"4"	"4"	"9"	"4"	"8"	"6"	"14"	"25"	"28"	"14"	"21"	"3"	"14"	"2"	"2"	"7"	"10"	"512"	""	""	""
"199"	"184"	""	""	"6"	""	"5"	"158"	"8"	"2"	"3"	"2"	"0"	"0"	"0"	"1"	"1"	"8"	"10"	"0"	"5"	"2"	"0"	"11"	"6"	"0"	"1"	"1"	"2"	"232"	""	""	""
"200"	"TOTAL NO OF ELECTORS IN 91-BOCHHAN ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"199351"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	""	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
