"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X226352.37.Rajnagar..SC."	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"180"	""	"131"	"99"	"5"	"103"	"43"	"2"	"2"	"3"	"0"	"0"	"0"	"4"	"261"	""	"261"	""
"181"	""	"132"	"12"	"1"	"178"	"132"	"7"	"3"	"3"	"2"	"3"	"0"	"14"	"355"	""	"355"	""
"182"	""	"133"	"5"	"2"	"99"	"6"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"115"	""	"115"	""
"183"	""	"134"	"42"	"6"	"71"	"97"	"9"	"0"	"7"	"7"	"1"	"4"	"14"	"258"	""	"258"	""
"184"	""	"135"	"195"	"5"	"33"	"116"	"5"	"4"	"2"	"3"	"2"	"8"	"14"	"387"	""	"387"	""
"185"	""	"136"	"65"	"13"	"93"	"265"	"9"	"5"	"8"	"7"	"3"	"8"	"16"	"492"	""	"492"	""
"186"	""	"137"	"96"	"7"	"18"	"461"	"8"	"4"	"7"	"2"	"1"	"4"	"8"	"616"	""	"616"	""
"187"	""	"138"	"25"	"4"	"32"	"184"	"4"	"7"	"3"	"2"	"0"	"2"	"2"	"265"	""	"265"	""
"188"	""	"139"	"79"	"1"	"33"	"31"	"2"	"2"	"0"	"1"	"1"	"0"	"1"	"151"	""	"151"	""
"189"	""	"Total -10"	"846"	"71"	"1189"	"2199"	"72"	"53"	"62"	"47"	"36"	"63"	"174"	"4812"	"0"	"4812"	"0"
"190"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"191"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"192"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"194"	"Round No 11"	"140"	"87"	"3"	"117"	"63"	"4"	"3"	"0"	"0"	"1"	"3"	"1"	"282"	""	"282"	""
"195"	""	"141"	"51"	"15"	"127"	"194"	"9"	"1"	"12"	"7"	"4"	"6"	"25"	"451"	""	"451"	""
"196"	""	"142"	"14"	"0"	"384"	"28"	"3"	"1"	"0"	"0"	"0"	"1"	"0"	"431"	""	"431"	""
"197"	""	"143"	"52"	"12"	"175"	"184"	"2"	"5"	"5"	"3"	"2"	"3"	"7"	"450"	""	"450"	""
"198"	""	"144"	"1"	"1"	"15"	"259"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"280"	""	"280"	""
"199"	""	"145"	"57"	"13"	"242"	"217"	"16"	"7"	"8"	"4"	"12"	"2"	"17"	"595"	""	"595"	""
"200"	""	"146"	"5"	"0"	"314"	"75"	"3"	"1"	"0"	"0"	"1"	"2"	"0"	"401"	""	"401"	""
"201"	""	"147"	"25"	"8"	"105"	"263"	"9"	"4"	"6"	"9"	"5"	"6"	"14"	"454"	""	"454"	""
"202"	""	"148"	"187"	"13"	"94"	"216"	"5"	"6"	"5"	"3"	"4"	"3"	"8"	"544"	""	"544"	""
"203"	""	"149"	"16"	"3"	"158"	"234"	"5"	"4"	"6"	"8"	"1"	"2"	"9"	"446"	""	"446"	""
"204"	""	"150"	"59"	"3"	"163"	"75"	"3"	"3"	"3"	"5"	"4"	"5"	"19"	"342"	""	"342"	""
"205"	""	"151"	"44"	"0"	"83"	"21"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"151"	""	"151"	""
"206"	""	"152"	"38"	"4"	"157"	"37"	"4"	"0"	"1"	"0"	"1"	"6"	"11"	"259"	""	"259"	""
"207"	""	"153"	"24"	"3"	"321"	"205"	"19"	"4"	"7"	"7"	"2"	"4"	"13"	"609"	""	"609"	""
"208"	""	"Total -11"	"660"	"78"	"2455"	"2071"	"83"	"39"	"55"	"46"	"39"	"44"	"125"	"5695"	"0"	"5695"	"0"
"209"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"210"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"213"	"Round No 12"	"154"	"123"	"2"	"58"	"47"	"2"	"4"	"0"	"2"	"3"	"1"	"8"	"250"	""	"250"	""
"214"	""	"155"	"100"	"9"	"52"	"121"	"4"	"9"	"7"	"3"	"9"	"7"	"22"	"343"	""	"343"	""
"215"	""	"156"	"17"	"7"	"110"	"348"	"13"	"9"	"15"	"12"	"6"	"5"	"25"	"567"	""	"567"	""
"216"	""	"157"	"20"	"3"	"90"	"216"	"6"	"5"	"2"	"5"	"5"	"7"	"22"	"381"	""	"381"	""
"217"	""	"158"	"11"	"4"	"306"	"199"	"7"	"0"	"5"	"1"	"10"	"10"	"12"	"565"	""	"565"	""
"218"	""	"159"	"77"	"4"	"222"	"119"	"6"	"3"	"6"	"5"	"5"	"5"	"32"	"484"	""	"484"	""
"219"	""	"160"	"25"	"6"	"194"	"285"	"4"	"3"	"3"	"1"	"0"	"2"	"4"	"527"	""	"527"	""
"220"	""	"161"	"23"	"0"	"98"	"94"	"2"	"2"	"0"	"1"	"1"	"2"	"1"	"224"	""	"224"	""
"221"	""	"162"	"149"	"5"	"186"	"32"	"6"	"4"	"1"	"1"	"7"	"2"	"8"	"401"	""	"401"	""
"222"	""	"163"	"73"	"6"	"131"	"37"	"3"	"2"	"6"	"2"	"5"	"5"	"12"	"282"	""	"282"	""
"223"	""	"164"	"31"	"3"	"120"	"311"	"13"	"8"	"13"	"6"	"3"	"10"	"41"	"559"	""	"559"	""
"224"	""	"165"	"30"	"4"	"123"	"211"	"14"	"2"	"1"	"1"	"0"	"2"	"2"	"390"	""	"390"	""
"225"	""	"166"	"178"	"4"	"54"	"139"	"6"	"1"	"3"	"0"	"3"	"3"	"11"	"402"	""	"402"	""
"226"	""	"167"	"133"	"6"	"58"	"63"	"1"	"0"	"1"	"0"	"1"	"3"	"0"	"266"	""	"266"	""
"227"	""	"Total -12"	"990"	"63"	"1802"	"2222"	"87"	"52"	"63"	"40"	"58"	"64"	"200"	"5641"	"0"	"5641"	"0"
"228"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"229"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"230"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"232"	"Round No 13"	"168"	"22"	"7"	"59"	"164"	"19"	"2"	"4"	"3"	"1"	"3"	"4"	"288"	""	"288"	""
"233"	""	"169"	"10"	"2"	"40"	"506"	"6"	"1"	"4"	"2"	"0"	"2"	"1"	"574"	""	"574"	""
"234"	""	"170"	"67"	"5"	"101"	"60"	"4"	"2"	"0"	"0"	"0"	"1"	"5"	"245"	""	"245"	""
"235"	""	"171"	"14"	"4"	"332"	"25"	"5"	"6"	"2"	"6"	"4"	"7"	"8"	"413"	""	"413"	""
"236"	""	"172"	"12"	"0"	"44"	"320"	"6"	"3"	"2"	"0"	"1"	"3"	"8"	"399"	""	"399"	""
"237"	""	"173"	"10"	"2"	"213"	"126"	"4"	"0"	"0"	"0"	"1"	"1"	"7"	"364"	""	"364"	""
"238"	""	"174"	"13"	"9"	"244"	"34"	"2"	"3"	"4"	"16"	"2"	"4"	"5"	"336"	""	"336"	""
"239"	""	"175"	"116"	"9"	"95"	"149"	"10"	"6"	"2"	"3"	"0"	"3"	"9"	"402"	""	"402"	""
"240"	""	"176"	"89"	"1"	"35"	"129"	"4"	"2"	"2"	"2"	"2"	"5"	"9"	"280"	""	"280"	""
"241"	""	"177"	"92"	"5"	"82"	"52"	"3"	"0"	"1"	"0"	"0"	"2"	"0"	"237"	""	"237"	""
"242"	""	"178"	"52"	"3"	"105"	"145"	"4"	"9"	"10"	"7"	"8"	"1"	"8"	"352"	""	"352"	""
"243"	""	"179"	"165"	"13"	"254"	"82"	"6"	"5"	"3"	"2"	"14"	"8"	"26"	"578"	""	"578"	""
"244"	""	"180"	"18"	"3"	"172"	"252"	"10"	"6"	"10"	"8"	"4"	"8"	"19"	"510"	""	"510"	""
"245"	""	"181"	"62"	"9"	"108"	"136"	"8"	"2"	"0"	"4"	"1"	"4"	"3"	"337"	""	"337"	""
"246"	""	"Total -13"	"742"	"72"	"1884"	"2180"	"91"	"47"	"44"	"53"	"38"	"52"	"112"	"5315"	"0"	"5315"	"0"
"247"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"248"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"249"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"251"	"Round No 14"	"182"	"175"	"5"	"102"	"10"	"2"	"0"	"1"	"1"	"0"	"2"	"1"	"299"	""	"299"	""
"252"	""	"183"	"13"	"5"	"84"	"50"	"2"	"2"	"0"	"0"	"0"	"1"	"1"	"158"	""	"158"	""
"253"	""	"184"	"97"	"7"	"72"	"164"	"2"	"8"	"6"	"7"	"2"	"3"	"8"	"376"	""	"376"	""
"254"	""	"185"	"13"	"8"	"95"	"123"	"1"	"1"	"2"	"0"	"0"	"2"	"11"	"256"	""	"256"	""
"255"	""	"186"	"72"	"0"	"42"	"114"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"233"	""	"233"	""
"256"	""	"187"	"20"	"5"	"348"	"44"	"8"	"6"	"5"	"11"	"17"	"7"	"15"	"486"	""	"486"	""
"257"	""	"188"	"15"	"0"	"20"	"231"	"2"	"5"	"2"	"1"	"1"	"9"	"18"	"304"	""	"304"	""
"258"	""	"189"	"12"	"1"	"37"	"226"	"4"	"5"	"5"	"2"	"2"	"3"	"3"	"300"	""	"300"	""
"259"	""	"190"	"59"	"6"	"240"	"177"	"9"	"6"	"6"	"10"	"6"	"7"	"16"	"542"	""	"542"	""
"260"	""	"191"	"5"	"0"	"169"	"4"	"0"	"0"	"2"	"2"	"0"	"0"	"1"	"183"	""	"183"	""
"261"	""	"192"	"256"	"16"	"51"	"55"	"4"	"5"	"2"	"4"	"7"	"10"	"28"	"438"	""	"438"	""
"262"	""	"193"	"22"	"2"	"267"	"70"	"37"	"2"	"6"	"5"	"5"	"6"	"10"	"432"	""	"432"	""
"263"	""	"194"	"26"	"12"	"119"	"245"	"9"	"3"	"4"	"2"	"2"	"1"	"24"	"447"	""	"447"	""
"264"	""	"195"	"17"	"5"	"120"	"259"	"13"	"9"	"11"	"10"	"4"	"8"	"18"	"474"	""	"474"	""
"265"	""	"Total -14"	"802"	"72"	"1766"	"1772"	"93"	"53"	"53"	"56"	"46"	"59"	"156"	"4928"	"0"	"4928"	"0"
"266"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"267"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"268"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"270"	"Round No 15"	"196"	"155"	"11"	"110"	"153"	"14"	"4"	"6"	"2"	"4"	"7"	"6"	"472"	""	"472"	""
"271"	""	"197"	"67"	"1"	"105"	"246"	"7"	"7"	"1"	"1"	"4"	"9"	"23"	"471"	""	"471"	""
"272"	""	"198"	"2"	"2"	"137"	"144"	"4"	"5"	"4"	"3"	"1"	"4"	"5"	"311"	""	"311"	""
"273"	""	"199"	"47"	"1"	"46"	"66"	"1"	"4"	"3"	"3"	"2"	"5"	"19"	"197"	""	"197"	""
"274"	""	"200"	"40"	"5"	"285"	"47"	"2"	"0"	"1"	"1"	"1"	"30"	"1"	"413"	""	"413"	""
"275"	""	"201"	"66"	"19"	"181"	"85"	"9"	"1"	"4"	"4"	"5"	"8"	"15"	"397"	""	"397"	""
"276"	""	"202"	"84"	"6"	"102"	"57"	"5"	"3"	"2"	"2"	"4"	"12"	"13"	"290"	""	"290"	""
"277"	""	"203"	"8"	"11"	"496"	"31"	"2"	"1"	"2"	"1"	"1"	"3"	"0"	"556"	""	"556"	""
"278"	""	"204"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"279"	""	"205"	"101"	"7"	"103"	"96"	"2"	"12"	"3"	"1"	"0"	"3"	"1"	"329"	""	"329"	""
"280"	""	"206"	"97"	"11"	"172"	"5"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"287"	""	"287"	""
"281"	""	"207"	"13"	"90"	"33"	"14"	"3"	"3"	"0"	"2"	"0"	"1"	"1"	"160"	""	"160"	""
"282"	""	"208"	"16"	"32"	"111"	"179"	"12"	"12"	"6"	"5"	"2"	"8"	"22"	"405"	""	"405"	""
"283"	""	"209"	"54"	"2"	"49"	"34"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"140"	""	"140"	""
"284"	""	"Total -15"	"750"	"198"	"1930"	"1157"	"62"	"52"	"33"	"25"	"25"	"90"	"106"	"4428"	"0"	"4428"	"0"
"285"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"286"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"287"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"289"	"Round No 16"	"210"	"34"	"2"	"146"	"11"	"2"	"1"	"2"	"1"	"1"	"2"	"4"	"206"	""	"206"	""
"290"	""	"211"	"24"	"9"	"257"	"44"	"3"	"4"	"3"	"5"	"3"	"15"	"10"	"377"	""	"377"	""
"291"	""	"212"	"104"	"8"	"101"	"125"	"7"	"4"	"5"	"1"	"2"	"8"	"12"	"377"	""	"377"	""
"292"	""	"213"	"177"	"2"	"16"	"39"	"2"	"4"	"2"	"0"	"1"	"2"	"5"	"250"	""	"250"	""
"293"	""	"214"	"63"	"8"	"179"	"110"	"49"	"3"	"4"	"1"	"2"	"8"	"7"	"434"	""	"434"	""
"294"	""	"215"	"168"	"3"	"13"	"22"	"1"	"2"	"1"	"1"	"1"	"0"	"2"	"214"	""	"214"	""
"295"	""	"216"	"65"	"0"	"69"	"23"	"1"	"1"	"1"	"3"	"1"	"3"	"3"	"170"	""	"170"	""
"296"	""	"217"	"17"	"5"	"222"	"211"	"22"	"6"	"6"	"3"	"2"	"4"	"7"	"505"	""	"505"	""
"297"	""	"218"	"46"	"7"	"169"	"137"	"5"	"2"	"2"	"2"	"5"	"9"	"17"	"401"	""	"401"	""
"298"	""	"219"	"23"	"6"	"200"	"33"	"0"	"1"	"0"	"1"	"1"	"2"	"4"	"271"	""	"271"	""
"299"	""	"220"	"25"	"3"	"155"	"119"	"9"	"4"	"2"	"0"	"6"	"5"	"36"	"364"	""	"364"	""
"300"	""	""	"746"	"53"	"1527"	"874"	"101"	"32"	"28"	"18"	"25"	"58"	"107"	"3569"	"0"	"3569"	"0"
"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	""	"Total -16"	""	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"
"304"	""	""	""	""	""	""	""	"226352
37-Rajnagar (SC)"	""	""	""	""	""	""	""	""	""
"305"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"306"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"307"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"308"	"Final"	"Total No. of votes recorded at Polling stations"	"15030"	"1387"	"28307"	"28067"	"1605"	"1117"	"814"	"667"	"645"	"988"	"2106"	"80733"	"0"	"80733"	"0"
"309"	""	"No. of Votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"310"	""	"TOTAL VOTES POLLED"	"15030"	"1387"	"28307"	"28067"	"1605"	"1117"	"814"	"667"	"645"	"988"	"2106"	"80733"	"0"	"80733"	"0"
