"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tend.ered.votes"
"134"	"127"	"11"	"295"	"343"	"37"	"3"	"3"	"2"	"1"	"4"	"2"	"0"	"2"	"0"	"0"	"3"	"4"	"5"	"5"	"720"	"0"	"720"	"0"
"135"	"128"	"3"	"74"	"217"	"78"	"2"	"2"	"2"	"6"	"8"	"4"	"10"	"5"	"11"	"6"	"11"	"28"	"2"	"6"	"475"	"0"	"475"	"0"
"136"	"129"	"6"	"126"	"116"	"138"	"2"	"0"	"2"	"1"	"5"	"0"	"1"	"1"	"4"	"2"	"6"	"8"	"0"	"2"	"420"	"0"	"420"	"0"
"137"	"130"	"10"	"93"	"157"	"18"	"3"	"0"	"0"	"4"	"9"	"2"	"1"	"0"	"3"	"4"	"1"	"2"	"4"	"10"	"321"	"0"	"321"	"0"
"138"	"131"	"9"	"179"	"166"	"6"	"2"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"3"	"3"	"1"	"3"	"378"	"0"	"378"	"0"
"139"	"132"	"11"	"93"	"132"	"18"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"0"	"2"	"5"	"4"	"5"	"6"	"282"	"0"	"282"	"0"
"140"	"133"	"6"	"105"	"198"	"4"	"1"	"4"	"0"	"1"	"1"	"2"	"0"	"2"	"6"	"12"	"13"	"21"	"0"	"6"	"382"	"0"	"382"	"0"
"141"	"134"	"3"	"6"	"30"	"162"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"3"	"0"	"0"	"212"	"0"	"212"	"0"
"142"	"135"	"12"	"107"	"141"	"297"	"5"	"2"	"2"	"1"	"0"	"2"	"2"	"3"	"5"	"2"	"6"	"6"	"0"	"2"	"595"	"0"	"595"	"0"
"143"	"136"	"2"	"278"	"143"	"164"	"1"	"1"	"7"	"2"	"4"	"0"	"2"	"0"	"0"	"0"	"13"	"8"	"0"	"0"	"625"	"0"	"625"	"0"
"144"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tend ered votes"
"145"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"146"	"137"	"9"	"18"	"175"	"121"	"5"	"3"	"3"	"3"	"4"	"0"	"0"	"0"	"1"	"1"	"4"	"3"	"0"	"1"	"351"	"0"	"351"	"0"
"147"	"138"	"21"	"23"	"235"	"170"	"6"	"3"	"2"	"5"	"3"	"2"	"0"	"2"	"2"	"1"	"7"	"3"	"2"	"5"	"492"	"0"	"492"	"0"
"148"	"139"	"6"	"122"	"206"	"68"	"3"	"3"	"2"	"0"	"6"	"2"	"0"	"4"	"6"	"4"	"7"	"13"	"0"	"1"	"453"	"0"	"453"	"0"
"149"	"140"	"10"	"69"	"157"	"76"	"0"	"2"	"0"	"0"	"3"	"0"	"3"	"6"	"3"	"9"	"6"	"15"	"0"	"4"	"363"	"0"	"363"	"0"
"150"	"141"	"10"	"24"	"122"	"123"	"2"	"0"	"1"	"2"	"3"	"1"	"0"	"1"	"1"	"2"	"3"	"5"	"1"	"3"	"304"	"0"	"304"	"0"
"151"	"142"	"9"	"234"	"185"	"40"	"2"	"2"	"1"	"0"	"2"	"2"	"0"	"2"	"0"	"2"	"1"	"3"	"0"	"1"	"486"	"0"	"486"	"0"
"152"	"143"	"17"	"93"	"191"	"194"	"3"	"1"	"2"	"6"	"7"	"2"	"2"	"1"	"0"	"3"	"4"	"5"	"5"	"5"	"541"	"0"	"541"	"0"
"153"	"144"	"9"	"327"	"132"	"40"	"1"	"2"	"0"	"2"	"5"	"1"	"2"	"3"	"0"	"5"	"7"	"12"	"0"	"17"	"565"	"0"	"565"	"0"
"154"	"145"	"0"	"162"	"64"	"8"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"1"	"241"	"0"	"241"	"0"
"155"	"146"	"4"	"99"	"71"	"0"	"0"	"0"	"0"	"1"	"7"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"185"	"0"	"185"	"0"
"156"	"147"	"7"	"138"	"103"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"1"	"3"	"1"	"3"	"270"	"0"	"270"	"0"
"157"	"148"	"9"	"92"	"72"	"4"	"2"	"1"	"2"	"0"	"4"	"2"	"1"	"1"	"1"	"5"	"4"	"10"	"1"	"2"	"213"	"0"	"213"	"0"
"158"	"149"	"14"	"243"	"184"	"17"	"1"	"5"	"1"	"1"	"8"	"6"	"1"	"0"	"4"	"6"	"13"	"23"	"0"	"4"	"531"	"0"	"531"	"0"
"159"	"150"	"5"	"326"	"35"	"53"	"1"	"0"	"0"	"2"	"0"	"2"	"1"	"1"	"1"	"15"	"0"	"9"	"1"	"2"	"454"	"0"	"454"	"0"
"160"	"151"	"26"	"189"	"227"	"92"	"6"	"0"	"3"	"2"	"10"	"4"	"2"	"1"	"3"	"2"	"13"	"5"	"2"	"7"	"594"	"0"	"594"	"0"
"161"	"152"	"5"	"35"	"110"	"144"	"6"	"2"	"2"	"2"	"0"	"1"	"0"	"0"	"2"	"5"	"1"	"6"	"0"	"0"	"321"	"0"	"321"	"0"
"162"	"153"	"12"	"251"	"288"	"56"	"5"	"2"	"2"	"2"	"11"	"9"	"3"	"3"	"5"	"11"	"14"	"16"	"11"	"6"	"707"	"0"	"707"	"0"
"163"	"154"	"14"	"95"	"261"	"142"	"5"	"4"	"0"	"3"	"15"	"1"	"1"	"3"	"2"	"8"	"9"	"19"	"12"	"14"	"608"	"0"	"608"	"0"
"164"	"155"	"18"	"305"	"113"	"212"	"6"	"4"	"1"	"6"	"4"	"0"	"2"	"3"	"0"	"2"	"4"	"4"	"2"	"3"	"689"	"0"	"689"	"0"
"165"	"156"	"19"	"97"	"290"	"148"	"10"	"7"	"6"	"4"	"9"	"7"	"3"	"3"	"2"	"6"	"11"	"16"	"3"	"4"	"645"	"0"	"645"	"0"
"166"	"157"	"6"	"91"	"335"	"6"	"3"	"0"	"2"	"0"	"1"	"1"	"1"	"0"	"0"	"4"	"1"	"8"	"1"	"11"	"471"	"0"	"471"	"0"
"167"	"158"	"9"	"90"	"354"	"25"	"0"	"0"	"0"	"2"	"1"	"1"	"2"	"3"	"2"	"8"	"6"	"17"	"0"	"5"	"525"	"0"	"525"	"0"
"168"	"159"	"7"	"84"	"353"	"33"	"2"	"2"	"0"	"1"	"3"	"2"	"0"	"1"	"1"	"1"	"2"	"1"	"0"	"2"	"495"	"0"	"495"	"0"
"169"	"160"	"1"	"137"	"318"	"4"	"1"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"12"	"3"	"0"	"4"	"486"	"0"	"486"	"0"
"170"	"161"	"2"	"173"	"396"	"11"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"1"	"1"	"2"	"7"	"5"	"1"	"6"	"610"	"0"	"610"	"0"
"171"	"162"	"2"	"293"	"217"	"35"	"1"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"3"	"3"	"1"	"3"	"564"	"0"	"564"	"0"
"172"	"163"	"7"	"60"	"247"	"116"	"6"	"1"	"4"	"1"	"4"	"4"	"5"	"2"	"4"	"2"	"14"	"5"	"1"	"1"	"484"	"0"	"484"	"0"
"173"	"164"	"11"	"77"	"155"	"87"	"2"	"3"	"2"	"1"	"4"	"3"	"2"	"1"	"3"	"3"	"8"	"9"	"2"	"2"	"375"	"0"	"375"	"0"
"174"	"165"	"5"	"183"	"380"	"9"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"0"	"3"	"0"	"3"	"2"	"1"	"3"	"595"	"0"	"595"	"0"
"175"	"166"	"9"	"596"	"49"	"5"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"1"	"1"	"3"	"8"	"4"	"7"	"687"	"0"	"687"	"0"
"176"	"167"	"2"	"664"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"670"	"0"	"670"	"0"
"177"	"168"	"11"	"217"	"292"	"11"	"0"	"0"	"0"	"1"	"6"	"2"	"2"	"1"	"1"	"4"	"4"	"7"	"4"	"2"	"565"	"0"	"565"	"0"
"178"	"169"	"4"	"666"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"680"	"0"	"680"	"0"
"179"	"170"	"3"	"198"	"220"	"35"	"1"	"0"	"5"	"2"	"3"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"3"	"475"	"0"	"475"	"0"
"180"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tend ered votes"
"181"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"182"	"171"	"9"	"60"	"193"	"100"	"2"	"1"	"9"	"3"	"5"	"2"	"3"	"2"	"4"	"8"	"8"	"10"	"5"	"5"	"429"	"0"	"429"	"0"
"183"	"172"	"2"	"522"	"8"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"549"	"0"	"549"	"0"
"184"	"173"	"3"	"310"	"70"	"16"	"2"	"2"	"2"	"1"	"0"	"0"	"1"	"0"	"4"	"6"	"1"	"0"	"0"	"3"	"421"	"0"	"421"	"0"
"185"	"174"	"0"	"553"	"4"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"564"	"0"	"564"	"0"
"186"	"175"	"19"	"261"	"315"	"9"	"3"	"4"	"4"	"3"	"8"	"1"	"2"	"3"	"2"	"0"	"1"	"4"	"6"	"3"	"648"	"0"	"648"	"0"
"187"	"176"	"8"	"257"	"254"	"47"	"4"	"3"	"6"	"2"	"7"	"4"	"3"	"5"	"7"	"20"	"24"	"24"	"0"	"6"	"681"	"0"	"681"	"0"
"188"	"177"	"32"	"295"	"273"	"48"	"3"	"2"	"0"	"3"	"6"	"3"	"2"	"0"	"2"	"0"	"0"	"1"	"3"	"1"	"674"	"0"	"674"	"0"
"189"	"178"	"13"	"248"	"304"	"8"	"0"	"1"	"3"	"2"	"6"	"8"	"4"	"5"	"5"	"16"	"14"	"15"	"7"	"14"	"673"	"0"	"673"	"0"
"190"	"179"	"23"	"328"	"283"	"91"	"0"	"2"	"1"	"3"	"5"	"2"	"3"	"1"	"2"	"3"	"4"	"9"	"4"	"1"	"765"	"0"	"765"	"0"
"191"	"180"	"16"	"333"	"177"	"3"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"0"	"1"	"2"	"4"	"3"	"1"	"8"	"553"	"0"	"553"	"0"
"192"	"181"	"5"	"171"	"312"	"8"	"2"	"4"	"0"	"1"	"1"	"2"	"2"	"2"	"5"	"6"	"8"	"16"	"1"	"1"	"547"	"0"	"547"	"0"
"193"	"182"	"36"	"340"	"335"	"34"	"4"	"3"	"4"	"4"	"6"	"2"	"1"	"0"	"0"	"4"	"4"	"5"	"4"	"4"	"790"	"0"	"790"	"0"
"194"	"183"	"5"	"94"	"673"	"39"	"6"	"1"	"0"	"3"	"10"	"4"	"2"	"1"	"5"	"23"	"8"	"12"	"1"	"2"	"889"	"0"	"889"	"0"
"195"	"184"	"0"	"298"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"0"	"307"	"0"
"196"	"185"	"1"	"286"	"90"	"6"	"0"	"2"	"0"	"2"	"1"	"2"	"1"	"0"	"1"	"2"	"1"	"4"	"0"	"1"	"400"	"0"	"400"	"0"
"197"	"186"	"3"	"838"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"1"	"10"	"866"	"0"	"866"	"0"
"198"	"187"	"18"	"168"	"323"	"158"	"7"	"3"	"5"	"7"	"7"	"2"	"2"	"4"	"1"	"5"	"1"	"7"	"1"	"1"	"720"	"0"	"720"	"0"
"199"	"188"	"17"	"146"	"390"	"116"	"9"	"4"	"5"	"3"	"5"	"2"	"3"	"4"	"5"	"20"	"20"	"28"	"5"	"12"	"794"	"0"	"794"	"0"
"200"	"189"	"11"	"14"	"96"	"415"	"1"	"2"	"2"	"1"	"3"	"0"	"3"	"2"	"1"	"4"	"9"	"0"	"0"	"1"	"565"	"0"	"565"	"0"
"201"	"190"	"7"	"264"	"66"	"16"	"0"	"1"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"362"	"0"	"362"	"0"
"202"	"191"	"20"	"62"	"417"	"62"	"4"	"7"	"0"	"1"	"2"	"3"	"3"	"2"	"4"	"7"	"3"	"3"	"7"	"10"	"617"	"0"	"617"	"0"
"203"	"192"	"13"	"82"	"451"	"6"	"1"	"4"	"4"	"4"	"1"	"1"	"1"	"0"	"1"	"1"	"1"	"2"	"6"	"14"	"593"	"0"	"593"	"0"
"204"	"193"	"6"	"59"	"133"	"23"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"7"	"2"	"7"	"247"	"0"	"247"	"0"
"205"	"194"	"12"	"102"	"334"	"11"	"2"	"3"	"1"	"3"	"2"	"3"	"2"	"3"	"1"	"3"	"3"	"4"	"8"	"8"	"505"	"0"	"505"	"0"
"206"	"195"	"23"	"49"	"338"	"67"	"4"	"6"	"12"	"6"	"21"	"5"	"3"	"4"	"7"	"10"	"6"	"14"	"0"	"2"	"577"	"0"	"577"	"0"
"207"	"196"	"18"	"25"	"98"	"87"	"1"	"4"	"4"	"1"	"5"	"2"	"3"	"1"	"2"	"3"	"16"	"1"	"1"	"1"	"273"	"0"	"273"	"0"
"208"	"197"	"5"	"137"	"78"	"6"	"5"	"1"	"1"	"4"	"9"	"2"	"4"	"1"	"8"	"5"	"20"	"12"	"5"	"6"	"309"	"0"	"309"	"0"
"209"	"198"	"11"	"61"	"177"	"5"	"1"	"5"	"4"	"3"	"5"	"3"	"2"	"1"	"3"	"5"	"7"	"21"	"0"	"1"	"315"	"0"	"315"	"0"
"210"	"199"	"7"	"119"	"143"	"16"	"3"	"2"	"2"	"1"	"3"	"5"	"8"	"0"	"4"	"10"	"15"	"25"	"1"	"4"	"368"	"0"	"368"	"0"
"211"	"200"	"17"	"200"	"86"	"15"	"4"	"4"	"4"	"1"	"15"	"2"	"1"	"1"	"4"	"5"	"2"	"5"	"0"	"0"	"366"	"0"	"366"	"0"
"212"	"201"	"11"	"245"	"164"	"11"	"6"	"1"	"2"	"5"	"11"	"3"	"2"	"1"	"5"	"5"	"16"	"17"	"0"	"1"	"506"	"0"	"506"	"0"
"213"	"202"	"21"	"164"	"109"	"43"	"6"	"4"	"2"	"8"	"8"	"4"	"5"	"1"	"1"	"3"	"85"	"12"	"0"	"2"	"478"	"0"	"478"	"0"
"214"	"203"	"16"	"302"	"56"	"27"	"6"	"0"	"0"	"5"	"6"	"0"	"0"	"1"	"0"	"1"	"24"	"3"	"0"	"0"	"447"	"0"	"447"	"0"
"215"	"204"	"15"	"19"	"265"	"14"	"1"	"2"	"0"	"2"	"2"	"2"	"2"	"0"	"1"	"3"	"109"	"8"	"2"	"4"	"451"	"0"	"451"	"0"
"216"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tend ered votes"
"217"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"218"	"205"	"2"	"22"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"394"	"1"	"0"	"0"	"427"	"0"	"427"	"0"
"219"	"206"	"10"	"135"	"138"	"36"	"8"	"0"	"1"	"2"	"3"	"1"	"1"	"3"	"0"	"1"	"0"	"2"	"1"	"0"	"342"	"0"	"342"	"0"
"220"	"207"	"13"	"26"	"265"	"89"	"2"	"7"	"6"	"2"	"2"	"3"	"1"	"4"	"2"	"8"	"29"	"4"	"8"	"3"	"474"	"0"	"474"	"0"
"221"	"208"	"10"	"27"	"276"	"212"	"11"	"4"	"1"	"0"	"3"	"1"	"2"	"6"	"9"	"18"	"20"	"31"	"4"	"5"	"640"	"0"	"640"	"0"
"222"	"209"	"3"	"41"	"216"	"260"	"9"	"3"	"4"	"2"	"8"	"3"	"4"	"10"	"7"	"11"	"10"	"17"	"1"	"1"	"610"	"0"	"610"	"0"
"223"	"210"	"7"	"168"	"211"	"21"	"4"	"1"	"2"	"3"	"8"	"9"	"8"	"3"	"11"	"17"	"33"	"37"	"8"	"33"	"584"	"0"	"584"	"0"
"224"	"211"	"9"	"237"	"192"	"43"	"1"	"4"	"2"	"2"	"6"	"5"	"4"	"5"	"5"	"3"	"40"	"8"	"4"	"10"	"580"	"0"	"580"	"0"
"225"	"212"	"8"	"104"	"66"	"230"	"5"	"0"	"6"	"2"	"3"	"0"	"1"	"0"	"1"	"3"	"11"	"6"	"0"	"0"	"446"	"0"	"446"	"0"
"226"	"213"	"4"	"36"	"112"	"175"	"5"	"1"	"8"	"1"	"5"	"0"	"2"	"5"	"2"	"3"	"4"	"22"	"0"	"2"	"387"	"0"	"387"	"0"
"227"	"214"	"20"	"95"	"174"	"171"	"4"	"2"	"1"	"5"	"3"	"6"	"3"	"0"	"5"	"3"	"10"	"9"	"10"	"9"	"530"	"0"	"530"	"0"
"228"	"215"	"15"	"36"	"55"	"416"	"7"	"3"	"7"	"2"	"4"	"1"	"2"	"2"	"6"	"2"	"8"	"14"	"2"	"6"	"588"	"0"	"588"	"0"
"229"	"216"	"8"	"198"	"284"	"6"	"3"	"0"	"2"	"3"	"12"	"5"	"3"	"3"	"5"	"7"	"3"	"12"	"0"	"1"	"555"	"0"	"555"	"0"
"230"	"217"	"7"	"146"	"201"	"13"	"0"	"2"	"0"	"3"	"4"	"1"	"1"	"0"	"2"	"0"	"0"	"5"	"2"	"0"	"387"	"0"	"387"	"0"
"231"	"218"	"9"	"79"	"104"	"115"	"3"	"1"	"1"	"2"	"10"	"1"	"0"	"0"	"2"	"0"	"3"	"2"	"1"	"0"	"333"	"0"	"333"	"0"
"232"	"219"	"17"	"59"	"144"	"149"	"5"	"4"	"1"	"6"	"3"	"2"	"2"	"0"	"0"	"3"	"1"	"6"	"2"	"6"	"410"	"0"	"410"	"0"
"233"	"220"	"1"	"744"	"0"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"756"	"0"	"756"	"0"
"234"	"221"	"18"	"212"	"144"	"74"	"3"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"3"	"1"	"2"	"0"	"1"	"463"	"0"	"463"	"0"
"235"	"222"	"1"	"356"	"37"	"5"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"407"	"0"	"407"	"0"
"236"	"223"	"9"	"514"	"49"	"10"	"4"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"3"	"5"	"0"	"0"	"598"	"0"	"598"	"0"
"237"	"224"	"19"	"54"	"125"	"246"	"5"	"7"	"5"	"3"	"5"	"5"	"5"	"11"	"11"	"9"	"9"	"16"	"17"	"15"	"567"	"0"	"567"	"0"
"238"	"225"	"9"	"368"	"201"	"60"	"2"	"0"	"4"	"0"	"1"	"1"	"1"	"0"	"1"	"4"	"4"	"2"	"1"	"3"	"662"	"0"	"662"	"0"
"239"	"226"	"2"	"445"	"187"	"17"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"2"	"1"	"4"	"0"	"1"	"665"	"0"	"665"	"0"
"240"	"227"	"7"	"42"	"342"	"292"	"4"	"4"	"2"	"1"	"3"	"5"	"8"	"8"	"5"	"16"	"16"	"11"	"3"	"2"	"771"	"0"	"771"	"0"
"241"	"228"	"7"	"486"	"35"	"42"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"8"	"15"	"9"	"4"	"4"	"616"	"0"	"616"	"0"
"242"	"229"	"16"	"83"	"359"	"232"	"4"	"3"	"3"	"0"	"0"	"1"	"3"	"2"	"5"	"3"	"4"	"4"	"0"	"1"	"723"	"0"	"723"	"0"
"243"	"230"	"6"	"8"	"207"	"24"	"1"	"2"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"4"	"3"	"8"	"10"	"278"	"0"	"278"	"0"
"244"	"231"	"4"	"90"	"269"	"21"	"0"	"1"	"2"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"3"	"1"	"2"	"400"	"0"	"400"	"0"
"245"	"232"	"5"	"52"	"91"	"219"	"5"	"2"	"2"	"1"	"0"	"0"	"2"	"1"	"1"	"5"	"3"	"6"	"1"	"0"	"396"	"0"	"396"	"0"
"246"	"233"	"25"	"45"	"134"	"178"	"5"	"2"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"2"	"0"	"10"	"23"	"8"	"439"	"0"	"439"	"0"
"247"	"234"	"7"	"148"	"106"	"5"	"1"	"0"	"2"	"1"	"0"	"0"	"2"	"0"	"3"	"5"	"7"	"2"	"1"	"3"	"293"	"0"	"293"	"0"
"248"	"235"	"14"	"63"	"233"	"226"	"9"	"3"	"3"	"1"	"4"	"2"	"1"	"1"	"8"	"6"	"6"	"12"	"2"	"5"	"599"	"0"	"599"	"0"
"249"	"236"	"48"	"71"	"114"	"285"	"3"	"2"	"2"	"0"	"2"	"2"	"0"	"3"	"6"	"2"	"4"	"14"	"0"	"2"	"560"	"0"	"560"	"0"
"250"	"237"	"11"	"61"	"113"	"95"	"8"	"3"	"10"	"2"	"3"	"1"	"1"	"1"	"4"	"0"	"7"	"7"	"2"	"3"	"332"	"0"	"332"	"0"
"251"	"238"	"18"	"153"	"230"	"15"	"2"	"5"	"3"	"7"	"7"	"3"	"3"	"3"	"3"	"7"	"4"	"16"	"4"	"3"	"486"	"0"	"486"	"0"
"252"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tend ered votes"
"253"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"254"	"239"	"6"	"9"	"111"	"301"	"7"	"3"	"6"	"5"	"1"	"0"	"2"	"2"	"9"	"2"	"1"	"5"	"1"	"2"	"473"	"0"	"473"	"0"
"255"	"240"	"0"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"373"	"2"	"0"	"0"	"390"	"0"	"390"	"0"
"256"	"241"	"6"	"153"	"22"	"2"	"1"	"0"	"1"	"1"	"3"	"0"	"3"	"0"	"2"	"4"	"46"	"3"	"1"	"4"	"252"	"0"	"252"	"0"
"257"	"242"	"12"	"153"	"144"	"6"	"2"	"4"	"1"	"4"	"13"	"3"	"6"	"6"	"8"	"8"	"26"	"34"	"2"	"4"	"436"	"0"	"436"	"0"
"258"	"243"	"21"	"292"	"152"	"3"	"6"	"3"	"1"	"2"	"2"	"1"	"1"	"1"	"0"	"2"	"1"	"3"	"2"	"0"	"493"	"0"	"493"	"0"
"259"	"244"	"11"	"82"	"94"	"73"	"4"	"3"	"3"	"0"	"6"	"4"	"2"	"2"	"2"	"8"	"70"	"5"	"0"	"1"	"370"	"0"	"370"	"0"
"260"	"245"	"17"	"290"	"64"	"10"	"3"	"1"	"0"	"4"	"5"	"2"	"2"	"1"	"1"	"5"	"2"	"6"	"4"	"4"	"421"	"0"	"421"	"0"
"261"	"246"	"16"	"189"	"24"	"4"	"4"	"2"	"4"	"2"	"19"	"0"	"3"	"2"	"7"	"5"	"3"	"12"	"10"	"9"	"315"	"0"	"315"	"0"
"262"	"247"	"25"	"122"	"61"	"9"	"0"	"3"	"2"	"1"	"6"	"1"	"2"	"1"	"2"	"4"	"6"	"12"	"1"	"2"	"260"	"0"	"260"	"0"
"263"	"248"	"6"	"128"	"41"	"7"	"0"	"1"	"0"	"2"	"3"	"1"	"1"	"0"	"3"	"1"	"1"	"3"	"1"	"1"	"200"	"0"	"200"	"0"
"264"	"249"	"5"	"111"	"19"	"1"	"1"	"0"	"1"	"2"	"4"	"2"	"0"	"1"	"3"	"1"	"6"	"10"	"0"	"6"	"173"	"0"	"173"	"0"
"265"	"250"	"9"	"382"	"71"	"30"	"1"	"0"	"1"	"4"	"4"	"0"	"0"	"1"	"0"	"3"	"10"	"0"	"0"	"0"	"516"	"0"	"516"	"0"
"266"	"251"	"60"	"77"	"35"	"9"	"1"	"0"	"0"	"1"	"1"	"3"	"2"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"195"	"0"	"195"	"0"
"267"	"252"	"29"	"198"	"23"	"114"	"2"	"3"	"0"	"3"	"4"	"2"	"2"	"3"	"0"	"2"	"4"	"4"	"2"	"4"	"399"	"0"	"399"	"0"
