"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X244338.87.Jale"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"153"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"156"	"Round No 9"	"113"	"52"	"1"	"110"	"4"	"5"	"3"	"1"	"0"	"0"	"1"	"2"	"1"	"0"	"5"	"185"	""	"185"	""
"157"	""	"114"	"258"	"6"	"191"	"31"	"9"	"0"	"1"	"1"	"3"	"1"	"6"	"4"	"4"	"22"	"537"	""	"537"	""
"158"	""	"115"	"160"	"9"	"22"	"31"	"115"	"9"	"5"	"4"	"0"	"4"	"5"	"3"	"9"	"105"	"481"	""	"481"	""
"159"	""	"116"	"205"	"6"	"41"	"34"	"12"	"5"	"8"	"4"	"20"	"0"	"6"	"5"	"6"	"28"	"380"	""	"380"	""
"160"	""	"117"	"240"	"5"	"43"	"153"	"7"	"2"	"1"	"3"	"1"	"2"	"1"	"4"	"5"	"152"	"619"	""	"619"	""
"161"	""	"118"	"280"	"10"	"28"	"102"	"10"	"3"	"4"	"1"	"1"	"1"	"6"	"2"	"8"	"186"	"642"	""	"642"	""
"162"	""	"119"	"98"	"4"	"15"	"143"	"8"	"2"	"0"	"2"	"2"	"3"	"8"	"2"	"6"	"175"	"468"	""	"468"	""
"163"	""	"120"	"291"	"2"	"20"	"108"	"15"	"4"	"3"	"4"	"3"	"3"	"8"	"0"	"3"	"111"	"575"	""	"575"	""
"164"	""	"121"	"311"	"8"	"20"	"21"	"8"	"1"	"2"	"5"	"3"	"4"	"9"	"7"	"6"	"70"	"475"	""	"475"	""
"165"	""	"122"	"16"	"4"	"15"	"78"	"21"	"3"	"2"	"0"	"0"	"0"	"2"	"3"	"3"	"196"	"343"	""	"343"	""
"166"	""	"123"	"119"	"7"	"21"	"95"	"58"	"4"	"6"	"5"	"3"	"3"	"3"	"5"	"6"	"173"	"508"	""	"508"	""
"167"	""	"124"	"161"	"12"	"16"	"140"	"246"	"10"	"1"	"6"	"8"	"10"	"6"	"7"	"12"	"50"	"685"	""	"685"	""
"168"	""	"125"	"603"	"1"	"8"	"95"	"21"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"7"	"740"	""	"740"	""
"169"	""	"126"	"726"	"5"	"6"	"63"	"9"	"3"	"2"	"4"	"0"	"0"	"2"	"1"	"1"	"9"	"831"	""	"831"	""
"170"	""	"Total -9"	"3520"	"80"	"556"	"1098"	"544"	"50"	"36"	"40"	"45"	"32"	"65"	"44"	"70"	"1289"	"7469"	"0"	"7469"	"0"
"171"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"173"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"175"	"Round No 10"	"127"	"42"	"1"	"122"	"21"	"12"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"203"	""	"203"	""
"176"	""	"128"	"201"	"51"	"122"	"26"	"11"	"4"	"5"	"3"	"3"	"4"	"2"	"6"	"4"	"10"	"452"	""	"452"	""
"177"	""	"129"	"33"	"3"	"119"	"6"	"9"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"8"	"182"	""	"182"	""
"178"	""	"130"	"22"	"1"	"102"	"81"	"9"	"1"	"1"	"1"	"0"	"3"	"4"	"3"	"3"	"6"	"237"	""	"237"	""
"179"	""	"131"	"219"	"13"	"77"	"121"	"29"	"4"	"6"	"7"	"4"	"2"	"2"	"4"	"10"	"62"	"560"	""	"560"	""
"180"	""	"132"	"196"	"19"	"129"	"148"	"61"	"4"	"5"	"5"	"6"	"7"	"3"	"3"	"4"	"17"	"607"	""	"607"	""
"181"	""	"133"	"167"	"7"	"60"	"52"	"15"	"2"	"3"	"4"	"4"	"1"	"3"	"1"	"1"	"11"	"331"	""	"331"	""
"182"	""	"134"	"121"	"8"	"32"	"166"	"42"	"4"	"2"	"5"	"4"	"3"	"9"	"1"	"8"	"21"	"426"	""	"426"	""
"183"	""	"135"	"35"	"2"	"11"	"238"	"16"	"7"	"4"	"0"	"0"	"0"	"5"	"2"	"2"	"197"	"519"	""	"519"	""
"184"	""	"136"	"43"	"4"	"24"	"282"	"32"	"4"	"2"	"3"	"2"	"4"	"5"	"2"	"6"	"73"	"486"	""	"486"	""
"185"	""	"137"	"125"	"5"	"169"	"22"	"82"	"7"	"0"	"3"	"6"	"3"	"6"	"3"	"6"	"34"	"471"	""	"471"	""
"186"	""	"138"	"73"	"7"	"108"	"29"	"126"	"4"	"2"	"2"	"4"	"0"	"2"	"1"	"1"	"14"	"373"	""	"373"	""
"187"	""	"139"	"120"	"3"	"16"	"22"	"121"	"7"	"4"	"5"	"2"	"0"	"1"	"3"	"0"	"13"	"317"	""	"317"	""
"188"	""	"140"	"154"	"5"	"29"	"139"	"27"	"4"	"6"	"1"	"3"	"5"	"10"	"11"	"19"	"119"	"532"	""	"532"	""
"189"	""	"Total -10"	"1551"	"129"	"1120"	"1353"	"592"	"54"	"41"	"41"	"39"	"32"	"53"	"40"	"65"	"586"	"5696"	"0"	"5696"	"0"
"190"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"192"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"194"	"Round No 11"	"141"	"33"	"0"	"9"	"100"	"8"	"1"	"2"	"3"	"0"	"1"	"3"	"5"	"6"	"135"	"306"	""	"306"	""
"195"	""	"142"	"84"	"0"	"13"	"125"	"13"	"3"	"1"	"1"	"2"	"1"	"2"	"2"	"4"	"232"	"483"	""	"483"	""
"196"	""	"143"	"84"	"5"	"27"	"29"	"2"	"6"	"3"	"4"	"3"	"2"	"5"	"4"	"5"	"83"	"262"	""	"262"	""
"197"	""	"144"	"35"	"4"	"1"	"46"	"4"	"3"	"0"	"1"	"0"	"1"	"2"	"0"	"3"	"321"	"421"	""	"421"	""
"198"	""	"145"	"27"	"3"	"27"	"43"	"4"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"77"	"185"	""	"185"	""
"199"	""	"146"	"119"	"11"	"7"	"191"	"20"	"4"	"1"	"2"	"2"	"0"	"2"	"1"	"2"	"5"	"367"	""	"367"	""
"200"	""	"147"	"34"	"2"	"21"	"49"	"19"	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"2"	"2"	"136"	""	"136"	""
"201"	""	"148"	"21"	"2"	"32"	"28"	"25"	"2"	"1"	"0"	"0"	"2"	"2"	"2"	"3"	"75"	"195"	""	"195"	""
"202"	""	"149"	"172"	"3"	"44"	"301"	"44"	"8"	"4"	"5"	"2"	"1"	"7"	"3"	"5"	"32"	"631"	""	"631"	""
"203"	""	"150"	"160"	"9"	"55"	"51"	"14"	"5"	"3"	"0"	"0"	"0"	"4"	"1"	"1"	"6"	"309"	""	"309"	""
"204"	""	"151"	"67"	"4"	"11"	"216"	"13"	"2"	"2"	"0"	"5"	"1"	"5"	"1"	"3"	"11"	"341"	""	"341"	""
"205"	""	"152"	"22"	"7"	"10"	"252"	"30"	"5"	"2"	"2"	"2"	"1"	"1"	"3"	"6"	"16"	"359"	""	"359"	""
"206"	""	"153"	"372"	"8"	"10"	"26"	"12"	"2"	"2"	"1"	"5"	"1"	"4"	"2"	"1"	"18"	"464"	""	"464"	""
"207"	""	"154"	"184"	"15"	"117"	"31"	"21"	"3"	"1"	"7"	"4"	"1"	"2"	"2"	"3"	"14"	"405"	""	"405"	""
"208"	""	"Total -11"	"1414"	"73"	"384"	"1488"	"229"	"49"	"24"	"27"	"27"	"12"	"40"	"26"	"44"	"1027"	"4864"	"0"	"4864"	"0"
"209"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"213"	"Round No 12"	"155"	"78"	"6"	"54"	"122"	"16"	"0"	"1"	"2"	"1"	"0"	"5"	"2"	"1"	"6"	"294"	""	"294"	""
"214"	""	"156"	"14"	"3"	"38"	"60"	"268"	"5"	"4"	"5"	"1"	"3"	"0"	"0"	"3"	"13"	"417"	""	"417"	""
"215"	""	"157"	"15"	"3"	"6"	"10"	"112"	"3"	"1"	"1"	"2"	"0"	"0"	"1"	"2"	"14"	"170"	""	"170"	""
"216"	""	"158"	"133"	"5"	"158"	"98"	"136"	"1"	"3"	"5"	"2"	"6"	"0"	"0"	"0"	"7"	"554"	""	"554"	""
"217"	""	"159"	"89"	"3"	"25"	"101"	"25"	"1"	"4"	"3"	"2"	"1"	"5"	"0"	"5"	"53"	"317"	""	"317"	""
"218"	""	"160"	"73"	"6"	"48"	"103"	"40"	"1"	"2"	"1"	"2"	"3"	"3"	"3"	"2"	"25"	"312"	""	"312"	""
"219"	""	"161"	"197"	"9"	"105"	"37"	"32"	"6"	"3"	"7"	"4"	"2"	"5"	"1"	"2"	"11"	"421"	""	"421"	""
"220"	""	"162"	"214"	"13"	"85"	"134"	"31"	"11"	"6"	"6"	"12"	"4"	"8"	"2"	"3"	"16"	"545"	""	"545"	""
"221"	""	"163"	"150"	"1"	"25"	"133"	"16"	"0"	"4"	"4"	"5"	"2"	"2"	"1"	"4"	"16"	"363"	""	"363"	""
"222"	""	"164"	"5"	"2"	"282"	"48"	"12"	"2"	"1"	"0"	"2"	"1"	"3"	"8"	"5"	"13"	"384"	""	"384"	""
"223"	""	"165"	"8"	"2"	"11"	"396"	"12"	"3"	"0"	"4"	"1"	"1"	"3"	"3"	"1"	"11"	"456"	""	"456"	""
"224"	""	"166"	"18"	"1"	"247"	"65"	"20"	"3"	"1"	"0"	"0"	"2"	"1"	"5"	"2"	"23"	"388"	""	"388"	""
"225"	""	"167"	"77"	"4"	"194"	"3"	"14"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"1"	"8"	"307"	""	"307"	""
"226"	""	"168"	"48"	"2"	"153"	"171"	"33"	"4"	"1"	"3"	"4"	"7"	"4"	"6"	"6"	"67"	"509"	""	"509"	""
"227"	""	"Total -12"	"1119"	"60"	"1431"	"1481"	"767"	"40"	"31"	"42"	"38"	"32"	"40"	"36"	"37"	"283"	"5437"	"0"	"5437"	"0"
"228"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"230"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"232"	"Round No 13"	"169"	"118"	"4"	"109"	"132"	"29"	"2"	"0"	"4"	"0"	"1"	"2"	"1"	"1"	"22"	"425"	""	"425"	""
"233"	""	"170"	"120"	"1"	"115"	"154"	"24"	"2"	"2"	"4"	"2"	"1"	"7"	"4"	"1"	"2"	"439"	""	"439"	""
"234"	""	"171"	"33"	"18"	"140"	"50"	"135"	"5"	"2"	"1"	"1"	"1"	"2"	"4"	"1"	"7"	"400"	""	"400"	""
"235"	""	"172"	"18"	"2"	"116"	"11"	"144"	"3"	"4"	"3"	"2"	"2"	"2"	"3"	"2"	"14"	"326"	""	"326"	""
"236"	""	"173"	"70"	"8"	"148"	"111"	"72"	"6"	"3"	"3"	"1"	"1"	"2"	"1"	"3"	"2"	"431"	""	"431"	""
"237"	""	"174"	"36"	"6"	"30"	"225"	"48"	"5"	"2"	"3"	"1"	"0"	"1"	"1"	"5"	"14"	"377"	""	"377"	""
"238"	""	"175"	"80"	"2"	"209"	"13"	"49"	"1"	"2"	"3"	"1"	"2"	"5"	"10"	"1"	"7"	"385"	""	"385"	""
"239"	""	"176"	"9"	"1"	"52"	"89"	"40"	"2"	"2"	"3"	"0"	"1"	"2"	"4"	"4"	"32"	"241"	""	"241"	""
"240"	""	"177"	"103"	"20"	"105"	"289"	"69"	"7"	"5"	"5"	"5"	"1"	"7"	"2"	"7"	"10"	"635"	""	"635"	""
"241"	""	"178"	"51"	"1"	"77"	"309"	"32"	"5"	"5"	"2"	"5"	"5"	"3"	"8"	"5"	"32"	"540"	""	"540"	""
"242"	""	"179"	"54"	"0"	"28"	"363"	"52"	"7"	"4"	"5"	"3"	"5"	"7"	"6"	"7"	"31"	"572"	""	"572"	""
"243"	""	"180"	"84"	"10"	"63"	"285"	"37"	"9"	"5"	"4"	"8"	"4"	"9"	"2"	"19"	"38"	"577"	""	"577"	""
"244"	""	"181"	"223"	"13"	"67"	"214"	"33"	"5"	"3"	"3"	"3"	"1"	"3"	"3"	"2"	"8"	"581"	""	"581"	""
"245"	""	"182"	"27"	"8"	"259"	"12"	"14"	"0"	"2"	"1"	"0"	"1"	"1"	"3"	"1"	"3"	"332"	""	"332"	""
"246"	""	"Total -13"	"1026"	"94"	"1518"	"2257"	"778"	"59"	"41"	"44"	"32"	"26"	"53"	"52"	"59"	"222"	"6261"	"0"	"6261"	"0"
"247"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"249"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"251"	"Round No 14"	"183"	"39"	"2"	"59"	"132"	"55"	"10"	"9"	"6"	"2"	"8"	"5"	"2"	"9"	"58"	"396"	""	"396"	""
"252"	""	"184"	"83"	"3"	"60"	"114"	"60"	"4"	"1"	"1"	"5"	"3"	"13"	"6"	"9"	"27"	"389"	""	"389"	""
"253"	""	"185"	"176"	"16"	"132"	"179"	"65"	"9"	"6"	"4"	"5"	"1"	"2"	"6"	"5"	"43"	"649"	""	"649"	""
"254"	""	"186"	"247"	"9"	"99"	"160"	"29"	"4"	"1"	"3"	"1"	"2"	"5"	"0"	"6"	"38"	"604"	""	"604"	""
"255"	""	"187"	"118"	"4"	"145"	"58"	"8"	"4"	"1"	"4"	"1"	"1"	"5"	"4"	"3"	"7"	"363"	""	"363"	""
"256"	""	"188"	"44"	"1"	"160"	"32"	"12"	"1"	"2"	"0"	"0"	"1"	"0"	"2"	"1"	"1"	"257"	""	"257"	""
"257"	""	"189"	"59"	"3"	"29"	"295"	"19"	"0"	"1"	"3"	"1"	"0"	"0"	"2"	"3"	"10"	"425"	""	"425"	""
"258"	""	"190"	"28"	"1"	"27"	"280"	"21"	"1"	"2"	"1"	"0"	"2"	"4"	"2"	"2"	"10"	"381"	""	"381"	""
"259"	""	"191"	"31"	"4"	"71"	"117"	"21"	"0"	"0"	"1"	"2"	"1"	"5"	"1"	"2"	"6"	"262"	""	"262"	""
"260"	""	"192"	"27"	"6"	"118"	"72"	"12"	"0"	"1"	"0"	"0"	"1"	"4"	"2"	"3"	"5"	"251"	""	"251"	""
"261"	""	"193"	"24"	"2"	"256"	"44"	"18"	"1"	"1"	"2"	"1"	"5"	"0"	"7"	"2"	"13"	"376"	""	"376"	""
"262"	""	"194"	"30"	"5"	"87"	"133"	"21"	"1"	"3"	"2"	"1"	"4"	"5"	"5"	"10"	"21"	"328"	""	"328"	""
"263"	""	"195"	"117"	"6"	"70"	"117"	"16"	"4"	"1"	"1"	"2"	"2"	"3"	"4"	"6"	"6"	"355"	""	"355"	""
"264"	""	"196"	"42"	"9"	"41"	"376"	"36"	"1"	"4"	"7"	"2"	"2"	"3"	"2"	"7"	"9"	"541"	""	"541"	""
"265"	""	"Total -14"	"1065"	"71"	"1354"	"2109"	"393"	"40"	"33"	"35"	"23"	"33"	"54"	"45"	"68"	"254"	"5577"	"0"	"5577"	"0"
"266"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"268"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"270"	"Round No 15"	"197"	"55"	"6"	"93"	"138"	"25"	"6"	"3"	"2"	"2"	"5"	"3"	"11"	"5"	"124"	"478"	""	"478"	""
"271"	""	"198"	"40"	"3"	"105"	"82"	"18"	"1"	"1"	"0"	"4"	"1"	"2"	"4"	"0"	"14"	"275"	""	"275"	""
"272"	""	"199"	"40"	"6"	"62"	"135"	"24"	"4"	"2"	"1"	"1"	"1"	"4"	"0"	"0"	"44"	"324"	""	"324"	""
"273"	""	"200"	"118"	"3"	"94"	"209"	"29"	"0"	"2"	"6"	"0"	"3"	"11"	"4"	"9"	"20"	"508"	""	"508"	""
"274"	""	"201"	"127"	"10"	"73"	"105"	"5"	"2"	"1"	"1"	"2"	"1"	"2"	"5"	"7"	"16"	"357"	""	"357"	""
"275"	""	"202"	"206"	"14"	"32"	"246"	"43"	"8"	"6"	"7"	"6"	"5"	"4"	"1"	"8"	"35"	"621"	""	"621"	""
"276"	""	"203"	"71"	"5"	"39"	"218"	"49"	"4"	"3"	"5"	"4"	"3"	"4"	"2"	"4"	"23"	"434"	""	"434"	""
"277"	""	"204"	"65"	"7"	"48"	"247"	"35"	"5"	"5"	"6"	"1"	"0"	"4"	"3"	"8"	"13"	"447"	""	"447"	""
"278"	""	"205"	"103"	"10"	"49"	"121"	"33"	"2"	"10"	"6"	"3"	"7"	"9"	"5"	"11"	"28"	"397"	""	"397"	""
"279"	""	"206"	"77"	"5"	"44"	"359"	"47"	"6"	"4"	"2"	"4"	"2"	"7"	"1"	"7"	"5"	"570"	""	"570"	""
"280"	""	"207"	"27"	"6"	"301"	"46"	"22"	"3"	"1"	"2"	"4"	"1"	"0"	"0"	"0"	"3"	"416"	""	"416"	""
"281"	""	"208"	"10"	"0"	"70"	"45"	"6"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"135"	""	"135"	""
"282"	""	"209"	"14"	"5"	"72"	"356"	"32"	"5"	"2"	"2"	"3"	"3"	"8"	"7"	"14"	"64"	"587"	""	"587"	""
"283"	""	"210"	"67"	"7"	"43"	"346"	"50"	"4"	"5"	"8"	"1"	"2"	"5"	"5"	"5"	"27"	"575"	""	"575"	""
"284"	""	"Total -15"	"1020"	"87"	"1125"	"2653"	"418"	"50"	"45"	"51"	"35"	"35"	"63"	"48"	"78"	"416"	"6124"	"0"	"6124"	"0"
"285"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"287"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"289"	"Round No 16"	"211"	"32"	"9"	"69"	"339"	"53"	"6"	"3"	"7"	"6"	"6"	"9"	"7"	"19"	"23"	"588"	""	"588"	""
"290"	""	"212"	"145"	"18"	"103"	"303"	"71"	"7"	"4"	"11"	"7"	"7"	"5"	"9"	"9"	"42"	"741"	""	"741"	""
"291"	""	"213"	"133"	"1"	"85"	"222"	"49"	"2"	"1"	"2"	"0"	"5"	"1"	"1"	"5"	"68"	"575"	""	"575"	""
"292"	""	"214"	"97"	"4"	"32"	"82"	"14"	"2"	"4"	"0"	"1"	"2"	"2"	"1"	"2"	"28"	"271"	""	"271"	""
"293"	""	"215"	"87"	"3"	"52"	"104"	"19"	"0"	"0"	"1"	"3"	"1"	"0"	"0"	"0"	"9"	"279"	""	"279"	""
"294"	""	"216"	"16"	"2"	"106"	"10"	"9"	"0"	"1"	"3"	"0"	"0"	"1"	"9"	"0"	"10"	"167"	""	"167"	""
"295"	""	"217"	"65"	"7"	"30"	"20"	"14"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"28"	"168"	""	"168"	""
"296"	""	"218"	"45"	"2"	"61"	"121"	"11"	"3"	"2"	"2"	"1"	"0"	"1"	"0"	"2"	"130"	"381"	""	"381"	""
"297"	""	"219"	"35"	"0"	"9"	"186"	"6"	"1"	"2"	"3"	"0"	"1"	"3"	"0"	"1"	"57"	"304"	""	"304"	""
"298"	""	"220"	"34"	"7"	"41"	"133"	"19"	"2"	"1"	"4"	"1"	"2"	"2"	"2"	"1"	"24"	"273"	""	"273"	""
"299"	""	"221"	"20"	"3"	"6"	"246"	"14"	"1"	"0"	"1"	"2"	"0"	"2"	"0"	"4"	"189"	"488"	""	"488"	""
"300"	""	"222"	"72"	"8"	"46"	"127"	"22"	"4"	"3"	"4"	"3"	"1"	"3"	"2"	"2"	"23"	"320"	""	"320"	""
"301"	""	"223"	"49"	"1"	"61"	"104"	"21"	"2"	"2"	"2"	"6"	"2"	"2"	"5"	"7"	"19"	"283"	""	"283"	""
"302"	""	"224"	"9"	"2"	"42"	"139"	"9"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"6"	"211"	""	"211"	""
"303"	""	"Total -16"	"839"	"67"	"743"	"2136"	"331"	"31"	"23"	"42"	"32"	"27"	"31"	"37"	"54"	"656"	"5049"	"0"	"5049"	"0"
"304"	""	""	""	""	""	""	""	"244338
87-Jale"	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
