"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET [SEE RULE 56C (2)]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 26-BHAGALPUR PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of Electors in Assembly Segment  :-    249741"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Name of Assembly Segement :- 155-Kahalgaon"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"111"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	""	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"112"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"113"	"90"	"90"	"7"	"256"	"32"	"4"	"250"	"3"	"5"	"2"	"0"	"0"	"2"	"0"	"3"	"1"	""	"1"	"2"	"7"	"7"	"4"	"2"	"3"	"591"	"0"	"591"	"0"
"114"	"91"	"91"	"16"	"125"	"114"	"12"	"508"	"9"	"2"	"0"	"2"	"4"	"6"	"4"	"1"	"2"	""	"3"	"7"	"11"	"5"	"3"	"3"	"14"	"851"	"0"	"851"	"0"
"115"	"92"	"92"	"5"	"9"	"102"	"42"	"127"	"3"	"0"	"5"	"6"	"6"	"6"	"1"	"6"	"6"	""	"2"	"17"	"6"	"35"	"8"	"8"	"11"	"411"	"0"	"411"	"0"
"116"	"93"	"93"	"4"	"7"	"65"	"30"	"163"	"6"	"1"	"4"	"3"	"3"	"5"	"5"	"3"	"1"	""	"3"	"14"	"4"	"54"	"2"	"3"	"9"	"389"	"0"	"389"	"0"
"117"	"94"	"94"	"36"	"16"	"143"	"6"	"109"	"3"	"2"	"2"	"2"	"3"	"5"	"4"	"1"	"3"	""	"1"	"5"	"0"	"31"	"6"	"3"	"10"	"391"	"0"	"391"	"0"
"118"	"95"	"95"	"9"	"33"	"68"	"16"	"137"	"2"	"0"	"5"	"0"	"18"	"15"	"2"	"2"	"1"	""	"6"	"34"	"2"	"44"	"4"	"0"	"2"	"400"	"0"	"400"	"0"
"119"	"96"	"96"	"36"	"30"	"119"	"8"	"99"	"5"	"1"	"12"	"5"	"4"	"28"	"2"	"6"	"5"	""	"2"	"52"	"10"	"140"	"6"	"2"	"3"	"575"	"0"	"575"	"0"
"120"	"97"	"97"	"1"	"10"	"92"	"6"	"115"	"4"	"1"	"0"	"1"	"2"	"3"	"0"	"0"	"4"	""	"1"	"4"	"0"	"0"	"0"	"1"	"0"	"245"	"0"	"245"	"0"
"121"	"98"	"98"	"48"	"31"	"65"	"17"	"273"	"8"	"2"	"4"	"5"	"0"	"20"	"5"	"2"	"9"	""	"10"	"61"	"8"	"108"	"15"	"7"	"26"	"724"	"0"	"724"	"0"
"122"	"99"	"99"	"16"	"20"	"164"	"3"	"185"	"1"	"1"	"2"	"0"	"1"	"1"	"1"	"1"	"1"	""	"1"	"4"	"2"	"0"	"2"	"0"	"2"	"408"	"0"	"408"	"0"
"123"	"100"	"100"	"29"	"11"	"246"	"6"	"93"	"2"	"1"	"1"	"4"	"1"	"6"	"4"	"4"	"5"	""	"2"	"5"	"4"	"11"	"13"	"2"	"9"	"459"	"0"	"459"	"0"
"124"	"101"	"101"	"13"	"80"	"169"	"16"	"300"	"8"	"3"	"4"	"8"	"1"	"18"	"16"	"3"	"10"	""	"7"	"40"	"1"	"77"	"6"	"5"	"7"	"792"	"0"	"792"	"0"
"125"	"102"	"102"	"55"	"390"	"247"	"11"	"26"	"0"	"1"	"2"	"1"	"0"	"3"	"2"	"5"	"5"	""	"11"	"19"	"4"	"4"	"4"	"1"	"3"	"794"	"0"	"794"	"0"
"126"	"103"	"103"	"30"	"3"	"179"	"9"	"132"	"4"	"1"	"0"	"1"	"6"	"6"	"8"	"4"	"6"	""	"0"	"4"	"2"	"0"	"4"	"0"	"1"	"400"	"0"	"400"	"0"
"127"	"104"	"104"	"22"	"36"	"168"	"9"	"102"	"4"	"1"	"3"	"0"	"2"	"1"	"4"	"0"	"6"	""	"4"	"7"	"3"	"2"	"6"	"4"	"8"	"392"	"0"	"392"	"0"
"128"	"105"	"105"	"18"	"249"	"121"	"5"	"104"	"9"	"2"	"3"	"0"	"4"	"3"	"9"	"5"	"9"	""	"3"	"10"	"6"	"15"	"7"	"2"	"12"	"596"	"0"	"596"	"0"
"129"	"106"	"106"	"137"	"149"	"35"	"4"	"146"	"9"	"6"	"4"	"2"	"1"	"5"	"5"	"8"	"5"	""	"9"	"38"	"20"	"24"	"7"	"6"	"16"	"636"	"0"	"636"	"0"
"130"	"107"	"107"	"9"	"210"	"130"	"9"	"79"	"1"	"1"	"2"	"2"	"3"	"10"	"7"	"6"	"2"	""	"9"	"28"	"7"	"30"	"0"	"1"	"4"	"550"	"0"	"550"	"0"
"131"	"108"	"108"	"66"	"71"	"92"	"20"	"185"	"2"	"8"	"11"	"10"	"7"	"20"	"6"	"6"	"13"	""	"17"	"69"	"13"	"93"	"5"	"3"	"14"	"731"	"0"	"731"	"0"
"132"	"109"	"109"	"73"	"279"	"87"	"9"	"46"	"3"	"0"	"0"	"0"	"4"	"1"	"0"	"2"	"0"	""	"0"	"5"	"4"	"1"	"1"	"2"	"0"	"517"	"0"	"517"	"0"
"133"	"110"	"110"	"19"	"298"	"51"	"5"	"20"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"0"	""	"0"	"2"	"2"	"1"	"1"	"1"	"4"	"409"	"0"	"409"	"0"
"134"	"111"	"111"	"22"	"303"	"31"	"33"	"233"	"14"	"3"	"2"	"6"	"6"	"12"	"8"	"5"	"5"	""	"17"	"25"	"4"	"15"	"1"	"1"	"9"	"755"	"0"	"755"	"0"
"135"	"112"	"112"	"11"	"244"	"63"	"24"	"67"	"1"	"1"	"3"	"6"	"3"	"6"	"4"	"7"	"5"	""	"9"	"7"	"9"	"7"	"7"	"1"	"9"	"494"	"0"	"494"	"0"
"136"	"113"	"113"	"32"	"130"	"50"	"1"	"132"	"10"	"4"	"3"	"4"	"5"	"6"	"5
Pag"	"e - 3/12 5"	"3"	""	"6"	"4"	"2"	"1"	"1"	"2"	"2"	"406"	"0"	"406"	"0"
"137"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"138"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	""	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"139"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"140"	"114"	"114"	"0"	"30"	"9"	"4"	"36"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"79"	"0"	"79"	"0"
"141"	"115"	"115"	"14"	"77"	"76"	"2"	"242"	"5"	"1"	"2"	"4"	"1"	"4"	"5"	"2"	"4"	""	"2"	"4"	"0"	"3"	"1"	"0"	"7"	"456"	"0"	"456"	"0"
"142"	"116"	"116"	"19"	"216"	"41"	"5"	"415"	"4"	"0"	"1"	"1"	"5"	"6"	"2"	"4"	"3"	""	"3"	"11"	"2"	"6"	"0"	"0"	"3"	"747"	"0"	"747"	"0"
"143"	"117"	"117"	"50"	"282"	"13"	"2"	"187"	"0"	"3"	"0"	"0"	"2"	"7"	"6"	"1"	"5"	""	"17"	"23"	"6"	"8"	"3"	"0"	"2"	"617"	"0"	"617"	"0"
"144"	"118"	"118"	"117"	"47"	"80"	"6"	"297"	"4"	"0"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	""	"0"	"1"	"3"	"2"	"0"	"1"	"2"	"566"	"0"	"566"	"0"
"145"	"119"	"119"	"16"	"198"	"51"	"9"	"140"	"4"	"2"	"6"	"5"	"2"	"4"	"4"	"2"	"1"	""	"4"	"5"	"6"	"14"	"1"	"3"	"8"	"485"	"0"	"485"	"0"
"146"	"120"	"120"	"10"	"56"	"38"	"4"	"381"	"13"	"1"	"1"	"4"	"6"	"13"	"6"	"5"	"4"	""	"2"	"12"	"2"	"1"	"1"	"1"	"2"	"563"	"0"	"563"	"0"
"147"	"121"	"121"	"14"	"78"	"72"	"4"	"261"	"3"	"0"	"1"	"1"	"12"	"3"	"5"	"0"	"2"	""	"0"	"5"	"0"	"2"	"0"	"0"	"3"	"466"	"0"	"466"	"0"
"148"	"122"	"122"	"3"	"6"	"45"	"1"	"148"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"206"	"0"	"206"	"0"
"149"	"123"	"123"	"12"	"152"	"55"	"4"	"297"	"9"	"1"	"3"	"20"	"1"	"5"	"0"	"0"	"1"	""	"2"	"3"	"3"	"4"	"1"	"0"	"9"	"582"	"0"	"582"	"0"
"150"	"124"	"124"	"6"	"69"	"23"	"1"	"148"	"3"	"6"	"2"	"128"	"3"	"1"	"0"	"1"	"0"	""	"5"	"3"	"0"	"1"	"0"	"2"	"1"	"403"	"0"	"403"	"0"
"151"	"125"	"125"	"6"	"23"	"54"	"1"	"125"	"1"	"4"	"3"	"105"	"0"	"3"	"1"	"0"	"2"	""	"1"	"6"	"0"	"0"	"3"	"0"	"2"	"340"	"0"	"340"	"0"
"152"	"126"	"126"	"5"	"34"	"50"	"4"	"215"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	""	"1"	"1"	"2"	"1"	"0"	"0"	"2"	"317"	"0"	"317"	"0"
"153"	"127"	"127"	"4"	"109"	"37"	"0"	"105"	"3"	"0"	"0"	"8"	"2"	"2"	"3"	"0"	"2"	""	"1"	"3"	"0"	"0"	"0"	"0"	"2"	"281"	"0"	"281"	"0"
"154"	"128"	"128"	"6"	"15"	"157"	"8"	"273"	"2"	"0"	"0"	"1"	"1"	"1"	"2"	"4"	"4"	""	"3"	"1"	"0"	"0"	"4"	"0"	"3"	"485"	"0"	"485"	"0"
"155"	"129"	"129"	"7"	"12"	"109"	"2"	"214"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	""	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"353"	"0"	"353"	"0"
"156"	"130"	"130"	"18"	"35"	"187"	"13"	"229"	"2"	"4"	"1"	"7"	"4"	"7"	"7"	"5"	"5"	""	"3"	"6"	"2"	"0"	"5"	"0"	"8"	"548"	"0"	"548"	"0"
"157"	"131"	"131"	"20"	"13"	"135"	"4"	"221"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	""	"1"	"0"	"4"	"1"	"3"	"1"	"4"	"412"	"0"	"412"	"0"
"158"	"132"	"132"	"18"	"229"	"54"	"3"	"110"	"5"	"2"	"1"	"11"	"0"	"4"	"1"	"1"	"4"	""	"7"	"4"	"2"	"5"	"2"	"0"	"0"	"463"	"0"	"463"	"0"
"159"	"133"	"133"	"42"	"160"	"117"	"10"	"265"	"2"	"3"	"1"	"38"	"3"	"4"	"3"	"1"	"3"	""	"1"	"11"	"4"	"6"	"0"	"0"	"4"	"678"	"0"	"678"	"0"
"160"	"134"	"134"	"7"	"152"	"166"	"8"	"277"	"4"	"1"	"3"	"2"	"3"	"3"	"8"	"1"	"3"	""	"7"	"17"	"0"	"0"	"1"	"0"	"1"	"664"	"0"	"664"	"0"
"161"	"135"	"135"	"7"	"70"	"104"	"3"	"199"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"0"	"1"	""	"2"	"3"	"1"	"1"	"1"	"2"	"0"	"400"	"0"	"400"	"0"
"162"	"136"	"136"	"16"	"11"	"129"	"5"	"135"	"3"	"2"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	""	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"309"	"0"	"309"	"0"
"163"	"137"	"137"	"17"	"46"	"174"	"4"	"119"	"2"	"1"	"0"	"1"	"3"	"5"	"1
Pag"	"e - 2/12 6"	"0"	""	"3"	"3"	"2"	"2"	"0"	"1"	"2"	"388"	"0"	"388"	"0"
"164"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"165"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	""	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"166"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"167"	"138"	"138"	"7"	"59"	"66"	"1"	"210"	"4"	"0"	"1"	"0"	"1"	"1"	"2"	"0"	"0"	""	"2"	"4"	"1"	"0"	"1"	"0"	"4"	"364"	"0"	"364"	"0"
"168"	"139"	"139"	"14"	"26"	"41"	"1"	"152"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	""	"2"	"1"	"5"	"0"	"1"	"2"	"13"	"262"	"0"	"262"	"0"
"169"	"140"	"140"	"14"	"147"	"61"	"4"	"206"	"6"	"0"	"1"	"2"	"1"	"5"	"0"	"1"	"1"	""	"0"	"5"	"0"	"0"	"1"	"0"	"1"	"456"	"0"	"456"	"0"
"170"	"141"	"141"	"41"	"200"	"46"	"11"	"311"	"5"	"4"	"3"	"0"	"1"	"5"	"2"	"1"	"0"	""	"0"	"3"	"8"	"3"	"2"	"0"	"2"	"648"	"0"	"648"	"0"
"171"	"142"	"142"	"23"	"123"	"101"	"52"	"271"	"6"	"2"	"1"	"10"	"1"	"2"	"0"	"3"	"1"	""	"0"	"0"	"5"	"0"	"2"	"2"	"0"	"605"	"0"	"605"	"0"
"172"	"143"	"143"	"8"	"67"	"91"	"24"	"147"	"7"	"4"	"0"	"0"	"2"	"4"	"5"	"3"	"4"	""	"2"	"2"	"1"	"1"	"6"	"0"	"2"	"380"	"0"	"380"	"0"
"173"	"144"	"144"	"15"	"41"	"103"	"43"	"181"	"3"	"0"	"1"	"3"	"0"	"3"	"3"	"3"	"0"	""	"2"	"5"	"2"	"0"	"3"	"1"	"4"	"416"	"0"	"416"	"0"
"174"	"145"	"145"	"19"	"241"	"172"	"13"	"185"	"1"	"3"	"1"	"1"	"2"	"8"	"6"	"4"	"7"	""	"3"	"15"	"4"	"6"	"6"	"2"	"4"	"703"	"0"	"703"	"0"
"175"	"146"	"146"	"13"	"53"	"264"	"61"	"261"	"7"	"0"	"1"	"1"	"1"	"11"	"7"	"5"	"9"	""	"4"	"19"	"6"	"0"	"3"	"5"	"6"	"737"	"0"	"737"	"0"
"176"	"147"	"147"	"125"	"481"	"24"	"3"	"55"	"0"	"3"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	""	"4"	"0"	"3"	"2"	"0"	"0"	"2"	"705"	"0"	"705"	"0"
"177"	"148"	"148"	"7"	"108"	"93"	"2"	"175"	"5"	"3"	"0"	"1"	"0"	"4"	"2"	"2"	"3"	""	"3"	"6"	"1"	"1"	"0"	"1"	"3"	"420"	"0"	"420"	"0"
"178"	"149"	"149"	"12"	"224"	"21"	"2"	"72"	"4"	"2"	"0"	"2"	"1"	"3"	"2"	"0"	"1"	""	"2"	"6"	"0"	"5"	"1"	"19"	"2"	"381"	"0"	"381"	"0"
"179"	"150"	"150"	"47"	"250"	"8"	"1"	"56"	"6"	"2"	"1"	"2"	"1"	"5"	"0"	"1"	"2"	""	"1"	"0"	"6"	"1"	"5"	"27"	"12"	"434"	"0"	"434"	"0"
"180"	"151"	"151"	"19"	"139"	"61"	"4"	"184"	"3"	"2"	"0"	"2"	"2"	"2"	"1"	"2"	"0"	""	"1"	"10"	"8"	"1"	"0"	"1"	"9"	"451"	"0"	"451"	"0"
"181"	"152"	"152"	"22"	"11"	"188"	"4"	"80"	"1"	"0"	"0"	"2"	"2"	"1"	"2"	"3"	"3"	""	"0"	"3"	"1"	"0"	"2"	"2"	"3"	"330"	"0"	"330"	"0"
"182"	"153"	"153"	"184"	"80"	"47"	"10"	"221"	"10"	"7"	"25"	"5"	"11"	"9"	"2"	"4"	"2"	""	"1"	"11"	"25"	"5"	"4"	"1"	"13"	"677"	"0"	"677"	"0"
"183"	"154"	"154"	"111"	"31"	"47"	"12"	"28"	"5"	"3"	"4"	"6"	"1"	"11"	"5"	"4"	"3"	""	"5"	"40"	"15"	"112"	"4"	"3"	"4"	"454"	"0"	"454"	"0"
"184"	"155"	"155"	"44"	"94"	"161"	"14"	"100"	"7"	"0"	"0"	"1"	"4"	"11"	"6"	"2"	"5"	""	"7"	"23"	"5"	"14"	"3"	"4"	"8"	"513"	"0"	"513"	"0"
"185"	"156"	"156"	"27"	"20"	"280"	"42"	"94"	"3"	"2"	"2"	"3"	"3"	"13"	"2"	"11"	"21"	""	"3"	"24"	"3"	"9"	"12"	"1"	"6"	"581"	"0"	"581"	"0"
"186"	"157"	"157"	"14"	"55"	"70"	"14"	"48"	"1"	"1"	"1"	"1"	"1"	"8"	"6"	"4"	"5"	""	"4"	"7"	"9"	"3"	"5"	"1"	"5"	"263"	"0"	"263"	"0"
"187"	"158"	"158"	"5"	"1"	"19"	"3"	"188"	"2"	"0"	"2"	"0"	"1"	"0"	"1"	"1"	"1"	""	"14"	"1"	"4"	"0"	"1"	"1"	"0"	"245"	"0"	"245"	"0"
"188"	"159"	"159"	"115"	"18"	"39"	"1"	"77"	"2"	"1"	"1"	"0"	"0"	"2"	"2"	"5"	"4"	""	"4"	"32"	"9"	"2"	"0"	"0"	"1"	"315"	"0"	"315"	"0"
"189"	"160"	"160"	"120"	"85"	"45"	"2"	"58"	"3"	"1"	"0"	"2"	"2"	"1"	"3"	"2"	"4"	""	"5"	"18"	"7"	"3"	"1"	"3"	"8"	"373"	"0"	"373"	"0"
"190"	"161"	"161"	"23"	"120"	"27"	"3"	"184"	"7"	"1"	"1"	"4"	"16"	"15"	"5
Pag"	"e - 2/12 7"	"3"	""	"2"	"20"	"3"	"7"	"3"	"0"	"30"	"476"	"0"	"476"	"0"
"191"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"192"	""	""	"Ajit Sharma"	"Shakuni Choudhary"	"Sadanand Singh"	"Subodh Roy"	"Syed Shahnawaz Hussain"	"Daya Ram Mandal"	"Deepak Ram"	"Naresh Mandal"	"Md. Izrail"	"Raman Sah"	"Ram Vilash Paswan"	"Srinarayan Gauswami"	"Amit Kumar Jha"	"Anand Kumar Jain"	""	"Indradeo Kumar Singh"	"Dinesh Yadav"	"Dr. N.K. Yadav"	"Ratan Kumar Mandal"	"Ravishankar Singh"	"Laddu"	"Sikandar Tanti"	""	""	""	""
"193"	"1"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"	"25"	"26"
"194"	"162"	"162"	"21"	"106"	"20"	"5"	"129"	"4"	"0"	"0"	"2"	"24"	"6"	"2"	"4"	"1"	""	"5"	"17"	"9"	"9"	"3"	"2"	"12"	"381"	"0"	"381"	"0"
"195"	"163"	"163"	"13"	"217"	"13"	"2"	"46"	"8"	"1"	"2"	"1"	"0"	"4"	"1"	"1"	"4"	""	"4"	"11"	"9"	"1"	"0"	"0"	"4"	"342"	"0"	"342"	"0"
"196"	"164"	"164"	"18"	"189"	"33"	"5"	"101"	"4"	"1"	"3"	"2"	"1"	"4"	"1"	"0"	"0"	""	"2"	"1"	"6"	"0"	"0"	"1"	"1"	"373"	"0"	"373"	"0"
"197"	"165"	"165"	"6"	"104"	"32"	"6"	"82"	"9"	"2"	"6"	"2"	"1"	"8"	"3"	"3"	"3"	""	"8"	"8"	"4"	"1"	"0"	"0"	"0"	"288"	"0"	"288"	"0"
"198"	"166"	"166"	"22"	"18"	"42"	"3"	"59"	"3"	"3"	"2"	"3"	"0"	"5"	"0"	"1"	"1"	""	"4"	"9"	"4"	"167"	"2"	"5"	"5"	"358"	"0"	"358"	"0"
"199"	"167"	"167"	"12"	"131"	"142"	"8"	"21"	"2"	"2"	"3"	"2"	"2"	"5"	"0"	"2"	"3"	""	"1"	"15"	"2"	"17"	"1"	"0"	"3"	"374"	"0"	"374"	"0"
"200"	"168"	"168"	"34"	"81"	"212"	"12"	"33"	"2"	"2"	"4"	"1"	"0"	"7"	"1"	"2"	"8"	""	"4"	"9"	"9"	"2"	"2"	"3"	"0"	"428"	"0"	"428"	"0"
"201"	"169"	"169"	"12"	"118"	"178"	"11"	"26"	"3"	"0"	"4"	"2"	"1"	"11"	"3"	"5"	"4"	""	"4"	"10"	"14"	"2"	"9"	"4"	"3"	"424"	"0"	"424"	"0"
"202"	"170"	"170"	"9"	"100"	"59"	"3"	"180"	"5"	"1"	"3"	"3"	"0"	"13"	"1"	"2"	"7"	""	"5"	"14"	"4"	"4"	"1"	"1"	"2"	"417"	"0"	"417"	"0"
"203"	"171"	"171"	"71"	"60"	"56"	"4"	"51"	"3"	"4"	"4"	"3"	"2"	"7"	"2"	"2"	"3"	""	"1"	"2"	"3"	"43"	"1"	"0"	"1"	"323"	"0"	"323"	"0"
"204"	"172"	"172"	"16"	"149"	"39"	"3"	"284"	"4"	"1"	"3"	"2"	"4"	"13"	"6"	"9"	"3"	""	"9"	"20"	"2"	"0"	"0"	"1"	"3"	"571"	"0"	"571"	"0"
"205"	"173"	"173"	"159"	"108"	"188"	"27"	"95"	"4"	"7"	"6"	"2"	"9"	"5"	"1"	"1"	"4"	""	"3"	"8"	"33"	"1"	"3"	"1"	"3"	"668"	"0"	"668"	"0"
"206"	"174"	"174"	"9"	"138"	"85"	"6"	"98"	"4"	"0"	"0"	"3"	"0"	"4"	"0"	"0"	"0"	""	"1"	"2"	"5"	"0"	"2"	"1"	"8"	"366"	"0"	"366"	"0"
"207"	"175"	"175"	"35"	"189"	"219"	"11"	"39"	"3"	"2"	"0"	"2"	"4"	"1"	"4"	"2"	"5"	""	"1"	"3"	"10"	"2"	"2"	"0"	"1"	"535"	"0"	"535"	"0"
"208"	"176"	"176"	"17"	"76"	"123"	"3"	"45"	"3"	"1"	"6"	"1"	"1"	"4"	"1"	"1"	"3"	""	"2"	"3"	"3"	"0"	"0"	"0"	"0"	"293"	"0"	"293"	"0"
"209"	"177"	"177"	"8"	"63"	"62"	"26"	"18"	"1"	"2"	"4"	"4"	"3"	"2"	"0"	"1"	"0"	""	"5"	"7"	"7"	"0"	"0"	"2"	"3"	"218"	"0"	"218"	"0"
"210"	"178"	"178"	"17"	"77"	"111"	"14"	"48"	"3"	"2"	"5"	"2"	"2"	"6"	"3"	"1"	"2"	""	"8"	"29"	"22"	"33"	"4"	"1"	"8"	"398"	"0"	"398"	"0"
"211"	"179"	"179"	"30"	"37"	"143"	"14"	"209"	"5"	"0"	"1"	"2"	"4"	"6"	"0"	"4"	"2"	""	"1"	"13"	"1"	"0"	"1"	"0"	"2"	"475"	"0"	"475"	"0"
"212"	"180"	"180"	"19"	"95"	"171"	"27"	"94"	"4"	"2"	"3"	"1"	"4"	"4"	"4"	"6"	"1"	""	"4"	"11"	"8"	"4"	"6"	"1"	"3"	"472"	"0"	"472"	"0"
"213"	"181"	"181"	"15"	"73"	"102"	"7"	"145"	"7"	"3"	"1"	"1"	"6"	"12"	"2"	"9"	"5"	""	"5"	"20"	"4"	"2"	"1"	"0"	"4"	"424"	"0"	"424"	"0"
"214"	"182"	"182"	"7"	"46"	"78"	"11"	"55"	"1"	"0"	"0"	"0"	"2"	"2"	"1"	"3"	"1"	""	"1"	"6"	"4"	"1"	"0"	"0"	"1"	"220"	"0"	"220"	"0"
"215"	"183"	"183"	"3"	"84"	"75"	"12"	"42"	"2"	"3"	"0"	"4"	"3"	"4"	"1"	"2"	"6"	""	"1"	"4"	"2"	"0"	"1"	"0"	"3"	"252"	"0"	"252"	"0"
"216"	"184"	"184"	"33"	"110"	"123"	"295"	"55"	"5"	"3"	"11"	"3"	"2"	"4"	"1"	"8"	"3"	""	"3"	"3"	"5"	"3"	"2"	"5"	"2"	"679"	"0"	"679"	"0"
"217"	"185"	"185"	"77"	"11"	"70"	"65"	"77"	"0"	"0"	"6"	"1"	"5"	"3"	"2
Pag"	"e - 6/12 8"	"4"	""	"2"	"13"	"2"	"1"	"3"	"0"	"2"	"350"	"0"	"350"	"0"
"218"	"Sl.
No."	"No. of Polling Station"	"No. of valid Votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
