"X.U.091F..U.0947..U.092C..U.0941..U.0932."	"X.U.092E..U.0924..U.0926..U.093E..U.0928."	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X.U.0915..U.0941...U.0932."	"X...U.0924...U.0947...U.092A."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924."	"X17..U.0938..U.0940."
"85"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"86"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"87"	"12"	"68"	"109"	"4"	"54"	"20"	"0"	"1"	"0"	"0"	"13"	"0"	"2"	"1"	"5"	"2"	"1"	"6"	"218"	""	"218"	""	""
"88"	"13"	"69"	"37"	"4"	"186"	"13"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"6"	"1"	"8"	"258"	""	"258"	""	""
"89"	"14"	"70"	"27"	"2"	"63"	"10"	"6"	"2"	"2"	"0"	"53"	"4"	"2"	"0"	"0"	"0"	"0"	"2"	"173"	""	"173"	""	""
"90"	"<U+092F><U+094B><U+0917>"	""	"973"	"36"	"1528"	"1886"	"32"	"36"	"14"	"13"	"126"	"14"	"37"	"12"	"17"	"46"	"19"	"74"	"4863"	"0"	"4863"	"0"	"0"
"91"	"1"	"71"	"6"	"3"	"95"	"246"	"6"	"5"	"0"	"1"	"12"	"0"	"4"	"2"	"3"	"3"	"1"	"4"	"391"	""	"391"	""	""
"92"	"2"	"72"	"44"	"2"	"245"	"148"	"4"	"0"	"1"	"1"	"5"	"0"	"5"	"0"	"2"	"3"	"0"	"3"	"463"	""	"463"	""	""
"93"	"3"	"73"	"92"	"1"	"81"	"141"	"3"	"4"	"0"	"3"	"4"	"1"	"2"	"0"	"1"	"3"	"0"	"2"	"338"	""	"338"	""	""
"94"	"4"	"74"	"112"	"25"	"43"	"297"	"3"	"2"	"2"	"2"	"48"	"5"	"1"	"1"	"3"	"4"	"2"	"1"	"551"	""	"551"	""	""
"95"	"5"	"75"	"19"	"7"	"284"	"120"	"5"	"1"	"3"	"3"	"77"	"0"	"2"	"1"	"0"	"3"	"1"	"0"	"526"	""	"526"	""	""
"96"	"6"	"76"	"140"	"4"	"141"	"82"	"4"	"4"	"3"	"1"	"3"	"1"	"3"	"1"	"6"	"2"	"1"	"12"	"408"	""	"408"	""	""
"97"	"7"	"77"	"66"	"5"	"48"	"58"	"9"	"1"	"1"	"3"	"46"	"2"	"0"	"1"	"3"	"1"	"1"	"7"	"252"	""	"252"	""	""
"98"	"8"	"78"	"1"	"5"	"212"	"198"	"5"	"2"	"0"	"0"	"6"	"0"	"3"	"0"	"4"	"0"	"1"	"0"	"437"	""	"437"	""	""
"99"	"9"	"79"	"102"	"0"	"51"	"40"	"4"	"1"	"1"	"1"	"17"	"2"	"3"	"0"	"1"	"1"	"4"	"2"	"230"	""	"230"	""	""
"100"	"10"	"80"	"166"	"8"	"115"	"133"	"6"	"10"	"1"	"4"	"16"	"0"	"4"	"0"	"0"	"1"	"0"	"1"	"465"	""	"465"	""	""
"101"	"11"	"81"	"11"	"2"	"28"	"296"	"12"	"3"	"1"	"2"	"71"	"3"	"3"	"1"	"6"	"3"	"1"	"2"	"445"	""	"445"	""	""
"102"	"12"	"82"	"1"	"2"	"129"	"64"	"3"	"2"	"0"	"0"	"30"	"2"	"2"	"1"	"3"	"3"	"1"	"3"	"246"	""	"246"	""	""
"103"	"13"	"83"	"3"	"0"	"38"	"498"	"3"	"6"	"3"	"0"	"5"	"1"	"2"	"1"	"0"	"1"	"1"	"2"	"564"	""	"564"	""	""
"104"	"14"	"84"	"4"	"1"	"445"	"15"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"5"	"3"	"1"	"4"	"483"	""	"483"	""	""
"105"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"106"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"107"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"108"	"<U+092F><U+094B><U+0917>"	""	"767"	"65"	"1955"	"2336"	"68"	"41"	"18"	"22"	"341"	"17"	"34"	"9"	"37"	"31"	"15"	"43"	"5799"	"0"	"5799"	"0"	"0"
"109"	"1"	"85"	"10"	"6"	"89"	"119"	"0"	"1"	"0"	"1"	"12"	"1"	"2"	"0"	"4"	"5"	"1"	"3"	"254"	""	"254"	""	""
"110"	"2"	"86"	"13"	"15"	"189"	"120"	"6"	"0"	"1"	"0"	"8"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"355"	""	"355"	""	""
"111"	"3"	"87"	"304"	"12"	"84"	"192"	"2"	"7"	"0"	"0"	"19"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"621"	""	"621"	""	""
"112"	"4"	"88"	"40"	"91"	"26"	"160"	"1"	"0"	"0"	"1"	"13"	"0"	"0"	"1"	"3"	"4"	"1"	"2"	"343"	""	"343"	""	""
"113"	"5"	"89"	"17"	"0"	"38"	"93"	"2"	"2"	"0"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"172"	""	"172"	""	""
"114"	"6"	"90"	"6"	"0"	"135"	"82"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"226"	""	"226"	""	""
"115"	"7"	"91"	"8"	"0"	"16"	"147"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	""	"175"	""	""
"116"	"8"	"92"	"59"	"3"	"69"	"128"	"0"	"1"	"1"	"0"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"272"	""	"272"	""	""
"117"	"9"	"93"	"26"	"3"	"42"	"209"	"10"	"1"	"0"	"5"	"154"	"7"	"4"	"1"	"3"	"2"	"1"	"3"	"471"	""	"471"	""	""
"118"	"10"	"94"	"6"	"3"	"18"	"196"	"1"	"2"	"1"	"0"	"10"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"241"	""	"241"	""	""
"119"	"11"	"95"	"60"	"19"	"113"	"136"	"5"	"1"	"0"	"3"	"44"	"1"	"3"	"0"	"1"	"1"	"3"	"1"	"391"	""	"391"	""	""
"120"	"12"	"96"	"43"	"0"	"101"	"152"	"1"	"4"	"1"	"2"	"13"	"0"	"4"	"1"	"1"	"0"	"1"	"5"	"329"	""	"329"	""	""
"121"	"13"	"97"	"8"	"22"	"170"	"137"	"6"	"0"	"0"	"1"	"6"	"3"	"1"	"2"	"2"	"1"	"0"	"2"	"361"	""	"361"	""	""
"122"	"14"	"98"	"5"	"0"	"249"	"124"	"2"	"1"	"0"	"0"	"2"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"388"	""	"388"	""	""
"123"	"<U+092F><U+094B><U+0917>"	""	"605"	"174"	"1339"	"1995"	"37"	"20"	"4"	"14"	"308"	"15"	"17"	"5"	"20"	"16"	"10"	"20"	"4599"	"0"	"4599"	"0"	"0"
"124"	"1"	"99"	"83"	"5"	"102"	"93"	"3"	"2"	"0"	"1"	"22"	"1"	"1"	"1"	"2"	"3"	"1"	"3"	"323"	""	"323"	""	""
"125"	"2"	"100"	"28"	"1"	"69"	"172"	"6"	"0"	"1"	"0"	"72"	"1"	"3"	"1"	"3"	"2"	"1"	"2"	"362"	""	"362"	""	""
"126"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"127"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"128"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"129"	"3"	"101"	"17"	"81"	"85"	"138"	"6"	"0"	"1"	"4"	"95"	"2"	"2"	"3"	"4"	"1"	"2"	"4"	"445"	""	"445"	""	""
"130"	"4"	"102"	"40"	"2"	"114"	"99"	"6"	"1"	"0"	"5"	"77"	"1"	"3"	"0"	"1"	"1"	"0"	"1"	"351"	""	"351"	""	""
"131"	"5"	"103"	"5"	"1"	"388"	"59"	"3"	"2"	"0"	"2"	"1"	"0"	"3"	"0"	"8"	"2"	"0"	"4"	"478"	""	"478"	""	""
"132"	"6"	"104"	"150"	"0"	"117"	"73"	"6"	"0"	"0"	"1"	"43"	"2"	"1"	"1"	"2"	"2"	"2"	"3"	"403"	""	"403"	""	""
"133"	"7"	"105"	"22"	"51"	"266"	"203"	"7"	"1"	"1"	"4"	"9"	"1"	"7"	"8"	"15"	"11"	"7"	"19"	"632"	""	"632"	""	""
"134"	"8"	"106"	"49"	"4"	"261"	"80"	"0"	"0"	"0"	"0"	"5"	"0"	"1"	"0"	"1"	"3"	"4"	"5"	"413"	""	"413"	""	""
"135"	"9"	"107"	"33"	"1"	"158"	"146"	"0"	"1"	"1"	"0"	"3"	"1"	"4"	"3"	"2"	"3"	"0"	"3"	"359"	""	"359"	""	""
"136"	"10"	"108"	"25"	"0"	"40"	"139"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"0"	"4"	"215"	""	"215"	""	""
"137"	"11"	"109"	"2"	"3"	"189"	"82"	"1"	"22"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"2"	"307"	""	"307"	""	""
"138"	"12"	"110"	"3"	"83"	"81"	"79"	"6"	"8"	"1"	"2"	"23"	"1"	"1"	"0"	"4"	"3"	"2"	"8"	"305"	""	"305"	""	""
"139"	"13"	"111"	"5"	"70"	"55"	"194"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"326"	""	"326"	""	""
"140"	"14"	"112"	"4"	"0"	"22"	"172"	"6"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"211"	""	"211"	""	""
"141"	"<U+092F><U+094B><U+0917>"	""	"466"	"302"	"1947"	"1729"	"50"	"40"	"6"	"19"	"352"	"10"	"28"	"18"	"47"	"35"	"19"	"62"	"5130"	"0"	"5130"	"0"	"0"
"142"	"1"	"113"	"14"	"33"	"65"	"425"	"3"	"9"	"1"	"2"	"0"	"2"	"0"	"4"	"5"	"0"	"1"	"1"	"565"	""	"565"	""	""
"143"	"2"	"114"	"6"	"23"	"47"	"115"	"4"	"33"	"0"	"3"	"13"	"4"	"4"	"0"	"3"	"1"	"0"	"3"	"259"	""	"259"	""	""
"144"	"3"	"115"	"15"	"46"	"65"	"84"	"3"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"228"	""	"228"	""	""
"145"	"4"	"116"	"1"	"0"	"85"	"168"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"259"	""	"259"	""	""
"146"	"5"	"117"	"3"	"20"	"174"	"59"	"3"	"1"	"1"	"2"	"7"	"1"	"0"	"2"	"2"	"4"	"1"	"0"	"280"	""	"280"	""	""
"147"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"148"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
"149"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936> <U+0915><U+0941> <U+092E><U+093E><U+0930>
 <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  <U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909>
 <U+0932><U+093E><U+0939> <U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936><U+092A><U+093E>
 <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"150"	"6"	"118"	"1"	"0"	"243"	"33"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"281"	""	"281"	""	""
"151"	"7"	"119"	"9"	"1"	"349"	"84"	"3"	"0"	"0"	"1"	"9"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"460"	""	"460"	""	""
"152"	"8"	"120"	"50"	"3"	"85"	"130"	"2"	"2"	"0"	"0"	"6"	"1"	"2"	"0"	"3"	"3"	"0"	"0"	"287"	""	"287"	""	""
"153"	"9"	"121"	"116"	"73"	"53"	"24"	"1"	"35"	"2"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"3"	"5"	"317"	""	"317"	""	""
"154"	"10"	"122"	"4"	"1"	"50"	"100"	"1"	"1"	"0"	"2"	"1"	"1"	"3"	"1"	"4"	"2"	"0"	"1"	"172"	""	"172"	""	""
"155"	"11"	"123"	"6"	"0"	"149"	"13"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"1"	"0"	"177"	""	"177"	""	""
"156"	"12"	"124"	"1"	"0"	"444"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"451"	""	"451"	""	""
"157"	"13"	"125"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""
"158"	"14"	"126"	"9"	"54"	"118"	"147"	"1"	"6"	"0"	"0"	"2"	"4"	"5"	"0"	"2"	"1"	"1"	"7"	"357"	""	"357"	""	""
"159"	"<U+092F><U+094B><U+0917>"	""	"235"	"254"	"1927"	"1386"	"21"	"101"	"5"	"10"	"40"	"16"	"18"	"9"	"22"	"20"	"8"	"21"	"4093"	"0"	"4093"	"0"	"0"
"160"	"1"	"127"	"24"	"6"	"136"	"276"	"5"	"8"	"3"	"2"	"9"	"6"	"7"	"5"	"2"	"6"	"4"	"10"	"509"	""	"509"	""	""
"161"	"2"	"128"	"16"	"9"	"169"	"212"	"3"	"29"	"0"	"1"	"1"	"1"	"3"	"0"	"1"	"0"	"0"	"0"	"445"	""	"445"	""	""
"162"	"3"	"129"	"27"	"1"	"39"	"272"	"2"	"6"	"0"	"0"	"1"	"5"	"2"	"0"	"4"	"0"	"3"	"2"	"364"	""	"364"	""	""
"163"	"4"	"130"	"4"	"26"	"287"	"134"	"5"	"7"	"0"	"0"	"0"	"0"	"3"	"1"	"7"	"6"	"2"	"2"	"484"	""	"484"	""	""
"164"	"5"	"131"	"64"	"2"	"26"	"147"	"2"	"2"	"1"	"1"	"0"	"0"	"3"	"0"	"3"	"0"	"0"	"5"	"256"	""	"256"	""	""
"165"	"6"	"132"	"4"	"14"	"76"	"283"	"9"	"10"	"1"	"0"	"1"	"0"	"5"	"0"	"1"	"1"	"0"	"4"	"409"	""	"409"	""	""
"166"	"7"	"133"	"4"	"2"	"381"	"33"	"0"	"4"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"429"	""	"429"	""	""
"167"	"8"	"134"	"5"	"3"	"241"	"127"	"3"	"1"	"0"	"0"	"2"	"2"	"0"	"0"	"2"	"1"	"0"	"1"	"388"	""	"388"	""	""
"168"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940>"
"169"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+0924> <U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+092E><U+0947>
<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947>
<U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928>"
