"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ELECTION TO THE HOUSE OF  THE PEOPLE FROM THE 8---SUPAUL CONSTITUENCY PART-I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ParliamentConstituency :8---SUPAUL                                                                                                                                                                                                                                           Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly Constituency :42---Pipra                                                                                                                                                                                                                                              No of Voters :207572"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"No of valid votes caste in favour of                                                                                                                                          Total Valid Votes -109640"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"andidates  Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRSAD MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"162"	"148"	"4"	"8"	"139"	"214"	"112"	"57"	"11"	"54"	"8"	"8"	"17"	"14"	"9"	"3"	"3"	"16"	"677"
"163"	"149"	"4"	"5"	"102"	"167"	"75"	"25"	"8"	"10"	"1"	"2"	"2"	"7"	"4"	"0"	"2"	"4"	"418"
"164"	"150"	"15"	"4"	"147"	"449"	"66"	"33"	"6"	"2"	"4"	"7"	"3"	"3"	"7"	"2"	"4"	"14"	"766"
"165"	"151"	"20"	"5"	"138"	"201"	"9"	"49"	"6"	"2"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"3"	"437"
"166"	"152"	"7"	"5"	"38"	"413"	"3"	"20"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"0"	"2"	"2"	"494"
"167"	"153"	"16"	"4"	"56"	"316"	"52"	"22"	"5"	"2"	"0"	"1"	"5"	"4"	"8"	"2"	"2"	"6"	"501"
"168"	"154"	"12"	"11"	"451"	"165"	"8"	"32"	"1"	"15"	"2"	"3"	"3"	"5"	"5"	"11"	"8"	"11"	"743"
"169"	"155"	"16"	"4"	"53"	"383"	"19"	"31"	"2"	"1"	"0"	"0"	"6"	"4"	"4"	"1"	"0"	"2"	"526"
"170"	"156"	"13"	"20"	"273"	"36"	"192"	"14"	"14"	"3"	"7"	"3"	"6"	"17"	"4"	"3"	"10"	"12"	"627"
"171"	"157"	"0"	"3"	"179"	"6"	"47"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"237"
"172"	"158"	"9"	"30"	"108"	"74"	"127"	"19"	"7"	"3"	"10"	"2"	"2"	"8"	"2"	"0"	"4"	"1"	"406"
"173"	"159"	"1"	"1"	"7"	"463"	"3"	"8"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"0"	"0"	"488"
"174"	"160"	"1"	"2"	"42"	"521"	"12"	"27"	"6"	"1"	"2"	"0"	"1"	"4"	"15"	"2"	"3"	"8"	"647"
"175"	"161"	"28"	"9"	"205"	"276"	"89"	"41"	"14"	"33"	"7"	"9"	"3"	"5"	"8"	"2"	"5"	"7"	"741"
"176"	"162"	"17"	"3"	"90"	"334"	"68"	"37"	"8"	"40"	"5"	"2"	"1"	"2"	"6"	"1"	"1"	"3"	"618"
"177"	"163"	"5"	"8"	"355"	"16"	"11"	"5"	"3"	"5"	"2"	"5"	"1"	"3"	"1"	"2"	"6"	"6"	"434"
"178"	"164"	"12"	"8"	"115"	"335"	"16"	"44"	"2"	"3"	"0"	"5"	"7"	"8"	"7"	"72"	"5"	"5"	"644"
"179"	"165"	"26"	"8"	"105"	"133"	"194"	"27"	"8"	"6"	"4"	"1"	"1"	"6"	"4"	"1"	"2"	"1"	"527"
"180"	"166"	"4"	"1"	"93"	"138"	"21"	"28"	"2"	"2"	"1"	"4"	"5"	"6"	"7"	"4"	"1"	"11"	"328"
"181"	"167"	"15"	"6"	"91"	"373"	"71"	"26"	"3"	"8"	"4"	"1"	"4"	"5"	"5"	"0"	"0"	"1"	"613"
"182"	"168"	"12"	"16"	"235"	"94"	"175"	"33"	"8"	"6"	"6"	"5"	"3"	"22"	"11"	"9"	"7"	"15"	"657"
"183"	"169"	"7"	"5"	"146"	"252"	"11"	"30"	"10"	"12"	"5"	"2"	"4"	"3"	"5"	"2"	"0"	"4"	"498"
"184"	"170"	"6"	"3"	"96"	"245"	"4"	"64"	"8"	"12"	"1"	"1"	"1"	"6"	"10"	"3"	"6"	"22"	"488"
"185"	"171"	"5"	"5"	"57"	"426"	"22"	"28"	"3"	"1"	"2"	"2"	"6"	"7"	"12"	"5"	"1"	"4"	"586"
"186"	"172"	"5"	"12"	"78"	"261"	"13"	"28"	"1"	"1"	"0"	"0"	"1"	"2"	"7"	"1"	"1"	"5"	"416"
"187"	"173"	"12"	"2"	"87"	"200"	"19"	"35"	"4"	"3"	"3"	"2"	"4"	"5"	"41"	"3"	"1"	"2"	"423"
"188"	"174"	"7"	"4"	"122"	"384"	"18"	"45"	"2"	"2"	"2"	"1"	"1"	"2"	"9"	"0"	"2"	"1"	"602"
"189"	"175"	"4"	"0"	"15"	"110"	"4"	"13"	"2"	"4"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"3"	"157"
"190"	"176"	"20"	"15"	"240"	"100"	"142"	"45"	"9"	"5"	"2"	"5"	"5"	"8"	"5"	"3"	"4"	"9"	"617"
"191"	"177"	"11"	"10"	"113"	"322"	"16"	"76"	"5"	"12"	"3"	"4"	"4"	"4"	"10"	"2"	"2"	"14"	"608"
"192"	"178"	"19"	"28"	"208"	"158"	"73"	"75"	"7"	"15"	"5"	"5"	"8"	"8"	"6"	"8"	"3"	"9"	"635"
"193"	"179"	"24"	"35"	"360"	"79"	"78"	"15"	"5"	"10"	"7"	"8"	"5"	"7"	"7"	"9"	"3"	"8"	"660"
"194"	"180"	"5"	"2"	"130"	"242"	"21"	"23"	"4"	"3"	"2"	"3"	"4"	"4"	"6"	"6"	"6"	"4"	"465"
"195"	"181"	"19"	"4"	"322"	"91"	"33"	"28"	"7"	"4"	"3"	"1"	"1"	"4"	"2"	"0"	"2"	"5"	"526"
"196"	"182"	"1"	"2"	"61"	"158"	"40"	"26"	"6"	"8"	"3"	"3"	"3"	"11"	"4"	"3"	"4"	"9"	"342"
"197"	"183"	"9"	"13"	"51"	"245"	"86"	"61"	"10"	"34"	"6"	"4"	"6"	"14"	"7"	"2"	"9"	"7"	"564"
"198"	"184"	"8"	"14"	"97"	"419"	"80"	"73"	"12"	"34"	"7"	"5"	"7"	"12"	"24"	"6"	"4"	"16"	"818"
"199"	"185"	"13"	"8"	"70"	"331"	"27"	"68"	"14"	"44"	"5"	"7"	"6"	"3"	"16"	"3"	"1"	"10"	"626"
"200"	"186"	"21"	"18"	"163"	"464"	"40"	"46"	"5"	"26"	"7"	"2"	"5"	"1"	"5"	"5"	"5"	"9"	"822"
"201"	"187"	"14"	"14"	"77"	"277"	"43"	"64"	"5"	"5"	"5"	"1"	"2"	"6"	"12"	"1"	"1"	"5"	"532"
"202"	"188"	"9"	"7"	"155"	"216"	"42"	"69"	"10"	"47"	"4"	"4"	"5"	"9"	"12"	"6"	"8"	"18"	"621"
"203"	"189"	"9"	"5"	"28"	"196"	"18"	"34"	"4"	"15"	"1"	"2"	"1"	"2"	"2"	"0"	"3"	"3"	"323"
"204"	"190"	"10"	"6"	"47"	"101"	"219"	"27"	"14"	"5"	"8"	"2"	"8"	"20"	"9"	"0"	"0"	"5"	"481"
"205"	"191"	"2"	"24"	"114"	"346"	"15"	"85"	"4"	"22"	"1"	"2"	"7"	"3"	"15"	"5"	"5"	"13"	"663"
"206"	"BOOTH NO"	"ASHOK MAHTO"	"BALRAM SINGH YADAV"	"RANJEET RANJAN"	"VISHWA MOHAN
KUMAR"	"SURYA NARAYAN
YADAV"	"NARAYAN MANDAL"	"MANJU DEVI"	"SHARVAN KUMAR
CHOUDHARY"	"SURESH PRSAD MEHTA"	"ARBIND KUMAR"	"ASHOK PANKAJ"	"BHIM KUMAR GUPTA"	"RAMCHANDRA PRASAD SINGH"	"RAMDEO SHARMA"	"VIJAY KUMAR CHOUDHARY"	"SURESH KUMAR AZAD"	"Total"
"207"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"
"208"	"192"	"4"	"3"	"73"	"223"	"3"	"39"	"4"	"4"	"0"	"2"	"1"	"0"	"4"	"0"	"1"	"5"	"366"
"209"	"193"	"3"	"2"	"201"	"135"	"1"	"15"	"1"	"1"	"0"	"2"	"0"	"1"	"3"	"0"	"3"	"1"	"369"
"210"	"194"	"18"	"15"	"88"	"218"	"53"	"77"	"10"	"18"	"3"	"4"	"4"	"7"	"5"	"2"	"2"	"12"	"536"
"211"	"195"	"0"	"2"	"138"	"34"	"4"	"11"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"192"
"212"	"196"	"2"	"4"	"111"	"285"	"11"	"54"	"2"	"3"	"0"	"0"	"0"	"0"	"5"	"3"	"0"	"6"	"486"
"213"	"197"	"18"	"3"	"38"	"195"	"120"	"50"	"18"	"8"	"4"	"2"	"5"	"18"	"7"	"6"	"2"	"14"	"508"
"214"	"198"	"1"	"2"	"47"	"67"	"201"	"16"	"9"	"3"	"4"	"1"	"1"	"19"	"6"	"2"	"2"	"10"	"391"
"215"	"199"	"13"	"1"	"106"	"164"	"101"	"31"	"9"	"5"	"13"	"4"	"5"	"22"	"15"	"4"	"3"	"12"	"508"
"216"	"200"	"10"	"3"	"189"	"276"	"56"	"41"	"14"	"1"	"7"	"4"	"6"	"4"	"10"	"7"	"3"	"15"	"646"
"217"	"201"	"18"	"14"	"173"	"220"	"175"	"62"	"19"	"32"	"20"	"10"	"7"	"22"	"14"	"5"	"10"	"15"	"816"
"218"	"202"	"2"	"4"	"25"	"103"	"4"	"12"	"3"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"1"	"0"	"158"
"219"	"203"	"9"	"3"	"120"	"312"	"83"	"30"	"7"	"6"	"2"	"6"	"1"	"13"	"13"	"6"	"6"	"2"	"619"
"220"	"204"	"10"	"3"	"25"	"277"	"9"	"10"	"2"	"0"	"2"	"2"	"7"	"8"	"21"	"2"	"1"	"6"	"385"
"221"	"205"	"5"	"1"	"53"	"299"	"92"	"40"	"4"	"3"	"4"	"6"	"6"	"13"	"5"	"4"	"0"	"5"	"540"
"222"	"206"	"20"	"5"	"131"	"262"	"22"	"51"	"5"	"3"	"4"	"5"	"6"	"8"	"6"	"2"	"2"	"0"	"532"
"223"	"207"	"5"	"6"	"77"	"266"	"105"	"43"	"9"	"2"	"3"	"4"	"5"	"10"	"8"	"10"	"7"	"9"	"569"
"224"	"208"	"2"	"1"	"17"	"266"	"16"	"38"	"1"	"1"	"2"	"0"	"1"	"3"	"3"	"0"	"0"	"7"	"358"
"225"	"209"	"20"	"5"	"148"	"223"	"89"	"65"	"7"	"9"	"5"	"1"	"4"	"9"	"3"	"1"	"4"	"4"	"597"
"226"	"210"	"11"	"11"	"121"	"139"	"84"	"71"	"7"	"3"	"1"	"3"	"4"	"7"	"6"	"4"	"3"	"7"	"482"
"227"	"211"	"12"	"12"	"235"	"105"	"34"	"46"	"5"	"1"	"0"	"3"	"1"	"0"	"0"	"1"	"2"	"5"	"462"
"228"	"212"	"12"	"10"	"205"	"78"	"190"	"35"	"11"	"11"	"5"	"4"	"4"	"20"	"5"	"4"	"0"	"18"	"612"
"229"	"213"	"19"	"7"	"52"	"511"	"92"	"62"	"10"	"2"	"3"	"2"	"3"	"10"	"4"	"0"	"1"	"4"	"782"
"230"	"214"	"9"	"6"	"118"	"175"	"10"	"47"	"5"	"2"	"1"	"3"	"3"	"2"	"2"	"1"	"1"	"3"	"388"
"231"	"Total:"	"2229"	"1298"	"24046"	"48879"	"14683"	"7404"	"1472"	"1623"	"746"	"529"	"724"	"1592"	"1430"	"804"	"567"	"1614"	"109640"
"232"	"Place -Supaul                                                                                                                                                                                                                                                                                                         Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"Date : 16.05.2009                                                                                                                                                                                                                                                                                 08-Supaul Parliamentary Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"-cum-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"District Magistrate,Supaul"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
