"TOTAL.NO.OF.ELECTORS.IN.97.PAROO.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"202"	185	"140"	"29"	"1"	"6"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"3"	"182"	""	""	""
"203"	186	"281"	"28"	"4"	"3"	"1"	"0"	"2"	"2"	"0"	"1"	"2"	"8"	"332"	""	""	""
"204"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	221188	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"207"	187	"242"	"242"	"39"	"5"	"1"	"0"	"0"	"3"	"3"	"8"	"1"	"18"	"562"	""	""	""
"208"	188	"242"	"242"	"3"	"6"	"7"	"3"	"3"	"3"	"1"	"3"	"11"	"17"	"541"	""	""	""
"209"	189	"133"	"180"	"5"	"5"	"4"	"0"	"0"	"0"	"1"	"2"	"12"	"16"	"358"	""	""	""
"210"	190	"647"	"58"	"9"	"7"	"2"	"2"	"5"	"7"	"4"	"2"	"11"	"33"	"787"	""	""	""
"211"	191	"290"	"135"	"65"	"5"	"1"	"0"	"3"	"2"	"5"	"5"	"13"	"17"	"541"	""	""	""
"212"	192	"396"	"145"	"4"	"3"	"2"	"2"	"3"	"1"	"2"	"13"	"12"	"33"	"616"	""	""	""
"213"	193	"199"	"215"	"26"	"4"	"7"	"1"	"1"	"0"	"0"	"10"	"5"	"5"	"473"	""	""	""
"214"	194	"106"	"198"	"14"	"2"	"3"	"1"	"3"	"2"	"1"	"8"	"10"	"11"	"359"	""	""	""
"215"	195	"99"	"15"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"127"	""	""	""
"216"	196	"191"	"306"	"27"	"12"	"12"	"4"	"8"	"6"	"6"	"11"	"13"	"10"	"606"	""	""	""
"217"	197	"211"	"118"	"20"	"9"	"2"	"1"	"3"	"1"	"1"	"1"	"9"	"0"	"376"	""	""	""
"218"	198	"278"	"33"	"5"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"321"	""	""	""
"219"	199	"183"	"253"	"12"	"6"	"7"	"2"	"5"	"0"	"2"	"14"	"8"	"16"	"508"	""	""	""
"220"	200	"427"	"127"	"37"	"12"	"6"	"1"	"1"	"5"	"8"	"11"	"22"	"31"	"688"	""	""	""
"221"	201	"209"	"46"	"3"	"0"	"4"	"1"	"0"	"2"	"1"	"3"	"8"	"8"	"285"	""	""	""
"222"	202	"267"	"332"	"10"	"10"	"10"	"4"	"4"	"4"	"2"	"16"	"8"	"12"	"679"	""	""	""
"223"	203	"244"	"27"	"2"	"1"	"2"	"10"	"2"	"1"	"4"	"6"	"4"	"21"	"324"	""	""	""
"224"	204	"256"	"179"	"5"	"3"	"4"	"4"	"11"	"29"	"4"	"7"	"10"	"12"	"524"	""	""	""
"225"	205	"250"	"130"	"26"	"15"	"7"	"2"	"1"	"3"	"0"	"9"	"9"	"23"	"475"	""	""	""
"226"	206	"294"	"197"	"25"	"30"	"7"	"3"	"7"	"8"	"6"	"11"	"12"	"41"	"641"	""	""	""
"227"	207	"400"	"112"	"9"	"50"	"2"	"2"	"0"	"0"	"0"	"4"	"23"	"2"	"604"	""	""	""
"228"	208	"313"	"27"	"2"	"38"	"0"	"1"	"2"	"0"	"0"	"0"	"1"	"2"	"386"	""	""	""
"229"	209	"261"	"95"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"0"	"2"	"365"	""	""	""
"230"	210	"307"	"124"	"3"	"4"	"1"	"3"	"1"	"0"	"1"	"2"	"5"	"3"	"454"	""	""	""
"231"	211	"388"	"128"	"7"	"10"	"4"	"5"	"3"	"4"	"1"	"11"	"15"	"43"	"619"	""	""	""
"232"	212	"131"	"107"	"5"	"10"	"1"	"1"	"1"	"0"	"3"	"0"	"33"	"11"	"303"	""	""	""
"233"	213	"240"	"48"	"4"	"2"	"2"	"1"	"0"	"1"	"0"	"2"	"5"	"0"	"305"	""	""	""
"234"	214	"212"	"294"	"25"	"15"	"15"	"4"	"3"	"3"	"0"	"6"	"9"	"3"	"589"	""	""	""
"235"	215	"284"	"127"	"8"	"5"	"2"	"2"	"2"	"1"	"0"	"4"	"11"	"2"	"448"	""	""	""
"236"	216	"400"	"149"	"10"	"11"	"6"	"1"	"1"	"5"	"0"	"6"	"6"	"17"	"612"	""	""	""
"237"	217	"31"	"184"	"18"	"0"	"0"	"0"	"1"	"1"	"0"	"4"	"3"	"3"	"245"	""	""	""
"238"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	221188	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"241"	218	"152"	"206"	"15"	"4"	"2"	"2"	"0"	"0"	"3"	"5"	"2"	"0"	"391"	""	""	""
"242"	219	"109"	"127"	"49"	"4"	"5"	"1"	"2"	"5"	"2"	"11"	"11"	"16"	"342"	""	""	""
"243"	220	"187"	"74"	"3"	"2"	"2"	"0"	"2"	"3"	"1"	"3"	"9"	"6"	"292"	""	""	""
"244"	221	"275"	"101"	"10"	"13"	"4"	"2"	"0"	"1"	"1"	"3"	"10"	"25"	"445"	""	""	""
"245"	222	"155"	"46"	"4"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"4"	"0"	"212"	""	""	""
"246"	223	"114"	"266"	"1"	"2"	"3"	"0"	"0"	"0"	"1"	"4"	"3"	"2"	"396"	""	""	""
"247"	224	"185"	"183"	"14"	"10"	"3"	"3"	"1"	"0"	"0"	"7"	"5"	"6"	"417"	""	""	""
"248"	225	"58"	"207"	"27"	"3"	"1"	"2"	"0"	"2"	"0"	"2"	"4"	"2"	"308"	""	""	""
"249"	226	"249"	"255"	"19"	"4"	"4"	"6"	"4"	"1"	"1"	"4"	"7"	"2"	"556"	""	""	""
"250"	227	"310"	"94"	"3"	"2"	"3"	"1"	"0"	"0"	"0"	"1"	"6"	"10"	"430"	""	""	""
"251"	228	"189"	"67"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"265"	""	""	""
"252"	229	"219"	"483"	"5"	"7"	"1"	"1"	"1"	"0"	"1"	"6"	"3"	"2"	"729"	""	""	""
"253"	230	"137"	"57"	"1"	"2"	"3"	"2"	"2"	"23"	"1"	"0"	"6"	"7"	"241"	""	""	""
"254"	231	"32"	"262"	"3"	"0"	"0"	"0"	"1"	"8"	"0"	"5"	"4"	"3"	"318"	""	""	""
"255"	232	"196"	"307"	"18"	"3"	"2"	"3"	"0"	"2"	"1"	"2"	"2"	"8"	"544"	""	""	""
"256"	233	"439"	"248"	"15"	"2"	"3"	"2"	"0"	"1"	"1"	"7"	"10"	"24"	"752"	""	""	""
"257"	234	"284"	"255"	"16"	"12"	"3"	"6"	"4"	"5"	"1"	"3"	"6"	"26"	"621"	""	""	""
"258"	235	"204"	"258"	"6"	"2"	"0"	"4"	"4"	"2"	"2"	"8"	"7"	"14"	"511"	""	""	""
"259"	236	"64"	"238"	"79"	"3"	"3"	"0"	"0"	"0"	"0"	"5"	"4"	"7"	"403"	""	""	""
"260"	237	"17"	"220"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"243"	""	""	""
"261"	238	"163"	"215"	"3"	"2"	"1"	"0"	"2"	"2"	"0"	"2"	"2"	"0"	"392"	""	""	""
"262"	239	"210"	"149"	"80"	"6"	"6"	"2"	"1"	"1"	"0"	"1"	"6"	"10"	"472"	""	""	""
"263"	240	"113"	"176"	"60"	"5"	"7"	"0"	"4"	"2"	"1"	"4"	"0"	"4"	"376"	""	""	""
"264"	241	"307"	"234"	"20"	"2"	"4"	"1"	"2"	"1"	"1"	"4"	"2"	"5"	"583"	""	""	""
"265"	242	"169"	"180"	"2"	"2"	"2"	"1"	"1"	"0"	"0"	"2"	"2"	"1"	"362"	""	""	""
"266"	243	"275"	"182"	"5"	"3"	"2"	"1"	"2"	"11"	"0"	"0"	"2"	"2"	"485"	""	""	""
"267"	244	"414"	"237"	"6"	"3"	"0"	"0"	"3"	"0"	"4"	"1"	"10"	"25"	"703"	""	""	""
"268"	245	"402"	"157"	"5"	"2"	"1"	"2"	"2"	"3"	"0"	"2"	"4"	"6"	"586"	""	""	""
"269"	246	"351"	"201"	"9"	"8"	"1"	"1"	"2"	"3"	"4"	"11"	"23"	"23"	"637"	""	""	""
"270"	247	"329"	"192"	"5"	"4"	"3"	"2"	"3"	"6"	"4"	"8"	"12"	"32"	"600"	""	""	""
"271"	248	"479"	"231"	"7"	"4"	"2"	"0"	"0"	"0"	"1"	"0"	"4"	"8"	"736"	""	""	""
"272"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	221188	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"275"	249	"136"	"367"	"3"	"5"	"0"	"0"	"3"	"0"	"2"	"0"	"8"	"2"	"526"	""	""	""
"276"	250	"24"	"304"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"2"	"342"	""	""	""
"277"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	NA	""	""	""	""	""	""	""	""	"106666"	""	""	""	""	""	""	""
"281"	NA	""	""	""	""	""	""	""	""	"106666"	""	""	""	""	""	""	""
