"TOTAL.NO.OF.ELECTORS.IN.89..AURAI.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X225836"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"
"103"	"96"	""	""	"217"	"51"	"103"	""	"18"	"3"	"4"	"0"	"4"	"15"	"2"	"1"	"3"	"8"	"4"	"8"	"8"	"3"	"9"	"1"	"77"	"1"	"0"	"0"	"5"	"545"	""	""	""
"104"	"97"	""	""	"126"	"19"	"216"	""	"33"	"3"	"0"	"0"	"1"	"1"	"1"	"2"	"1"	"1"	"3"	"4"	"17"	"16"	"4"	"5"	"38"	"2"	"2"	"4"	"5"	"504"	""	""	""
"105"	"98"	""	""	"96"	"149"	"22"	""	"23"	"3"	"2"	"3"	"2"	"4"	"10"	"3"	"4"	"1"	"5"	"11"	"19"	"17"	"61"	"5"	"34"	"7"	"1"	"7"	"12"	"501"	""	""	""
"106"	"99"	""	""	"131"	"13"	"222"	""	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"10"	"8"	"1"	"39"	"1"	"2"	"0"	"1"	"434"	""	""	""
"107"	"100"	""	""	"153"	"84"	"128"	""	"34"	"5"	"5"	"4"	"4"	"1"	"4"	"6"	"8"	"6"	"15"	"13"	"29"	"11"	"6"	"4"	"99"	"4"	"1"	"2"	"8"	"634"	""	""	""
"108"	"TOTAL NO OF ELECTORS IN 89- AURAI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"225836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"109"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"110"	"101"	""	""	"7"	"286"	"9"	""	"14"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"3"	"2"	"0"	"7"	"0"	"18"	"0"	"0"	"1"	"1"	"351"	""	""	""
"111"	"102"	""	""	"73"	"44"	"150"	""	"15"	"1"	"6"	"2"	"2"	"0"	"4"	"1"	"1"	"2"	"1"	"5"	"7"	"3"	"2"	"2"	"33"	"0"	"1"	"1"	"3"	"359"	""	""	""
"112"	"103"	""	""	"151"	"210"	"44"	""	"1"	"0"	"1"	"5"	"68"	"7"	"10"	"0"	"0"	"0"	"6"	"3"	"12"	"4"	"32"	"0"	"5"	"0"	"1"	"2"	"5"	"567"	""	""	""
"113"	"104"	""	""	"9"	"67"	"97"	""	"3"	"1"	"2"	"3"	"0"	"4"	"24"	"1"	"2"	"1"	"2"	"6"	"4"	"1"	"93"	"1"	"16"	"0"	"0"	"2"	"2"	"341"	""	""	""
"114"	"105"	""	""	"5"	"55"	"110"	""	"7"	"2"	"4"	"3"	"1"	"3"	"11"	"3"	"2"	"6"	"4"	"7"	"5"	"3"	"10"	"2"	"7"	"1"	"0"	"3"	"9"	"263"	""	""	""
"115"	"106"	""	""	"55"	"70"	"138"	""	"7"	"1"	"4"	"3"	"8"	"5"	"3"	"3"	"2"	"4"	"7"	"11"	"24"	"8"	"9"	"3"	"53"	"4"	"7"	"4"	"5"	"438"	""	""	""
"116"	"107"	""	""	"37"	"89"	"37"	""	"4"	"1"	"2"	"1"	"4"	"1"	"2"	"4"	"0"	"2"	"1"	"9"	"14"	"5"	"5"	"3"	"127"	"3"	"1"	"3"	"9"	"364"	""	""	""
"117"	"108"	""	""	"58"	"108"	"41"	""	"39"	"7"	"3"	"5"	"3"	"2"	"10"	"6"	"5"	"13"	"17"	"18"	"32"	"15"	"60"	"7"	"29"	"4"	"11"	"5"	"22"	"520"	""	""	""
"118"	"109"	""	""	"29"	"38"	"161"	""	"5"	"0"	"1"	"7"	"2"	"0"	"8"	"3"	"2"	"4"	"6"	"10"	"7"	"0"	"25"	"4"	"64"	"3"	"0"	"2"	"3"	"384"	""	""	""
"119"	"110"	""	""	"9"	"42"	"275"	""	"4"	"1"	"3"	"0"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"0"	"1"	"1"	"5"	"0"	"32"	"0"	"2"	"1"	"0"	"383"	""	""	""
"120"	"111"	""	""	"139"	"127"	"10"	""	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"28"	"1"	"5"	"0"	"1"	"0"	"0"	"320"	""	""	""
"121"	"112"	""	""	"52"	"57"	"46"	""	"2"	"1"	"1"	"1"	"0"	"1"	"6"	"0"	"0"	"1"	"0"	"6"	"3"	"1"	"28"	"1"	"95"	"1"	"1"	"0"	"1"	"305"	""	""	""
"122"	"113"	""	""	"106"	"161"	"139"	""	"20"	"3"	"0"	"1"	"2"	"0"	"5"	"1"	"0"	"1"	"0"	"3"	"3"	"2"	"7"	"0"	"13"	"0"	"0"	"1"	"0"	"468"	""	""	""
"123"	"114"	""	""	"31"	"24"	"271"	""	"2"	"0"	"2"	"0"	"1"	"1"	"1"	"3"	"2"	"1"	"2"	"12"	"11"	"4"	"12"	"4"	"62"	"1"	"1"	"3"	"2"	"453"	""	""	""
"124"	"115"	""	""	"8"	"85"	"3"	""	"0"	"0"	"1"	"2"	"0"	"1"	"13"	"1"	"4"	"3"	"2"	"4"	"9"	"3"	"96"	"6"	"34"	"2"	"1"	"2"	"2"	"282"	""	""	""
"125"	"116"	""	""	"18"	"97"	"5"	""	"4"	"0"	"4"	"2"	"1"	"4"	"12"	"5"	"0"	"2"	"2"	"10"	"7"	"4"	"103"	"8"	"8"	"2"	"1"	"2"	"6"	"307"	""	""	""
"126"	"117"	""	""	"193"	"65"	"5"	""	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"3"	"1"	"0"	"3"	"3"	"5"	"6"	"4"	"1"	"4"	"0"	"0"	"1"	"3"	"301"	""	""	""
"127"	"118"	""	""	"129"	"62"	"22"	""	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"3"	"2"	"2"	"0"	"58"	"1"	"0"	"0"	"0"	"287"	""	""	""
"128"	"119"	""	""	"64"	"175"	"44"	""	"2"	"0"	"2"	"2"	"5"	"4"	"6"	"0"	"4"	"8"	"8"	"32"	"25"	"7"	"6"	"1"	"23"	"1"	"0"	"2"	"7"	"428"	""	""	""
"129"	"120"	""	""	"128"	"171"	"8"	""	"1"	"4"	"6"	"1"	"5"	"2"	"2"	"3"	"3"	"2"	"5"	"13"	"16"	"16"	"20"	"5"	"102"	"5"	"1"	"2"	"12"	"533"	""	""	""
"130"	"121"	""	""	"25"	"133"	"11"	""	"4"	"0"	"1"	"3"	"2"	"1"	"10"	"2"	"1"	"1"	"3"	"3"	"9"	"6"	"58"	"3"	"5"	"2"	"0"	"1"	"1"	"285"	""	""	""
"131"	"122"	""	""	"90"	"144"	"11"	""	"15"	"1"	"2"	"1"	"1"	"1"	"1"	"4"	"2"	"0"	"5"	"5"	"12"	"24"	"35"	"5"	"4"	"0"	"0"	"4"	"3"	"370"	""	""	""
"132"	"123"	""	""	"53"	"138"	"24"	""	"19"	"3"	"3"	"1"	"1"	"3"	"6"	"5"	"2"	"3"	"9"	"15"	"15"	"2"	"12"	"1"	"14"	"1"	"0"	"2"	"3"	"335"	""	""	""
"133"	"124"	""	""	"24"	"85"	"170"	""	"6"	"2"	"4"	"4"	"1"	"2"	"1"	"2"	"1"	"0"	"1"	"3"	"0"	"3"	"45"	"3"	"34"	"3"	"2"	"4"	"1"	"401"	""	""	""
"134"	"125"	""	""	"2"	"33"	"129"	""	"7"	"1"	"2"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"2"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"187"	""	""	""
"135"	"TOTAL NO OF ELECTORS IN 89- AURAI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"225836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"136"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"137"	"126"	""	""	"44"	"33"	"148"	""	"22"	"5"	"6"	"3"	"4"	"4"	"5"	"3"	"1"	"3"	"5"	"4"	"2"	"4"	"12"	"2"	"16"	"0"	"5"	"0"	"1"	"332"	""	""	""
"138"	"127"	""	""	"71"	"150"	"19"	""	"13"	"1"	"1"	"2"	"5"	"1"	"21"	"4"	"2"	"0"	"3"	"12"	"13"	"13"	"104"	"10"	"43"	"2"	"1"	"0"	"4"	"495"	""	""	""
"139"	"128"	""	""	"22"	"117"	"138"	""	"57"	"5"	"1"	"6"	"3"	"1"	"4"	"2"	"2"	"4"	"2"	"11"	"12"	"4"	"10"	"1"	"29"	"3"	"2"	"4"	"8"	"448"	""	""	""
"140"	"129"	""	""	"19"	"88"	"119"	""	"10"	"4"	"3"	"1"	"1"	"2"	"1"	"4"	"3"	"5"	"3"	"8"	"18"	"2"	"5"	"0"	"9"	"0"	"1"	"1"	"2"	"309"	""	""	""
"141"	"130"	""	""	"90"	"31"	"41"	""	"20"	"1"	"2"	"0"	"3"	"2"	"2"	"1"	"2"	"2"	"1"	"4"	"3"	"8"	"4"	"1"	"13"	"0"	"0"	"0"	"2"	"233"	""	""	""
"142"	"131"	""	""	"19"	"8"	"155"	""	"2"	"0"	"1"	"0"	"1"	"1"	"4"	"2"	"2"	"6"	"3"	"3"	"12"	"0"	"24"	"1"	"24"	"0"	"0"	"0"	"5"	"273"	""	""	""
"143"	"132"	""	""	"21"	"171"	"46"	""	"9"	"2"	"4"	"2"	"3"	"0"	"4"	"1"	"2"	"1"	"2"	"5"	"1"	"16"	"36"	"2"	"44"	"3"	"1"	"8"	"8"	"392"	""	""	""
"144"	"133"	""	""	"74"	"175"	"44"	""	"2"	"1"	"1"	"1"	"2"	"1"	"5"	"0"	"1"	"2"	"0"	"0"	"1"	"7"	"20"	"2"	"51"	"1"	"1"	"1"	"3"	"396"	""	""	""
"145"	"134"	""	""	"36"	"36"	"95"	""	"60"	"5"	"2"	"0"	"2"	"1"	"1"	"2"	"1"	"3"	"2"	"3"	"18"	"2"	"4"	"3"	"7"	"0"	"1"	"0"	"5"	"289"	""	""	""
"146"	"135"	""	""	"46"	"69"	"57"	""	"7"	"3"	"4"	"1"	"3"	"1"	"13"	"2"	"4"	"2"	"8"	"13"	"27"	"8"	"39"	"3"	"13"	"0"	"0"	"2"	"7"	"332"	""	""	""
"147"	"136"	""	""	"11"	"13"	"43"	""	"1"	"0"	"0"	"1"	"0"	"0"	"5"	"2"	"0"	"0"	"0"	"0"	"4"	"2"	"54"	"0"	"12"	"1"	"0"	"0"	"2"	"151"	""	""	""
"148"	"137"	""	""	"11"	"721"	"2"	""	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"740"	""	""	""
"149"	"138"	""	""	"29"	"64"	"64"	""	"6"	"0"	"1"	"3"	"0"	"0"	"4"	"0"	"1"	"2"	"2"	"4"	"6"	"1"	"3"	"2"	"7"	"0"	"2"	"0"	"3"	"204"	""	""	""
"150"	"139"	""	""	"23"	"81"	"39"	""	"7"	"0"	"3"	"1"	"1"	"2"	"4"	"4"	"4"	"5"	"5"	"13"	"17"	"6"	"7"	"1"	"6"	"2"	"1"	"3"	"6"	"241"	""	""	""
"151"	"140"	""	""	"141"	"173"	"209"	""	"6"	"1"	"0"	"1"	"1"	"0"	"6"	"2"	"3"	"3"	"1"	"7"	"4"	"8"	"15"	"2"	"3"	"3"	"2"	"0"	"1"	"592"	""	""	""
"152"	"141"	""	""	"24"	"37"	"10"	""	"0"	"0"	"1"	"0"	"0"	"0"	"7"	"0"	"0"	"2"	"0"	"1"	"1"	"6"	"52"	"3"	"2"	"1"	"0"	"0"	"2"	"149"	""	""	""
"153"	"142"	""	""	"12"	"85"	"83"	""	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"2"	"0"	"3"	"0"	"2"	"7"	"2"	"12"	"1"	"0"	"0"	"1"	"216"	""	""	""
"154"	"143"	""	""	"54"	"10"	"59"	""	"6"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"3"	"4"	"12"	"7"	"8"	"7"	"262"	"6"	"4"	"3"	"4"	"457"	""	""	""
"155"	"144"	""	""	"165"	"44"	"24"	""	"4"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"2"	"11"	"8"	"4"	"3"	"174"	"7"	"3"	"4"	"3"	"467"	""	""	""
"156"	"145"	""	""	"89"	"219"	"52"	""	"5"	"0"	"1"	"2"	"4"	"1"	"6"	"2"	"2"	"2"	"7"	"22"	"18"	"2"	"7"	"2"	"7"	"0"	"0"	"2"	"3"	"455"	""	""	""
"157"	"146"	""	""	"47"	"213"	"22"	""	"0"	"0"	"3"	"2"	"1"	"3"	"1"	"1"	"2"	"1"	"7"	"10"	"11"	"8"	"11"	"3"	"11"	"1"	"1"	"5"	"10"	"374"	""	""	""
"158"	"147"	""	""	"84"	"184"	"35"	""	"16"	"1"	"2"	"0"	"2"	"1"	"5"	"1"	"1"	"2"	"0"	"4"	"2"	"9"	"18"	"8"	"42"	"4"	"2"	"3"	"7"	"433"	""	""	""
"159"	"148"	""	""	"73"	"115"	"43"	""	"2"	"1"	"1"	"1"	"2"	"2"	"3"	"3"	"3"	"1"	"2"	"14"	"21"	"4"	"12"	"1"	"16"	"1"	"0"	"1"	"9"	"331"	""	""	""
"160"	"149"	""	""	"54"	"57"	"66"	""	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"7"	"1"	"0"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"201"	""	""	""
"161"	"150"	""	""	"82"	"78"	"50"	""	"6"	"1"	"1"	"0"	"0"	"2"	"3"	"1"	"0"	"1"	"4"	"3"	"1"	"2"	"6"	"0"	"28"	"1"	"1"	"0"	"4"	"275"	""	""	""
"162"	"TOTAL NO OF ELECTORS IN 89- AURAI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"225836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"163"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"164"	"151"	""	""	"8"	"106"	"24"	""	"2"	"1"	"2"	"1"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"5"	"2"	"0"	"7"	"0"	"5"	"0"	"1"	"0"	"1"	"169"	""	""	""
"165"	"152"	""	""	"13"	"81"	"13"	""	"3"	"0"	"1"	"1"	"0"	"2"	"1"	"0"	"2"	"0"	"2"	"8"	"8"	"7"	"11"	"2"	"140"	"29"	"1"	"0"	"5"	"330"	""	""	""
"166"	"153"	""	""	"39"	"89"	"27"	""	"39"	"4"	"3"	"3"	"4"	"1"	"8"	"1"	"7"	"3"	"0"	"6"	"13"	"6"	"62"	"5"	"89"	"5"	"2"	"0"	"6"	"422"	""	""	""
"167"	"154"	""	""	"36"	"335"	"8"	""	"4"	"1"	"1"	"1"	"0"	"15"	"3"	"0"	"2"	"0"	"2"	"2"	"1"	"2"	"8"	"0"	"14"	"0"	"0"	"0"	"1"	"436"	""	""	""
"168"	"155"	""	""	"29"	"183"	"39"	""	"25"	"7"	"6"	"4"	"3"	"5"	"9"	"3"	"4"	"1"	"4"	"9"	"24"	"8"	"33"	"4"	"26"	"4"	"6"	"9"	"5"	"450"	""	""	""
"169"	"156"	""	""	"33"	"202"	"21"	""	"2"	"81"	"0"	"0"	"1"	"6"	"4"	"1"	"3"	"2"	"3"	"3"	"5"	"2"	"1"	"0"	"5"	"0"	"0"	"0"	"0"	"375"	""	""	""
"170"	"157"	""	""	"41"	"531"	"21"	""	"10"	"63"	"4"	"0"	"3"	"1"	"3"	"0"	"1"	"4"	"1"	"9"	"4"	"1"	"7"	"0"	"1"	"1"	"1"	"1"	"1"	"709"	""	""	""
"171"	"158"	""	""	"57"	"127"	"139"	""	"17"	"2"	"3"	"1"	"2"	"3"	"4"	"2"	"6"	"3"	"5"	"10"	"12"	"3"	"4"	"2"	"42"	"1"	"0"	"1"	"2"	"448"	""	""	""
"172"	"159"	""	""	"107"	"14"	"187"	""	"18"	"1"	"1"	"2"	"1"	"0"	"2"	"1"	"0"	"0"	"3"	"2"	"4"	"9"	"5"	"5"	"19"	"0"	"1"	"1"	"0"	"383"	""	""	""
"173"	"160"	""	""	"93"	"30"	"194"	""	"15"	"1"	"2"	"1"	"0"	"0"	"3"	"0"	"2"	"1"	"3"	"2"	"12"	"2"	"11"	"5"	"11"	"0"	"0"	"1"	"2"	"391"	""	""	""
"174"	"161"	""	""	"9"	"134"	"59"	""	"4"	"1"	"0"	"1"	"2"	"1"	"2"	"1"	"2"	"0"	"2"	"10"	"9"	"9"	"19"	"4"	"98"	"6"	"3"	"3"	"14"	"393"	""	""	""
"175"	"162"	""	""	"24"	"147"	"48"	""	"69"	"2"	"5"	"4"	"4"	"4"	"3"	"2"	"3"	"9"	"4"	"18"	"34"	"7"	"13"	"1"	"28"	"1"	"2"	"4"	"14"	"450"	""	""	""
"176"	"163"	""	""	"18"	"240"	"96"	""	"21"	"2"	"6"	"5"	"0"	"0"	"9"	"1"	"1"	"2"	"2"	"19"	"10"	"2"	"18"	"4"	"2"	"1"	"1"	"2"	"2"	"464"	""	""	""
"177"	"164"	""	""	"17"	"28"	"273"	""	"13"	"1"	"4"	"4"	"5"	"3"	"1"	"1"	"7"	"6"	"22"	"12"	"17"	"8"	"5"	"16"	"50"	"3"	"3"	"5"	"15"	"519"	""	""	""
"178"	"165"	""	""	"6"	"28"	"337"	""	"14"	"0"	"2"	"2"	"1"	"0"	"2"	"2"	"0"	"2"	"2"	"4"	"12"	"1"	"0"	"5"	"23"	"1"	"1"	"0"	"5"	"450"	""	""	""
"179"	"166"	""	""	"38"	"63"	"125"	""	"1"	"2"	"2"	"4"	"0"	"2"	"3"	"2"	"0"	"2"	"1"	"3"	"2"	"0"	"2"	"1"	"4"	"0"	"0"	"0"	"1"	"258"	""	""	""
"180"	"167"	""	""	"158"	"156"	"104"	""	"8"	"4"	"3"	"3"	"3"	"2"	"1"	"1"	"4"	"1"	"6"	"10"	"13"	"12"	"11"	"4"	"72"	"4"	"0"	"1"	"9"	"590"	""	""	""
"181"	"168"	""	""	"7"	"97"	"350"	""	"6"	"1"	"1"	"1"	"0"	"4"	"3"	"1"	"2"	"1"	"3"	"8"	"6"	"5"	"5"	"3"	"32"	"4"	"2"	"2"	"4"	"548"	""	""	""
"182"	"169"	""	""	"8"	"71"	"104"	""	"3"	"0"	"2"	"0"	"0"	"2"	"3"	"2"	"1"	"0"	"4"	"3"	"2"	"0"	"1"	"1"	"37"	"1"	"0"	"0"	"3"	"248"	""	""	""
"183"	"170"	""	""	"171"	"214"	"126"	""	"55"	"3"	"5"	"6"	"3"	"2"	"6"	"6"	"6"	"1"	"4"	"6"	"3"	"7"	"13"	"2"	"50"	"5"	"7"	"2"	"2"	"705"	""	""	""
"184"	"171"	""	""	"13"	"19"	"3"	""	"6"	"0"	"2"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"48"	""	""	""
"185"	"172"	""	""	"8"	"78"	"26"	""	"25"	"0"	"1"	"1"	"1"	"0"	"2"	"2"	"1"	"1"	"2"	"5"	"10"	"5"	"34"	"3"	"4"	"2"	"3"	"2"	"3"	"219"	""	""	""
"186"	"173"	""	""	"53"	"120"	"70"	""	"6"	"1"	"4"	"3"	"0"	"1"	"3"	"1"	"0"	"0"	"5"	"2"	"5"	"0"	"18"	"2"	"17"	"0"	"0"	"2"	"5"	"318"	""	""	""
"187"	"174"	""	""	"101"	"55"	"54"	""	"13"	"5"	"8"	"7"	"7"	"3"	"23"	"11"	"6"	"8"	"10"	"15"	"27"	"7"	"59"	"2"	"57"	"3"	"2"	"4"	"4"	"491"	""	""	""
"188"	"175"	""	""	"70"	"25"	"133"	""	"4"	"0"	"2"	"1"	"1"	"1"	"5"	"0"	"2"	"3"	"4"	"7"	"9"	"3"	"27"	"1"	"3"	"1"	"0"	"1"	"2"	"305"	""	""	""
"189"	"TOTAL NO OF ELECTORS IN 89- AURAI ASSEMBLY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"225836"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"190"	"PS NO"	""	""	"CAPTAIN JAI NARAYAN PRASAD NISHAD"	"BHAGWANLAL SAHNI"	"VINITA VIJAY"	""	"SAMEER KUMAR"	"JITENDRA YADAV"	"DINESH KUMAR KUSHWAHA"	"DEVENDRA RAKESH"	"NEELU SINGH"	"MAHENDRA PRASAD"	"MITHILESH KUMAR"	"MOHAMMAD SHAMIM"	"MD. RAHAMTULLAHA"	"RAM DAYAL RAM"	"REYAJ AHMAD ATISH"	"MD. SALEEM"	"ASHOK KUMAR LALAN"	"AHMAD RAZA"	"GEORGE FERNANDES"	"TARKESHWAR PASWAN"	"VIJENDRA CHAUDHARY"	"VINOD PASWAN"	"SHAMBHU SAHNI"	"SADANAND KISHORE THAKUR"	"SYED ALAMDAR SUSSAN"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	""	"TOTAL NO OF TENDER VOTES"
"191"	"176"	""	""	"63"	"23"	"101"	""	"4"	"6"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"3"	"1"	"1"	"3"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	""	""	""
"192"	"177"	""	""	"122"	"106"	"93"	""	"5"	"3"	"21"	"4"	"3"	"1"	"3"	"1"	"1"	"1"	"2"	"1"	"4"	"3"	"11"	"5"	"5"	"1"	"1"	"0"	"1"	"398"	""	""	""
"193"	"178"	""	""	"73"	"4"	"71"	""	"7"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"5"	"4"	"0"	"1"	"0"	"0"	"2"	"2"	"0"	"179"	""	""	""
"194"	"179"	""	""	"237"	"16"	"110"	""	"11"	"3"	"0"	"2"	"3"	"4"	"3"	"4"	"2"	"5"	"7"	"6"	"17"	"12"	"3"	"0"	"30"	"0"	"1"	"1"	"4"	"481"	""	""	""
"195"	"180"	""	""	"89"	"21"	"110"	""	"1"	"11"	"1"	"1"	"0"	"2"	"7"	"0"	"0"	"0"	"2"	"1"	"7"	"1"	"5"	"2"	"7"	"1"	"1"	"1"	"0"	"271"	""	""	""
"196"	"181"	""	""	"111"	"2"	"83"	""	"86"	"2"	"0"	"0"	"1"	"3"	"0"	"1"	"1"	"1"	"3"	"1"	"7"	"3"	"4"	"2"	"2"	"0"	"1"	"0"	"1"	"315"	""	""	""
"197"	"182"	""	""	"64"	"4"	"128"	""	"4"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"4"	"3"	"6"	"3"	"2"	"1"	"1"	"0"	"1"	"0"	"2"	"229"	""	""	""
"198"	"183"	""	""	"118"	"12"	"90"	""	"9"	"2"	"0"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"4"	"0"	"1"	"0"	"0"	"4"	"2"	"0"	"2"	"3"	"258"	""	""	""
"199"	"184"	""	""	"35"	"114"	"53"	""	"15"	"1"	"7"	"4"	"2"	"2"	"9"	"6"	"3"	"3"	"8"	"31"	"19"	"5"	"17"	"1"	"89"	"2"	"0"	"1"	"4"	"431"	""	""	""
"200"	"185"	""	""	"15"	"43"	"213"	""	"27"	"5"	"5"	"2"	"0"	"0"	"7"	"2"	"1"	"1"	"1"	"1"	"1"	"2"	"13"	"1"	"56"	"2"	"2"	"2"	"1"	"403"	""	""	""
"201"	"186"	""	""	"103"	"35"	"13"	""	"7"	"2"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"1"	"4"	"5"	"2"	"13"	"0"	"36"	"0"	"2"	"2"	"2"	"232"	""	""	""
"202"	"187"	""	""	"92"	"58"	"43"	""	"3"	"4"	"4"	"4"	"5"	"4"	"10"	"2"	"6"	"5"	"8"	"16"	"23"	"13"	"9"	"4"	"63"	"6"	"1"	"7"	"6"	"396"	""	""	""
"203"	"188"	""	""	"56"	"11"	"6"	""	"3"	"1"	"5"	"2"	"6"	"0"	"1"	"0"	"0"	"0"	"2"	"7"	"0"	"9"	"1"	"3"	"30"	"3"	"3"	"3"	"1"	"153"	""	""	""
"204"	"189"	""	""	"21"	"85"	"71"	""	"2"	"1"	"1"	"1"	"0"	"1"	"5"	"0"	"1"	"0"	"5"	"6"	"8"	"0"	"3"	"1"	"5"	"0"	"0"	"0"	"1"	"218"	""	""	""
"205"	"190"	""	""	"121"	"171"	"34"	""	"22"	"3"	"2"	"9"	"2"	"4"	"12"	"2"	"4"	"4"	"13"	"17"	"37"	"10"	"14"	"0"	"66"	"1"	"0"	"3"	"7"	"558"	""	""	""
"206"	"191"	""	""	"165"	"90"	"44"	""	"17"	"2"	"1"	"1"	"3"	"4"	"1"	"2"	"1"	"2"	"4"	"5"	"4"	"22"	"16"	"2"	"18"	"4"	"3"	"4"	"9"	"424"	""	""	""
