"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"
"1"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"[See rule 56 C (2) (C)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 30- PATNA SAHIB  PARLIAMENTARY CONSTITUENCY"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"PART 1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"(To be used both for Parliamentary and Assembly election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"ROUND  1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"8"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"9"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"150"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"151"	"71"	"235"	"73"	"10"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"1"	"6"	"331"	"0"	"331"	"0"	""
"152"	"72"	"283"	"28"	"5"	"5"	"0"	"5"	"1"	"1"	"1"	"1"	"1"	"7"	"42"	"2"	"3"	"13"	"398"	"0"	"398"	"0"	""
"153"	"73"	"143"	"92"	"7"	"3"	"0"	"2"	"3"	"0"	"2"	"0"	"2"	"1"	"15"	"2"	"0"	"2"	"274"	"0"	"274"	"0"	""
"154"	"74"	"193"	"85"	"14"	"0"	"0"	"4"	"2"	"0"	"2"	"2"	"1"	"1"	"4"	"3"	"5"	"4"	"320"	"0"	"320"	"0"	""
"155"	"75"	"215"	"205"	"37"	"4"	"1"	"9"	"2"	"2"	"4"	"2"	"4"	"4"	"5"	"6"	"10"	"17"	"527"	"0"	"527"	"0"	""
"156"	"76"	"114"	"235"	"17"	"7"	"1"	"1"	"1"	"0"	"0"	"0"	"4"	"1"	"1"	"2"	"9"	"20"	"413"	"0"	"413"	"0"	""
"157"	"77"	"162"	"41"	"25"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"2"	"0"	"234"	"0"	"234"	"0"	""
"158"	"78"	"219"	"43"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"6"	"290"	"0"	"290"	"0"	""
"159"	"79"	"362"	"162"	"12"	"0"	"1"	"1"	"2"	"2"	"3"	"1"	"3"	"5"	"1"	"6"	"17"	"24"	"602"	"0"	"602"	"0"	""
"160"	"80"	"206"	"143"	"5"	"2"	"2"	"4"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"3"	"9"	"4"	"382"	"0"	"382"	"0"	""
"161"	"81"	"323"	"203"	"11"	"0"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"3"	"6"	"555"	"0"	"555"	"0"	""
"162"	"82"	"261"	"21"	"8"	"4"	"1"	"3"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"1"	"1"	"7"	"311"	"0"	"311"	"0"	""
"163"	"83"	"218"	"35"	"6"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"2"	"6"	"271"	"0"	"271"	"0"	""
"164"	"84"	"142"	"148"	"13"	"5"	"0"	"2"	"1"	"0"	"2"	"1"	"1"	"2"	"1"	"1"	"3"	"8"	"330"	"0"	"330"	"0"	""
"165"	"Total :-"	"3076"	"1514"	"186"	"31"	"9"	"33"	"14"	"7"	"16"	"11"	"22"	"26"	"71"	"32"	"67"	"123"	"5238"	"0"	"5238"	"0"	""
"166"	"Till Last
Total :-"	"8155"	"13365"	"1148"	"164"	"76"	"663"	"120"	"58"	"62"	"70"	"90"	"60"	"66"	"95"	"252"	"408"	"24852"	"0"	"24852"	"0"	""
"167"	"Grand
Total :-"	"11231"	"14879"	"1334"	"195"	"85"	"696"	"134"	"65"	"78"	"81"	"112"	"86"	"137"	"127"	"319"	"531"	"30090"	"0"	"30090"	"0"	""
"168"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"ROUND  7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"176"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"177"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"178"	"85"	"191"	"218"	"10"	"0"	"3"	"0"	"1"	"1"	"1"	"0"	"2"	"3"	"4"	"2"	"5"	"9"	"450"	"0"	"450"	"0"	""
"179"	"86"	"102"	"55"	"2"	"4"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"1"	"2"	"0"	"4"	"10"	"185"	"0"	"185"	"0"	""
"180"	"87"	"336"	"114"	"9"	"1"	"0"	"0"	"1"	"4"	"1"	"1"	"1"	"2"	"1"	"4"	"4"	"10"	"489"	"0"	"489"	"0"	""
"181"	"88"	"84"	"284"	"19"	"0"	"1"	"2"	"0"	"3"	"5"	"0"	"2"	"1"	"2"	"5"	"7"	"6"	"421"	"0"	"421"	"0"	""
"182"	"89"	"105"	"50"	"9"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"1"	"6"	"177"	"0"	"177"	"0"	""
"183"	"90"	"69"	"228"	"8"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"2"	"0"	"1"	"1"	"14"	"10"	"336"	"0"	"336"	"0"	""
"184"	"91"	"89"	"173"	"22"	"5"	"2"	"1"	"1"	"0"	"0"	"3"	"1"	"1"	"1"	"1"	"6"	"2"	"308"	"0"	"308"	"0"	""
"185"	"92"	"7"	"273"	"4"	"0"	"1"	"2"	"2"	"1"	"0"	"1"	"1"	"1"	"2"	"5"	"6"	"7"	"313"	"0"	"313"	"0"	""
"186"	"93"	"224"	"220"	"16"	"3"	"4"	"1"	"1"	"1"	"0"	"1"	"2"	"0"	"0"	"2"	"6"	"4"	"485"	"0"	"485"	"0"	""
"187"	"94"	"127"	"19"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"151"	"0"	"151"	"0"	""
"188"	"95"	"122"	"37"	"5"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"2"	"11"	"182"	"0"	"182"	"0"	""
"189"	"96"	"144"	"97"	"5"	"3"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"4"	"1"	"4"	"5"	"268"	"0"	"268"	"0"	""
"190"	"97"	"183"	"208"	"7"	"2"	"0"	"2"	"0"	"0"	"2"	"1"	"1"	"1"	"0"	"0"	"4"	"4"	"415"	"0"	"415"	"0"	""
"191"	"98"	"183"	"16"	"63"	"0"	"2"	"11"	"3"	"0"	"3"	"5"	"2"	"1"	"2"	"0"	"6"	"17"	"314"	"0"	"314"	"0"	""
"192"	"Total :-"	"1966"	"1992"	"181"	"20"	"14"	"21"	"11"	"12"	"17"	"16"	"18"	"13"	"22"	"21"	"69"	"101"	"4494"	"0"	"4494"	"0"	""
"193"	"Till Last
Total :-"	"11231"	"14879"	"1334"	"195"	"85"	"696"	"134"	"65"	"78"	"81"	"112"	"86"	"137"	"127"	"319"	"531"	"30090"	"0"	"30090"	"0"	""
"194"	"Grand
Total :-"	"13197"	"16871"	"1515"	"215"	"99"	"717"	"145"	"77"	"95"	"97"	"130"	"99"	"159"	"148"	"388"	"632"	"34584"	"0"	"34584"	"0"	""
"195"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"196"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"197"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"198"	"16th May 2009                                                                                                                                                                                                                                            ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"ROUND  8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"203"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"204"	"99"	"225"	"104"	"15"	"3"	"1"	"1"	"1"	"2"	"0"	"3"	"3"	"1"	"2"	"6"	"6"	"10"	"383"	"0"	"383"	"0"	""
"205"	"100"	"395"	"44"	"11"	"0"	"1"	"2"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"9"	"468"	"0"	"468"	"0"	""
"206"	"101"	"131"	"27"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"165"	"0"	"165"	"0"	""
"207"	"102"	"117"	"143"	"14"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	"1"	"0"	"3"	"7"	"9"	"301"	"0"	"301"	"0"	""
"208"	"103"	"204"	"56"	"8"	"2"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"2"	"277"	"0"	"277"	"0"	""
"209"	"104"	"141"	"73"	"14"	"2"	"1"	"2"	"0"	"1"	"2"	"4"	"0"	"0"	"0"	"1"	"5"	"14"	"260"	"0"	"260"	"0"	""
"210"	"105"	"246"	"71"	"9"	"2"	"2"	"2"	"0"	"2"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"9"	"347"	"0"	"347"	"0"	""
"211"	"106"	"112"	"30"	"4"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"1"	"4"	"4"	"159"	"0"	"159"	"0"	""
"212"	"107"	"219"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"0"	"239"	"0"	""
"213"	"108"	"332"	"27"	"3"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"368"	"0"	"368"	"0"	""
"214"	"109"	"360"	"69"	"3"	"2"	"0"	"1"	"2"	"1"	"2"	"1"	"1"	"3"	"2"	"4"	"5"	"30"	"486"	"0"	"486"	"0"	""
"215"	"110"	"170"	"20"	"2"	"2"	"0"	"2"	"2"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"0"	"1"	"203"	"0"	"203"	"0"	""
"216"	"111"	"31"	"440"	"21"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"3"	"4"	"508"	"0"	"508"	"0"	""
"217"	"112"	"2"	"507"	"7"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"523"	"0"	"523"	"0"	""
"218"	"Total :-"	"2685"	"1630"	"115"	"20"	"7"	"13"	"8"	"9"	"9"	"14"	"15"	"9"	"9"	"17"	"34"	"93"	"4687"	"0"	"4687"	"0"	""
"219"	"Till Last
Total :-"	"13197"	"16871"	"1515"	"215"	"99"	"717"	"145"	"77"	"95"	"97"	"130"	"99"	"159"	"148"	"388"	"632"	"34584"	"0"	"34584"	"0"	""
"220"	"Grand
Total :-"	"15882"	"18501"	"1630"	"235"	"106"	"730"	"153"	"86"	"104"	"111"	"145"	"108"	"168"	"165"	"422"	"725"	"39271"	"0"	"39271"	"0"	""
"221"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"ROUND  9"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"230"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"231"	"113"	"6"	"227"	"3"	"2"	"0"	"1"	"0"	"1"	"0"	"2"	"2"	"2"	"4"	"2"	"0"	"4"	"256"	"0"	"256"	"0"	""
"232"	"114"	"7"	"118"	"22"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"7"	"8"	"170"	"0"	"170"	"0"	""
"233"	"115"	"57"	"99"	"28"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"190"	"0"	"190"	"0"	""
"234"	"116"	"56"	"254"	"38"	"4"	"2"	"6"	"2"	"2"	"2"	"5"	"4"	"1"	"6"	"7"	"7"	"16"	"412"	"0"	"412"	"0"	""
"235"	"117"	"705"	"7"	"23"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"736"	"0"	"736"	"0"	""
"236"	"118"	"907"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"921"	"0"	"921"	"0"	""
"237"	"119"	"61"	"55"	"60"	"4"	"0"	"0"	"1"	"2"	"1"	"4"	"1"	"1"	"0"	"1"	"2"	"5"	"198"	"0"	"198"	"0"	""
"238"	"120"	"168"	"53"	"9"	"5"	"0"	"1"	"0"	"0"	"0"	"1"	"4"	"0"	"1"	"0"	"1"	"3"	"246"	"0"	"246"	"0"	""
"239"	"121"	"265"	"40"	"10"	"4"	"2"	"6"	"3"	"5"	"6"	"4"	"3"	"0"	"5"	"6"	"3"	"11"	"373"	"0"	"373"	"0"	""
"240"	"122"	"25"	"28"	"2"	"0"	"0"	"5"	"6"	"0"	"0"	"0"	"2"	"1"	"2"	"3"	"3"	"2"	"79"	"0"	"79"	"0"	""
"241"	"123"	"502"	"11"	"4"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"522"	"0"	"522"	"0"	""
"242"	"124"	"274"	"10"	"2"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"2"	"6"	"300"	"0"	"300"	"0"	""
"243"	"125"	"257"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"0"	"258"	"0"	""
"244"	"126"	"31"	"122"	"5"	"1"	"2"	"2"	"2"	"1"	"0"	"1"	"3"	"1"	"2"	"2"	"3"	"12"	"190"	"0"	"190"	"0"	""
"245"	"Total :-"	"3321"	"1036"	"209"	"24"	"8"	"22"	"16"	"11"	"11"	"20"	"22"	"7"	"21"	"24"	"29"	"70"	"4851"	"0"	"4851"	"0"	""
"246"	"Till Last
Total :-"	"15882"	"18501"	"1630"	"235"	"106"	"730"	"153"	"86"	"104"	"111"	"145"	"108"	"168"	"165"	"422"	"725"	"39271"	"0"	"39271"	"0"	""
"247"	"Grand
Total :-"	"19203"	"19537"	"1839"	"259"	"114"	"752"	"169"	"97"	"115"	"131"	"167"	"115"	"189"	"189"	"451"	"795"	"44122"	"0"	"44122"	"0"	""
"248"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"16th May 2009                                                                                                                                                                                                                                            ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"ROUND  10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"256"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"257"	"127"	"123"	"102"	"18"	"2"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"3"	"2"	"1"	"2"	"14"	"270"	"0"	"270"	"0"	""
"258"	"128"	"7"	"119"	"27"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"8"	"167"	"0"	"167"	"0"	""
"259"	"129"	"7"	"201"	"43"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"256"	"0"	"256"	"0"	""
"260"	"130"	"234"	"28"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"268"	"0"	"268"	"0"	""
"261"	"131"	"67"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"75"	"0"	"75"	"0"	""
"262"	"132"	"374"	"28"	"5"	"2"	"0"	"1"	"1"	"1"	"3"	"3"	"2"	"0"	"2"	"5"	"3"	"16"	"446"	"0"	"446"	"0"	""
"263"	"133"	"67"	"153"	"13"	"0"	"2"	"3"	"0"	"1"	"0"	"2"	"39"	"2"	"0"	"0"	"3"	"10"	"295"	"0"	"295"	"0"	""
"264"	"134"	"389"	"27"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"422"	"0"	"422"	"0"	""
"265"	"135"	"268"	"26"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"304"	"0"	"304"	"0"	""
"266"	"136"	"319"	"59"	"3"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"3"	"390"	"0"	"390"	"0"	""
"267"	"137"	"235"	"107"	"4"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"3"	"355"	"0"	"355"	"0"	""
"268"	"138"	"260"	"35"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"6"	"303"	"0"	"303"	"0"	""
"269"	"139"	"24"	"137"	"40"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"1"	"4"	"4"	"6"	"2"	"225"	"0"	"225"	"0"	""
"270"	"140"	"125"	"125"	"3"	"1"	"0"	"6"	"2"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"10"	"277"	"0"	"277"	"0"	""
"271"	"Total :-"	"2499"	"1151"	"167"	"11"	"4"	"13"	"5"	"7"	"7"	"7"	"45"	"8"	"10"	"14"	"26"	"79"	"4053"	"0"	"4053"	"0"	""
"272"	"Till Last
Total :-"	"19203"	"19537"	"1839"	"259"	"114"	"752"	"169"	"97"	"115"	"131"	"167"	"115"	"189"	"189"	"451"	"795"	"44122"	"0"	"44122"	"0"	""
"273"	"Grand
Total :-"	"21702"	"20688"	"2006"	"270"	"118"	"765"	"174"	"104"	"122"	"138"	"212"	"123"	"199"	"203"	"477"	"874"	"48175"	"0"	"48175"	"0"	""
"274"	"Place :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"PATNA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Date :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"16th May 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"ARO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"ROUND  11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"Total No. of electors in Assembly Constituency/Segment:-209618"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"Name of the Assembly segment ( in the case of election from a Parliamentary constituency) :- 180-BAKHTIYARPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Serial no. of polling station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of tendered votes"	""
"283"	""	"Vijay Kumar"	"Shatrug han Sinha"	"Shekhar Suman"	"On Masumi"	"Dr.
Diwaker Tejaswi"	"Ram Narayan Rai"	"Hassan Faizi Hashmi"	"Anjani Kumar"	"Kumar Rajiv"	"Deepak Kumar Singh"	"Pankaj Kumar Sharma"	"Pramod Kumar Gupta"	"Ram Bhajan Singh Nishad"	"Vidhan Chandra Rana"	"Sanjay Verma"	"Hemant Kumar Singh"	""	""	""	""	""
"284"	"141"	"40"	"78"	"24"	"0"	"1"	"2"	"0"	"0"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"6"	"159"	"0"	"159"	"0"	""
"285"	"142"	"63"	"245"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"5"	"329"	"0"	"329"	"0"	""
"286"	"143"	"154"	"60"	"11"	"1"	"1"	"1"	"3"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"9"	"246"	"0"	"246"	"0"	""
"287"	"144"	"27"	"137"	"303"	"2"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"1"	"1"	"5"	"1"	"3"	"484"	"0"	"484"	"0"	""
"288"	"145"	"86"	"106"	"77"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"274"	"0"	"274"	"0"	""
"289"	"146"	"24"	"284"	"43"	"0"	"2"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"358"	"0"	"358"	"0"	""
"290"	"147"	"50"	"175"	"40"	"4"	"3"	"3"	"1"	"2"	"10"	"1"	"1"	"1"	"2"	"1"	"7"	"9"	"310"	"0"	"310"	"0"	""
"291"	"148"	"324"	"127"	"15"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"4"	"6"	"484"	"0"	"484"	"0"	""
"292"	"149"	"407"	"24"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"4"	"442"	"0"	"442"	"0"	""
"293"	"150"	"198"	"363"	"40"	"2"	"1"	"9"	"0"	"1"	"1"	"2"	"1"	"0"	"1"	"1"	"6"	"8"	"634"	"0"	"634"	"0"	""
"294"	"151"	"259"	"99"	"3"	"1"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"5"	"18"	"393"	"0"	"393"	"0"	""
