"X.U.091F..U.0947..U.092C..U.0941..U.0932."	"X.U.092E..U.0924..U.0926..U.093E..U.0928."	"X..U.0928...U.0928...U.0932.f..U.0916..U.0924...U.0915..U.0947....U.092A....U.092E.....U.0926..U.092F..U.0947...U.0917..U.090F....U.0935...U.0927..U.092E..U.093E...U.092F...U.092E..U.0924....U.0915....U.0938..U.0902...U.092F..U.093E."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X.U.0915..U.0941...U.0932."	"X...U.0924...U.0947...U.092A..U.0924."	"X.U.092F..U.094B..U.0917."	"X..U.0928...U.0935..U.0926..U.0924."	"X17..U.0938..U.0940...U.092E..U.0947."
"83"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"84"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"85"	"11"	"67"	"33"	"15"	"150"	"86"	"1"	"8"	"0"	"2"	"3"	"1"	"2"	"1"	"1"	"4"	"1"	"3"	"311"	""	"311"	""	""
"86"	"12"	"68"	"105"	"67"	"85"	"333"	"9"	"8"	"0"	"1"	"61"	"0"	"0"	"2"	"3"	"4"	"2"	"10"	"690"	""	"690"	""	""
"87"	"13"	"69"	"145"	"58"	"198"	"86"	"6"	"3"	"1"	"3"	"66"	"2"	"3"	"6"	"1"	"13"	"4"	"10"	"605"	""	"605"	""	""
"88"	"14"	"70"	"74"	"24"	"77"	"205"	"9"	"2"	"2"	"1"	"8"	"0"	"3"	"4"	"4"	"4"	"0"	"3"	"420"	""	"420"	""	""
"89"	"<U+092F><U+094B><U+0917>"	""	"874"	"546"	"1690"	"1390"	"51"	"126"	"16"	"13"	"188"	"9"	"23"	"15"	"25"	"47"	"13"	"51"	"5077"	"0"	"5077"	"0"	"0"
"90"	"1"	"71"	"82"	"53"	"81"	"46"	"1"	"0"	"1"	"0"	"5"	"2"	"3"	"0"	"2"	"1"	"1"	"5"	"283"	""	"283"	""	""
"91"	"2"	"72"	"64"	"35"	"269"	"132"	"12"	"3"	"3"	"4"	"46"	"5"	"9"	"2"	"8"	"6"	"0"	"4"	"602"	""	"602"	""	""
"92"	"3"	"73"	"49"	"17"	"182"	"170"	"3"	"2"	"2"	"0"	"11"	"2"	"7"	"1"	"4"	"6"	"1"	"4"	"461"	""	"461"	""	""
"93"	"4"	"74"	"78"	"24"	"112"	"127"	"9"	"3"	"0"	"2"	"5"	"2"	"7"	"2"	"4"	"3"	"0"	"5"	"383"	""	"383"	""	""
"94"	"5"	"75"	"63"	"4"	"78"	"168"	"5"	"13"	"0"	"0"	"7"	"3"	"1"	"1"	"5"	"0"	"0"	"5"	"353"	""	"353"	""	""
"95"	"6"	"76"	"7"	"1"	"30"	"187"	"4"	"3"	"0"	"1"	"33"	"1"	"6"	"0"	"2"	"0"	"1"	"0"	"276"	""	"276"	""	""
"96"	"7"	"77"	"55"	"48"	"144"	"116"	"8"	"5"	"0"	"4"	"15"	"4"	"8"	"2"	"7"	"9"	"3"	"14"	"442"	""	"442"	""	""
"97"	"8"	"78"	"94"	"92"	"138"	"182"	"6"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"4"	"1"	"0"	"7"	"529"	""	"529"	""	""
"98"	"9"	"79"	"86"	"5"	"72"	"69"	"3"	"5"	"1"	"2"	"11"	"1"	"4"	"0"	"2"	"0"	"1"	"0"	"262"	""	"262"	""	""
"99"	"10"	"80"	"18"	"2"	"121"	"105"	"11"	"6"	"1"	"2"	"51"	"5"	"5"	"1"	"11"	"5"	"3"	"8"	"355"	""	"355"	""	""
"100"	"11"	"81"	"118"	"12"	"122"	"111"	"1"	"3"	"0"	"1"	"2"	"0"	"1"	"0"	"2"	"0"	"1"	"5"	"379"	""	"379"	""	""
"101"	"12"	"82"	"34"	"4"	"88"	"245"	"5"	"5"	"1"	"0"	"5"	"0"	"4"	"1"	"7"	"4"	"0"	"6"	"409"	""	"409"	""	""
"102"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
"103"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"104"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"105"	"13"	"83"	"86"	"6"	"158"	"6"	"7"	"13"	"0"	"0"	"30"	"4"	"0"	"1"	"2"	"3"	"4"	"7"	"327"	""	"327"	""	""
"106"	"14"	"84"	"107"	"2"	"154"	"30"	"1"	"6"	"1"	"0"	"3"	"1"	"2"	"3"	"2"	"6"	"1"	"14"	"333"	""	"333"	""	""
"107"	"<U+092F><U+094B><U+0917>"	""	"941"	"305"	"1749"	"1694"	"76"	"67"	"10"	"16"	"227"	"31"	"58"	"14"	"62"	"44"	"16"	"84"	"5394"	"0"	"5394"	"0"	"0"
"108"	"1"	"85"	"97"	"47"	"274"	"26"	"0"	"14"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"3"	"465"	""	"465"	""	""
"109"	"2"	"86"	"110"	"7"	"101"	"30"	"6"	"5"	"1"	"2"	"72"	"2"	"6"	"0"	"2"	"3"	"1"	"4"	"352"	""	"352"	""	""
"110"	"3"	"87"	"90"	"47"	"104"	"105"	"6"	"2"	"0"	"1"	"22"	"0"	"10"	"0"	"0"	"2"	"2"	"1"	"392"	""	"392"	""	""
"111"	"4"	"88"	"46"	"22"	"19"	"245"	"4"	"2"	"1"	"0"	"3"	"1"	"4"	"1"	"1"	"0"	"1"	"2"	"352"	""	"352"	""	""
"112"	"5"	"89"	"43"	"60"	"102"	"234"	"12"	"8"	"2"	"3"	"12"	"7"	"17"	"2"	"6"	"3"	"4"	"8"	"523"	""	"523"	""	""
"113"	"6"	"90"	"2"	"4"	"77"	"173"	"5"	"0"	"0"	"0"	"2"	"2"	"2"	"1"	"2"	"0"	"2"	"1"	"273"	""	"273"	""	""
"114"	"7"	"91"	"165"	"27"	"62"	"56"	"5"	"2"	"0"	"1"	"7"	"2"	"3"	"2"	"2"	"4"	"1"	"3"	"342"	""	"342"	""	""
"115"	"8"	"92"	"52"	"46"	"24"	"101"	"3"	"2"	"0"	"2"	"14"	"2"	"3"	"0"	"2"	"1"	"1"	"2"	"255"	""	"255"	""	""
"116"	"9"	"93"	"33"	"1"	"47"	"227"	"9"	"0"	"1"	"2"	"10"	"2"	"1"	"2"	"3"	"2"	"1"	"1"	"342"	""	"342"	""	""
"117"	"10"	"94"	"49"	"3"	"68"	"134"	"1"	"1"	"1"	"0"	"2"	"1"	"1"	"2"	"3"	"4"	"1"	"6"	"277"	""	"277"	""	""
"118"	"11"	"95"	"92"	"3"	"67"	"178"	"12"	"7"	"3"	"5"	"55"	"5"	"12"	"1"	"1"	"2"	"1"	"7"	"451"	""	"451"	""	""
"119"	"12"	"96"	"26"	"28"	"42"	"265"	"5"	"19"	"0"	"1"	"11"	"4"	"5"	"3"	"5"	"1"	"0"	"3"	"418"	""	"418"	""	""
"120"	"13"	"97"	"11"	"2"	"146"	"43"	"2"	"5"	"1"	"0"	"0"	"3"	"4"	"0"	"4"	"11"	"2"	"5"	"239"	""	"239"	""	""
"121"	"14"	"98"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""	""
"122"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
"123"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"124"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"125"	"<U+092F><U+094B><U+0917>"	""	"816"	"297"	"1133"	"1817"	"70"	"67"	"10"	"17"	"210"	"32"	"68"	"14"	"32"	"33"	"19"	"46"	"4681"	"0"	"4681"	"0"	"0"
"126"	"1"	"99"	"17"	"12"	"113"	"90"	"3"	"4"	"0"	"0"	"2"	"0"	"1"	"1"	"4"	"3"	"2"	"2"	"254"	""	"254"	""	""
"127"	"2"	"100"	"17"	"1"	"51"	"54"	"1"	"38"	"1"	"0"	"1"	"1"	"4"	"2"	"3"	"2"	"0"	"3"	"179"	""	"179"	""	""
"128"	"3"	"101"	"105"	"10"	"43"	"70"	"3"	"26"	"2"	"1"	"4"	"1"	"5"	"1"	"3"	"3"	"1"	"6"	"284"	""	"284"	""	""
"129"	"4"	"102"	"139"	"26"	"25"	"73"	"5"	"93"	"2"	"1"	"8"	"4"	"3"	"1"	"2"	"0"	"0"	"2"	"384"	""	"384"	""	""
"130"	"5"	"103"	"50"	"13"	"50"	"67"	"1"	"3"	"0"	"2"	"0"	"0"	"2"	"1"	"0"	"3"	"1"	"3"	"196"	""	"196"	""	""
"131"	"6"	"104"	"13"	"20"	"58"	"293"	"11"	"5"	"0"	"0"	"3"	"3"	"7"	"5"	"7"	"6"	"4"	"7"	"442"	""	"442"	""	""
"132"	"7"	"105"	"10"	"15"	"17"	"195"	"3"	"1"	"1"	"4"	"10"	"3"	"5"	"0"	"2"	"2"	"1"	"5"	"274"	""	"274"	""	""
"133"	"8"	"106"	"79"	"6"	"296"	"55"	"3"	"3"	"1"	"2"	"9"	"5"	"3"	"0"	"5"	"2"	"4"	"15"	"488"	""	"488"	""	""
"134"	"9"	"107"	"21"	"1"	"3"	"148"	"2"	"3"	"0"	"2"	"1"	"0"	"3"	"0"	"3"	"0"	"0"	"2"	"189"	""	"189"	""	""
"135"	"10"	"108"	"36"	"18"	"61"	"148"	"6"	"1"	"2"	"4"	"8"	"3"	"7"	"6"	"2"	"1"	"0"	"9"	"312"	""	"312"	""	""
"136"	"11"	"109"	"0"	"0"	"108"	"16"	"0"	"0"	"0"	"0"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	""	"130"	""	""
"137"	"12"	"110"	"67"	"75"	"88"	"204"	"6"	"5"	"1"	"2"	"5"	"1"	"0"	"1"	"1"	"0"	"2"	"2"	"460"	""	"460"	""	""
"138"	"13"	"111"	"26"	"2"	"43"	"89"	"2"	"3"	"0"	"2"	"22"	"0"	"1"	"1"	"3"	"1"	"1"	"4"	"200"	""	"200"	""	""
"139"	"14"	"112"	"105"	"0"	"3"	"108"	"2"	"3"	"1"	"0"	"2"	"1"	"1"	"0"	"2"	"1"	"0"	"0"	"229"	""	"229"	""	""
"140"	"<U+092F><U+094B><U+0917>"	""	"685"	"199"	"959"	"1610"	"48"	"188"	"11"	"20"	"79"	"24"	"42"	"19"	"37"	"24"	"16"	"60"	"4021"	"0"	"4021"	"0"	"0"
"141"	"1"	"113"	"10"	"90"	"122"	"189"	"3"	"7"	"3"	"0"	"4"	"2"	"2"	"2"	"2"	"4"	"2"	"2"	"444"	""	"444"	""	""
"142"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
"143"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
"144"	""	""	"<U+0905><U+0935><U+0927><U+0947><U+0936>
<U+0915><U+0941> <U+092E><U+093E><U+0930>  <U+0938><U+0902><U+0939>"	"<U+0909><U+092A><U+0947>  
<U+0915><U+0941> <U+092E><U+093E><U+0930> <U+0936><U+092E><U+093E> "	"<U+0915><U+093E><U+0902> <U+0924>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0939><U+093E><U+092C><U+0932> 
 <U+0938><U+0902><U+0939>"	"<U+0905><U+091C><U+092F> <U+0915><U+0941> <U+092E><U+093E><U+0930>"	" <U+092F><U+094B> <U+0924> <U+0930><U+093F> <U+092E>"	"<U+092E><U+0941>  <U+0915><U+093E> <U+092F><U+093E><U+0926><U+0935>"	"<U+0930><U+093E><U+091C>
 <U+0915><U+0936><U+094B><U+0930>
 <U+092E> "	"<U+0930><U+093E><U+091C><U+093E> <U+0930><U+093E><U+092E>
 <U+0938><U+0902><U+0939>"	"<U+092E><U+0941>0 <U+0936><U+092E><U+0940><U+0909> <U+0932><U+093E><U+0939>
<U+092E><U+0902><U+0938><U+0942><U+0930> "	"<U+0908>0 <U+0905> <U+0926><U+0941><U+0932> <U+0938><U+0924><U+093E><U+0930>"	"<U+0905><U+092E><U+093E><U+0935><U+0938> <U+0930><U+093E><U+092E>"	" <U+094B>0 <U+0915><U+093E><U+092E><U+0924><U+093E>
 <U+0938><U+093E><U+0926> <U+092F><U+093E><U+0926><U+0935>"	" <U+0917> <U+0930><U+0936> <U+0928><U+093E><U+0930><U+093E><U+092F><U+0923>
 <U+0938><U+0902><U+0939>"	"<U+0938><U+0924><U+0940><U+0936> <U+092A><U+093E> <U+0921><U+0947><U+092F>"	"<U+0939> <U+0930>
 <U+0938><U+093E><U+0926>
 <U+0938><U+0902><U+0939>"	""	""	""	""	""
"145"	"2"	"114"	"37"	"0"	"50"	"48"	"2"	"3"	"0"	"0"	"2"	"0"	"3"	"4"	"4"	"7"	"2"	"6"	"168"	""	"168"	""	""
"146"	"3"	"115"	"91"	"11"	"42"	"188"	"8"	"51"	"4"	"6"	"77"	"6"	"26"	"5"	"8"	"2"	"2"	"8"	"535"	""	"535"	""	""
"147"	"4"	"116"	"6"	"2"	"36"	"152"	"14"	"15"	"1"	"10"	"127"	"3"	"8"	"0"	"4"	"2"	"1"	"6"	"387"	""	"387"	""	""
"148"	"5"	"117"	"37"	"8"	"36"	"171"	"14"	"48"	"3"	"12"	"119"	"7"	"4"	"1"	"9"	"2"	"3"	"11"	"485"	""	"485"	""	""
"149"	"6"	"118"	"3"	"3"	"260"	"171"	"9"	"12"	"0"	"1"	"1"	"1"	"1"	"1"	"10"	"3"	"0"	"5"	"481"	""	"481"	""	""
"150"	"7"	"119"	"11"	"0"	"55"	"475"	"2"	"5"	"0"	"0"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"558"	""	"558"	""	""
"151"	"8"	"120"	"163"	"11"	"108"	"49"	"2"	"16"	"2"	"3"	"1"	"2"	"10"	"1"	"2"	"3"	"4"	"12"	"389"	""	"389"	""	""
"152"	"9"	"121"	"19"	"66"	"72"	"116"	"3"	"8"	"0"	"1"	"10"	"2"	"2"	"0"	"2"	"1"	"1"	"2"	"305"	""	"305"	""	""
"153"	"10"	"122"	"6"	"21"	"19"	"202"	"5"	"2"	"0"	"3"	"22"	"2"	"6"	"0"	"3"	"2"	"0"	"0"	"293"	""	"293"	""	""
"154"	"11"	"123"	"12"	"7"	"45"	"216"	"2"	"20"	"2"	"4"	"6"	"2"	"4"	"5"	"10"	"3"	"2"	"3"	"343"	""	"343"	""	""
"155"	"12"	"124"	"19"	"5"	"34"	"96"	"1"	"6"	"0"	"0"	"10"	"0"	"1"	"2"	"4"	"2"	"1"	"3"	"184"	""	"184"	""	""
"156"	"13"	"125"	"71"	"5"	"235"	"79"	"3"	"14"	"0"	"0"	"2"	"1"	"5"	"1"	"6"	"1"	"0"	"2"	"425"	""	"425"	""	""
"157"	"14"	"126"	"16"	"53"	"6"	"100"	"5"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"1"	"0"	"1"	"2"	"190"	""	"190"	""	""
"158"	"<U+092F><U+094B><U+0917>"	""	"501"	"282"	"1120"	"2252"	"73"	"208"	"15"	"41"	"391"	"28"	"75"	"23"	"65"	"32"	"19"	"62"	"5187"	"0"	"5187"	"0"	"0"
"159"	"1"	"127"	"3"	"5"	"257"	"60"	"0"	"11"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"337"	""	"337"	""	""
"160"	"2"	"128"	"27"	"8"	"80"	"220"	"13"	"20"	"1"	"1"	"1"	"5"	"7"	"4"	"6"	"6"	"4"	"15"	"418"	""	"418"	""	""
"161"	"3"	"129"	"10"	"3"	"154"	"119"	"6"	"0"	"0"	"1"	"4"	"0"	"2"	"0"	"0"	"2"	"1"	"0"	"302"	""	"302"	""	""
"162"	"<U+091F><U+0947><U+092C><U+0941><U+0932>"	"<U+092E><U+0924><U+0926><U+093E><U+0928>"	" <U+0928> <U+0928> <U+0932>f'<U+0916><U+0924> <U+0915><U+0947>  <U+092A>  <U+092E>   <U+0926><U+092F><U+0947> <U+0917><U+090F>  <U+0935> <U+0927><U+092E><U+093E> <U+092F> <U+092E><U+0924>  <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"<U+0915><U+0941> <U+0932>"	"  <U+0924> <U+0947> <U+092A><U+0924>"	"<U+092F><U+094B><U+0917>"	" <U+0928> <U+0935><U+0926><U+0924>"	"17 <U+0938><U+0940> <U+092E><U+0947>"
"163"	"<U+0938><U+0902>0"	"<U+0915><U+0947>   <U+0915>  <U+0938><U+0902>0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	" <U+0935> <U+0927><U+092E><U+093E>
 <U+092F> <U+092E><U+0924>"	"<U+092E><U+0924><U+094B>
<U+0915>  <U+0938><U+0902> <U+092F><U+093E>"	""	"<U+092E><U+0924><U+094B> <U+0915> 
<U+0938><U+0902> <U+092F><U+093E>"	"<U+0939> <U+0924><U+093E> <U+0930> <U+0915><U+0947> <U+092C><U+093E><U+0926> <U+092E><U+0924><U+0926><U+093E><U+0928> <U+0938><U+0947> <U+0907><U+0928><U+0915><U+093E><U+0930> <U+0915><U+0930><U+0928><U+0947> <U+0935><U+093E><U+0932> <U+0915>  <U+0938><U+0902> <U+092F><U+093E>"
