"FORM20.192.Sandesh"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"
"179"	"165"	"102"	"20"	"5"	"1"	"2"	"166"	"4"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"8"	"2"	""
"180"	"166"	"83"	"97"	"3"	"4"	"2"	"230"	"6"	"1"	"1"	"2"	"3"	"2"	"2"	"1"	"7"	"4"	""
"181"	"167"	"242"	"119"	"7"	"5"	"2"	"101"	"5"	"3"	"0"	"3"	"8"	"0"	"1"	"1"	"10"	"4"	""
"182"	"168"	"70"	"48"	"0"	"16"	"3"	"344"	"14"	"7"	"1"	"7"	"5"	"5"	"8"	"6"	"18"	"13"	""
"183"	"169"	"154"	"44"	"4"	"6"	"7"	"233"	"8"	"3"	"0"	"2"	"9"	"1"	"0"	"2"	"11"	"1"	""
"184"	"170"	"167"	"40"	"4"	"6"	"1"	"79"	"2"	"0"	"0"	"1"	"0"	"1"	"1"	"3"	"1"	"4"	""
"185"	"171"	"234"	"35"	"62"	"7"	"4"	"48"	"0"	"0"	"3"	"6"	"3"	"4"	"7"	"2"	"14"	"25"	""
"186"	"172"	"60"	"102"	"5"	"2"	"4"	"71"	"2"	"4"	"0"	"2"	"2"	"0"	"0"	"0"	"6"	"1"	""
"187"	"173"	"230"	"30"	"3"	"4"	"1"	"105"	"2"	"4"	"1"	"1"	"2"	"0"	"1"	"3"	"6"	"3"	""
"188"	"174"	"235"	"60"	"5"	"8"	"0"	"30"	"2"	"1"	"0"	"0"	"2"	"2"	"0"	"2"	"5"	"1"	""
"189"	"175"	"168"	"120"	"7"	"5"	"5"	"117"	"4"	"4"	"3"	"7"	"4"	"3"	"2"	"6"	"13"	"14"	""
"190"	"176"	"121"	"94"	"2"	"9"	"3"	"81"	"4"	"5"	"1"	"5"	"1"	"4"	"3"	"2"	"9"	"4"	""
"191"	"177"	"185"	"121"	"16"	"8"	"6"	"194"	"5"	"8"	"3"	"3"	"6"	"2"	"2"	"4"	"7"	"6"	""
"192"	"178"	"124"	"171"	"7"	"17"	"2"	"320"	"10"	"5"	"2"	"6"	"14"	"5"	"6"	"9"	"16"	"10"	""
"193"	"179"	"105"	"31"	"8"	"3"	"4"	"234"	"7"	"5"	"1"	"2"	"9"	"4"	"6"	"8"	"23"	"11"	""
"194"	"180"	"89"	"81"	"2"	"7"	"7"	"214"	"5"	"7"	"0"	"2"	"3"	"0"	"3"	"3"	"15"	"9"	""
"195"	"181"	"119"	"176"	"19"	"4"	"2"	"207"	"6"	"3"	"2"	"5"	"2"	"1"	"1"	"3"	"7"	"10"	""
"196"	"182"	"229"	"84"	"4"	"6"	"6"	"279"	"6"	"7"	"4"	"14"	"9"	"2"	"5"	"9"	"27"	"23"	""
"197"	"183"	"18"	"76"	"66"	"2"	"3"	"270"	"1"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"4"	"1"	""
"198"	"184"	"71"	"77"	"21"	"11"	"0"	"51"	"1"	"4"	"3"	"1"	"3"	"0"	"1"	"1"	"2"	"2"	""
"199"	"185"	"41"	"79"	"5"	"5"	"1"	"90"	"4"	"1"	"0"	"1"	"1"	"1"	"0"	"2"	"2"	"0"	""
"200"	"186"	"128"	"31"	"28"	"0"	"1"	"220"	"5"	"1"	"0"	"1"	"6"	"2"	"1"	"1"	"9"	"10"	""
"201"	"187"	"111"	"46"	"42"	"2"	"0"	"133"	"2"	"2"	"0"	"1"	"1"	"1"	"0"	"1"	"5"	"1"	""
"202"	"188"	"189"	"127"	"2"	"5"	"1"	"29"	"0"	"2"	"0"	"2"	"0"	"0"	"0"	"1"	"1"	"2"	""
"203"	"189"	"238"	"84"	"7"	"0"	"1"	"252"	"4"	"2"	"2"	"5"	"6"	"3"	"0"	"0"	"13"	"5"	""
"204"	"Page 5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"FORM20 192 Sandesh"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"Booth NO."	"Meena Singh"	"Rama Kishore Singh"	"Reeta Singh"	"Haridwa r Prasad Singh"	"Ajeet Prasad Mehta"	"Arun Singh"	"Bharat Bhushan Pandey"	"Ramadha r Singh"	"Shambhu Pasad Sharma"	"Santosh Kumar"	"Satya Narayan Yadav"	"Saiyad Giniuddi n Haidar"	"Ashok Kumar Singh"	"Bharat Singh Sahyogi"	"Mahesh Ram"	"Sobhnat h Singh"	""
"207"	"190"	"84"	"22"	"2"	"4"	"0"	"207"	"1"	"1"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"1"	""
"208"	"191"	"60"	"36"	"0"	"1"	"3"	"215"	"4"	"2"	"1"	"2"	"12"	"6"	"0"	"0"	"9"	"5"	""
"209"	"192"	"98"	"98"	"11"	"2"	"2"	"215"	"1"	"4"	"1"	"1"	"2"	"3"	"3"	"3"	"5"	"0"	""
"210"	"193"	"108"	"15"	"3"	"1"	"3"	"57"	"3"	"0"	"0"	"2"	"3"	"1"	"0"	"0"	"4"	"4"	""
"211"	"194"	"256"	"29"	"7"	"3"	"3"	"74"	"3"	"3"	"0"	"1"	"0"	"0"	"0"	"6"	"0"	"0"	""
"212"	"195"	"146"	"20"	"6"	"4"	"3"	"166"	"9"	"4"	"1"	"0"	"4"	"1"	"4"	"3"	"12"	"9"	""
"213"	"196"	"129"	"145"	"8"	"4"	"3"	"94"	"3"	"4"	"1"	"1"	"0"	"0"	"1"	"1"	"12"	"2"	""
"214"	"197"	"222"	"152"	"5"	"4"	"6"	"174"	"10"	"4"	"2"	"2"	"8"	"5"	"6"	"9"	"21"	"37"	""
"215"	"198"	"308"	"172"	"6"	"6"	"2"	"48"	"5"	"6"	"2"	"4"	"4"	"3"	"5"	"6"	"28"	"20"	""
"216"	"199"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"217"	"200"	"45"	"68"	"0"	"0"	"0"	"4"	"2"	"106"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	""
"218"	"201"	"123"	"42"	"0"	"2"	"0"	"13"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"6"	"6"	""
"219"	"202"	"112"	"60"	"4"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	""
"220"	"203"	"238"	"61"	"3"	"19"	"3"	"159"	"2"	"1"	"0"	"2"	"3"	"1"	"1"	"2"	"15"	"13"	""
"221"	"204"	"110"	"17"	"0"	"2"	"3"	"167"	"3"	"2"	"2"	"1"	"2"	"3"	"3"	"10"	"8"	"12"	""
"222"	"205"	"73"	"86"	"2"	"3"	"5"	"314"	"5"	"4"	"1"	"1"	"2"	"1"	"0"	"3"	"11"	"3"	""
"223"	"206"	"313"	"114"	"2"	"24"	"2"	"154"	"3"	"0"	"1"	"0"	"6"	"2"	"2"	"2"	"9"	"16"	""
"224"	"207"	"314"	"97"	"5"	"6"	"2"	"55"	"2"	"1"	"1"	"3"	"2"	"2"	"1"	"5"	"8"	"12"	""
"225"	"208"	"155"	"62"	"4"	"26"	"5"	"316"	"10"	"5"	"3"	"6"	"0"	"2"	"1"	"2"	"16"	"10"	""
"226"	"209"	"210"	"32"	"1"	"0"	"1"	"167"	"3"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	""
"227"	"210"	"90"	"35"	"2"	"3"	"2"	"148"	"1"	"3"	"2"	"0"	"0"	"1"	"2"	"0"	"8"	"7"	""
"228"	"211"	"199"	"169"	"3"	"10"	"3"	"180"	"6"	"0"	"1"	"0"	"1"	"1"	"2"	"0"	"12"	"7"	""
"229"	"212"	"206"	"74"	"3"	"2"	"4"	"274"	"6"	"1"	"0"	"4"	"7"	"2"	"3"	"1"	"13"	"12"	""
"230"	"213"	"113"	"160"	"10"	"10"	"3"	"174"	"2"	"7"	"2"	"4"	"7"	"4"	"5"	"10"	"41"	"16"	""
"231"	"214"	"84"	"73"	"2"	"2"	"1"	"52"	"3"	"1"	"0"	"1"	"1"	"1"	"0"	"3"	"3"	"1"	""
"232"	"215"	"31"	"3"	"0"	"3"	"1"	"112"	"4"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"3"	"0"	""
"233"	"216"	"166"	"13"	"5"	"2"	"3"	"175"	"10"	"8"	"4"	"5"	"10"	"3"	"3"	"5"	"10"	"21"	""
"234"	"217"	"182"	"54"	"7"	"12"	"3"	"166"	"4"	"0"	"1"	"3"	"0"	"0"	"1"	"1"	"13"	"7"	""
"235"	"218"	"176"	"116"	"32"	"7"	"4"	"45"	"1"	"3"	"0"	"1"	"1"	"3"	"3"	"0"	"19"	"14"	""
"236"	"Total"	"31314"	"20217"	"2222"	"1574"	"379"	"19088"	"603"	"599"	"204"	"419"	"506"	"288"	"320"	"412"	"1476"	"1331"	""
"237"	"Page 6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
