"ANNEXURE...XLII"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"(CHAPTER XIV, PARA 25.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"ELECTION TO THE HOUSE OF THE PEOPLE FROM THE 27- BANKA PARLIAMENTARY CONSTITUENCY PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"148"	"163"	"137"	"13"	"127"	"88"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"6"	"0"	"4"	"312"	"8"	"3"	"565"	"Nil"
"149"	"163"	"138"	"9"	"198"	"24"	"2"	"6"	"1"	"4"	"0"	"0"	"0"	"1"	"1"	"4"	"38"	"10"	"25"	"323"	"Nil"
"150"	"163"	"139"	"7"	"36"	"58"	"3"	"0"	"0"	"1"	"0"	"1"	"2"	"7"	"2"	"3"	"77"	"19"	"8"	"224"	"Nil"
"151"	"163"	"140"	"10"	"78"	"68"	"4"	"3"	"3"	"3"	"1"	"3"	"1"	"19"	"0"	"6"	"164"	"26"	"12"	"401"	"Nil"
"152"	"163"	"141"	"47"	"146"	"189"	"7"	"27"	"6"	"5"	"9"	"8"	"3"	"30"	"6"	"8"	"135"	"33"	"13"	"672"	"Nil"
"153"	"163"	"142"	"11"	"166"	"45"	"5"	"3"	"6"	"2"	"1"	"2"	"6"	"20"	"12"	"16"	"183"	"39"	"26"	"543"	"Nil"
"154"	"163"	"143"	"6"	"26"	"12"	"9"	"1"	"3"	"1"	"2"	"0"	"3"	"6"	"1"	"8"	"171"	"29"	"15"	"293"	"Nil"
"155"	"163"	"144"	"10"	"137"	"44"	"2"	"3"	"0"	"1"	"0"	"0"	"0"	"11"	"4"	"7"	"179"	"20"	"12"	"430"	"Nil"
"156"	"163"	"145"	"9"	"172"	"86"	"2"	"1"	"0"	"0"	"0"	"1"	"0"	"27"	"1"	"5"	"47"	"12"	"6"	"369"	"Nil"
"157"	"163"	"146"	"142"	"181"	"10"	"1"	"4"	"0"	"0"	"0"	"4"	"1"	"1"	"1"	"4"	"44"	"10"	"1"	"404"	"Nil"
"158"	"163"	"147"	"16"	"267"	"104"	"5"	"6"	"1"	"1"	"1"	"1"	"2"	"18"	"4"	"6"	"32"	"15"	"5"	"484"	"Nil"
"159"	"163"	"148"	"5"	"17"	"345"	"6"	"19"	"3"	"0"	"2"	"0"	"0"	"26"	"0"	"7"	"75"	"4"	"3"	"512"	"Nil"
"160"	"163"	"149"	"3"	"92"	"36"	"0"	"9"	"1"	"2"	"1"	"0"	"0"	"7"	"6"	"4"	"320"	"8"	"3"	"492"	"Nil"
"161"	"163"	"150"	"15"	"144"	"51"	"1"	"41"	"3"	"1"	"0"	"1"	"1"	"12"	"1"	"2"	"61"	"14"	"3"	"351"	"Nil"
"162"	"163"	"151"	"15"	"430"	"25"	"21"	"63"	"3"	"2"	"4"	"0"	"0"	"3"	"4"	"1"	"12"	"19"	"20"	"622"	"Nil"
"163"	"163"	"152"	"11"	"53"	"63"	"21"	"31"	"3"	"0"	"0"	"1"	"0"	"18"	"3"	"5"	"141"	"14"	"5"	"369"	"Nil"
"164"	"163"	"153"	"5"	"353"	"23"	"3"	"23"	"1"	"1"	"0"	"0"	"2"	"1"	"0"	"0"	"8"	"0"	"1"	"421"	"Nil"
"165"	"163"	"154"	"13"	"226"	"45"	"4"	"71"	"1"	"1"	"0"	"1"	"1"	"14"	"3"	"1"	"24"	"10"	"9"	"424"	"Nil"
"166"	"163"	"155"	"10"	"201"	"107"	"9"	"4"	"2"	"1"	"0"	"1"	"1"	"23"	"0"	"15"	"111"	"24"	"8"	"517"	"Nil"
"167"	"163"	"156"	"20"	"168"	"114"	"4"	"3"	"1"	"2"	"1"	"3"	"4"	"11"	"3"	"10"	"76"	"28"	"12"	"460"	"Nil"
"168"	"163"	"157"	"9"	"28"	"162"	"10"	"2"	"1"	"2"	"0"	"0"	"0"	"8"	"0"	"3"	"25"	"3"	"0"	"253"	"Nil"
"169"	"163"	"158"	"7"	"23"	"257"	"10"	"7"	"3"	"3"	"2"	"1"	"1"	"37"	"7"	"12"	"175"	"15"	"7"	"567"	"Nil"
"170"	"163"	"159"	"12"	"37"	"138"	"1"	"6"	"4"	"0"	"0"	"3"	"0"	"19"	"0"	"4"	"139"	"8"	"1"	"372"	"Nil"
"171"	"163"	"160"	"3"	"17"	"69"	"2"	"12"	"0"	"0"	"1"	"1"	"2"	"19"	"1"	"12"	"349"	"23"	"2"	"513"	"Nil"
"172"	"163"	"161"	"7"	"54"	"189"	"6"	"6"	"4"	"1"	"0"	"1"	"1"	"26"	"1"	"22"	"134"	"17"	"1"	"470"	"Nil"
"173"	"163"	"162"	"6"	"114"	"45"	"13"	"4"	"4"	"0"	"0"	"3"	"0"	"11"	"3"	"6"	"167"	"11"	"2"	"389"	"Nil"
"174"	"163"	"163"	"27"	"46"	"49"	"41"	"5"	"7"	"3"	"1"	"2"	"0"	"8"	"2"	"12"	"180"	"27"	"19"	"429"	"Nil"
"175"	"163"	"164"	"11"	"6"	"158"	"8"	"3"	"4"	"2"	"0"	"2"	"1"	"36"	"0"	"6"	"162"	"23"	"3"	"425"	"Nil"
"176"	"163"	"165"	"17"	"125"	"135"	"13"	"1"	"4"	"2"	"3"	"2"	"2"	"26"	"6"	"15"	"129"	"38"	"19"	"537"	"Nil"
"177"	"163"	"166"	"5"	"38"	"95"	"2"	"2"	"1"	"0"	"0"	"1"	"5"	"49"	"1"	"9"	"185"	"37"	"14"	"444"	"Nil"
"178"	"163"	"167"	"3"	"186"	"10"	"1"	"3"	"1"	"1"	"0"	"0"	"1"	"2"	"1"	"6"	"87"	"18"	"8"	"328"	"Nil"
"179"	"163"	"168"	"2"	"27"	"55"	"5"	"1"	"2"	"2"	"5"	"0"	"1"	"36"	"1"	"20"	"138"	"16"	"7"	"318"	"Nil"
"180"	"163"	"169"	"19"	"219"	"13"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"4"	"1"	"5"	"134"	"27"	"15"	"441"	"Nil"
"181"	"163"	"170"	"55"	"99"	"12"	"1"	"1"	"0"	"2"	"0"	"1"	"0"	"4"	"1"	"7"	"145"	"18"	"16"	"362"	"Nil"
"182"	"163"	"171"	"47"	"79"	"11"	"5"	"0"	"0"	"2"	"0"	"0"	"0"	"5"	"1"	"7"	"144"	"31"	"14"	"346"	"Nil"
"183"	"163"	"172"	"27"	"191"	"34"	"5"	"5"	"3"	"2"	"2"	"2"	"1"	"1"	"0"	"4"	"47"	"8"	"2"	"334"	"Nil"
"184"	"163"	"173"	"47"	"269"	"46"	"3"	"6"	"1"	"0"	"0"	"0"	"1"	"4"	"2"	"5"	"45"	"13"	"13"	"455"	"Nil"
"185"	"163"	"174"	"35"	"148"	"23"	"6"	"47"	"2"	"2"	"3"	"1"	"2"	"19"	"3"	"5"	"88"	"32"	"18"	"434"	"Nil"
"186"	"163"	"175"	"32"	"356"	"3"	"0"	"7"	"5"	"2"	"1"	"0"	"1"	"1"	"0"	"0"	"19"	"13"	"2"	"442"	"Nil"
"187"	"163"	"176"	"14"	"171"	"48"	"1"	"2"	"2"	"0"	"0"	"2"	"2"	"9"	"4"	"11"	"197"	"24"	"14"	"501"	"Nil"
"188"	"163"	"177"	"19"	"44"	"25"	"4"	"0"	"1"	"2"	"0"	"0"	"1"	"7"	"1"	"10"	"218"	"32"	"3"	"367"	"Nil"
"189"	"163"	"178"	"151"	"292"	"83"	"5"	"6"	"8"	"3"	"2"	"1"	"2"	"7"	"1"	"0"	"80"	"11"	"6"	"658"	"Nil"
"190"	"163"	"179"	"13"	"94"	"19"	"0"	"1"	"2"	"2"	"1"	"2"	"0"	"7"	"1"	"2"	"22"	"5"	"1"	"172"	"Nil"
"191"	"163"	"180"	"15"	"77"	"27"	"1"	"2"	"6"	"0"	"1"	"0"	"0"	"13"	"4"	"1"	"87"	"19"	"7"	"260"	"Nil"
"192"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"193"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL
GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"194"	"163"	"181"	"7"	"35"	"126"	"4"	"5"	"1"	"1"	"0"	"0"	"4"	"33"	"3"	"6"	"30"	"5"	"11"	"271"	"Nil"
"195"	"163"	"182"	"9"	"135"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"9"	"1"	"3"	"176"	"Nil"
"196"	"163"	"183"	"5"	"51"	"154"	"3"	"2"	"2"	"0"	"1"	"1"	"0"	"32"	"4"	"7"	"109"	"17"	"17"	"405"	"Nil"
"197"	"163"	"184"	"22"	"310"	"142"	"1"	"3"	"0"	"4"	"0"	"0"	"0"	"11"	"4"	"2"	"34"	"4"	"12"	"549"	"Nil"
"198"	"163"	"185"	"20"	"176"	"73"	"7"	"2"	"3"	"1"	"2"	"0"	"4"	"21"	"4"	"3"	"175"	"13"	"8"	"512"	"Nil"
"199"	"163"	"186"	"21"	"163"	"84"	"3"	"1"	"0"	"0"	"0"	"2"	"1"	"8"	"1"	"5"	"232"	"22"	"3"	"546"	"Nil"
"200"	"163"	"187"	"24"	"169"	"26"	"3"	"2"	"0"	"0"	"1"	"3"	"1"	"1"	"1"	"1"	"51"	"10"	"5"	"298"	"Nil"
"201"	"163"	"188"	"160"	"157"	"10"	"1"	"2"	"2"	"0"	"0"	"0"	"1"	"2"	"2"	"5"	"53"	"25"	"18"	"438"	"Nil"
"202"	"163"	"189"	"36"	"88"	"34"	"3"	"1"	"8"	"0"	"2"	"3"	"1"	"9"	"4"	"9"	"362"	"35"	"11"	"606"	"Nil"
"203"	"163"	"190"	"104"	"234"	"20"	"5"	"3"	"2"	"3"	"4"	"4"	"4"	"16"	"4"	"8"	"124"	"45"	"42"	"622"	"Nil"
"204"	"163"	"191"	"44"	"229"	"35"	"6"	"3"	"6"	"1"	"3"	"3"	"1"	"5"	"1"	"0"	"100"	"26"	"11"	"474"	"Nil"
"205"	"163"	"192"	"3"	"96"	"74"	"2"	"6"	"0"	"0"	"1"	"0"	"2"	"8"	"1"	"4"	"101"	"19"	"5"	"322"	"Nil"
"206"	"163"	"193"	"17"	"119"	"32"	"2"	"1"	"3"	"2"	"1"	"5"	"2"	"8"	"6"	"16"	"213"	"46"	"20"	"493"	"Nil"
"207"	"163"	"194"	"13"	"103"	"11"	"6"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"3"	"13"	"231"	"24"	"10"	"419"	"Nil"
"208"	"163"	"195"	"14"	"182"	"10"	"2"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"3"	"46"	"11"	"5"	"277"	"Nil"
"209"	"163"	"196"	"10"	"56"	"13"	"2"	"1"	"3"	"0"	"2"	"2"	"0"	"3"	"2"	"10"	"179"	"15"	"4"	"302"	"Nil"
"210"	"163"	"197"	"14"	"18"	"61"	"0"	"2"	"0"	"1"	"4"	"0"	"1"	"10"	"2"	"5"	"228"	"11"	"7"	"364"	"Nil"
"211"	"163"	"198"	"19"	"36"	"182"	"4"	"2"	"2"	"1"	"1"	"2"	"0"	"38"	"5"	"16"	"205"	"47"	"32"	"592"	"Nil"
"212"	"163"	"199"	"29"	"124"	"19"	"0"	"0"	"2"	"0"	"1"	"4"	"3"	"11"	"2"	"12"	"127"	"32"	"14"	"380"	"Nil"
"213"	"163"	"200"	"37"	"193"	"123"	"13"	"20"	"3"	"4"	"0"	"8"	"3"	"23"	"0"	"4"	"143"	"34"	"15"	"623"	"Nil"
"214"	"163"	"201"	"28"	"232"	"26"	"3"	"8"	"5"	"5"	"4"	"3"	"2"	"4"	"1"	"5"	"162"	"55"	"67"	"610"	"Nil"
"215"	"163"	"202"	"13"	"43"	"103"	"9"	"25"	"5"	"2"	"3"	"1"	"2"	"12"	"5"	"18"	"179"	"34"	"14"	"468"	"Nil"
"216"	"163"	"203"	"4"	"123"	"8"	"6"	"1"	"1"	"1"	"0"	"0"	"0"	"3"	"1"	"2"	"31"	"9"	"11"	"201"	"Nil"
"217"	"163"	"204"	"25"	"103"	"10"	"4"	"5"	"3"	"0"	"1"	"0"	"1"	"4"	"1"	"2"	"35"	"10"	"2"	"206"	"Nil"
"218"	"163"	"205"	"12"	"95"	"10"	"10"	"0"	"1"	"1"	"1"	"2"	"1"	"3"	"2"	"2"	"164"	"24"	"9"	"337"	"Nil"
"219"	"163"	"206"	"49"	"166"	"9"	"1"	"4"	"2"	"2"	"2"	"0"	"1"	"8"	"0"	"3"	"158"	"34"	"14"	"453"	"Nil"
"220"	"163"	"207"	"25"	"181"	"14"	"4"	"3"	"3"	"1"	"1"	"1"	"3"	"3"	"3"	"12"	"208"	"32"	"12"	"506"	"Nil"
"221"	"163"	"208"	"16"	"27"	"13"	"4"	"3"	"2"	"0"	"3"	"0"	"3"	"7"	"0"	"16"	"310"	"38"	"17"	"459"	"Nil"
"222"	"163"	"209"	"25"	"87"	"69"	"1"	"2"	"2"	"1"	"0"	"3"	"2"	"19"	"5"	"4"	"202"	"19"	"4"	"445"	"Nil"
"223"	"163"	"210"	"88"	"433"	"105"	"13"	"5"	"3"	"1"	"0"	"3"	"0"	"9"	"0"	"0"	"23"	"14"	"5"	"702"	"Nil"
"224"	"163"	"211"	"29"	"57"	"63"	"4"	"1"	"1"	"0"	"1"	"3"	"3"	"33"	"7"	"7"	"114"	"27"	"20"	"370"	"Nil"
"225"	"163"	"212"	"18"	"26"	"15"	"59"	"5"	"3"	"2"	"0"	"0"	"3"	"11"	"12"	"13"	"187"	"40"	"16"	"410"	"Nil"
"226"	"163"	"213"	"127"	"23"	"37"	"1"	"4"	"4"	"2"	"1"	"2"	"1"	"10"	"1"	"4"	"114"	"15"	"17"	"363"	"Nil"
"227"	"163"	"214"	"73"	"187"	"19"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"2"	"1"	"290"	"Nil"
"228"	"163"	"215"	"86"	"111"	"6"	"1"	"1"	"2"	"0"	"1"	"0"	"1"	"4"	"2"	"3"	"123"	"11"	"7"	"359"	"Nil"
"229"	"163"	"216"	"105"	"147"	"43"	"5"	"6"	"2"	"5"	"2"	"2"	"3"	"3"	"2"	"1"	"53"	"12"	"10"	"401"	"Nil"
"230"	"163"	"217"	"37"	"187"	"33"	"6"	"6"	"9"	"3"	"1"	"2"	"4"	"4"	"7"	"13"	"190"	"44"	"34"	"580"	"Nil"
"231"	"163"	"218"	"1"	"67"	"24"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"19"	"3"	"3"	"195"	"14"	"7"	"336"	"Nil"
"232"	"163"	"219"	"24"	"96"	"57"	"6"	"1"	"1"	"3"	"1"	"4"	"9"	"14"	"6"	"9"	"236"	"40"	"21"	"528"	"Nil"
"233"	"163"	"220"	"2"	"8"	"66"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"12"	"0"	"1"	"101"	"10"	"3"	"203"	"Nil"
"234"	"163"	"221"	"4"	"70"	"79"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"15"	"0"	"3"	"97"	"16"	"1"	"287"	"Nil"
"235"	"163"	"222"	"7"	"21"	"36"	"2"	"2"	"0"	"1"	"0"	"0"	"1"	"10"	"3"	"3"	"79"	"10"	"7"	"182"	"Nil"
"236"	"163"	"223"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"Nil"
"237"	"163"	"224"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"10"	"0"	"0"	"10"	"Nil"
"238"	"163"	"225"	"51"	"58"	"8"	"3"	"3"	"1"	"1"	"0"	"1"	"0"	"3"	"2"	"10"	"121"	"23"	"10"	"295"	"Nil"
"239"	"163"	"226"	"33"	"22"	"12"	"0"	"3"	"1"	"1"	"2"	"2"	"2"	"4"	"6"	"20"	"310"	"42"	"69"	"529"	"Nil"
"240"	"163"	"227"	"72"	"72"	"28"	"57"	"9"	"2"	"5"	"1"	"5"	"0"	"5"	"0"	"3"	"40"	"11"	"35"	"345"	"Nil"
"241"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"242"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL
GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"243"	"163"	"228"	"4"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8"	"137"	"6"	"5"	"164"	"Nil"
"244"	"163"	"229"	"26"	"87"	"3"	"3"	"0"	"0"	"0"	"0"	"2"	"2"	"2"	"0"	"0"	"8"	"3"	"6"	"142"	"Nil"
"245"	"163"	"230"	"200"	"61"	"43"	"4"	"4"	"0"	"0"	"0"	"2"	"19"	"5"	"2"	"0"	"12"	"5"	"2"	"359"	"Nil"
"246"	"163"	"231"	"115"	"43"	"14"	"120"	"7"	"4"	"3"	"0"	"1"	"1"	"6"	"5"	"7"	"23"	"10"	"14"	"373"	"Nil"
"247"	"163"	"232"	"106"	"35"	"14"	"3"	"5"	"3"	"3"	"3"	"2"	"6"	"3"	"4"	"5"	"61"	"17"	"28"	"298"	"Nil"
"248"	"163"	"233"	"262"	"38"	"6"	"0"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"14"	"9"	"4"	"337"	"Nil"
"249"	"163"	"234"	"155"	"158"	"80"	"7"	"6"	"7"	"1"	"2"	"3"	"1"	"8"	"2"	"3"	"113"	"15"	"12"	"573"	"Nil"
"250"	"163"	"235"	"397"	"33"	"11"	"1"	"1"	"2"	"0"	"1"	"0"	"3"	"4"	"0"	"2"	"27"	"5"	"11"	"498"	"Nil"
"251"	"163"	"236"	"55"	"16"	"19"	"0"	"1"	"1"	"0"	"2"	"1"	"1"	"6"	"1"	"3"	"104"	"19"	"4"	"233"	"Nil"
"252"	"163"	"237"	"279"	"27"	"14"	"22"	"7"	"1"	"0"	"3"	"2"	"1"	"7"	"3"	"2"	"12"	"12"	"44"	"436"	"Nil"
"253"	"163"	"238"	"225"	"9"	"28"	"3"	"4"	"2"	"2"	"2"	"2"	"2"	"19"	"1"	"1"	"17"	"6"	"15"	"338"	"Nil"
"254"	"163"	"239"	"136"	"7"	"9"	"2"	"3"	"5"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"13"	"5"	"10"	"194"	"Nil"
"255"	"163"	"240"	"250"	"143"	"16"	"2"	"3"	"1"	"3"	"1"	"1"	"6"	"5"	"3"	"10"	"38"	"26"	"33"	"541"	"Nil"
"256"	"163"	"241"	"285"	"58"	"24"	"57"	"12"	"3"	"3"	"3"	"4"	"3"	"6"	"3"	"12"	"29"	"22"	"21"	"545"	"Nil"
"257"	"163"	"242"	"166"	"102"	"48"	"6"	"3"	"4"	"3"	"5"	"9"	"1"	"16"	"2"	"4"	"58"	"16"	"17"	"460"	"Nil"
"258"	"163"	"243"	"112"	"115"	"21"	"11"	"6"	"6"	"2"	"0"	"3"	"4"	"1"	"1"	"7"	"164"	"32"	"12"	"497"	"Nil"
"259"	"163"	"244"	"57"	"48"	"21"	"8"	"2"	"1"	"2"	"0"	"2"	"3"	"14"	"4"	"2"	"118"	"22"	"16"	"320"	"Nil"
"260"	"163"	"245"	"44"	"141"	"21"	"3"	"0"	"2"	"3"	"3"	"1"	"1"	"6"	"2"	"6"	"130"	"21"	"21"	"405"	"Nil"
"261"	"163"	"246"	"97"	"40"	"16"	"0"	"3"	"0"	"1"	"1"	"2"	"2"	"4"	"2"	"0"	"91"	"11"	"8"	"278"	"Nil"
"262"	"163"	"247"	"98"	"34"	"121"	"0"	"4"	"1"	"0"	"0"	"1"	"4"	"37"	"4"	"3"	"204"	"42"	"13"	"566"	"Nil"
"263"	"163"	"248"	"117"	"41"	"48"	"5"	"7"	"3"	"1"	"3"	"1"	"1"	"16"	"3"	"8"	"274"	"43"	"37"	"608"	"Nil"
"264"	"163"	"249"	"91"	"19"	"92"	"2"	"3"	"1"	"3"	"2"	"2"	"6"	"34"	"1"	"7"	"240"	"61"	"16"	"580"	"Nil"
"265"	"163"	"250"	"29"	"25"	"24"	"0"	"1"	"3"	"2"	"1"	"2"	"4"	"10"	"2"	"6"	"139"	"26"	"8"	"282"	"Nil"
"266"	"163"	"251"	"59"	"9"	"20"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"12"	"3"	"3"	"131"	"21"	"6"	"267"	"Nil"
"267"	"163"	"252"	"66"	"62"	"66"	"1"	"1"	"0"	"3"	"0"	"1"	"0"	"17"	"2"	"0"	"11"	"6"	"5"	"241"	"Nil"
"268"	"163"	"253"	"107"	"65"	"137"	"11"	"8"	"1"	"0"	"0"	"1"	"1"	"21"	"0"	"5"	"39"	"17"	"11"	"424"	"Nil"
"269"	"163"	"254"	"66"	"20"	"81"	"5"	"4"	"1"	"2"	"2"	"1"	"1"	"60"	"7"	"17"	"308"	"50"	"29"	"654"	"Nil"
"270"	"163"	"255"	"103"	"124"	"42"	"3"	"4"	"5"	"2"	"4"	"6"	"3"	"12"	"5"	"6"	"132"	"26"	"24"	"501"	"Nil"
"271"	"163"	"256"	"17"	"123"	"94"	"3"	"0"	"1"	"0"	"1"	"0"	"2"	"17"	"1"	"1"	"23"	"9"	"5"	"297"	"Nil"
"272"	"163"	"257"	"48"	"10"	"110"	"1"	"0"	"4"	"2"	"4"	"3"	"3"	"24"	"3"	"9"	"83"	"32"	"13"	"349"	"Nil"
"273"	"163"	"258"	"104"	"40"	"21"	"30"	"4"	"2"	"0"	"1"	"2"	"2"	"8"	"6"	"10"	"137"	"23"	"17"	"407"	"Nil"
"274"	"163"	"259"	"81"	"33"	"65"	"4"	"4"	"3"	"3"	"4"	"1"	"5"	"21"	"3"	"15"	"312"	"33"	"40"	"627"	"Nil"
"275"	"163"	"260"	"77"	"30"	"23"	"102"	"8"	"2"	"2"	"0"	"1"	"2"	"12"	"3"	"3"	"78"	"11"	"12"	"366"	"Nil"
"276"	"163"	"261"	"7"	"12"	"27"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"9"	"1"	"6"	"164"	"26"	"3"	"259"	"Nil"
"277"	"163"	"262"	"27"	"66"	"136"	"3"	"6"	"1"	"6"	"3"	"2"	"1"	"30"	"2"	"4"	"72"	"12"	"15"	"386"	"Nil"
"278"	"163"	"263"	"67"	"85"	"256"	"40"	"7"	"7"	"3"	"2"	"1"	"5"	"67"	"9"	"11"	"134"	"19"	"4"	"717"	"Nil"
"279"	"163"	"264"	"58"	"50"	"150"	"6"	"5"	"1"	"2"	"2"	"3"	"2"	"41"	"2"	"6"	"52"	"16"	"6"	"402"	"Nil"
"280"	"163"	"265"	"82"	"99"	"20"	"1"	"7"	"0"	"1"	"2"	"0"	"1"	"4"	"0"	"3"	"24"	"16"	"6"	"266"	"Nil"
"281"	"163"	"266"	"247"	"185"	"16"	"3"	"5"	"3"	"2"	"3"	"6"	"2"	"3"	"0"	"1"	"12"	"9"	"9"	"506"	"Nil"
"282"	"163"	"267"	"107"	"115"	"17"	"0"	"4"	"1"	"2"	"1"	"1"	"0"	"1"	"0"	"5"	"76"	"16"	"15"	"361"	"Nil"
"283"	"163"	"268"	"164"	"197"	"38"	"6"	"9"	"6"	"4"	"2"	"3"	"2"	"13"	"3"	"6"	"26"	"9"	"22"	"510"	"Nil"
"284"	"163"	"269"	"427"	"125"	"14"	"5"	"8"	"2"	"4"	"4"	"3"	"2"	"2"	"4"	"1"	"4"	"10"	"33"	"648"	"Nil"
"285"	"163"	"270"	"178"	"72"	"9"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"54"	"14"	"14"	"347"	"Nil"
"286"	"163"	"271"	"29"	"109"	"23"	"4"	"6"	"1"	"5"	"4"	"2"	"0"	"17"	"4"	"5"	"224"	"26"	"7"	"466"	"Nil"
"287"	"163"	"272"	"77"	"173"	"98"	"38"	"3"	"3"	"3"	"6"	"3"	"2"	"37"	"2"	"3"	"197"	"29"	"11"	"685"	"Nil"
"288"	"163"	"273"	"80"	"144"	"76"	"3"	"1"	"1"	"2"	"2"	"0"	"1"	"17"	"3"	"15"	"60"	"20"	"11"	"436"	"Nil"
"289"	"163"	"274"	"96"	"401"	"35"	"5"	"1"	"2"	"4"	"4"	"6"	"3"	"12"	"13"	"10"	"55"	"37"	"34"	"718"	"Nil"
"290"	"Assembly No."	"Sl. No. of Polling Station"	"No. of valid votes Cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"
"291"	""	""	"GIRIDHARI YADAV"	"JAI PRAKESH NARAIN YADAV"	"DAMODAR RAWAT"	"MUKESH KUMAR SINGH"	"SANJAY KUMAR"	"ANIL KUMAR ALIAS ANIL
GUPTA"	"AMRESHWAR KUMAR"	"ARVIND KUMAR SAH"	"KEDAR PRASAD SINGH"	"MAHBOOB ALAM ANSARI"	"RAJENDRA PANDIT NETAJEE"	"VIVEKA NAND JHA"	"C.P. SINHA"	"DIGVIJAY SINGH"	"NARAYAN RAM"	"MOHD. HUMAYUN"	""	""
"292"	"Total No. of votes  recorded at Polling Stations."	""	"10363"	"32151"	"26820"	"1715"	"1940"	"456"	"306"	"347"	"412"	"395"	"4443"	"648"	"1499"	"28665"	"4130"	"2679"	"116969"	"Nil"
"293"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"27- Banka P.C."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"-Cum- D. M. Banka"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
