"Candidates.Name.."	"Arjun.Roy"	"Maya.Shankar.Sharan"	"Samir.Kumar.Mahaseth"	"Sitaram.Yadav"	"S..Abu.Daujana"	"Chitaranja.n.Giri"	"Mohammad.Afzal.Painther"	"Shankar.Sinha"	"Chandrika.Prasad"	"Zahid"	"Dinesh.Prasad"	"Pappu.Kumar.Mishra"	"Mukesh.Kumar.Gupta"	"Total"
"211"	"196"	"89"	"20"	"5"	"202"	"220"	"3"	"2"	"9"	"0"	"2"	"0"	"2"	"2"	"556"
"212"	"197"	"150"	"80"	"76"	"221"	"30"	"2"	"4"	"3"	"2"	"1"	"1"	"3"	"2"	"575"
"213"	"198"	"130"	"0"	"11"	"141"	"5"	"9"	"2"	"8"	"8"	"1"	"5"	"8"	"7"	"335"
"214"	"199"	"255"	"4"	"22"	"106"	"6"	"2"	"2"	"13"	"3"	"2"	"2"	"2"	"7"	"426"
"215"	"200"	"184"	"6"	"21"	"118"	"84"	"1"	"4"	"8"	"3"	"1"	"4"	"3"	"1"	"438"
"216"	"201"	"174"	"3"	"70"	"82"	"1"	"1"	"3"	"5"	"4"	"0"	"1"	"1"	"2"	"347"
"217"	"202"	"107"	"1"	"172"	"105"	"2"	"2"	"0"	"4"	"2"	"0"	"2"	"1"	"3"	"401"
"218"	"203"	"257"	"3"	"170"	"86"	"6"	"1"	"3"	"6"	"2"	"2"	"0"	"0"	"0"	"536"
"219"	"204"	"354"	"8"	"42"	"45"	"164"	"4"	"4"	"9"	"7"	"3"	"3"	"4"	"4"	"651"
"220"	"205"	"111"	"8"	"89"	"119"	"174"	"15"	"7"	"15"	"3"	"4"	"4"	"29"	"5"	"583"
"221"	"206"	"134"	"3"	"89"	"99"	"20"	"1"	"0"	"3"	"2"	"1"	"1"	"1"	"0"	"354"
"222"	"207"	"32"	"44"	"57"	"98"	"229"	"5"	"1"	"3"	"5"	"2"	"0"	"14"	"3"	"493"
"223"	"208"	"44"	"3"	"17"	"290"	"216"	"3"	"5"	"8"	"2"	"0"	"2"	"6"	"3"	"599"
"224"	"209"	"334"	"9"	"19"	"118"	"80"	"6"	"3"	"14"	"1"	"1"	"3"	"1"	"4"	"593"
"225"	"210"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"226"	"211"	"348"	"5"	"4"	"34"	"156"	"3"	"2"	"3"	"3"	"3"	"1"	"4"	"3"	"569"
"227"	"212"	"384"	"8"	"49"	"126"	"3"	"2"	"1"	"11"	"2"	"1"	"0"	"1"	"0"	"588"
"228"	"213"	"155"	"0"	"4"	"46"	"316"	"4"	"1"	"1"	"0"	"0"	"1"	"5"	"0"	"533"
"229"	"214"	"234"	"9"	"14"	"45"	"62"	"2"	"1"	"5"	"2"	"1"	"1"	"2"	"1"	"379"
"230"	"215"	"316"	"1"	"15"	"65"	"1"	"1"	"1"	"8"	"1"	"2"	"1"	"0"	"1"	"413"
"231"	"216"	"302"	"3"	"43"	"90"	"2"	"1"	"1"	"7"	"1"	"2"	"1"	"1"	"0"	"454"
"232"	"217"	"228"	"9"	"6"	"56"	"204"	"4"	"2"	"9"	"3"	"0"	"8"	"17"	"3"	"549"
"233"	"218"	"20"	"0"	"7"	"546"	"3"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"580"
"234"	"219"	"60"	"2"	"11"	"204"	"29"	"6"	"1"	"11"	"1"	"1"	"1"	"3"	"9"	"339"
"235"	"220"	"288"	"56"	"21"	"128"	"59"	"3"	"4"	"12"	"5"	"3"	"4"	"4"	"2"	"589"
"236"	"Candidates Name >"	"Arjun Roy"	"Maya Shankar Sharan"	"Samir Kumar Mahaseth"	"Sitaram Yadav"	"S. Abu Daujana"	"Chitaranja n Giri"	"Mohammad Afzal Painther"	"Shankar Sinha"	"Chandrika Prasad"	"Zahid"	"Dinesh Prasad"	"Pappu Kumar Mishra"	"Mukesh Kumar Gupta"	"Total"
"237"	"BOOTH NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	">"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"240"	"221"	"469"	"7"	"26"	"54"	"33"	"1"	"2"	"4"	"2"	"4"	"0"	"3"	"1"	"606"
"241"	"222"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"242"	"223"	"394"	"20"	"82"	"98"	"3"	"0"	"15"	"7"	"4"	"1"	"2"	"1"	"2"	"629"
"243"	"224"	"331"	"20"	"9"	"42"	"235"	"6"	"3"	"4"	"1"	"1"	"3"	"4"	"3"	"662"
"244"	"225"	"45"	"9"	"25"	"228"	"87"	"6"	"2"	"7"	"4"	"3"	"1"	"10"	"2"	"429"
"245"	"226"	"224"	"11"	"18"	"45"	"185"	"3"	"3"	"7"	"1"	"1"	"5"	"4"	"2"	"509"
"246"	"227"	"319"	"12"	"8"	"127"	"87"	"4"	"7"	"37"	"2"	"7"	"7"	"4"	"2"	"623"
"247"	"228"	"15"	"11"	"6"	"2"	"158"	"3"	"3"	"1"	"0"	"1"	"1"	"2"	"0"	"203"
"248"	"229"	"111"	"6"	"14"	"275"	"43"	"0"	"4"	"5"	"1"	"0"	"1"	"0"	"0"	"460"
"249"	"230"	"87"	"28"	"12"	"171"	"242"	"7"	"7"	"4"	"1"	"2"	"1"	"10"	"0"	"572"
"250"	"231"	"5"	"1"	"175"	"56"	"146"	"2"	"2"	"2"	"0"	"3"	"0"	"2"	"4"	"398"
"251"	"232"	"254"	"17"	"69"	"210"	"81"	"6"	"3"	"21"	"7"	"1"	"6"	"5"	"5"	"685"
"252"	"233"	"20"	"2"	"15"	"56"	"206"	"7"	"2"	"3"	"2"	"4"	"11"	"35"	"6"	"369"
"253"	"234"	"2"	"2"	"37"	"14"	"188"	"2"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"250"
"254"	"235"	"137"	"11"	"8"	"123"	"33"	"0"	"4"	"6"	"2"	"0"	"7"	"2"	"2"	"335"
"255"	"Total:"	"34158"	"2980"	"25125"	"19908"	"8505"	"474"	"704"	"1742"	"511"	"424"	"494"	"521"	"525"	"96071"
"256"	"Place: Sitamarhi                                                                                                                                               Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"Date: 16/05/2009                                                                                                                                    Assembly Constituency :024---BATHANAHA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Printed Using RO/ARO Counting Tool Ver. 1.0 of National Informatics Centre,Bihar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
