"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF THE PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…85 - BAHADURPUR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Total No. of electors in Assembly constituency / Segment …..226497"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"7"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"154"	"133"	"133"	"29"	"181"	"379"	"4"	"1"	"2"	"4"	"0"	"9"	"5"	"1"	"5"	"7"	"11"	"638"	"-"	"638"	""
"155"	"134"	"134"	"20"	"296"	"49"	"1"	"1"	"0"	"2"	"2"	"0"	"0"	"3"	"7"	"7"	"2"	"390"	"-"	"390"	""
"156"	"135"	"135"	"16"	"190"	"265"	"7"	"2"	"1"	"1"	"4"	"1"	"2"	"1"	"8"	"8"	"6"	"512"	"-"	"512"	""
"157"	"136"	"136"	"15"	"155"	"205"	"3"	"0"	"1"	"2"	"1"	"1"	"2"	"4"	"2"	"9"	"12"	"412"	"-"	"412"	""
"158"	"137"	"137"	"14"	"82"	"127"	"2"	"1"	"0"	"0"	"0"	"5"	"0"	"0"	"3"	"4"	"1"	"239"	"-"	"239"	""
"159"	"138"	"138"	"24"	"142"	"100"	"5"	"0"	"0"	"3"	"1"	"2"	"2"	"3"	"4"	"12"	"6"	"304"	"-"	"304"	""
"160"	"139"	"139"	"34"	"424"	"201"	"1"	"4"	"1"	"2"	"23"	"9"	"1"	"7"	"14"	"19"	"19"	"759"	"-"	"759"	""
"161"	"140"	"140"	"16"	"182"	"192"	"0"	"2"	"1"	"2"	"4"	"3"	"2"	"2"	"5"	"6"	"7"	"424"	"-"	"424"	""
"162"	"141"	"141"	"6"	"106"	"76"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"0"	"193"	"-"	"193"	""
"163"	"142"	"142"	"15"	"128"	"298"	"7"	"0"	"1"	"0"	"4"	"7"	"6"	"3"	"14"	"9"	"20"	"512"	"-"	"512"	""
"164"	"143"	"143"	"4"	"331"	"25"	"2"	"0"	"0"	"2"	"1"	"30"	"0"	"1"	"3"	"2"	"0"	"401"	"-"	"401"	""
"165"	"144"	"144"	"18"	"262"	"81"	"2"	"0"	"3"	"0"	"2"	"10"	"3"	"2"	"14"	"11"	"11"	"419"	"-"	"419"	""
"166"	"145"	"145"	"19"	"204"	"281"	"12"	"2"	"1"	"2"	"2"	"9"	"4"	"7"	"6"	"5"	"5"	"559"	"-"	"559"	""
"167"	"146"	"146"	"16"	"206"	"112"	"8"	"3"	"3"	"4"	"1"	"3"	"1"	"2"	"3"	"1"	"3"	"366"	"-"	"366"	""
"168"	"147"	"147"	"4"	"40"	"146"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"196"	"-"	"196"	""
"169"	"5/25/20114:01 PM                                                                                                                                                        bdp85                                                                                                                                                                        Page#4/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"171"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahni"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"172"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"173"	"148"	"148"	"44"	"515"	"65"	"10"	"1"	"6"	"3"	"2"	"19"	"3"	"3"	"3"	"9"	"4"	"687"	"-"	"687"	""
"174"	"149"	"149"	"57"	"447"	"87"	"6"	"0"	"1"	"2"	"1"	"9"	"3"	"2"	"2"	"6"	"11"	"634"	"-"	"634"	""
"175"	"150"	"150"	"34"	"314"	"339"	"9"	"4"	"4"	"2"	"3"	"4"	"2"	"9"	"11"	"17"	"12"	"764"	"-"	"764"	""
"176"	"151"	"151"	"39"	"110"	"274"	"11"	"0"	"1"	"1"	"4"	"1"	"3"	"4"	"5"	"13"	"12"	"478"	"-"	"478"	""
"177"	"152"	"152"	"58"	"49"	"414"	"10"	"2"	"0"	"2"	"1"	"4"	"1"	"0"	"10"	"4"	"20"	"575"	"-"	"575"	""
"178"	"153"	"153"	"50"	"59"	"276"	"4"	"0"	"1"	"0"	"1"	"5"	"1"	"3"	"4"	"2"	"2"	"408"	"-"	"408"	""
"179"	"154"	"154"	"22"	"54"	"332"	"1"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"3"	"4"	"9"	"428"	"-"	"428"	""
"180"	"155"	"155"	"23"	"161"	"68"	"9"	"5"	"3"	"6"	"4"	"22"	"5"	"5"	"3"	"2"	"7"	"323"	"-"	"323"	""
"181"	"156"	"156"	"13"	"41"	"69"	"4"	"3"	"1"	"0"	"1"	"5"	"1"	"1"	"4"	"4"	"6"	"153"	"-"	"153"	""
"182"	"157"	"157"	"38"	"204"	"115"	"5"	"5"	"6"	"3"	"8"	"44"	"4"	"0"	"7"	"8"	"17"	"464"	"-"	"464"	""
"183"	"158"	"158"	"20"	"147"	"19"	"1"	"5"	"5"	"9"	"3"	"66"	"2"	"2"	"5"	"15"	"22"	"321"	"-"	"321"	""
"184"	"159"	"159"	"15"	"206"	"66"	"0"	"0"	"5"	"7"	"1"	"47"	"2"	"3"	"4"	"6"	"8"	"370"	"-"	"370"	""
"185"	"160"	"160"	"18"	"192"	"51"	"4"	"2"	"2"	"6"	"5"	"40"	"1"	"0"	"4"	"6"	"0"	"331"	"-"	"331"	""
"186"	"161"	"161"	"19"	"358"	"22"	"1"	"5"	"1"	"0"	"3"	"7"	"1"	"4"	"2"	"8"	"9"	"440"	"-"	"440"	""
"187"	"162"	"162"	"31"	"282"	"66"	"4"	"5"	"4"	"3"	"1"	"58"	"2"	"2"	"6"	"7"	"10"	"481"	"-"	"481"	""
"188"	"163"	"163"	"9"	"177"	"98"	"6"	"5"	"2"	"4"	"1"	"15"	"10"	"3"	"9"	"10"	"11"	"360"	"-"	"360"	""
"189"	"164"	"164"	"44"	"193"	"132"	"11"	"4"	"6"	"5"	"2"	"12"	"2"	"1"	"5"	"4"	"1"	"422"	"-"	"422"	""
"190"	"165"	"165"	"34"	"356"	"41"	"3"	"0"	"3"	"1"	"4"	"2"	"2"	"2"	"2"	"10"	"8"	"468"	"-"	"468"	""
"191"	"166"	"166"	"28"	"269"	"83"	"4"	"3"	"0"	"1"	"1"	"5"	"1"	"1"	"2"	"13"	"11"	"422"	"-"	"422"	""
"192"	"167"	"167"	"39"	"110"	"235"	"11"	"3"	"1"	"2"	"4"	"14"	"1"	"2"	"2"	"5"	"9"	"438"	"-"	"438"	""
"193"	"168"	"168"	"8"	"83"	"234"	"5"	"2"	"4"	"4"	"2"	"11"	"2"	"1"	"5"	"7"	"2"	"370"	"-"	"370"	""
"194"	"169"	"169"	"41"	"314"	"85"	"27"	"13"	"7"	"11"	"13"	"121"	"3"	"9"	"9"	"16"	"8"	"677"	"-"	"677"	""
"195"	"170"	"170"	"9"	"144"	"34"	"2"	"4"	"2"	"3"	"2"	"22"	"1"	"0"	"0"	"4"	"1"	"228"	"-"	"228"	""
"196"	"171"	"171"	"22"	"362"	"32"	"3"	"3"	"3"	"1"	"3"	"15"	"3"	"2"	"1"	"7"	"4"	"461"	"-"	"461"	""
"197"	"172"	"172"	"55"	"119"	"380"	"16"	"5"	"4"	"7"	"5"	"37"	"9"	"4"	"6"	"3"	"10"	"660"	"-"	"660"	""
"198"	"173"	"173"	"21"	"72"	"294"	"15"	"6"	"5"	"6"	"5"	"5"	"13"	"11"	"23"	"15"	"39"	"530"	"-"	"530"	""
"199"	"174"	"174"	"36"	"167"	"273"	"12"	"2"	"1"	"2"	"2"	"2"	"1"	"2"	"4"	"3"	"0"	"507"	"-"	"507"	""
"200"	"175"	"175"	"27"	"10"	"212"	"4"	"0"	"1"	"0"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"259"	"-"	"259"	""
"201"	"176"	"176"	"37"	"64"	"242"	"8"	"3"	"3"	"4"	"3"	"2"	"3"	"0"	"3"	"1"	"11"	"384"	"-"	"384"	""
"202"	"177"	"177"	"40"	"89"	"91"	"8"	"5"	"3"	"8"	"7"	"74"	"9"	"3"	"9"	"16"	"18"	"380"	"-"	"380"	""
"203"	"178"	"178"	"35"	"26"	"231"	"5"	"1"	"0"	"1"	"2"	"5"	"4"	"2"	"3"	"1"	"13"	"329"	"-"	"329"	""
"204"	"179"	"179"	"56"	"21"	"217"	"5"	"2"	"3"	"3"	"2"	"50"	"0"	"3"	"2"	"2"	"1"	"367"	"-"	"367"	""
"205"	"180"	"180"	"30"	"319"	"55"	"3"	"2"	"2"	"0"	"2"	"2"	"3"	"7"	"5"	"18"	"11"	"459"	"-"	"459"	""
"206"	"181"	"181"	"27"	"176"	"88"	"7"	"5"	"7"	"4"	"3"	"1"	"1"	"1"	"0"	"0"	"1"	"321"	"-"	"321"	""
"207"	"182"	"182"	"11"	"167"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"186"	"-"	"186"	""
"208"	"183"	"183"	"23"	"342"	"68"	"6"	"17"	"4"	"5"	"5"	"5"	"0"	"4"	"0"	"4"	"7"	"490"	"-"	"490"	""
"209"	"184"	"184"	"10"	"351"	"9"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"10"	"7"	"391"	"-"	"391"	""
"210"	"185"	"185"	"25"	"189"	"43"	"3"	"4"	"2"	"8"	"8"	"31"	"2"	"4"	"2"	"17"	"13"	"351"	"-"	"351"	""
"211"	"186"	"186"	"22"	"94"	"73"	"8"	"1"	"4"	"5"	"2"	"49"	"8"	"5"	"4"	"4"	"3"	"282"	"-"	"282"	""
"212"	"5/25/20114:01 PM                                                                                                                                                        bdp85                                                                                                                                                                        Page#5/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"214"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahni"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"215"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"216"	"187"	"187"	"106"	"36"	"507"	"6"	"0"	"0"	"4"	"0"	"2"	"3"	"5"	"4"	"1"	"6"	"680"	"-"	"680"	""
"217"	"188"	"188"	"50"	"82"	"195"	"6"	"0"	"2"	"1"	"3"	"4"	"7"	"8"	"15"	"13"	"14"	"400"	"-"	"400"	""
"218"	"189"	"189"	"29"	"59"	"102"	"2"	"1"	"0"	"0"	"1"	"3"	"3"	"2"	"4"	"2"	"10"	"218"	"-"	"218"	""
"219"	"190"	"190"	"42"	"58"	"353"	"6"	"2"	"1"	"4"	"1"	"28"	"1"	"1"	"2"	"2"	"7"	"508"	"-"	"508"	""
"220"	"191"	"191"	"40"	"12"	"400"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"0"	"0"	"458"	"-"	"458"	""
"221"	"192"	"192"	"55"	"201"	"253"	"17"	"4"	"8"	"7"	"2"	"110"	"5"	"1"	"4"	"9"	"9"	"685"	"-"	"685"	""
"222"	"193"	"193"	"31"	"21"	"134"	"2"	"0"	"1"	"3"	"0"	"45"	"1"	"1"	"1"	"2"	"0"	"242"	"-"	"242"	""
"223"	"194"	"194"	"20"	"43"	"152"	"2"	"0"	"2"	"2"	"1"	"54"	"0"	"2"	"2"	"2"	"1"	"283"	"-"	"283"	""
"224"	"195"	"195"	"48"	"161"	"176"	"8"	"0"	"4"	"3"	"5"	"95"	"6"	"7"	"3"	"7"	"5"	"528"	"-"	"528"	""
"225"	"196"	"196"	"40"	"130"	"198"	"13"	"9"	"4"	"5"	"6"	"56"	"5"	"6"	"13"	"9"	"21"	"515"	"-"	"515"	""
"226"	"197"	"197"	"18"	"122"	"41"	"5"	"0"	"1"	"0"	"1"	"5"	"3"	"3"	"2"	"7"	"15"	"223"	"-"	"223"	""
"227"	"198"	"198"	"29"	"119"	"84"	"12"	"15"	"12"	"14"	"20"	"265"	"13"	"10"	"11"	"12"	"23"	"639"	"-"	"639"	""
"228"	"199"	"199"	"37"	"60"	"311"	"3"	"1"	"0"	"1"	"3"	"33"	"6"	"2"	"10"	"3"	"13"	"483"	"-"	"483"	""
"229"	"200"	"200"	"61"	"122"	"209"	"8"	"5"	"7"	"11"	"6"	"143"	"12"	"7"	"20"	"27"	"47"	"685"	"-"	"685"	""
"230"	"201"	"201"	"47"	"132"	"110"	"8"	"7"	"16"	"11"	"11"	"158"	"5"	"9"	"8"	"9"	"14"	"545"	"-"	"545"	""
"231"	"202"	"202"	"14"	"65"	"229"	"10"	"6"	"3"	"8"	"6"	"26"	"4"	"3"	"8"	"13"	"17"	"412"	"-"	"412"	""
"232"	"203"	"203"	"35"	"173"	"28"	"7"	"2"	"2"	"7"	"5"	"91"	"3"	"1"	"5"	"5"	"5"	"369"	"-"	"369"	""
"233"	"204"	"204"	"11"	"140"	"34"	"14"	"1"	"3"	"2"	"5"	"88"	"5"	"6"	"8"	"13"	"28"	"358"	"-"	"358"	""
"234"	"205"	"205"	"24"	"135"	"313"	"14"	"4"	"3"	"4"	"6"	"80"	"10"	"8"	"13"	"12"	"36"	"662"	"-"	"662"	""
"235"	"206"	"206"	"18"	"111"	"173"	"13"	"5"	"1"	"2"	"1"	"2"	"2"	"4"	"4"	"4"	"10"	"350"	"-"	"350"	""
"236"	"207"	"207"	"7"	"81"	"71"	"5"	"2"	"5"	"5"	"9"	"103"	"1"	"2"	"3"	"4"	"11"	"309"	"-"	"309"	""
"237"	"208"	"208"	"18"	"104"	"78"	"5"	"2"	"5"	"9"	"4"	"146"	"7"	"6"	"5"	"15"	"14"	"418"	"-"	"418"	""
"238"	"209"	"209"	"39"	"198"	"53"	"4"	"2"	"5"	"6"	"7"	"55"	"5"	"1"	"1"	"10"	"8"	"394"	"-"	"394"	""
"239"	"210"	"210"	"10"	"126"	"93"	"0"	"2"	"9"	"6"	"10"	"37"	"2"	"9"	"14"	"15"	"28"	"361"	"-"	"361"	""
"240"	"211"	"211"	"55"	"56"	"143"	"5"	"0"	"0"	"1"	"1"	"14"	"2"	"0"	"6"	"5"	"6"	"294"	"-"	"294"	""
"241"	"212"	"212"	"56"	"107"	"166"	"4"	"0"	"5"	"3"	"4"	"40"	"3"	"8"	"10"	"9"	"3"	"418"	"-"	"418"	""
"242"	"213"	"213"	"39"	"93"	"219"	"21"	"7"	"13"	"15"	"10"	"108"	"10"	"7"	"23"	"15"	"21"	"601"	"-"	"601"	""
"243"	"214"	"214"	"25"	"90"	"195"	"12"	"4"	"7"	"6"	"13"	"95"	"13"	"12"	"18"	"17"	"49"	"556"	"-"	"556"	""
"244"	"215"	"215"	"48"	"361"	"105"	"14"	"4"	"0"	"12"	"8"	"47"	"11"	"5"	"13"	"27"	"35"	"690"	"-"	"690"	""
"245"	"216"	"216"	"16"	"139"	"228"	"6"	"5"	"3"	"9"	"1"	"34"	"6"	"5"	"5"	"9"	"8"	"474"	"-"	"474"	""
"246"	"217"	"217"	"35"	"92"	"245"	"15"	"3"	"6"	"6"	"4"	"5"	"4"	"1"	"10"	"11"	"24"	"461"	"-"	"461"	""
"247"	"218"	"218"	"17"	"215"	"56"	"3"	"0"	"0"	"8"	"4"	"23"	"1"	"0"	"2"	"6"	"1"	"336"	"-"	"336"	""
"248"	"219"	"219"	"21"	"23"	"169"	"8"	"1"	"0"	"1"	"0"	"8"	"2"	"0"	"4"	"0"	"0"	"237"	"-"	"237"	""
"249"	"220"	"220"	"18"	"205"	"94"	"5"	"3"	"4"	"6"	"10"	"75"	"6"	"3"	"5"	"17"	"29"	"480"	"-"	"480"	""
"250"	"221"	"221"	"18"	"119"	"41"	"2"	"1"	"3"	"4"	"5"	"40"	"4"	"3"	"2"	"4"	"9"	"255"	"-"	"255"	""
"251"	"222"	"222"	"29"	"133"	"221"	"4"	"3"	"5"	"8"	"4"	"20"	"3"	"4"	"6"	"6"	"11"	"457"	"-"	"457"	""
"252"	"223"	"223"	"24"	"137"	"103"	"7"	"0"	"3"	"9"	"7"	"74"	"11"	"8"	"12"	"21"	"34"	"450"	"-"	"450"	""
"253"	"224"	"224"	"25"	"134"	"215"	"13"	"5"	"13"	"5"	"7"	"13"	"8"	"4"	"8"	"5"	"5"	"460"	"-"	"460"	""
"254"	"225"	"225"	"3"	"4"	"27"	"2"	"1"	"2"	"0"	"6"	"37"	"0"	"5"	"6"	"3"	"17"	"113"	"-"	"113"	""
"255"	"5/25/20114:01 PM                                                                                                                                                        bdp85                                                                                                                                                                        Page#6/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"
"257"	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahni"	"Ku mari Su reshwari"	"Md.
Khu rsheed Alam"	"Du rga Nand Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	"Prof. Hareram Acharya"	""	""	""	""
"258"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"
"259"	"226"	"226"	"29"	"15"	"437"	"7"	"0"	"1"	"2"	"0"	"26"	"1"	"0"	"0"	"0"	"3"	"521"	"-"	"521"	""
"260"	"227"	"227"	"12"	"24"	"333"	"3"	"0"	"2"	"2"	"0"	"5"	"1"	"2"	"5"	"4"	"3"	"396"	"-"	"396"	""
"261"	"228"	"228"	"44"	"235"	"180"	"13"	"6"	"3"	"5"	"11"	"70"	"10"	"7"	"14"	"21"	"22"	"641"	"-"	"641"	""
"262"	"229"	"229"	"82"	"71"	"144"	"6"	"1"	"1"	"0"	"2"	"6"	"4"	"4"	"7"	"4"	"13"	"345"	"-"	"345"	""
"263"	"230"	"230"	"55"	"33"	"180"	"3"	"1"	"3"	"2"	"1"	"40"	"3"	"3"	"6"	"5"	"5"	"340"	"-"	"340"	""
"264"	"231"	"231"	"52"	"20"	"199"	"2"	"5"	"7"	"19"	"13"	"124"	"5"	"2"	"3"	"2"	"3"	"456"	"-"	"456"	""
"265"	"232"	"232"	"12"	"47"	"250"	"12"	"8"	"2"	"5"	"6"	"26"	"5"	"3"	"6"	"7"	"15"	"404"	"-"	"404"	""
"266"	"233"	"233"	"26"	"71"	"131"	"5"	"5"	"4"	"10"	"1"	"56"	"2"	"1"	"4"	"4"	"5"	"325"	"-"	"325"	""
"267"	"234"	"234"	"35"	"126"	"254"	"8"	"2"	"4"	"8"	"6"	"27"	"9"	"3"	"9"	"6"	"9"	"506"	"-"	"506"	""
"268"	"235"	"235"	"28"	"209"	"317"	"15"	"5"	"3"	"10"	"6"	"9"	"7"	"7"	"10"	"9"	"18"	"653"	"-"	"653"	""
"269"	"236"	"236"	"28"	"100"	"281"	"8"	"3"	"1"	"4"	"1"	"8"	"1"	"4"	"10"	"4"	"16"	"469"	"-"	"469"	""
"270"	"237"	"237"	"27"	"78"	"257"	"7"	"1"	"0"	"0"	"2"	"1"	"0"	"2"	"4"	"4"	"9"	"392"	"-"	"392"	""
"271"	"Total No. of votes recording at
polling Stat ions"	""	"7546"	"34757"	"40280"	"1555"	"579"	"653"	"778"	"769"	"5324"	"806"	"729"	"1259"	"1679"	"2389"	"99103"	"-"	"99103"	""
"272"	"No. of votes
recorded on  postal ballot  papers (To be elect ion  from an  assembly
const ituency)"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"-"	"Nil"	""
"273"	"Total Votes polled"	""	"7546"	"34757"	"40280"	"1555"	"579"	"653"	"778"	"769"	"5324"	"806"	"729"	"1259"	"1679"	"2389"	"99103"	"-"	"99103"	""
"274"	"Place :    DARBHANGA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"275"	"Date  :    16/ 05/ 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"276"	"Assistant  Ret urning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	"Ret urning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"5/25/20114:01 PM                                                                                                                                                        bdp85                                                                                                                                                                        Page#7/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
