"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X230882.34.Babubarhi"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"181"	""	"133"	"24"	"4"	"300"	"116"	"7"	"7"	"4"	"7"	"8"	"9"	"17"	"503"	""	"503"	""
"182"	""	"134"	"31"	"6"	"90"	"314"	"17"	"9"	"16"	"9"	"10"	"18"	"30"	"550"	""	"550"	""
"183"	""	"135"	"27"	"18"	"149"	"160"	"9"	"5"	"11"	"3"	"9"	"6"	"18"	"415"	""	"415"	""
"184"	""	"136"	"5"	"1"	"24"	"126"	"70"	"1"	"3"	"1"	"2"	"8"	"0"	"241"	""	"241"	""
"185"	""	"137"	"34"	"7"	"404"	"45"	"28"	"3"	"0"	"4"	"8"	"6"	"8"	"547"	""	"547"	""
"186"	""	"138"	"53"	"9"	"66"	"287"	"6"	"3"	"3"	"2"	"0"	"1"	"1"	"431"	""	"431"	""
"187"	""	"139"	"122"	"1"	"58"	"197"	"2"	"3"	"6"	"2"	"1"	"3"	"6"	"401"	""	"401"	""
"188"	""	"140"	"38"	"8"	"294"	"226"	"9"	"9"	"3"	"6"	"6"	"5"	"11"	"615"	""	"615"	""
"189"	""	"Total -10"	"1178"	"113"	"1994"	"2320"	"176"	"54"	"63"	"43"	"59"	"73"	"127"	"6200"	"0"	"6200"	"0"
"190"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"191"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"192"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"194"	"Round No 11"	"141"	"109"	"5"	"144"	"239"	"5"	"1"	"6"	"5"	"5"	"0"	"9"	"528"	""	"528"	""
"195"	""	"142"	"6"	"2"	"99"	"184"	"45"	"7"	"4"	"6"	"1"	"5"	"6"	"365"	""	"365"	""
"196"	""	"143"	"207"	"4"	"40"	"36"	"0"	"2"	"1"	"1"	"0"	"0"	"2"	"293"	""	"293"	""
"197"	""	"144"	"18"	"5"	"329"	"68"	"4"	"5"	"5"	"8"	"6"	"9"	"14"	"471"	""	"471"	""
"198"	""	"145"	"6"	"1"	"49"	"132"	"7"	"0"	"1"	"0"	"2"	"4"	"5"	"207"	""	"207"	""
"199"	""	"146"	"7"	"2"	"191"	"233"	"5"	"1"	"1"	"0"	"0"	"3"	"4"	"447"	""	"447"	""
"200"	""	"147"	"19"	"1"	"358"	"82"	"7"	"2"	"3"	"3"	"2"	"3"	"4"	"484"	""	"484"	""
"201"	""	"148"	"38"	"1"	"111"	"286"	"14"	"5"	"8"	"3"	"1"	"1"	"16"	"484"	""	"484"	""
"202"	""	"149"	"8"	"1"	"365"	"30"	"6"	"1"	"1"	"4"	"0"	"4"	"7"	"427"	""	"427"	""
"203"	""	"150"	"66"	"1"	"188"	"74"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"332"	""	"332"	""
"204"	""	"151"	"5"	"1"	"79"	"138"	"13"	"3"	"6"	"1"	"4"	"4"	"10"	"264"	""	"264"	""
"205"	""	"152"	"40"	"3"	"76"	"16"	"1"	"0"	"1"	"2"	"0"	"3"	"5"	"147"	""	"147"	""
"206"	""	"153"	"65"	"5"	"92"	"153"	"8"	"3"	"9"	"2"	"0"	"1"	"23"	"361"	""	"361"	""
"207"	""	"154"	"43"	"1"	"48"	"131"	"3"	"2"	"1"	"2"	"5"	"3"	"9"	"248"	""	"248"	""
"208"	""	"Total -11"	"637"	"33"	"2169"	"1802"	"120"	"33"	"47"	"37"	"26"	"40"	"114"	"5058"	"0"	"5058"	"0"
"209"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"210"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"213"	"Round No 12"	"155"	"79"	"7"	"86"	"278"	"20"	"9"	"9"	"8"	"0"	"8"	"11"	"515"	""	"515"	""
"214"	""	"156"	"32"	"12"	"129"	"484"	"11"	"6"	"12"	"9"	"6"	"5"	"8"	"714"	""	"714"	""
"215"	""	"157"	"39"	"15"	"211"	"273"	"10"	"10"	"5"	"1"	"4"	"6"	"9"	"583"	""	"583"	""
"216"	""	"158"	"40"	"4"	"159"	"318"	"5"	"3"	"4"	"1"	"1"	"3"	"5"	"543"	""	"543"	""
"217"	""	"159"	"56"	"3"	"157"	"98"	"3"	"2"	"2"	"3"	"2"	"3"	"2"	"331"	""	"331"	""
"218"	""	"160"	"5"	"2"	"414"	"154"	"5"	"6"	"4"	"2"	"2"	"2"	"6"	"602"	""	"602"	""
"219"	""	"161"	"27"	"4"	"234"	"269"	"13"	"7"	"7"	"5"	"5"	"5"	"12"	"588"	""	"588"	""
"220"	""	"162"	"111"	"7"	"148"	"54"	"2"	"6"	"1"	"5"	"4"	"3"	"4"	"345"	""	"345"	""
"221"	""	"163"	"62"	"7"	"268"	"230"	"10"	"2"	"3"	"0"	"3"	"3"	"7"	"595"	""	"595"	""
"222"	""	"164"	"38"	"10"	"187"	"137"	"5"	"4"	"10"	"5"	"3"	"8"	"13"	"420"	""	"420"	""
"223"	""	"165"	"65"	"9"	"284"	"261"	"10"	"10"	"2"	"5"	"5"	"4"	"2"	"657"	""	"657"	""
"224"	""	"166"	"51"	"6"	"175"	"271"	"7"	"5"	"9"	"5"	"11"	"7"	"27"	"574"	""	"574"	""
"225"	""	"167"	"57"	"10"	"338"	"245"	"10"	"11"	"10"	"13"	"7"	"9"	"18"	"728"	""	"728"	""
"226"	""	"168"	"34"	"3"	"134"	"57"	"2"	"3"	"2"	"4"	"2"	"3"	"16"	"260"	""	"260"	""
"227"	""	"Total -12"	"696"	"99"	"2924"	"3129"	"113"	"84"	"80"	"66"	"55"	"69"	"140"	"7455"	"0"	"7455"	"0"
"228"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"229"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"230"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"232"	"Round No 13"	"169"	"15"	"3"	"77"	"384"	"10"	"6"	"3"	"7"	"4"	"9"	"26"	"544"	""	"544"	""
"233"	""	"170"	"18"	"1"	"157"	"300"	"4"	"4"	"7"	"3"	"4"	"6"	"15"	"519"	""	"519"	""
"234"	""	"171"	"23"	"5"	"173"	"254"	"7"	"7"	"5"	"3"	"6"	"6"	"7"	"496"	""	"496"	""
"235"	""	"172"	"12"	"1"	"60"	"322"	"6"	"6"	"11"	"6"	"3"	"6"	"13"	"446"	""	"446"	""
"236"	""	"173"	"8"	"3"	"161"	"152"	"2"	"2"	"2"	"0"	"0"	"2"	"1"	"333"	""	"333"	""
"237"	""	"174"	"46"	"3"	"154"	"209"	"11"	"5"	"7"	"3"	"1"	"3"	"21"	"463"	""	"463"	""
"238"	""	"175"	"73"	"1"	"113"	"166"	"3"	"1"	"2"	"1"	"1"	"1"	"4"	"366"	""	"366"	""
"239"	""	"176"	"126"	"8"	"139"	"117"	"2"	"2"	"5"	"1"	"1"	"5"	"10"	"416"	""	"416"	""
"240"	""	"177"	"29"	"4"	"129"	"207"	"13"	"1"	"2"	"1"	"5"	"3"	"8"	"402"	""	"402"	""
"241"	""	"178"	"28"	"7"	"129"	"311"	"6"	"3"	"1"	"4"	"2"	"1"	"6"	"498"	""	"498"	""
"242"	""	"179"	"31"	"3"	"54"	"270"	"6"	"1"	"3"	"3"	"0"	"0"	"3"	"374"	""	"374"	""
"243"	""	"180"	"3"	"2"	"234"	"216"	"5"	"3"	"7"	"7"	"6"	"10"	"13"	"506"	""	"506"	""
"244"	""	"181"	"27"	"6"	"183"	"308"	"10"	"3"	"10"	"9"	"9"	"13"	"31"	"609"	""	"609"	""
"245"	""	"182"	"15"	"4"	"335"	"243"	"4"	"6"	"5"	"1"	"5"	"3"	"4"	"625"	""	"625"	""
"246"	""	"Total -
13"	"454"	"51"	"2098"	"3459"	"89"	"50"	"70"	"49"	"47"	"68"	"162"	"6597"	"0"	"6597"	"0"
"247"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"248"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"249"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"251"	"Round No 14"	"183"	"17"	"7"	"218"	"284"	"14"	"8"	"12"	"3"	"7"	"4"	"7"	"581"	""	"581"	""
"252"	""	"184"	"16"	"0"	"299"	"287"	"8"	"9"	"7"	"4"	"5"	"12"	"12"	"659"	""	"659"	""
"253"	""	"185"	"68"	"7"	"219"	"109"	"7"	"7"	"6"	"6"	"3"	"8"	"8"	"448"	""	"448"	""
"254"	""	"186"	"215"	"5"	"152"	"44"	"7"	"10"	"3"	"2"	"2"	"4"	"4"	"448"	""	"448"	""
"255"	""	"187"	"12"	"1"	"67"	"90"	"4"	"1"	"0"	"1"	"0"	"3"	"2"	"181"	""	"181"	""
"256"	""	"188"	"111"	"3"	"98"	"249"	"8"	"4"	"4"	"3"	"6"	"1"	"15"	"502"	""	"502"	""
"257"	""	"189"	"105"	"4"	"106"	"92"	"1"	"0"	"0"	"3"	"2"	"2"	"6"	"321"	""	"321"	""
"258"	""	"190"	"108"	"4"	"101"	"64"	"0"	"1"	"2"	"3"	"4"	"2"	"4"	"293"	""	"293"	""
"259"	""	"191"	"18"	"5"	"197"	"136"	"4"	"5"	"5"	"4"	"2"	"2"	"1"	"379"	""	"379"	""
"260"	""	"192"	"15"	"4"	"120"	"161"	"4"	"4"	"2"	"1"	"1"	"3"	"1"	"316"	""	"316"	""
"261"	""	"193"	"107"	"3"	"48"	"113"	"3"	"3"	"6"	"1"	"0"	"1"	"17"	"302"	""	"302"	""
"262"	""	"194"	"50"	"3"	"57"	"191"	"2"	"5"	"1"	"1"	"6"	"4"	"6"	"326"	""	"326"	""
"263"	""	"195"	"115"	"2"	"24"	"184"	"3"	"3"	"2"	"0"	"1"	"2"	"0"	"336"	""	"336"	""
"264"	""	"196"	"26"	"2"	"171"	"160"	"8"	"4"	"6"	"5"	"9"	"7"	"18"	"416"	""	"416"	""
"265"	""	"Total -
14"	"983"	"50"	"1877"	"2164"	"73"	"64"	"56"	"37"	"48"	"55"	"101"	"5508"	"0"	"5508"	"0"
"266"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"267"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"268"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"270"	"Round No 15"	"197"	"5"	"10"	"450"	"107"	"5"	"4"	"1"	"5"	"2"	"5"	"7"	"601"	""	"601"	""
"271"	""	"198"	"48"	"5"	"202"	"246"	"10"	"7"	"2"	"5"	"6"	"7"	"12"	"550"	""	"550"	""
"272"	""	"199"	"46"	"3"	"273"	"235"	"27"	"7"	"5"	"10"	"7"	"9"	"30"	"652"	""	"652"	""
"273"	""	"200"	"24"	"12"	"110"	"121"	"7"	"1"	"1"	"3"	"1"	"1"	"4"	"285"	""	"285"	""
"274"	""	"201"	"25"	"5"	"157"	"101"	"3"	"3"	"0"	"1"	"5"	"3"	"3"	"306"	""	"306"	""
"275"	""	"202"	"20"	"4"	"117"	"210"	"1"	"3"	"2"	"1"	"2"	"4"	"8"	"372"	""	"372"	""
"276"	""	"203"	"2"	"0"	"408"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"421"	""	"421"	""
"277"	""	"204"	"25"	"2"	"72"	"275"	"11"	"0"	"0"	"1"	"0"	"2"	"2"	"390"	""	"390"	""
"278"	""	"205"	"49"	"12"	"108"	"340"	"7"	"7"	"11"	"4"	"4"	"3"	"7"	"552"	""	"552"	""
"279"	""	"206"	"69"	"13"	"281"	"204"	"6"	"6"	"4"	"1"	"3"	"4"	"7"	"598"	""	"598"	""
"280"	""	"207"	"48"	"1"	"38"	"159"	"1"	"2"	"3"	"3"	"0"	"0"	"1"	"256"	""	"256"	""
"281"	""	"208"	"20"	"7"	"388"	"132"	"3"	"4"	"1"	"2"	"1"	"1"	"5"	"564"	""	"564"	""
"282"	""	"209"	"11"	"1"	"42"	"255"	"5"	"8"	"6"	"2"	"2"	"5"	"8"	"345"	""	"345"	""
"283"	""	"210"	"54"	"5"	"63"	"158"	"6"	"6"	"9"	"4"	"4"	"7"	"19"	"335"	""	"335"	""
"284"	""	"Total -
15"	"446"	"80"	"2709"	"2549"	"97"	"58"	"45"	"42"	"37"	"51"	"113"	"6227"	"0"	"6227"	"0"
"285"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"286"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"287"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"289"	"Round No 16"	"211"	"79"	"4"	"138"	"196"	"8"	"23"	"8"	"5"	"7"	"6"	"6"	"480"	""	"480"	""
"290"	""	"212"	"95"	"9"	"209"	"177"	"6"	"27"	"7"	"6"	"2"	"10"	"9"	"557"	""	"557"	""
"291"	""	"213"	"14"	"0"	"453"	"1"	"0"	"4"	"0"	"0"	"2"	"1"	"0"	"475"	""	"475"	""
"292"	""	"214"	"62"	"6"	"111"	"182"	"4"	"5"	"2"	"2"	"6"	"10"	"11"	"401"	""	"401"	""
"293"	""	"215"	"169"	"7"	"266"	"99"	"3"	"4"	"0"	"1"	"1"	"2"	"1"	"553"	""	"553"	""
"294"	""	"216"	"72"	"4"	"222"	"95"	"8"	"4"	"5"	"3"	"10"	"4"	"19"	"446"	""	"446"	""
"295"	""	"217"	"145"	"13"	"114"	"53"	"3"	"3"	"2"	"1"	"4"	"2"	"7"	"347"	""	"347"	""
"296"	""	"218"	"6"	"0"	"103"	"195"	"6"	"0"	"6"	"1"	"2"	"0"	"4"	"323"	""	"323"	""
"297"	""	"219"	"13"	"8"	"134"	"288"	"4"	"8"	"3"	"1"	"3"	"2"	"3"	"467"	""	"467"	""
"298"	""	"220"	"15"	"3"	"24"	"158"	"20"	"2"	"1"	"2"	"1"	"2"	"7"	"235"	""	"235"	""
"299"	""	"221"	"83"	"2"	"215"	"117"	"3"	"1"	"2"	"3"	"4"	"4"	"8"	"442"	""	"442"	""
"300"	""	"222"	"66"	"4"	"196"	"232"	"4"	"3"	"1"	"3"	"5"	"7"	"7"	"528"	""	"528"	""
"301"	""	"223"	"44"	"7"	"345"	"118"	"5"	"5"	"4"	"6"	"10"	"3"	"7"	"554"	""	"554"	""
"302"	""	"224"	"5"	"1"	"99"	"164"	"3"	"1"	"2"	"1"	"1"	"0"	"4"	"281"	""	"281"	""
"303"	""	"Total -
16"	"868"	"68"	"2629"	"2075"	"77"	"90"	"43"	"35"	"58"	"53"	"93"	"6089"	"0"	"6089"	"0"
"304"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"305"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"306"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"307"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"308"	"Round No 17"	"225"	"219"	"2"	"119"	"54"	"1"	"1"	"1"	"0"	"0"	"5"	"6"	"408"	""	"408"	""
"309"	""	"226"	"21"	"3"	"68"	"197"	"2"	"5"	"2"	"4"	"1"	"2"	"3"	"308"	""	"308"	""
"310"	""	"227"	"8"	"5"	"73"	"124"	"2"	"3"	"2"	"1"	"0"	"1"	"4"	"223"	""	"223"	""
"311"	""	"228"	"8"	"4"	"60"	"205"	"5"	"6"	"1"	"1"	"4"	"2"	"6"	"302"	""	"302"	""
"312"	""	"229"	"79"	"3"	"149"	"128"	"1"	"2"	"0"	"1"	"1"	"3"	"4"	"371"	""	"371"	""
"313"	""	"230"	"131"	"4"	"14"	"28"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"180"	""	"180"	""
"314"	""	"231"	"64"	"2"	"95"	"176"	"6"	"4"	"5"	"3"	"6"	"6"	"10"	"377"	""	"377"	""
"315"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"316"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	""	"Total -
17"	"530"	"23"	"578"	"912"	"19"	"21"	"11"	"10"	"12"	"20"	"33"	"2169"	"0"	"2169"	"0"
"323"	""	""	""	""	""	""	""	"230882
34-Babubarhi"	""	""	""	""	""	""	""	""	""
"324"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"325"	""	""	"Kripanath Pathak, INC"	"Gaurishankar Yadav, BSP"	"Devendra Prasad Yadav, RJD"	"Mangni Lal Mandal, JD(U)"	"Dr. Kirtan Prasad Singh, yks0l0ny"	"Yog Nath Mandal,
d0ik0ba0¼ek0ys0
½fy0"	"Om Prakash, IND."	"Nathuni Yadav, IND."	"Firoz Ram, IND."	"Viveka Nand Jha, IND."	"Shankar Prasad, IND."	""	""	""	""
"326"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""	""
"327"	"Final"	"Total No. of votes recorded at Polling stations"	"12163"	"1258"	"38673"	"45165"	"2202"	"1205"	"1069"	"751"	"823"	"1166"	"2276"	"106751"	"0"	"106751"	"0"
"328"	""	"No. of Votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"329"	""	"TOTAL VOTES POLLED"	"12163"	"1258"	"38673"	"45165"	"2202"	"1205"	"1069"	"751"	"823"	"1166"	"2276"	"106751"	"0"	"106751"	"0"
