"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"	"X..59"	"X..60"	"X..61"	"X..62"	"X..63"	"X..64"	"X..65"	"X..66"	"X..67"	"X..68"	"X..69"	"X..70"	"X..71"	"X..72"	"X..73"	"X..74"	"X..75"	"X..76"
"187"	"112"	""	""	""	""	""	""	"17"	""	""	""	""	"41"	""	""	""	"72"	""	""	""	""	"217"	""	""	""	""	""	""	""	""	""	"3"	""	""	""	"7"	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"19"	""	""	""	"0"	""	""	"1"	""	""	""	"381"	""	""	""	""	""	""	""
"188"	"113"	""	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	"1"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"8"	""	""	""	""	""	""	""
"189"	"114"	""	""	""	""	""	""	"2"	""	""	""	""	"29"	""	""	""	"31"	""	""	""	""	"31"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"1"	""	""	"1"	""	""	""	"97"	""	""	""	""	""	""	""
"190"	"115"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""
"191"	"116"	""	""	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""
"192"	"117"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""
"193"	"118"	""	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"0"	""	""	""	""	""	""	""
"194"	"119"	""	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"1"	""	""	""	""	""	""	""
"195"	"120"	""	""	""	""	""	""	"31"	""	""	""	""	"9"	""	""	""	"135"	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	"8"	""	""	""	"3"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"14"	""	""	""	"1"	""	""	"3"	""	""	""	"213"	""	""	""	""	""	""	""
"196"	"121"	""	""	""	""	""	""	"21"	""	""	""	""	"5"	""	""	""	"60"	""	""	""	""	"127"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"3"	""	""	""	"221"	""	""	""	""	""	""	""
"197"	"122"	""	""	""	""	""	""	"12"	""	""	""	""	"41"	""	""	""	"51"	""	""	""	""	"264"	""	""	""	""	""	""	""	""	""	"6"	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	"38"	""	""	""	""	"0"	""	""	""	""	"21"	""	""	""	"3"	""	""	"2"	""	""	""	"444"	""	""	""	""	""	""	""
"198"	"123"	""	""	""	""	""	""	"13"	""	""	""	""	"188"	""	""	""	"80"	""	""	""	""	"175"	""	""	""	""	""	""	""	""	""	"7"	""	""	""	"1"	""	""	""	""	""	"8"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"0"	""	""	"0"	""	""	""	"476"	""	""	""	""	""	""	""
"199"	"124"	""	""	""	""	""	""	"6"	""	""	""	""	"204"	""	""	""	"17"	""	""	""	""	"152"	""	""	""	""	""	""	""	""	""	"3"	""	""	""	"2"	""	""	""	""	""	"2"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	"1"	""	""	"3"	""	""	""	"394"	""	""	""	""	""	""	""
"200"	"125"	""	""	""	""	""	""	"17"	""	""	""	""	"0"	""	""	""	"166"	""	""	""	""	"14"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"7"	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	"0"	""	""	"0"	""	""	""	"210"	""	""	""	""	""	""	""
"201"	"126"	""	""	""	""	""	""	"17"	""	""	""	""	"58"	""	""	""	"109"	""	""	""	""	"30"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	"2"	""	""	""	""	""	"4"	""	""	""	""	"3"	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"15"	""	""	""	"1"	""	""	"0"	""	""	""	"247"	""	""	""	""	""	""	""
"202"	"127"	""	""	""	""	""	""	"9"	""	""	""	""	"28"	""	""	""	"73"	""	""	""	""	"57"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	"3"	""	""	""	""	""	"1"	""	""	""	""	"3"	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"32"	""	""	""	"0"	""	""	"1"	""	""	""	"210"	""	""	""	""	""	""	""
"203"	"128"	""	""	""	""	""	""	"1"	""	""	""	""	"93"	""	""	""	"5"	""	""	""	""	"50"	""	""	""	""	""	""	""	""	""	"2"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"8"	""	""	""	"0"	""	""	"0"	""	""	""	"160"	""	""	""	""	""	""	""
"204"	"129"	""	""	""	""	""	""	"6"	""	""	""	""	"89"	""	""	""	"102"	""	""	""	""	"11"	""	""	""	""	""	""	""	""	""	"0"	""	""	""	"14"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"42"	""	""	""	"1"	""	""	"0"	""	""	""	"270"	""	""	""	""	""	""	""
"205"	"130"	""	""	""	""	""	""	"2"	""	""	""	""	"52"	""	""	""	"19"	""	""	""	""	"33"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	"0"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"109"	""	""	""	""	""	""	""
"206"	"131"	""	""	""	""	""	""	"28"	""	""	""	""	"33"	""	""	""	"126"	""	""	""	""	"108"	""	""	""	""	""	""	""	""	""	"11"	""	""	""	"10"	""	""	""	""	""	"2"	""	""	""	""	"4"	""	""	"16"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	"1"	""	""	"0"	""	""	""	"344"	""	""	""	""	""	""	""
"207"	"132"	""	""	""	""	""	""	"1"	""	""	""	""	"61"	""	""	""	"71"	""	""	""	""	"108"	""	""	""	""	""	""	""	""	""	"1"	""	""	""	"4"	""	""	""	""	""	"0"	""	""	""	""	"1"	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"5"	""	""	""	"2"	""	""	"0"	""	""	""	"255"	""	""	""	""	""	""	""
"208"	"Printed UsingRO/AROCounting Tool Ver. 1.0 of NaJiona/  Informatics Centre,Bihar                                                                                                                      Page 1o/ 5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"209"	"..  ..    -"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"stitUency :33-BUXAR                                                                                                      Form-20  (Part-I-A)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"uency :202-Rajpur (SC)                                                                                                      No of Voters :230773"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"s                                                                     No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"213"	"Name                                                          :c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"::c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"0:::                                  en"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"216"	"Q)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"---->                                  (.!)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"::c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"(!)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"220"	"0z         in                                       z         «       0                               w                            --"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"z   <(                   <(           :i:            :c          in"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"o O   <(                         0                                    \"O"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"BOOTH                    z                       <(  :c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	";}j"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"z<  :::c:                            0..                                      :c <("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"ftl  <("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"NO                       <("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"zfil"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"<(       z  z"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"<(    w 0..."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"iii               0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"U)   :c       > ..!."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	":5        O :c"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	":::, m      :i:            o:: -"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"o>  .., :::,         :E         zw"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	":c               e"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	".               :i: :::,   i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	";}j     <("	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"Z o::       5:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"U)                              :::,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"c; t:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"<( (!)                                                                                                      W  :::,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"I            :i:"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"o  >          0::               :i: 0        O  ftl"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"I                 j::"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	"C<> -"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	":5 6     :c :::,       o \"'     0                               0::  <(            :c                          :::,              :::,                    G  ..... !:!:.."	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"v                      -,  U)                                         U)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"::::e i"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"::::e                      o z  u, m      U)                      U)                      U)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"I             2                3             4               5              6                 7             8              9            10           II         l:l.           lJ            14            I:,"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"133"	""	""	""	""	"12"	""	""	""	"159"	""	""	""	""	""	""	"147"	""	""	""	""	""	""	"8"	""	""	""	""	""	"2"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"4"	""	""	""	"1"	""	""	"3"	""	""	""	"342"	""	""	""	""	""	""	""
"253"	"134"	""	""	""	""	"39"	""	""	""	"98"	""	""	""	""	""	""	"45"	""	""	""	""	""	""	"121"	""	""	""	""	""	"20"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"3"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"42"	""	""	""	"0"	""	""	"3"	""	""	""	"376"	""	""	""	""	""	""	""
"254"	"135"	""	""	""	""	"8"	""	""	""	"35"	""	""	""	""	""	""	"146"	""	""	""	""	""	""	"53"	""	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"4"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"34"	""	""	""	"1"	""	""	"5"	""	""	""	"293"	""	""	""	""	""	""	""
"255"	"136"	""	""	""	""	"0"	""	""	""	"66"	""	""	""	""	""	""	"8"	""	""	""	""	""	""	"27"	""	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	"1"	""	""	"0"	""	""	""	"104"	""	""	""	""	""	""	""
"256"	"137"	""	""	""	""	"12"	""	""	""	"103"	""	""	""	""	""	""	"118"	""	""	""	""	""	""	"11"	""	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"7"	""	""	""	""	"3"	""	""	""	"3"	""	""	"0"	""	""	""	"262"	""	""	""	""	""	""	""
"257"	"138"	""	""	""	""	"1"	""	""	""	"102"	""	""	""	""	""	""	"88"	""	""	""	""	""	""	"42"	""	""	""	""	""	"3"	""	""	""	""	"13"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"10"	""	""	""	"0"	""	""	"1"	""	""	""	"262"	""	""	""	""	""	""	""
"258"	"139"	""	""	""	""	"11"	""	""	""	"135"	""	""	""	""	""	""	"73"	""	""	""	""	""	""	"21"	""	""	""	""	""	"2"	""	""	""	""	"30"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	"1"	""	""	"0"	""	""	""	"279"	""	""	""	""	""	""	""
"259"	"140"	""	""	""	""	"5"	""	""	""	"140"	""	""	""	""	""	""	"33"	""	""	""	""	""	""	"9"	""	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	""	"0"	""	""	""	"0"	""	""	"2"	""	""	""	"192"	""	""	""	""	""	""	""
"260"	"141"	""	""	""	""	"5"	""	""	""	"137"	""	""	""	""	""	""	"19"	""	""	""	""	""	""	"227"	""	""	""	""	""	"6"	""	""	""	""	"2"	""	""	""	""	"3"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"0"	""	""	""	""	"1"	""	""	""	"0"	""	""	"2"	""	""	""	"402"	""	""	""	""	""	""	""
"261"	"142"	""	""	""	""	"7"	""	""	""	"157"	""	""	""	""	""	""	"30"	""	""	""	""	""	""	"39"	""	""	""	""	""	"0"	""	""	""	""	"2"	""	""	""	""	"1"	""	""	""	""	"1"	""	""	""	""	"2"	""	""	""	""	"0"	""	""	""	""	"9"	""	""	""	"0"	""	""	"0"	""	""	""	"248"	""	""	""	""	""	""	""
