"Sl..No."	"No..of.Polli.ng.Station"	"No..of.Valid..votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejecte.d.votes"	"Total"	"No..of.Tendere.d.votes"
"151"	"140"	"140"	"29"	"8"	"143"	"18"	"23"	"0"	"0"	"4"	"0"	"1"	"2"	"0"	"1"	"2"	"3"	"234"	"0"	"234"	""
"152"	"141"	"141"	"26"	"16"	"285"	"37"	"19"	"2"	"3"	"3"	"2"	"0"	"1"	"1"	"3"	"3"	"4"	"405"	"0"	"405"	""
"153"	"142"	"142"	"21"	"14"	"231"	"37"	"152"	"9"	"4"	"3"	"3"	"2"	"2"	"2"	"3"	"4"	"4"	"491"	"0"	"491"	""
"154"	"143"	"143"	"13"	"23"	"322"	"22"	"113"	"4"	"1"	"1"	"1"	"2"	"2"	"3"	"7"	"3"	"3"	"520"	"0"	"520"	""
"155"	"144"	"144"	"29"	"2"	"81"	"32"	"282"	"17"	"1"	"0"	"2"	"1"	"2"	"2"	"0"	"3"	"4"	"458"	"0"	"458"	""
"156"	"145"	"145"	"318"	"7"	"28"	"15"	"136"	"4"	"3"	"2"	"1"	"3"	"0"	"4"	"4"	"2"	"11"	"538"	"0"	"538"	""
"157"	"146"	"146"	"108"	"4"	"15"	"13"	"135"	"2"	"3"	"1"	"1"	"1"	"2"	"4"	"1"	"2"	"8"	"300"	"0"	"300"	""
"158"	"147"	"147"	"34"	"2"	"16"	"42"	"213"	"5"	"2"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"320"	"0"	"320"	""
"159"	"148"	"148"	"11"	"12"	"302"	"128"	"57"	"2"	"2"	"1"	"5"	"1"	"1"	"12"	"10"	"11"	"30"	"585"	"0"	"585"	""
"160"	"149"	"149"	"14"	"4"	"130"	"29"	"8"	"2"	"0"	"2"	"0"	"0"	"1"	"1"	"4"	"2"	"4"	"201"	"0"	"201"	""
"161"	"150"	"150"	"4"	"14"	"290"	"126"	"38"	"2"	"3"	"1"	"2"	"0"	"1"	"4"	"2"	"12"	"17"	"516"	"0"	"516"	""
"162"	"151"	"151"	"47"	"13"	"274"	"65"	"74"	"4"	"1"	"1"	"0"	"0"	"1"	"3"	"6"	"9"	"10"	"508"	"0"	"508"	""
"163"	"152"	"152"	"140"	"23"	"190"	"63"	"201"	"7"	"5"	"6"	"0"	"0"	"1"	"1"	"4"	"1"	"7"	"649"	"0"	"649"	""
"164"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of Tendere d votes"
"165"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"166"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"167"	"153"	"153"	"137"	"18"	"330"	"58"	"138"	"5"	"8"	"4"	"2"	"2"	"4"	"7"	"12"	"9"	"15"	"749"	"0"	"749"	""
"168"	"154"	"154"	"18"	"18"	"603"	"44"	"58"	"3"	"1"	"3"	"1"	"0"	"3"	"1"	"6"	"3"	"1"	"763"	"0"	"763"	""
"169"	"155"	"155"	"22"	"23"	"218"	"225"	"33"	"0"	"2"	"1"	"0"	"2"	"2"	"9"	"11"	"6"	"6"	"560"	"0"	"560"	""
"170"	"156"	"156"	"78"	"3"	"69"	"10"	"165"	"3"	"2"	"3"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"339"	"0"	"339"	""
"171"	"157"	"157"	"76"	"21"	"178"	"44"	"196"	"3"	"6"	"10"	"5"	"7"	"4"	"2"	"5"	"7"	"12"	"576"	"0"	"576"	""
"172"	"158"	"158"	"46"	"6"	"529"	"74"	"33"	"1"	"1"	"2"	"0"	"0"	"0"	"1"	"1"	"2"	"5"	"701"	"0"	"701"	""
"173"	"159"	"159"	"29"	"19"	"267"	"76"	"271"	"10"	"4"	"8"	"4"	"6"	"6"	"6"	"9"	"7"	"9"	"731"	"0"	"731"	""
"174"	"160"	"160"	"8"	"16"	"224"	"45"	"52"	"0"	"4"	"1"	"2"	"1"	"2"	"6"	"14"	"9"	"10"	"394"	"0"	"394"	""
"175"	"161"	"161"	"24"	"16"	"186"	"73"	"24"	"1"	"3"	"0"	"0"	"0"	"1"	"2"	"6"	"6"	"9"	"351"	"0"	"351"	""
"176"	"162"	"162"	"30"	"14"	"196"	"50"	"8"	"0"	"2"	"3"	"1"	"0"	"2"	"2"	"1"	"7"	"3"	"319"	"0"	"319"	""
"177"	"163"	"163"	"3"	"12"	"255"	"53"	"15"	"0"	"2"	"2"	"0"	"2"	"2"	"2"	"12"	"3"	"12"	"375"	"0"	"375"	""
"178"	"164"	"164"	"82"	"24"	"254"	"121"	"61"	"1"	"5"	"1"	"5"	"2"	"1"	"4"	"4"	"4"	"3"	"572"	"0"	"572"	""
"179"	"165"	"165"	"130"	"17"	"199"	"100"	"320"	"9"	"2"	"1"	"0"	"3"	"0"	"3"	"6"	"4"	"6"	"800"	"0"	"800"	""
"180"	"166"	"166"	"31"	"9"	"190"	"62"	"77"	"1"	"0"	"1"	"0"	"1"	"1"	"3"	"3"	"3"	"7"	"389"	"0"	"389"	""
"181"	"167"	"167"	"170"	"12"	"266"	"31"	"36"	"1"	"2"	"2"	"1"	"2"	"2"	"2"	"7"	"2"	"6"	"542"	"0"	"542"	""
"182"	"168"	"168"	"45"	"29"	"363"	"19"	"24"	"1"	"5"	"12"	"4"	"2"	"4"	"6"	"22"	"15"	"31"	"582"	"0"	"582"	""
"183"	"169"	"169"	"44"	"21"	"336"	"72"	"47"	"4"	"4"	"1"	"2"	"4"	"2"	"3"	"11"	"14"	"55"	"620"	"0"	"620"	""
"184"	"170"	"170"	"13"	"12"	"278"	"44"	"111"	"5"	"4"	"2"	"1"	"0"	"4"	"8"	"8"	"8"	"15"	"513"	"0"	"513"	""
"185"	"171"	"171"	"17"	"30"	"287"	"217"	"34"	"2"	"3"	"4"	"3"	"1"	"5"	"4"	"11"	"11"	"17"	"646"	"0"	"646"	""
"186"	"172"	"172"	"12"	"15"	"158"	"316"	"18"	"3"	"2"	"1"	"2"	"2"	"3"	"7"	"10"	"6"	"18"	"573"	"0"	"573"	""
"187"	"173"	"173"	"38"	"8"	"100"	"148"	"35"	"1"	"0"	"3"	"0"	"1"	"3"	"3"	"2"	"9"	"5"	"356"	"0"	"356"	""
"188"	"174"	"174"	"103"	"17"	"112"	"28"	"60"	"3"	"3"	"0"	"1"	"0"	"4"	"3"	"2"	"1"	"3"	"340"	"0"	"340"	""
"189"	"175"	"175"	"24"	"4"	"166"	"44"	"49"	"0"	"2"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"2"	"296"	"0"	"296"	""
"190"	"176"	"176"	"61"	"8"	"107"	"71"	"15"	"0"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"6"	"6"	"281"	"0"	"281"	""
"191"	"177"	"177"	"46"	"18"	"194"	"50"	"26"	"2"	"3"	"2"	"3"	"4"	"3"	"6"	"6"	"8"	"7"	"378"	"0"	"378"	""
"192"	"178"	"178"	"5"	"4"	"57"	"246"	"87"	"2"	"1"	"1"	"0"	"1"	"1"	"5"	"2"	"1"	"7"	"420"	"0"	"420"	""
"193"	"179"	"179"	"123"	"17"	"172"	"103"	"211"	"10"	"6"	"7"	"5"	"6"	"8"	"11"	"13"	"12"	"39"	"743"	"0"	"743"	""
"194"	"180"	"180"	"16"	"16"	"198"	"75"	"132"	"17"	"7"	"7"	"5"	"3"	"9"	"11"	"11"	"13"	"20"	"540"	"0"	"540"	""
"195"	"181"	"181"	"227"	"22"	"82"	"39"	"142"	"5"	"4"	"4"	"2"	"2"	"0"	"2"	"3"	"2"	"4"	"540"	"0"	"540"	""
"196"	"182"	"182"	"64"	"10"	"154"	"39"	"171"	"9"	"5"	"8"	"4"	"3"	"6"	"6"	"9"	"8"	"23"	"519"	"0"	"519"	""
"197"	"183"	"183"	"63"	"13"	"215"	"55"	"170"	"7"	"6"	"9"	"6"	"5"	"5"	"6"	"17"	"5"	"18"	"600"	"0"	"600"	""
"198"	"184"	"184"	"52"	"20"	"267"	"39"	"60"	"2"	"5"	"5"	"2"	"3"	"2"	"5"	"24"	"16"	"21"	"523"	"0"	"523"	""
"199"	"185"	"185"	"12"	"5"	"57"	"16"	"61"	"3"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"5"	"7"	"168"	"0"	"168"	""
"200"	"186"	"186"	"107"	"16"	"195"	"79"	"102"	"3"	"7"	"7"	"1"	"3"	"5"	"9"	"10"	"9"	"25"	"578"	"0"	"578"	""
"201"	"187"	"187"	"18"	"3"	"113"	"67"	"35"	"1"	"0"	"0"	"2"	"0"	"2"	"2"	"7"	"3"	"4"	"257"	"0"	"257"	""
"202"	"188"	"188"	"43"	"9"	"42"	"58"	"53"	"1"	"2"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"0"	"213"	"0"	"213"	""
"203"	"189"	"189"	"69"	"29"	"259"	"60"	"14"	"3"	"4"	"9"	"0"	"2"	"2"	"4"	"8"	"15"	"10"	"488"	"0"	"488"	""
"204"	"190"	"190"	"28"	"11"	"195"	"60"	"14"	"2"	"1"	"1"	"2"	"2"	"0"	"0"	"4"	"4"	"12"	"336"	"0"	"336"	""
"205"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of Tendere d votes"
"206"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"207"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"208"	"191"	"191"	"5"	"8"	"267"	"25"	"14"	"0"	"0"	"1"	"1"	"0"	"2"	"4"	"3"	"6"	"2"	"338"	"0"	"338"	""
"209"	"192"	"192"	"26"	"14"	"241"	"19"	"27"	"5"	"2"	"5"	"2"	"1"	"1"	"4"	"8"	"6"	"4"	"365"	"0"	"365"	""
"210"	"193"	"193"	"67"	"15"	"132"	"37"	"216"	"4"	"4"	"4"	"0"	"1"	"2"	"3"	"1"	"1"	"3"	"490"	"0"	"490"	""
"211"	"194"	"194"	"76"	"19"	"230"	"162"	"98"	"2"	"4"	"1"	"2"	"1"	"0"	"8"	"8"	"10"	"17"	"638"	"0"	"638"	""
"212"	"195"	"195"	"76"	"10"	"90"	"72"	"34"	"2"	"4"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"3"	"297"	"0"	"297"	""
"213"	"196"	"196"	"55"	"9"	"41"	"45"	"174"	"8"	"6"	"5"	"3"	"1"	"1"	"2"	"10"	"2"	"6"	"368"	"0"	"368"	""
"214"	"197"	"197"	"15"	"9"	"318"	"47"	"50"	"1"	"1"	"0"	"1"	"5"	"2"	"1"	"0"	"1"	"0"	"451"	"0"	"451"	""
"215"	"198"	"198"	"14"	"2"	"56"	"15"	"76"	"2"	"0"	"1"	"1"	"1"	"1"	"0"	"1"	"1"	"5"	"176"	"0"	"176"	""
"216"	"199"	"199"	"3"	"10"	"367"	"65"	"38"	"2"	"1"	"0"	"1"	"1"	"0"	"5"	"7"	"7"	"8"	"515"	"0"	"515"	""
"217"	"200"	"200"	"73"	"8"	"104"	"39"	"167"	"3"	"2"	"3"	"0"	"0"	"1"	"2"	"4"	"4"	"16"	"426"	"0"	"426"	""
"218"	"201"	"201"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	""
"219"	"202"	"202"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"220"	"203"	"203"	"31"	"22"	"313"	"28"	"69"	"3"	"5"	"3"	"1"	"3"	"1"	"10"	"17"	"21"	"23"	"550"	"0"	"550"	""
"221"	"204"	"204"	"17"	"25"	"304"	"42"	"141"	"5"	"5"	"5"	"1"	"4"	"1"	"4"	"7"	"4"	"4"	"569"	"0"	"569"	""
"222"	"205"	"205"	"13"	"7"	"55"	"7"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"90"	"0"	"90"	""
"223"	"206"	"206"	"102"	"24"	"275"	"62"	"74"	"1"	"2"	"4"	"2"	"0"	"2"	"5"	"9"	"2"	"2"	"566"	"0"	"566"	""
"224"	"207"	"207"	"60"	"4"	"130"	"9"	"59"	"3"	"1"	"0"	"1"	"0"	"1"	"1"	"2"	"1"	"3"	"275"	"0"	"275"	""
"225"	"208"	"208"	"151"	"7"	"140"	"36"	"92"	"3"	"5"	"4"	"1"	"3"	"4"	"2"	"2"	"0"	"2"	"452"	"0"	"452"	""
"226"	"209"	"209"	"20"	"11"	"166"	"36"	"183"	"1"	"1"	"4"	"4"	"42"	"2"	"2"	"1"	"7"	"3"	"483"	"0"	"483"	""
"227"	"210"	"210"	"8"	"7"	"432"	"4"	"23"	"0"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"2"	"1"	"482"	"0"	"482"	""
"228"	"211"	"211"	"94"	"10"	"189"	"20"	"92"	"4"	"4"	"2"	"5"	"256"	"6"	"1"	"1"	"0"	"1"	"685"	"0"	"685"	""
"229"	"212"	"212"	"10"	"12"	"216"	"42"	"67"	"0"	"0"	"2"	"1"	"130"	"2"	"4"	"2"	"5"	"7"	"500"	"0"	"500"	""
"230"	"213"	"213"	"91"	"10"	"132"	"24"	"85"	"1"	"2"	"6"	"5"	"70"	"0"	"1"	"5"	"4"	"8"	"444"	"0"	"444"	""
"231"	"214"	"214"	"96"	"12"	"211"	"47"	"58"	"3"	"2"	"2"	"7"	"271"	"3"	"2"	"2"	"4"	"1"	"721"	"0"	"721"	""
"232"	"215"	"215"	"3"	"5"	"136"	"19"	"42"	"2"	"2"	"4"	"0"	"3"	"0"	"2"	"6"	"3"	"6"	"233"	"0"	"233"	""
"233"	"216"	"216"	"14"	"6"	"60"	"90"	"193"	"5"	"0"	"2"	"1"	"0"	"3"	"1"	"1"	"3"	"4"	"383"	"0"	"383"	""
"234"	"217"	"217"	"90"	"6"	"170"	"41"	"215"	"1"	"2"	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"1"	"531"	"0"	"531"	""
"235"	"218"	"218"	"30"	"17"	"146"	"91"	"85"	"2"	"5"	"3"	"0"	"1"	"1"	"5"	"3"	"5"	"2"	"396"	"0"	"396"	""
"236"	"219"	"219"	"40"	"5"	"51"	"61"	"98"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"261"	"0"	"261"	""
"237"	"220"	"220"	"83"	"7"	"229"	"59"	"14"	"0"	"1"	"1"	"1"	"0"	"0"	"4"	"7"	"1"	"7"	"414"	"0"	"414"	""
"238"	"221"	"221"	"309"	"14"	"163"	"33"	"87"	"3"	"1"	"0"	"1"	"2"	"2"	"3"	"2"	"4"	"15"	"639"	"0"	"639"	""
"239"	"222"	"222"	"87"	"5"	"6"	"96"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"3"	"210"	"0"	"210"	""
"240"	"223"	"223"	"72"	"21"	"241"	"35"	"52"	"2"	"2"	"7"	"1"	"3"	"5"	"7"	"8"	"9"	"17"	"482"	"0"	"482"	""
"241"	"224"	"224"	"37"	"21"	"296"	"41"	"55"	"10"	"1"	"2"	"1"	"2"	"2"	"3"	"3"	"6"	"10"	"490"	"0"	"490"	""
"242"	"225"	"225"	"63"	"15"	"184"	"66"	"35"	"1"	"1"	"1"	"1"	"3"	"2"	"4"	"10"	"6"	"4"	"396"	"0"	"396"	""
"243"	"226"	"226"	"20"	"12"	"154"	"70"	"49"	"2"	"3"	"1"	"2"	"2"	"6"	"3"	"3"	"4"	"13"	"344"	"0"	"344"	""
"244"	"227"	"227"	"85"	"20"	"224"	"106"	"24"	"1"	"3"	"5"	"3"	"4"	"2"	"5"	"14"	"10"	"25"	"531"	"0"	"531"	""
"245"	"228"	"228"	"24"	"13"	"192"	"20"	"163"	"5"	"5"	"2"	"3"	"2"	"3"	"5"	"14"	"10"	"9"	"470"	"0"	"470"	""
"246"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejecte d votes"	"Total"	"No. of Tendere d votes"
"247"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"248"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"249"	"229"	"229"	"16"	"15"	"51"	"89"	"149"	"1"	"0"	"4"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"330"	"0"	"330"	""
"250"	"230"	"230"	"11"	"8"	"139"	"28"	"139"	"3"	"1"	"1"	"2"	"4"	"2"	"9"	"15"	"6"	"49"	"417"	"0"	"417"	""
"251"	"231"	"231"	"6"	"3"	"58"	"21"	"164"	"4"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"259"	"0"	"259"	""
"252"	"232"	"232"	"2"	"1"	"19"	"24"	"553"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"0"	"602"	"0"	"602"	""
"253"	"233"	"233"	"77"	"12"	"81"	"38"	"382"	"10"	"7"	"5"	"5"	"1"	"1"	"1"	"2"	"4"	"3"	"629"	"0"	"629"	""
"254"	"234"	"234"	"33"	"2"	"67"	"24"	"228"	"5"	"2"	"1"	"0"	"0"	"2"	"0"	"7"	"1"	"9"	"381"	"0"	"381"	""
"255"	"No. of votes recorded on postal ballot"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"256"	"Total Votes"	""	"13529"	"2841"	"41158"	"18493"	"17425"	"583"	"513"	"560"	"326"	"1053"	"393"	"672"	"1211"	"950"	"1748"	"101455"	"0"	"101455"	""
"257"	"Place :MOTIHARI                                                                                                                                                                                                                                                              Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"Date  :   16/05/2009                                                                                                                                                                                                                                                                         023-RIGA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
