"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X226458.86.Keoti"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"153"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"156"	"Round No 9"	"113"	"299"	"8"	"16"	"146"	"59"	"6"	"4"	"8"	"10"	"6"	"9"	"3"	"7"	"33"	"614"	""	"614"	""
"157"	""	"114"	"68"	"5"	"43"	"55"	"14"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"0"	"0"	"191"	""	"191"	""
"158"	""	"115"	"51"	"3"	"83"	"103"	"37"	"1"	"2"	"0"	"2"	"0"	"3"	"4"	"0"	"4"	"293"	""	"293"	""
"159"	""	"116"	"16"	"2"	"87"	"186"	"17"	"0"	"1"	"0"	"0"	"1"	"4"	"2"	"3"	"24"	"343"	""	"343"	""
"160"	""	"117"	"5"	"2"	"28"	"39"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"79"	""	"79"	""
"161"	""	"118"	"46"	"3"	"107"	"81"	"21"	"3"	"2"	"3"	"1"	"2"	"1"	"2"	"3"	"3"	"278"	""	"278"	""
"162"	""	"119"	"62"	"12"	"71"	"50"	"49"	"6"	"3"	"1"	"4"	"4"	"1"	"6"	"5"	"15"	"289"	""	"289"	""
"163"	""	"120"	"89"	"16"	"163"	"131"	"115"	"12"	"11"	"4"	"6"	"5"	"3"	"5"	"9"	"17"	"586"	""	"586"	""
"164"	""	"121"	"157"	"3"	"15"	"231"	"31"	"4"	"4"	"5"	"6"	"9"	"10"	"6"	"10"	"40"	"531"	""	"531"	""
"165"	""	"122"	"118"	"3"	"13"	"207"	"19"	"3"	"0"	"3"	"1"	"4"	"1"	"2"	"4"	"11"	"389"	""	"389"	""
"166"	""	"123"	"174"	"10"	"63"	"287"	"25"	"4"	"1"	"2"	"4"	"6"	"7"	"6"	"8"	"27"	"624"	""	"624"	""
"167"	""	"124"	"98"	"7"	"164"	"188"	"37"	"8"	"4"	"2"	"3"	"7"	"8"	"20"	"14"	"45"	"605"	""	"605"	""
"168"	""	"125"	"64"	"7"	"53"	"212"	"26"	"3"	"0"	"2"	"0"	"0"	"1"	"0"	"1"	"3"	"372"	""	"372"	""
"169"	""	"126"	"17"	"21"	"98"	"197"	"22"	"1"	"2"	"1"	"0"	"3"	"5"	"2"	"5"	"10"	"384"	""	"384"	""
"170"	""	"Total -9"	"1264"	"102"	"1004"	"2113"	"475"	"53"	"35"	"31"	"38"	"47"	"55"	"59"	"70"	"232"	"5578"	"0"	"5578"	"0"
"171"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"173"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"175"	"Round No 10"	"127"	"197"	"16"	"31"	"233"	"37"	"9"	"4"	"3"	"2"	"2"	"4"	"3"	"7"	"6"	"554"	""	"554"	""
"176"	""	"128"	"43"	"1"	"51"	"193"	"9"	"2"	"1"	"0"	"2"	"1"	"5"	"1"	"5"	"21"	"335"	""	"335"	""
"177"	""	"129"	"400"	"16"	"12"	"171"	"27"	"11"	"2"	"4"	"6"	"1"	"6"	"7"	"7"	"11"	"681"	""	"681"	""
"178"	""	"130"	"234"	"9"	"3"	"120"	"10"	"0"	"2"	"3"	"3"	"4"	"6"	"2"	"6"	"20"	"422"	""	"422"	""
"179"	""	"131"	"77"	"4"	"55"	"198"	"21"	"2"	"3"	"1"	"1"	"1"	"5"	"1"	"7"	"15"	"391"	""	"391"	""
"180"	""	"132"	"92"	"5"	"92"	"267"	"22"	"4"	"0"	"1"	"2"	"1"	"2"	"4"	"5"	"28"	"525"	""	"525"	""
"181"	""	"133"	"377"	"6"	"21"	"70"	"12"	"2"	"2"	"0"	"3"	"1"	"1"	"2"	"5"	"14"	"516"	""	"516"	""
"182"	""	"134"	"176"	"3"	"0"	"86"	"10"	"1"	"2"	"0"	"0"	"2"	"2"	"0"	"4"	"15"	"301"	""	"301"	""
"183"	""	"135"	"161"	"6"	"2"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"5"	"192"	""	"192"	""
"184"	""	"136"	"111"	"0"	"1"	"64"	"8"	"1"	"0"	"1"	"1"	"0"	"1"	"1"	"2"	"7"	"198"	""	"198"	""
"185"	""	"137"	"273"	"11"	"72"	"47"	"45"	"2"	"0"	"2"	"1"	"3"	"4"	"4"	"2"	"18"	"484"	""	"484"	""
"186"	""	"138"	"32"	"2"	"82"	"8"	"11"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"4"	"141"	""	"141"	""
"187"	""	"139"	"43"	"0"	"152"	"6"	"6"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"212"	""	"212"	""
"188"	""	"140"	"104"	"1"	"10"	"28"	"6"	"1"	"1"	"0"	"2"	"3"	"1"	"0"	"0"	"6"	"163"	""	"163"	""
"189"	""	"Total -10"	"2320"	"80"	"584"	"1500"	"232"	"37"	"17"	"17"	"24"	"19"	"37"	"25"	"52"	"171"	"5115"	"0"	"5115"	"0"
"190"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"192"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"194"	"Round No 11"	"141"	"139"	"6"	"21"	"133"	"20"	"3"	"1"	"0"	"1"	"1"	"2"	"0"	"0"	"2"	"329"	""	"329"	""
"195"	""	"142"	"314"	"4"	"3"	"15"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"338"	""	"338"	""
"196"	""	"143"	"223"	"8"	"27"	"72"	"6"	"2"	"1"	"1"	"2"	"0"	"2"	"0"	"2"	"11"	"357"	""	"357"	""
"197"	""	"144"	"229"	"6"	"21"	"84"	"16"	"3"	"3"	"2"	"1"	"0"	"3"	"2"	"2"	"12"	"384"	""	"384"	""
"198"	""	"145"	"503"	"13"	"13"	"180"	"18"	"1"	"2"	"1"	"1"	"1"	"5"	"3"	"1"	"13"	"755"	""	"755"	""
"199"	""	"146"	"128"	"7"	"99"	"104"	"73"	"3"	"4"	"1"	"2"	"3"	"1"	"0"	"1"	"2"	"428"	""	"428"	""
"200"	""	"147"	"92"	"4"	"75"	"56"	"27"	"1"	"2"	"1"	"1"	"5"	"3"	"3"	"1"	"8"	"279"	""	"279"	""
"201"	""	"148"	"303"	"19"	"98"	"179"	"123"	"5"	"7"	"7"	"8"	"5"	"2"	"2"	"3"	"12"	"773"	""	"773"	""
"202"	""	"149"	"195"	"9"	"31"	"171"	"12"	"3"	"2"	"5"	"2"	"2"	"3"	"2"	"7"	"7"	"451"	""	"451"	""
"203"	""	"150"	"27"	"5"	"169"	"104"	"27"	"2"	"2"	"2"	"1"	"1"	"5"	"6"	"5"	"11"	"367"	""	"367"	""
"204"	""	"151"	"25"	"5"	"196"	"94"	"17"	"1"	"0"	"3"	"0"	"0"	"1"	"0"	"2"	"3"	"347"	""	"347"	""
"205"	""	"152"	"152"	"23"	"230"	"151"	"31"	"4"	"2"	"6"	"3"	"6"	"4"	"9"	"2"	"13"	"636"	""	"636"	""
"206"	""	"153"	"142"	"10"	"157"	"122"	"18"	"2"	"3"	"5"	"1"	"1"	"9"	"8"	"10"	"25"	"513"	""	"513"	""
"207"	""	"154"	"23"	"3"	"137"	"19"	"7"	"2"	"2"	"1"	"0"	"0"	"2"	"3"	"0"	"2"	"201"	""	"201"	""
"208"	""	"Total -11"	"2495"	"122"	"1277"	"1484"	"396"	"33"	"31"	"35"	"23"	"25"	"42"	"38"	"36"	"121"	"6158"	"0"	"6158"	"0"
"209"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"213"	"Round No 12"	"155"	"59"	"4"	"214"	"29"	"73"	"5"	"3"	"3"	"5"	"1"	"4"	"10"	"4"	"25"	"439"	""	"439"	""
"214"	""	"156"	"133"	"8"	"175"	"53"	"15"	"1"	"1"	"4"	"2"	"1"	"3"	"3"	"5"	"14"	"418"	""	"418"	""
"215"	""	"157"	"64"	"6"	"299"	"39"	"29"	"5"	"1"	"4"	"4"	"1"	"5"	"11"	"5"	"17"	"490"	""	"490"	""
"216"	""	"158"	"286"	"51"	"57"	"154"	"21"	"3"	"3"	"4"	"3"	"1"	"1"	"3"	"2"	"13"	"602"	""	"602"	""
"217"	""	"159"	"84"	"19"	"39"	"123"	"45"	"5"	"3"	"3"	"2"	"2"	"5"	"8"	"6"	"25"	"369"	""	"369"	""
"218"	""	"160"	"18"	"3"	"84"	"147"	"48"	"1"	"1"	"2"	"1"	"3"	"8"	"7"	"4"	"14"	"341"	""	"341"	""
"219"	""	"161"	"11"	"3"	"67"	"180"	"33"	"1"	"0"	"2"	"3"	"4"	"5"	"2"	"1"	"14"	"326"	""	"326"	""
"220"	""	"162"	"146"	"8"	"16"	"123"	"7"	"2"	"1"	"0"	"2"	"1"	"3"	"0"	"1"	"4"	"314"	""	"314"	""
"221"	""	"163"	"342"	"12"	"16"	"111"	"12"	"0"	"1"	"1"	"3"	"2"	"3"	"1"	"4"	"9"	"517"	""	"517"	""
"222"	""	"164"	"110"	"5"	"11"	"222"	"23"	"2"	"1"	"1"	"3"	"1"	"2"	"2"	"0"	"4"	"387"	""	"387"	""
"223"	""	"165"	"112"	"3"	"8"	"158"	"15"	"1"	"0"	"2"	"1"	"2"	"4"	"1"	"2"	"9"	"318"	""	"318"	""
"224"	""	"166"	"125"	"11"	"125"	"282"	"17"	"6"	"3"	"3"	"1"	"6"	"2"	"2"	"4"	"42"	"629"	""	"629"	""
"225"	""	"167"	"249"	"5"	"48"	"90"	"2"	"0"	"0"	"0"	"0"	"3"	"1"	"1"	"0"	"7"	"406"	""	"406"	""
"226"	""	"168"	"131"	"7"	"39"	"100"	"17"	"1"	"1"	"1"	"2"	"5"	"0"	"1"	"2"	"5"	"312"	""	"312"	""
"227"	""	"Total -12"	"1870"	"145"	"1198"	"1811"	"357"	"33"	"19"	"30"	"32"	"33"	"46"	"52"	"40"	"202"	"5868"	"0"	"5868"	"0"
"228"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"230"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"232"	"Round No 13"	"169"	"113"	"5"	"35"	"274"	"23"	"5"	"2"	"4"	"4"	"6"	"5"	"10"	"11"	"17"	"514"	""	"514"	""
"233"	""	"170"	"172"	"17"	"45"	"183"	"53"	"0"	"2"	"1"	"5"	"2"	"2"	"0"	"5"	"27"	"514"	""	"514"	""
"234"	""	"171"	"158"	"12"	"22"	"133"	"46"	"6"	"0"	"2"	"2"	"3"	"4"	"0"	"2"	"7"	"397"	""	"397"	""
"235"	""	"172"	"193"	"7"	"97"	"119"	"49"	"5"	"1"	"5"	"3"	"2"	"10"	"10"	"3"	"36"	"540"	""	"540"	""
"236"	""	"173"	"88"	"28"	"262"	"59"	"21"	"2"	"2"	"1"	"1"	"0"	"5"	"14"	"7"	"19"	"509"	""	"509"	""
"237"	""	"174"	"205"	"17"	"125"	"196"	"24"	"3"	"4"	"2"	"3"	"3"	"2"	"2"	"5"	"13"	"604"	""	"604"	""
"238"	""	"175"	"344"	"12"	"39"	"181"	"37"	"8"	"6"	"0"	"0"	"1"	"1"	"2"	"4"	"8"	"643"	""	"643"	""
"239"	""	"176"	"165"	"3"	"58"	"186"	"34"	"6"	"0"	"4"	"1"	"0"	"3"	"2"	"4"	"22"	"488"	""	"488"	""
"240"	""	"177"	"241"	"37"	"39"	"230"	"33"	"3"	"2"	"2"	"1"	"1"	"3"	"4"	"6"	"11"	"613"	""	"613"	""
"241"	""	"178"	"227"	"12"	"85"	"241"	"21"	"3"	"2"	"1"	"2"	"1"	"7"	"6"	"8"	"14"	"630"	""	"630"	""
"242"	""	"179"	"338"	"8"	"55"	"104"	"4"	"3"	"1"	"0"	"0"	"0"	"3"	"0"	"8"	"12"	"536"	""	"536"	""
"243"	""	"180"	"358"	"9"	"8"	"162"	"48"	"4"	"2"	"2"	"0"	"2"	"1"	"1"	"3"	"13"	"613"	""	"613"	""
"244"	""	"181"	"121"	"2"	"350"	"24"	"5"	"1"	"1"	"0"	"1"	"1"	"0"	"18"	"5"	"13"	"542"	""	"542"	""
"245"	""	"182"	"172"	"5"	"305"	"39"	"26"	"4"	"2"	"2"	"4"	"3"	"8"	"20"	"9"	"31"	"630"	""	"630"	""
"246"	""	"Total -13"	"2895"	"174"	"1525"	"2131"	"424"	"53"	"27"	"26"	"27"	"25"	"54"	"89"	"80"	"243"	"7773"	"0"	"7773"	"0"
"247"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"249"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"251"	"Round No 14"	"183"	"218"	"5"	"15"	"96"	"11"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"1"	"5"	"355"	""	"355"	""
"252"	""	"184"	"373"	"20"	"18"	"215"	"37"	"4"	"4"	"7"	"1"	"4"	"4"	"3"	"3"	"19"	"712"	""	"712"	""
"253"	""	"185"	"122"	"9"	"88"	"209"	"27"	"3"	"1"	"8"	"2"	"6"	"14"	"5"	"14"	"16"	"524"	""	"524"	""
"254"	""	"186"	"153"	"7"	"148"	"38"	"6"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"3"	"360"	""	"360"	""
"255"	""	"187"	"31"	"4"	"326"	"32"	"17"	"2"	"2"	"0"	"0"	"1"	"2"	"0"	"1"	"1"	"419"	""	"419"	""
"256"	""	"188"	"137"	"4"	"326"	"5"	"9"	"3"	"1"	"1"	"0"	"1"	"3"	"6"	"2"	"6"	"504"	""	"504"	""
"257"	""	"189"	"158"	"8"	"217"	"99"	"30"	"6"	"3"	"0"	"7"	"2"	"4"	"6"	"7"	"34"	"581"	""	"581"	""
"258"	""	"190"	"235"	"6"	"7"	"110"	"10"	"4"	"0"	"1"	"0"	"3"	"5"	"1"	"1"	"8"	"391"	""	"391"	""
"259"	""	"191"	"165"	"2"	"30"	"87"	"5"	"4"	"0"	"1"	"1"	"0"	"3"	"0"	"2"	"20"	"320"	""	"320"	""
"260"	""	"192"	"308"	"12"	"18"	"163"	"20"	"3"	"6"	"2"	"3"	"6"	"6"	"0"	"0"	"2"	"549"	""	"549"	""
"261"	""	"193"	"285"	"4"	"8"	"77"	"8"	"1"	"3"	"5"	"0"	"3"	"2"	"1"	"5"	"4"	"406"	""	"406"	""
"262"	""	"194"	"75"	"0"	"42"	"152"	"10"	"1"	"1"	"0"	"2"	"0"	"1"	"2"	"2"	"4"	"292"	""	"292"	""
"263"	""	"195"	"444"	"17"	"18"	"64"	"29"	"6"	"5"	"9"	"5"	"1"	"3"	"3"	"6"	"14"	"624"	""	"624"	""
"264"	""	"196"	"8"	"2"	"322"	"2"	"5"	"0"	"0"	"2"	"1"	"0"	"0"	"2"	"1"	"0"	"345"	""	"345"	""
"265"	""	"Total -14"	"2712"	"100"	"1583"	"1349"	"224"	"38"	"26"	"37"	"23"	"27"	"48"	"33"	"46"	"136"	"6382"	"0"	"6382"	"0"
"266"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"268"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"270"	"Round No 15"	"197"	"48"	"2"	"146"	"146"	"18"	"3"	"0"	"0"	"1"	"3"	"3"	"4"	"3"	"0"	"377"	""	"377"	""
"271"	""	"198"	"163"	"7"	"16"	"196"	"44"	"6"	"1"	"3"	"2"	"1"	"5"	"5"	"2"	"10"	"461"	""	"461"	""
"272"	""	"199"	"136"	"4"	"26"	"221"	"33"	"3"	"0"	"2"	"3"	"0"	"3"	"1"	"1"	"12"	"445"	""	"445"	""
"273"	""	"200"	"54"	"3"	"89"	"53"	"24"	"1"	"0"	"2"	"0"	"1"	"2"	"1"	"1"	"3"	"234"	""	"234"	""
"274"	""	"201"	"33"	"4"	"109"	"359"	"64"	"6"	"3"	"6"	"2"	"4"	"21"	"13"	"7"	"15"	"646"	""	"646"	""
"275"	""	"202"	"73"	"3"	"92"	"85"	"24"	"2"	"2"	"6"	"5"	"3"	"2"	"0"	"2"	"6"	"305"	""	"305"	""
"276"	""	"203"	"151"	"3"	"11"	"182"	"38"	"6"	"5"	"6"	"2"	"5"	"10"	"5"	"15"	"21"	"460"	""	"460"	""
"277"	""	"204"	"144"	"6"	"13"	"163"	"32"	"5"	"3"	"1"	"2"	"2"	"2"	"1"	"4"	"8"	"386"	""	"386"	""
"278"	""	"205"	"261"	"3"	"9"	"159"	"21"	"5"	"2"	"2"	"4"	"1"	"3"	"0"	"4"	"12"	"486"	""	"486"	""
"279"	""	"206"	"107"	"10"	"223"	"153"	"23"	"4"	"2"	"3"	"3"	"1"	"1"	"3"	"1"	"3"	"537"	""	"537"	""
"280"	""	"207"	"128"	"1"	"344"	"8"	"10"	"0"	"3"	"0"	"0"	"1"	"2"	"3"	"1"	"5"	"506"	""	"506"	""
"281"	""	"208"	"145"	"5"	"260"	"7"	"19"	"2"	"1"	"3"	"0"	"3"	"4"	"2"	"2"	"11"	"464"	""	"464"	""
"282"	""	"209"	"86"	"9"	"233"	"144"	"31"	"4"	"2"	"2"	"6"	"3"	"0"	"2"	"5"	"3"	"530"	""	"530"	""
"283"	""	"210"	"61"	"6"	"263"	"40"	"28"	"4"	"4"	"0"	"3"	"2"	"6"	"7"	"4"	"7"	"435"	""	"435"	""
"284"	""	"Total -15"	"1590"	"66"	"1834"	"1916"	"409"	"51"	"28"	"36"	"33"	"30"	"64"	"47"	"52"	"116"	"6272"	"0"	"6272"	"0"
"285"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"287"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"289"	"Round No 16"	"211"	"15"	"1"	"91"	"2"	"7"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"4"	"122"	""	"122"	""
"290"	""	"212"	"151"	"8"	"40"	"140"	"29"	"6"	"0"	"2"	"3"	"2"	"3"	"2"	"5"	"14"	"405"	""	"405"	""
"291"	""	"213"	"230"	"16"	"83"	"173"	"37"	"4"	"4"	"5"	"6"	"3"	"6"	"3"	"1"	"8"	"579"	""	"579"	""
"292"	""	"214"	"275"	"32"	"88"	"143"	"13"	"6"	"4"	"4"	"1"	"4"	"6"	"13"	"11"	"29"	"629"	""	"629"	""
"293"	""	"215"	"26"	"3"	"155"	"199"	"21"	"3"	"0"	"0"	"1"	"0"	"6"	"5"	"4"	"10"	"433"	""	"433"	""
"294"	""	"216"	"114"	"7"	"149"	"217"	"105"	"3"	"8"	"4"	"2"	"5"	"5"	"3"	"4"	"14"	"640"	""	"640"	""
"295"	""	"217"	"37"	"4"	"52"	"127"	"31"	"2"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"263"	""	"263"	""
"296"	""	"218"	"293"	"10"	"52"	"140"	"17"	"4"	"2"	"1"	"4"	"1"	"0"	"5"	"1"	"4"	"534"	""	"534"	""
"297"	""	"219"	"107"	"10"	"78"	"120"	"15"	"1"	"0"	"1"	"1"	"3"	"4"	"3"	"1"	"7"	"351"	""	"351"	""
"298"	""	"220"	"88"	"4"	"260"	"16"	"19"	"4"	"0"	"1"	"4"	"3"	"1"	"2"	"2"	"4"	"408"	""	"408"	""
"299"	""	"221"	"80"	"5"	"56"	"144"	"47"	"5"	"3"	"3"	"2"	"4"	"2"	"2"	"4"	"6"	"363"	""	"363"	""
"300"	""	"222"	"53"	"2"	"20"	"162"	"69"	"0"	"0"	"2"	"0"	"2"	"1"	"1"	"1"	"0"	"313"	""	"313"	""
"301"	""	"223"	"55"	"3"	"50"	"267"	"30"	"2"	"3"	"3"	"2"	"3"	"1"	"0"	"1"	"7"	"427"	""	"427"	""
"302"	""	"224"	"191"	"2"	"109"	"1"	"4"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"2"	"312"	""	"312"	""
"303"	""	"Total -16"	"1715"	"107"	"1283"	"1851"	"444"	"41"	"30"	"29"	"28"	"30"	"37"	"39"	"35"	"110"	"5779"	"0"	"5779"	"0"
"304"	""	""	""	""	""	""	""	"226458
86-Keoti"	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
