"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X209967.31.Harlakhi"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"153"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"156"	"Round No 9"	"113"	"97"	"12"	"235"	"86"	"135"	"6"	"6"	"6"	"4"	"2"	"3"	"1"	"5"	"5"	"603"	""	"603"	""
"157"	""	"114"	"78"	"7"	"298"	"36"	"129"	"6"	"1"	"1"	"1"	"2"	"3"	"2"	"3"	"11"	"578"	""	"578"	""
"158"	""	"115"	"9"	"4"	"253"	"58"	"175"	"4"	"7"	"7"	"3"	"4"	"4"	"4"	"4"	"10"	"546"	""	"546"	""
"159"	""	"116"	"92"	"12"	"93"	"109"	"198"	"11"	"7"	"4"	"5"	"0"	"1"	"1"	"3"	"8"	"544"	""	"544"	""
"160"	""	"117"	"113"	"7"	"105"	"100"	"73"	"6"	"2"	"4"	"7"	"2"	"4"	"4"	"5"	"18"	"450"	""	"450"	""
"161"	""	"118"	"40"	"8"	"39"	"351"	"88"	"6"	"7"	"8"	"3"	"5"	"12"	"10"	"24"	"31"	"632"	""	"632"	""
"162"	""	"119"	"44"	"9"	"35"	"282"	"124"	"8"	"3"	"5"	"8"	"10"	"7"	"8"	"15"	"34"	"592"	""	"592"	""
"163"	""	"120"	"17"	"36"	"72"	"168"	"98"	"3"	"2"	"4"	"3"	"0"	"2"	"0"	"1"	"1"	"407"	""	"407"	""
"164"	""	"121"	"28"	"4"	"29"	"244"	"35"	"6"	"5"	"8"	"6"	"8"	"6"	"9"	"12"	"100"	"500"	""	"500"	""
"165"	""	"122"	"20"	"5"	"88"	"203"	"114"	"7"	"5"	"6"	"5"	"1"	"2"	"2"	"3"	"10"	"471"	""	"471"	""
"166"	""	"123"	"24"	"4"	"62"	"383"	"39"	"1"	"1"	"4"	"6"	"3"	"5"	"8"	"7"	"15"	"562"	""	"562"	""
"167"	""	"124"	"46"	"15"	"395"	"119"	"107"	"7"	"1"	"3"	"4"	"2"	"5"	"10"	"11"	"15"	"740"	""	"740"	""
"168"	""	"125"	"54"	"4"	"84"	"61"	"112"	"7"	"3"	"7"	"1"	"3"	"3"	"1"	"1"	"4"	"345"	""	"345"	""
"169"	""	"126"	"77"	"3"	"44"	"69"	"109"	"3"	"2"	"1"	"4"	"0"	"3"	"1"	"1"	"2"	"319"	""	"319"	""
"170"	""	"Total -9"	"739"	"130"	"1832"	"2269"	"1536"	"81"	"52"	"68"	"60"	"42"	"60"	"61"	"95"	"264"	"7289"	"0"	"7289"	"0"
"171"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"173"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"175"	"Round No 10"	"127"	"176"	"12"	"26"	"157"	"216"	"8"	"5"	"3"	"5"	"3"	"4"	"2"	"1"	"6"	"624"	""	"624"	""
"176"	""	"128"	"163"	"3"	"119"	"98"	"16"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"2"	"2"	"408"	""	"408"	""
"177"	""	"129"	"143"	"5"	"55"	"239"	"233"	"5"	"2"	"2"	"8"	"2"	"5"	"8"	"11"	"23"	"741"	""	"741"	""
"178"	""	"130"	"189"	"3"	"24"	"104"	"20"	"1"	"1"	"3"	"0"	"1"	"1"	"4"	"2"	"4"	"357"	""	"357"	""
"179"	""	"131"	"150"	"13"	"82"	"179"	"126"	"8"	"1"	"5"	"9"	"2"	"7"	"5"	"10"	"33"	"630"	""	"630"	""
"180"	""	"132"	"212"	"6"	"22"	"123"	"215"	"14"	"3"	"5"	"4"	"5"	"2"	"2"	"4"	"6"	"623"	""	"623"	""
"181"	""	"133"	"116"	"3"	"88"	"159"	"118"	"3"	"6"	"5"	"1"	"0"	"2"	"0"	"0"	"5"	"506"	""	"506"	""
"182"	""	"134"	"216"	"8"	"26"	"78"	"75"	"4"	"3"	"4"	"4"	"4"	"4"	"2"	"6"	"30"	"464"	""	"464"	""
"183"	""	"135"	"277"	"17"	"23"	"94"	"74"	"6"	"6"	"5"	"3"	"3"	"5"	"1"	"6"	"13"	"533"	""	"533"	""
"184"	""	"136"	"76"	"13"	"72"	"117"	"295"	"5"	"3"	"7"	"2"	"3"	"2"	"0"	"4"	"9"	"608"	""	"608"	""
"185"	""	"137"	"230"	"11"	"77"	"19"	"169"	"4"	"4"	"2"	"5"	"0"	"3"	"0"	"3"	"9"	"536"	""	"536"	""
"186"	""	"138"	"21"	"6"	"18"	"148"	"271"	"7"	"4"	"3"	"4"	"1"	"1"	"0"	"0"	"7"	"491"	""	"491"	""
"187"	""	"139"	"2"	"2"	"5"	"162"	"67"	"3"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"249"	""	"249"	""
"188"	""	"140"	"68"	"16"	"126"	"216"	"234"	"8"	"5"	"8"	"6"	"6"	"7"	"3"	"11"	"14"	"728"	""	"728"	""
"189"	""	"Total -10"	"2039"	"118"	"763"	"1893"	"2129"	"77"	"45"	"53"	"51"	"30"	"44"	"29"	"61"	"166"	"7498"	"0"	"7498"	"0"
"190"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"192"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"194"	"Round No 11"	"141"	"68"	"5"	"25"	"136"	"228"	"7"	"5"	"10"	"3"	"5"	"1"	"2"	"2"	"9"	"506"	""	"506"	""
"195"	""	"142"	"80"	"25"	"116"	"289"	"41"	"10"	"6"	"41"	"2"	"3"	"2"	"7"	"11"	"21"	"654"	""	"654"	""
"196"	""	"143"	"21"	"10"	"183"	"75"	"95"	"6"	"0"	"2"	"2"	"2"	"1"	"1"	"3"	"5"	"406"	""	"406"	""
"197"	""	"144"	"57"	"10"	"32"	"162"	"163"	"8"	"1"	"5"	"1"	"2"	"1"	"0"	"4"	"6"	"452"	""	"452"	""
"198"	""	"145"	"316"	"17"	"19"	"88"	"129"	"9"	"4"	"14"	"5"	"3"	"8"	"6"	"10"	"16"	"644"	""	"644"	""
"199"	""	"146"	"42"	"7"	"171"	"128"	"105"	"2"	"5"	"4"	"2"	"2"	"2"	"4"	"5"	"14"	"493"	""	"493"	""
"200"	""	"147"	"88"	"9"	"108"	"163"	"151"	"2"	"1"	"13"	"7"	"5"	"2"	"3"	"7"	"20"	"579"	""	"579"	""
"201"	""	"148"	"4"	"1"	"78"	"120"	"93"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"6"	"309"	""	"309"	""
"202"	""	"149"	"11"	"7"	"30"	"154"	"217"	"11"	"5"	"7"	"6"	"3"	"9"	"2"	"4"	"24"	"490"	""	"490"	""
"203"	""	"150"	"35"	"4"	"13"	"64"	"427"	"27"	"7"	"7"	"10"	"17"	"8"	"9"	"14"	"49"	"691"	""	"691"	""
"204"	""	"151"	"17"	"6"	"19"	"135"	"299"	"10"	"1"	"4"	"1"	"0"	"2"	"4"	"1"	"3"	"502"	""	"502"	""
"205"	""	"152"	"56"	"7"	"43"	"153"	"286"	"8"	"9"	"7"	"8"	"7"	"9"	"2"	"13"	"38"	"646"	""	"646"	""
"206"	""	"153"	"80"	"4"	"324"	"28"	"16"	"3"	"0"	"2"	"2"	"3"	"6"	"5"	"4"	"25"	"502"	""	"502"	""
"207"	""	"154"	"7"	"2"	"13"	"152"	"16"	"1"	"1"	"2"	"5"	"2"	"0"	"2"	"3"	"8"	"214"	""	"214"	""
"208"	""	"Total -11"	"882"	"114"	"1174"	"1847"	"2266"	"106"	"48"	"120"	"54"	"54"	"51"	"47"	"81"	"244"	"7088"	"0"	"7088"	"0"
"209"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"213"	"Round No 12"	"155"	"26"	"4"	"121"	"274"	"68"	"8"	"5"	"7"	"1"	"2"	"7"	"2"	"1"	"16"	"542"	""	"542"	""
"214"	""	"156"	"7"	"9"	"55"	"295"	"114"	"8"	"5"	"7"	"4"	"5"	"1"	"2"	"12"	"14"	"538"	""	"538"	""
"215"	""	"157"	"27"	"3"	"46"	"111"	"152"	"8"	"3"	"8"	"3"	"7"	"5"	"5"	"10"	"9"	"397"	""	"397"	""
"216"	""	"158"	"14"	"0"	"50"	"184"	"139"	"1"	"2"	"5"	"6"	"5"	"4"	"3"	"5"	"19"	"437"	""	"437"	""
"217"	""	"159"	"28"	"5"	"48"	"246"	"69"	"5"	"6"	"5"	"6"	"2"	"3"	"1"	"6"	"18"	"448"	""	"448"	""
"218"	""	"160"	"128"	"14"	"126"	"280"	"69"	"9"	"8"	"10"	"3"	"4"	"4"	"5"	"4"	"12"	"676"	""	"676"	""
"219"	""	"161"	"36"	"1"	"195"	"135"	"110"	"6"	"8"	"7"	"3"	"5"	"2"	"2"	"6"	"10"	"526"	""	"526"	""
"220"	""	"162"	"29"	"16"	"102"	"241"	"133"	"6"	"1"	"5"	"1"	"1"	"0"	"0"	"2"	"4"	"541"	""	"541"	""
"221"	""	"163"	"306"	"9"	"38"	"160"	"11"	"3"	"1"	"47"	"1"	"1"	"4"	"4"	"10"	"8"	"603"	""	"603"	""
"222"	""	"164"	"53"	"3"	"10"	"156"	"28"	"3"	"1"	"2"	"1"	"3"	"6"	"0"	"3"	"6"	"275"	""	"275"	""
"223"	""	"165"	"44"	"4"	"12"	"288"	"25"	"1"	"6"	"7"	"3"	"2"	"10"	"6"	"13"	"13"	"434"	""	"434"	""
"224"	""	"166"	"120"	"7"	"14"	"132"	"19"	"6"	"11"	"208"	"4"	"2"	"9"	"3"	"13"	"11"	"559"	""	"559"	""
"225"	""	"167"	"127"	"10"	"99"	"125"	"42"	"1"	"1"	"1"	"3"	"1"	"3"	"4"	"7"	"6"	"430"	""	"430"	""
"226"	""	"168"	"13"	"23"	"113"	"225"	"49"	"1"	"1"	"1"	"1"	"0"	"0"	"3"	"5"	"9"	"444"	""	"444"	""
"227"	""	"Total -12"	"958"	"108"	"1029"	"2852"	"1028"	"66"	"59"	"320"	"40"	"40"	"58"	"40"	"97"	"155"	"6850"	"0"	"6850"	"0"
"228"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"230"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"232"	"Round No 13"	"169"	"84"	"14"	"46"	"149"	"50"	"4"	"2"	"4"	"4"	"4"	"2"	"2"	"1"	"5"	"371"	""	"371"	""
"233"	""	"170"	"16"	"58"	"79"	"165"	"17"	"1"	"2"	"3"	"0"	"3"	"9"	"4"	"2"	"8"	"367"	""	"367"	""
"234"	""	"171"	"3"	"14"	"72"	"163"	"23"	"0"	"1"	"2"	"2"	"0"	"2"	"4"	"4"	"5"	"295"	""	"295"	""
"235"	""	"172"	"155"	"5"	"7"	"142"	"32"	"2"	"1"	"7"	"4"	"3"	"5"	"5"	"11"	"30"	"409"	""	"409"	""
"236"	""	"173"	"312"	"22"	"27"	"106"	"24"	"5"	"3"	"4"	"4"	"1"	"4"	"4"	"5"	"14"	"535"	""	"535"	""
"237"	""	"174"	"23"	"1"	"115"	"9"	"14"	"1"	"2"	"0"	"1"	"2"	"0"	"1"	"1"	"3"	"173"	""	"173"	""
"238"	""	"175"	"270"	"13"	"47"	"45"	"5"	"1"	"2"	"2"	"1"	"3"	"6"	"2"	"3"	"24"	"424"	""	"424"	""
"239"	""	"176"	"89"	"19"	"122"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"253"	""	"253"	""
"240"	""	"177"	"57"	"7"	"127"	"10"	"7"	"1"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"214"	""	"214"	""
"241"	""	"178"	"365"	"1"	"173"	"37"	"9"	"3"	"0"	"2"	"3"	"0"	"1"	"3"	"2"	"6"	"605"	""	"605"	""
"242"	""	"179"	"232"	"4"	"48"	"73"	"25"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"7"	"394"	""	"394"	""
"243"	""	"180"	"135"	"5"	"85"	"7"	"17"	"1"	"0"	"1"	"1"	"3"	"0"	"0"	"0"	"5"	"260"	""	"260"	""
"244"	""	"181"	"48"	"3"	"30"	"195"	"92"	"3"	"1"	"1"	"0"	"2"	"4"	"3"	"6"	"9"	"397"	""	"397"	""
"245"	""	"182"	"71"	"1"	"19"	"188"	"78"	"6"	"0"	"3"	"3"	"1"	"4"	"4"	"8"	"21"	"407"	""	"407"	""
"246"	""	"Total -13"	"1860"	"167"	"997"	"1308"	"393"	"29"	"15"	"29"	"24"	"23"	"38"	"34"	"44"	"143"	"5104"	"0"	"5104"	"0"
"247"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"249"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"251"	"Round No 14"	"183"	"75"	"10"	"13"	"559"	"69"	"7"	"5"	"5"	"2"	"1"	"3"	"3"	"9"	"13"	"774"	""	"774"	""
"252"	""	"184"	"154"	"6"	"87"	"100"	"15"	"1"	"1"	"1"	"1"	"0"	"2"	"3"	"0"	"5"	"376"	""	"376"	""
"253"	""	"185"	"142"	"9"	"138"	"115"	"47"	"4"	"3"	"4"	"6"	"2"	"5"	"1"	"9"	"13"	"498"	""	"498"	""
"254"	""	"186"	"95"	"4"	"99"	"250"	"11"	"1"	"0"	"1"	"0"	"0"	"4"	"0"	"8"	"3"	"476"	""	"476"	""
"255"	""	"187"	"46"	"0"	"27"	"310"	"65"	"3"	"0"	"1"	"1"	"1"	"3"	"2"	"2"	"5"	"466"	""	"466"	""
"256"	""	"188"	"181"	"28"	"41"	"132"	"34"	"3"	"3"	"3"	"3"	"3"	"7"	"5"	"2"	"5"	"450"	""	"450"	""
"257"	""	"189"	"209"	"5"	"30"	"64"	"48"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"2"	"6"	"373"	""	"373"	""
"258"	""	"190"	"147"	"5"	"16"	"94"	"26"	"1"	"2"	"1"	"2"	"2"	"1"	"0"	"0"	"3"	"300"	""	"300"	""
"259"	""	"191"	"23"	"15"	"58"	"35"	"193"	"4"	"0"	"0"	"3"	"5"	"0"	"0"	"1"	"4"	"341"	""	"341"	""
"260"	""	"192"	"172"	"5"	"45"	"26"	"73"	"5"	"3"	"6"	"0"	"0"	"1"	"4"	"2"	"5"	"347"	""	"347"	""
"261"	""	"193"	"65"	"16"	"53"	"155"	"53"	"6"	"2"	"2"	"3"	"4"	"6"	"5"	"4"	"22"	"396"	""	"396"	""
"262"	""	"194"	"222"	"2"	"23"	"102"	"87"	"4"	"2"	"4"	"3"	"3"	"3"	"6"	"10"	"34"	"505"	""	"505"	""
"263"	""	"195"	"22"	"1"	"185"	"110"	"40"	"4"	"2"	"3"	"1"	"2"	"3"	"3"	"1"	"8"	"385"	""	"385"	""
"264"	""	"196"	"16"	"31"	"194"	"163"	"135"	"1"	"1"	"3"	"8"	"2"	"4"	"2"	"3"	"13"	"576"	""	"576"	""
"265"	""	"Total -14"	"1569"	"137"	"1009"	"2215"	"896"	"45"	"25"	"36"	"34"	"26"	"44"	"35"	"53"	"139"	"6263"	"0"	"6263"	"0"
"266"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"268"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"270"	"Round No 15"	"197"	"3"	"0"	"61"	"207"	"58"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"339"	""	"339"	""
"271"	""	"198"	"6"	"0"	"85"	"181"	"11"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"3"	"291"	""	"291"	""
"272"	""	"199"	"68"	"4"	"154"	"353"	"32"	"2"	"3"	"5"	"4"	"5"	"7"	"5"	"11"	"9"	"662"	""	"662"	""
"273"	""	"200"	"40"	"14"	"36"	"225"	"25"	"5"	"1"	"8"	"1"	"0"	"2"	"2"	"4"	"1"	"364"	""	"364"	""
"274"	""	"201"	"75"	"10"	"69"	"174"	"15"	"0"	"2"	"4"	"2"	"0"	"1"	"0"	"0"	"2"	"354"	""	"354"	""
"275"	""	"202"	"53"	"7"	"242"	"104"	"26"	"0"	"1"	"0"	"3"	"1"	"0"	"1"	"0"	"1"	"439"	""	"439"	""
"276"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"277"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	""	"Total -15"	"245"	"35"	"647"	"1244"	"167"	"11"	"9"	"19"	"11"	"6"	"10"	"8"	"19"	"18"	"2449"	"0"	"2449"	"0"
"285"	""	""	""	""	""	""	""	"209967
31-Harlakhi"	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"287"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"289"	"Final"	"Total No. of votes recorded at Polling stations"	"18381"	"1893"	"17250"	"32254"	"16393"	"920"	"566"	"1074"	"581"	"471"	"686"	"583"	"949"	"2774"	"94775"	"0"	"94775"	"0"
"290"	""	"No. of Votes recorded on postal ballot papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"291"	""	"TOTAL VOTES POLLED"	"18381"	"1893"	"17250"	"32254"	"16393"	"920"	"566"	"1074"	"581"	"471"	"686"	"583"	"949"	"2774"	"94775"	"0"	"94775"	"0"
