"Name.of.the.Assembly.Constituency....169..Sheikhpura.................................................................................................................No.of.Voters....200380"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"149"	"95"	"93"	"9"	"7"	"247"	"111"	"10"	"1"	"1"	"2"	"1"	"59"	"3"	"23"	"4"	"3"	"15"	"7"	"5"	"24"	"625"	""	"625"	""
"150"	"96"	"26"	"8"	"5"	"128"	"24"	"2"	"1"	"1"	"3"	"1"	"31"	"2"	"11"	"0"	"1"	"21"	"7"	"1"	"6"	"279"	""	"279"	""
"151"	"97"	"61"	"4"	"2"	"304"	"2"	"4"	"0"	"1"	"1"	"0"	"14"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"3"	"400"	""	"400"	""
"152"	"98"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"153"	"99"	"1"	"0"	"0"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"16"	""	"16"	""
"154"	"100"	"23"	"118"	"5"	"199"	"55"	"0"	"3"	"2"	"9"	"3"	"38"	"5"	"18"	"4"	"8"	"11"	"1"	"0"	"3"	"505"	""	"505"	""
"155"	"101"	"4"	"24"	"3"	"11"	"79"	"2"	"2"	"0"	"1"	"3"	"9"	"0"	"1"	"1"	"3"	"2"	"2"	"3"	"0"	"150"	""	"150"	""
"156"	"102"	"37"	"37"	"4"	"178"	"45"	"10"	"3"	"20"	"4"	"4"	"31"	"4"	"8"	"2"	"0"	"3"	"3"	"1"	"1"	"395"	""	"395"	""
"157"	"103"	"11"	"13"	"2"	"143"	"13"	"5"	"4"	"3"	"0"	"3"	"24"	"9"	"18"	"1"	"3"	"11"	"0"	"0"	"0"	"263"	""	"263"	""
"158"	"104"	"32"	"4"	"2"	"114"	"156"	"8"	"1"	"3"	"0"	"0"	"30"	"1"	"2"	"0"	"0"	"4"	"1"	"0"	"3"	"361"	""	"361"	""
"159"	"105"	"44"	"7"	"2"	"284"	"4"	"12"	"3"	"2"	"2"	"8"	"56"	"0"	"7"	"2"	"4"	"4"	"1"	"1"	"8"	"451"	""	"451"	""
"160"	"106"	"20"	"4"	"0"	"114"	"33"	"4"	"0"	"1"	"0"	"1"	"19"	"1"	"5"	"0"	"1"	"1"	"3"	"3"	"2"	"212"	""	"212"	""
"161"	"107"	"22"	"19"	"45"	"280"	"49"	"9"	"2"	"1"	"1"	"7"	"61"	"9"	"22"	"6"	"2"	"26"	"1"	"1"	"1"	"564"	""	"564"	""
"162"	"108"	"36"	"11"	"0"	"34"	"12"	"4"	"0"	"2"	"3"	"4"	"37"	"1"	"7"	"2"	"1"	"5"	"0"	"1"	"1"	"161"	""	"161"	""
"163"	"109"	"104"	"6"	"2"	"135"	"149"	"11"	"3"	"11"	"3"	"5"	"39"	"8"	"14"	"2"	"1"	"7"	"1"	"0"	"1"	"502"	""	"502"	""
"164"	"110"	"134"	"21"	"5"	"148"	"107"	"6"	"2"	"6"	"3"	"5"	"23"	"4"	"2"	"2"	"2"	"6"	"3"	"5"	"1"	"485"	""	"485"	""
"165"	"Name of the Assembly Constituency :- 169- Sheikhpura                                                                                                                 No of Voters :- 200380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"166"	"Candidate"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"167"	"s"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"168"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"169"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"170"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"171"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"175"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"176"	"111"	"24"	"53"	"4"	"208"	"17"	"6"	"1"	"8"	"5"	"0"	"36"	"2"	"4"	"1"	"1"	"5"	"1"	"1"	"2"	"379"	""	"379"	""
"177"	"112"	"18"	"5"	"19"	"38"	"230"	"6"	"6"	"1"	"1"	"1"	"13"	"5"	"4"	"3"	"5"	"13"	"9"	"0"	"1"	"378"	""	"378"	""
"178"	"113"	"50"	"3"	"1"	"89"	"6"	"4"	"1"	"0"	"0"	"0"	"15"	"0"	"4"	"1"	"3"	"8"	"1"	"2"	"0"	"188"	""	"188"	""
"179"	"114"	"85"	"105"	"24"	"173"	"75"	"6"	"6"	"17"	"3"	"6"	"42"	"16"	"15"	"24"	"6"	"19"	"2"	"4"	"2"	"630"	""	"630"	""
"180"	"115"	"46"	"9"	"1"	"7"	"12"	"1"	"0"	"0"	"0"	"0"	"12"	"0"	"5"	"8"	"2"	"3"	"1"	"1"	"0"	"108"	""	"108"	""
"181"	"116"	"38"	"12"	"45"	"1"	"120"	"2"	"2"	"3"	"2"	"0"	"5"	"1"	"0"	"3"	"1"	"7"	"2"	"0"	"1"	"245"	""	"245"	""
"182"	"117"	"30"	"3"	"1"	"74"	"9"	"5"	"1"	"1"	"0"	"2"	"40"	"0"	"2"	"15"	"2"	"1"	"2"	"2"	"1"	"191"	""	"191"	""
"183"	"118"	"111"	"59"	"21"	"175"	"45"	"4"	"2"	"3"	"5"	"2"	"36"	"9"	"18"	"23"	"4"	"28"	"7"	"2"	"8"	"562"	""	"562"	""
"184"	"119"	"32"	"36"	"7"	"39"	"12"	"4"	"3"	"5"	"1"	"0"	"18"	"3"	"2"	"3"	"2"	"9"	"7"	"1"	"2"	"186"	""	"186"	""
"185"	"120"	"66"	"12"	"4"	"251"	"123"	"8"	"4"	"1"	"3"	"5"	"55"	"6"	"24"	"7"	"3"	"13"	"2"	"0"	"4"	"591"	""	"591"	""
"186"	"121"	"93"	"23"	"19"	"325"	"63"	"4"	"3"	"3"	"3"	"3"	"38"	"3"	"5"	"2"	"6"	"6"	"2"	"2"	"0"	"603"	""	"603"	""
"187"	"122"	"51"	"7"	"9"	"296"	"70"	"3"	"2"	"4"	"7"	"6"	"58"	"12"	"17"	"3"	"3"	"17"	"1"	"2"	"2"	"570"	""	"570"	""
"188"	"123"	"78"	"11"	"2"	"395"	"24"	"6"	"2"	"2"	"5"	"2"	"39"	"4"	"17"	"1"	"3"	"5"	"2"	"0"	"2"	"600"	""	"600"	""
"189"	"124"	"107"	"16"	"2"	"179"	"209"	"5"	"5"	"33"	"2"	"2"	"46"	"14"	"22"	"5"	"4"	"30"	"6"	"3"	"1"	"691"	""	"691"	""
"190"	"125"	"72"	"1"	"2"	"3"	"137"	"3"	"0"	"0"	"1"	"1"	"2"	"4"	"0"	"1"	"1"	"7"	"1"	"0"	"1"	"237"	""	"237"	""
"191"	"126"	"78"	"11"	"3"	"89"	"40"	"5"	"3"	"91"	"1"	"2"	"30"	"4"	"2"	"0"	"1"	"6"	"1"	"0"	"0"	"367"	""	"367"	""
"192"	"127"	"26"	"2"	"5"	"197"	"17"	"7"	"4"	"101"	"4"	"2"	"64"	"2"	"18"	"4"	"1"	"11"	"2"	"3"	"7"	"477"	""	"477"	""
"193"	"128"	"171"	"53"	"7"	"187"	"37"	"7"	"2"	"12"	"7"	"3"	"64"	"6"	"9"	"3"	"1"	"5"	"6"	"1"	"1"	"582"	""	"582"	""
"194"	"129"	"21"	"4"	"5"	"142"	"53"	"6"	"1"	"36"	"2"	"3"	"31"	"5"	"2"	"3"	"4"	"6"	"3"	"0"	"2"	"329"	""	"329"	""
"195"	"130"	"43"	"39"	"10"	"202"	"85"	"9"	"4"	"28"	"6"	"0"	"55"	"11"	"42"	"6"	"9"	"16"	"2"	"9"	"5"	"581"	""	"581"	""
"196"	"131"	"44"	"46"	"2"	"95"	"77"	"5"	"2"	"2"	"9"	"4"	"30"	"8"	"20"	"4"	"3"	"13"	"1"	"0"	"4"	"369"	""	"369"	""
"197"	"132"	"171"	"76"	"11"	"187"	"41"	"3"	"2"	"2"	"4"	"1"	"26"	"2"	"4"	"3"	"2"	"2"	"6"	"1"	"2"	"546"	""	"546"	""
"198"	"Name of the Assembly Constituency :- 169- Sheikhpura                                                                                                                 No of Voters :- 200380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Candidate"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"200"	"s"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"202"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"204"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"205"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"206"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"207"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"208"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"209"	"133"	"111"	"80"	"21"	"85"	"182"	"3"	"4"	"2"	"2"	"0"	"43"	"2"	"4"	"2"	"6"	"13"	"2"	"0"	"1"	"563"	""	"563"	""
"210"	"134"	"149"	"23"	"7"	"28"	"80"	"4"	"6"	"15"	"7"	"6"	"30"	"3"	"4"	"5"	"2"	"15"	"4"	"0"	"3"	"391"	""	"391"	""
"211"	"135"	"17"	"3"	"2"	"120"	"120"	"5"	"0"	"2"	"0"	"1"	"22"	"1"	"7"	"0"	"0"	"2"	"5"	"3"	"4"	"314"	""	"314"	""
"212"	"136"	"17"	"2"	"4"	"72"	"19"	"4"	"1"	"3"	"3"	"2"	"26"	"5"	"22"	"7"	"1"	"8"	"4"	"0"	"5"	"205"	""	"205"	""
"213"	"137"	"110"	"16"	"0"	"22"	"131"	"3"	"1"	"0"	"1"	"5"	"10"	"2"	"1"	"2"	"1"	"3"	"3"	"1"	"2"	"314"	""	"314"	""
"214"	"137"	"69"	"30"	"3"	"99"	"30"	"4"	"3"	"2"	"3"	"1"	"46"	"3"	"16"	"1"	"3"	"9"	"3"	"1"	"2"	"328"	""	"328"	""
"215"	"138"	"7"	"3"	"1"	"177"	"60"	"8"	"0"	"0"	"0"	"1"	"43"	"4"	"3"	"0"	"1"	"2"	"0"	"0"	"0"	"310"	""	"310"	""
"216"	"139"	"145"	"20"	"5"	"290"	"19"	"11"	"1"	"1"	"0"	"0"	"50"	"1"	"2"	"0"	"2"	"6"	"7"	"1"	"5"	"566"	""	"566"	""
"217"	"140"	"10"	"3"	"3"	"157"	"6"	"4"	"0"	"5"	"0"	"1"	"15"	"1"	"10"	"1"	"2"	"12"	"0"	"1"	"0"	"231"	""	"231"	""
"218"	"141"	"4"	"8"	"13"	"85"	"39"	"3"	"2"	"0"	"1"	"1"	"14"	"1"	"3"	"1"	"0"	"1"	"1"	"0"	"2"	"179"	""	"179"	""
"219"	"142"	"9"	"1"	"2"	"211"	"8"	"5"	"0"	"2"	"1"	"1"	"22"	"3"	"9"	"1"	"1"	"6"	"2"	"1"	"3"	"288"	""	"288"	""
"220"	"143"	"15"	"16"	"58"	"85"	"10"	"7"	"1"	"3"	"3"	"7"	"60"	"2"	"2"	"2"	"2"	"8"	"11"	"4"	"6"	"302"	""	"302"	""
"221"	"144"	"35"	"17"	"6"	"83"	"19"	"13"	"1"	"1"	"2"	"3"	"48"	"10"	"0"	"6"	"1"	"4"	"5"	"3"	"12"	"269"	""	"269"	""
"222"	"145"	"3"	"4"	"3"	"109"	"10"	"5"	"0"	"1"	"1"	"2"	"31"	"1"	"4"	"1"	"1"	"2"	"1"	"0"	"0"	"179"	""	"179"	""
"223"	"146"	"42"	"2"	"1"	"46"	"1"	"2"	"2"	"0"	"0"	"2"	"20"	"2"	"0"	"1"	"0"	"3"	"1"	"0"	"1"	"126"	""	"126"	""
"224"	"147"	"140"	"40"	"9"	"290"	"56"	"10"	"4"	"3"	"1"	"2"	"48"	"3"	"14"	"1"	"4"	"9"	"2"	"1"	"4"	"641"	""	"641"	""
"225"	"148"	"51"	"21"	"7"	"116"	"18"	"4"	"1"	"0"	"1"	"2"	"27"	"2"	"3"	"2"	"0"	"1"	"3"	"0"	"3"	"262"	""	"262"	""
"226"	"149"	"127"	"30"	"4"	"38"	"58"	"3"	"0"	"0"	"2"	"2"	"44"	"1"	"7"	"3"	"3"	"4"	"2"	"2"	"5"	"335"	""	"335"	""
"227"	"150"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"228"	"151"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	""
"229"	"152"	"4"	"2"	"5"	"29"	"256"	"2"	"0"	"1"	"1"	"3"	"12"	"2"	"2"	"1"	"1"	"5"	"0"	"1"	"1"	"328"	""	"328"	""
"230"	"153"	"23"	"9"	"4"	"120"	"163"	"10"	"7"	"13"	"3"	"5"	"38"	"5"	"16"	"0"	"2"	"4"	"3"	"1"	"1"	"427"	""	"427"	""
"231"	"Name of the Assembly Constituency :- 169- Sheikhpura                                                                                                                 No of Voters :- 200380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Candidate"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"233"	"s"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"235"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"242"	"154"	"7"	"1"	"4"	"143"	"65"	"5"	"1"	"2"	"0"	"1"	"47"	"2"	"8"	"2"	"1"	"3"	"1"	"0"	"0"	"293"	""	"293"	""
"243"	"155"	"29"	"3"	"2"	"81"	"32"	"6"	"0"	"3"	"2"	"2"	"57"	"4"	"5"	"4"	"0"	"5"	"11"	"3"	"8"	"257"	""	"257"	""
"244"	"156"	"14"	"1"	"1"	"9"	"252"	"2"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"286"	""	"286"	""
"245"	"157"	"62"	"15"	"16"	"108"	"66"	"2"	"1"	"5"	"0"	"0"	"8"	"2"	"5"	"0"	"1"	"4"	"2"	"2"	"1"	"300"	""	"300"	""
"246"	"158"	"80"	"13"	"3"	"209"	"132"	"6"	"0"	"1"	"0"	"2"	"49"	"5"	"12"	"2"	"0"	"3"	"6"	"0"	"2"	"525"	""	"525"	""
"247"	"159"	"72"	"29"	"9"	"198"	"44"	"13"	"3"	"1"	"2"	"4"	"83"	"4"	"4"	"1"	"7"	"6"	"1"	"3"	"0"	"484"	""	"484"	""
"248"	"160"	"124"	"12"	"6"	"75"	"47"	"8"	"1"	"0"	"1"	"1"	"17"	"6"	"4"	"0"	"4"	"14"	"5"	"3"	"6"	"334"	""	"334"	""
"249"	"161"	"56"	"10"	"12"	"17"	"54"	"2"	"0"	"1"	"0"	"0"	"7"	"0"	"3"	"2"	"0"	"2"	"9"	"1"	"2"	"178"	""	"178"	""
"250"	"162"	"59"	"5"	"5"	"220"	"54"	"14"	"3"	"7"	"6"	"2"	"31"	"5"	"5"	"1"	"0"	"4"	"4"	"1"	"4"	"430"	""	"430"	""
"251"	"163"	"17"	"7"	"5"	"46"	"130"	"3"	"1"	"1"	"1"	"0"	"7"	"2"	"3"	"1"	"1"	"1"	"4"	"3"	"3"	"236"	""	"236"	""
"252"	"164"	"50"	"8"	"5"	"11"	"432"	"8"	"2"	"1"	"1"	"1"	"8"	"4"	"4"	"4"	"1"	"9"	"0"	"1"	"1"	"551"	""	"551"	""
"253"	"165"	"139"	"10"	"4"	"39"	"236"	"11"	"5"	"5"	"5"	"3"	"28"	"7"	"1"	"1"	"0"	"4"	"13"	"1"	"2"	"514"	""	"514"	""
"254"	"166"	"60"	"10"	"1"	"58"	"32"	"2"	"0"	"3"	"0"	"2"	"25"	"1"	"3"	"2"	"2"	"6"	"2"	"0"	"0"	"209"	""	"209"	""
"255"	"167"	"9"	"2"	"1"	"47"	"58"	"4"	"1"	"0"	"0"	"0"	"20"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"145"	""	"145"	""
"256"	"168"	"6"	"3"	"3"	"162"	"103"	"7"	"1"	"0"	"4"	"3"	"50"	"7"	"18"	"2"	"7"	"14"	"5"	"2"	"7"	"404"	""	"404"	""
"257"	"169"	"81"	"8"	"3"	"306"	"29"	"6"	"0"	"0"	"0"	"1"	"85"	"1"	"9"	"1"	"1"	"7"	"4"	"2"	"5"	"549"	""	"549"	""
"258"	"170"	"125"	"16"	"2"	"60"	"14"	"2"	"2"	"1"	"1"	"0"	"28"	"2"	"4"	"0"	"0"	"3"	"2"	"0"	"0"	"262"	""	"262"	""
"259"	"171"	"58"	"18"	"2"	"222"	"157"	"12"	"2"	"2"	"0"	"1"	"76"	"2"	"4"	"2"	"1"	"2"	"0"	"2"	"3"	"566"	""	"566"	""
"260"	"172"	"5"	"4"	"3"	"279"	"10"	"4"	"0"	"0"	"1"	"0"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"318"	""	"318"	""
"261"	"173"	"40"	"2"	"4"	"207"	"27"	"7"	"2"	"8"	"5"	"2"	"89"	"4"	"12"	"1"	"1"	"7"	"2"	"1"	"5"	"426"	""	"426"	""
"262"	"174"	"159"	"12"	"9"	"83"	"35"	"6"	"3"	"0"	"1"	"0"	"17"	"1"	"1"	"1"	"2"	"10"	"2"	"1"	"2"	"345"	""	"345"	""
"263"	"175"	"53"	"7"	"0"	"83"	"138"	"3"	"2"	"2"	"1"	"2"	"23"	"4"	"4"	"1"	"1"	"2"	"3"	"1"	"0"	"330"	""	"330"	""
"264"	"Name of the Assembly Constituency :- 169- Sheikhpura                                                                                                                 No of Voters :- 200380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Candidate"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered votes"
"266"	"s"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	""	"Ashok Choudhary"	"Gajadhar Rajak"	"Bhagwan Das"	"Bhudeo Choudhary"	"Shyam Rajak"	"Arjun Manjhi"	"Upendra Ravidas"	"Om Prakash Paswan"	"Gulab Chandra Paswan"	"Nundeo  Manjhi"	"Prasadi Paswan"	"Subhash Paswan"	"Kapildeo Das"	"Jay Sekhar Manjhi"	"Pappu Rajak"	"Yogendra Paswan"	"Vijay Paswan"	"Bilakshan Rabidas"	"Saryug  Paswan"	""	""	""	""
"268"	"Name"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"-------->"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"BOTH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"271"	"NO"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"272"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"|"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"274"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"	"22"	"23"	"24"
"275"	"176"	"74"	"4"	"3"	"26"	"137"	"4"	"4"	"5"	"1"	"3"	"16"	"4"	"6"	"1"	"3"	"4"	"9"	"2"	"6"	"312"	""	"312"	""
"276"	"177"	"50"	"8"	"4"	"161"	"74"	"5"	"2"	"1"	"4"	"1"	"80"	"9"	"7"	"2"	"2"	"24"	"2"	"4"	"2"	"442"	""	"442"	""
"277"	"178"	"28"	"2"	"4"	"39"	"39"	"3"	"2"	"0"	"1"	"2"	"12"	"0"	"4"	"1"	"1"	"9"	"1"	"0"	"5"	"153"	""	"153"	""
"278"	"179"	"105"	"15"	"0"	"176"	"95"	"8"	"2"	"0"	"0"	"1"	"38"	"3"	"6"	"2"	"4"	"0"	"0"	"1"	"2"	"458"	""	"458"	""
"279"	"180"	"95"	"12"	"28"	"116"	"81"	"10"	"3"	"7"	"2"	"5"	"93"	"5"	"8"	"4"	"6"	"16"	"25"	"4"	"15"	"535"	""	"535"	""
"280"	"181"	"36"	"124"	"1"	"150"	"60"	"5"	"1"	"3"	"3"	"1"	"13"	"1"	"13"	"0"	"1"	"2"	"10"	"11"	"19"	"454"	""	"454"	""
"281"	"182"	"122"	"126"	"1"	"132"	"3"	"1"	"2"	"1"	"1"	"2"	"20"	"0"	"5"	"0"	"2"	"6"	"2"	"0"	"1"	"427"	""	"427"	""
"282"	"183"	"37"	"4"	"2"	"63"	"87"	"6"	"3"	"0"	"3"	"0"	"26"	"2"	"1"	"2"	"0"	"4"	"2"	"0"	"0"	"242"	""	"242"	""
"283"	"184"	"123"	"16"	"2"	"186"	"16"	"1"	"1"	"0"	"0"	"0"	"11"	"1"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"360"	""	"360"	""
"284"	"185"	"10"	"1"	"0"	"8"	"248"	"4"	"1"	"0"	"1"	"1"	"0"	"2"	"2"	"2"	"2"	"4"	"1"	"1"	"0"	"288"	""	"288"	""
"285"	"186"	"18"	"1"	"10"	"24"	"250"	"10"	"2"	"0"	"2"	"4"	"9"	"2"	"1"	"1"	"1"	"5"	"1"	"0"	"0"	"341"	""	"341"	""
"286"	"187"	"7"	"2"	"0"	"10"	"157"	"7"	"1"	"0"	"0"	"1"	"8"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"194"	""	"194"	""
"287"	"188"	"117"	"135"	"7"	"140"	"5"	"2"	"1"	"2"	"4"	"0"	"34"	"2"	"6"	"1"	"1"	"6"	"3"	"2"	"2"	"470"	""	"470"	""
"288"	"189"	"127"	"32"	"3"	"188"	"31"	"0"	"1"	"1"	"3"	"0"	"20"	"2"	"10"	"2"	"2"	"7"	"3"	"3"	"4"	"439"	""	"439"	""
"289"	"190"	"48"	"21"	"6"	"16"	"351"	"7"	"3"	"1"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"459"	""	"459"	""
"290"	"191"	"26"	"22"	"4"	"7"	"114"	"7"	"4"	"1"	"0"	"1"	"6"	"1"	"0"	"5"	"2"	"3"	"2"	"0"	"0"	"205"	""	"205"	""
"291"	"192"	"88"	"7"	"0"	"167"	"29"	"1"	"3"	"1"	"0"	"0"	"28"	"1"	"4"	"1"	"2"	"4"	"3"	"1"	"0"	"340"	""	"340"	""
"292"	"193"	"21"	"5"	"7"	"206"	"111"	"13"	"3"	"1"	"3"	"2"	"37"	"5"	"11"	"1"	"5"	"12"	"9"	"4"	"6"	"462"	""	"462"	""
"293"	"194"	"22"	"53"	"5"	"239"	"83"	"4"	"4"	"4"	"3"	"0"	"29"	"4"	"10"	"1"	"1"	"4"	"4"	"2"	"1"	"473"	""	"473"	""
"294"	"195"	"42"	"24"	"1"	"114"	"12"	"5"	"0"	"0"	"4"	"1"	"8"	"2"	"1"	"1"	"0"	"2"	"4"	"0"	"1"	"222"	""	"222"	""
"295"	"196"	"10"	"85"	"15"	"170"	"53"	"8"	"2"	"6"	"8"	"1"	"33"	"2"	"4"	"3"	"2"	"2"	"1"	"0"	"1"	"406"	""	"406"	""
"296"	"197"	"9"	"58"	"21"	"91"	"62"	"3"	"2"	"5"	"0"	"1"	"20"	"3"	"5"	"3"	"3"	"12"	"0"	"4"	"3"	"305"	""	"305"	""
"297"	"Name of the Assembly Constituency :- 169- Sheikhpura                                                                                                                 No of Voters :- 200380"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
