"TOTAL.NO.OF.ELECTORS.IN.96.BARURAJ.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"200"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"201"	181	"309"	"142"	"8"	"25"	"1"	"4"	"5"	"3"	"2"	"5"	"4"	"13"	"521"	""	""	""
"202"	182	"94"	"94"	"3"	"29"	"5"	"1"	"1"	"1"	"4"	"5"	"7"	"4"	"248"	""	""	""
"203"	183	"204"	"162"	"13"	"66"	"5"	"3"	"4"	"4"	"4"	"14"	"8"	"40"	"527"	""	""	""
"204"	184	"97"	"35"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"138"	""	""	""
"205"	185	"137"	"61"	"3"	"5"	"2"	"0"	"4"	"1"	"1"	"9"	"3"	"8"	"234"	""	""	""
"206"	186	"184"	"212"	"9"	"8"	"2"	"1"	"3"	"2"	"4"	"5"	"5"	"7"	"442"	""	""	""
"207"	187	"297"	"96"	"12"	"10"	"4"	"2"	"0"	"2"	"4"	"7"	"10"	"22"	"466"	""	""	""
"208"	188	"106"	"245"	"14"	"42"	"9"	"2"	"1"	"2"	"7"	"6"	"13"	"24"	"471"	""	""	""
"209"	189	"72"	"114"	"12"	"28"	"1"	"1"	"1"	"4"	"2"	"5"	"2"	"5"	"247"	""	""	""
"210"	190	"192"	"151"	"7"	"10"	"6"	"5"	"1"	"3"	"6"	"17"	"13"	"31"	"442"	""	""	""
"211"	191	"113"	"342"	"16"	"20"	"6"	"7"	"5"	"8"	"6"	"11"	"14"	"23"	"571"	""	""	""
"212"	192	"72"	"55"	"14"	"46"	"4"	"4"	"2"	"1"	"1"	"1"	"1"	"3"	"204"	""	""	""
"213"	193	"115"	"264"	"5"	"23"	"1"	"0"	"2"	"2"	"0"	"4"	"1"	"4"	"421"	""	""	""
"214"	194	"177"	"149"	"6"	"9"	"4"	"2"	"0"	"3"	"2"	"1"	"3"	"8"	"364"	""	""	""
"215"	195	"226"	"244"	"18"	"5"	"6"	"1"	"6"	"4"	"2"	"8"	"20"	"19"	"559"	""	""	""
"216"	196	"45"	"241"	"17"	"4"	"1"	"2"	"1"	"1"	"1"	"1"	"4"	"6"	"324"	""	""	""
"217"	197	"115"	"360"	"10"	"7"	"3"	"1"	"0"	"2"	"2"	"7"	"5"	"14"	"526"	""	""	""
"218"	198	"130"	"371"	"12"	"47"	"3"	"1"	"1"	"1"	"4"	"1"	"1"	"7"	"579"	""	""	""
"219"	199	"293"	"118"	"15"	"3"	"3"	"2"	"3"	"0"	"0"	"2"	"1"	"5"	"445"	""	""	""
"220"	200	"232"	"267"	"3"	"2"	"5"	"0"	"0"	"1"	"1"	"6"	"2"	"3"	"522"	""	""	""
"221"	201	"272"	"162"	"4"	"1"	"0"	"2"	"0"	"0"	"0"	"4"	"6"	"12"	"463"	""	""	""
"222"	202	"126"	"282"	"11"	"25"	"8"	"1"	"1"	"5"	"3"	"13"	"11"	"22"	"508"	""	""	""
"223"	203	"189"	"194"	"6"	"4"	"6"	"0"	"0"	"0"	"2"	"9"	"6"	"13"	"429"	""	""	""
"224"	204	"137"	"97"	"7"	"0"	"2"	"1"	"2"	"1"	"1"	"1"	"5"	"5"	"259"	""	""	""
"225"	205	"213"	"95"	"9"	"2"	"3"	"0"	"1"	"1"	"3"	"16"	"3"	"3"	"349"	""	""	""
"226"	206	"201"	"296"	"7"	"6"	"8"	"2"	"5"	"2"	"9"	"10"	"8"	"25"	"579"	""	""	""
"227"	207	"58"	"288"	"3"	"1"	"1"	"1"	"1"	"2"	"0"	"3"	"5"	"14"	"377"	""	""	""
"228"	208	"251"	"120"	"10"	"3"	"1"	"2"	"6"	"1"	"1"	"3"	"2"	"6"	"406"	""	""	""
"229"	209	"140"	"265"	"7"	"1"	"2"	"2"	"0"	"1"	"2"	"2"	"4"	"8"	"434"	""	""	""
"230"	210	"148"	"238"	"8"	"5"	"2"	"2"	"1"	"2"	"1"	"9"	"21"	"29"	"466"	""	""	""
"231"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	203859	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	NA	"RAGHUVANSH PRASAD SINGH"	"VIJAY KUMAR SHUKLA"	"SHANKAR MAHTO"	"HIND KESRI YADAV"	"PUNAMRI DEVI"	"PRAMOD KUMAR SHARMA"	"BADRI PASWAN"	"BALAK NATH SAHANI"	"LALJI KUMAR 'RAKESH'"	"BINOD PANDIT"	"INDARDEO RAI"	"JITENDRA PRASAD"	"TOTAL OF VALID VOTES"	"NO OF REJECTED VOTES"	"TOTAL NO OF TENDER VOTES"	""
"234"	211	"365"	"9"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"382"	""	""	""
"235"	212	"44"	"343"	"6"	"2"	"1"	"0"	"3"	"2"	"2"	"3"	"3"	"7"	"416"	""	""	""
"236"	213	"436"	"169"	"26"	"7"	"11"	"7"	"2"	"2"	"4"	"11"	"11"	"42"	"728"	""	""	""
"237"	214	"170"	"468"	"5"	"5"	"5"	"4"	"1"	"1"	"2"	"4"	"11"	"6"	"682"	""	""	""
"238"	215	"248"	"66"	"7"	"3"	"2"	"1"	"2"	"0"	"0"	"4"	"2"	"6"	"341"	""	""	""
"239"	216	"451"	"85"	"3"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"541"	""	""	""
"240"	217	"89"	"266"	"7"	"7"	"1"	"1"	"1"	"1"	"0"	"8"	"2"	"15"	"398"	""	""	""
"241"	218	"187"	"328"	"22"	"6"	"4"	"4"	"4"	"1"	"3"	"14"	"17"	"18"	"608"	""	""	""
"242"	219	"155"	"181"	"10"	"23"	"3"	"4"	"0"	"16"	"2"	"3"	"7"	"8"	"412"	""	""	""
"243"	220	"181"	"274"	"23"	"23"	"2"	"3"	"3"	"27"	"1"	"4"	"5"	"5"	"551"	""	""	""
"244"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	NA	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	NA	""	""	""	""	""	""	""	""	"98827"	""	""	""	""	""	""	""
"248"	NA	""	""	""	""	""	""	""	""	"98827"	""	""	""	""	""	""	""
