"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X256817.36.Madhubani"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"
"153"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"154"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"155"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"156"	"Round No 9"	"112"	"614"	"3"	"9"	"28"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"660"	""	"660"	""
"157"	""	"113"	"210"	"5"	"8"	"117"	"16"	"6"	"2"	"2"	"1"	"1"	"1"	"1"	"3"	"5"	"378"	""	"378"	""
"158"	""	"114"	"480"	"5"	"5"	"7"	"1"	"1"	"1"	"0"	"1"	"1"	"3"	"0"	"2"	"4"	"511"	""	"511"	""
"159"	""	"115"	"157"	"8"	"52"	"143"	"18"	"2"	"2"	"3"	"5"	"2"	"6"	"1"	"2"	"10"	"411"	""	"411"	""
"160"	""	"116"	"313"	"9"	"40"	"167"	"14"	"3"	"1"	"7"	"14"	"2"	"5"	"5"	"8"	"46"	"634"	""	"634"	""
"161"	""	"117"	"412"	"8"	"10"	"69"	"13"	"4"	"5"	"6"	"1"	"0"	"6"	"1"	"0"	"3"	"538"	""	"538"	""
"162"	""	"118"	"133"	"10"	"204"	"36"	"19"	"1"	"2"	"1"	"1"	"2"	"2"	"4"	"3"	"8"	"426"	""	"426"	""
"163"	""	"119"	"113"	"7"	"40"	"80"	"11"	"1"	"2"	"4"	"3"	"5"	"5"	"2"	"2"	"59"	"334"	""	"334"	""
"164"	""	"120"	"258"	"14"	"39"	"91"	"14"	"6"	"0"	"1"	"2"	"3"	"2"	"1"	"2"	"44"	"477"	""	"477"	""
"165"	""	"121"	"243"	"13"	"16"	"123"	"25"	"4"	"4"	"3"	"10"	"3"	"2"	"6"	"6"	"54"	"512"	""	"512"	""
"166"	""	"122"	"204"	"8"	"38"	"134"	"23"	"3"	"4"	"2"	"6"	"2"	"7"	"7"	"6"	"33"	"477"	""	"477"	""
"167"	""	"123"	"81"	"8"	"14"	"100"	"4"	"1"	"0"	"0"	"0"	"1"	"2"	"0"	"4"	"29"	"244"	""	"244"	""
"168"	""	"124"	"297"	"7"	"109"	"7"	"7"	"2"	"2"	"1"	"2"	"1"	"0"	"2"	"0"	"12"	"449"	""	"449"	""
"169"	""	"125"	"48"	"3"	"185"	"71"	"20"	"5"	"0"	"2"	"2"	"2"	"11"	"3"	"5"	"15"	"372"	""	"372"	""
"170"	""	"Total -9"	"3563"	"108"	"769"	"1173"	"185"	"39"	"26"	"32"	"48"	"25"	"52"	"33"	"43"	"327"	"6423"	"0"	"6423"	"0"
"171"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"173"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"174"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"175"	"Round No 10"	"126"	"167"	"6"	"58"	"123"	"20"	"2"	"0"	"2"	"4"	"1"	"9"	"2"	"1"	"16"	"411"	""	"411"	""
"176"	""	"127"	"124"	"4"	"38"	"115"	"21"	"1"	"0"	"0"	"3"	"0"	"1"	"0"	"3"	"7"	"317"	""	"317"	""
"177"	""	"128"	"166"	"12"	"57"	"104"	"27"	"3"	"4"	"6"	"3"	"1"	"3"	"2"	"1"	"7"	"396"	""	"396"	""
"178"	""	"129"	"225"	"13"	"42"	"104"	"12"	"1"	"2"	"2"	"1"	"1"	"4"	"1"	"5"	"46"	"459"	""	"459"	""
"179"	""	"130"	"105"	"4"	"7"	"73"	"14"	"1"	"0"	"1"	"0"	"0"	"4"	"0"	"2"	"10"	"221"	""	"221"	""
"180"	""	"131"	"180"	"47"	"64"	"15"	"8"	"3"	"2"	"0"	"4"	"2"	"2"	"2"	"3"	"4"	"336"	""	"336"	""
"181"	""	"132"	"191"	"10"	"18"	"45"	"4"	"4"	"4"	"5"	"0"	"1"	"5"	"10"	"4"	"23"	"324"	""	"324"	""
"182"	""	"133"	"98"	"8"	"30"	"100"	"24"	"3"	"4"	"5"	"3"	"2"	"6"	"6"	"7"	"19"	"315"	""	"315"	""
"183"	""	"134"	"96"	"14"	"61"	"77"	"4"	"1"	"0"	"2"	"2"	"1"	"2"	"3"	"1"	"11"	"275"	""	"275"	""
"184"	""	"135"	"152"	"17"	"15"	"93"	"5"	"1"	"1"	"3"	"0"	"0"	"0"	"3"	"4"	"0"	"294"	""	"294"	""
"185"	""	"136"	"110"	"10"	"25"	"178"	"26"	"3"	"3"	"1"	"3"	"4"	"3"	"4"	"10"	"12"	"392"	""	"392"	""
"186"	""	"137"	"59"	"5"	"61"	"299"	"70"	"6"	"1"	"4"	"2"	"2"	"8"	"7"	"4"	"14"	"542"	""	"542"	""
"187"	""	"138"	"303"	"12"	"74"	"45"	"12"	"5"	"4"	"4"	"1"	"3"	"2"	"2"	"3"	"10"	"480"	""	"480"	""
"188"	""	"139"	"84"	"16"	"16"	"190"	"31"	"2"	"1"	"1"	"5"	"3"	"1"	"4"	"4"	"37"	"395"	""	"395"	""
"189"	""	"Total -10"	"2060"	"178"	"566"	"1561"	"278"	"36"	"26"	"36"	"31"	"21"	"50"	"46"	"52"	"216"	"5157"	"0"	"5157"	"0"
"190"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"192"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"193"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"194"	"Round No 11"	"140"	"157"	"24"	"96"	"117"	"26"	"3"	"3"	"1"	"2"	"1"	"1"	"2"	"3"	"4"	"440"	""	"440"	""
"195"	""	"141"	"172"	"5"	"7"	"50"	"2"	"2"	"2"	"1"	"0"	"0"	"1"	"3"	"0"	"4"	"249"	""	"249"	""
"196"	""	"142"	"219"	"8"	"25"	"14"	"3"	"2"	"1"	"0"	"0"	"0"	"2"	"1"	"2"	"11"	"288"	""	"288"	""
"197"	""	"143"	"71"	"1"	"88"	"55"	"9"	"1"	"0"	"0"	"2"	"2"	"1"	"1"	"1"	"6"	"238"	""	"238"	""
"198"	""	"144"	"297"	"8"	"62"	"10"	"6"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"2"	"390"	""	"390"	""
"199"	""	"145"	"118"	"5"	"61"	"150"	"24"	"4"	"3"	"3"	"5"	"4"	"9"	"11"	"10"	"83"	"490"	""	"490"	""
"200"	""	"146"	"450"	"40"	"19"	"55"	"9"	"2"	"4"	"4"	"6"	"3"	"1"	"6"	"10"	"109"	"718"	""	"718"	""
"201"	""	"147"	"136"	"5"	"35"	"195"	"13"	"4"	"1"	"5"	"4"	"2"	"8"	"6"	"8"	"19"	"441"	""	"441"	""
"202"	""	"148"	"132"	"22"	"121"	"115"	"24"	"5"	"1"	"0"	"6"	"3"	"3"	"5"	"4"	"22"	"463"	""	"463"	""
"203"	""	"149"	"127"	"12"	"25"	"134"	"9"	"1"	"2"	"1"	"0"	"6"	"2"	"0"	"1"	"101"	"421"	""	"421"	""
"204"	""	"150"	"255"	"18"	"53"	"144"	"15"	"3"	"4"	"2"	"1"	"4"	"2"	"3"	"2"	"10"	"516"	""	"516"	""
"205"	""	"151"	"22"	"5"	"73"	"82"	"15"	"3"	"3"	"0"	"2"	"1"	"0"	"0"	"1"	"4"	"211"	""	"211"	""
"206"	""	"152"	"190"	"8"	"41"	"55"	"10"	"1"	"1"	"2"	"9"	"0"	"2"	"3"	"4"	"11"	"337"	""	"337"	""
"207"	""	"153"	"141"	"13"	"30"	"113"	"14"	"8"	"4"	"2"	"1"	"2"	"2"	"1"	"0"	"0"	"331"	""	"331"	""
"208"	""	"Total -11"	"2487"	"174"	"736"	"1289"	"179"	"40"	"29"	"22"	"38"	"28"	"36"	"42"	"47"	"386"	"5533"	"0"	"5533"	"0"
"209"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"211"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"213"	"Round No 12"	"154"	"47"	"7"	"137"	"158"	"20"	"2"	"2"	"1"	"1"	"0"	"1"	"3"	"4"	"11"	"394"	""	"394"	""
"214"	""	"155"	"33"	"2"	"176"	"5"	"3"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"225"	""	"225"	""
"215"	""	"156"	"168"	"22"	"26"	"122"	"9"	"3"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"6"	"360"	""	"360"	""
"216"	""	"157"	"268"	"7"	"16"	"63"	"10"	"4"	"2"	"4"	"1"	"4"	"6"	"6"	"7"	"21"	"419"	""	"419"	""
"217"	""	"158"	"11"	"8"	"166"	"104"	"23"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"22"	"336"	""	"336"	""
"218"	""	"159"	"256"	"7"	"98"	"167"	"10"	"4"	"1"	"1"	"0"	"0"	"1"	"2"	"5"	"3"	"555"	""	"555"	""
"219"	""	"160"	"227"	"13"	"25"	"114"	"14"	"2"	"1"	"4"	"5"	"2"	"5"	"4"	"5"	"14"	"435"	""	"435"	""
"220"	""	"161"	"146"	"17"	"24"	"31"	"3"	"1"	"2"	"1"	"4"	"1"	"7"	"5"	"6"	"173"	"421"	""	"421"	""
"221"	""	"162"	"257"	"10"	"40"	"99"	"17"	"1"	"1"	"1"	"3"	"2"	"3"	"1"	"4"	"2"	"441"	""	"441"	""
"222"	""	"163"	"206"	"26"	"49"	"59"	"9"	"7"	"3"	"2"	"0"	"5"	"2"	"1"	"8"	"11"	"388"	""	"388"	""
"223"	""	"164"	"257"	"4"	"14"	"54"	"4"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"8"	"343"	""	"343"	""
"224"	""	"165"	"51"	"7"	"84"	"212"	"17"	"2"	"0"	"0"	"3"	"1"	"2"	"1"	"1"	"15"	"396"	""	"396"	""
"225"	""	"166"	"97"	"4"	"29"	"173"	"18"	"2"	"0"	"1"	"1"	"3"	"8"	"1"	"1"	"11"	"349"	""	"349"	""
"226"	""	"167"	"227"	"24"	"37"	"158"	"16"	"1"	"0"	"2"	"0"	"0"	"0"	"2"	"3"	"11"	"481"	""	"481"	""
"227"	""	"Total -12"	"2251"	"158"	"921"	"1519"	"173"	"32"	"12"	"18"	"19"	"19"	"39"	"26"	"45"	"311"	"5543"	"0"	"5543"	"0"
"228"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"230"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"232"	"Round No 13"	"168"	"143"	"5"	"33"	"135"	"17"	"2"	"0"	"0"	"1"	"4"	"2"	"3"	"3"	"12"	"360"	""	"360"	""
"233"	""	"169"	"39"	"2"	"160"	"97"	"14"	"3"	"1"	"0"	"1"	"1"	"0"	"2"	"4"	"3"	"327"	""	"327"	""
"234"	""	"170"	"168"	"3"	"14"	"10"	"7"	"1"	"0"	"0"	"2"	"0"	"3"	"0"	"2"	"13"	"223"	""	"223"	""
"235"	""	"171"	"140"	"8"	"65"	"151"	"13"	"2"	"1"	"4"	"1"	"2"	"1"	"8"	"2"	"5"	"403"	""	"403"	""
"236"	""	"172"	"260"	"15"	"58"	"61"	"12"	"5"	"3"	"2"	"2"	"3"	"5"	"2"	"7"	"13"	"448"	""	"448"	""
"237"	""	"173"	"130"	"4"	"93"	"72"	"7"	"3"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"2"	"315"	""	"315"	""
"238"	""	"174"	"180"	"17"	"45"	"130"	"17"	"6"	"2"	"5"	"2"	"4"	"5"	"5"	"12"	"33"	"463"	""	"463"	""
"239"	""	"175"	"295"	"11"	"40"	"104"	"9"	"1"	"4"	"4"	"5"	"2"	"3"	"6"	"5"	"28"	"517"	""	"517"	""
"240"	""	"176"	"173"	"12"	"27"	"65"	"13"	"2"	"4"	"2"	"2"	"3"	"3"	"1"	"0"	"9"	"316"	""	"316"	""
"241"	""	"177"	"40"	"1"	"13"	"93"	"4"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"5"	"159"	""	"159"	""
"242"	""	"178"	"143"	"2"	"5"	"49"	"9"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"1"	"215"	""	"215"	""
"243"	""	"179"	"198"	"7"	"42"	"83"	"6"	"5"	"4"	"3"	"3"	"0"	"3"	"4"	"1"	"37"	"396"	""	"396"	""
"244"	""	"180"	"55"	"7"	"84"	"64"	"11"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"5"	"0"	"228"	""	"228"	""
"245"	""	"181"	"235"	"30"	"47"	"26"	"7"	"2"	"1"	"3"	"3"	"4"	"4"	"2"	"0"	"9"	"373"	""	"373"	""
"246"	""	"Total -13"	"2199"	"124"	"726"	"1140"	"146"	"34"	"22"	"25"	"26"	"23"	"31"	"34"	"43"	"170"	"4743"	"0"	"4743"	"0"
"247"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"249"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"251"	"Round No 14"	"182"	"386"	"34"	"44"	"103"	"19"	"6"	"4"	"2"	"1"	"1"	"4"	"6"	"4"	"14"	"628"	""	"628"	""
"252"	""	"183"	"128"	"15"	"47"	"201"	"43"	"10"	"7"	"9"	"5"	"3"	"8"	"3"	"3"	"23"	"505"	""	"505"	""
"253"	""	"184"	"85"	"7"	"35"	"90"	"17"	"6"	"4"	"4"	"2"	"0"	"2"	"3"	"5"	"5"	"265"	""	"265"	""
"254"	""	"185"	"101"	"10"	"37"	"92"	"17"	"3"	"3"	"3"	"3"	"0"	"3"	"5"	"4"	"5"	"286"	""	"286"	""
"255"	""	"186"	"98"	"6"	"57"	"90"	"12"	"5"	"2"	"2"	"2"	"4"	"6"	"6"	"11"	"28"	"329"	""	"329"	""
"256"	""	"187"	"101"	"6"	"65"	"89"	"20"	"12"	"5"	"6"	"7"	"6"	"9"	"4"	"7"	"28"	"365"	""	"365"	""
"257"	""	"188"	"36"	"5"	"31"	"140"	"23"	"3"	"3"	"2"	"8"	"0"	"2"	"2"	"1"	"7"	"263"	""	"263"	""
"258"	""	"189"	"36"	"2"	"29"	"221"	"23"	"2"	"2"	"3"	"4"	"1"	"1"	"1"	"6"	"25"	"356"	""	"356"	""
"259"	""	"190"	"208"	"9"	"64"	"116"	"22"	"6"	"5"	"9"	"5"	"6"	"10"	"5"	"6"	"26"	"497"	""	"497"	""
"260"	""	"191"	"93"	"4"	"48"	"127"	"13"	"7"	"0"	"4"	"1"	"2"	"7"	"2"	"3"	"9"	"320"	""	"320"	""
"261"	""	"192"	"273"	"9"	"93"	"21"	"10"	"4"	"2"	"0"	"3"	"2"	"1"	"1"	"2"	"7"	"428"	""	"428"	""
"262"	""	"193"	"140"	"2"	"17"	"129"	"21"	"2"	"0"	"1"	"1"	"2"	"9"	"5"	"5"	"13"	"347"	""	"347"	""
"263"	""	"194"	"76"	"6"	"35"	"201"	"18"	"2"	"0"	"2"	"3"	"3"	"2"	"5"	"5"	"16"	"374"	""	"374"	""
"264"	""	"195"	"212"	"11"	"220"	"159"	"22"	"4"	"1"	"9"	"8"	"7"	"8"	"10"	"13"	"47"	"731"	""	"731"	""
"265"	""	"Total -14"	"1973"	"126"	"822"	"1779"	"280"	"72"	"38"	"56"	"53"	"37"	"72"	"58"	"75"	"253"	"5694"	"0"	"5694"	"0"
"266"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"268"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"270"	"Round No 15"	"196"	"51"	"4"	"94"	"178"	"25"	"2"	"2"	"0"	"5"	"0"	"3"	"1"	"5"	"18"	"388"	""	"388"	""
"271"	""	"197"	"86"	"5"	"42"	"227"	"16"	"5"	"2"	"1"	"1"	"3"	"2"	"5"	"6"	"64"	"465"	""	"465"	""
"272"	""	"198"	"160"	"6"	"114"	"277"	"20"	"4"	"2"	"3"	"2"	"3"	"7"	"5"	"3"	"30"	"636"	""	"636"	""
"273"	""	"199"	"131"	"14"	"125"	"55"	"15"	"2"	"9"	"4"	"1"	"2"	"4"	"3"	"3"	"10"	"378"	""	"378"	""
"274"	""	"200"	"204"	"9"	"43"	"152"	"26"	"7"	"4"	"3"	"5"	"1"	"1"	"3"	"2"	"10"	"470"	""	"470"	""
"275"	""	"201"	"191"	"11"	"46"	"218"	"24"	"29"	"2"	"2"	"1"	"3"	"3"	"2"	"2"	"55"	"589"	""	"589"	""
"276"	""	"202"	"85"	"3"	"36"	"264"	"10"	"2"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"9"	"413"	""	"413"	""
"277"	""	"203"	"275"	"32"	"52"	"147"	"19"	"4"	"1"	"2"	"2"	"2"	"9"	"2"	"0"	"17"	"564"	""	"564"	""
"278"	""	"204"	"249"	"14"	"30"	"107"	"12"	"5"	"5"	"3"	"2"	"0"	"2"	"4"	"2"	"26"	"461"	""	"461"	""
"279"	""	"205"	"133"	"3"	"34"	"171"	"10"	"0"	"1"	"6"	"2"	"0"	"8"	"2"	"1"	"24"	"395"	""	"395"	""
"280"	""	"206"	"102"	"10"	"182"	"34"	"14"	"3"	"2"	"1"	"1"	"1"	"3"	"6"	"5"	"27"	"391"	""	"391"	""
"281"	""	"207"	"213"	"9"	"194"	"24"	"19"	"1"	"3"	"1"	"2"	"2"	"5"	"7"	"3"	"7"	"490"	""	"490"	""
"282"	""	"208"	"102"	"30"	"19"	"106"	"10"	"2"	"0"	"2"	"0"	"1"	"2"	"1"	"2"	"9"	"286"	""	"286"	""
"283"	""	"209"	"39"	"3"	"114"	"17"	"6"	"1"	"2"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"188"	""	"188"	""
"284"	""	"Total -15"	"2021"	"153"	"1125"	"1977"	"226"	"67"	"35"	"30"	"26"	"18"	"52"	"41"	"36"	"307"	"6114"	"0"	"6114"	"0"
"285"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"287"	""	""	"Abdul Bari Siddiki, RJD"	"Laxmankant Mishra, BSP"	"Dr. Shakil Ahmad, INC"	"Hukmdeo Narayan Yadav, BJP"	"Dr.
Hemchandra Jha, CPI"	"Mintu Kumar Singh, Jago Patry"	"Mishri Lal Yadav, jk0dzka0t0i0"	"Ramchandra Yadav, dzka0lk0ik0"	"Ramsagar Sahni, IJP"	"Md. Jinnur, IND"	"Rabindra Thakur, IND"	"Rajeshwar Yadav, IND"	"Sanjay Kumar Mahto, IND"	"Haribhusa n Thakur \"Bachol\", IND"	""	""	""	""
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""	""	""	""
"289"	"Round No 16"	"210"	"82"	"3"	"27"	"174"	"12"	"23"	"0"	"1"	"0"	"0"	"2"	"1"	"0"	"6"	"331"	""	"331"	""
"290"	""	"211"	"35"	"2"	"127"	"137"	"15"	"1"	"0"	"1"	"3"	"0"	"0"	"2"	"3"	"1"	"327"	""	"327"	""
"291"	""	"212"	"155"	"3"	"105"	"5"	"3"	"1"	"0"	"0"	"1"	"0"	"0"	"3"	"1"	"3"	"280"	""	"280"	""
"292"	""	"213"	"104"	"4"	"63"	"2"	"4"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"4"	"187"	""	"187"	""
"293"	""	"214"	"122"	"1"	"19"	"141"	"13"	"1"	"1"	"0"	"0"	"2"	"3"	"1"	"0"	"13"	"317"	""	"317"	""
"294"	""	"215"	"70"	"6"	"198"	"44"	"11"	"2"	"2"	"1"	"0"	"1"	"0"	"3"	"1"	"5"	"344"	""	"344"	""
"295"	""	"216"	"50"	"4"	"91"	"184"	"21"	"8"	"4"	"4"	"3"	"2"	"6"	"1"	"3"	"11"	"392"	""	"392"	""
"296"	""	"217"	"56"	"1"	"47"	"249"	"18"	"1"	"2"	"1"	"5"	"0"	"1"	"3"	"4"	"3"	"391"	""	"391"	""
"297"	""	"218"	"242"	"8"	"4"	"77"	"9"	"3"	"3"	"4"	"1"	"0"	"1"	"3"	"4"	"22"	"381"	""	"381"	""
"298"	""	"219"	"170"	"16"	"40"	"92"	"17"	"4"	"2"	"7"	"8"	"2"	"2"	"3"	"3"	"9"	"375"	""	"375"	""
"299"	""	"220"	"124"	"17"	"98"	"154"	"18"	"5"	"1"	"1"	"1"	"4"	"14"	"4"	"6"	"17"	"464"	""	"464"	""
"300"	""	"221"	"54"	"4"	"183"	"11"	"13"	"1"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"5"	"276"	""	"276"	""
"301"	""	"222"	"125"	"19"	"260"	"33"	"3"	"3"	"0"	"3"	"0"	"1"	"6"	"3"	"1"	"5"	"462"	""	"462"	""
"302"	""	"223"	"281"	"2"	"5"	"88"	"8"	"2"	"3"	"2"	"2"	"2"	"9"	"6"	"5"	"11"	"426"	""	"426"	""
"303"	""	"Total -16"	"1670"	"90"	"1267"	"1391"	"165"	"56"	"19"	"25"	"26"	"15"	"45"	"36"	"33"	"115"	"4953"	"0"	"4953"	"0"
"304"	""	""	""	""	""	""	""	"256817
36-Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
