"Sl..No."	"No..of.Polling.Station"	"No..of.Valid.votes.cast..in..favou.r..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tender.ed.votes"
"152"	"141"	"141"	"284"	"12"	"105"	"5"	"7"	"1"	"1"	"0"	"1"	"1"	"0"	"1"	"6"	"4"	"10"	"438"	"0"	"438"	""
"153"	"142"	"142"	"85"	"15"	"193"	"62"	"22"	"6"	"4"	"0"	"4"	"1"	"5"	"2"	"6"	"6"	"36"	"447"	"0"	"447"	""
"154"	"143"	"143"	"55"	"15"	"133"	"86"	"56"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"3"	"352"	"0"	"352"	""
"155"	"144"	"144"	"44"	"17"	"165"	"91"	"67"	"1"	"0"	"0"	"1"	"2"	"1"	"4"	"2"	"4"	"1"	"400"	"0"	"400"	""
"156"	"145"	"145"	"23"	"4"	"42"	"87"	"33"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"194"	"0"	"194"	""
"157"	"146"	"146"	"32"	"12"	"165"	"90"	"79"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"384"	"0"	"384"	""
"158"	"147"	"147"	"30"	"13"	"227"	"55"	"67"	"2"	"1"	"2"	"0"	"0"	"2"	"0"	"2"	"4"	"5"	"410"	"0"	"410"	""
"159"	"148"	"148"	"5"	"15"	"176"	"207"	"51"	"1"	"1"	"0"	"2"	"2"	"4"	"4"	"6"	"3"	"4"	"481"	"0"	"481"	""
"160"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tender ed
votes"
"161"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"162"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"163"	"149"	"149"	"91"	"10"	"98"	"14"	"5"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"7"	"2"	"6"	"237"	"0"	"237"	""
"164"	"150"	"150"	"25"	"7"	"129"	"64"	"61"	"1"	"2"	"2"	"1"	"0"	"0"	"4"	"1"	"3"	"4"	"304"	"0"	"304"	""
"165"	"151"	"151"	"32"	"15"	"270"	"78"	"24"	"1"	"0"	"2"	"1"	"3"	"2"	"6"	"11"	"4"	"3"	"452"	"0"	"452"	""
"166"	"152"	"152"	"22"	"12"	"100"	"204"	"70"	"1"	"3"	"0"	"1"	"1"	"0"	"4"	"2"	"1"	"0"	"421"	"0"	"421"	""
"167"	"153"	"153"	"61"	"14"	"98"	"175"	"118"	"0"	"4"	"4"	"3"	"1"	"0"	"3"	"4"	"2"	"9"	"496"	"0"	"496"	""
"168"	"154"	"154"	"27"	"15"	"232"	"98"	"57"	"5"	"1"	"3"	"6"	"2"	"6"	"6"	"9"	"5"	"8"	"480"	"0"	"480"	""
"169"	"155"	"155"	"18"	"23"	"205"	"103"	"130"	"9"	"2"	"3"	"1"	"1"	"0"	"3"	"1"	"4"	"3"	"506"	"0"	"506"	""
"170"	"156"	"156"	"154"	"8"	"122"	"40"	"38"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"1"	"9"	"379"	"0"	"379"	""
"171"	"157"	"157"	"9"	"16"	"276"	"22"	"8"	"6"	"1"	"1"	"4"	"3"	"0"	"7"	"10"	"13"	"8"	"384"	"0"	"384"	""
"172"	"158"	"158"	"7"	"13"	"196"	"216"	"111"	"4"	"0"	"0"	"1"	"0"	"5"	"1"	"4"	"0"	"1"	"559"	"0"	"559"	""
"173"	"159"	"159"	"49"	"19"	"192"	"144"	"63"	"5"	"2"	"0"	"3"	"2"	"3"	"6"	"10"	"6"	"13"	"517"	"0"	"517"	""
"174"	"160"	"160"	"12"	"18"	"267"	"116"	"38"	"0"	"1"	"1"	"1"	"1"	"0"	"2"	"7"	"1"	"6"	"471"	"0"	"471"	""
"175"	"161"	"161"	"51"	"19"	"250"	"53"	"97"	"3"	"2"	"1"	"1"	"1"	"3"	"2"	"3"	"11"	"11"	"508"	"0"	"508"	""
"176"	"162"	"162"	"4"	"7"	"148"	"52"	"141"	"2"	"3"	"0"	"1"	"1"	"0"	"2"	"8"	"1"	"7"	"377"	"0"	"377"	""
"177"	"163"	"163"	"16"	"17"	"143"	"18"	"120"	"3"	"2"	"3"	"1"	"1"	"1"	"1"	"2"	"3"	"5"	"336"	"0"	"336"	""
"178"	"164"	"164"	"37"	"15"	"230"	"32"	"209"	"4"	"2"	"4"	"1"	"0"	"2"	"1"	"3"	"6"	"11"	"557"	"0"	"557"	""
"179"	"165"	"165"	"106"	"3"	"120"	"2"	"25"	"1"	"2"	"1"	"1"	"0"	"0"	"2"	"1"	"4"	"7"	"275"	"0"	"275"	""
"180"	"166"	"166"	"13"	"17"	"129"	"24"	"50"	"11"	"3"	"4"	"2"	"0"	"0"	"4"	"4"	"2"	"4"	"267"	"0"	"267"	""
"181"	"167"	"167"	"32"	"35"	"406"	"58"	"99"	"5"	"6"	"3"	"1"	"3"	"1"	"4"	"7"	"11"	"13"	"684"	"0"	"684"	""
"182"	"168"	"168"	"12"	"16"	"147"	"41"	"23"	"2"	"3"	"2"	"1"	"1"	"1"	"2"	"3"	"7"	"3"	"264"	"0"	"264"	""
"183"	"169"	"169"	"84"	"19"	"336"	"86"	"58"	"3"	"5"	"7"	"3"	"4"	"4"	"10"	"18"	"13"	"22"	"672"	"0"	"672"	""
"184"	"170"	"170"	"128"	"20"	"184"	"84"	"76"	"3"	"2"	"1"	"1"	"1"	"0"	"1"	"6"	"1"	"4"	"512"	"0"	"512"	""
"185"	"171"	"171"	"56"	"17"	"145"	"58"	"116"	"1"	"3"	"2"	"1"	"0"	"5"	"4"	"7"	"3"	"8"	"426"	"0"	"426"	""
"186"	"172"	"172"	"49"	"21"	"167"	"45"	"20"	"0"	"1"	"1"	"0"	"0"	"3"	"2"	"6"	"3"	"4"	"322"	"0"	"322"	""
"187"	"173"	"173"	"59"	"16"	"374"	"103"	"22"	"2"	"1"	"1"	"0"	"1"	"0"	"2"	"1"	"4"	"7"	"593"	"0"	"593"	""
"188"	"174"	"174"	"8"	"10"	"90"	"29"	"4"	"1"	"0"	"0"	"1"	"0"	"0"	"2"	"3"	"2"	"0"	"150"	"0"	"150"	""
"189"	"175"	"175"	"24"	"20"	"244"	"135"	"51"	"5"	"4"	"1"	"2"	"3"	"2"	"6"	"7"	"18"	"15"	"537"	"0"	"537"	""
"190"	"176"	"176"	"42"	"20"	"201"	"150"	"59"	"4"	"1"	"4"	"2"	"1"	"6"	"3"	"15"	"7"	"12"	"527"	"0"	"527"	""
"191"	"177"	"177"	"27"	"41"	"232"	"203"	"77"	"3"	"4"	"1"	"2"	"2"	"3"	"5"	"8"	"4"	"9"	"621"	"0"	"621"	""
"192"	"178"	"178"	"28"	"4"	"251"	"20"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"330"	"0"	"330"	""
"193"	"179"	"179"	"5"	"5"	"229"	"53"	"36"	"1"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"333"	"0"	"333"	""
"194"	"180"	"180"	"19"	"12"	"134"	"45"	"18"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"4"	"0"	"4"	"241"	"0"	"241"	""
"195"	"181"	"181"	"13"	"9"	"230"	"29"	"49"	"2"	"0"	"0"	"1"	"1"	"1"	"1"	"9"	"4"	"2"	"351"	"0"	"351"	""
"196"	"182"	"182"	"15"	"26"	"330"	"58"	"95"	"4"	"7"	"3"	"3"	"4"	"0"	"2"	"4"	"3"	"5"	"559"	"0"	"559"	""
"197"	"183"	"183"	"13"	"12"	"153"	"13"	"45"	"2"	"2"	"0"	"0"	"1"	"0"	"2"	"10"	"2"	"3"	"258"	"0"	"258"	""
"198"	"184"	"184"	"36"	"17"	"320"	"97"	"97"	"1"	"1"	"0"	"0"	"7"	"4"	"1"	"2"	"2"	"4"	"589"	"0"	"589"	""
"199"	"185"	"185"	"15"	"13"	"177"	"84"	"18"	"1"	"1"	"0"	"1"	"0"	"1"	"1"	"4"	"2"	"4"	"322"	"0"	"322"	""
"200"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tender ed
votes"
"201"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"202"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"203"	"186"	"186"	"4"	"34"	"203"	"52"	"61"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"3"	"365"	"0"	"365"	""
"204"	"187"	"187"	"23"	"14"	"244"	"30"	"229"	"3"	"5"	"2"	"1"	"1"	"3"	"3"	"6"	"3"	"8"	"575"	"0"	"575"	""
"205"	"188"	"188"	"147"	"38"	"377"	"45"	"28"	"2"	"3"	"7"	"7"	"3"	"0"	"3"	"4"	"10"	"10"	"684"	"0"	"684"	""
"206"	"189"	"189"	"56"	"12"	"428"	"22"	"21"	"2"	"51"	"3"	"2"	"2"	"3"	"3"	"20"	"7"	"5"	"637"	"0"	"637"	""
"207"	"190"	"190"	"27"	"27"	"223"	"5"	"24"	"3"	"25"	"0"	"2"	"0"	"0"	"2"	"3"	"1"	"3"	"345"	"0"	"345"	""
"208"	"191"	"191"	"60"	"8"	"198"	"22"	"40"	"4"	"6"	"3"	"1"	"4"	"1"	"3"	"12"	"9"	"19"	"390"	"0"	"390"	""
"209"	"192"	"192"	"460"	"12"	"61"	"12"	"72"	"3"	"1"	"2"	"1"	"1"	"6"	"2"	"3"	"6"	"8"	"650"	"0"	"650"	""
"210"	"193"	"193"	"21"	"15"	"201"	"119"	"10"	"0"	"1"	"1"	"0"	"1"	"0"	"2"	"5"	"3"	"2"	"381"	"0"	"381"	""
"211"	"194"	"194"	"28"	"9"	"31"	"46"	"137"	"6"	"2"	"3"	"3"	"1"	"2"	"7"	"1"	"6"	"15"	"297"	"0"	"297"	""
"212"	"195"	"195"	"68"	"6"	"73"	"46"	"128"	"6"	"2"	"2"	"2"	"2"	"1"	"0"	"4"	"5"	"16"	"361"	"0"	"361"	""
"213"	"196"	"196"	"590"	"6"	"0"	"6"	"2"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"4"	"613"	"0"	"613"	""
"214"	"197"	"197"	"185"	"6"	"12"	"2"	"16"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"2"	"227"	"0"	"227"	""
"215"	"198"	"198"	"130"	"11"	"199"	"29"	"10"	"1"	"2"	"4"	"0"	"2"	"4"	"6"	"15"	"9"	"7"	"429"	"0"	"429"	""
"216"	"199"	"199"	"146"	"6"	"124"	"32"	"43"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"4"	"363"	"0"	"363"	""
"217"	"200"	"200"	"33"	"16"	"163"	"5"	"6"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"6"	"0"	"7"	"239"	"0"	"239"	""
"218"	"201"	"201"	"47"	"23"	"202"	"23"	"14"	"1"	"1"	"2"	"1"	"1"	"0"	"1"	"2"	"1"	"6"	"325"	"0"	"325"	""
"219"	"202"	"202"	"35"	"11"	"217"	"44"	"21"	"1"	"0"	"1"	"2"	"1"	"0"	"3"	"1"	"2"	"8"	"347"	"0"	"347"	""
"220"	"203"	"203"	"1"	"3"	"76"	"63"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"0"	"162"	""
"221"	"204"	"204"	"69"	"20"	"57"	"34"	"58"	"4"	"1"	"4"	"2"	"1"	"1"	"3"	"1"	"4"	"7"	"266"	"0"	"266"	""
"222"	"205"	"205"	"13"	"14"	"137"	"76"	"39"	"1"	"0"	"1"	"1"	"0"	"1"	"2"	"8"	"4"	"7"	"304"	"0"	"304"	""
"223"	"206"	"206"	"62"	"24"	"235"	"80"	"33"	"1"	"0"	"3"	"2"	"1"	"1"	"3"	"4"	"1"	"7"	"457"	"0"	"457"	""
"224"	"207"	"207"	"302"	"6"	"2"	"9"	"13"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"2"	"338"	"0"	"338"	""
"225"	"208"	"208"	"158"	"9"	"31"	"23"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"5"	"267"	"0"	"267"	""
"226"	"209"	"209"	"105"	"22"	"61"	"132"	"90"	"1"	"0"	"1"	"2"	"3"	"0"	"2"	"1"	"1"	"2"	"423"	"0"	"423"	""
"227"	"210"	"210"	"69"	"13"	"217"	"55"	"32"	"2"	"2"	"1"	"2"	"3"	"2"	"1"	"10"	"5"	"7"	"421"	"0"	"421"	""
"228"	"211"	"211"	"56"	"12"	"105"	"122"	"53"	"2"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"3"	"358"	"0"	"358"	""
"229"	"212"	"212"	"231"	"2"	"3"	"2"	"49"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	"2"	"2"	"6"	"302"	"0"	"302"	""
"230"	"213"	"213"	"198"	"8"	"34"	"12"	"21"	"1"	"1"	"3"	"0"	"2"	"1"	"1"	"3"	"5"	"11"	"301"	"0"	"301"	""
"231"	"Total No. of votes recording at polling Stations"	""	"12828"	"2680"	"39966"	"12385"	"18078"	"535"	"499"	"378"	"251"	"227"	"802"	"519"	"1163"	"853"	"1402"	"92566"	"0"	"92566"	""
"232"	"No. of votes recorded on postal
ballot papers"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"233"	"Total Votes polled"	""	"12828"	"2680"	"39966"	"12385"	"18078"	"535"	"499"	"378"	"251"	"227"	"802"	"519"	"1163"	"853"	"1402"	"92566"	"0"	"92566"	""
"234"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tender ed
votes"
"235"	""	""	"MD. ANWARU L HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"236"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"237"	"Place :     OTIHARI                                                                                                                                                                                                                                                              Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"Date  :   16/05/2009                                                                                                                                                                                                                                                                            020-Chiraia"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
