"er.nku.dsUnz.l.a....k"	"i.kj.l..ukFk.i.kBd"	"c.f..k.k.i.Vsy"	"fot.....kadj..nwcs"	"gsuk...kgkc"	"vej..ukFk...kno"	"vLouh.dq0.oekZ"	"ek.kqj.h.i.k.Ms."	"yky..ckcq.fr.okj.h"	"mes..k.fr.okj.h"	"vkse.i.zdk..k...kno"	"fuf.k.dhfr.Z"	"i.zHkw.ukFk.ekyh"	"MkW0.equs..oj.i.zl.kn"	"j.kt.sUnz.dqekj"	"X..kEHkw.ukFk.i.zl.kn"	"dqy.fof.kekU..er"	"i.zfr..ksfi.r.er.ksa.dh.dqy.l.a....k"	"X..ksx"	"fufonr.er.ksa.dh.dqy..l.a....k"
"264"	166	7	5	5	22	338	4	1	20	8	132	6	1	3	15	3	570	NA	570	NA
"265"	167	4	5	5	57	293	4	2	14	7	196	2	0	0	11	2	602	NA	602	NA
"266"	168	25	6	63	131	44	2	9	8	3	106	4	1	3	10	15	430	NA	430	NA
"267"	169	3	25	23	31	88	4	1	14	1	276	4	1	0	12	2	485	NA	485	NA
"268"	NA	215	180	129	501	1604	66	41	146	83	1620	70	34	33	133	76	4931	0	4931	0
"269"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"270"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"271"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"272"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"273"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"274"	170	11	6	10	23	188	8	3	16	8	45	13	3	0	3	10	347	NA	347	NA
"275"	171	26	15	20	61	48	4	3	8	5	144	4	2	3	22	8	373	NA	373	NA
"276"	172	27	27	15	58	53	5	2	6	8	56	2	2	3	8	4	276	NA	276	NA
"277"	173	10	2	6	95	4	1	4	5	6	6	2	1	1	1	1	145	NA	145	NA
"278"	174	8	3	3	92	126	4	7	13	6	167	13	8	2	12	7	471	NA	471	NA
"279"	175	7	6	4	64	278	5	7	14	11	126	10	12	8	13	4	569	NA	569	NA
"280"	176	9	8	4	140	113	2	3	8	3	89	3	4	1	4	2	393	NA	393	NA
"281"	177	3	4	3	119	162	4	3	20	7	60	8	9	1	5	3	411	NA	411	NA
"282"	178	10	4	8	255	217	7	5	22	12	135	13	12	7	17	25	749	NA	749	NA
"283"	179	87	5	8	19	201	4	5	12	3	77	6	5	3	12	6	453	NA	453	NA
"284"	NA	198	80	81	926	1390	44	42	124	69	905	74	58	29	97	70	4187	0	4187	0
"285"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"286"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"287"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"288"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"289"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"290"	180	12	9	3	83	72	3	5	1	0	90	4	4	3	10	3	302	NA	302	NA
"291"	181	26	36	6	92	124	7	6	21	11	118	12	5	4	17	19	504	NA	504	NA
"292"	182	14	60	12	84	259	12	6	29	14	135	17	8	8	20	16	694	NA	694	NA
"293"	183	13	19	4	141	208	8	4	15	9	208	8	4	4	22	2	669	NA	669	NA
"294"	184	4	12	1	11	65	4	1	3	2	151	10	3	1	12	9	289	NA	289	NA
"295"	185	1	7	1	23	35	2	1	4	4	149	1	0	1	7	1	237	NA	237	NA
"296"	186	11	55	10	398	46	8	3	8	11	171	6	5	9	12	10	763	NA	763	NA
"297"	187	3	29	6	58	53	8	4	4	6	206	16	4	8	17	13	435	NA	435	NA
"298"	188	10	20	3	193	43	6	5	7	7	92	6	3	4	13	6	418	NA	418	NA
"299"	189	8	23	2	184	116	9	3	7	6	73	8	6	6	5	6	462	NA	462	NA
"300"	NA	102	270	48	1267	1021	67	38	99	70	1393	88	42	48	135	85	4773	0	4773	0
"301"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"302"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"303"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"304"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"305"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"306"	190	6	24	5	79	82	5	1	6	12	149	1	2	3	13	5	393	NA	393	NA
"307"	191	21	15	6	194	32	2	8	9	5	168	9	20	5	34	31	559	NA	559	NA
"308"	192	10	8	14	342	129	12	9	9	10	84	13	12	7	9	10	678	NA	678	NA
"309"	193	10	76	7	123	17	3	2	8	4	109	3	2	0	14	3	381	NA	381	NA
"310"	194	14	13	8	123	139	7	6	14	6	107	23	8	2	12	13	495	NA	495	NA
"311"	195	12	15	9	68	90	9	8	8	11	150	6	5	2	13	8	414	NA	414	NA
"312"	196	4	12	0	27	11	1	2	1	2	83	0	1	1	6	4	155	NA	155	NA
"313"	197	18	31	6	131	9	2	5	4	2	83	5	7	9	13	17	342	NA	342	NA
"314"	198	25	47	2	65	8	4	4	4	6	153	2	3	4	12	9	348	NA	348	NA
"315"	199	16	24	8	83	222	4	3	13	6	150	9	5	5	12	11	571	NA	571	NA
"316"	NA	136	265	65	1235	739	49	48	76	64	1236	71	65	38	138	111	4336	0	4336	0
"317"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"318"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"319"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"320"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"321"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"322"	200	11	17	6	148	74	5	2	4	3	130	4	7	2	11	9	433	NA	433	NA
"323"	201	15	10	16	294	49	13	9	10	15	285	8	6	10	18	7	765	NA	765	NA
"324"	202	5	23	6	158	53	6	3	4	9	266	7	4	3	21	13	581	NA	581	NA
"325"	203	24	10	3	243	164	7	3	8	8	160	6	11	4	12	8	671	NA	671	NA
"326"	204	3	3	4	117	152	5	1	6	7	40	12	4	9	5	9	377	NA	377	NA
"327"	205	4	2	2	111	98	3	5	9	5	56	7	1	2	7	2	314	NA	314	NA
"328"	206	9	47	10	104	7	6	2	3	4	304	4	5	4	20	8	537	NA	537	NA
"329"	207	5	59	3	127	95	4	0	12	4	202	3	3	3	18	8	546	NA	546	NA
"330"	208	14	20	1	49	35	3	1	3	2	272	1	4	1	9	1	416	NA	416	NA
"331"	209	32	59	11	60	307	14	6	15	9	140	20	5	3	13	17	711	NA	711	NA
"332"	NA	122	250	62	1411	1034	66	32	74	66	1855	72	50	41	134	82	5351	0	5351	0
"333"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"334"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"335"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"336"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"337"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"338"	210	107	32	9	258	146	7	8	15	6	104	5	6	6	15	22	746	NA	746	NA
"339"	211	27	24	11	121	273	4	6	11	6	128	10	8	5	17	14	665	NA	665	NA
"340"	212	46	11	12	153	361	12	6	24	13	42	22	11	4	6	20	743	NA	743	NA
"341"	213	118	21	19	193	167	11	5	15	6	93	7	9	1	12	11	688	NA	688	NA
"342"	214	25	28	13	92	156	18	10	11	16	278	9	8	4	31	29	728	NA	728	NA
"343"	215	22	11	5	119	139	6	5	15	21	237	12	8	6	21	9	636	NA	636	NA
"344"	216	47	50	8	75	293	10	1	20	5	213	6	4	2	6	4	744	NA	744	NA
"345"	217	15	12	5	160	100	7	8	15	8	193	9	13	11	15	17	588	NA	588	NA
"346"	218	2	9	5	112	125	8	3	18	6	70	13	10	4	14	14	413	NA	413	NA
"347"	219	15	7	5	87	204	9	2	9	8	47	10	11	7	4	7	432	NA	432	NA
"348"	NA	424	205	92	1370	1964	92	54	153	95	1405	103	88	50	141	147	6383	0	6383	0
"349"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"350"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"351"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"352"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"353"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"354"	220	31	2	11	128	66	2	3	5	5	58	6	9	0	5	6	337	NA	337	NA
"355"	221	21	20	9	188	285	19	3	20	11	19	7	12	6	8	6	634	NA	634	NA
"356"	222	0	9	2	153	87	7	1	8	3	75	0	4	0	4	2	355	NA	355	NA
"357"	223	12	16	3	129	112	3	3	9	0	92	3	4	1	10	3	400	NA	400	NA
"358"	224	36	8	17	174	153	7	5	12	14	54	13	11	3	4	13	524	NA	524	NA
"359"	225	41	20	36	24	161	6	3	19	11	105	10	1	5	11	13	466	NA	466	NA
"360"	226	10	9	7	112	43	1	1	6	2	60	0	3	0	1	2	257	NA	257	NA
"361"	227	63	12	10	49	111	5	2	6	4	30	5	3	1	0	2	303	NA	303	NA
"362"	228	1	3	5	216	208	5	5	9	4	15	3	2	1	3	4	484	NA	484	NA
"363"	229	16	5	8	113	24	3	0	7	1	168	1	3	0	5	0	354	NA	354	NA
"364"	NA	231	104	108	1286	1250	58	26	101	55	676	48	52	17	51	51	4114	0	4114	0
"365"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"366"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"367"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"368"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"369"	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
"370"	230	62	14	146	131	127	11	6	24	25	190	14	6	2	15	13	786	NA	786	NA
"371"	231	16	9	29	14	15	10	5	6	4	118	1	2	2	9	8	248	NA	248	NA
"372"	232	24	7	18	71	53	7	5	8	8	114	5	5	3	8	5	341	NA	341	NA
"373"	233	9	8	32	114	102	5	5	18	10	259	3	10	1	22	17	615	NA	615	NA
"374"	234	12	10	38	124	126	8	2	15	17	190	11	8	11	18	16	606	NA	606	NA
"375"	235	8	19	23	47	7	2	2	4	4	68	10	3	4	5	5	211	NA	211	NA
"376"	236	9	21	10	72	155	2	2	13	7	84	6	3	5	9	4	402	NA	402	NA
"377"	237	2	0	2	46	14	1	1	1	1	35	6	0	1	1	0	111	NA	111	NA
"378"	238	6	9	6	56	31	1	0	4	3	1	0	0	1	0	0	118	NA	118	NA
"379"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"380"	NA	148	97	304	675	630	47	28	93	79	1059	56	37	30	87	68	3438	0	3438	0
"381"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"382"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"383"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
