"X1.FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"212"	"128"	"11"	"2"	"332"	"81"	"4"	"2"	"1"	"6"	"15"	"3"	"8"	"465"	""	""
"213"	"129"	"47"	"7"	"348"	"170"	"11"	"8"	"8"	"9"	"3"	"3"	"6"	"620"	""	""
"214"	"130"	"9"	"7"	"170"	"256"	"79"	"4"	"6"	"12"	"2"	"2"	"4"	"551"	""	""
"215"	"131"	"18"	"1"	"178"	"196"	"32"	"4"	"8"	"14"	"3"	"7"	"5"	"466"	""	""
"216"	"132"	"10"	"6"	"206"	"190"	"17"	"4"	"5"	"9"	"2"	"5"	"8"	"462"	""	""
"217"	"133"	"12"	"3"	"290"	"96"	"4"	"5"	"2"	"9"	"4"	"10"	"2"	"437"	""	""
"218"	"134"	"6"	"4"	"217"	"185"	"5"	"3"	"2"	"6"	"9"	"6"	"4"	"447"	""	""
"219"	"135"	"21"	"14"	"242"	"347"	"17"	"5"	"6"	"8"	"8"	"5"	"12"	"685"	""	""
"220"	"136"	"11"	"0"	"231"	"107"	"2"	"2"	"1"	"1"	"2"	"0"	"0"	"357"	""	""
"221"	"137"	"16"	"5"	"157"	"147"	"5"	"1"	"3"	"4"	"11"	"4"	"22"	"375"	""	""
"222"	"138"	"17"	"7"	"142"	"217"	"11"	"4"	"7"	"13"	"6"	"7"	"6"	"437"	""	""
"223"	"Total No. of Votes"	"215"	"64"	"3349"	"2657"	"227"	"48"	"61"	"124"	"99"	"73"	"126"	"7043"	""	""
"224"	"Grand Total"	"1970"	"249"	"17350"	"22564"	"849"	"217"	"353"	"858"	"558"	"399"	"601"	"45435"	""	""
"225"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"226"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"227"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"228"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"229"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"230"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"231"	"139"	"7"	"1"	"112"	"189"	"12"	"1"	"3"	"11"	"2"	"3"	"7"	"348"	""	""
"232"	"140"	"13"	"8"	"403"	"224"	"10"	"7"	"10"	"7"	"8"	"10"	"7"	"707"	""	""
"233"	"141"	"6"	"4"	"96"	"135"	"4"	"0"	"2"	"2"	"1"	"5"	"7"	"262"	""	""
"234"	"142"	"7"	"3"	"195"	"122"	"2"	"1"	"0"	"6"	"5"	"5"	"3"	"349"	""	""
"235"	"143"	"46"	"3"	"260"	"315"	"4"	"4"	"7"	"19"	"7"	"6"	"8"	"679"	""	""
"236"	"144"	"28"	"16"	"233"	"143"	"17"	"9"	"7"	"5"	"9"	"7"	"9"	"483"	""	""
"237"	"145"	"29"	"14"	"285"	"253"	"12"	"4"	"3"	"18"	"8"	"7"	"6"	"639"	""	""
"238"	"146"	"16"	"5"	"232"	"60"	"3"	"3"	"1"	"8"	"7"	"6"	"10"	"351"	""	""
"239"	"147"	"9"	"5"	"128"	"230"	"9"	"1"	"5"	"7"	"10"	"4"	"17"	"425"	""	""
"240"	"148"	"2"	"5"	"75"	"190"	"6"	"1"	"1"	"7"	"4"	"1"	"5"	"297"	""	""
"241"	"149"	"9"	"3"	"120"	"237"	"9"	"4"	"11"	"10"	"11"	"1"	"12"	"427"	""	""
"242"	"150"	"9"	"5"	"394"	"196"	"6"	"3"	"2"	"9"	"14"	"5"	"7"	"650"	""	""
"243"	"151"	"10"	"4"	"295"	"246"	"19"	"5"	"5"	"3"	"14"	"1"	"5"	"607"	""	""
"244"	"152"	"10"	"0"	"269"	"67"	"3"	"0"	"3"	"5"	"3"	"6"	"4"	"370"	""	""
"245"	"Total No. of Votes"	"201"	"76"	"3097"	"2607"	"116"	"43"	"60"	"117"	"103"	"67"	"107"	"6594"	""	""
"246"	"Grand Total"	"2171"	"325"	"20447"	"25171"	"965"	"260"	"413"	"975"	"661"	"466"	"708"	"52029"	""	""
"247"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"248"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"249"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"250"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"251"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"252"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"253"	"153"	"5"	"1"	"232"	"85"	"9"	"2"	"0"	"2"	"7"	"5"	"4"	"352"	""	""
"254"	"154"	"17"	"16"	"103"	"189"	"19"	"3"	"1"	"16"	"10"	"3"	"9"	"386"	""	""
"255"	"155"	"18"	"3"	"182"	"73"	"1"	"2"	"1"	"5"	"12"	"7"	"16"	"320"	""	""
"256"	"156"	"6"	"1"	"147"	"145"	"4"	"0"	"2"	"4"	"5"	"5"	"3"	"322"	""	""
"257"	"157"	"4"	"6"	"90"	"246"	"5"	"1"	"1"	"9"	"4"	"4"	"10"	"380"	""	""
"258"	"158"	"7"	"2"	"193"	"87"	"9"	"1"	"0"	"7"	"13"	"6"	"19"	"344"	""	""
"259"	"159"	"19"	"4"	"343"	"267"	"8"	"7"	"9"	"11"	"11"	"8"	"25"	"712"	""	""
"260"	"160"	"17"	"6"	"184"	"421"	"20"	"2"	"5"	"20"	"12"	"10"	"28"	"725"	""	""
"261"	"161"	"10"	"4"	"128"	"256"	"13"	"3"	"3"	"15"	"13"	"5"	"17"	"467"	""	""
"262"	"162"	"17"	"8"	"181"	"176"	"7"	"6"	"1"	"10"	"8"	"4"	"2"	"420"	""	""
"263"	"163"	"15"	"2"	"28"	"448"	"2"	"1"	"2"	"8"	"1"	"0"	"5"	"512"	""	""
"264"	"164"	"3"	"5"	"129"	"124"	"6"	"4"	"3"	"6"	"2"	"3"	"12"	"297"	""	""
"265"	"165"	"15"	"4"	"103"	"184"	"7"	"1"	"4"	"7"	"9"	"3"	"4"	"341"	""	""
"266"	"166"	"17"	"3"	"198"	"387"	"7"	"4"	"3"	"17"	"7"	"8"	"6"	"657"	""	""
"267"	"Total No. of Votes"	"170"	"65"	"2241"	"3088"	"117"	"37"	"35"	"137"	"114"	"71"	"160"	"6235"	""	""
"268"	"Grand Total"	"2341"	"390"	"22688"	"28259"	"1082"	"297"	"448"	"1112"	"775"	"537"	"868"	"58264"	""	""
"269"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"270"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"271"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"272"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"273"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"274"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"275"	"167"	"7"	"3"	"94"	"319"	"12"	"3"	"7"	"26"	"15"	"6"	"9"	"501"	""	""
"276"	"168"	"32"	"8"	"255"	"229"	"7"	"6"	"7"	"14"	"20"	"8"	"13"	"599"	""	""
"277"	"169"	"29"	"6"	"267"	"220"	"15"	"3"	"7"	"19"	"12"	"8"	"20"	"606"	""	""
"278"	"170"	"12"	"2"	"115"	"164"	"5"	"0"	"2"	"10"	"4"	"3"	"3"	"320"	""	""
"279"	"171"	"15"	"5"	"318"	"45"	"9"	"2"	"3"	"3"	"10"	"3"	"10"	"423"	""	""
"280"	"172"	"8"	"1"	"208"	"128"	"9"	"0"	"2"	"5"	"10"	"9"	"9"	"389"	""	""
"281"	"173"	"7"	"0"	"105"	"246"	"2"	"1"	"7"	"9"	"11"	"7"	"11"	"406"	""	""
"282"	"174"	"14"	"3"	"180"	"327"	"11"	"4"	"4"	"41"	"12"	"8"	"12"	"616"	""	""
"283"	"175"	"13"	"5"	"433"	"48"	"4"	"1"	"0"	"3"	"14"	"6"	"9"	"536"	""	""
"284"	"176"	"7"	"3"	"220"	"88"	"3"	"3"	"1"	"10"	"13"	"3"	"8"	"359"	""	""
"285"	"177"	"16"	"8"	"197"	"296"	"9"	"0"	"3"	"22"	"9"	"2"	"7"	"569"	""	""
"286"	"178"	"1"	"0"	"86"	"154"	"4"	"2"	"5"	"7"	"1"	"1"	"10"	"271"	""	""
"287"	"179"	"8"	"0"	"179"	"16"	"2"	"0"	"0"	"2"	"4"	"2"	"4"	"217"	""	""
"288"	"180"	"7"	"3"	"218"	"332"	"11"	"1"	"4"	"4"	"4"	"1"	"10"	"595"	""	""
"289"	"Total No. of Votes"	"176"	"47"	"2875"	"2612"	"103"	"26"	"52"	"175"	"139"	"67"	"135"	"6407"	""	""
"290"	"Grand Total"	"2517"	"437"	"25563"	"30871"	"1185"	"323"	"500"	"1287"	"914"	"604"	"1003"	"64671"	""	""
"291"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"292"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"293"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"294"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"295"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"296"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"297"	"181"	"9"	"5"	"166"	"224"	"5"	"3"	"5"	"4"	"2"	"3"	"10"	"436"	""	""
"298"	"182"	"6"	"2"	"77"	"201"	"5"	"1"	"3"	"12"	"7"	"2"	"6"	"322"	""	""
"299"	"183"	"5"	"1"	"99"	"228"	"7"	"3"	"3"	"16"	"3"	"2"	"1"	"368"	""	""
"300"	"184"	"6"	"1"	"33"	"140"	"1"	"5"	"4"	"11"	"1"	"2"	"3"	"207"	""	""
"301"	"185"	"0"	"0"	"14"	"363"	"0"	"0"	"1"	"2"	"0"	"1"	"1"	"382"	""	""
"302"	"186"	"6"	"4"	"201"	"116"	"6"	"1"	"3"	"12"	"3"	"1"	"5"	"358"	""	""
"303"	"187"	"6"	"3"	"167"	"76"	"5"	"3"	"5"	"6"	"11"	"3"	"8"	"293"	""	""
"304"	"188"	"11"	"1"	"174"	"295"	"8"	"1"	"6"	"16"	"9"	"11"	"13"	"545"	""	""
"305"	"189"	"10"	"8"	"329"	"112"	"10"	"6"	"3"	"10"	"6"	"5"	"3"	"502"	""	""
"306"	"190"	"12"	"2"	"272"	"328"	"23"	"6"	"5"	"6"	"2"	"2"	"3"	"661"	""	""
"307"	"191"	"23"	"9"	"311"	"194"	"18"	"5"	"6"	"12"	"16"	"11"	"24"	"629"	""	""
"308"	"192"	"13"	"6"	"419"	"107"	"9"	"4"	"1"	"11"	"18"	"6"	"10"	"604"	""	""
"309"	"193"	"14"	"5"	"320"	"242"	"20"	"1"	"3"	"6"	"16"	"9"	"11"	"647"	""	""
"310"	"194"	"50"	"2"	"337"	"25"	"5"	"2"	"0"	"0"	"2"	"3"	"0"	"426"	""	""
"311"	"Total No. of Votes"	"171"	"49"	"2919"	"2651"	"122"	"41"	"48"	"124"	"96"	"61"	"98"	"6380"	""	""
"312"	"Grand Total"	"2688"	"486"	"28482"	"33522"	"1307"	"364"	"548"	"1411"	"1010"	"665"	"1101"	"71051"	""	""
"313"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"314"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"315"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"316"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"317"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"318"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"319"	"195"	"9"	"8"	"164"	"312"	"12"	"2"	"7"	"12"	"12"	"11"	"11"	"560"	""	""
"320"	"196"	"18"	"25"	"228"	"177"	"7"	"5"	"2"	"11"	"15"	"7"	"24"	"519"	""	""
"321"	"197"	"6"	"5"	"309"	"80"	"8"	"1"	"5"	"14"	"16"	"9"	"25"	"478"	""	""
"322"	"198"	"21"	"22"	"212"	"191"	"6"	"9"	"3"	"12"	"14"	"3"	"5"	"498"	""	""
"323"	"199"	"24"	"7"	"236"	"173"	"6"	"2"	"3"	"4"	"9"	"3"	"1"	"468"	""	""
"324"	"200"	"22"	"3"	"217"	"188"	"9"	"5"	"4"	"10"	"12"	"5"	"3"	"478"	""	""
"325"	"201"	"11"	"3"	"85"	"111"	"1"	"2"	"4"	"3"	"3"	"2"	"0"	"225"	""	""
"326"	"202"	"5"	"2"	"159"	"165"	"4"	"2"	"3"	"8"	"6"	"1"	"3"	"358"	""	""
"327"	"203"	"14"	"3"	"67"	"159"	"2"	"0"	"0"	"4"	"5"	"5"	"7"	"266"	""	""
"328"	"204"	"7"	"1"	"239"	"237"	"9"	"1"	"3"	"7"	"17"	"4"	"13"	"538"	""	""
"329"	"205"	"17"	"1"	"64"	"496"	"3"	"5"	"1"	"15"	"2"	"2"	"7"	"613"	""	""
"330"	"206"	"3"	"3"	"31"	"150"	"4"	"1"	"3"	"5"	"1"	"0"	"3"	"204"	""	""
"331"	"207"	"18"	"5"	"315"	"195"	"13"	"8"	"5"	"18"	"23"	"8"	"21"	"629"	""	""
"332"	"208"	"8"	"1"	"443"	"28"	"5"	"1"	"3"	"1"	"2"	"1"	"1"	"494"	""	""
"333"	"Total No. of Votes"	"183"	"89"	"2769"	"2662"	"89"	"44"	"46"	"124"	"137"	"61"	"124"	"6328"	""	""
"334"	"Grand Total"	"2871"	"575"	"31251"	"36184"	"1396"	"408"	"594"	"1535"	"1147"	"726"	"1225"	"77379"	""	""
"335"	"Serial No. of"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of"	"No. of"	"Total No."
"336"	"Polling"	""	""	""	""	""	""	""	""	""	""	""	"Valid"	"Rejected"	"of"
"337"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"338"	"Station"	""	""	""	""	""	""	""	""	""	""	""	"Votes"	"Votes"	"Tendered"
"339"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"340"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"votes"
"341"	"209"	"11"	"3"	"192"	"245"	"16"	"9"	"6"	"16"	"12"	"17"	"37"	"564"	""	""
"342"	"210"	"16"	"7"	"432"	"51"	"7"	"2"	"4"	"7"	"31"	"11"	"36"	"604"	""	""
"343"	"211"	"11"	"6"	"207"	"36"	"7"	"5"	"6"	"5"	"18"	"6"	"21"	"328"	""	""
"344"	"212"	"8"	"4"	"293"	"78"	"3"	"1"	"1"	"4"	"3"	"4"	"6"	"405"	""	""
"345"	"213"	"13"	"6"	"183"	"162"	"14"	"8"	"2"	"9"	"12"	"7"	"13"	"429"	""	""
"346"	"214"	"7"	"4"	"247"	"35"	"4"	"1"	"2"	"1"	"1"	"1"	"1"	"304"	""	""
"347"	"215"	"3"	"2"	"234"	"52"	"6"	"0"	"0"	"3"	"1"	"8"	"1"	"310"	""	""
"348"	"216"	"16"	"2"	"164"	"81"	"4"	"3"	"2"	"4"	"5"	"2"	"8"	"291"	""	""
"349"	"217"	"14"	"4"	"343"	"62"	"5"	"3"	"3"	"4"	"10"	"8"	"8"	"464"	""	""
"350"	"218"	"11"	"8"	"230"	"374"	"14"	"5"	"6"	"20"	"5"	"2"	"11"	"686"	""	""
"351"	"219"	"9"	"2"	"285"	"57"	"5"	"5"	"5"	"3"	"16"	"10"	"7"	"404"	""	""
"352"	"220"	"6"	"3"	"247"	"108"	"8"	"1"	"4"	"1"	"6"	"6"	"6"	"396"	""	""
"353"	"221"	"10"	"5"	"131"	"231"	"9"	"4"	"1"	"17"	"6"	"3"	"9"	"426"	""	""
"354"	"222"	"6"	"3"	"184"	"108"	"2"	"0"	"3"	"10"	"1"	"3"	"2"	"322"	""	""
"355"	"Total No. of Votes"	"141"	"59"	"3372"	"1680"	"104"	"47"	"45"	"104"	"127"	"88"	"166"	"5933"	""	""
"356"	"Grand Total"	"3012"	"634"	"34623"	"37864"	"1500"	"455"	"639"	"1639"	"1274"	"814"	"1391"	"83312"	""	""
"357"	"Serial No. of Polling Station"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total No. of Tendered votes"
"358"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	""	""	""
"359"	""	"DASAI CHOUDHARY"	"MAHESHW AR DAS"	"RAM VILAS PASWAN"	"RAM SUNDAR DAS"	"DINESH CHANDRA BHUSHAN"	"NAND LAL PASWAN"	"PRATIMA KUMARI"	"RAJENDRA KUMAR PASWAN"	"RAM TIRTH PASWAN"	"VISHWA VIJAY KUMAR VIDHYARTHI"	"SANJAY PASHWAN"	""	""	""
"360"	"223"	"16"	"3"	"124"	"335"	"11"	"4"	"8"	"28"	"13"	"10"	"18"	"570"	""	""
"361"	"Total No. of Votes"	"16"	"3"	"124"	"335"	"11"	"4"	"8"	"28"	"13"	"10"	"18"	"570"	""	""
"362"	"Grand Total:"	"3028"	"809"	"41752"	"46147"	"1847"	"594"	"861"	"2107"	"1601"	"1032"	"1715"	"101493"	""	""
