"Sl..No."	"No..of.Polli.ng.Station"	"No..of.Valid..votes.cast..in..favour..of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"Total.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tende.red.votes"
"151"	"140"	"140"	"40"	"21"	"203"	"58"	"84"	"3"	"4"	"4"	"1"	"0"	"4"	"4"	"10"	"4"	"5"	"445"	"0"	"445"	""
"152"	"141"	"141"	"36"	"8"	"193"	"115"	"4"	"1"	"1"	"2"	"3"	"1"	"0"	"4"	"6"	"5"	"7"	"386"	"0"	"386"	""
"153"	"142"	"142"	"24"	"10"	"114"	"163"	"38"	"2"	"2"	"0"	"0"	"0"	"0"	"2"	"3"	"0"	"1"	"359"	"0"	"359"	""
"154"	"143"	"143"	"152"	"9"	"300"	"52"	"70"	"3"	"4"	"8"	"5"	"5"	"4"	"10"	"19"	"13"	"12"	"666"	"0"	"666"	""
"155"	"144"	"144"	"32"	"16"	"337"	"40"	"4"	"0"	"2"	"1"	"2"	"0"	"1"	"3"	"10"	"3"	"5"	"456"	"0"	"456"	""
"156"	"145"	"145"	"43"	"6"	"316"	"43"	"12"	"0"	"4"	"1"	"2"	"1"	"1"	"1"	"8"	"3"	"1"	"442"	"0"	"442"	""
"157"	"146"	"146"	"132"	"7"	"125"	"25"	"5"	"1"	"4"	"1"	"1"	"0"	"1"	"1"	"3"	"2"	"2"	"310"	"0"	"310"	""
"158"	"147"	"147"	"56"	"19"	"630"	"36"	"19"	"4"	"4"	"10"	"1"	"2"	"3"	"5"	"9"	"8"	"7"	"813"	"0"	"813"	""
"159"	"148"	"148"	"28"	"21"	"458"	"83"	"12"	"1"	"2"	"2"	"2"	"1"	"3"	"2"	"10"	"9"	"10"	"644"	"0"	"644"	""
"160"	"149"	"149"	"6"	"1"	"67"	"13"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"93"	"0"	"93"	""
"161"	"150"	"150"	"171"	"4"	"229"	"36"	"14"	"1"	"2"	"0"	"0"	"1"	"0"	"4"	"13"	"8"	"10"	"493"	"0"	"493"	""
"162"	"151"	"151"	"108"	"12"	"241"	"18"	"8"	"1"	"0"	"2"	"0"	"0"	"3"	"2"	"8"	"4"	"10"	"417"	"0"	"417"	""
"163"	"152"	"152"	"182"	"26"	"513"	"55"	"17"	"2"	"4"	"3"	"0"	"2"	"3"	"0"	"8"	"1"	"5"	"821"	"0"	"821"	""
"164"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tende red votes"
"165"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"166"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"167"	"153"	"153"	"215"	"12"	"511"	"41"	"11"	"3"	"3"	"2"	"1"	"1"	"0"	"2"	"4"	"1"	"0"	"807"	"0"	"807"	""
"168"	"154"	"154"	"35"	"38"	"365"	"44"	"71"	"1"	"6"	"1"	"1"	"0"	"3"	"5"	"3"	"6"	"9"	"588"	"0"	"588"	""
"169"	"155"	"155"	"45"	"26"	"183"	"16"	"41"	"0"	"3"	"2"	"2"	"1"	"0"	"2"	"5"	"7"	"18"	"351"	"0"	"351"	""
"170"	"156"	"156"	"147"	"16"	"209"	"305"	"12"	"1"	"0"	"2"	"4"	"1"	"1"	"1"	"4"	"1"	"3"	"707"	"0"	"707"	""
"171"	"157"	"157"	"54"	"20"	"548"	"29"	"11"	"2"	"2"	"1"	"0"	"0"	"2"	"2"	"15"	"15"	"13"	"714"	"0"	"714"	""
"172"	"158"	"158"	"216"	"17"	"51"	"28"	"7"	"0"	"1"	"1"	"0"	"0"	"0"	"2"	"1"	"1"	"8"	"333"	"0"	"333"	""
"173"	"159"	"159"	"47"	"23"	"253"	"205"	"40"	"3"	"1"	"1"	"2"	"1"	"0"	"6"	"6"	"4"	"12"	"604"	"0"	"604"	""
"174"	"160"	"160"	"6"	"7"	"153"	"115"	"6"	"1"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"0"	"3"	"298"	"0"	"298"	""
"175"	"161"	"161"	"93"	"4"	"49"	"101"	"19"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"4"	"1"	"3"	"278"	"0"	"278"	""
"176"	"162"	"162"	"55"	"20"	"169"	"154"	"12"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"0"	"418"	"0"	"418"	""
"177"	"163"	"163"	"188"	"4"	"5"	"18"	"6"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"227"	"0"	"227"	""
"178"	"164"	"164"	"10"	"7"	"56"	"203"	"95"	"2"	"1"	"2"	"1"	"1"	"3"	"0"	"2"	"1"	"1"	"385"	"0"	"385"	""
"179"	"165"	"165"	"63"	"17"	"308"	"93"	"10"	"2"	"1"	"0"	"8"	"2"	"2"	"5"	"6"	"5"	"8"	"530"	"0"	"530"	""
"180"	"166"	"166"	"276"	"16"	"190"	"44"	"28"	"1"	"2"	"3"	"2"	"1"	"1"	"3"	"16"	"7"	"12"	"602"	"0"	"602"	""
"181"	"167"	"167"	"187"	"12"	"145"	"12"	"73"	"3"	"3"	"3"	"0"	"1"	"2"	"5"	"11"	"11"	"5"	"473"	"0"	"473"	""
"182"	"168"	"168"	"39"	"10"	"246"	"5"	"38"	"5"	"0"	"1"	"2"	"0"	"1"	"2"	"5"	"9"	"1"	"364"	"0"	"364"	""
"183"	"169"	"169"	"100"	"12"	"405"	"18"	"6"	"4"	"4"	"0"	"0"	"2"	"3"	"6"	"19"	"18"	"8"	"605"	"0"	"605"	""
"184"	"170"	"170"	"108"	"13"	"287"	"100"	"9"	"1"	"2"	"2"	"2"	"0"	"2"	"4"	"8"	"6"	"6"	"550"	"0"	"550"	""
"185"	"171"	"171"	"52"	"29"	"254"	"203"	"59"	"3"	"5"	"2"	"1"	"3"	"1"	"4"	"8"	"5"	"8"	"637"	"0"	"637"	""
"186"	"172"	"172"	"74"	"30"	"352"	"39"	"23"	"4"	"1"	"1"	"0"	"1"	"6"	"9"	"23"	"11"	"23"	"597"	"0"	"597"	""
"187"	"173"	"173"	"312"	"9"	"242"	"38"	"8"	"1"	"2"	"1"	"1"	"1"	"0"	"2"	"9"	"6"	"14"	"646"	"0"	"646"	""
"188"	"174"	"174"	"136"	"9"	"217"	"119"	"51"	"4"	"0"	"2"	"0"	"0"	"1"	"0"	"5"	"3"	"1"	"548"	"0"	"548"	""
"189"	"175"	"175"	"39"	"26"	"345"	"40"	"56"	"3"	"2"	"4"	"1"	"2"	"0"	"9"	"5"	"10"	"4"	"546"	"0"	"546"	""
"190"	"176"	"176"	"151"	"17"	"241"	"24"	"4"	"0"	"1"	"2"	"0"	"1"	"2"	"2"	"3"	"4"	"8"	"460"	"0"	"460"	""
"191"	"177"	"177"	"66"	"24"	"274"	"119"	"83"	"4"	"9"	"3"	"8"	"3"	"5"	"13"	"18"	"11"	"33"	"673"	"0"	"673"	""
"192"	"178"	"178"	"47"	"49"	"352"	"67"	"27"	"4"	"2"	"1"	"1"	"4"	"4"	"7"	"20"	"11"	"15"	"611"	"0"	"611"	""
"193"	"179"	"179"	"81"	"37"	"318"	"68"	"97"	"3"	"3"	"4"	"1"	"3"	"5"	"7"	"19"	"10"	"26"	"682"	"0"	"682"	""
"194"	"180"	"180"	"43"	"17"	"283"	"25"	"4"	"3"	"1"	"3"	"1"	"1"	"2"	"2"	"1"	"1"	"3"	"390"	"0"	"390"	""
"195"	"181"	"181"	"118"	"8"	"173"	"8"	"13"	"0"	"0"	"2"	"1"	"0"	"0"	"2"	"6"	"6"	"3"	"340"	"0"	"340"	""
"196"	"182"	"182"	"130"	"13"	"321"	"75"	"20"	"3"	"3"	"1"	"4"	"6"	"2"	"8"	"11"	"13"	"20"	"630"	"0"	"630"	""
"197"	"183"	"183"	"5"	"9"	"115"	"134"	"66"	"4"	"2"	"1"	"1"	"1"	"2"	"1"	"3"	"3"	"3"	"350"	"0"	"350"	""
"198"	"184"	"184"	"8"	"17"	"212"	"110"	"33"	"2"	"5"	"3"	"1"	"1"	"1"	"7"	"8"	"4"	"3"	"415"	"0"	"415"	""
"199"	"185"	"185"	"119"	"9"	"114"	"36"	"24"	"1"	"6"	"1"	"1"	"2"	"3"	"5"	"3"	"7"	"7"	"338"	"0"	"338"	""
"200"	"186"	"186"	"8"	"11"	"226"	"13"	"15"	"1"	"2"	"0"	"1"	"1"	"0"	"0"	"1"	"6"	"4"	"289"	"0"	"289"	""
"201"	"187"	"187"	"142"	"13"	"102"	"22"	"30"	"1"	"1"	"4"	"0"	"0"	"0"	"1"	"6"	"5"	"8"	"335"	"0"	"335"	""
"202"	"188"	"188"	"40"	"15"	"123"	"202"	"90"	"7"	"2"	"0"	"1"	"2"	"3"	"2"	"8"	"2"	"7"	"504"	"0"	"504"	""
"203"	"189"	"189"	"32"	"4"	"14"	"182"	"62"	"1"	"0"	"3"	"2"	"0"	"2"	"3"	"1"	"1"	"0"	"307"	"0"	"307"	""
"204"	"190"	"190"	"4"	"10"	"120"	"48"	"67"	"4"	"6"	"3"	"3"	"4"	"1"	"5"	"7"	"6"	"5"	"293"	"0"	"293"	""
"205"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tende red votes"
"206"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"207"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"208"	"191"	"191"	"158"	"14"	"63"	"31"	"249"	"14"	"8"	"4"	"2"	"5"	"8"	"10"	"5"	"11"	"26"	"608"	"0"	"608"	""
"209"	"192"	"192"	"22"	"10"	"138"	"66"	"155"	"28"	"5"	"5"	"2"	"3"	"4"	"3"	"8"	"7"	"24"	"480"	"0"	"480"	""
"210"	"193"	"193"	"13"	"16"	"233"	"70"	"118"	"6"	"4"	"5"	"3"	"1"	"4"	"3"	"4"	"6"	"9"	"495"	"0"	"495"	""
"211"	"194"	"194"	"35"	"12"	"215"	"47"	"302"	"22"	"11"	"2"	"3"	"4"	"3"	"8"	"11"	"5"	"26"	"706"	"0"	"706"	""
"212"	"195"	"195"	"58"	"14"	"174"	"14"	"191"	"7"	"1"	"3"	"2"	"3"	"2"	"3"	"4"	"9"	"22"	"507"	"0"	"507"	""
"213"	"196"	"196"	"93"	"13"	"12"	"22"	"19"	"0"	"1"	"1"	"1"	"0"	"0"	"2"	"0"	"4"	"9"	"177"	"0"	"177"	""
"214"	"197"	"197"	"343"	"11"	"7"	"22"	"128"	"5"	"1"	"3"	"1"	"2"	"5"	"2"	"5"	"1"	"20"	"556"	"0"	"556"	""
"215"	"198"	"198"	"173"	"19"	"284"	"20"	"55"	"1"	"4"	"8"	"2"	"3"	"0"	"7"	"16"	"7"	"16"	"615"	"0"	"615"	""
"216"	"199"	"199"	"49"	"9"	"36"	"49"	"198"	"6"	"4"	"1"	"1"	"2"	"0"	"1"	"1"	"2"	"5"	"364"	"0"	"364"	""
"217"	"200"	"200"	"11"	"13"	"112"	"72"	"68"	"1"	"5"	"3"	"0"	"1"	"1"	"5"	"9"	"6"	"14"	"321"	"0"	"321"	""
"218"	"201"	"201"	"21"	"16"	"119"	"74"	"55"	"4"	"1"	"1"	"0"	"1"	"0"	"0"	"16"	"3"	"4"	"315"	"0"	"315"	""
"219"	"202"	"202"	"195"	"29"	"190"	"123"	"149"	"9"	"6"	"10"	"6"	"2"	"5"	"3"	"11"	"7"	"13"	"758"	"0"	"758"	""
"220"	"203"	"203"	"477"	"8"	"6"	"7"	"8"	"1"	"1"	"0"	"0"	"0"	"1"	"3"	"3"	"2"	"21"	"538"	"0"	"538"	""
"221"	"204"	"204"	"28"	"19"	"194"	"234"	"103"	"3"	"1"	"2"	"2"	"1"	"7"	"5"	"8"	"7"	"9"	"623"	"0"	"623"	""
"222"	"205"	"205"	"0"	"1"	"7"	"175"	"50"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"236"	"0"	"236"	""
"223"	"206"	"206"	"29"	"5"	"132"	"59"	"137"	"12"	"3"	"4"	"5"	"3"	"0"	"3"	"8"	"6"	"9"	"415"	"0"	"415"	""
"224"	"207"	"207"	"151"	"7"	"22"	"2"	"15"	"1"	"1"	"1"	"0"	"1"	"0"	"2"	"2"	"1"	"9"	"215"	"0"	"215"	""
"225"	"208"	"208"	"4"	"8"	"97"	"111"	"89"	"1"	"1"	"1"	"0"	"1"	"4"	"5"	"2"	"5"	"2"	"331"	"0"	"331"	""
"226"	"209"	"209"	"9"	"11"	"149"	"82"	"151"	"7"	"1"	"3"	"1"	"3"	"7"	"6"	"9"	"7"	"11"	"457"	"0"	"457"	""
"227"	"210"	"210"	"128"	"16"	"205"	"116"	"13"	"2"	"3"	"32"	"8"	"1"	"8"	"6"	"6"	"9"	"12"	"565"	"0"	"565"	""
"228"	"211"	"211"	"11"	"22"	"168"	"176"	"106"	"5"	"2"	"5"	"5"	"2"	"5"	"5"	"12"	"4"	"17"	"545"	"0"	"545"	""
"229"	"212"	"212"	"46"	"14"	"117"	"87"	"60"	"4"	"1"	"2"	"2"	"1"	"3"	"1"	"6"	"7"	"5"	"356"	"0"	"356"	""
"230"	"213"	"213"	"86"	"18"	"222"	"72"	"49"	"2"	"3"	"3"	"2"	"0"	"2"	"4"	"4"	"0"	"2"	"469"	"0"	"469"	""
"231"	"214"	"214"	"31"	"18"	"83"	"172"	"41"	"4"	"2"	"3"	"3"	"1"	"1"	"6"	"10"	"6"	"8"	"389"	"0"	"389"	""
"232"	"215"	"215"	"201"	"22"	"127"	"99"	"29"	"1"	"4"	"2"	"5"	"1"	"0"	"6"	"5"	"5"	"13"	"520"	"0"	"520"	""
"233"	"216"	"216"	"56"	"9"	"166"	"89"	"94"	"4"	"6"	"8"	"5"	"4"	"4"	"9"	"19"	"13"	"44"	"530"	"0"	"530"	""
"234"	"217"	"217"	"97"	"24"	"114"	"253"	"49"	"2"	"3"	"6"	"4"	"12"	"4"	"7"	"9"	"7"	"9"	"600"	"0"	"600"	""
"235"	"218"	"218"	"131"	"6"	"149"	"126"	"46"	"1"	"3"	"2"	"5"	"1"	"2"	"4"	"5"	"3"	"12"	"496"	"0"	"496"	""
"236"	"219"	"219"	"8"	"13"	"92"	"168"	"21"	"2"	"2"	"3"	"1"	"2"	"1"	"2"	"6"	"2"	"4"	"327"	"0"	"327"	""
"237"	"220"	"220"	"305"	"14"	"7"	"10"	"8"	"1"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"354"	"0"	"354"	""
"238"	"221"	"221"	"13"	"11"	"86"	"33"	"155"	"4"	"2"	"3"	"2"	"6"	"3"	"3"	"4"	"3"	"9"	"337"	"0"	"337"	""
"239"	"222"	"222"	"221"	"8"	"21"	"23"	"19"	"1"	"2"	"1"	"0"	"1"	"2"	"1"	"4"	"4"	"11"	"319"	"0"	"319"	""
"240"	"223"	"223"	"125"	"21"	"99"	"19"	"96"	"6"	"4"	"7"	"5"	"2"	"4"	"5"	"3"	"4"	"10"	"410"	"0"	"410"	""
"241"	"224"	"224"	"111"	"15"	"152"	"42"	"8"	"2"	"1"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"5"	"341"	"0"	"341"	""
"242"	"225"	"225"	"13"	"11"	"86"	"33"	"155"	"4"	"2"	"3"	"2"	"6"	"3"	"3"	"4"	"3"	"9"	"337"	"0"	"337"	""
"243"	"226"	"226"	"221"	"8"	"21"	"23"	"19"	"1"	"2"	"1"	"0"	"1"	"2"	"1"	"4"	"4"	"11"	"319"	"0"	"319"	""
"244"	"227"	"227"	"19"	"4"	"11"	"143"	"10"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"190"	"0"	"190"	""
"245"	"228"	"228"	"24"	"8"	"59"	"35"	"16"	"1"	"0"	"4"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"152"	"0"	"152"	""
"246"	"Sl.
No."	"No. of Polli ng Station"	"No. of Valid  votes cast  in  favour  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tende red votes"
"247"	""	""	"MD. ANWAR UL
HAQUE"	"MD. TANVEE R ZAFAR"	"RAMA DEVI"	"LOVELY ANAND"	"SITARAM SINGH"	"ARUN SAH"	"BASDEO SAH"	"SHATRU GHNA SAHU"	"AJAY KUMAR PANDEY"	"CHANDR IKA PRASAD"	"MOHAM MAD FIROZ
AHAMAD"	"MOHSIN"	"YOGEND RA RAM"	"RAMA ASHISH MAHTO"	"SUNIL SINGH"	""	""	""	""
"248"	"A"	"B"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"17"	"18"	"19"	"20"
"249"	"229"	"229"	"140"	"16"	"68"	"115"	"35"	"0"	"3"	"2"	"3"	"1"	"3"	"4"	"9"	"2"	"6"	"407"	"0"	"407"	""
"250"	"230"	"230"	"39"	"12"	"142"	"132"	"11"	"2"	"2"	"0"	"0"	"2"	"0"	"3"	"4"	"3"	"9"	"361"	"0"	"361"	""
"251"	"Total No. of"	""	"23815"	"3269"	"38878"	"17999"	"12460"	"604"	"554"	"559"	"353"	"295"	"409"	"805"	"1562"	"1201"	"2121"	"104884"	"0"	"104884"	""
"252"	"No. of votes"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"253"	"Total Votes"	""	"23815"	"3269"	"38878"	"17999"	"12460"	"604"	"554"	"559"	"353"	"295"	"409"	"805"	"1562"	"1201"	"2121"	"104884"	"0"	"104884"	""
"254"	"Place :MOTIHARI                                                                                                                                                                                                                                             Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	":   16/05/2009                                                                                                                                                                                                                                                                               022-Sheohar"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
