"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"
"1"	"[See rule  56(7) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(To be used recording the result of voting at polling sations other than notified polling stations) Election of the HOUSE OF PEOPLE From the 14 - DARBHANGA PARLIAMENTARY Constituency PART  I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"(To be used for Parliamentary and Assembly elections) Name of the Assembly Segment ( in the case of election for a Parliamentary constituency )…83 - DARBHANGA"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Total No. of electors in Assembly constituency / Segment   : 233447"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"6"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"138"	"118"	"118"	""	"103"	"30"	"361"	"6"	"1"	""	"2"	"1"	"1"	"2"	"0"	"2"	"0"	"0"	""	"1"	"510"	"-"	"510"	""	""
"139"	"119"	"119"	""	"77"	"34"	"404"	"5"	"1"	""	"4"	"1"	"0"	"2"	"1"	"2"	"7"	"7"	""	"9"	"554"	"-"	"554"	""	""
"140"	"120"	"120"	""	"23"	"67"	"247"	"8"	"0"	""	"0"	"2"	"1"	"0"	"1"	"2"	"6"	"7"	""	"4"	"368"	"-"	"368"	""	""
"141"	"121"	"121"	""	"27"	"133"	"252"	"6"	"1"	""	"1"	"2"	"4"	"0"	"1"	"1"	"1"	"0"	""	"5"	"434"	"-"	"434"	""	""
"142"	"122"	"122"	""	"45"	"73"	"519"	"8"	"1"	""	"4"	"1"	"1"	"3"	"0"	"3"	"5"	"2"	""	"6"	"671"	"-"	"671"	""	""
"143"	"123"	"123"	""	"32"	"134"	"473"	"5"	"2"	""	"0"	"1"	"1"	"0"	"2"	"1"	"3"	"0"	""	"2"	"656"	"-"	"656"	""	""
"144"	"124"	"124"	""	"27"	"21"	"564"	"6"	"1"	""	"10"	"1"	"3"	"5"	"1"	"0"	"4"	"1"	""	"5"	"649"	"-"	"649"	""	""
"145"	"125"	"125"	""	"39"	"135"	"485"	"10"	"2"	""	"7"	"1"	"0"	"16"	"3"	"1"	"5"	"4"	""	"6"	"714"	"-"	"714"	""	""
"146"	"126"	"126"	""	"10"	"5"	"111"	"1"	"0"	""	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	""	"1"	"132"	"-"	"132"	""	""
"147"	"127"	"127"	""	"48"	"161"	"553"	"20"	"3"	""	"3"	"3"	"5"	"29"	"3"	"7"	"12"	"7"	""	"6"	"860"	"-"	"860"	""	""
"148"	"128"	"128"	""	"45"	"91"	"327"	"5"	"0"	""	"0"	"4"	"2"	"37"	"0"	"2"	"3"	"1"	""	"1"	"518"	"-"	"518"	""	""
"149"	"129"	"129"	""	"35"	"354"	"334"	"4"	"1"	""	"2"	"1"	"0"	"3"	"0"	"3"	"11"	"6"	""	"12"	"766"	"-"	"766"	""	""
"150"	"130"	"130"	""	"23"	"63"	"282"	"2"	"0"	""	"1"	"0"	"0"	"11"	"2"	"2"	"7"	"1"	""	"9"	"403"	"-"	"403"	""	""
"151"	"131"	"131"	""	"26"	"142"	"225"	"4"	"1"	""	"1"	"2"	"1"	"11"	"2"	"3"	"2"	"2"	""	"1"	"423"	"-"	"423"	""	""
"152"	"132"	"132"	""	"53"	"312"	"231"	"14"	"1"	""	"1"	"4"	"5"	"4"	"5"	"6"	"7"	"7"	""	"6"	"656"	"-"	"656"	""	""
"153"	"133"	"133"	""	"11"	"266"	"128"	"2"	"2"	""	"5"	"0"	"0"	"2"	"1"	"2"	"0"	"0"	""	"0"	"419"	"-"	"419"	""	""
"154"	"134"	"134"	""	"32"	"117"	"383"	"4"	"2"	""	"2"	"2"	"1"	"1"	"3"	"5"	"3"	"4"	""	"11"	"570"	"-"	"570"	""	""
"155"	"135"	"135"	""	"17"	"102"	"351"	"6"	"1"	""	"0"	"3"	"1"	"5"	"1"	"2"	"2"	"5"	""	"5"	"501"	"-"	"501"	""	""
"156"	"136"	"136"	""	"28"	"68"	"216"	"3"	"1"	""	"1"	"2"	"0"	"2"	"0"	"1"	"5"	"0"	""	"4"	"331"	"-"	"331"	""	""
"157"	"137"	"137"	""	"36"	"128"	"349"	"1"	"0"	""	"1"	"3"	"1"	"3"	"0"	"4"	"0"	"2"	""	"6"	"534"	"-"	"534"	""	""
"158"	"138"	"138"	""	"6"	"45"	"227"	"1"	"1"	""	"0"	"0"	"0"	"3"	"0"	"1"	"2"	"2"	""	"4"	"292"	"-"	"292"	""	""
"159"	"139"	"139"	""	"23"	"38"	"506"	"11"	"0"	""	"1"	"0"	"2"	"1"	"0"	"2"	"5"	"1"	""	"5"	"595"	"-"	"595"	""	""
"160"	"140"	"140"	""	"28"	"117"	"361"	"7"	"2"	""	"0"	"1"	"0"	"0"	"1"	"0"	"4"	"2"	""	"2"	"525"	"-"	"525"	""	""
"161"	"141"	"141"	""	"70"	"112"	"472"	"7"	"3"	""	"1"	"3"	"1"	"1"	"3"	"1"	"5"	"3"	""	"3"	"685"	"-"	"685"	""	""
"162"	"142"	"142"	""	"21"	"76"	"218"	"2"	"1"	""	"1"	"0"	"2"	"1"	"0"	"1"	"2"	"1"	""	"2"	"328"	"-"	"328"	""	""
"163"	"143"	"143"	""	"54"	"234"	"57"	"3"	"4"	""	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	""	"4"	"361"	"-"	"361"	""	""
"164"	"144"	"144"	""	"20"	"283"	"148"	"1"	"3"	""	"0"	"0"	"0"	"2"	"1"	"0"	"3"	"8"	""	"6"	"475"	"-"	"475"	""	""
"165"	"145"	"145"	""	"9"	"81"	"96"	"0"	"1"	""	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	""	"4"	"196"	"-"	"196"	""	""
"166"	"146"	"146"	""	"58"	"84"	"367"	"3"	"2"	""	"2"	"1"	"1"	"4"	"2"	"3"	"7"	"5"	""	"9"	"548"	"-"	"548"	""	""
"167"	"147"	"147"	""	"26"	"197"	"85"	"1"	"2"	""	"1"	"1"	"0"	"1"	"2"	"1"	"2"	"3"	""	"5"	"327"	"-"	"327"	""	""
"168"	"5/25/20114:01 PM                                                                        E:\Bihar - Assembly General Election,2010_Form 20\03 Form 20\14 Darbhanga\daru83daru83form20                                                                                       Page#4/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"169"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"170"	""	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	""	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	""	"Prof. Hareram Acharya"	""	""	""	""	""
"171"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"172"	"148"	"148"	""	"27"	"16"	"317"	"3"	"0"	""	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"2"	""	"6"	"376"	"-"	"376"	""	""
"173"	"149"	"149"	""	"28"	"30"	"427"	"7"	"1"	""	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	""	"3"	"500"	"-"	"500"	""	""
"174"	"150"	"150"	""	"33"	"60"	"362"	"2"	"0"	""	"0"	"1"	"0"	"0"	"0"	"5"	"3"	"1"	""	"1"	"468"	"-"	"468"	""	""
"175"	"151"	"151"	""	"64"	"210"	"265"	"6"	"0"	""	"1"	"0"	"2"	"3"	"2"	"2"	"6"	"4"	""	"9"	"574"	"-"	"574"	""	""
"176"	"152"	"152"	""	"57"	"95"	"470"	"7"	"2"	""	"4"	"3"	"4"	"1"	"4"	"3"	"7"	"4"	""	"9"	"670"	"-"	"670"	""	""
"177"	"153"	"153"	""	"18"	"337"	"106"	"3"	"1"	""	"2"	"1"	"2"	"0"	"3"	"1"	"3"	"11"	""	"7"	"495"	"-"	"495"	""	""
"178"	"154"	"154"	""	"9"	"113"	"126"	"2"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"3"	"253"	"-"	"253"	""	""
"179"	"155"	"155"	""	"48"	"81"	"442"	"3"	"1"	""	"3"	"1"	"0"	"3"	"0"	"0"	"0"	"4"	""	"5"	"591"	"-"	"591"	""	""
"180"	"156"	"156"	""	"49"	"150"	"177"	"2"	"1"	""	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"5"	""	"3"	"392"	"-"	"392"	""	""
"181"	"157"	"157"	""	"62"	"227"	"29"	"0"	"1"	""	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"3"	""	"1"	"326"	"-"	"326"	""	""
"182"	"158"	"158"	""	"24"	"277"	"18"	"0"	"1"	""	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"6"	""	"7"	"336"	"-"	"336"	""	""
"183"	"159"	"159"	""	"72"	"257"	"122"	"0"	"0"	""	"1"	"0"	"1"	"2"	"3"	"3"	"4"	"13"	""	"8"	"486"	"-"	"486"	""	""
"184"	"160"	"160"	""	"75"	"204"	"99"	"2"	"0"	""	"1"	"0"	"0"	"1"	"1"	"1"	"1"	"3"	""	"1"	"389"	"-"	"389"	""	""
"185"	"161"	"161"	""	"17"	"122"	"7"	"1"	"0"	""	"0"	"1"	"0"	"2"	"0"	"3"	"0"	"0"	""	"1"	"154"	"-"	"154"	""	""
"186"	"162"	"162"	""	"64"	"277"	"172"	"4"	"0"	""	"1"	"1"	"2"	"2"	"1"	"1"	"6"	"4"	""	"8"	"543"	"-"	"543"	""	""
"187"	"163"	"163"	""	"46"	"252"	"137"	"5"	"0"	""	"0"	"0"	"1"	"1"	"1"	"5"	"5"	"6"	""	"2"	"461"	"-"	"461"	""	""
"188"	"164"	"164"	""	"75"	"351"	"131"	"4"	"1"	""	"1"	"1"	"0"	"2"	"2"	"2"	"3"	"4"	""	"3"	"580"	"-"	"580"	""	""
"189"	"165"	"165"	""	"59"	"281"	"62"	"0"	"0"	""	"1"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	""	"3"	"410"	"-"	"410"	""	""
"190"	"166"	"166"	""	"48"	"426"	"37"	"2"	"0"	""	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"3"	""	"4"	"524"	"-"	"524"	""	""
"191"	"167"	"167"	""	"39"	"217"	"210"	"3"	"1"	""	"0"	"1"	"0"	"3"	"0"	"0"	"6"	"10"	""	"25"	"515"	"-"	"515"	""	""
"192"	"168"	"168"	""	"41"	"271"	"5"	"0"	"0"	""	"1"	"0"	"0"	"0"	"0"	"4"	"1"	"2"	""	"8"	"333"	"-"	"333"	""	""
"193"	"169"	"169"	""	"62"	"426"	"195"	"3"	"0"	""	"2"	"0"	"0"	"3"	"0"	"1"	"0"	"4"	""	"2"	"698"	"-"	"698"	""	""
"194"	"170"	"170"	""	"84"	"361"	"19"	"1"	"0"	""	"3"	"0"	"0"	"2"	"0"	"3"	"3"	"3"	""	"6"	"485"	"-"	"485"	""	""
"195"	"171"	"171"	""	"83"	"412"	"17"	"1"	"0"	""	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	""	"3"	"520"	"-"	"520"	""	""
"196"	"172"	"172"	""	"20"	"231"	"8"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	""	"0"	"264"	"-"	"264"	""	""
"197"	"173"	"173"	""	"20"	"175"	"179"	"3"	"1"	""	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"2"	""	"8"	"392"	"-"	"392"	""	""
"198"	"174"	"174"	""	"85"	"286"	"150"	"4"	"1"	""	"7"	"0"	"0"	"0"	"0"	"0"	"6"	"6"	""	"4"	"549"	"-"	"549"	""	""
"199"	"175"	"175"	""	"37"	"233"	"371"	"5"	"1"	""	"4"	"1"	"2"	"0"	"1"	"0"	"7"	"6"	""	"9"	"677"	"-"	"677"	""	""
"200"	"176"	"176"	""	"9"	"111"	"277"	"10"	"1"	""	"2"	"1"	"1"	"0"	"2"	"0"	"1"	"3"	""	"3"	"421"	"-"	"421"	""	""
"201"	"177"	"177"	""	"44"	"132"	"452"	"4"	"1"	""	"2"	"2"	"0"	"8"	"5"	"0"	"4"	"5"	""	"14"	"673"	"-"	"673"	""	""
"202"	"178"	"178"	""	"47"	"167"	"374"	"5"	"3"	""	"4"	"1"	"1"	"1"	"2"	"1"	"7"	"1"	""	"5"	"619"	"-"	"619"	""	""
"203"	"179"	"179"	""	"20"	"130"	"321"	"4"	"1"	""	"3"	"5"	"2"	"12"	"6"	"3"	"7"	"4"	""	"9"	"527"	"-"	"527"	""	""
"204"	"180"	"180"	""	"45"	"223"	"193"	"0"	"1"	""	"0"	"2"	"1"	"1"	"1"	"2"	"2"	"3"	""	"6"	"480"	"-"	"480"	""	""
"205"	"181"	"181"	""	"45"	"192"	"316"	"7"	"1"	""	"0"	"0"	"3"	"4"	"4"	"1"	"10"	"13"	""	"12"	"608"	"-"	"608"	""	""
"206"	"182"	"182"	""	"14"	"63"	"240"	"7"	"1"	""	"1"	"3"	"1"	"1"	"1"	"3"	"2"	"0"	""	"3"	"340"	"-"	"340"	""	""
"207"	"183"	"183"	""	"27"	"65"	"412"	"3"	"1"	""	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	""	"0"	"513"	"-"	"513"	""	""
"208"	"184"	"184"	""	"14"	"69"	"334"	"2"	"0"	""	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"5"	""	"8"	"436"	"-"	"436"	""	""
"209"	"185"	"185"	""	"19"	"55"	"282"	"3"	"0"	""	"1"	"1"	"0"	"0"	"1"	"1"	"3"	"3"	""	"3"	"372"	"-"	"372"	""	""
"210"	"186"	"186"	""	"22"	"63"	"241"	"1"	"0"	""	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"3"	""	"2"	"336"	"-"	"336"	""	""
"211"	"5/25/20114:01 PM                                                                        E:\Bihar - Assembly General Election,2010_Form 20\03 Form 20\14 Darbhanga\daru83daru83form20                                                                                       Page#5/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"213"	""	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	""	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	""	"Prof. Hareram Acharya"	""	""	""	""	""
"214"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"215"	"187"	"187"	""	"39"	"389"	"25"	"0"	"0"	""	"0"	"1"	"1"	"0"	"1"	"2"	"0"	"8"	""	"2"	"468"	"-"	"468"	""	""
"216"	"188"	"188"	""	"7"	"80"	"51"	"1"	"0"	""	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	""	"1"	"145"	"-"	"145"	""	""
"217"	"189"	"189"	""	"33"	"9"	"242"	"2"	"1"	""	"1"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	""	"0"	"290"	"-"	"290"	""	""
"218"	"190"	"190"	""	"18"	"70"	"35"	"1"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	""	"1"	"126"	"-"	"126"	""	""
"219"	"191"	"191"	""	"32"	"127"	"276"	"6"	"4"	""	"4"	"1"	"0"	"1"	"2"	"3"	"9"	"10"	""	"13"	"488"	"-"	"488"	""	""
"220"	"192"	"192"	""	"13"	"109"	"78"	"1"	"0"	""	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	""	"4"	"210"	"-"	"210"	""	""
"221"	"193"	"193"	""	"43"	"20"	"333"	"0"	"0"	""	"0"	"2"	"3"	"2"	"2"	"0"	"1"	"1"	""	"2"	"409"	"-"	"409"	""	""
"222"	"194"	"194"	""	"28"	"81"	"288"	"4"	"1"	""	"1"	"2"	"2"	"3"	"0"	"0"	"1"	"1"	""	"0"	"412"	"-"	"412"	""	""
"223"	"195"	"195"	""	"44"	"35"	"354"	"3"	"0"	""	"0"	"1"	"0"	"1"	"1"	"0"	"1"	"0"	""	"7"	"447"	"-"	"447"	""	""
"224"	"196"	"196"	""	"68"	"66"	"375"	"3"	"2"	""	"1"	"2"	"0"	"0"	"1"	"2"	"1"	"1"	""	"0"	"522"	"-"	"522"	""	""
"225"	"197"	"197"	""	"15"	"203"	"83"	"2"	"0"	""	"3"	"0"	"0"	"3"	"0"	"1"	"1"	"8"	""	"4"	"323"	"-"	"323"	""	""
"226"	"198"	"198"	""	"35"	"214"	"152"	"4"	"0"	""	"1"	"0"	"0"	"1"	"0"	"2"	"5"	"2"	""	"8"	"424"	"-"	"424"	""	""
"227"	"199"	"199"	""	"45"	"371"	"19"	"0"	"0"	""	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"7"	""	"5"	"451"	"-"	"451"	""	""
"228"	"200"	"200"	""	"11"	"45"	"146"	"2"	"1"	""	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	""	"2"	"211"	"-"	"211"	""	""
"229"	"201"	"201"	""	"30"	"238"	"290"	"18"	"2"	""	"3"	"1"	"3"	"0"	"3"	"2"	"7"	"7"	""	"3"	"607"	"-"	"607"	""	""
"230"	"202"	"202"	""	"21"	"275"	"206"	"12"	"3"	""	"3"	"2"	"1"	"2"	"3"	"3"	"9"	"16"	""	"13"	"569"	"-"	"569"	""	""
"231"	"203"	"203"	""	"18"	"66"	"248"	"7"	"1"	""	"2"	"0"	"2"	"0"	"1"	"1"	"7"	"4"	""	"11"	"368"	"-"	"368"	""	""
"232"	"204"	"204"	""	"23"	"87"	"274"	"6"	"0"	""	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"2"	""	"1"	"396"	"-"	"396"	""	""
"233"	"205"	"205"	""	"21"	"68"	"373"	"5"	"1"	""	"2"	"0"	"0"	"1"	"1"	"3"	"9"	"4"	""	"14"	"502"	"-"	"502"	""	""
"234"	"206"	"206"	""	"32"	"193"	"293"	"3"	"4"	""	"3"	"2"	"1"	"0"	"1"	"0"	"2"	"6"	""	"3"	"543"	"-"	"543"	""	""
"235"	"207"	"207"	""	"27"	"83"	"492"	"3"	"1"	""	"1"	"0"	"0"	"1"	"1"	"0"	"5"	"0"	""	"0"	"614"	"-"	"614"	""	""
"236"	"208"	"208"	""	"25"	"87"	"515"	"3"	"0"	""	"2"	"0"	"0"	"6"	"3"	"1"	"4"	"0"	""	"3"	"649"	"-"	"649"	""	""
"237"	"209"	"209"	""	"27"	"46"	"318"	"3"	"0"	""	"1"	"0"	"2"	"2"	"0"	"1"	"2"	"1"	""	"2"	"405"	"-"	"405"	""	""
"238"	"210"	"210"	""	"33"	"178"	"397"	"4"	"2"	""	"2"	"0"	"0"	"1"	"2"	"1"	"2"	"2"	""	"1"	"625"	"-"	"625"	""	""
"239"	"211"	"211"	""	"19"	"5"	"118"	"1"	"0"	""	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"1"	""	"0"	"148"	"-"	"148"	""	""
"240"	"212"	"212"	""	"16"	"21"	"185"	"3"	"0"	""	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	""	"0"	"228"	"-"	"228"	""	""
"241"	"213"	"213"	""	"18"	"4"	"139"	"0"	"0"	""	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"162"	"-"	"162"	""	""
"242"	"214"	"214"	""	"27"	"11"	"179"	"2"	"0"	""	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""	"0"	"219"	"-"	"219"	""	""
"243"	"215"	"215"	""	"11"	"8"	"132"	"0"	"0"	""	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	""	"0"	"152"	"-"	"152"	""	""
"244"	"216"	"216"	""	"28"	"6"	"205"	"1"	"0"	""	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	""	"0"	"244"	"-"	"244"	""	""
"245"	"217"	"217"	""	"14"	"30"	"151"	"2"	"0"	""	"1"	"2"	"0"	"0"	"2"	"0"	"0"	"1"	""	"1"	"204"	"-"	"204"	""	""
"246"	"218"	"218"	""	"19"	"149"	"240"	"5"	"0"	""	"1"	"0"	"0"	"1"	"0"	"1"	"7"	"13"	""	"8"	"444"	"-"	"444"	""	""
"247"	"219"	"219"	""	"30"	"24"	"170"	"3"	"1"	""	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"1"	""	"1"	"235"	"-"	"235"	""	""
"248"	"220"	"220"	""	"47"	"24"	"234"	"14"	"2"	""	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"0"	""	"1"	"327"	"-"	"327"	""	""
"249"	"221"	"221"	""	"41"	"18"	"313"	"3"	"1"	""	"0"	"1"	"0"	"1"	"2"	"0"	"1"	"0"	""	"0"	"381"	"-"	"381"	""	""
"250"	"222"	"222"	""	"6"	"36"	"82"	"2"	"0"	""	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	""	"2"	"132"	"-"	"132"	""	""
"251"	"223"	"223"	""	"23"	"157"	"139"	"0"	"0"	""	"1"	"1"	"2"	"3"	"1"	"1"	"0"	"6"	""	"3"	"337"	"-"	"337"	""	""
"252"	"224"	"224"	""	"77"	"43"	"235"	"0"	"0"	""	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"1"	""	"1"	"361"	"-"	"361"	""	""
"253"	"225"	"225"	""	"28"	"22"	"242"	"3"	"0"	""	"0"	"0"	"0"	"4"	"1"	"0"	"3"	"1"	""	"2"	"306"	"-"	"306"	""	""
"254"	"5/25/20114:01 PM                                                                        E:\Bihar - Assembly General Election,2010_Form 20\03 Form 20\14 Darbhanga\daru83daru83form20                                                                                       Page#6/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Sl.
No."	"No. of Polling Station"	""	"No. of Valid votes cast  in  favou r  of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected
votes"	"Total"	"No. of Tendered votes"	""
"256"	""	""	""	"Ajay Ku mar Jalan"	"Md. Ali Ashraf Fatmi"	"Kirti Azad"	"Yugeshwar Sahani"	"Ku mari Su reshwari"	""	"Md.
Khu rsheed Alam"	"Du rga Nand
Mahabir Nayak"	"Md.
Nizamu ddin"	"Sathy Narayn Mu khiya"	"Abdu r Rahim"	"Govind Acharya"	"Bharat Yadav"	"Lal Bahadu r
Yadav"	""	"Prof. Hareram Acharya"	""	""	""	""	""
"257"	"1"	"2"	""	"3"	"4"	"5"	"6"	"7"	""	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	""	"16"	"17"	"18"	"19"	"20"	""
"258"	"226"	"226"	""	"18"	"30"	"185"	"1"	"0"	""	"0"	"0"	"0"	"3"	"0"	"0"	"1"	"1"	""	"1"	"240"	"-"	"240"	""	""
"259"	"227"	"227"	""	"23"	"317"	"92"	"0"	"0"	""	"0"	"0"	"3"	"2"	"1"	"3"	"2"	"4"	""	"5"	"452"	"-"	"452"	""	""
"260"	"228"	"228"	""	"16"	"193"	"118"	"0"	"0"	""	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"8"	""	"3"	"342"	"-"	"342"	""	""
"261"	"229"	"229"	""	"23"	"230"	"379"	"5"	"3"	""	"3"	"2"	"1"	"16"	"3"	"1"	"3"	"2"	""	"7"	"678"	"-"	"678"	""	""
"262"	"230"	"230"	""	"38"	"170"	"264"	"6"	"1"	""	"4"	"1"	"2"	"43"	"0"	"1"	"6"	"5"	""	"3"	"544"	"-"	"544"	""	""
"263"	"231"	"231"	""	"8"	"82"	"167"	"3"	"0"	""	"5"	"1"	"0"	"2"	"0"	"1"	"3"	"5"	""	"13"	"290"	"-"	"290"	""	""
"264"	"Total No. of votes recording at
polling Stat ions"	""	""	"7799"	"31672"	"54857"	"931"	"243"	""	"304"	"287"	"253"	"1415"	"312"	"387"	"857"	"1004"	""	"1278"	"101599"	"-"	"101599"	""	""
"265"	"No. of votes
recorded on  postal ballot  papers (To be elect ion  from an  assembly
const ituency)"	""	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""	"Nil"	"Nil"	"-"	"Nil"	""	""
"266"	"Total Votes polled"	""	""	"7799"	"31672"	"54857"	"931"	"243"	""	"304"	"287"	"253"	"1415"	"312"	"387"	"857"	"1004"	""	"1278"	"101599"	"-"	"101599"	""	""
"267"	"Place :"	""	"DARBHANGA"	""	""	""	""	""	"Assistant  Ret urning Officer"	""	""	""	""	""	""	""	""	"Ret urning Officer"	""	""	""	""	""	""
"268"	"Date  :"	""	"16/ 05/ 2009"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"5/25/20114:01 PM                                                                        E:\Bihar - Assembly General Election,2010_Form 20\03 Form 20\14 Darbhanga\daru83daru83form20                                                                                       Page#7/7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
