"Candidate.Name.U.2192..Booth.No.U.2193."	"No.of.valid.votes.caste.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"Total.No.of.valid.votes"	"No..of.rejected.votes"	"Total"	"No..of.Tendered.votes"
"134"	"127"	"22"	"21"	"417"	"45"	"3"	"7"	"7"	"3"	"8"	"5"	"5"	"1"	"0"	"4"	"10"	"16"	"2"	"6"	"582"	"0"	"582"	"0"
"135"	"128"	"9"	"13"	"501"	"85"	"6"	"4"	"1"	"4"	"6"	"2"	"6"	"1"	"15"	"18"	"13"	"49"	"3"	"3"	"739"	"0"	"739"	"0"
"136"	"129"	"34"	"4"	"372"	"19"	"6"	"2"	"1"	"3"	"4"	"3"	"3"	"1"	"6"	"17"	"23"	"24"	"2"	"2"	"526"	"0"	"526"	"0"
"137"	"130"	"6"	"5"	"328"	"23"	"2"	"0"	"0"	"1"	"0"	"2"	"2"	"0"	"1"	"1"	"4"	"10"	"1"	"6"	"392"	"0"	"392"	"0"
"138"	"131"	"8"	"144"	"232"	"6"	"1"	"3"	"1"	"1"	"3"	"2"	"2"	"2"	"1"	"1"	"3"	"17"	"0"	"1"	"428"	"0"	"428"	"0"
"139"	"132"	"55"	"89"	"308"	"57"	"5"	"12"	"4"	"6"	"6"	"3"	"3"	"2"	"2"	"4"	"11"	"8"	"34"	"62"	"671"	"0"	"671"	"0"
"140"	"133"	"6"	"61"	"369"	"25"	"1"	"6"	"2"	"2"	"4"	"3"	"1"	"2"	"0"	"5"	"10"	"12"	"6"	"7"	"522"	"0"	"522"	"0"
"141"	"134"	"32"	"50"	"358"	"133"	"9"	"8"	"9"	"5"	"9"	"2"	"2"	"6"	"11"	"9"	"24"	"18"	"1"	"2"	"688"	"0"	"688"	"0"
"142"	"135"	"31"	"11"	"455"	"206"	"4"	"4"	"2"	"6"	"8"	"4"	"4"	"9"	"6"	"10"	"3"	"5"	"0"	"2"	"770"	"0"	"770"	"0"
"143"	"136"	"15"	"102"	"260"	"75"	"5"	"4"	"3"	"4"	"5"	"6"	"2"	"5"	"3"	"8"	"4"	"14"	"2"	"8"	"525"	"0"	"525"	"0"
"144"	"137"	"1"	"50"	"72"	"80"	"2"	"2"	"0"	"1"	"5"	"1"	"2"	"5"	"3"	"0"	"5"	"6"	"2"	"4"	"241"	"0"	"241"	"0"
"145"	"138"	"17"	"21"	"231"	"60"	"4"	"5"	"4"	"2"	"2"	"2"	"2"	"1"	"1"	"3"	"3"	"5"	"1"	"2"	"366"	"0"	"366"	"0"
"146"	"139"	"14"	"24"	"389"	"48"	"3"	"2"	"7"	"3"	"2"	"3"	"6"	"3"	"3"	"13"	"6"	"8"	"8"	"17"	"559"	"0"	"559"	"0"
"147"	"140"	"100"	"16"	"90"	"62"	"1"	"1"	"4"	"1"	"3"	"0"	"0"	"1"	"3"	"4"	"0"	"5"	"0"	"1"	"292"	"0"	"292"	"0"
"148"	"141"	"75"	"11"	"283"	"110"	"5"	"4"	"1"	"2"	"7"	"5"	"3"	"1"	"5"	"2"	"7"	"5"	"4"	"4"	"534"	"0"	"534"	"0"
"149"	"142"	"39"	"62"	"407"	"128"	"5"	"5"	"6"	"10"	"6"	"2"	"5"	"6"	"5"	"9"	"6"	"13"	"1"	"3"	"718"	"0"	"718"	"0"
"150"	"143"	"27"	"53"	"164"	"49"	"2"	"1"	"7"	"1"	"1"	"2"	"1"	"1"	"1"	"4"	"3"	"12"	"4"	"4"	"337"	"0"	"337"	"0"
"151"	"144"	"11"	"16"	"139"	"111"	"7"	"4"	"0"	"0"	"3"	"5"	"0"	"4"	"2"	"3"	"1"	"29"	"5"	"6"	"346"	"0"	"346"	"0"
"152"	"145"	"184"	"206"	"65"	"113"	"3"	"2"	"26"	"2"	"2"	"1"	"4"	"6"	"4"	"5"	"11"	"51"	"16"	"7"	"708"	"0"	"708"	"0"
"153"	"146"	"234"	"28"	"211"	"53"	"6"	"1"	"4"	"1"	"4"	"6"	"1"	"3"	"3"	"4"	"11"	"15"	"4"	"2"	"591"	"0"	"591"	"0"
"154"	"147"	"347"	"54"	"62"	"61"	"4"	"2"	"3"	"1"	"2"	"3"	"0"	"3"	"4"	"2"	"4"	"27"	"16"	"3"	"598"	"0"	"598"	"0"
"155"	"148"	"148"	"75"	"115"	"111"	"3"	"5"	"6"	"4"	"4"	"2"	"2"	"3"	"8"	"2"	"7"	"28"	"6"	"5"	"534"	"0"	"534"	"0"
"156"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No.of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"157"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"158"	"149"	"166"	"101"	"172"	"107"	"7"	"9"	"4"	"7"	"7"	"7"	"1"	"3"	"5"	"5"	"12"	"35"	"5"	"2"	"655"	"0"	"655"	"0"
"159"	"150"	"8"	"207"	"37"	"79"	"1"	"1"	"1"	"0"	"3"	"1"	"2"	"4"	"3"	"0"	"5"	"16"	"0"	"1"	"369"	"0"	"369"	"0"
"160"	"151"	"66"	"32"	"175"	"34"	"1"	"0"	"3"	"0"	"0"	"3"	"2"	"1"	"1"	"9"	"3"	"16"	"7"	"3"	"356"	"0"	"356"	"0"
"161"	"152"	"120"	"16"	"201"	"81"	"4"	"2"	"4"	"1"	"1"	"0"	"2"	"2"	"0"	"0"	"2"	"5"	"3"	"1"	"445"	"0"	"445"	"0"
"162"	"153"	"42"	"12"	"214"	"61"	"7"	"8"	"2"	"0"	"5"	"2"	"3"	"3"	"4"	"6"	"2"	"14"	"5"	"4"	"394"	"0"	"394"	"0"
"163"	"154"	"11"	"44"	"121"	"78"	"2"	"7"	"1"	"0"	"1"	"2"	"0"	"0"	"4"	"2"	"2"	"7"	"1"	"4"	"287"	"0"	"287"	"0"
"164"	"155"	"7"	"40"	"166"	"188"	"4"	"13"	"1"	"0"	"2"	"0"	"0"	"3"	"6"	"5"	"6"	"16"	"1"	"3"	"461"	"0"	"461"	"0"
"165"	"156"	"3"	"83"	"284"	"49"	"0"	"2"	"2"	"0"	"4"	"2"	"2"	"1"	"1"	"0"	"3"	"7"	"4"	"2"	"449"	"0"	"449"	"0"
"166"	"157"	"37"	"17"	"147"	"152"	"4"	"1"	"1"	"3"	"2"	"2"	"0"	"0"	"1"	"3"	"2"	"7"	"7"	"1"	"387"	"0"	"387"	"0"
"167"	"158"	"4"	"8"	"100"	"103"	"1"	"1"	"0"	"0"	"1"	"3"	"1"	"0"	"3"	"1"	"0"	"2"	"3"	"2"	"233"	"0"	"233"	"0"
"168"	"159"	"5"	"243"	"253"	"40"	"3"	"2"	"13"	"2"	"5"	"2"	"1"	"2"	"1"	"2"	"6"	"2"	"2"	"2"	"586"	"0"	"586"	"0"
"169"	"160"	"89"	"52"	"299"	"32"	"3"	"4"	"6"	"6"	"3"	"0"	"0"	"0"	"0"	"11"	"0"	"9"	"1"	"1"	"516"	"0"	"516"	"0"
"170"	"161"	"16"	"40"	"513"	"22"	"6"	"8"	"22"	"3"	"5"	"8"	"1"	"5"	"5"	"9"	"12"	"21"	"5"	"6"	"707"	"0"	"707"	"0"
"171"	"162"	"25"	"85"	"209"	"78"	"5"	"1"	"37"	"3"	"1"	"0"	"2"	"0"	"0"	"0"	"6"	"1"	"2"	"6"	"461"	"0"	"461"	"0"
"172"	"163"	"4"	"150"	"143"	"13"	"2"	"6"	"12"	"0"	"2"	"0"	"1"	"1"	"1"	"2"	"1"	"4"	"0"	"0"	"342"	"0"	"342"	"0"
"173"	"164"	"16"	"22"	"256"	"62"	"11"	"3"	"69"	"3"	"5"	"2"	"3"	"1"	"2"	"0"	"1"	"1"	"7"	"8"	"472"	"0"	"472"	"0"
"174"	"165"	"17"	"162"	"311"	"16"	"3"	"5"	"5"	"1"	"9"	"2"	"4"	"3"	"4"	"7"	"8"	"18"	"12"	"29"	"616"	"0"	"616"	"0"
"175"	"166"	"4"	"133"	"206"	"22"	"2"	"3"	"3"	"0"	"5"	"3"	"4"	"0"	"3"	"0"	"3"	"5"	"5"	"9"	"410"	"0"	"410"	"0"
"176"	"167"	"13"	"43"	"178"	"423"	"14"	"8"	"3"	"1"	"3"	"1"	"2"	"4"	"7"	"3"	"27"	"21"	"4"	"2"	"757"	"0"	"757"	"0"
"177"	"168"	"20"	"88"	"329"	"42"	"1"	"2"	"2"	"3"	"2"	"1"	"1"	"0"	"1"	"0"	"7"	"1"	"7"	"6"	"513"	"0"	"513"	"0"
"178"	"169"	"11"	"74"	"377"	"10"	"3"	"3"	"6"	"3"	"4"	"4"	"3"	"1"	"2"	"5"	"3"	"7"	"3"	"16"	"535"	"0"	"535"	"0"
"179"	"170"	"13"	"334"	"39"	"11"	"3"	"0"	"1"	"1"	"4"	"2"	"1"	"0"	"0"	"0"	"3"	"12"	"11"	"13"	"448"	"0"	"448"	"0"
"180"	"171"	"4"	"227"	"98"	"54"	"2"	"3"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"0"	"9"	"1"	"0"	"403"	"0"	"403"	"0"
"181"	"172"	"24"	"176"	"9"	"92"	"3"	"1"	"0"	"2"	"1"	"0"	"0"	"1"	"0"	"0"	"4"	"7"	"4"	"5"	"329"	"0"	"329"	"0"
"182"	"173"	"6"	"1"	"38"	"294"	"7"	"1"	"4"	"1"	"0"	"0"	"1"	"1"	"2"	"1"	"10"	"6"	"0"	"0"	"373"	"0"	"373"	"0"
"183"	"174"	"2"	"201"	"52"	"46"	"0"	"0"	"2"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"3"	"4"	"314"	"0"	"314"	"0"
"184"	"175"	"0"	"46"	"121"	"18"	"0"	"1"	"0"	"1"	"3"	"1"	"2"	"0"	"0"	"1"	"1"	"7"	"0"	"3"	"205"	"0"	"205"	"0"
"185"	"176"	"10"	"42"	"426"	"12"	"0"	"5"	"1"	"0"	"1"	"2"	"1"	"1"	"1"	"2"	"5"	"22"	"2"	"4"	"537"	"0"	"537"	"0"
"186"	"177"	"27"	"99"	"374"	"30"	"5"	"13"	"2"	"4"	"9"	"5"	"2"	"2"	"0"	"11"	"8"	"27"	"3"	"3"	"624"	"0"	"624"	"0"
"187"	"178"	"22"	"77"	"399"	"104"	"6"	"9"	"8"	"4"	"2"	"2"	"2"	"0"	"0"	"1"	"2"	"2"	"21"	"16"	"677"	"0"	"677"	"0"
"188"	"179"	"7"	"48"	"153"	"61"	"5"	"2"	"2"	"0"	"7"	"1"	"1"	"1"	"3"	"3"	"16"	"6"	"2"	"2"	"320"	"0"	"320"	"0"
"189"	"180"	"16"	"206"	"176"	"30"	"2"	"2"	"5"	"2"	"0"	"2"	"0"	"0"	"0"	"2"	"3"	"4"	"7"	"6"	"463"	"0"	"463"	"0"
"190"	"181"	"6"	"5"	"32"	"305"	"3"	"2"	"3"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"10"	"8"	"1"	"0"	"379"	"0"	"379"	"0"
"191"	"182"	"15"	"12"	"279"	"177"	"4"	"3"	"4"	"2"	"0"	"3"	"2"	"2"	"2"	"9"	"7"	"17"	"3"	"13"	"554"	"0"	"554"	"0"
"192"	"183"	"27"	"35"	"308"	"63"	"4"	"8"	"3"	"6"	"8"	"12"	"3"	"3"	"3"	"9"	"16"	"29"	"4"	"4"	"545"	"0"	"545"	"0"
"193"	"184"	"14"	"85"	"201"	"68"	"4"	"9"	"5"	"5"	"10"	"7"	"5"	"5"	"8"	"8"	"185"	"31"	"5"	"2"	"657"	"0"	"657"	"0"
"194"	"185"	"10"	"218"	"166"	"7"	"0"	"2"	"0"	"0"	"2"	"5"	"3"	"2"	"3"	"3"	"17"	"11"	"2"	"19"	"470"	"0"	"470"	"0"
"195"	"Candidate Name<U+2192> Booth No<U+2193>"	"No of valid votes caste in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total No.of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"196"	""	"ASARFI PRASAD MEHTA"	"CHOUDHARY MEHMOOB ALI KAISER"	"DINESH CHANDRA YADAV"	"RAVINDAR KR. RANA"	"PAWAN KUMAR \"SUMAN\""	"BABLOO PASWAN"	"BHARAT KUMAR YADAV"	"LAL BAHADUR HIMALAYA"	"HARINANDAN SINGH"	"GULAB RAJ"	"NAIMUDIN"	"NEHA CHAUHAN"	"PRADUMNA KUMAR"	"MANJU KUMARI"	"RAM NANDAN YADAV"	"SANGRAM KUMAR"	"SANJAY YADAV"	"SURESH PODDAR"	""	""	""	""
"197"	"186"	"2"	"81"	"150"	"15"	"1"	"3"	"2"	"5"	"3"	"4"	"1"	"3"	"5"	"6"	"18"	"16"	"1"	"5"	"321"	"0"	"321"	"0"
"198"	"187"	"33"	"287"	"163"	"18"	"1"	"4"	"3"	"4"	"10"	"4"	"1"	"1"	"1"	"1"	"56"	"12"	"1"	"4"	"604"	"0"	"604"	"0"
"199"	"Total -"	"3897"	"13184"	"39234"	"22420"	"810"	"637"	"1478"	"453"	"748"	"471"	"503"	"469"	"673"	"976"	"8681"	"2821"	"739"	"1168"	"99362"	"0"	"99362"	"0"
"200"	"3897"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
