"211"	"133"	"248"	"126"	"2"	"0"	"0"	"0"	"1"	"4"	"5"	"386"	""	""	""
"212"	"134"	"145"	"214"	"27"	"4"	"2"	"4"	"15"	"5"	"16"	"432"	""	""	""
"213"	";ksx %&"	"20652"	"30531"	"1692"	"573"	"364"	"396"	"1582"	"1281"	"2274"	"59345"	""	""	""
"214"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"216"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"217"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy flag"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"218"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"219"	"iwoZ i`\"V dk
;ksx %&"	"20652"	"30531"	"1692"	"573"	"364"	"396"	"1582"	"1281"	"2274"	"59345"	""	""	""
"220"	"135"	"158"	"106"	"7"	"1"	"2"	"5"	"10"	"4"	"22"	"315"	""	""	""
"221"	"136"	"213"	"216"	"10"	"0"	"2"	"0"	"5"	"10"	"22"	"478"	""	""	""
"222"	"137"	"229"	"201"	"22"	"7"	"2"	"3"	"13"	"4"	"29"	"510"	""	""	""
"223"	"138"	"246"	"99"	"23"	"8"	"9"	"5"	"15"	"12"	"49"	"466"	""	""	""
"224"	"139"	"201"	"234"	"32"	"12"	"7"	"5"	"11"	"10"	"19"	"531"	""	""	""
"225"	"140"	"103"	"191"	"7"	"4"	"1"	"2"	"2"	"3"	"6"	"319"	""	""	""
"226"	"141"	"88"	"166"	"9"	"2"	"2"	"1"	"9"	"10"	"22"	"309"	""	""	""
"227"	"142"	"35"	"186"	"5"	"4"	"2"	"7"	"9"	"17"	"26"	"291"	""	""	""
"228"	"143"	"105"	"125"	"9"	"3"	"6"	"3"	"8"	"3"	"7"	"269"	""	""	""
"229"	"144"	"130"	"349"	"9"	"1"	"0"	"0"	"5"	"6"	"16"	"516"	""	""	""
"230"	"145"	"219"	"225"	"5"	"1"	"3"	"7"	"5"	"7"	"11"	"483"	""	""	""
"231"	"146"	"252"	"244"	"17"	"3"	"4"	"4"	"22"	"22"	"43"	"611"	""	""	""
"232"	"147"	"250"	"25"	"9"	"11"	"5"	"5"	"6"	"6"	"21"	"338"	""	""	""
"233"	"148"	"51"	"244"	"13"	"6"	"0"	"2"	"8"	"7"	"12"	"343"	""	""	""
"234"	";ksx %&"	"22932"	"33142"	"1869"	"636"	"409"	"445"	"1710"	"1402"	"2579"	"65124"	""	""	""
"235"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"237"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"238"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy flag"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"239"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"240"	"iwoZ i`\"V dk
;ksx %&"	"22932"	"33142"	"1869"	"636"	"409"	"445"	"1710"	"1402"	"2579"	"65124"	""	""	""
"241"	"149"	"276"	"63"	"8"	"7"	"4"	"1"	"3"	"3"	"13"	"378"	""	""	""
"242"	"150"	"120"	"157"	"9"	"6"	"6"	"2"	"8"	"6"	"14"	"328"	""	""	""
"243"	"150A"	"192"	"128"	"9"	"6"	"3"	"1"	"12"	"11"	"41"	"403"	""	""	""
"244"	"151"	"213"	"228"	"8"	"2"	"4"	"4"	"7"	"10"	"24"	"500"	""	""	""
"245"	"152"	"187"	"306"	"18"	"10"	"3"	"2"	"17"	"6"	"20"	"569"	""	""	""
"246"	"153"	"63"	"137"	"7"	"1"	"4"	"1"	"10"	"12"	"20"	"255"	""	""	""
"247"	"154"	"174"	"130"	"10"	"4"	"3"	"1"	"14"	"8"	"33"	"377"	""	""	""
"248"	"155"	"188"	"202"	"9"	"1"	"6"	"3"	"8"	"9"	"18"	"444"	""	""	""
"249"	"156"	"72"	"207"	"2"	"4"	"6"	"1"	"16"	"6"	"6"	"320"	""	""	""
"250"	"156A"	"164"	"145"	"10"	"0"	"1"	"6"	"4"	"10"	"30"	"370"	""	""	""
"251"	"157"	"103"	"142"	"11"	"1"	"1"	"1"	"9"	"7"	"7"	"282"	""	""	""
"252"	"157A"	"91"	"187"	"11"	"4"	"8"	"6"	"22"	"15"	"33"	"377"	""	""	""
"253"	"158"	"192"	"251"	"6"	"4"	"1"	"3"	"10"	"8"	"16"	"491"	""	""	""
"254"	"159"	"149"	"254"	"15"	"2"	"4"	"5"	"21"	"12"	"27"	"489"	""	""	""
"255"	";ksx %&"	"25116"	"35679"	"2002"	"688"	"463"	"482"	"1871"	"1525"	"2881"	"70707"	""	""	""
"256"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"258"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"259"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy flag"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"260"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"261"	"iwoZ i`\"V dk
;ksx %&"	"25116"	"35679"	"2002"	"688"	"463"	"482"	"1871"	"1525"	"2881"	"70707"	""	""	""
"262"	"160"	"304"	"92"	"2"	"4"	"0"	"2"	"3"	"9"	"33"	"449"	""	""	""
"263"	"161"	"171"	"187"	"3"	"0"	"2"	"0"	"2"	"5"	"9"	"379"	""	""	""
"264"	"161A"	"55"	"251"	"5"	"2"	"2"	"0"	"5"	"6"	"2"	"328"	""	""	""
"265"	"162"	"143"	"309"	"2"	"0"	"1"	"2"	"4"	"0"	"9"	"470"	""	""	""
"266"	"163"	"10"	"62"	"3"	"2"	"0"	"1"	"1"	"3"	"3"	"85"	""	""	""
"267"	"164"	"127"	"119"	"7"	"1"	"2"	"1"	"5"	"7"	"11"	"280"	""	""	""
"268"	"165"	"214"	"124"	"2"	"0"	"1"	"1"	"1"	"5"	"4"	"352"	""	""	""
"269"	"165A"	"193"	"159"	"2"	"4"	"4"	"2"	"10"	"11"	"19"	"404"	""	""	""
"270"	"166"	"127"	"151"	"5"	"3"	"3"	"1"	"13"	"12"	"25"	"340"	""	""	""
"271"	"166A"	"137"	"168"	"8"	"3"	"3"	"6"	"16"	"17"	"28"	"386"	""	""	""
"272"	"167"	"172"	"137"	"4"	"5"	"2"	"0"	"6"	"4"	"12"	"342"	""	""	""
"273"	"168"	"108"	"155"	"7"	"1"	"0"	"0"	"6"	"4"	"8"	"289"	""	""	""
"274"	"169"	"32"	"95"	"2"	"3"	"0"	"0"	"2"	"1"	"1"	"136"	""	""	""
"275"	"170"	"89"	"244"	"5"	"1"	"2"	"2"	"2"	"5"	"3"	"353"	""	""	""
"276"	";ksx %&"	"26998"	"37932"	"2059"	"717"	"485"	"500"	"1947"	"1614"	"3048"	"75300"	""	""	""
"277"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"278"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"279"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"280"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy flag"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"281"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"282"	"iwoZ i`\"V dk
;ksx %&"	"26998"	"37932"	"2059"	"717"	"485"	"500"	"1947"	"1614"	"3048"	"75300"	""	""	""
"283"	"171"	"99"	"192"	"6"	"1"	"1"	"2"	"9"	"11"	"20"	"341"	""	""	""
"284"	"172"	"134"	"162"	"10"	"1"	"2"	"2"	"1"	"3"	"1"	"316"	""	""	""
"285"	"173"	"133"	"307"	"22"	"8"	"2"	"3"	"12"	"16"	"34"	"537"	""	""	""
"286"	"174"	"126"	"172"	"7"	"4"	"2"	"5"	"14"	"8"	"17"	"355"	""	""	""
"287"	"174A"	"198"	"175"	"8"	"1"	"2"	"4"	"14"	"10"	"32"	"444"	""	""	""
"288"	"175"	"60"	"129"	"7"	"4"	"1"	"1"	"2"	"2"	"7"	"213"	""	""	""
"289"	"176"	"84"	"267"	"5"	"2"	"1"	"0"	"5"	"4"	"5"	"373"	""	""	""
"290"	"177"	"79"	"229"	"11"	"3"	"1"	"3"	"18"	"16"	"17"	"377"	""	""	""
"291"	"178"	"92"	"276"	"15"	"7"	"9"	"2"	"17"	"14"	"11"	"443"	""	""	""
"292"	"178A"	"76"	"224"	"9"	"7"	"5"	"6"	"34"	"15"	"14"	"390"	""	""	""
"293"	"179"	"53"	"241"	"9"	"4"	"3"	"1"	"13"	"17"	"26"	"367"	""	""	""
"294"	"179A"	"136"	"206"	"9"	"3"	"1"	"3"	"18"	"24"	"33"	"433"	""	""	""
"295"	"180"	"94"	"178"	"7"	"1"	"2"	"2"	"5"	"7"	"17"	"313"	""	""	""
"296"	"181"	"174"	"258"	"12"	"7"	"6"	"4"	"39"	"30"	"47"	"577"	""	""	""
"297"	";ksx %&"	"28536"	"40948"	"2196"	"770"	"523"	"538"	"2148"	"1791"	"3329"	"80779"	""	""	""
"298"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"300"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"301"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy flag"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"302"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"303"	"iwoZ i`\"V dk
;ksx %&"	"28536"	"40948"	"2196"	"770"	"523"	"538"	"2148"	"1791"	"3329"	"80779"	""	""	""
"304"	"182"	"213"	"236"	"11"	"3"	"4"	"3"	"5"	"3"	"3"	"481"	""	""	""
"305"	"183"	"91"	"216"	"5"	"2"	"1"	"0"	"6"	"11"	"14"	"346"	""	""	""
"306"	"184"	"92"	"236"	"15"	"4"	"3"	"1"	"19"	"7"	"17"	"394"	""	""	""
"307"	"185"	"96"	"113"	"6"	"5"	"1"	"2"	"8"	"6"	"18"	"255"	""	""	""
"308"	"186"	"112"	"157"	"15"	"4"	"2"	"3"	"7"	"7"	"10"	"317"	""	""	""
"309"	"187"	"138"	"63"	"5"	"1"	"0"	"0"	"4"	"7"	"13"	"231"	""	""	""
"310"	"188"	"91"	"123"	"3"	"0"	"0"	"0"	"11"	"8"	"29"	"265"	""	""	""
"311"	"189"	"227"	"172"	"16"	"15"	"9"	"5"	"8"	"3"	"26"	"481"	""	""	""
"312"	"190"	"60"	"197"	"2"	"3"	"1"	"1"	"6"	"9"	"8"	"287"	""	""	""
"313"	"191"	"59"	"114"	"5"	"0"	"1"	"0"	"3"	"6"	"10"	"198"	""	""	""
"314"	"192"	"95"	"118"	"4"	"1"	"1"	"1"	"8"	"8"	"8"	"244"	""	""	""
"315"	"193"	"174"	"341"	"13"	"1"	"1"	"2"	"7"	"4"	"15"	"558"	""	""	""
"316"	"194"	"223"	"314"	"13"	"5"	"1"	"3"	"8"	"13"	"16"	"596"	""	""	""
"317"	"195"	"319"	"246"	"3"	"2"	"1"	"1"	"3"	"3"	"6"	"584"	""	""	""
"318"	";ksx %&"	"30526"	"43594"	"2312"	"816"	"549"	"560"	"2251"	"1886"	"3522"	"86016"	""	""	""
"319"	"33&egkjktxat fo/kku lHkk {ks= esa fcgkj fo/kku lHkk ds fy, fuokZpu A"	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"Hkkx&1"	""	""	"&"	""	"fo/kku lHkk fuokZpu {ks= esa fuokZpdksa dh dqy la[;k %& ------------------------------------------------------"	""	""	""	""	""	""	""	""
"321"	"ernku
dsUnz dh la[;k"	"fuEufyf[kr ds i{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k
ekU; er"	"izfr{ksfir erksa
dh la[;k"	";ksx"	"fufonr erksa
dh la[;k"
"322"	""	"mek'kadj
flag"	"nkeksnj
flag"	"fo'ks'oj
flag"	"dq'kokgk
jktcy flag"	"pfUnzdk
izlkn"	"nhukukFk
eka>h"	";ksxsUnz
flag"	"jfoUnz
Bkdqj"	"fo'oEHkj
flag"	""	""	""	""
"323"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"324"	"iwoZ i`\"V dk
;ksx %&"	"30526"	"43594"	"2312"	"816"	"549"	"560"	"2251"	"1886"	"3522"	"86016"	""	""	""
"325"	"196"	"176"	"111"	"3"	"4"	"1"	"0"	"9"	"5"	"11"	"320"	""	""	""
"326"	"197"	"131"	"94"	"7"	"11"	"3"	"2"	"6"	"3"	"8"	"265"	""	""	""
"327"	""	""	""	""	""	""	""	""	""	""	"0"	""	""	""
"328"	"vfHkfyf[kr
erksa  dh dqy  la[;k
%&"	""	""	""	""	""	""	""	""	""	"0"	""	""	""
"329"	"Mkd  er
i=ksa  dh"	""	""	""	""	""	""	""	""	""	"0"	""	""	""
"330"	"Mkys  x;s
dqy  er%&"	""	""	""	""	""	""	""	""	""	"0"	""	""	""
"331"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	";ksx %&"	"30833"	"43799"	"2322"	"831"	"553"	"562"	"2266"	"1894"	"3541"	"86601"	""	""	""
"333"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""	""	""	""
