"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"1"	"Name of the Assembly Constituency : - 92-Hayaghat"	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"219"	"194"	"165"	"29"	"6"	"38"	"21"	"127"	"25"	"132"	"37"	"415"	"-"	"415"	""
"220"	"195"	"166"	"18"	"4"	"24"	"8"	"101"	"8"	"133"	"5"	"301"	"-"	"301"	""
"221"	"196"	"167"	"67"	"14"	"47"	"22"	"102"	"22"	"236"	"29"	"539"	"-"	"539"	""
"222"	"197"	"168"	"205"	"14"	"75"	"8"	"150"	"16"	"162"	"12"	"642"	"-"	"642"	""
"223"	"198"	"169"	"300"	"6"	"39"	"2"	"24"	"14"	"63"	"9"	"457"	"-"	"457"	""
"224"	"199"	"170"	"433"	"8"	"24"	"13"	"76"	"17"	"34"	"28"	"633"	"-"	"633"	""
"225"	"200"	"171"	"304"	"6"	"54"	"8"	"133"	"21"	"90"	"22"	"638"	"-"	"638"	""
"226"	"Total No. of votes recording at polling Stations"	""	"23917"	"1326"	"11084"	"2931"	"25841"	"2514"	"13467"	"3090"	"84170"	"-"	"84170"	""
"227"	"No. of votes recorded"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"228"	"Total Votes polled"	""	"23917"	"1326"	"11084"	"2931"	"25841"	"2514"	"13467"	"3090"	"84170"	"-"	"84170"	""
"229"	"Place :   DARBHANGA                                                                                                                                                             Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"Date  :   22.11.2005                                                                                                                                                                92-Hayaghat"	""	""	""	""	""	""	""	""	""	""	""	""	""
