"Sl.No..of.Polling"	"Name.of.Polling.Station"	"No..of.Valid.Votes.cast.in.favour.of"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"Total.of.Valid.Votes"	"No..of.Rejected.Votes"	"Total"	"No..of.Tendered.Votes"
"193"	"107"	"gfjtu lkeqnkf;d Hkou] pksjoj"	"20"	"5"	"71"	"5"	"20"	"18"	"139"	""	"139"	""
"194"	"108"	"izkFkfed fo|ky;] c:.kh"	"152"	"23"	"27"	"7"	"99"	"29"	"337"	""	"337"	""
"195"	"109"	"iapk;r Hkou] pks<+njxkg"	"25"	"38"	"102"	"20"	"78"	"12"	"275"	""	"275"	""
"196"	"109d"	"iapk;r Hkou] pks<+njxkg & pyUr ernku dsUnz"	"6"	"7"	"95"	"4"	"23"	"2"	"137"	""	"137"	""
"197"	"Total No. of votes recorded at Polling Stations"	""	"860"	"268"	"1586"	"150"	"1814"	"233"	"4911"	""	"4911"	""
"198"	"No. of votes recorded on postal ballot papers (to be filled in the case
of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"199"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"200"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"201"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"202"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"203"	"110"	"izkFkfed fo|ky;] pks<+njxkg ¼n0 Hkkx½"	"39"	"1"	"21"	"3"	"13"	"3"	"80"	""	"80"	""
"204"	"110d"	"izkFkfed fo|ky;] pks<+njxkg ¼m0 Hkkx½"	"89"	"2"	"88"	"10"	"88"	"20"	"297"	""	"297"	""
"205"	"111"	"izkFkfed fo|ky;] Qqypks<"	"89"	"4"	"55"	"13"	"101"	"23"	"285"	""	"285"	""
"206"	"112"	"e/; fo|ky;] lksgnh"	"60"	"11"	"105"	"9"	"174"	"25"	"384"	""	"384"	""
"207"	"113"	"izkFkfed fo|ky;] xksgnk"	"72"	"33"	"143"	"33"	"134"	"28"	"443"	""	"443"	""
"208"	"114"	"izkFkfed fo|ky;] j?kqukFkiqj"	"18"	"47"	"24"	"8"	"328"	"23"	"448"	""	"448"	""
"209"	"115"	"izkFkfed fo|ky;] nkmniqj bVkok"	"133"	"49"	"67"	"15"	"123"	"17"	"404"	""	"404"	""
"210"	"116"	"izkFkfed fo|ky;] c:.kk"	"48"	"14"	"88"	"13"	"83"	"18"	"264"	""	"264"	""
"211"	"116d"	"izkFkfed fo|ky;] c:.kk ¼u;k Hkou½"	"49"	"3"	"117"	"7"	"19"	"9"	"204"	""	"204"	""
"212"	"117"	"izkFkfed fo|ky;] elkS<+k"	"210"	"19"	"122"	"13"	"153"	"21"	"538"	""	"538"	""
"213"	"118"	"e/; fo|ky; psokM+k"	"23"	"6"	"156"	"8"	"97"	"21"	"311"	""	"311"	""
"214"	"118d"	"e/; fo|ky; psokM+k ¼u;k Hkou½"	"51"	"8"	"153"	"11"	"82"	"7"	"312"	""	"312"	""
"215"	"119"	"mPp fo|ky; psokM+k ¼m0 Hkkx½"	"31"	"6"	"112"	"7"	"41"	"16"	"213"	""	"213"	""
"216"	"119d"	"mPp fo|ky; psokM+k ¼n0 Hkkx½"	"69"	"4"	"182"	"7"	"68"	"11"	"341"	""	"341"	""
"217"	"Total No. of votes recorded at Polling Stations"	""	"981"	"207"	"1433"	"157"	"1504"	"242"	"4524"	""	"4524"	""
"218"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"219"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"220"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"221"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"222"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"223"	"120"	"iapk;r Hkou psokM+k"	"64"	"16"	"227"	"8"	"35"	"9"	"359"	""	"359"	""
"224"	"121"	"izkFkfed fo|ky;] cgqvkjk"	"60"	"17"	"249"	"18"	"142"	"15"	"501"	""	"501"	""
"225"	"122"	"izkFkfed fo|ky;] jkadM+"	"18"	"7"	"251"	"6"	"45"	"15"	"342"	""	"342"	""
"226"	"123"	"izkFkfed fo|ky; fl;kuh"	"119"	"4"	"68"	"4"	"179"	"9"	"383"	""	"383"	""
"227"	"123d"	"izkFkfed fo|ky; fl;kuh"	"79"	"9"	"53"	"9"	"151"	"16"	"317"	""	"317"	""
"228"	"124"	"izkFkfed fo|yk; dqjeqjh ¼m0 Hkkx½"	"29"	"10"	"81"	"5"	"76"	"15"	"216"	""	"216"	""
"229"	"124d"	"izkFkfed fo|yk; dqjeqjh ¼n0 Hkkx½"	"26"	"5"	"77"	"11"	"143"	"13"	"275"	""	"275"	""
"230"	"125"	"e/; fo|ky; dj.Ms ¼iw0 Hkkx½"	"58"	"9"	"117"	"18"	"88"	"36"	"326"	""	"326"	""
"231"	"125d"	"e/; fo|ky; dj.Ms ¼i0 Hkkx½"	"20"	"9"	"202"	"8"	"95"	"16"	"350"	""	"350"	""
"232"	"126"	"e/; fo|ky; cssyNh"	"45"	"7"	"448"	"4"	"35"	"2"	"541"	""	"541"	""
"233"	"127"	"izkFkfed fo|ky; mdlh"	"59"	"13"	"26"	"4"	"237"	"8"	"347"	""	"347"	""
"234"	"128"	"izkFkfed fo|ky; NfB;kjk ¼m0 Hkkx½"	"178"	"7"	"26"	"12"	"63"	"27"	"313"	""	"313"	""
"235"	"128d"	"izkFkfed fo|ky; NfB;kjk ¼n0 Hkkx½"	"117"	"12"	"23"	"8"	"131"	"35"	"326"	""	"326"	""
"236"	"129"	"e/; fo|ky; yqVkSr"	"80"	"6"	"237"	"15"	"41"	"10"	"389"	""	"389"	""
"237"	"Total No. of votes recorded at Polling Stations"	""	"952"	"131"	"2085"	"130"	"1461"	"226"	"4985"	""	"4985"	""
"238"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"239"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"240"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"241"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"242"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"243"	"130"	"iapk;r Hkou yqVkSr"	"211"	"6"	"104"	"4"	"12"	"13"	"350"	""	"350"	""
"244"	"131"	"e/; fo|ky; diklh"	"28"	"4"	"184"	"13"	"1"	"8"	"238"	""	"238"	""
"245"	"131d"	"e/; fo|ky; diklh"	"51"	"13"	"97"	"5"	"112"	"9"	"287"	""	"287"	""
"246"	"132"	"izkFkfed fo|ky; fla>kSM+h"	"110"	"24"	"97"	"9"	"84"	"10"	"334"	""	"334"	""
"247"	"132d"	"izkFkfed fo|ky; fla>kSM+h"	"25"	"3"	"132"	"6"	"11"	"7"	"184"	""	"184"	""
"248"	"133"	"iapk;r Hkou pdUnjk"	"39"	"2"	"164"	"2"	"8"	"5"	"220"	""	"220"	""
"249"	"134"	"izkFkfed fo|ky; clUr"	"26"	"2"	"98"	"10"	"84"	"8"	"228"	""	"228"	""
"250"	"135"	"izkFkfed fo|ky; pdUnjk"	"233"	"6"	"191"	"9"	"15"	"11"	"465"	""	"465"	""
"251"	"136"	"e/; fo|ky; vUnkSyh"	"4"	"1"	"491"	"3"	"2"	"1"	"502"	""	"502"	""
"252"	"137"	"izkFkfed fo|ky; ekus"	"157"	"3"	"169"	"14"	"55"	"13"	"411"	""	"411"	""
"253"	"138"	"izkFkfed fo|ky; cjkjh"	"174"	"10"	"205"	"15"	"23"	"26"	"453"	""	"453"	""
"254"	"139"	"e/; fo|ky; ,dk<+k"	"15"	"0"	"204"	"7"	"4"	"5"	"235"	""	"235"	""
"255"	"140"	"mPp fo|ky; ,dk<+k"	"44"	"11"	"105"	"12"	"110"	"29"	"311"	""	"311"	""
"256"	"141"	"e/; fo|ky; yksgku ¼mÙkjh Hkkx½"	"23"	"9"	"284"	"4"	"4"	"3"	"327"	""	"327"	""
"257"	"Total No. of votes recorded at Polling Stations"	""	"1140"	"94"	"2525"	"113"	"525"	"148"	"4545"	""	"4545"	""
"258"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"259"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"260"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"261"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"262"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"263"	"142"	"e/; fo|ky; yksgku ¼n0 Hkkx½"	"8"	"1"	"193"	"1"	"4"	"1"	"208"	""	"208"	""
"264"	"142d"	"e/; fo|ky; yksgku & pyUr ernku dsUnz"	"25"	"4"	"146"	"11"	"12"	"19"	"217"	""	"217"	""
"265"	"143"	"izkFkfed fo|ky; Hkyqvk"	"44"	"11"	"60"	"1"	"108"	"14"	"238"	""	"238"	""
"266"	"143d"	"izkFkfed fo|ky; Hkyqvk ¼iqjkuk Hkou½"	"54"	"12"	"14"	"2"	"75"	"4"	"161"	""	"161"	""
"267"	"144"	"izkFkfed fo|ky; csy[kqaMh"	"36"	"7"	"66"	"17"	"287"	"47"	"460"	""	"460"	""
"268"	"145"	"izkFkfed fo|ky; dsejk"	"6"	"2"	"579"	"2"	"2"	"0"	"591"	""	"591"	""
"269"	"146"	"izkFkfed fo|ky; ,djkek ¼m0 Hkkx½"	"67"	"3"	"48"	"5"	"115"	"5"	"243"	""	"243"	""
"270"	"146d"	"izkFkfed fo|ky; ,djkek ¼n0 Hkkx½"	"41"	"3"	"87"	"5"	"118"	"10"	"264"	""	"264"	""
"271"	"147"	"iapk;r Hkou ,djkek"	"104"	"1"	"13"	"4"	"36"	"8"	"166"	""	"166"	""
"272"	"148"	"izkFkfed fo|ky; jtkSjk"	"6"	"2"	"141"	"2"	"26"	"0"	"177"	""	"177"	""
"273"	"148d"	"izkFkfed fo|ky; xMqvk"	"8"	"3"	"141"	"3"	"20"	"1"	"176"	""	"176"	""
"274"	"149"	"izkFkfed fo|ky; /kkjh"	"53"	"15"	"51"	"10"	"131"	"11"	"271"	""	"271"	""
"275"	"149d"	"izkFkfed fo|ky;] /kkjh & pyUr ernku dsUnz"	"217"	"8"	"38"	"4"	"45"	"8"	"320"	""	"320"	""
"276"	"150"	"izkFkfed fo|ky; yguk ¼iw0 Hkkx½"	"71"	"8"	"100"	"6"	"81"	"6"	"272"	""	"272"	""
"277"	"Total No. of votes recorded at Polling Stations"	""	"740"	"80"	"1677"	"73"	"1060"	"134"	"3764"	""	"3764"	""
"278"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"279"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"280"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"281"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"282"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"283"	"150d"	"izkFkfed fo|ky; yguk ¼i0 Hkkx½"	"80"	"5"	"127"	"8"	"49"	"15"	"284"	""	"284"	""
"284"	"151"	"izkFkfed fo|ky; vLFkkok¡"	"88"	"9"	"46"	"4"	"77"	"10"	"234"	""	"234"	""
"285"	"151d"	"izkFkfed fo|ky;] vLFkkok¡&pyUr ernku dsUnz"	"53"	"7"	"81"	"2"	"48"	"13"	"204"	""	"204"	""
"286"	"152"	"izkFkfed fo|ky; fr;k;"	"77"	"14"	"136"	"5"	"142"	"4"	"378"	""	"378"	""
"287"	"153"	"izkFkfed fo|ky; caasxwpk"	"113"	"12"	"77"	"3"	"80"	"12"	"297"	""	"297"	""
"288"	"154"	"izk0 fo0 ykyiqj"	"109"	"21"	"106"	"12"	"122"	"8"	"378"	""	"378"	""
"289"	"155"	"izk0 fo0 xkSjk ¼n0 Hkk0½"	"90"	"19"	"157"	"15"	"253"	"29"	"563"	""	"563"	""
"290"	"156"	"izk0 fo0 fiijk"	"48"	"12"	"313"	"13"	"20"	"13"	"419"	""	"419"	""
"291"	"157"	"izk0 fo0 nkeksnjiqj"	"49"	"11"	"78"	"13"	"66"	"10"	"227"	""	"227"	""
"292"	"158"	"izk0 fo0 dfu;kjh"	"24"	"12"	"63"	"3"	"249"	"5"	"356"	""	"356"	""
"293"	"159"	"izk0 fo0 euiqjk ¼cka;k Hkkx½"	"20"	"6"	"103"	"6"	"138"	"9"	"282"	""	"282"	""
"294"	"159d"	"izk0 fo0 euiqjk ¼nk;ka Hkkx½"	"34"	"15"	"105"	"14"	"71"	"13"	"252"	""	"252"	""
"295"	"160"	"e0 fo0 Hkou izrkiiqj ¼cka;k Hkkx½"	"65"	"14"	"23"	"6"	"67"	"20"	"195"	""	"195"	""
"296"	"160d"	"e0 fo0 Hkou izrkiiqj ¼nka;k Hkkx½"	"24"	"6"	"85"	"7"	"122"	"16"	"260"	""	"260"	""
"297"	"Total No. of votes recorded at Polling Stations"	""	"874"	"163"	"1500"	"111"	"1504"	"177"	"4329"	""	"4329"	""
"298"	"No. of votes recorded on postal ballot papers (to be filled in the case
of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"299"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"300"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"301"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"302"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"303"	"161"	"m0 fo0 izrkiiqj ¼cka;k Hkkx½"	"20"	"8"	"157"	"8"	"40"	"8"	"241"	""	"241"	""
"304"	"161d"	"m0 fo0 izrkiiqj ¼nka;k Hkkx½"	"24"	"8"	"115"	"7"	"165"	"9"	"328"	""	"328"	""
"305"	"162"	"izk0 fo0 ceqvkjk"	"48"	"14"	"141"	"14"	"84"	"14"	"315"	""	"315"	""
"306"	"163"	"izk0 fo0 Qrsgiqj"	"7"	"2"	"238"	"13"	"9"	"10"	"279"	""	"279"	""
"307"	"164"	"izk0 fo0 deSBk"	"23"	"10"	"88"	"8"	"133"	"27"	"289"	""	"289"	""
"308"	"165"	"izk0 fo0 [kqjh;kjh"	"49"	"15"	"201"	"18"	"39"	"18"	"340"	""	"340"	""
"309"	"166"	"izk0 fo0 'ks[kiqjok"	"84"	"6"	"104"	"11"	"141"	"12"	"358"	""	"358"	""
"310"	"167"	"izk0 fo0 ddjkSM+h"	"45"	"28"	"140"	"16"	"274"	"18"	"521"	""	"521"	""
"311"	"168"	"izk0 fo0 fx)k ¼cka;k Hkkx½"	"22"	"9"	"55"	"7"	"181"	"15"	"289"	""	"289"	""
"312"	"168d"	"izk0 fo0 fx)k ¼nka;k Hkkx½"	"19"	"7"	"68"	"9"	"155"	"20"	"278"	""	"278"	""
"313"	"169"	"izk0 fo0 dSUnh"	"29"	"26"	"140"	"11"	"351"	"15"	"572"	""	"572"	""
"314"	"170"	"izk0 fo0 Qrsgiqj"	"83"	"13"	"138"	"7"	"185"	"20"	"446"	""	"446"	""
"315"	"171"	"izk0 fo0 ekuiqj"	"124"	"25"	"132"	"11"	"217"	"15"	"524"	""	"524"	""
"316"	"172"	"e0 fo0 cjNk"	"144"	"17"	"191"	"20"	"117"	"21"	"510"	""	"510"	""
"317"	"Total No. of votes recorded at Polling Stations"	""	"721"	"188"	"1908"	"160"	"2091"	"222"	"5290"	""	"5290"	""
"318"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"319"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"320"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"321"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"322"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"323"	"173"	"e0 fo0 ukSek ¼cka;k Hkkkx½"	"25"	"4"	"286"	"7"	"10"	"9"	"341"	""	"341"	""
"324"	"173d"	"e0 fo0 ukSek ¼nka;k Hkkx½"	"17"	"5"	"216"	"11"	"23"	"15"	"287"	""	"287"	""
"325"	"174"	"m0 fo0 fctqy[kh ¼cka;k Hkkx½"	"53"	"6"	"119"	"11"	"60"	"32"	"281"	""	"281"	""
"326"	"174d"	"m0 fo0 fctqy[kh ¼nka;k Hkkx½"	"11"	"8"	"86"	"4"	"51"	"12"	"172"	""	"172"	""
"327"	"175"	"m0 fo0 ygqvkjk"	"101"	"11"	"199"	"12"	"31"	"8"	"362"	""	"362"	""
"328"	"176"	"e0 fo0 flj[k.Mh ¼cka;k Hkkx½"	"59"	"13"	"92"	"9"	"42"	"11"	"226"	""	"226"	""
"329"	"176d"	"e0 fo0 flj[k.Mh ¼nka;k Hkkx½"	"58"	"7"	"130"	"11"	"66"	"13"	"285"	""	"285"	""
"330"	"177"	"laLd`r fo|ky; flj[k.Mh ¼cka;k Hkkx½"	"54"	"21"	"82"	"17"	"188"	"18"	"380"	""	"380"	""
"331"	"177d"	"laLd`r fo|ky; flj[k.Mh ¼nka;k Hkkx½"	"96"	"11"	"71"	"7"	"103"	"7"	"295"	""	"295"	""
"332"	"178"	"e0 fo0 foYyks ¼m0 Hkk0½"	"121"	"10"	"81"	"11"	"71"	"47"	"341"	""	"341"	""
"333"	"179"	"e0 fo0 foYyks ¼n0 Hkk0½"	"113"	"6"	"81"	"12"	"203"	"41"	"456"	""	"456"	""
"334"	"180"	"izk0 fo0 dksyh ¼cka;k Hkkx½"	"134"	"9"	"56"	"10"	"146"	"9"	"364"	""	"364"	""
"335"	"180d"	"izk0 fo0 dksyh ¼nka;k Hkkx½"	"129"	"4"	"53"	"5"	"92"	"20"	"303"	""	"303"	""
"336"	"181"	"m0 fo0 ijlkok ¼iw0 Hkk0½"	"41"	"4"	"233"	"14"	"31"	"12"	"335"	""	"335"	""
"337"	"Total No. of votes recorded at Polling Stations"	""	"1012"	"119"	"1785"	"141"	"1117"	"254"	"4428"	""	"4428"	""
"338"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	""	""	""	""	""	""	""	""	""	""
"339"	"Total votes polled"	""	""	""	""	""	""	""	""	""	""	""
"340"	"Sl No. of Polling
Station"	"Name of Polling Station"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	"Total of Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tendered Votes"
"341"	""	""	"Bijay Kumar Yadav"	"Shivnandan Prasad Yadav"	"Sunila Devi"	"Kiran Devi"	"Rinku Devi"	"Shankar Prasad"	""	""	""	""
"342"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"343"	"181d"	"m0 fo0 ijlkok ¼i0 Hkk0½"	"36"	"11"	"216"	"11"	"23"	"14"	"311"	""	"311"	""
"344"	"182"	"izk0 fo0 vdkSuh"	"59"	"13"	"98"	"7"	"132"	"16"	"325"	""	"325"	""
"345"	"183"	"l0 vfHk0 fu0 dk0] jkex<+ pkSd"	"31"	"15"	"288"	"22"	"129"	"32"	"517"	""	"517"	""
"346"	"184"	"izk0 fo0 bekeuxj lqjkjh"	"52"	"17"	"78"	"5"	"183"	"13"	"348"	""	"348"	""
"347"	"185"	"iapk;r Hkou bekeuxj lqjkjh"	"37"	"11"	"151"	"8"	"70"	"7"	"284"	""	"284"	""
"348"	"186"	"izk0 fo0 cfd;kckn ¼ck;ka Hkkx½"	"80"	"10"	"105"	"8"	"104"	"11"	"318"	""	"318"	""
"349"	"186d"	"izk0 fo0 cfd;kckn ¼nk;ka Hkkx½"	"130"	"9"	"41"	"5"	"28"	"9"	"222"	""	"222"	""
"350"	"187"	"izk0 fo0 cM+gkjk ¼iw0 Hkk0½"	"62"	"5"	"132"	"3"	"16"	"4"	"222"	""	"222"	""
"351"	"188"	"izk0 fo0 cM+gkjk ¼i0 Hkk0½"	"78"	"10"	"124"	"4"	"13"	"7"	"236"	""	"236"	""
"352"	"189"	"izk0 fo0 jkeuxj"	"3"	"3"	"187"	"2"	"0"	"0"	"195"	""	"195"	""
"353"	"190"	"izk0 fo0 cjrkjk"	"78"	"4"	"112"	"12"	"89"	"21"	"316"	""	"316"	""
"354"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"355"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"356"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"357"	"Total No. of votes recorded at Polling Stations"	""	"646"	"108"	"1532"	"87"	"787"	"134"	"3294"	""	"3294"	""
"358"	"No. of votes recorded on postal ballot papers (to be filled in the case of election from an assembly constituency)"	""	"1"	"0"	"1"	"0"	"0"	"0"	"2"	""	"2"	""
"359"	"Total votes polled"	""	"14834"	"2398"	"35976"	"2071"	"23528"	"3105"	"81912"	""	"81912"	""
