"NAME.OF.THE.ASSEMBLY.CONSTITUENCY.....78.Madhubani"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"201"	""	"126"	"17"	"266"	"14"	"7"	"0"	"1"	"3"	"7"	"9"	"324"	""	"324"	"0"
"202"	""	"126 A"	"12"	"8"	"29"	"139"	"7"	"5"	"3"	"1"	"6"	"210"	""	"210"	"0"
"203"	""	"127"	"20"	"202"	"70"	"161"	"17"	"8"	"10"	"9"	"14"	"511"	""	"511"	"0"
"204"	""	"128"	"18"	"193"	"33"	"74"	"7"	"5"	"7"	"13"	"17"	"367"	""	"367"	"0"
"205"	""	"129"	"12"	"36"	"50"	"182"	"17"	"11"	"15"	"14"	"23"	"360"	""	"360"	"0"
"206"	""	"130"	"1"	"269"	"80"	"2"	"0"	"0"	"1"	"4"	"5"	"362"	""	"362"	"0"
"207"	""	"130 A"	"13"	"173"	"29"	"8"	"8"	"2"	"3"	"3"	"4"	"243"	""	"243"	"0"
"208"	""	"Total"	"186"	"1618"	"1246"	"1791"	"134"	"75"	"122"	"123"	"165"	"5460"	""	"5460"	"0"
"209"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"211"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"213"	"Round - 12"	"131"	"6"	"150"	"65"	"169"	"11"	"9"	"1"	"2"	"8"	"421"	""	"421"	"0"
"214"	""	"132"	"10"	"51"	"66"	"155"	"11"	"11"	"4"	"11"	"10"	"329"	""	"329"	"0"
"215"	""	"133"	"22"	"71"	"31"	"134"	"8"	"5"	"3"	"12"	"18"	"304"	""	"304"	"0"
"216"	""	"133 A"	"2"	"4"	"30"	"190"	"6"	"1"	"2"	"4"	"3"	"242"	""	"242"	"0"
"217"	""	"134"	"10"	"27"	"57"	"76"	"5"	"1"	"0"	"6"	"5"	"187"	""	"187"	"0"
"218"	""	"135"	"19"	"72"	"201"	"124"	"10"	"4"	"5"	"7"	"13"	"455"	""	"455"	"0"
"219"	""	"136"	"18"	"77"	"61"	"174"	"19"	"11"	"10"	"12"	"24"	"406"	""	"406"	"0"
"220"	""	"137"	"9"	"72"	"96"	"139"	"7"	"7"	"19"	"19"	"24"	"392"	""	"392"	"0"
"221"	""	"138"	"18"	"39"	"384"	"49"	"7"	"5"	"8"	"9"	"13"	"532"	""	"532"	"0"
"222"	""	"139"	"7"	"49"	"71"	"40"	"3"	"31"	"10"	"15"	"36"	"262"	""	"262"	"0"
"223"	""	"139 A"	"3"	"57"	"145"	"20"	"5"	"5"	"10"	"8"	"15"	"268"	""	"268"	"0"
"224"	""	"140"	"14"	"92"	"58"	"17"	"0"	"0"	"4"	"3"	"9"	"197"	""	"197"	"0"
"225"	""	"141"	"17"	"22"	"94"	"227"	"14"	"11"	"14"	"8"	"15"	"422"	""	"422"	"0"
"226"	""	"142"	"5"	"22"	"107"	"86"	"6"	"2"	"11"	"10"	"15"	"264"	""	"264"	"0"
"227"	""	"Total"	"160"	"805"	"1466"	"1600"	"112"	"103"	"101"	"126"	"208"	"4681"	""	"4681"	"0"
"228"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"230"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"232"	"Round - 13"	"143"	"19"	"36"	"152"	"231"	"13"	"12"	"15"	"25"	"36"	"539"	""	"539"	"0"
"233"	""	"144"	"19"	"260"	"54"	"17"	"2"	"3"	"9"	"7"	"11"	"382"	""	"382"	"0"
"234"	""	"145"	"11"	"35"	"54"	"168"	"9"	"7"	"3"	"3"	"10"	"300"	""	"300"	"0"
"235"	""	"146"	"12"	"16"	"280"	"78"	"7"	"6"	"11"	"4"	"7"	"421"	""	"421"	"0"
"236"	""	"147"	"17"	"130"	"112"	"160"	"12"	"7"	"13"	"9"	"29"	"489"	""	"489"	"0"
"237"	""	"148"	"17"	"112"	"73"	"137"	"13"	"4"	"7"	"28"	"6"	"397"	""	"397"	"0"
"238"	""	"149"	"4"	"54"	"53"	"104"	"8"	"7"	"5"	"11"	"6"	"252"	""	"252"	"0"
"239"	""	"149 A"	"8"	"8"	"25"	"131"	"11"	"3"	"1"	"4"	"1"	"192"	""	"192"	"0"
"240"	""	"150"	"12"	"5"	"46"	"272"	"21"	"4"	"5"	"6"	"14"	"385"	""	"385"	"0"
"241"	""	"151"	"6"	"198"	"7"	"0"	"1"	"2"	"2"	"4"	"4"	"224"	""	"224"	"0"
"242"	""	"151 A"	"12"	"165"	"60"	"11"	"7"	"0"	"6"	"4"	"7"	"272"	""	"272"	"0"
"243"	""	"152"	"12"	"238"	"105"	"7"	"8"	"2"	"7"	"9"	"13"	"401"	""	"401"	"0"
"244"	""	"153"	"19"	"174"	"59"	"48"	"10"	"4"	"8"	"7"	"13"	"342"	""	"342"	"0"
"245"	""	"153 A"	"8"	"134"	"94"	"30"	"4"	"6"	"14"	"12"	"10"	"312"	""	"312"	"0"
"246"	""	"Total"	"176"	"1565"	"1174"	"1394"	"126"	"67"	"106"	"133"	"167"	"4908"	""	"4908"	"0"
"247"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"249"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"251"	"Round - 14"	"154"	"11"	"9"	"86"	"175"	"19"	"10"	"10"	"14"	"20"	"354"	""	"354"	"0"
"252"	""	"155"	"22"	"261"	"96"	"6"	"7"	"2"	"10"	"8"	"15"	"427"	""	"427"	"0"
"253"	""	"156"	"35"	"199"	"138"	"188"	"22"	"4"	"10"	"20"	"22"	"638"	""	"638"	"0"
"254"	""	"157"	"16"	"28"	"165"	"229"	"16"	"12"	"14"	"16"	"32"	"528"	""	"528"	"0"
"255"	""	"158"	"26"	"17"	"93"	"197"	"11"	"6"	"12"	"9"	"12"	"383"	""	"383"	"0"
"256"	""	"159"	"6"	"5"	"49"	"145"	"9"	"3"	"5"	"2"	"7"	"231"	""	"231"	"0"
"257"	""	"159 A"	"6"	"118"	"118"	"23"	"1"	"4"	"14"	"14"	"40"	"338"	""	"338"	"0"
"258"	""	"160"	"14"	"78"	"136"	"172"	"17"	"11"	"19"	"14"	"27"	"488"	""	"488"	"0"
"259"	""	"161"	"12"	"16"	"168"	"79"	"8"	"9"	"15"	"15"	"35"	"357"	""	"357"	"0"
"260"	""	"161 A"	"3"	"11"	"55"	"162"	"4"	"3"	"6"	"4"	"20"	"268"	""	"268"	"0"
"261"	""	"162"	"6"	"11"	"120"	"369"	"21"	"14"	"12"	"13"	"20"	"586"	""	"586"	"0"
"262"	""	"163"	"3"	"5"	"228"	"211"	"10"	"4"	"8"	"3"	"7"	"479"	""	"479"	"0"
"263"	""	"164"	"9"	"93"	"146"	"156"	"15"	"25"	"24"	"18"	"60"	"546"	""	"546"	"0"
"264"	""	"165"	"13"	"77"	"157"	"198"	"13"	"5"	"12"	"9"	"25"	"509"	""	"509"	"0"
"265"	""	"Total"	"182"	"928"	"1755"	"2310"	"173"	"112"	"171"	"159"	"342"	"6132"	""	"6132"	"0"
"266"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"268"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"270"	"Round - 15"	"166"	"14"	"43"	"179"	"216"	"17"	"11"	"8"	"7"	"11"	"506"	""	"506"	"0"
"271"	""	"167"	"11"	"123"	"112"	"100"	"5"	"2"	"11"	"12"	"19"	"395"	""	"395"	"0"
"272"	""	"168"	"12"	"161"	"106"	"141"	"8"	"9"	"10"	"6"	"22"	"475"	""	"475"	"0"
"273"	""	"169"	"25"	"45"	"174"	"140"	"8"	"6"	"10"	"9"	"13"	"430"	""	"430"	"0"
"274"	""	"170"	"10"	"20"	"57"	"131"	"7"	"4"	"3"	"4"	"14"	"250"	""	"250"	"0"
"275"	""	"170 A"	"4"	"7"	"90"	"85"	"1"	"4"	"3"	"1"	"5"	"200"	""	"200"	"0"
"276"	""	"171"	"34"	"34"	"198"	"352"	"25"	"22"	"16"	"13"	"46"	"740"	""	"740"	"0"
"277"	""	"172"	"7"	"42"	"81"	"339"	"21"	"6"	"8"	"8"	"19"	"531"	""	"531"	"0"
"278"	""	"173"	"11"	"8"	"293"	"282"	"25"	"9"	"36"	"19"	"39"	"722"	""	"722"	"0"
"279"	""	"174"	"6"	"8"	"78"	"230"	"15"	"9"	"9"	"7"	"20"	"382"	""	"382"	"0"
"280"	""	"174 A"	"19"	"10"	"54"	"222"	"10"	"5"	"11"	"1"	"11"	"343"	""	"343"	"0"
"281"	""	"175"	"10"	"50"	"199"	"288"	"13"	"6"	"10"	"6"	"5"	"587"	""	"587"	"0"
"282"	""	"176"	"13"	"119"	"48"	"138"	"7"	"5"	"8"	"3"	"12"	"353"	""	"353"	"0"
"283"	""	"176 A"	"6"	"123"	"22"	"104"	"7"	"7"	"6"	"3"	"7"	"285"	""	"285"	"0"
"284"	""	"Total"	"182"	"793"	"1691"	"2768"	"169"	"105"	"149"	"99"	"243"	"6199"	""	"6199"	"0"
"285"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"287"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"288"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"289"	"Round - 16"	"177"	"16"	"37"	"127"	"156"	"13"	"5"	"11"	"14"	"13"	"392"	""	"392"	"0"
"290"	""	"177 A"	"13"	"8"	"21"	"218"	"12"	"7"	"4"	"2"	"17"	"302"	""	"302"	"0"
"291"	""	"178"	"28"	"42"	"11"	"295"	"16"	"2"	"6"	"3"	"16"	"419"	""	"419"	"0"
"292"	""	"178 A"	"21"	"42"	"17"	"235"	"17"	"12"	"5"	"8"	"6"	"363"	""	"363"	"0"
"293"	""	"179"	"16"	"65"	"169"	"74"	"9"	"4"	"12"	"5"	"15"	"369"	""	"369"	"0"
"294"	""	"179 A"	"7"	"14"	"128"	"96"	"9"	"5"	"6"	"13"	"17"	"295"	""	"295"	"0"
"295"	""	"180"	"23"	"110"	"57"	"154"	"12"	"5"	"5"	"10"	"16"	"392"	""	"392"	"0"
"296"	""	"181"	"12"	"18"	"77"	"236"	"18"	"15"	"18"	"11"	"24"	"429"	""	"429"	"0"
"297"	""	"182"	"15"	"157"	"177"	"118"	"14"	"14"	"24"	"23"	"28"	"570"	""	"570"	"0"
"298"	""	"183"	"13"	"95"	"72"	"221"	"20"	"8"	"16"	"15"	"13"	"473"	""	"473"	"0"
"299"	""	"184"	"28"	"125"	"274"	"191"	"14"	"13"	"18"	"21"	"30"	"714"	""	"714"	"0"
"300"	""	"185"	"17"	"135"	"139"	"169"	"4"	"12"	"18"	"20"	"26"	"540"	""	"540"	"0"
"301"	""	"186"	"21"	"98"	"90"	"222"	"11"	"11"	"6"	"6"	"13"	"478"	""	"478"	"0"
"302"	""	"187"	"10"	"52"	"41"	"278"	"9"	"2"	"2"	"1"	"8"	"403"	""	"403"	"0"
"303"	""	"Total"	"240"	"998"	"1400"	"2663"	"178"	"115"	"151"	"152"	"242"	"6139"	""	"6139"	"0"
"304"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"306"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"307"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"308"	"Round - 17"	"188"	"12"	"20"	"105"	"217"	"23"	"17"	"12"	"14"	"21"	"441"	""	"441"	"0"
"309"	""	"189"	"4"	"38"	"203"	"351"	"17"	"22"	"8"	"13"	"19"	"675"	""	"675"	"0"
"310"	""	"190"	"7"	"42"	"125"	"184"	"11"	"6"	"10"	"5"	"15"	"405"	""	"405"	"0"
"311"	""	"190 A"	"13"	"10"	"99"	"243"	"10"	"9"	"10"	"3"	"17"	"414"	""	"414"	"0"
"312"	""	"191"	"9"	"49"	"124"	"143"	"9"	"6"	"6"	"7"	"17"	"370"	""	"370"	"0"
"313"	""	"191 A"	"9"	"34"	"148"	"251"	"8"	"8"	"2"	"2"	"10"	"472"	""	"472"	"0"
"314"	""	"192"	"5"	"91"	"109"	"136"	"7"	"5"	"8"	"2"	"5"	"368"	""	"368"	"0"
"315"	""	"192 A"	"3"	"13"	"46"	"199"	"4"	"4"	"3"	"2"	"10"	"284"	""	"284"	"0"
"316"	""	"193"	"21"	"329"	"49"	"15"	"7"	"1"	"5"	"9"	"14"	"450"	""	"450"	"0"
"317"	""	"194"	"13"	"61"	"59"	"140"	"5"	"3"	"9"	"10"	"19"	"319"	""	"319"	"0"
"318"	""	"194 A"	"7"	"20"	"39"	"108"	"6"	"3"	"2"	"1"	"5"	"191"	""	"191"	"0"
"319"	""	"195"	"9"	"111"	"136"	"36"	"7"	"4"	"6"	"10"	"20"	"339"	""	"339"	"0"
"320"	""	"195 A"	"8"	"12"	"69"	"124"	"6"	"2"	"1"	"1"	"7"	"230"	""	"230"	"0"
"321"	""	"196"	"30"	"138"	"122"	"279"	"16"	"9"	"20"	"8"	"27"	"649"	""	"649"	"0"
"322"	""	"Total"	"150"	"968"	"1433"	"2426"	"136"	"99"	"102"	"87"	"206"	"5607"	""	"5607"	"0"
"323"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"325"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"326"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"327"	"Round - 18"	"197"	"13"	"74"	"30"	"190"	"20"	"10"	"10"	"15"	"40"	"402"	""	"402"	"0"
"328"	""	"198"	"8"	"47"	"58"	"121"	"10"	"4"	"8"	"9"	"15"	"280"	""	"280"	"0"
"329"	""	"199"	"22"	"276"	"77"	"218"	"16"	"10"	"11"	"10"	"21"	"661"	""	"661"	"0"
"330"	""	"200"	"4"	"61"	"39"	"167"	"10"	"4"	"4"	"10"	"10"	"309"	""	"309"	"0"
"331"	""	"200 A"	"21"	"149"	"63"	"34"	"9"	"12"	"7"	"12"	"10"	"317"	""	"317"	"0"
"332"	""	"201"	"15"	"219"	"69"	"26"	"6"	"1"	"8"	"12"	"28"	"384"	""	"384"	"0"
"333"	""	"201 A"	"23"	"143"	"85"	"74"	"5"	"5"	"21"	"18"	"39"	"413"	""	"413"	"0"
"334"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	"0"
"335"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	"0"
"336"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	"0"
"337"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	"0"
"338"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	"0"
"339"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	"0"
"340"	""	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	"0"
"341"	""	"Total"	"106"	"969"	"421"	"830"	"76"	"46"	"69"	"86"	"163"	"2766"	""	"2766"	"0"
"342"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 78 Madhubani"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"Round No."	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendere d Votes"
"349"	""	""	"Abbas, BSP"	"Aslam, RJD"	"Rajkumar Mahaseth, LJP"	"Ram Deo Mahto, BJP"	"Imran Ansari, RLD"	"Kailash Kumar Sah, SP"	"Ramdeo Purbe, Ind."	"Vidya Nand Thakur, Ind."	"Sanjay Kumar Mahto, Ind."	""	""	""	""
"350"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"351"	"Total No. of votes recorded at Polling"	""	"2804"	"26055"	"22870"	"38007"	"2137"	"1547"	"1900"	"1962"	"3747"	"101029"	"0"	"101029"	"0"
"352"	"No. of Votes recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""	""	"0"	""	"0"	"0"
"353"	"TOTAL VOTES POLLED"	""	"2804"	"26055"	"22870"	"38007"	"2137"	"1547"	"1900"	"1962"	"3747"	"101029"	"0"	"101029"	"0"
