"FINAL.RESULT.SHEET"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"243"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"244"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"245"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"246"	"1"	"110"	"299"	"85"	"3"	"5"	"3"	"0"	"2"	"397"	"0"	"397"	"0"
"247"	"2"	"110A"	"243"	"47"	"0"	"4"	"0"	"1"	"1"	"296"	"0"	"296"	"0"
"248"	"3"	"111"	"327"	"170"	"8"	"29"	"10"	"9"	"26"	"579"	"0"	"579"	"0"
"249"	"4"	"112"	"228"	"165"	"11"	"37"	"6"	"9"	"14"	"470"	"0"	"470"	"0"
"250"	"5"	"113"	"271"	"95"	"9"	"27"	"17"	"10"	"43"	"472"	"0"	"472"	"0"
"251"	"6"	"114"	"168"	"145"	"12"	"27"	"2"	"5"	"8"	"367"	"0"	"367"	"0"
"252"	"7"	"115"	"80"	"52"	"1"	"9"	"1"	"4"	"3"	"150"	"0"	"150"	"0"
"253"	"8"	"116"	"313"	"57"	"10"	"16"	"5"	"5"	"10"	"416"	"0"	"416"	"0"
"254"	"9"	"117"	"174"	"61"	"3"	"7"	"5"	"1"	"6"	"257"	"0"	"257"	"0"
"255"	"10"	"118"	"253"	"160"	"16"	"20"	"6"	"14"	"39"	"508"	"0"	"508"	"0"
"256"	"11"	"119"	"184"	"128"	"10"	"29"	"8"	"7"	"16"	"382"	"0"	"382"	"0"
"257"	"12"	"120"	"172"	"156"	"11"	"41"	"4"	"3"	"7"	"394"	"0"	"394"	"0"
"258"	"13"	"121"	"168"	"73"	"3"	"11"	"3"	"4"	"5"	"267"	"0"	"267"	"0"
"259"	"14"	"122"	"182"	"198"	"6"	"77"	"1"	"0"	"3"	"467"	"0"	"467"	"0"
"260"	"Total Votes Polled"	""	"3062"	"1592"	"103"	"339"	"71"	"72"	"183"	"5422"	"0"	"5422"	"0"
"261"	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"269"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"270"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"271"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"272"	"1"	"123"	"83"	"209"	"16"	"19"	"3"	"2"	"3"	"335"	"0"	"335"	"0"
"273"	"2"	"124"	"147"	"135"	"8"	"22"	"3"	"8"	"7"	"330"	"0"	"330"	"0"
"274"	"3"	"125"	"270"	"190"	"18"	"20"	"3"	"3"	"8"	"512"	"0"	"512"	"0"
"275"	"4"	"126"	"286"	"202"	"11"	"24"	"3"	"8"	"27"	"561"	"0"	"561"	"0"
"276"	"5"	"127"	"220"	"146"	"8"	"12"	"6"	"6"	"15"	"413"	"0"	"413"	"0"
"277"	"6"	"128"	"115"	"293"	"11"	"20"	"3"	"5"	"3"	"450"	"0"	"450"	"0"
"278"	"7"	"129"	"58"	"375"	"9"	"9"	"2"	"4"	"3"	"460"	"0"	"460"	"0"
"279"	"8"	"130"	"45"	"376"	"6"	"9"	"8"	"3"	"3"	"450"	"0"	"450"	"0"
"280"	"9"	"131"	"176"	"222"	"12"	"17"	"5"	"9"	"23"	"464"	"0"	"464"	"0"
"281"	"10"	"132"	"230"	"241"	"38"	"53"	"19"	"26"	"44"	"651"	"0"	"651"	"0"
"282"	"11"	"133"	"195"	"131"	"7"	"26"	"1"	"6"	"21"	"387"	"0"	"387"	"0"
"283"	"12"	"134"	"212"	"165"	"9"	"7"	"7"	"11"	"17"	"428"	"0"	"428"	"0"
"284"	"13"	"135"	"35"	"92"	"15"	"13"	"3"	"10"	"14"	"182"	"0"	"182"	"0"
"285"	"14"	"135A"	"166"	"115"	"11"	"41"	"5"	"4"	"12"	"354"	"0"	"354"	"0"
"286"	"Total Votes Polled"	""	"2238"	"2892"	"179"	"292"	"71"	"105"	"200"	"5977"	"0"	"5977"	"0"
"287"	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"295"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"296"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"297"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"298"	"1"	"136R"	"159"	"284"	"21"	"36"	"13"	"14"	"27"	"554"	"0"	"554"	"0"
"299"	"2"	"137"	"81"	"128"	"4"	"11"	"1"	"2"	"5"	"232"	"0"	"232"	"0"
"300"	"3"	"138"	"172"	"168"	"16"	"33"	"10"	"9"	"11"	"419"	"0"	"419"	"0"
"301"	"4"	"139"	"169"	"161"	"5"	"16"	"5"	"5"	"19"	"380"	"0"	"380"	"0"
"302"	"5"	"140"	"101"	"113"	"14"	"19"	"9"	"7"	"42"	"305"	"0"	"305"	"0"
"303"	"6"	"141"	"45"	"101"	"20"	"4"	"0"	"3"	"12"	"185"	"0"	"185"	"0"
"304"	"7"	"142"	"195"	"270"	"10"	"8"	"2"	"3"	"4"	"492"	"0"	"492"	"0"
"305"	"8"	"142A"	"27"	"41"	"1"	"2"	"1"	"0"	"0"	"72"	"0"	"72"	"0"
"306"	"9"	"143"	"101"	"125"	"5"	"4"	"3"	"5"	"5"	"248"	"0"	"248"	"0"
"307"	"10"	"143A"	"97"	"160"	"8"	"18"	"4"	"5"	"16"	"308"	"0"	"308"	"0"
"308"	"11"	"144"	"151"	"281"	"11"	"17"	"0"	"6"	"8"	"474"	"0"	"474"	"0"
"309"	"12"	"145"	"67"	"265"	"16"	"21"	"0"	"6"	"10"	"385"	"0"	"385"	"0"
"310"	"13"	"146"	"35"	"129"	"3"	"9"	"5"	"2"	"6"	"189"	"0"	"189"	"0"
"311"	"14"	"147"	"76"	"245"	"9"	"96"	"8"	"11"	"23"	"468"	"0"	"468"	"0"
"312"	"Total Votes Polled"	""	"1476"	"2471"	"143"	"294"	"61"	"78"	"188"	"4711"	"0"	"4711"	"0"
"313"	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"317"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"321"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"322"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"323"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"324"	"1"	"148"	"177"	"144"	"1"	"4"	"2"	"0"	"0"	"328"	"0"	"328"	"0"
"325"	"2"	"149"	"150"	"193"	"11"	"26"	"7"	"5"	"13"	"405"	"0"	"405"	"0"
"326"	"3"	"150"	"140"	"148"	"4"	"12"	"4"	"3"	"9"	"320"	"0"	"320"	"0"
"327"	"4"	"151"	"88"	"124"	"6"	"6"	"4"	"6"	"18"	"252"	"0"	"252"	"0"
"328"	"5"	"152"	"95"	"137"	"1"	"0"	"0"	"0"	"2"	"235"	"0"	"235"	"0"
"329"	"6"	"153"	"270"	"196"	"5"	"12"	"1"	"0"	"0"	"484"	"0"	"484"	"0"
"330"	"7"	"154"	"144"	"144"	"0"	"2"	"1"	"4"	"3"	"298"	"0"	"298"	"0"
"331"	"8"	"155"	"190"	"103"	"12"	"33"	"4"	"3"	"15"	"360"	"0"	"360"	"0"
"332"	"9"	"156"	"176"	"153"	"14"	"123"	"14"	"7"	"21"	"508"	"0"	"508"	"0"
"333"	"10"	"157"	"171"	"81"	"10"	"36"	"7"	"5"	"20"	"330"	"0"	"330"	"0"
"334"	"11"	"158"	"231"	"58"	"0"	"4"	"0"	"3"	"5"	"301"	"0"	"301"	"0"
"335"	"12"	"159"	"139"	"107"	"6"	"36"	"7"	"11"	"14"	"320"	"0"	"320"	"0"
"336"	"13"	"160"	"63"	"156"	"4"	"8"	"3"	"0"	"3"	"237"	"0"	"237"	"0"
"337"	"14"	"161"	"147"	"160"	"15"	"18"	"10"	"9"	"11"	"370"	"0"	"370"	"0"
"338"	"Total Votes Polled"	""	"2181"	"1904"	"89"	"320"	"64"	"56"	"134"	"4748"	"0"	"4748"	"0"
"339"	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"346"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"347"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"348"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"349"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"350"	"1"	"162"	"236"	"58"	"7"	"16"	"8"	"2"	"14"	"341"	"0"	"341"	"0"
"351"	"2"	"163"	"286"	"115"	"5"	"7"	"6"	"6"	"4"	"429"	"0"	"429"	"0"
"352"	"3"	"164"	"105"	"276"	"0"	"8"	"1"	"0"	"1"	"391"	"0"	"391"	"0"
"353"	"4"	"165"	"169"	"130"	"3"	"16"	"2"	"2"	"9"	"331"	"0"	"331"	"0"
"354"	"5"	"166"	"102"	"35"	"1"	"6"	"1"	"1"	"0"	"146"	"0"	"146"	"0"
"355"	"6"	"167"	"183"	"177"	"12"	"25"	"3"	"4"	"7"	"411"	"0"	"411"	"0"
"356"	"7"	"168"	"340"	"251"	"5"	"14"	"2"	"8"	"24"	"644"	"0"	"644"	"0"
"357"	"8"	"169"	"233"	"194"	"11"	"9"	"2"	"4"	"12"	"465"	"0"	"465"	"0"
"358"	"9"	"170"	"150"	"69"	"4"	"12"	"1"	"1"	"5"	"242"	"0"	"242"	"0"
"359"	"10"	"171R"	"62"	"124"	"4"	"15"	"3"	"9"	"4"	"221"	"0"	"221"	"0"
"360"	"11"	"172"	"128"	"139"	"3"	"12"	"2"	"0"	"2"	"286"	"0"	"286"	"0"
"361"	"12"	"173"	"195"	"133"	"4"	"9"	"1"	"2"	"7"	"351"	"0"	"351"	"0"
"362"	"13"	"174"	"276"	"141"	"9"	"24"	"8"	"1"	"18"	"477"	"0"	"477"	"0"
"363"	"14"	"175"	"80"	"153"	"5"	"4"	"2"	"2"	"6"	"252"	"0"	"252"	"0"
"364"	"Total Votes Polled"	""	"2545"	"1995"	"73"	"177"	"42"	"42"	"113"	"4987"	"0"	"4987"	"0"
"365"	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"371"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"372"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"373"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"374"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"375"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"376"	"1"	"176"	"219"	"39"	"2"	"5"	"1"	"2"	"4"	"272"	"0"	"272"	"0"
"377"	"2"	"177"	"140"	"68"	"2"	"12"	"2"	"3"	"10"	"237"	"0"	"237"	"0"
"378"	"3"	"178"	"108"	"23"	"10"	"12"	"6"	"9"	"7"	"175"	"0"	"175"	"0"
"379"	"4"	"179"	"302"	"92"	"8"	"18"	"4"	"5"	"16"	"445"	"0"	"445"	"0"
"380"	"5"	"180"	"321"	"126"	"7"	"15"	"5"	"5"	"7"	"486"	"0"	"486"	"0"
"381"	"6"	"181"	"244"	"53"	"9"	"8"	"4"	"7"	"5"	"330"	"0"	"330"	"0"
"382"	"7"	"181A"	"212"	"53"	"8"	"22"	"8"	"3"	"18"	"324"	"0"	"324"	"0"
"383"	"8"	"182"	"138"	"54"	"3"	"9"	"2"	"3"	"3"	"212"	"0"	"212"	"0"
"384"	"9"	"183"	"186"	"105"	"14"	"16"	"3"	"6"	"14"	"344"	"0"	"344"	"0"
"385"	"10"	"184"	"207"	"88"	"6"	"14"	"1"	"5"	"16"	"337"	"0"	"337"	"0"
"386"	"11"	"185"	"335"	"99"	"16"	"28"	"6"	"5"	"5"	"494"	"0"	"494"	"0"
"387"	"12"	"186"	"346"	"77"	"7"	"14"	"6"	"7"	"22"	"479"	"0"	"479"	"0"
"388"	"13"	"187"	"180"	"40"	"2"	"4"	"1"	"0"	"6"	"233"	"0"	"233"	"0"
"389"	"14"	"187A"	"169"	"82"	"2"	"3"	"1"	"1"	"4"	"262"	"0"	"262"	"0"
"390"	"Total Votes Polled"	""	"3107"	"999"	"96"	"180"	"50"	"61"	"137"	"4630"	"0"	"4630"	"0"
"391"	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"394"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"397"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"399"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"400"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"401"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"402"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"403"	"1"	"188"	"103"	"111"	"5"	"17"	"1"	"1"	"0"	"238"	"0"	"238"	"0"
"404"	"2"	"189"	"212"	"112"	"11"	"17"	"6"	"3"	"2"	"363"	"0"	"363"	"0"
"405"	"3"	"190"	"182"	"89"	"10"	"65"	"12"	"10"	"29"	"397"	"0"	"397"	"0"
"406"	"4"	"191"	"208"	"83"	"5"	"11"	"7"	"5"	"13"	"332"	"0"	"332"	"0"
"407"	"5"	"192"	"161"	"59"	"2"	"8"	"4"	"4"	"14"	"252"	"0"	"252"	"0"
"408"	"6"	"193"	"251"	"182"	"6"	"12"	"2"	"2"	"2"	"457"	"0"	"457"	"0"
"409"	"7"	"194"	"351"	"98"	"6"	"20"	"1"	"3"	"9"	"488"	"0"	"488"	"0"
"410"	"8"	"195"	"264"	"80"	"5"	"16"	"3"	"1"	"6"	"375"	"0"	"375"	"0"
"411"	"9"	"196"	"136"	"40"	"1"	"6"	"0"	"0"	"3"	"186"	"0"	"186"	"0"
"412"	"10"	"197"	"106"	"108"	"6"	"8"	"4"	"12"	"9"	"253"	"0"	"253"	"0"
"413"	"11"	"197A"	"83"	"29"	"4"	"6"	"1"	"2"	"3"	"128"	"0"	"128"	"0"
"414"	"Total Votes Polled"	""	"2057"	"991"	"61"	"186"	"41"	"43"	"90"	"3469"	"0"	"3469"	"0"
"415"	""	""	""	""	""	""	""	""	""	""	""	""	""
"416"	""	"POSTAL"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"16"	"16"	"0"
"417"	""	"TOTAL"	"43276"	"26809"	"1629"	"4508"	"877"	"967"	"2123"	"80189"	"16"	"80205"	"0"
"418"	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""
"421"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""
"422"	"ction to the State Legislative Assembly from the 243 - Hasua  Assembly Constitue Part -1"	""	""	""	""	""	""	""	""	""	""	""	""
"423"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""
"424"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""
"425"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""
"426"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""
"427"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""
"428"	"Table No."	"No. & Name of Polling Station"	"ANIL SINGH"	"AADITYA SINGH"	"RAMESH CHANDRA RAMAN"	"SHYAM KISHOR SINGH"	"TRIPIT SINGH"	"BABU LAL PRASAD"	"BIPUL KUMAR"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"429"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"
"430"	""	""	""	""	""	""	""	""	""	""	""	""	""
"431"	""	""	""	""	""	""	""	""	""	""	""	""	""
"432"	""	""	""	""	""	""	""	""	""	""	""	""	""
"433"	""	""	""	""	""	""	""	""	""	""	""	""	""
"434"	""	""	""	""	""	""	""	""	""	""	""	""	""
"435"	""	""	""	""	""	""	""	""	""	""	""	""	""
