"Total.No..of.Electors.in.Assembly.Constituency...195687"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"1"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"196"	"112"	"188"	"63"	"153"	"11"	"5"	"4"	"5"	"25"	"6"	"7"	"467"	"0"	"467"	"0"	""
"197"	"Total"	"2303"	"1051"	"2374"	"348"	"48"	"64"	"110"	"299"	"88"	"158"	"6843"	"0"	"6843"	"0"	""
"198"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"199"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"202"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"203"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"204"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"205"	"113"	"33"	"7"	"403"	"22"	"4"	"0"	"15"	"48"	"10"	"17"	"559"	"0"	"559"	"0"	""
"206"	"114"	"149"	"48"	"262"	"25"	"5"	"1"	"12"	"20"	"4"	"4"	"530"	"0"	"530"	"0"	""
"207"	"115"	"57"	"27"	"283"	"36"	"8"	"3"	"4"	"17"	"3"	"3"	"441"	"0"	"441"	"0"	""
"208"	"116"	"133"	"31"	"350"	"7"	"2"	"3"	"2"	"17"	"2"	"2"	"549"	"0"	"549"	"0"	""
"209"	"117"	"55"	"8"	"367"	"10"	"5"	"2"	"13"	"51"	"6"	"18"	"535"	"0"	"535"	"0"	""
"210"	"118"	"90"	"62"	"183"	"21"	"9"	"2"	"1"	"23"	"9"	"12"	"412"	"0"	"412"	"0"	""
"211"	"118A"	"34"	"128"	"236"	"7"	"11"	"3"	"5"	"23"	"6"	"10"	"463"	"0"	"463"	"0"	""
"212"	"119"	"136"	"55"	"484"	"22"	"12"	"1"	"10"	"34"	"7"	"13"	"774"	"0"	"774"	"0"	""
"213"	"120"	"101"	"366"	"102"	"5"	"2"	"1"	"9"	"2"	"3"	"9"	"600"	"0"	"600"	"0"	""
"214"	"121"	"69"	"189"	"410"	"13"	"1"	"0"	"4"	"17"	"5"	"9"	"717"	"0"	"717"	"0"	""
"215"	"122"	"55"	"77"	"265"	"6"	"9"	"3"	"10"	"26"	"3"	"8"	"462"	"0"	"462"	"0"	""
"216"	"123"	"57"	"122"	"315"	"57"	"11"	"1"	"8"	"30"	"6"	"17"	"624"	"0"	"624"	"0"	""
"217"	"124"	"87"	"127"	"242"	"73"	"12"	"3"	"10"	"18"	"8"	"13"	"593"	"0"	"593"	"0"	""
"218"	"125"	"69"	"62"	"473"	"15"	"8"	"9"	"15"	"44"	"16"	"10"	"721"	"0"	"721"	"0"	""
"219"	"Total"	"1125"	"1309"	"4375"	"319"	"99"	"32"	"118"	"370"	"88"	"145"	"7980"	"0"	"7980"	"0"	""
"220"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"221"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"226"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"227"	"126"	"25"	"306"	"144"	"7"	"3"	"7"	"2"	"8"	"1"	"7"	"510"	"0"	"510"	"0"	""
"228"	"126A"	"77"	"245"	"69"	"3"	"7"	"5"	"3"	"6"	"6"	"7"	"428"	"0"	"428"	"0"	""
"229"	"127"	"26"	"219"	"119"	"24"	"7"	"2"	"1"	"16"	"8"	"15"	"437"	"0"	"437"	"0"	""
"230"	"128"	"72"	"161"	"40"	"12"	"3"	"3"	"3"	"7"	"6"	"14"	"321"	"0"	"321"	"0"	""
"231"	"129"	"78"	"127"	"178"	"41"	"10"	"2"	"8"	"26"	"3"	"15"	"488"	"0"	"488"	"0"	""
"232"	"130"	"151"	"12"	"202"	"38"	"2"	"1"	"4"	"9"	"4"	"3"	"426"	"0"	"426"	"0"	""
"233"	"131"	"163"	"75"	"125"	"86"	"3"	"3"	"7"	"20"	"12"	"17"	"511"	"0"	"511"	"0"	""
"234"	"132"	"88"	"209"	"74"	"10"	"5"	"6"	"7"	"7"	"6"	"9"	"421"	"0"	"421"	"0"	""
"235"	"133"	"109"	"152"	"149"	"9"	"5"	"7"	"11"	"19"	"10"	"15"	"486"	"0"	"486"	"0"	""
"236"	"134"	"34"	"207"	"202"	"9"	"6"	"5"	"9"	"17"	"10"	"31"	"530"	"0"	"530"	"0"	""
"237"	"135"	"245"	"333"	"92"	"13"	"5"	"10"	"1"	"16"	"4"	"18"	"737"	"0"	"737"	"0"	""
"238"	"136"	"60"	"68"	"226"	"18"	"3"	"5"	"2"	"11"	"11"	"4"	"408"	"0"	"408"	"0"	""
"239"	"136A"	"55"	"245"	"61"	"30"	"1"	"3"	"0"	"1"	"0"	"7"	"403"	"0"	"403"	"0"	""
"240"	"137"	"100"	"97"	"322"	"9"	"6"	"11"	"3"	"9"	"2"	"3"	"562"	"0"	"562"	"0"	""
"241"	"Total"	"1283"	"2456"	"2003"	"309"	"66"	"70"	"61"	"172"	"83"	"165"	"6668"	"0"	"6668"	"0"	""
"242"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"246"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"247"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"248"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"249"	"138"	"66"	"44"	"164"	"68"	"1"	"6"	"2"	"10"	"4"	"15"	"380"	"0"	"380"	"0"	""
"250"	"138A"	"27"	"154"	"190"	"7"	"8"	"1"	"3"	"21"	"4"	"10"	"425"	"0"	"425"	"0"	""
"251"	"139"	"134"	"100"	"320"	"16"	"14"	"7"	"24"	"16"	"8"	"16"	"655"	"0"	"655"	"0"	""
"252"	"140"	"132"	"78"	"242"	"16"	"7"	"3"	"8"	"30"	"3"	"9"	"528"	"0"	"528"	"0"	""
"253"	"141"	"305"	"59"	"209"	"40"	"8"	"4"	"16"	"41"	"16"	"37"	"735"	"0"	"735"	"0"	""
"254"	"142"	"43"	"210"	"425"	"15"	"5"	"5"	"8"	"31"	"3"	"11"	"756"	"0"	"756"	"0"	""
"255"	"143"	"228"	"101"	"87"	"12"	"5"	"3"	"8"	"19"	"11"	"17"	"491"	"0"	"491"	"0"	""
"256"	"144"	"68"	"42"	"236"	"47"	"5"	"3"	"10"	"18"	"9"	"9"	"447"	"0"	"447"	"0"	""
"257"	"144A"	"104"	"81"	"162"	"8"	"0"	"3"	"9"	"7"	"2"	"6"	"382"	"0"	"382"	"0"	""
"258"	"145"	"193"	"11"	"217"	"4"	"1"	"1"	"5"	"10"	"2"	"3"	"447"	"0"	"447"	"0"	""
"259"	"146"	"227"	"106"	"410"	"37"	"5"	"2"	"9"	"17"	"7"	"7"	"827"	"0"	"827"	"0"	""
"260"	"147"	"230"	"72"	"107"	"47"	"4"	"1"	"7"	"6"	"6"	"21"	"501"	"0"	"501"	"0"	""
"261"	"148"	"87"	"93"	"270"	"80"	"8"	"13"	"17"	"20"	"35"	"27"	"650"	"0"	"650"	"0"	""
"262"	"149"	"159"	"13"	"141"	"7"	"3"	"2"	"3"	"12"	"11"	"11"	"362"	"0"	"362"	"0"	""
"263"	"Total"	"2003"	"1164"	"3180"	"404"	"74"	"54"	"129"	"258"	"121"	"199"	"7586"	"0"	"7586"	"0"	""
"264"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"270"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"271"	"149A"	"89"	"63"	"67"	"14"	"1"	"2"	"2"	"3"	"4"	"6"	"251"	"0"	"251"	"0"	""
"272"	"150"	"353"	"35"	"60"	"17"	"6"	"2"	"2"	"5"	"2"	"7"	"489"	"0"	"489"	"0"	""
"273"	"151"	"84"	"143"	"309"	"31"	"13"	"7"	"15"	"32"	"9"	"20"	"663"	"0"	"663"	"0"	""
"274"	"152"	"174"	"18"	"179"	"11"	"0"	"4"	"6"	"19"	"1"	"7"	"419"	"0"	"419"	"0"	""
"275"	"152A"	"12"	"234"	"48"	"28"	"4"	"2"	"3"	"3"	"3"	"20"	"357"	"0"	"357"	"0"	""
"276"	"153"	"157"	"119"	"133"	"10"	"5"	"4"	"7"	"10"	"2"	"6"	"453"	"0"	"453"	"0"	""
"277"	"154"	"111"	"101"	"202"	"15"	"6"	"7"	"7"	"13"	"3"	"7"	"472"	"0"	"472"	"0"	""
"278"	"155"	"245"	"96"	"188"	"18"	"11"	"6"	"9"	"9"	"18"	"8"	"608"	"0"	"608"	"0"	""
"279"	"156"	"147"	"31"	"82"	"5"	"2"	"0"	"7"	"6"	"4"	"12"	"296"	"0"	"296"	"0"	""
"280"	"156A"	"81"	"89"	"68"	"9"	"1"	"2"	"10"	"12"	"3"	"10"	"285"	"0"	"285"	"0"	""
"281"	"157"	"263"	"13"	"199"	"10"	"2"	"5"	"5"	"12"	"36"	"11"	"556"	"0"	"556"	"0"	""
"282"	"158"	"180"	"136"	"86"	"17"	"2"	"4"	"3"	"8"	"5"	"10"	"451"	"0"	"451"	"0"	""
"283"	"159"	"54"	"43"	"179"	"23"	"5"	"8"	"2"	"40"	"207"	"21"	"582"	"0"	"582"	"0"	""
"284"	"160"	"126"	"16"	"142"	"7"	"4"	"3"	"8"	"29"	"75"	"11"	"421"	"0"	"421"	"0"	""
"285"	"Total"	"2076"	"1137"	"1942"	"215"	"62"	"56"	"86"	"201"	"372"	"156"	"6303"	"0"	"6303"	"0"	""
"286"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"292"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"293"	"161"	"126"	"12"	"148"	"24"	"5"	"5"	"10"	"19"	"1"	"23"	"373"	"0"	"373"	"0"	""
"294"	"161A"	"114"	"62"	"86"	"18"	"1"	"7"	"2"	"9"	"10"	"12"	"321"	"0"	"321"	"0"	""
"295"	"162"	"137"	"79"	"164"	"9"	"2"	"8"	"3"	"22"	"6"	"7"	"437"	"0"	"437"	"0"	""
"296"	"163"	"151"	"33"	"191"	"4"	"3"	"3"	"5"	"16"	"7"	"5"	"418"	"0"	"418"	"0"	""
"297"	"164"	"248"	"50"	"54"	"14"	"6"	"1"	"4"	"15"	"15"	"24"	"431"	"0"	"431"	"0"	""
"298"	"165"	"82"	"7"	"151"	"35"	"6"	"5"	"4"	"29"	"17"	"14"	"350"	"0"	"350"	"0"	""
"299"	"166"	"111"	"85"	"211"	"56"	"11"	"11"	"8"	"24"	"6"	"10"	"533"	"0"	"533"	"0"	""
"300"	"167"	"78"	"28"	"225"	"11"	"3"	"11"	"8"	"15"	"0"	"7"	"386"	"0"	"386"	"0"	""
"301"	"168"	"155"	"53"	"179"	"20"	"4"	"9"	"1"	"16"	"6"	"22"	"465"	"0"	"465"	"0"	""
"302"	"169"	"99"	"54"	"192"	"10"	"6"	"18"	"12"	"23"	"12"	"23"	"449"	"0"	"449"	"0"	""
"303"	"170"	"123"	"120"	"178"	"13"	"8"	"12"	"5"	"19"	"7"	"9"	"494"	"0"	"494"	"0"	""
"304"	"171"	"50"	"57"	"263"	"8"	"2"	"2"	"12"	"46"	"12"	"13"	"465"	""	"#VALUE!"	"0"	""
"305"	"172"	"124"	"143"	"210"	"17"	"2"	"5"	"5"	"29"	"9"	"13"	"557"	"0"	"557"	"0"	""
"306"	"173"	"110"	"27"	"70"	"6"	"0"	"5"	"1"	"5"	"1"	"11"	"236"	"0"	"236"	"0"	""
"307"	"Total"	"1708"	"810"	"2322"	"245"	"59"	"102"	"80"	"287"	"109"	"193"	"5915"	"0"	"#VALUE!"	"0"	""
"308"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"314"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"315"	"174"	"248"	"84"	"201"	"7"	"4"	"3"	"4"	"14"	"4"	"9"	"578"	"0"	"578"	"0"	""
"316"	"175"	"252"	"23"	"10"	"4"	"0"	"7"	"4"	"8"	"2"	"15"	"325"	"0"	"325"	"0"	""
"317"	"176"	"435"	"105"	"58"	"4"	"1"	"5"	"7"	"5"	"8"	"9"	"637"	"0"	"637"	"0"	""
"318"	"177"	"113"	"7"	"123"	"28"	"2"	"9"	"6"	"7"	"4"	"11"	"310"	"0"	"310"	"0"	""
"319"	"178"	"222"	"126"	"125"	"10"	"5"	"7"	"4"	"12"	"7"	"15"	"533"	"0"	"533"	"0"	""
"320"	"179"	"176"	"20"	"101"	"9"	"3"	"7"	"16"	"13"	"3"	"15"	"363"	"0"	"363"	"0"	""
"321"	"180"	"91"	"10"	"20"	"2"	"3"	"2"	"8"	"1"	"5"	"13"	"155"	"0"	"155"	"0"	""
"322"	"181"	"156"	"10"	"71"	"2"	"0"	"4"	"0"	"5"	"1"	"4"	"253"	"0"	"253"	"0"	""
"323"	"182"	"138"	"38"	"154"	"3"	"4"	"1"	"2"	"15"	"1"	"8"	"364"	"0"	"364"	"0"	""
"324"	"183"	"90"	"31"	"185"	"12"	"2"	"4"	"6"	"18"	"6"	"9"	"363"	"0"	"363"	"0"	""
"325"	"184"	"430"	"78"	"60"	"10"	"4"	"5"	"5"	"3"	"5"	"28"	"628"	"0"	"628"	"0"	""
"326"	"185"	"104"	"78"	"180"	"10"	"1"	"4"	"4"	"10"	"2"	"3"	"396"	"0"	"396"	"0"	""
"327"	"186"	"202"	"12"	"35"	"13"	"4"	"3"	"4"	"9"	"4"	"13"	"299"	"0"	"299"	"0"	""
"328"	"187"	"136"	"19"	"26"	"1"	"2"	"5"	"2"	"0"	"6"	"18"	"215"	"0"	"215"	"0"	""
"329"	"Total"	"2793"	"641"	"1349"	"115"	"35"	"66"	"72"	"120"	"58"	"170"	"5419"	"0"	"5419"	"0"	""
"330"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"332"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"333"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"334"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"336"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"337"	"187A"	"175"	"68"	"52"	"2"	"4"	"5"	"3"	"6"	"6"	"8"	"329"	"0"	"329"	"0"	""
"338"	"188"	"204"	"61"	"77"	"5"	"3"	"2"	"3"	"5"	"4"	"10"	"374"	"0"	"374"	"0"	""
"339"	"189"	"280"	"31"	"45"	"4"	"1"	"2"	"4"	"4"	"3"	"5"	"379"	"0"	"379"	"0"	""
"340"	"189A"	"296"	"21"	"45"	"8"	"4"	"3"	"7"	"5"	"5"	"22"	"416"	"0"	"416"	"0"	""
"341"	"Total"	"955"	"181"	"219"	"19"	"12"	"12"	"17"	"20"	"18"	"45"	"1498"	"0"	"1498"	"0"	""
"342"	"Total No. of Electors in Assembly Constituency - 195687"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	"Form 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"Final Result"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"345"	"Election for 9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"346"	""	"No. of actual votes casted in favour of candidates"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"Polling Station No."	"Amar Yadav"	"Narayan Prasad"	"Baidhanath Prasad Mahto"	"Mahmad Harun"	"Tarkeshwar Prasad"	"Sunil Verma"	"Mohan Paswan"	"Raja Chaudhary"	"Ramchandr a Sahni"	"Vaidyanath Prasad"	"Total  No.  of actual Votes"	"Total  No.  of rejected Votes"	"Total"	"No.            of
Tendered Votes"	""
"348"	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	""
"349"	"Total"	"30194"	"14086"	"35497"	"4508"	"819"	"1146"	"1279"	"3370"	"1436"	"2262"	"94597"	"0"	"#VALUE!"	"0"	""
"350"	"Postal Ballot"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"351"	"Grand Tot."	"30194"	"14086"	"35497"	"4508"	"819"	"1146"	"1279"	"3370"	"1436"	"2262"	"94597"	"0"	"#VALUE!"	"0"	""
"352"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"9-Nautan Legislative Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"17"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
