"X.Statutory.Rules.and.Order.......................................................ROUND...FIRST"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"252"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"253"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"254"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"255"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"256"	"118"	"12"	"325"	"8"	"10"	"2"	"5"	"1"	"363"	""	"363"	""
"257"	"119"	"9"	"302"	"6"	"13"	"2"	"4"	"3"	"339"	""	"339"	""
"258"	"120"	"7"	"79"	"211"	"35"	"3"	"28"	"22"	"385"	""	"385"	""
"259"	"121"	"19"	"217"	"50"	"19"	"4"	"12"	"2"	"323"	""	"323"	""
"260"	"122"	"6"	"141"	"8"	"1"	"2"	"31"	"1"	"190"	""	"190"	""
"261"	"123"	"19"	"304"	"110"	"29"	"8"	"8"	"16"	"494"	""	"494"	""
"262"	"124"	"20"	"439"	"23"	"14"	"3"	"7"	"2"	"508"	""	"508"	""
"263"	"125"	"15"	"295"	"66"	"51"	"10"	"45"	"13"	"495"	""	"495"	""
"264"	"126"	"16"	"16"	"391"	"36"	"7"	"10"	"230"	"706"	""	"706"	""
"265"	"127"	"14"	"199"	"302"	"45"	"9"	"22"	"92"	"683"	""	"683"	""
"266"	"128"	"10"	"13"	"381"	"46"	"6"	"9"	"103"	"568"	""	"568"	""
"267"	"129"	"5"	"185"	"114"	"20"	"7"	"6"	"12"	"349"	""	"349"	""
"268"	"130"	"11"	"25"	"352"	"24"	"13"	"6"	"49"	"480"	""	"480"	""
"269"	"131"	"5"	"245"	"196"	"73"	"10"	"12"	"31"	"572"	""	"572"	""
"270"	"Current Round Total"	"168"	"2785"	"2218"	"416"	"86"	"205"	"577"	"6455"	"0"	"6455"	"0"
"271"	"Previous Round Total"	"1882"	"22700"	"14684"	"3146"	"1926"	"21817"	"5232"	"71387"	"0"	"71387"	"0"
"272"	"TOTAL"	"2050"	"25485"	"16902"	"3562"	"2012"	"22022"	"5809"	"77842"	"0"	"77842"	"0"
"273"	"(Statutory Rules and Order)                                                      ROUND : TWELVETH"	""	""	""	""	""	""	""	""	""	""	""
"274"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"275"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"276"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"277"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"278"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"279"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"280"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"281"	"132"	"13"	"77"	"298"	"21"	"5"	"12"	"21"	"447"	""	"447"	""
"282"	"133"	"5"	"124"	"184"	"19"	"9"	"8"	"45"	"394"	""	"394"	""
"283"	"134"	"13"	"20"	"362"	"50"	"14"	"8"	"34"	"501"	""	"501"	""
"284"	"135"	"6"	"302"	"172"	"23"	"2"	"5"	"21"	"531"	""	"531"	""
"285"	"136"	"9"	"373"	"72"	"23"	"3"	"4"	"6"	"490"	""	"490"	""
"286"	"137"	"6"	"287"	"237"	"40"	"12"	"9"	"10"	"601"	""	"601"	""
"287"	"138"	"18"	"227"	"208"	"32"	"4"	"4"	"3"	"496"	""	"496"	""
"288"	"139"	"7"	"59"	"264"	"35"	"3"	"4"	"2"	"374"	""	"374"	""
"289"	"140"	"24"	"104"	"316"	"39"	"7"	"11"	"11"	"512"	""	"512"	""
"290"	"141"	"13"	"26"	"277"	"30"	"4"	"11"	"12"	"373"	""	"373"	""
"291"	"142"	"12"	"8"	"311"	"31"	"5"	"5"	"8"	"380"	""	"380"	""
"292"	"143"	"7"	"365"	"141"	"16"	"7"	"11"	"6"	"553"	""	"553"	""
"293"	"144"	"12"	"81"	"301"	"38"	"1"	"22"	"13"	"468"	""	"468"	""
"294"	"145"	"1"	"4"	"99"	"28"	"2"	"5"	"4"	"143"	""	"143"	""
"295"	"Current Round Total"	"146"	"2057"	"3242"	"425"	"78"	"119"	"196"	"6263"	"0"	"6263"	"0"
"296"	"Previous Round Total"	"2050"	"25485"	"16902"	"3562"	"2012"	"22022"	"5809"	"77842"	"0"	"77842"	"0"
"297"	"TOTAL"	"2196"	"27542"	"20144"	"3987"	"2090"	"22141"	"6005"	"84105"	"0"	"84105"	"0"
"298"	"(Statutory Rules and Order)                                                      ROUND : THIRTEENTH"	""	""	""	""	""	""	""	""	""	""	""
"299"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"300"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"301"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"302"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"303"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"304"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"305"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"306"	"146"	"19"	"18"	"439"	"55"	"8"	"45"	"24"	"608"	""	"608"	""
"307"	"147"	"3"	"27"	"359"	"37"	"6"	"23"	"15"	"470"	""	"470"	""
"308"	"148"	"13"	"11"	"442"	"44"	"8"	"15"	"29"	"562"	""	"562"	""
"309"	"149"	"2"	"4"	"225"	"14"	"4"	"17"	"7"	"273"	""	"273"	""
"310"	"150"	"9"	"9"	"293"	"44"	"9"	"47"	"7"	"418"	""	"418"	""
"311"	"151"	"26"	"12"	"509"	"55"	"15"	"4"	"14"	"635"	""	"635"	""
"312"	"152"	"23"	"17"	"450"	"36"	"10"	"7"	"21"	"564"	""	"564"	""
"313"	"153"	"27"	"171"	"444"	"60"	"18"	"18"	"15"	"753"	""	"753"	""
"314"	"154"	"5"	"9"	"528"	"31"	"11"	"3"	"15"	"602"	""	"602"	""
"315"	"155"	"8"	"8"	"182"	"25"	"7"	"52"	"12"	"294"	""	"294"	""
"316"	"156"	"18"	"164"	"445"	"43"	"14"	"38"	"18"	"740"	""	"740"	""
"317"	"157"	"15"	"126"	"326"	"39"	"19"	"20"	"8"	"553"	""	"553"	""
"318"	"158"	"15"	"64"	"450"	"53"	"14"	"22"	"26"	"644"	""	"644"	""
"319"	"159"	"15"	"40"	"437"	"45"	"11"	"8"	"18"	"574"	""	"574"	""
"320"	"Current Round Total"	"198"	"680"	"5529"	"581"	"154"	"319"	"229"	"7690"	"0"	"7690"	"0"
"321"	"Previous Round Total"	"2196"	"27542"	"20144"	"3987"	"2090"	"22141"	"6005"	"84105"	"0"	"84105"	"0"
"322"	"TOTAL"	"2394"	"28222"	"25673"	"4568"	"2244"	"22460"	"6234"	"91795"	"0"	"91795"	"0"
"323"	"(Statutory Rules and Order)                                                      ROUND : FOURTEENTH"	""	""	""	""	""	""	""	""	""	""	""
"324"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"325"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"326"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"327"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"328"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"329"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"330"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"331"	"160"	"10"	"216"	"125"	"44"	"9"	"83"	"18"	"505"	""	"505"	""
"332"	"161"	"11"	"152"	"69"	"59"	"15"	"59"	"30"	"395"	""	"395"	""
"333"	"162"	"12"	"587"	"42"	"18"	"5"	"25"	"47"	"736"	""	"736"	""
"334"	"163"	"8"	"389"	"70"	"9"	"2"	"1"	"8"	"487"	""	"487"	""
"335"	"164"	"6"	"363"	"50"	"8"	"15"	"2"	"11"	"455"	""	"455"	""
"336"	"165"	"18"	"67"	"243"	"150"	"13"	"14"	"47"	"552"	""	"552"	""
"337"	"166"	"14"	"9"	"291"	"29"	"5"	"19"	"11"	"378"	""	"378"	""
"338"	"167"	"19"	"197"	"289"	"150"	"22"	"21"	"28"	"726"	""	"726"	""
"339"	"168"	"35"	"454"	"91"	"35"	"11"	"8"	"12"	"646"	""	"646"	""
"340"	"169"	"15"	"448"	"40"	"17"	"4"	"36"	"11"	"571"	""	"571"	""
"341"	"170"	"8"	"239"	"54"	"18"	"3"	"20"	"61"	"403"	""	"403"	""
"342"	"171"	"6"	"355"	"57"	"17"	"4"	"20"	"10"	"469"	""	"469"	""
"343"	"172"	"8"	"324"	"34"	"8"	"1"	"10"	"2"	"387"	""	"387"	""
"344"	"173"	"9"	"38"	"285"	"19"	"9"	"8"	"1"	"369"	""	"369"	""
"345"	"Current Round Total"	"179"	"3838"	"1740"	"581"	"118"	"326"	"297"	"7079"	"0"	"7079"	"0"
"346"	"Previous Round Total"	"2394"	"28222"	"25673"	"4568"	"2244"	"22460"	"6234"	"91795"	"0"	"91795"	"0"
"347"	"TOTAL"	"2573"	"32060"	"27413"	"5149"	"2362"	"22786"	"6531"	"98874"	"0"	"98874"	"0"
"348"	"(Statutory Rules and Order)                                                      ROUND : FIFTEENTH"	""	""	""	""	""	""	""	""	""	""	""
"349"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"350"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"351"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"352"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"353"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"354"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"355"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"356"	"174"	"3"	"158"	"115"	"14"	"2"	"8"	"5"	"305"	""	"305"	""
"357"	"175"	"0"	"332"	"44"	"20"	"1"	"18"	"9"	"424"	""	"424"	""
"358"	"176"	"14"	"63"	"334"	"34"	"7"	"19"	"17"	"488"	""	"488"	""
"359"	"177"	"19"	"53"	"469"	"26"	"9"	"5"	"22"	"603"	""	"603"	""
"360"	"178"	"11"	"400"	"90"	"19"	"3"	"17"	"10"	"550"	""	"550"	""
"361"	"179"	"5"	"207"	"58"	"7"	"0"	"14"	"12"	"303"	""	"303"	""
"362"	"180"	"5"	"174"	"48"	"28"	"2"	"26"	"7"	"290"	""	"290"	""
"363"	"181"	"4"	"296"	"33"	"13"	"2"	"7"	"12"	"367"	""	"367"	""
"364"	"182"	"7"	"61"	"128"	"9"	"5"	"4"	"70"	"284"	""	"284"	""
"365"	"183"	"9"	"279"	"179"	"14"	"4"	"21"	"9"	"515"	""	"515"	""
"366"	"184"	"4"	"92"	"129"	"14"	"4"	"17"	"185"	"445"	""	"445"	""
"367"	"185"	"1"	"5"	"251"	"20"	"4"	"9"	"24"	"314"	""	"314"	""
"368"	"186"	"12"	"29"	"362"	"34"	"7"	"15"	"61"	"520"	""	"520"	""
"369"	"187"	"2"	"18"	"223"	"25"	"0"	"5"	"34"	"307"	""	"307"	""
"370"	"Current Round Total"	"96"	"2167"	"2463"	"277"	"50"	"185"	"477"	"5715"	"0"	"5715"	"0"
"371"	"Previous Round Total"	"2573"	"32060"	"27413"	"5149"	"2362"	"22786"	"6531"	"98874"	"0"	"98874"	"0"
"372"	"TOTAL"	"2669"	"34227"	"29876"	"5426"	"2412"	"22971"	"7008"	"104589"	"0"	"104589"	"0"
"373"	"(Statutory Rules and Order)                                                      ROUND : SIXTEENTH"	""	""	""	""	""	""	""	""	""	""	""
"374"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"375"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"376"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"377"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"378"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"379"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"380"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"381"	"188"	"11"	"19"	"219"	"7"	"1"	"7"	"12"	"276"	""	"276"	""
"382"	"189"	"0"	"128"	"20"	"1"	"0"	"2"	"37"	"188"	""	"188"	""
"383"	"190"	"1"	"397"	"76"	"11"	"6"	"27"	"36"	"554"	""	"554"	""
"384"	"191"	"3"	"181"	"58"	"21"	"3"	"33"	"10"	"309"	""	"309"	""
"385"	"192"	"1"	"222"	"33"	"7"	"1"	"9"	"2"	"275"	""	"275"	""
"386"	"193"	"5"	"211"	"126"	"17"	"5"	"12"	"14"	"390"	""	"390"	""
"387"	"194"	"1"	"169"	"91"	"10"	"4"	"14"	"6"	"295"	""	"295"	""
"388"	"195"	"1"	"14"	"165"	"2"	"1"	"8"	"9"	"200"	""	"200"	""
"389"	"196"	"14"	"178"	"285"	"17"	"5"	"18"	"23"	"540"	""	"540"	""
"390"	"197"	"6"	"38"	"277"	"6"	"4"	"4"	"46"	"381"	""	"381"	""
"391"	"198"	"2"	"1"	"238"	"7"	"1"	"3"	"18"	"270"	""	"270"	""
"392"	"199"	"3"	"8"	"408"	"12"	"2"	"4"	"34"	"471"	""	"471"	""
"393"	"200"	"2"	"31"	"254"	"14"	"4"	"4"	"12"	"321"	""	"321"	""
"394"	"201"	"7"	"239"	"225"	"12"	"10"	"22"	"18"	"533"	""	"533"	""
"395"	"Current Round Total"	"57"	"1836"	"2475"	"144"	"47"	"167"	"277"	"5003"	"0"	"5003"	"0"
"396"	"Previous Round Total"	"2669"	"34227"	"29876"	"5426"	"2412"	"22971"	"7008"	"104589"	"0"	"104589"	"0"
"397"	"TOTAL"	"2726"	"36063"	"32351"	"5570"	"2459"	"23138"	"7285"	"109592"	"0"	"109592"	"0"
"398"	"(Statutory Rules and Order)                                                      ROUND : SEVENTEENTH"	""	""	""	""	""	""	""	""	""	""	""
"399"	"FORM 20"	""	""	""	""	""	""	""	""	""	""	""
"400"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""
"401"	"(To be used recording the result of voting at polling stations in constituencies specifies under Rule 59 A)"	""	""	""	""	""	""	""	""	""	""	""
"402"	"Election to the Bihar Legislative Assembly 2005 from the 130-ARARIA Constituency"	""	""	""	""	""	""	""	""	""	""	""
"403"	"Booth No."	"No. of valid votes cast in favour of"	""	""	""	""	""	""	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of tendered"
"404"	""	"ASHOK KUMAR PASWAN"	"PRADEEP KUMAR SINGH"	"MOIDUR RAHMAN"	"SUDHIR RANJAN JHA"	"JAYANTA KUMAR GUPTA"	"VIJAY KUMAR"	"MD. HAIDAR YASIN"	""	""	""	""
"405"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"406"	"202"	"22"	"26"	"587"	"46"	"5"	"8"	"45"	"739"	""	"739"	""
"407"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"408"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"409"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"410"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"411"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"412"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"413"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"414"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"415"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"416"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"417"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"418"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"419"	""	""	""	""	""	""	""	""	"0"	""	"0"	""
"420"	"Current Round Total"	"22"	"26"	"587"	"46"	"5"	"8"	"45"	"739"	"0"	"739"	"0"
"421"	"Previous Round Total"	"2726"	"36063"	"32351"	"5570"	"2459"	"23138"	"7285"	"109592"	"0"	"109592"	"0"
"422"	"TOTAL"	"2748"	"36089"	"32938"	"5616"	"2464"	"23146"	"7330"	"110331"	"0"	"110331"	"0"
