"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"160"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"161"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"162"	"124A"	"14"	"129"	"6"	"4"	"111"	"4"	"5"	"6"	"5"	"5"	"11"	"6"	"4"	"310"	"0"	"310"	""
"163"	"125"	"7"	"340"	"12"	"1"	"31"	"2"	"23"	"3"	"0"	"0"	"3"	"0"	"3"	"425"	"0"	"425"	""
"164"	"125A"	"12"	"138"	"11"	"10"	"193"	"4"	"2"	"0"	"2"	"3"	"18"	"2"	"3"	"398"	"0"	"398"	""
"165"	"126"	"7"	"86"	"9"	"8"	"177"	"6"	"3"	"2"	"4"	"0"	"7"	"2"	"9"	"320"	"0"	"320"	""
"166"	"126A"	"1"	"11"	"0"	"1"	"105"	"0"	"1"	"3"	"0"	"0"	"2"	"0"	"1"	"125"	"0"	"125"	""
"167"	"127"	"20"	"246"	"10"	"7"	"334"	"5"	"2"	"7"	"5"	"7"	"37"	"5"	"30"	"715"	"0"	"715"	""
"168"	"128"	"17"	"80"	"10"	"9"	"256"	"13"	"5"	"3"	"9"	"7"	"49"	"3"	"7"	"468"	"0"	"468"	""
"169"	"129"	"7"	"26"	"2"	"2"	"341"	"17"	"5"	"5"	"9"	"8"	"35"	"5"	"12"	"474"	"0"	"474"	""
"170"	"130"	"12"	"43"	"6"	"21"	"399"	"7"	"8"	"4"	"25"	"5"	"46"	"6"	"16"	"598"	"0"	"598"	""
"171"	"131"	"115"	"107"	"12"	"7"	"246"	"20"	"15"	"6"	"10"	"15"	"24"	"8"	"13"	"598"	"0"	"598"	""
"172"	"132"	"69"	"28"	"9"	"11"	"284"	"6"	"3"	"26"	"2"	"8"	"28"	"4"	"78"	"556"	"0"	"556"	""
"173"	"133"	"92"	"55"	"4"	"5"	"254"	"6"	"8"	"4"	"9"	"7"	"26"	"7"	"16"	"493"	"0"	"493"	""
"174"	"134"	"40"	"23"	"6"	"2"	"344"	"7"	"3"	"4"	"8"	"6"	"32"	"2"	"13"	"490"	"0"	"490"	""
"175"	"135"	"8"	"1"	"3"	"7"	"275"	"8"	"0"	"3"	"3"	"7"	"26"	"5"	"6"	"352"	"0"	"352"	""
"176"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"177"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"178"	"136"	"4"	"211"	"14"	"1"	"7"	"5"	"6"	"0"	"1"	"1"	"3"	"6"	"4"	"263"	"0"	"263"	""
"179"	"137"	"60"	"72"	"3"	"6"	"221"	"5"	"2"	"3"	"1"	"4"	"11"	"3"	"3"	"394"	"0"	"394"	""
"180"	"138"	"13"	"521"	"22"	"2"	"55"	"6"	"73"	"7"	"9"	"2"	"8"	"5"	"5"	"728"	"0"	"728"	""
"181"	"139"	"19"	"143"	"7"	"2"	"162"	"8"	"12"	"1"	"6"	"10"	"22"	"10"	"18"	"420"	"0"	"420"	""
"182"	"139A"	"85"	"38"	"7"	"5"	"170"	"4"	"4"	"2"	"4"	"3"	"27"	"2"	"6"	"357"	"0"	"357"	""
"183"	"140"	"63"	"151"	"8"	"4"	"77"	"6"	"90"	"4"	"3"	"5"	"15"	"3"	"6"	"435"	"0"	"435"	""
"184"	"141"	"66"	"78"	"12"	"4"	"365"	"14"	"8"	"7"	"9"	"6"	"43"	"11"	"20"	"643"	"0"	"643"	""
"185"	"142"	"47"	"80"	"6"	"5"	"143"	"13"	"6"	"9"	"11"	"6"	"38"	"16"	"38"	"418"	"0"	"418"	""
"186"	"143"	"44"	"149"	"12"	"14"	"177"	"8"	"1"	"6"	"3"	"7"	"15"	"6"	"0"	"442"	"0"	"442"	""
"187"	"144"	"125"	"83"	"8"	"9"	"181"	"4"	"33"	"13"	"6"	"5"	"55"	"11"	"8"	"541"	"0"	"541"	""
"188"	"145"	"62"	"30"	"1"	"9"	"269"	"5"	"3"	"4"	"5"	"1"	"23"	"3"	"16"	"431"	"0"	"431"	""
"189"	"146"	"68"	"111"	"15"	"8"	"254"	"15"	"10"	"5"	"9"	"1"	"30"	"5"	"7"	"538"	"0"	"538"	""
"190"	"147"	"142"	"45"	"6"	"9"	"255"	"7"	"25"	"8"	"21"	"10"	"57"	"7"	"10"	"602"	"0"	"602"	""
"191"	"148"	"88"	"47"	"9"	"11"	"292"	"8"	"14"	"2"	"2"	"4"	"37"	"2"	"4"	"520"	"0"	"520"	""
"192"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"193"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"194"	"149"	"58"	"57"	"4"	"5"	"239"	"8"	"10"	"10"	"13"	"4"	"50"	"8"	"10"	"476"	"0"	"476"	""
"195"	"150"	"53"	"6"	"6"	"7"	"397"	"11"	"6"	"6"	"3"	"5"	"24"	"1"	"4"	"529"	"0"	"529"	""
"196"	"151"	"49"	"6"	"2"	"4"	"244"	"2"	"1"	"4"	"9"	"2"	"39"	"4"	"7"	"373"	"0"	"373"	""
"197"	"152"	"69"	"10"	"5"	"4"	"276"	"4"	"7"	"4"	"7"	"1"	"40"	"5"	"8"	"440"	"0"	"440"	""
"198"	"152A"	"94"	"14"	"4"	"4"	"206"	"9"	"6"	"8"	"8"	"4"	"29"	"8"	"6"	"400"	"0"	"400"	""
"199"	"153"	"86"	"68"	"6"	"4"	"314"	"9"	"27"	"8"	"10"	"8"	"41"	"11"	"6"	"598"	"0"	"598"	""
"200"	"154"	"131"	"111"	"15"	"8"	"299"	"10"	"9"	"5"	"1"	"4"	"32"	"5"	"11"	"641"	"0"	"641"	""
"201"	"155"	"15"	"211"	"10"	"5"	"105"	"3"	"18"	"2"	"4"	"0"	"11"	"2"	"7"	"393"	"0"	"393"	""
"202"	"156"	"19"	"299"	"18"	"8"	"285"	"19"	"23"	"8"	"6"	"7"	"36"	"6"	"26"	"760"	"0"	"760"	""
"203"	"157"	"67"	"67"	"11"	"12"	"451"	"13"	"5"	"4"	"3"	"3"	"35"	"4"	"9"	"684"	"0"	"684"	""
"204"	"158"	"29"	"110"	"9"	"6"	"248"	"6"	"17"	"8"	"16"	"9"	"22"	"12"	"9"	"501"	"0"	"501"	""
"205"	"159"	"32"	"27"	"5"	"4"	"291"	"3"	"2"	"11"	"6"	"8"	"21"	"5"	"45"	"460"	"0"	"460"	""
"206"	"160"	"22"	"100"	"9"	"7"	"437"	"11"	"13"	"8"	"25"	"12"	"64"	"13"	"77"	"798"	"0"	"798"	""
"207"	"161"	"3"	"24"	"1"	"4"	"177"	"7"	"2"	"5"	"6"	"6"	"16"	"8"	"26"	"285"	"0"	"285"	""
"208"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"209"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"210"	"161A"	"19"	"92"	"0"	"4"	"191"	"7"	"6"	"22"	"3"	"2"	"20"	"7"	"105"	"478"	"0"	"478"	""
"211"	"162"	"24"	"1"	"1"	"0"	"31"	"0"	"1"	"8"	"1"	"0"	"18"	"9"	"244"	"338"	"0"	"338"	""
"212"	"163"	"31"	"54"	"6"	"2"	"139"	"6"	"2"	"59"	"0"	"2"	"26"	"10"	"320"	"657"	"0"	"657"	""
"213"	"164"	"20"	"385"	"22"	"6"	"102"	"9"	"5"	"13"	"5"	"4"	"30"	"7"	"93"	"701"	"0"	"701"	""
"214"	"165"	"11"	"157"	"14"	"9"	"123"	"4"	"9"	"3"	"7"	"6"	"32"	"7"	"14"	"396"	"0"	"396"	""
"215"	"166"	"10"	"49"	"2"	"6"	"232"	"10"	"5"	"8"	"2"	"9"	"27"	"3"	"16"	"379"	"0"	"379"	""
"216"	"167"	"5"	"112"	"2"	"2"	"152"	"6"	"5"	"6"	"8"	"3"	"21"	"7"	"27"	"356"	"0"	"356"	""
"217"	"168"	"10"	"20"	"5"	"3"	"236"	"6"	"7"	"18"	"11"	"7"	"42"	"18"	"78"	"461"	"0"	"461"	""
"218"	"169"	"17"	"87"	"7"	"9"	"346"	"20"	"16"	"16"	"17"	"8"	"52"	"10"	"54"	"659"	"0"	"659"	""
"219"	"170"	"16"	"73"	"10"	"8"	"410"	"11"	"14"	"10"	"6"	"2"	"34"	"4"	"20"	"618"	"0"	"618"	""
"220"	"171"	"21"	"87"	"4"	"1"	"235"	"9"	"6"	"7"	"3"	"3"	"22"	"4"	"16"	"418"	"0"	"418"	""
"221"	"172"	"32"	"185"	"18"	"2"	"102"	"2"	"5"	"6"	"4"	"6"	"17"	"12"	"17"	"408"	"0"	"408"	""
"222"	"172A"	"73"	"93"	"12"	"8"	"228"	"8"	"5"	"10"	"8"	"4"	"27"	"3"	"20"	"499"	"0"	"499"	""
"223"	"173"	"25"	"268"	"30"	"4"	"166"	"10"	"26"	"13"	"3"	"7"	"29"	"11"	"27"	"619"	"0"	"619"	""
"224"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"225"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"226"	"174"	"47"	"70"	"7"	"11"	"207"	"11"	"15"	"35"	"12"	"9"	"53"	"13"	"124"	"614"	"0"	"614"	""
"227"	"175"	"16"	"500"	"10"	"4"	"32"	"4"	"3"	"1"	"1"	"5"	"2"	"1"	"2"	"581"	"0"	"581"	""
"228"	"176"	"30"	"262"	"36"	"9"	"132"	"7"	"4"	"14"	"6"	"9"	"38"	"3"	"28"	"578"	"0"	"578"	""
"229"	"177"	"23"	"147"	"6"	"4"	"108"	"5"	"5"	"12"	"2"	"2"	"5"	"3"	"27"	"349"	"0"	"349"	""
"230"	"178"	"15"	"39"	"8"	"5"	"170"	"2"	"4"	"8"	"1"	"3"	"12"	"2"	"134"	"403"	"0"	"403"	""
"231"	"178A"	"13"	"182"	"9"	"2"	"120"	"2"	"4"	"4"	"8"	"5"	"14"	"4"	"33"	"400"	"0"	"400"	""
"232"	"179"	"13"	"121"	"17"	"9"	"271"	"12"	"6"	"39"	"9"	"7"	"46"	"15"	"106"	"671"	"0"	"671"	""
"233"	"180"	"18"	"58"	"5"	"7"	"198"	"14"	"5"	"7"	"7"	"13"	"38"	"3"	"31"	"404"	"0"	"404"	""
"234"	"181"	"26"	"33"	"8"	"9"	"534"	"23"	"5"	"21"	"14"	"8"	"45"	"9"	"66"	"801"	"0"	"801"	""
"235"	"182"	"19"	"76"	"7"	"7"	"227"	"10"	"9"	"12"	"9"	"8"	"40"	"8"	"10"	"442"	"0"	"442"	""
"236"	"182A"	"46"	"13"	"4"	"3"	"170"	"6"	"4"	"1"	"3"	"3"	"26"	"6"	"8"	"293"	"0"	"293"	""
"237"	"183"	"106"	"7"	"2"	"8"	"266"	"8"	"2"	"7"	"3"	"4"	"33"	"4"	"6"	"456"	"0"	"456"	""
"238"	"184"	"148"	"9"	"8"	"6"	"295"	"11"	"4"	"8"	"13"	"8"	"56"	"13"	"15"	"594"	"0"	"594"	""
"239"	"185"	"113"	"4"	"5"	"6"	"242"	"8"	"2"	"3"	"5"	"5"	"25"	"4"	"9"	"431"	"0"	"431"	""
"240"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"241"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"242"	"186"	"103"	"141"	"12"	"6"	"390"	"9"	"8"	"5"	"12"	"2"	"41"	"7"	"3"	"739"	"0"	"739"	""
"243"	"187"	"191"	"16"	"6"	"4"	"341"	"18"	"8"	"2"	"21"	"5"	"55"	"7"	"21"	"695"	"0"	"695"	""
"244"	"188"	"39"	"13"	"1"	"5"	"333"	"6"	"0"	"1"	"3"	"1"	"14"	"5"	"2"	"423"	"0"	"423"	""
"245"	"189"	"84"	"25"	"5"	"7"	"411"	"9"	"13"	"3"	"10"	"5"	"45"	"10"	"5"	"632"	"0"	"632"	""
"246"	"190"	"54"	"4"	"8"	"9"	"514"	"18"	"6"	"10"	"18"	"14"	"46"	"12"	"28"	"741"	"0"	"741"	""
"247"	"191"	"149"	"8"	"6"	"3"	"199"	"3"	"4"	"5"	"7"	"4"	"30"	"5"	"12"	"435"	"0"	"435"	""
"248"	"191A"	"64"	"9"	"3"	"4"	"217"	"8"	"3"	"4"	"3"	"2"	"18"	"2"	"10"	"347"	"0"	"347"	""
"249"	"192"	"87"	"364"	"23"	"6"	"116"	"6"	"6"	"4"	"2"	"4"	"21"	"7"	"8"	"654"	"0"	"654"	""
"250"	"193"	"10"	"265"	"11"	"0"	"3"	"0"	"5"	"1"	"1"	"1"	"0"	"5"	"2"	"304"	"0"	"304"	""
"251"	"194"	"212"	"22"	"5"	"3"	"186"	"7"	"5"	"7"	"8"	"11"	"46"	"10"	"46"	"568"	"0"	"568"	""
"252"	"195"	"135"	"12"	"8"	"13"	"401"	"8"	"5"	"3"	"10"	"3"	"64"	"5"	"9"	"676"	"0"	"676"	""
"253"	"196"	"53"	"153"	"13"	"12"	"291"	"6"	"12"	"5"	"6"	"3"	"37"	"0"	"2"	"593"	"0"	"593"	""
"254"	"197"	"72"	"122"	"6"	"7"	"347"	"5"	"5"	"11"	"5"	"1"	"50"	"7"	"14"	"652"	"0"	"652"	""
"255"	"198"	"188"	"24"	"16"	"21"	"299"	"9"	"14"	"15"	"10"	"5"	"56"	"7"	"15"	"679"	"0"	"679"	""
"256"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"257"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"258"	"199"	"201"	"13"	"8"	"1"	"184"	"9"	"2"	"16"	"3"	"3"	"43"	"0"	"27"	"510"	"0"	"510"	""
"259"	"200"	"49"	"123"	"7"	"3"	"302"	"12"	"7"	"6"	"8"	"6"	"47"	"11"	"15"	"596"	"0"	"596"	""
"260"	"201"	"28"	"70"	"3"	"2"	"226"	"9"	"4"	"3"	"6"	"6"	"13"	"3"	"5"	"378"	"0"	"378"	""
"261"	"201A"	"196"	"5"	"1"	"8"	"210"	"5"	"3"	"5"	"2"	"1"	"20"	"2"	"2"	"460"	"0"	"460"	""
"262"	"202"	"61"	"78"	"4"	"11"	"369"	"36"	"5"	"10"	"13"	"6"	"40"	"9"	"11"	"653"	"0"	"653"	""
"263"	"203"	"99"	"7"	"10"	"11"	"429"	"11"	"11"	"19"	"34"	"15"	"79"	"17"	"28"	"770"	"0"	"770"	""
"264"	"204"	"115"	"31"	"2"	"3"	"175"	"4"	"2"	"6"	"7"	"9"	"30"	"9"	"25"	"418"	"0"	"418"	""
"265"	"204A"	"131"	"103"	"2"	"2"	"96"	"6"	"1"	"3"	"2"	"4"	"24"	"5"	"7"	"386"	"0"	"386"	""
"266"	"205"	"245"	"54"	"1"	"2"	"273"	"6"	"4"	"7"	"3"	"5"	"33"	"5"	"10"	"648"	"0"	"648"	""
"267"	"206"	"158"	"9"	"9"	"10"	"444"	"11"	"5"	"9"	"11"	"13"	"106"	"11"	"13"	"809"	"0"	"809"	""
"268"	"207"	"65"	"275"	"6"	"4"	"180"	"8"	"13"	"3"	"8"	"2"	"24"	"7"	"5"	"600"	"0"	"600"	""
"269"	"208"	"71"	"54"	"6"	"13"	"538"	"12"	"10"	"13"	"22"	"11"	"102"	"19"	"25"	"896"	"0"	"896"	""
"270"	"209"	"104"	"219"	"17"	"8"	"256"	"39"	"9"	"9"	"13"	"7"	"51"	"11"	"32"	"775"	"0"	"775"	""
"271"	"210"	"155"	"26"	"4"	"8"	"348"	"5"	"6"	"7"	"13"	"2"	"50"	"10"	"13"	"647"	"0"	"647"	""
"272"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"273"	""	"[oktk 'kkghn"	"nqyky pUnz xksLokeh"	"eks0 ukseku jgekuh"	"ekfud pUnz jk;"	"eqUukQ vkye"	"eks0 bejku vyh"	"izse dqekj jk;"	"fnus'k jk;"	"'ks0 ekgeqn~nhu"	"je.kh ;kno"	"eks0 jkdhc [kku"	"galjkt ;kno"	"gchcqj jgeku"	""	""	""	""
"274"	"211"	"31"	"3"	"1"	"0"	"325"	"8"	"5"	"3"	"5"	"1"	"25"	"6"	"5"	"418"	"0"	"418"	""
"275"	"ernku dsUnzksa ij vfHkfyf[kr erksa dh dqy la[;k"	"13408"	"38035"	"2875"	"1371"	"39872"	"1900"	"2907"	"1732"	"1491"	"1537"	"6010"	"1693"	"6786"	"119617"	"0"	"119617"	""
"276"	"Mkd eri=ksa ij vfHkfyf[kr erksa dh la[;k
¼lHkk fuokZpu& {ks= ls fuokZpu dh n'kk esa Hkjk tk, ½"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"277"	"Mkys x, dqy er"	"13408"	"38035"	"2875"	"1371"	"39872"	"1900"	"2907"	"1732"	"1491"	"1537"	"6010"	"1693"	"6786"	"119617"	"0"	"119617"	""
