"Total.No..of.electors.in.Assembly.constituency..."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"
"170"	"154"	"116"	"16"	"160"	"150"	"15"	"3"	"3"	"5"	"3"	"3"	"5"	"7"	"7"	"13"	"390"	"-"	"390"	""
"171"	"155"	"117"	"14"	"115"	"191"	"46"	"5"	"6"	"8"	"3"	"13"	"12"	"11"	"8"	"35"	"467"	"-"	"467"	""
"172"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"173"	""	""	"Upendra Paswan"	"Prabhakar Chaudhary"	"Lalit Kumar Yadav"	"Shamshad Khan"	"Shivaji Nirala"	"Sree Mohan Chaudhary"	"Anil Kumar Chaudhary"	"Khushi Lal Choupal"	"Jitendra Mandal"	"Dewnarayan Singh"	"Nirmala Devi"	"Mohan Saday"	"Ravindra Mandal"	""	""	""	""
"174"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"175"	"156"	"118"	"18"	"203"	"182"	"22"	"4"	"2"	"5"	"0"	"0"	"0"	"3"	"8"	"12"	"459"	"-"	"459"	""
"176"	"157"	"119"	"54"	"186"	"132"	"54"	"5"	"5"	"6"	"3"	"13"	"5"	"3"	"12"	"26"	"504"	"-"	"504"	""
"177"	"158"	"120"	"39"	"102"	"170"	"109"	"4"	"0"	"4"	"2"	"9"	"5"	"5"	"8"	"27"	"484"	"-"	"484"	""
"178"	"159"	"121"	"18"	"51"	"196"	"58"	"4"	"2"	"3"	"1"	"11"	"3"	"5"	"8"	"22"	"382"	"-"	"382"	""
"179"	"160"	"122"	"20"	"21"	"221"	"76"	"8"	"3"	"2"	"0"	"7"	"3"	"1"	"1"	"6"	"369"	"-"	"369"	""
"180"	"161"	"123"	"26"	"37"	"230"	"105"	"12"	"5"	"5"	"3"	"17"	"5"	"3"	"1"	"13"	"462"	"-"	"462"	""
"181"	"162"	"124"	"13"	"92"	"241"	"31"	"10"	"5"	"11"	"5"	"8"	"11"	"6"	"10"	"23"	"466"	"-"	"466"	""
"182"	"163"	"125"	"19"	"11"	"97"	"127"	"4"	"2"	"3"	"1"	"18"	"2"	"7"	"3"	"3"	"297"	"-"	"297"	""
"183"	"164"	"126"	"13"	"199"	"41"	"52"	"4"	"0"	"2"	"4"	"3"	"6"	"6"	"5"	"15"	"350"	"-"	"350"	""
"184"	"165"	"127"	"24"	"175"	"307"	"23"	"9"	"2"	"8"	"1"	"2"	"2"	"5"	"8"	"12"	"578"	"-"	"578"	""
"185"	"166"	"128"	"5"	"261"	"21"	"4"	"1"	"7"	"1"	"2"	"0"	"1"	"2"	"4"	"6"	"315"	"-"	"315"	""
"186"	"167"	"129"	"3"	"172"	"34"	"5"	"0"	"2"	"0"	"0"	"0"	"2"	"3"	"4"	"5"	"230"	"-"	"230"	""
"187"	"168"	"130"	"32"	"78"	"410"	"43"	"7"	"7"	"5"	"4"	"2"	"3"	"5"	"2"	"8"	"606"	"-"	"606"	""
"188"	"169"	"131"	"20"	"149"	"93"	"8"	"6"	"1"	"2"	"1"	"3"	"4"	"3"	"9"	"22"	"321"	"-"	"321"	""
"189"	"170"	"131A"	"16"	"164"	"81"	"6"	"3"	"3"	"4"	"0"	"3"	"1"	"2"	"1"	"2"	"286"	"-"	"286"	""
"190"	"171"	"132"	"16"	"418"	"142"	"6"	"0"	"1"	"0"	"1"	"1"	"2"	"4"	"7"	"21"	"619"	"-"	"619"	""
"191"	"172"	"133"	"12"	"193"	"51"	"7"	"2"	"1"	"2"	"1"	"1"	"0"	"2"	"10"	"12"	"294"	"-"	"294"	""
"192"	"173"	"133A"	"8"	"186"	"32"	"0"	"2"	"1"	"2"	"3"	"0"	"1"	"1"	"5"	"5"	"246"	"-"	"246"	""
"193"	"174"	"134"	"16"	"190"	"84"	"12"	"5"	"2"	"5"	"5"	"2"	"4"	"7"	"10"	"42"	"384"	"-"	"384"	""
"194"	"175"	"135"	"11"	"177"	"142"	"13"	"2"	"3"	"5"	"1"	"1"	"0"	"5"	"0"	"3"	"363"	"-"	"363"	""
"195"	"176"	"136"	"16"	"322"	"30"	"2"	"1"	"1"	"3"	"2"	"3"	"3"	"1"	"6"	"8"	"398"	"-"	"398"	""
"196"	"177"	"137"	"3"	"248"	"122"	"18"	"2"	"4"	"3"	"1"	"6"	"4"	"4"	"8"	"10"	"433"	"-"	"433"	""
"197"	"178"	"137A"	"10"	"155"	"31"	"2"	"3"	"1"	"1"	"0"	"0"	"2"	"0"	"2"	"6"	"213"	"-"	"213"	""
"198"	"179"	"138"	"4"	"267"	"77"	"5"	"3"	"0"	"2"	"0"	"1"	"1"	"3"	"2"	"8"	"373"	"-"	"373"	""
"199"	"180"	"138A"	"8"	"167"	"112"	"4"	"2"	"0"	"1"	"0"	"0"	"1"	"2"	"2"	"7"	"306"	"-"	"306"	""
"200"	"181"	"139"	"29"	"181"	"257"	"17"	"8"	"9"	"4"	"3"	"2"	"2"	"1"	"4"	"6"	"523"	"-"	"523"	""
"201"	"182"	"139A"	"17"	"51"	"202"	"25"	"3"	"6"	"5"	"3"	"1"	"0"	"1"	"1"	"5"	"320"	"-"	"320"	""
"202"	"183"	"140"	"35"	"275"	"122"	"14"	"1"	"1"	"4"	"6"	"6"	"7"	"14"	"15"	"45"	"545"	"-"	"545"	""
"203"	"184"	"141"	"12"	"194"	"125"	"5"	"1"	"2"	"1"	"1"	"0"	"0"	"2"	"4"	"1"	"348"	"-"	"348"	""
"204"	"185"	"142"	"19"	"206"	"173"	"4"	"0"	"2"	"2"	"1"	"4"	"1"	"1"	"7"	"12"	"432"	"-"	"432"	""
"205"	"186"	"143"	"18"	"328"	"116"	"16"	"2"	"3"	"8"	"4"	"1"	"4"	"1"	"5"	"12"	"518"	"-"	"518"	""
"206"	"187"	"144"	"27"	"281"	"289"	"15"	"8"	"4"	"4"	"2"	"2"	"3"	"4"	"8"	"13"	"660"	"-"	"660"	""
"207"	"188"	"145"	"17"	"130"	"149"	"14"	"4"	"2"	"6"	"2"	"3"	"6"	"7"	"3"	"6"	"349"	"-"	"349"	""
"208"	"189"	"145A"	"12"	"49"	"83"	"22"	"2"	"0"	"2"	"3"	"8"	"2"	"5"	"4"	"18"	"210"	"-"	"210"	""
"209"	"190"	"146"	"7"	"63"	"74"	"16"	"0"	"2"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"166"	"-"	"166"	""
"210"	"191"	"147"	"11"	"67"	"304"	"16"	"2"	"7"	"8"	"5"	"7"	"4"	"8"	"6"	"19"	"464"	"-"	"464"	""
"211"	"192"	"148"	"11"	"55"	"281"	"18"	"3"	"8"	"5"	"4"	"5"	"2"	"3"	"3"	"8"	"406"	"-"	"406"	""
"212"	"193"	"149"	"9"	"288"	"26"	"2"	"0"	"4"	"1"	"0"	"2"	"0"	"1"	"5"	"5"	"343"	"-"	"343"	""
"213"	"194"	"150"	"21"	"102"	"126"	"74"	"11"	"3"	"5"	"5"	"12"	"5"	"5"	"4"	"5"	"378"	"-"	"378"	""
"214"	"195"	"151"	"7"	"350"	"162"	"16"	"1"	"10"	"3"	"1"	"1"	"2"	"5"	"5"	"7"	"570"	"-"	"570"	""
"215"	"Sl. No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"216"	""	""	"Upendra Paswan"	"Prabhakar Chaudhary"	"Lalit Kumar Yadav"	"Shamshad Khan"	"Shivaji Nirala"	"Sree Mohan Chaudhary"	"Anil Kumar Chaudhary"	"Khushi Lal Choupal"	"Jitendra Mandal"	"Dewnarayan Singh"	"Nirmala Devi"	"Mohan Saday"	"Ravindra Mandal"	""	""	""	""
"217"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"
"218"	"196"	"152"	"4"	"50"	"166"	"125"	"10"	"3"	"3"	"5"	"10"	"3"	"3"	"2"	"14"	"398"	"-"	"398"	""
"219"	"197"	"153"	"7"	"47"	"297"	"51"	"3"	"1"	"3"	"4"	"7"	"1"	"1"	"1"	"11"	"434"	"-"	"434"	""
"220"	"198"	"154"	"20"	"273"	"253"	"13"	"5"	"4"	"6"	"7"	"5"	"2"	"7"	"11"	"15"	"621"	"-"	"621"	""
"221"	"199"	"155"	"22"	"152"	"313"	"19"	"5"	"10"	"4"	"2"	"3"	"2"	"8"	"8"	"20"	"568"	"-"	"568"	""
"222"	"200"	"156"	"19"	"20"	"622"	"35"	"6"	"2"	"5"	"4"	"1"	"0"	"2"	"1"	"8"	"725"	"-"	"725"	""
"223"	"201"	"157"	"12"	"165"	"180"	"56"	"10"	"7"	"10"	"4"	"16"	"9"	"7"	"9"	"33"	"518"	"-"	"518"	""
"224"	"202"	"158"	"4"	"200"	"94"	"13"	"1"	"1"	"1"	"0"	"2"	"1"	"2"	"4"	"7"	"330"	"-"	"330"	""
"225"	"203"	"158A"	"5"	"140"	"134"	"7"	"1"	"0"	"3"	"0"	"0"	"0"	"1"	"2"	"1"	"294"	"-"	"294"	""
"226"	"204"	"159"	"10"	"281"	"97"	"12"	"1"	"2"	"5"	"2"	"2"	"4"	"6"	"5"	"9"	"436"	"-"	"436"	""
"227"	"205"	"160"	"11"	"224"	"80"	"9"	"0"	"2"	"2"	"1"	"1"	"2"	"0"	"3"	"8"	"343"	"-"	"343"	""
"228"	"206"	"161"	"17"	"210"	"295"	"53"	"6"	"1"	"4"	"3"	"8"	"0"	"2"	"2"	"9"	"610"	"-"	"610"	""
"229"	"207"	"162"	"36"	"172"	"148"	"16"	"7"	"35"	"9"	"4"	"5"	"3"	"3"	"3"	"10"	"451"	"-"	"451"	""
"230"	"208"	"162A"	"2"	"74"	"38"	"4"	"2"	"23"	"2"	"1"	"0"	"1"	"2"	"1"	"3"	"153"	"-"	"153"	""
"231"	"209"	"163"	"16"	"212"	"129"	"26"	"10"	"98"	"10"	"2"	"3"	"13"	"9"	"17"	"26"	"571"	"-"	"571"	""
"232"	"210"	"164"	"6"	"274"	"98"	"12"	"3"	"15"	"2"	"8"	"1"	"6"	"9"	"12"	"11"	"457"	"-"	"457"	""
"233"	"211"	"165"	"11"	"28"	"306"	"24"	"1"	"4"	"2"	"2"	"2"	"2"	"1"	"3"	"2"	"388"	"-"	"388"	""
"234"	"212"	"166"	"4"	"51"	"194"	"40"	"4"	"3"	"5"	"1"	"1"	"3"	"1"	"1"	"7"	"315"	"-"	"315"	""
"235"	"213"	"167"	"14"	"57"	"124"	"96"	"3"	"8"	"3"	"2"	"19"	"5"	"3"	"2"	"4"	"340"	"-"	"340"	""
"236"	"214"	"167A"	"7"	"10"	"156"	"57"	"2"	"1"	"2"	"0"	"4"	"0"	"0"	"1"	"1"	"241"	"-"	"241"	""
"237"	"215"	"168"	"24"	"283"	"115"	"36"	"3"	"14"	"2"	"0"	"8"	"1"	"2"	"3"	"12"	"503"	"-"	"503"	""
"238"	"216"	"169"	"24"	"212"	"124"	"5"	"3"	"32"	"8"	"3"	"7"	"2"	"4"	"6"	"18"	"448"	"-"	"448"	""
"239"	"217"	"170"	"6"	"254"	"65"	"3"	"0"	"0"	"3"	"1"	"2"	"6"	"6"	"9"	"17"	"372"	"-"	"372"	""
"240"	"218"	"171"	"13"	"106"	"179"	"18"	"6"	"3"	"6"	"1"	"12"	"4"	"18"	"9"	"27"	"402"	"-"	"402"	""
"241"	"Total No. of votes recording at polling Stations"	""	"3147"	"30625"	"32553"	"10066"	"954"	"783"	"774"	"570"	"1310"	"942"	"982"	"1218"	"2777"	"86701"	"-"	"86701"	""
"242"	"No. of votes recorded on postal ballot papers (To be election from an assembly constituency)"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""
"243"	"Total Votes polled"	""	"3147"	"30625"	"32553"	"10066"	"954"	"783"	""	"570"	"1310"	"942"	"982"	"1218"	"2777"	"86701"	"-"	"86701"	""
"244"	"Place :   DARBHANGA                                                                                                                                                                                                                                        Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"245"	"Date  :   22.11.2005                                                                                                                                                                                                                                           84-Manigachhi'"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
