"X."	"X..1"	"X..2"	"X..3"	"X018.KESARIYA"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"
"1"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Booth No."	"Ext"	"Voters"	"Round"	"PUNAM DEVI"	"RAJIYA KHATOON"	"RAVINDRA PRATAP SINGH"	"RAJESH KUMAR RAUSHAN"	"RAMAYAN SINGH"	"NAVEEN KUMAR SINGH"	"JAG NARAYAN PASWAN"	"NOORLAIN ANSARI"	"BHIKHARI PASWAN"	"MD. ZAFRULLAH KHAN"	"RAMSARAN PD.  YADAV"	"LAXMAN SINGH"	"Total"
"185"	"153"	""	"1197"	"17"	"13"	"208"	"19"	"182"	"11"	"5"	"10"	"4"	"4"	"12"	"3"	"11"	"482"
"186"	"154"	""	"1289"	"18"	"37"	"128"	"31"	"321"	"13"	"7"	"5"	"5"	"10"	"10"	"11"	"10"	"588"
"187"	"155"	""	"767"	"18"	"8"	"204"	"18"	"46"	"6"	"3"	"7"	"3"	"5"	"16"	"16"	"8"	"340"
"188"	"156"	""	"761"	"18"	"7"	"46"	"7"	"201"	"12"	"2"	"5"	"7"	"14"	"8"	"75"	"20"	"404"
"189"	"157"	""	"830"	"18"	"47"	"15"	"33"	"306"	"22"	"4"	"3"	"6"	"6"	"1"	"4"	"5"	"452"
"190"	"158"	""	"1184"	"18"	"27"	"173"	"91"	"73"	"40"	"10"	"26"	"8"	"19"	"21"	"28"	"48"	"564"
"191"	"159"	""	"902"	"18"	"24"	"50"	"85"	"178"	"29"	"8"	"15"	"6"	"9"	"6"	"9"	"10"	"429"
"192"	"160"	""	"1044"	"18"	"14"	"236"	"21"	"45"	"36"	"11"	"18"	"6"	"2"	"24"	"20"	"17"	"450"
"193"	"161"	""	"1030"	"18"	"4"	"8"	"11"	"415"	"15"	"4"	"3"	"3"	"13"	"16"	"8"	"19"	"519"
"194"	"162"	""	"923"	"18"	"16"	"98"	"64"	"112"	"12"	"7"	"14"	"2"	"2"	"13"	"18"	"14"	"372"
"195"	"163"	""	"1115"	"18"	"52"	"162"	"109"	"81"	"9"	"3"	"7"	"2"	"4"	"8"	"4"	"6"	"447"
"196"	"164"	""	"823"	"19"	"40"	"73"	"22"	"101"	"3"	"4"	"0"	"0"	"3"	"0"	"5"	"11"	"262"
"197"	"165"	""	"890"	"19"	"5"	"265"	"30"	"110"	"4"	"5"	"4"	"1"	"2"	"10"	"2"	"2"	"440"
"198"	"165"	"A"	"788"	"19"	"23"	"70"	"38"	"94"	"5"	"0"	"7"	"5"	"3"	"9"	"3"	"13"	"270"
"199"	"166"	""	"954"	"19"	"47"	"96"	"41"	"79"	"12"	"3"	"8"	"7"	"6"	"19"	"5"	"14"	"337"
"200"	"167"	""	"926"	"19"	"95"	"76"	"11"	"155"	"10"	"3"	"4"	"6"	"4"	"4"	"9"	"6"	"383"
"201"	"168"	""	"820"	"19"	"29"	"168"	"21"	"49"	"15"	"4"	"8"	"1"	"5"	"59"	"3"	"13"	"375"
"202"	"169"	""	"1247"	"19"	"19"	"293"	"19"	"120"	"13"	"4"	"10"	"3"	"5"	"71"	"7"	"20"	"584"
"203"	"170"	""	"1017"	"19"	"13"	"128"	"59"	"95"	"17"	"3"	"6"	"7"	"5"	"46"	"7"	"10"	"396"
"204"	"171"	""	"1064"	"19"	"5"	"4"	"3"	"364"	"16"	"4"	"3"	"6"	"4"	"3"	"6"	"15"	"433"
"205"	"172"	""	"693"	"19"	"15"	"186"	"14"	"68"	"17"	"3"	"11"	"4"	"3"	"5"	"5"	"4"	"335"
"206"	"173"	""	"989"	"20"	"4"	"142"	"39"	"71"	"16"	"3"	"5"	"1"	"1"	"5"	"0"	"1"	"288"
"207"	"174"	""	"867"	"20"	"37"	"184"	"37"	"37"	"7"	"5"	"13"	"6"	"3"	"7"	"4"	"4"	"344"
"208"	"175"	""	"870"	"20"	"8"	"124"	"66"	"75"	"22"	"8"	"11"	"4"	"3"	"10"	"7"	"6"	"344"
"209"	"176"	""	"1371"	"20"	"50"	"122"	"101"	"170"	"12"	"3"	"15"	"9"	"10"	"15"	"4"	"4"	"515"
"210"	"177"	""	"1252"	"20"	"39"	"182"	"39"	"244
0"	"of 5   8"	"3"	"8"	"5"	"2"	"5"	"42"	"16"	"589"
"211"	"178"	""	"1283"	"20"	"15"	"147"	"108"	"255"	"17"	"9"	"13"	"7"	"11"	"8"	"21"	"2"	"613"
"212"	""	""	""	""	"018-KESARIYA"	""	""	""	""	""	""	""	""	""	""	""	""
"213"	""	""	""	""	"Candidate's Name"	""	""	""	""	""	""	""	""	""	""	""	""
"214"	"Booth No."	"Ext"	"Voters"	"Round"	"PUNAM DEVI"	"RAJIYA KHATOON"	"RAVINDRA PRATAP SINGH"	"RAJESH KUMAR RAUSHAN"	"RAMAYAN SINGH"	"NAVEEN KUMAR SINGH"	"JAG NARAYAN PASWAN"	"NOORLAIN ANSARI"	"BHIKHARI PASWAN"	"MD. ZAFRULLAH KHAN"	"RAMSARAN PD.  YADAV"	"LAXMAN SINGH"	"Total"
"215"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"
"216"	"179"	""	"1096"	"20"	"34"	"171"	"115"	"11"	"13"	"4"	"13"	"4"	"3"	"6"	"5"	"1"	"380"
"217"	"180"	""	"1349"	"20"	"6"	"213"	"59"	"60"	"37"	"8"	"16"	"10"	"5"	"103"	"10"	"16"	"543"
"218"	"181"	""	"1187"	"20"	"7"	"98"	"32"	"61"	"6"	"3"	"6"	"3"	"4"	"293"	"10"	"9"	"532"
"219"	"182"	""	"860"	"20"	"8"	"117"	"18"	"108"	"10"	"2"	"4"	"2"	"4"	"124"	"53"	"8"	"458"
"220"	"183"	""	"938"	"21"	"21"	"120"	"8"	"87"	"6"	"3"	"4"	"3"	"5"	"78"	"29"	"15"	"379"
"221"	"184"	""	"587"	"21"	"2"	"86"	"5"	"57"	"18"	"3"	"10"	"1"	"3"	"34"	"8"	"13"	"240"
"222"	"185"	""	"923"	"21"	"82"	"52"	"31"	"107"	"9"	"5"	"4"	"1"	"4"	"37"	"60"	"10"	"402"
"223"	"186"	""	"855"	"21"	"12"	"8"	"4"	"285"	"8"	"2"	"3"	"5"	"5"	"20"	"21"	"17"	"390"
"224"	"187"	""	"867"	"21"	"6"	"268"	"18"	"29"	"5"	"4"	"6"	"1"	"4"	"28"	"27"	"7"	"403"
"225"	"187"	"A"	"551"	"21"	"5"	"89"	"34"	"79"	"2"	"2"	"2"	"3"	"0"	"6"	"15"	"0"	"237"
"226"	"188"	""	"876"	"21"	"42"	"194"	"10"	"23"	"1"	"3"	"6"	"0"	"1"	"19"	"45"	"4"	"348"
"227"	"189"	""	"1120"	"21"	"31"	"247"	"28"	"27"	"10"	"6"	"9"	"2"	"5"	"40"	"35"	"6"	"446"
"228"	"190"	""	"800"	"21"	"16"	"62"	"37"	"239"	"15"	"1"	"4"	"5"	"7"	"18"	"47"	"15"	"466"
"229"	"191"	""	"1394"	"21"	"13"	"178"	"59"	"72"	"57"	"10"	"21"	"6"	"6"	"29"	"15"	"26"	"492"
"230"	"191"	"A"	"423"	"22"	"8"	"69"	"13"	"66"	"8"	"2"	"5"	"3"	"3"	"9"	"2"	"8"	"196"
"231"	"192"	""	"1362"	"22"	"29"	"269"	"79"	"140"	"14"	"9"	"17"	"7"	"5"	"21"	"22"	"6"	"618"
"232"	"193"	""	"976"	"22"	"22"	"248"	"51"	"157"	"7"	"6"	"14"	"4"	"6"	"10"	"5"	"12"	"542"
"233"	"194"	"A"	"706"	"22"	"19"	"50"	"180"	"32"	"7"	"3"	"2"	"0"	"6"	"11"	"0"	"6"	"316"
"234"	"194"	""	"776"	"22"	"6"	"127"	"171"	"69"	"4"	"1"	"4"	"1"	"3"	"7"	"4"	"5"	"402"
"235"	"Total"	""	""	""	"4200"	"30212"	"7018"	"31090"	"4619"	"934"	"1611"	"746"	"930"	"3004"	"1887"	"2105"	"88356"
"236"	"5 of 5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
