"Form.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"248"	"211"	"11"	"143"	"29"	"9"	"2"	"0"	"3"	"0"	"0"	"197"	"197"	""
"249"	"212"	"13"	"279"	"124"	"61"	"6"	"3"	"7"	"15"	"0"	"508"	"508"	""
"250"	"213"	"4"	"36"	"11"	"33"	"5"	"0"	"9"	"1"	"0"	"99"	"99"	""
"251"	"214"	"17"	"257"	"40"	"43"	"11"	"9"	"6"	"9"	"0"	"392"	"392"	""
"252"	"215"	"21"	"269"	"100"	"49"	"12"	"5"	"12"	"10"	"0"	"478"	"478"	""
"253"	"216"	"14"	"197"	"33"	"70"	"6"	"5"	"4"	"3"	"0"	"332"	"332"	""
"254"	"217"	"27"	"425"	"129"	"55"	"9"	"7"	"30"	"24"	"0"	"706"	"706"	""
"255"	"218"	"12"	"374"	"112"	"80"	"7"	"5"	"9"	"17"	"0"	"616"	"616"	""
"256"	"219"	"12"	"197"	"81"	"18"	"4"	"8"	"11"	"6"	"0"	"337"	"337"	""
"257"	"220"	"8"	"187"	"263"	"42"	"13"	"8"	"11"	"25"	"0"	"557"	"557"	""
"258"	"221"	"5"	"188"	"142"	"36"	"4"	"7"	"11"	"12"	"0"	"405"	"405"	""
"259"	"222"	"10"	"155"	"45"	"159"	"8"	"5"	"16"	"9"	"0"	"407"	"407"	""
"260"	"223"	"16"	"96"	"200"	"42"	"7"	"4"	"3"	"5"	"0"	"373"	"373"	""
"261"	"224"	"15"	"120"	"61"	"83"	"8"	"7"	"13"	"34"	"0"	"341"	"341"	""
"262"	"Total"	"2423"	"37238"	"39695"	"15597"	"1480"	"1309"	"1920"	"2201"	"0"	"101863"	"101863"	"0"
"263"	"Place                                 Bazar Samiti,Lakhisarai"	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Date                                    11/22/2005"	""	""	""	""	""	""	""	""	""	""	""	""
