"ernku.dsUnz.dh.ÿe.la."	"vH.fFkZ.ksa.ds.uke..oa.muds.i.k.esa.fn.s.x.s.fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"dqy.fof.k..ekU..er"	"izfr.ksfir.erkas.dh.la..k"	"X.ksx"	"fufonr.erkas.dh.la..k"
"246"	"141d"	"13"	"142"	"22"	"35"	"9"	"5"	"226"	"0"	"226"	"0"
"247"	"142"	"240"	"63"	"27"	"18"	"59"	"38"	"445"	"0"	"445"	"0"
"248"	";ksx"	"1191"	"1623"	"649"	"581"	"323"	"259"	"4626"	"0"	"4626"	"0"
"249"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"250"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"251"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"252"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"253"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"254"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"255"	"143"	"268"	"43"	"162"	"22"	"23"	"11"	"529"	"0"	"529"	"0"
"256"	"144"	"53"	"76"	"99"	"27"	"98"	"16"	"369"	"0"	"369"	"0"
"257"	"145"	"50"	"14"	"183"	"45"	"71"	"29"	"392"	"0"	"392"	"0"
"258"	"146"	"20"	"36"	"71"	"64"	"33"	"39"	"263"	"0"	"263"	"0"
"259"	"147"	"97"	"140"	"64"	"32"	"131"	"17"	"481"	"0"	"481"	"0"
"260"	"148"	"89"	"132"	"72"	"86"	"36"	"19"	"434"	"0"	"434"	"0"
"261"	"149"	"43"	"62"	"199"	"45"	"25"	"27"	"401"	"0"	"401"	"0"
"262"	"150"	"184"	"142"	"28"	"38"	"35"	"17"	"444"	"0"	"444"	"0"
"263"	"151"	"124"	"108"	"18"	"7"	"26"	"14"	"297"	"0"	"297"	"0"
"264"	"151d"	"68"	"56"	"95"	"50"	"14"	"4"	"287"	"0"	"287"	"0"
"265"	"152"	"52"	"149"	"33"	"34"	"31"	"23"	"322"	"0"	"322"	"0"
"266"	"153"	"58"	"240"	"22"	"16"	"20"	"10"	"366"	"0"	"366"	"0"
"267"	"154"	"154"	"143"	"38"	"32"	"12"	"14"	"393"	"0"	"393"	"0"
"268"	"155"	"197"	"100"	"55"	"53"	"49"	"19"	"473"	"0"	"473"	"0"
"269"	";ksx"	"1457"	"1441"	"1139"	"551"	"604"	"259"	"5451"	"0"	"5451"	"0"
"270"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"271"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"272"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"273"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"274"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"275"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"276"	"156"	"180"	"130"	"33"	"58"	"30"	"34"	"465"	"0"	"465"	"0"
"277"	"157"	"243"	"130"	"32"	"33"	"12"	"19"	"469"	"0"	"469"	"0"
"278"	"158"	"285"	"141"	"17"	"18"	"28"	"18"	"507"	"0"	"507"	"0"
"279"	"159"	"102"	"79"	"162"	"93"	"30"	"34"	"500"	"0"	"500"	"0"
"280"	"160"	"154"	"104"	"80"	"171"	"34"	"21"	"564"	"0"	"564"	"0"
"281"	"161"	"79"	"57"	"246"	"85"	"36"	"19"	"522"	"0"	"522"	"0"
"282"	"162"	"92"	"72"	"33"	"17"	"43"	"25"	"282"	"0"	"282"	"0"
"283"	"163"	"108"	"212"	"21"	"34"	"9"	"17"	"401"	"0"	"401"	"0"
"284"	"164"	"173"	"79"	"66"	"10"	"9"	"5"	"342"	"0"	"342"	"0"
"285"	"165"	"81"	"233"	"86"	"44"	"28"	"7"	"479"	"0"	"479"	"0"
"286"	"166"	"63"	"152"	"176"	"44"	"26"	"17"	"478"	"0"	"478"	"0"
"287"	"167"	"88"	"174"	"2"	"62"	"3"	"6"	"335"	"0"	"335"	"0"
"288"	"167d"	"55"	"64"	"4"	"12"	"6"	"10"	"151"	"0"	"151"	"0"
"289"	"168"	"72"	"109"	"52"	"238"	"23"	"23"	"517"	"0"	"517"	"0"
"290"	";ksx"	"1775"	"1736"	"1010"	"919"	"317"	"255"	"6012"	"0"	"6012"	"0"
"291"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"292"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"293"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"294"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"295"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"296"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"297"	"168d"	"69"	"94"	"23"	"105"	"19"	"6"	"316"	"0"	"316"	"0"
"298"	"169"	"128"	"101"	"95"	"84"	"48"	"18"	"474"	"0"	"474"	"0"
"299"	"170"	"119"	"226"	"15"	"19"	"16"	"18"	"413"	"0"	"413"	"0"
"300"	"171"	"129"	"122"	"7"	"69"	"5"	"12"	"344"	"0"	"344"	"0"
"301"	"171d"	"33"	"173"	"3"	"102"	"14"	"12"	"337"	"0"	"337"	"0"
"302"	"172"	"170"	"96"	"30"	"22"	"18"	"38"	"374"	"0"	"374"	"0"
"303"	"173"	"120"	"242"	"15"	"116"	"6"	"8"	"507"	"0"	"507"	"0"
"304"	"174"	"96"	"68"	"11"	"380"	"22"	"19"	"596"	"0"	"596"	"0"
"305"	"175"	"62"	"27"	"14"	"158"	"6"	"8"	"275"	"0"	"275"	"0"
"306"	"175d"	"97"	"133"	"31"	"80"	"3"	"9"	"353"	"0"	"353"	"0"
"307"	"176"	"59"	"102"	"9"	"272"	"8"	"4"	"454"	"0"	"454"	"0"
"308"	"176d"	"171"	"20"	"2"	"49"	"3"	"6"	"251"	"0"	"251"	"0"
"309"	"177"	"31"	"138"	"11"	"16"	"11"	"2"	"209"	"0"	"209"	"0"
"310"	"178"	"119"	"332"	"25"	"83"	"14"	"26"	"599"	"0"	"599"	"0"
"311"	";ksx"	"1403"	"1874"	"291"	"1555"	"193"	"186"	"5502"	"0"	"5502"	"0"
"312"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"313"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"314"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"315"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"316"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"317"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"318"	"179"	"67"	"188"	"107"	"42"	"13"	"12"	"429"	"0"	"429"	"0"
"319"	"180"	"145"	"183"	"12"	"76"	"5"	"9"	"430"	"0"	"430"	"0"
"320"	"181"	"95"	"60"	"13"	"101"	"21"	"17"	"307"	"0"	"307"	"0"
"321"	"182"	"156"	"190"	"70"	"33"	"66"	"55"	"570"	"0"	"570"	"0"
"322"	"183"	"194"	"185"	"121"	"34"	"123"	"35"	"692"	"0"	"692"	"0"
"323"	"184"	"274"	"93"	"55"	"71"	"7"	"8"	"508"	"0"	"508"	"0"
"324"	"185"	"59"	"204"	"36"	"19"	"28"	"12"	"358"	"0"	"358"	"0"
"325"	"186"	"116"	"190"	"187"	"17"	"26"	"22"	"558"	"0"	"558"	"0"
"326"	"187"	"213"	"86"	"99"	"26"	"38"	"19"	"481"	"0"	"481"	"0"
"327"	"188"	"146"	"348"	"21"	"5"	"13"	"11"	"544"	"0"	"544"	"0"
"328"	"189"	"95"	"155"	"43"	"31"	"42"	"24"	"390"	"0"	"390"	"0"
"329"	"190"	"186"	"199"	"21"	"32"	"17"	"11"	"466"	"0"	"466"	"0"
"330"	"190d"	"91"	"265"	"15"	"9"	"12"	"16"	"408"	"0"	"408"	"0"
"331"	"191"	"100"	"265"	"48"	"47"	"7"	"17"	"484"	"0"	"484"	"0"
"332"	";ksx"	"1937"	"2611"	"848"	"543"	"418"	"268"	"6625"	"0"	"6625"	"0"
"333"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"334"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"335"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"336"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"337"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"338"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"339"	"192"	"114"	"213"	"52"	"13"	"51"	"22"	"465"	"0"	"465"	"0"
"340"	"193"	"138"	"330"	"14"	"28"	"10"	"18"	"538"	"0"	"538"	"0"
"341"	"193d"	"154"	"117"	"13"	"37"	"10"	"9"	"340"	"0"	"340"	"0"
"342"	"194"	"97"	"112"	"257"	"58"	"21"	"18"	"563"	"0"	"563"	"0"
"343"	"195"	"159"	"234"	"85"	"32"	"78"	"37"	"625"	"0"	"625"	"0"
"344"	"196"	"73"	"148"	"52"	"56"	"16"	"21"	"366"	"0"	"366"	"0"
"345"	"197"	"74"	"195"	"92"	"22"	"15"	"17"	"415"	"0"	"415"	"0"
"346"	"198"	"138"	"277"	"29"	"61"	"32"	"19"	"556"	"0"	"556"	"0"
"347"	"199"	"39"	"223"	"40"	"8"	"13"	"7"	"330"	"0"	"330"	"0"
"348"	"200"	"131"	"104"	"79"	"29"	"47"	"14"	"404"	"0"	"404"	"0"
"349"	"201"	"155"	"140"	"7"	"54"	"12"	"12"	"380"	"0"	"380"	"0"
"350"	"202"	"143"	"102"	"14"	"88"	"15"	"21"	"383"	"0"	"383"	"0"
"351"	"203"	"182"	"264"	"23"	"12"	"20"	"18"	"519"	"0"	"519"	"0"
"352"	"204"	"58"	"201"	"19"	"15"	"8"	"6"	"307"	"0"	"307"	"0"
"353"	";ksx"	"1655"	"2660"	"776"	"513"	"348"	"239"	"6191"	"0"	"6191"	"0"
"354"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"355"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"356"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"357"	"ernku dsUnz dh ÿe la-"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erkas dh la[;k"
"358"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"359"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"360"	"205"	"119"	"146"	"8"	"3"	"8"	"5"	"289"	"0"	"289"	"0"
"361"	"206"	"147"	"202"	"14"	"28"	"11"	"9"	"411"	"0"	"411"	"0"
"362"	"207"	"330"	"25"	"10"	"7"	"4"	"14"	"390"	"0"	"390"	"0"
"363"	";ksx"	"596"	"373"	"32"	"38"	"23"	"28"	"1090"	"0"	"1090"	"0"
"364"	"LFkku  %&   xksikyxat                                                                                                                    fuokZph  inkf/kdkjh]"	""	""	""	""	""	""	""	""	""	""
"365"	"rkjh[k %&   22-11-2005"	""	""	""	""	""	""	""	""	""	""
"366"	"22&Hkksjss ºv-tk-Ω fo/kku lHkk fuokZpu {ks="	""	""	""	""	""	""	""	""	""	""
"367"	"iz:i†20†^d*"	""	""	""	""	""	""	""	""	""	""
"368"	"pÿokj†erksa†dh†x.kuk†ds†izR;sd†pÿ†dk†;ksx†"	""	""	""	""	""	""	""	""	""	""
"369"	"izR;sd pÿ dk lkjka'k"	"vH;fFkZ;ksa ds uke ,oa muds i{k esa fn;s x;s fof/kekU; erksa dh la[;k"	""	""	""	""	""	"dqy fof/k& ekU; er"	"izfr{ksfir erkas dh la[;k"	";ksx"	"fufonr erks dh la[;k"
"370"	""	"vfuy dqekj"	"bUnznso ekW>h"	"jkeujs'k jke"	"yyu eka>h"	"lqjsUnz jke e"	"ukst dqekj"	""	""	""	""
"371"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	""
"372"	"izFke pÿ"	"2422"	"482"	"489"	"926"	"265"	"161"	"4745"	"0"	"4745"	"0"
"373"	"f}rh; pÿ"	"2227"	"1161"	"135"	"411"	"94"	"155"	"4183"	"0"	"4183"	"0"
"374"	"r`rh; pÿ"	"3390"	"863"	"353"	"148"	"72"	"166"	"4992"	"0"	"4992"	"0"
"375"	"prqFkZ pÿ"	"2434"	"997"	"659"	"257"	"114"	"254"	"4715"	"0"	"4715"	"0"
"376"	"iape pÿ"	"1906"	"876"	"770"	"224"	"76"	"112"	"3964"	"0"	"3964"	"0"
"377"	"\"k\"Be pÿ"	"1880"	"1475"	"1358"	"239"	"102"	"212"	"5266"	"0"	"5266"	"0"
"378"	"lIre pÿ"	"1451"	"1531"	"1916"	"276"	"157"	"182"	"5513"	"0"	"5513"	"0"
"379"	"v\"Ve pÿ"	"2243"	"1694"	"733"	"363"	"132"	"179"	"5344"	"0"	"5344"	"0"
"380"	"uoe pÿ"	"1490"	"1962"	"1577"	"440"	"202"	"245"	"5916"	"0"	"5916"	"0"
"381"	"n'ke pÿ"	"1430"	"2171"	"1544"	"529"	"235"	"167"	"6076"	"0"	"6076"	"0"
"382"	"X;kjgokW pÿ"	"2194"	"1660"	"1103"	"465"	"163"	"227"	"5812"	"0"	"5812"	"0"
"383"	"ckjgokW pÿ"	"1191"	"1623"	"649"	"581"	"323"	"259"	"4626"	"0"	"4626"	"0"
"384"	"rsjgokW pÿ"	"1457"	"1441"	"1139"	"551"	"604"	"259"	"5451"	"0"	"5451"	"0"
"385"	"pkSngokWa pÿ"	"1775"	"1736"	"1010"	"919"	"317"	"255"	"6012"	"0"	"6012"	"0"
"386"	"ianzgokW pÿ"	"1403"	"1874"	"291"	"1555"	"193"	"186"	"5502"	"0"	"5502"	"0"
"387"	"lksygokW pÿ"	"1937"	"2611"	"848"	"543"	"418"	"268"	"6625"	"0"	"6625"	"0"
"388"	"l=gokW pÿ"	"1655"	"2660"	"776"	"513"	"348"	"239"	"6191"	"0"	"6191"	"0"
"389"	"vBjgokW pÿ"	"596"	"373"	"32"	"38"	"23"	"28"	"1090"	"0"	"1090"	"0"
"390"	";ksx"	"33081"	"27190"	"15382"	"8978"	"3838"	"3554"	"92023"	"0"	"92023"	"0"
"391"	"LFkku   %&   xksikyxat"	""	""	""	""	""	""	""	""	""	""
"392"	"fnukad  %&   22-11-05"	""	""	""	""	""	""	""	""	""	""
"393"	"fuokZph inkf/kdkjh"	""	""	""	""	""	""	""	""	""	""
"394"	"22&Hkkjs sºv-tk-Ω fo-l-fu-{k=s"	""	""	""	""	""	""	""	""	""	""
