"No..and.Name.of.Assembly.Constituency...........52..Vaishali"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"
"209"	"115"	"448"	"23"	"12"	"73"	"265"	"10"	"22"	"26"	"17"	"448"	"0"	"448"	"0"
"210"	"116"	"580"	"18"	"9"	"264"	"211"	"8"	"18"	"32"	"20"	"580"	"0"	"580"	"0"
"211"	"117"	"393"	"0"	"2"	"364"	"19"	"2"	"1"	"1"	"4"	"393"	"0"	"393"	"0"
"212"	"117K"	"299"	"15"	"9"	"208"	"50"	"3"	"5"	"3"	"6"	"299"	"0"	"299"	"0"
"213"	"Grand Total"	"5829"	"420"	"221"	"2066"	"2531"	"149"	"113"	"175"	"154"	"5829"	"0"	"5829"	"0"
"214"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"215"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"216"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"217"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"Round No.  :-    10"	""	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"220"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"221"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"222"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"223"	"118"	"601"	"24"	"7"	"32"	"473"	"10"	"9"	"20"	"26"	"601"	"0"	"601"	"0"
"224"	"119"	"419"	"7"	"2"	"6"	"375"	"7"	"0"	"13"	"9"	"419"	"0"	"419"	"0"
"225"	"119K"	"361"	"19"	"3"	"20"	"271"	"14"	"2"	"15"	"17"	"361"	"0"	"361"	"0"
"226"	"120"	"502"	"21"	"5"	"16"	"393"	"17"	"8"	"22"	"20"	"502"	"0"	"502"	"0"
"227"	"121"	"516"	"83"	"7"	"54"	"304"	"21"	"6"	"19"	"22"	"516"	"0"	"516"	"0"
"228"	"122"	"439"	"59"	"11"	"165"	"132"	"15"	"17"	"11"	"29"	"439"	"0"	"439"	"0"
"229"	"123"	"571"	"29"	"18"	"294"	"144"	"17"	"14"	"20"	"35"	"571"	"0"	"571"	"0"
"230"	"124"	"395"	"90"	"12"	"75"	"193"	"9"	"2"	"4"	"10"	"395"	"0"	"395"	"0"
"231"	"124K"	"182"	"5"	"3"	"98"	"63"	"2"	"1"	"6"	"4"	"182"	"0"	"182"	"0"
"232"	"125"	"251"	"16"	"43"	"63"	"106"	"6"	"3"	"8"	"6"	"251"	"0"	"251"	"0"
"233"	"126"	"343"	"20"	"45"	"154"	"98"	"4"	"5"	"9"	"8"	"343"	"0"	"343"	"0"
"234"	"126K"	"227"	"33"	"17"	"65"	"76"	"8"	"4"	"7"	"17"	"227"	"0"	"227"	"0"
"235"	"127"	"336"	"44"	"12"	"150"	"96"	"14"	"2"	"7"	"11"	"336"	"0"	"336"	"0"
"236"	"127K"	"308"	"40"	"4"	"173"	"71"	"4"	"7"	"4"	"5"	"308"	"0"	"308"	"0"
"237"	"Grand Total"	"5451"	"490"	"189"	"1365"	"2795"	"148"	"80"	"165"	"219"	"5451"	"0"	"5451"	"0"
"238"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"239"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"240"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"Round No.  :-    11"	""	""	""	""	""	""	""	""	""	""	""	""	""
"243"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"244"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"245"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"246"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"247"	"128"	"351"	"34"	"6"	"91"	"163"	"15"	"9"	"16"	"17"	"351"	"0"	"351"	"0"
"248"	"128K"	"420"	"67"	"13"	"72"	"162"	"16"	"19"	"26"	"45"	"420"	"0"	"420"	"0"
"249"	"129"	"523"	"145"	"14"	"168"	"140"	"18"	"7"	"15"	"16"	"523"	"0"	"523"	"0"
"250"	"130"	"661"	"45"	"21"	"372"	"183"	"11"	"9"	"10"	"10"	"661"	"0"	"661"	"0"
"251"	"131"	"570"	"25"	"5"	"126"	"321"	"32"	"9"	"19"	"33"	"570"	"0"	"570"	"0"
"252"	"132"	"302"	"31"	"13"	"136"	"90"	"14"	"8"	"4"	"6"	"302"	"0"	"302"	"0"
"253"	"133"	"445"	"22"	"5"	"79"	"286"	"23"	"7"	"9"	"14"	"445"	"0"	"445"	"0"
"254"	"134"	"395"	"30"	"8"	"199"	"120"	"7"	"8"	"12"	"11"	"395"	"0"	"395"	"0"
"255"	"135"	"515"	"50"	"92"	"193"	"134"	"13"	"8"	"8"	"17"	"515"	"0"	"515"	"0"
"256"	"136"	"407"	"29"	"13"	"113"	"163"	"18"	"17"	"28"	"26"	"407"	"0"	"407"	"0"
"257"	"137"	"428"	"41"	"12"	"153"	"164"	"17"	"9"	"16"	"16"	"428"	"0"	"428"	"0"
"258"	"138"	"309"	"14"	"2"	"99"	"166"	"9"	"5"	"9"	"5"	"309"	"0"	"309"	"0"
"259"	"138K"	"369"	"21"	"14"	"79"	"167"	"32"	"6"	"22"	"28"	"369"	"0"	"369"	"0"
"260"	"139"	"322"	"12"	"24"	"45"	"118"	"92"	"10"	"15"	"6"	"322"	"0"	"322"	"0"
"261"	"Grand Total"	"6017"	"566"	"242"	"1925"	"2377"	"317"	"131"	"209"	"250"	"6017"	"0"	"6017"	"0"
"262"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"263"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"264"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Round No.  :-    12"	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"268"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"269"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"270"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"271"	"139K"	"491"	"5"	"0"	"28"	"404"	"36"	"0"	"13"	"5"	"491"	"0"	"491"	"0"
"272"	"140"	"354"	"18"	"8"	"162"	"139"	"9"	"4"	"9"	"5"	"354"	"0"	"354"	"0"
"273"	"141"	"418"	"70"	"10"	"140"	"127"	"36"	"6"	"10"	"19"	"418"	"0"	"418"	"0"
"274"	"142"	"425"	"33"	"26"	"150"	"139"	"44"	"11"	"9"	"13"	"425"	"0"	"425"	"0"
"275"	"143"	"488"	"59"	"11"	"235"	"105"	"23"	"11"	"14"	"30"	"488"	"0"	"488"	"0"
"276"	"144"	"402"	"31"	"6"	"221"	"46"	"14"	"17"	"24"	"43"	"402"	"0"	"402"	"0"
"277"	"145"	"562"	"99"	"8"	"280"	"85"	"36"	"20"	"10"	"24"	"562"	"0"	"562"	"0"
"278"	"146"	"592"	"29"	"40"	"364"	"126"	"8"	"5"	"11"	"9"	"592"	"0"	"592"	"0"
"279"	"147"	"303"	"19"	"5"	"176"	"40"	"23"	"18"	"8"	"14"	"303"	"0"	"303"	"0"
"280"	"148"	"208"	"9"	"6"	"85"	"79"	"5"	"4"	"8"	"12"	"208"	"0"	"208"	"0"
"281"	"149"	"383"	"24"	"14"	"125"	"81"	"84"	"12"	"18"	"25"	"383"	"0"	"383"	"0"
"282"	"150"	"400"	"49"	"20"	"102"	"178"	"17"	"5"	"13"	"16"	"400"	"0"	"400"	"0"
"283"	"151"	"331"	"46"	"13"	"86"	"122"	"31"	"8"	"14"	"11"	"331"	"0"	"331"	"0"
"284"	"152"	"431"	"84"	"7"	"181"	"117"	"9"	"9"	"7"	"17"	"431"	"0"	"431"	"0"
"285"	"Grand Total"	"5788"	"575"	"174"	"2335"	"1788"	"375"	"130"	"168"	"243"	"5788"	"0"	"5788"	"0"
"286"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"287"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"288"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"Round No.  :-    13"	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"292"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"293"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"294"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"295"	"153"	"238"	"17"	"12"	"99"	"81"	"6"	"5"	"12"	"6"	"238"	"0"	"238"	"0"
"296"	"154"	"430"	"12"	"16"	"121"	"233"	"13"	"5"	"7"	"23"	"430"	"0"	"430"	"0"
"297"	"155"	"468"	"92"	"29"	"142"	"112"	"19"	"22"	"15"	"37"	"468"	"0"	"468"	"0"
"298"	"156"	"512"	"21"	"4"	"118"	"302"	"13"	"5"	"29"	"20"	"512"	"0"	"512"	"0"
"299"	"157"	"462"	"53"	"14"	"144"	"212"	"11"	"4"	"14"	"10"	"462"	"0"	"462"	"0"
"300"	"158"	"387"	"38"	"1"	"102"	"222"	"5"	"4"	"10"	"5"	"387"	"0"	"387"	"0"
"301"	"159"	"394"	"26"	"35"	"78"	"191"	"26"	"10"	"12"	"16"	"394"	"0"	"394"	"0"
"302"	"159K"	"289"	"14"	"9"	"118"	"118"	"11"	"3"	"11"	"5"	"289"	"0"	"289"	"0"
"303"	"160"	"487"	"101"	"10"	"134"	"152"	"9"	"17"	"20"	"44"	"487"	"0"	"487"	"0"
"304"	"161"	"518"	"31"	"17"	"214"	"195"	"14"	"10"	"18"	"19"	"518"	"0"	"518"	"0"
"305"	"162"	"500"	"70"	"137"	"82"	"148"	"16"	"14"	"15"	"18"	"500"	"0"	"500"	"0"
"306"	"163"	"443"	"13"	"11"	"331"	"42"	"10"	"14"	"11"	"11"	"443"	"0"	"443"	"0"
"307"	"164"	"437"	"23"	"33"	"285"	"68"	"8"	"3"	"5"	"12"	"437"	"0"	"437"	"0"
"308"	"165"	"455"	"60"	"27"	"312"	"26"	"4"	"5"	"5"	"16"	"455"	"0"	"455"	"0"
"309"	"Grand Total"	"6020"	"571"	"355"	"2280"	"2102"	"165"	"121"	"184"	"242"	"6020"	"0"	"6020"	"0"
"310"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"311"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"312"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"Round No.  :-    14"	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"316"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"317"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"318"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"319"	"166"	"420"	"46"	"44"	"113"	"158"	"16"	"8"	"20"	"15"	"420"	"0"	"420"	"0"
"320"	"167"	"303"	"17"	"13"	"93"	"132"	"13"	"10"	"17"	"8"	"303"	"0"	"303"	"0"
"321"	"168"	"458"	"120"	"9"	"63"	"230"	"8"	"4"	"5"	"19"	"458"	"0"	"458"	"0"
"322"	"169"	"600"	"61"	"78"	"187"	"168"	"26"	"14"	"22"	"44"	"600"	"0"	"600"	"0"
"323"	"170"	"297"	"30"	"8"	"85"	"145"	"7"	"2"	"12"	"8"	"297"	"0"	"297"	"0"
"324"	"170K"	"367"	"23"	"8"	"181"	"130"	"5"	"5"	"9"	"6"	"367"	"0"	"367"	"0"
"325"	"171"	"484"	"86"	"9"	"178"	"151"	"15"	"8"	"17"	"20"	"484"	"0"	"484"	"0"
"326"	"172"	"522"	"30"	"11"	"262"	"175"	"12"	"6"	"10"	"16"	"522"	"0"	"522"	"0"
"327"	"173"	"671"	"102"	"10"	"267"	"242"	"14"	"11"	"13"	"12"	"671"	"0"	"671"	"0"
"328"	"174"	"266"	"30"	"5"	"175"	"35"	"4"	"3"	"4"	"10"	"266"	"0"	"266"	"0"
"329"	"174K"	"313"	"60"	"17"	"163"	"60"	"2"	"3"	"3"	"5"	"313"	"0"	"313"	"0"
"330"	"175"	"575"	"38"	"8"	"200"	"267"	"13"	"11"	"15"	"23"	"575"	"0"	"575"	"0"
"331"	"176"	"512"	"104"	"62"	"126"	"120"	"50"	"10"	"11"	"29"	"512"	"0"	"512"	"0"
"332"	"177"	"465"	"113"	"6"	"132"	"118"	"46"	"2"	"10"	"38"	"465"	"0"	"465"	"0"
"333"	"Grand Total"	"6253"	"860"	"288"	"2225"	"2131"	"231"	"97"	"168"	"253"	"6253"	"0"	"6253"	"0"
"334"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"335"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"336"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"Round No.  :-    15"	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"340"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"341"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"342"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"343"	"178"	"388"	"96"	"5"	"74"	"141"	"12"	"6"	"19"	"35"	"388"	"0"	"388"	"0"
"344"	"179"	"580"	"147"	"12"	"229"	"132"	"10"	"8"	"15"	"27"	"580"	"0"	"580"	"0"
"345"	"180"	"363"	"35"	"8"	"158"	"107"	"14"	"4"	"14"	"23"	"363"	"0"	"363"	"0"
"346"	"180K"	"300"	"42"	"2"	"111"	"85"	"8"	"9"	"14"	"29"	"300"	"0"	"300"	"0"
"347"	"181"	"526"	"77"	"25"	"97"	"237"	"38"	"8"	"19"	"25"	"526"	"0"	"526"	"0"
"348"	"182"	"372"	"35"	"32"	"55"	"217"	"9"	"6"	"12"	"6"	"372"	"0"	"372"	"0"
"349"	"182K"	"466"	"28"	"11"	"402"	"14"	"2"	"6"	"3"	"0"	"466"	"0"	"466"	"0"
"350"	"183"	"561"	"95"	"45"	"146"	"196"	"13"	"9"	"26"	"31"	"561"	"0"	"561"	"0"
"351"	"184"	"346"	"22"	"14"	"188"	"99"	"7"	"4"	"6"	"6"	"346"	"0"	"346"	"0"
"352"	"185"	"468"	"208"	"6"	"94"	"98"	"16"	"9"	"13"	"24"	"468"	"0"	"468"	"0"
"353"	"186"	"478"	"182"	"19"	"110"	"102"	"14"	"7"	"16"	"28"	"478"	"0"	"478"	"0"
"354"	"187"	"341"	"233"	"10"	"27"	"45"	"2"	"5"	"5"	"14"	"341"	"0"	"341"	"0"
"355"	"188"	"412"	"46"	"11"	"117"	"164"	"26"	"9"	"24"	"15"	"412"	"0"	"412"	"0"
"356"	"189"	"248"	"71"	"9"	"66"	"65"	"18"	"4"	"4"	"11"	"248"	"0"	"248"	"0"
"357"	"Grand Total"	"5849"	"1317"	"209"	"1874"	"1702"	"189"	"94"	"190"	"274"	"5849"	"0"	"5849"	"0"
"358"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"359"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"360"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"361"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"362"	"Round No.  :-    16"	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"364"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"365"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"366"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"367"	"189K"	"430"	"20"	"10"	"99"	"87"	"153"	"19"	"19"	"23"	"430"	"0"	"430"	"0"
"368"	"190"	"591"	"218"	"25"	"71"	"174"	"54"	"9"	"6"	"34"	"591"	"0"	"591"	"0"
"369"	"191"	"485"	"42"	"2"	"90"	"297"	"26"	"7"	"15"	"6"	"485"	"0"	"485"	"0"
"370"	"192"	"466"	"69"	"7"	"65"	"207"	"15"	"13"	"40"	"50"	"466"	"0"	"466"	"0"
"371"	"193"	"547"	"71"	"57"	"149"	"123"	"34"	"13"	"38"	"62"	"547"	"0"	"547"	"0"
"372"	"194"	"556"	"79"	"15"	"27"	"335"	"56"	"3"	"14"	"27"	"556"	"0"	"556"	"0"
"373"	"195"	"515"	"19"	"11"	"22"	"407"	"18"	"4"	"14"	"20"	"515"	"0"	"515"	"0"
"374"	"195K"	"332"	"6"	"4"	"19"	"268"	"21"	"4"	"7"	"3"	"332"	"0"	"332"	"0"
"375"	"196"	"440"	"84"	"8"	"195"	"121"	"6"	"11"	"9"	"6"	"440"	"0"	"440"	"0"
"376"	"196K"	"322"	"41"	"16"	"144"	"72"	"13"	"10"	"7"	"19"	"322"	"0"	"322"	"0"
"377"	"197"	"454"	"124"	"5"	"217"	"76"	"8"	"6"	"6"	"12"	"454"	"0"	"454"	"0"
"378"	"198"	"478"	"58"	"14"	"102"	"171"	"60"	"7"	"24"	"42"	"478"	"0"	"478"	"0"
"379"	"199"	"431"	"6"	"11"	"279"	"98"	"13"	"6"	"6"	"12"	"431"	"0"	"431"	"0"
"380"	"200"	"580"	"35"	"11"	"131"	"298"	"80"	"5"	"13"	"7"	"580"	"0"	"580"	"0"
"381"	"Grand Total"	"6627"	"872"	"196"	"1610"	"2734"	"557"	"117"	"218"	"323"	"6627"	"0"	"6627"	"0"
"382"	""	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"383"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"384"	"No. and Name of Assembly Constituency  :-       52- Vaishali"	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	"Total No. of Electors in the Assembly Constituency :-  200654"	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"Round No.  :-    17"	""	""	""	""	""	""	""	""	""	""	""	""	""
"387"	"Serial No. of Polling station"	"Total No of Valid votes Recorded for candidates in EVM"	"No. of Valid Votes cast in favour of"	""	""	""	""	""	""	""	"Total  Valid Votes"	"No. of Rejected Votes"	"Total"	"No. of Tender Votes"
"388"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	""	""	""	""
"389"	""	""	"LJP"	"BSP"	"INC"	"JD (U)"	"SP"	"IND"	"IND"	"IND"	""	""	""	""
"390"	""	""	"ANJANI SINHA"	"DEVNARAYAN PRASAD"	"VEENA SHAHI"	"VRISHIN PATEL"	"RAJ KISHOR SINHA"	"AWATAR"	"BADRI PASWAN"	"SATYA NARAYAN RAM"	""	""	""	""
"391"	"201"	"622"	"108"	"12"	"28"	"337"	"79"	"8"	"27"	"23"	"622"	"0"	"622"	"0"
"392"	"202"	"487"	"44"	"42"	"96"	"253"	"11"	"8"	"15"	"18"	"487"	"0"	"487"	"0"
"393"	"203"	"329"	"70"	"9"	"57"	"151"	"17"	"2"	"5"	"18"	"329"	"0"	"329"	"0"
"394"	"203K"	"349"	"76"	"26"	"135"	"66"	"12"	"7"	"6"	"21"	"349"	"0"	"349"	"0"
"395"	"204"	"257"	"35"	"3"	"66"	"122"	"10"	"5"	"9"	"7"	"257"	"0"	"257"	"0"
"396"	"205"	"465"	"26"	"4"	"146"	"233"	"15"	"8"	"25"	"8"	"465"	"0"	"465"	"0"
"397"	"206"	"411"	"27"	"38"	"95"	"212"	"8"	"5"	"12"	"14"	"411"	"0"	"411"	"0"
"398"	"Grand Total"	"2920"	"386"	"134"	"623"	"1374"	"152"	"43"	"99"	"109"	"2920"	"0"	"2920"	"0"
"399"	"Total No. of Votes recorded of polling stations"	""	"11692"	"4232"	"31929"	"34426"	"3427"	"1683"	"3046"	"3992"	"94427"	"0"	"94427"	"0"
"400"	"No. of Votes Recorded on Postal Ballot Papers (To be filled in the case of election from assembly constituency)"	""	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"
"401"	"Total Votes Polled"	""	"11692"	"4232"	"31931"	"34426"	"3427"	"1683"	"3046"	"3992"	"94429"	"0"	"94429"	"0"
"402"	"Place :- Hajipur Date :-  22.11.05"	""	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	"Initial of RO"	""	""	""	""
"403"	""	""	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	"Initial of OB"	""	""	""	""
"404"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""
"405"	"52- Vaishali Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""
