"X138...KASBA.ASSEMBLY.CONSTITUENCY"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"
"234"	"Polling Station"	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total Votes Polled"
"235"	""	"MD. AFAK ALAM"	"JAY PRAKASH URAON"	"PRADIP KUMAR DAS"	"PRIYANKA RANI"	"MD. JUBER ALAM"	"BAMBAM SAH"	"MUKHTAR ALAM"	"SAKALDEO RISHI"	"AKHALESH JHA"	"VIMLENDRA KUMAR"	""
"236"	""	"Rashtriya Janata Dal"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Shivsena"	"Indian Justice Party"	"Ambedkar National Congress"	"Independent"	"Independent"	""
"237"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"238"	"171"	"378"	"17"	"12"	"3"	"7"	"4"	"1"	"2"	"4"	"13"	"441"
"239"	"172"	"122"	"4"	"349"	"13"	"3"	"3"	"4"	"9"	"4"	"11"	"522"
"240"	"173"	"456"	"14"	"36"	"8"	"15"	"4"	"6"	"5"	"7"	"14"	"565"
"241"	"174"	"321"	"8"	"30"	"4"	"3"	"1"	"2"	"1"	"2"	"3"	"375"
"242"	"175"	"352"	"16"	"16"	"7"	"9"	"0"	"3"	"2"	"4"	"2"	"411"
"243"	"176"	"441"	"6"	"86"	"7"	"5"	"1"	"1"	"1"	"4"	"3"	"555"
"244"	"177"	"251"	"2"	"4"	"2"	"2"	"3"	"1"	"1"	"0"	"6"	"272"
"245"	"178"	"385"	"15"	"7"	"4"	"0"	"1"	"1"	"1"	"0"	"2"	"416"
"246"	"178A"	"236"	"7"	"81"	"4"	"3"	"0"	"1"	"2"	"1"	"8"	"343"
"247"	"179"	"422"	"14"	"45"	"5"	"6"	"3"	"2"	"4"	"5"	"5"	"511"
"248"	"180"	"330"	"13"	"68"	"9"	"9"	"4"	"2"	"4"	"4"	"11"	"454"
"249"	"181"	"403"	"12"	"56"	"7"	"4"	"2"	"1"	"4"	"6"	"16"	"511"
"250"	"182"	"306"	"9"	"28"	"0"	"3"	"0"	"2"	"1"	"3"	"15"	"367"
"251"	"183"	"396"	"9"	"24"	"5"	"9"	"3"	"1"	"2"	"3"	"10"	"462"
"252"	"184"	"417"	"7"	"36"	"9"	"10"	"1"	"2"	"2"	"2"	"5"	"491"
"253"	"185"	"337"	"13"	"113"	"9"	"10"	"6"	"5"	"2"	"1"	"3"	"499"
"254"	"186"	"388"	"6"	"38"	"6"	"26"	"5"	"1"	"6"	"9"	"9"	"494"
"255"	"187"	"284"	"20"	"136"	"12"	"11"	"2"	"4"	"8"	"3"	"13"	"493"
"256"	"188"	"498"	"20"	"84"	"14"	"15"	"4"	"7"	"3"	"5"	"16"	"666"
"257"	"189"	"293"	"13"	"269"	"79"	"10"	"5"	"4"	"8"	"4"	"16"	"701"
"258"	"190"	"129"	"19"	"376"	"39"	"12"	"3"	"5"	"6"	"7"	"10"	"606"
"259"	"191"	"36"	"6"	"428"	"49"	"5"	"66"	"26"	"18"	"11"	"20"	"665"
"260"	"Polling Station"	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total Votes Polled"
"261"	""	"MD. AFAK ALAM"	"JAY PRAKASH URAON"	"PRADIP KUMAR DAS"	"PRIYANKA RANI"	"MD. JUBER ALAM"	"BAMBAM SAH"	"MUKHTAR ALAM"	"SAKALDEO RISHI"	"AKHALESH JHA"	"VIMLENDRA KUMAR"	""
"262"	""	"Rashtriya Janata Dal"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Shivsena"	"Indian Justice Party"	"Ambedkar National Congress"	"Independent"	"Independent"	""
"263"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"264"	"192"	"125"	"2"	"249"	"28"	"6"	"22"	"7"	"5"	"9"	"7"	"460"
"265"	"192A"	"225"	"8"	"169"	"46"	"8"	"13"	"3"	"0"	"2"	"6"	"480"
"266"	"193"	"91"	"4"	"264"	"38"	"4"	"36"	"0"	"3"	"1"	"10"	"451"
"267"	"194"	"84"	"12"	"418"	"74"	"13"	"3"	"3"	"7"	"6"	"11"	"631"
"268"	"195"	"34"	"3"	"351"	"5"	"3"	"15"	"0"	"2"	"2"	"1"	"416"
"269"	"196"	"180"	"7"	"299"	"7"	"4"	"12"	"1"	"1"	"1"	"2"	"514"
"270"	"197"	"86"	"5"	"474"	"15"	"4"	"20"	"0"	"16"	"2"	"10"	"632"
"271"	"198"	"19"	"4"	"448"	"18"	"5"	"5"	"1"	"8"	"0"	"8"	"516"
"272"	"198A"	"29"	"10"	"352"	"25"	"1"	"20"	"7"	"4"	"1"	"9"	"458"
"273"	"199"	"25"	"2"	"273"	"2"	"0"	"10"	"1"	"2"	"2"	"2"	"319"
"274"	"199A"	"37"	"6"	"345"	"27"	"8"	"23"	"6"	"4"	"2"	"3"	"461"
"275"	"200"	"22"	"1"	"434"	"5"	"3"	"10"	"2"	"3"	"0"	"1"	"481"
"276"	"201"	"31"	"2"	"415"	"16"	"6"	"10"	"1"	"3"	"2"	"7"	"493"
"277"	"202"	"15"	"4"	"516"	"27"	"2"	"17"	"6"	"4"	"1"	"6"	"598"
"278"	"203"	"16"	"4"	"392"	"8"	"3"	"101"	"6"	"1"	"3"	"8"	"542"
"279"	"204"	"141"	"9"	"380"	"16"	"3"	"28"	"6"	"11"	"6"	"3"	"603"
"280"	"205"	"41"	"4"	"467"	"15"	"6"	"13"	"1"	"3"	"2"	"4"	"556"
"281"	"206"	"110"	"10"	"244"	"20"	"5"	"8"	"3"	"7"	"0"	"5"	"412"
"282"	"207"	"244"	"16"	"283"	"16"	"4"	"12"	"5"	"12"	"7"	"10"	"609"
"283"	"208"	"340"	"10"	"310"	"30"	"6"	"11"	"5"	"24"	"5"	"37"	"778"
"284"	"TOTAL
GENERAL VOTES"	"43104"	"2499"	"49113"	"19580"	"2395"	"1717"	"1855"	"2237"	"1186"	"3136"	"126822"
"285"	"Polling Station"	"I"	"II"	"III"	"IV"	"V"	"VI"	"VII"	"VIII"	"IX"	"X"	"Total Votes Polled"
"286"	""	"MD. AFAK ALAM"	"JAY PRAKASH URAON"	"PRADIP KUMAR DAS"	"PRIYANKA RANI"	"MD. JUBER ALAM"	"BAMBAM SAH"	"MUKHTAR ALAM"	"SAKALDEO RISHI"	"AKHALESH JHA"	"VIMLENDRA KUMAR"	""
"287"	""	"Rashtriya Janata Dal"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Shivsena"	"Indian Justice Party"	"Ambedkar National Congress"	"Independent"	"Independent"	""
"288"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"
"289"	""	"MD. AFAK ALAM"	"JAY PRAKASH URAON"	"PRADIP KUMAR DAS"	"PRIYANKA RANI"	"MD. JUBER ALAM"	"BAMBAM SAH"	"MUKHTAR ALAM"	"SAKALDEO RISHI"	"AKHALESH JHA"	"VIMLENDRA KUMAR"	""
"290"	""	"Rashtriya Janata Dal"	"Bahujan Samaj Party"	"Bharatiya Janata Party"	"Lok Jan Shakti Party"	"Samajwadi Party"	"Shivsena"	"Indian Justice Party"	"Ambedkar National Congress"	"Independent"	"Independent"	""
