"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"
"212"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"213"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"214"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"215"	"1"	"85"	"205"	"27"	"166"	"8"	"7"	"1"	"3"	"3"	"5"	"17"	"442"	"0"	"442"	"0"
"216"	"2"	"85A"	"61"	"20"	"169"	"7"	"0"	"1"	"1"	"2"	"3"	"7"	"271"	"0"	"271"	"0"
"217"	"3"	"86"	"106"	"8"	"364"	"6"	"0"	"0"	"0"	"0"	"2"	"2"	"488"	"0"	"488"	"0"
"218"	"4"	"86A"	"213"	"16"	"99"	"5"	"1"	"0"	"0"	"3"	"3"	"3"	"343"	"0"	"343"	"0"
"219"	"5"	"87"	"107"	"41"	"344"	"31"	"7"	"4"	"11"	"11"	"5"	"7"	"568"	"0"	"568"	"0"
"220"	"6"	"88"	"126"	"29"	"155"	"38"	"5"	"13"	"6"	"9"	"5"	"17"	"403"	"0"	"403"	"0"
"221"	"7"	"89"	"144"	"82"	"80"	"4"	"3"	"1"	"2"	"9"	"7"	"2"	"334"	"0"	"334"	"0"
"222"	"8"	"90"	"134"	"46"	"174"	"25"	"5"	"6"	"5"	"10"	"5"	"13"	"423"	"0"	"423"	"0"
"223"	"9"	"91"	"183"	"11"	"99"	"12"	"3"	"0"	"1"	"2"	"6"	"6"	"323"	"0"	"323"	"0"
"224"	"10"	"92"	"105"	"12"	"140"	"2"	"3"	"1"	"4"	"7"	"1"	"6"	"281"	"0"	"281"	"0"
"225"	"11"	"93"	"277"	"29"	"294"	"11"	"2"	"2"	"3"	"6"	"3"	"5"	"632"	"0"	"632"	"0"
"226"	"12"	"94"	"120"	"5"	"47"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"173"	"0"	"173"	"0"
"227"	"13"	"95"	"206"	"28"	"168"	"4"	"6"	"3"	"3"	"5"	"5"	"10"	"438"	"0"	"438"	"0"
"228"	"14"	"96"	"112"	"7"	"205"	"4"	"84"	"2"	"2"	"2"	"1"	"4"	"423"	"0"	"423"	"0"
"229"	"Total Votes Polled"	""	"2099"	"361"	"2504"	"157"	"126"	"34"	"41"	"69"	"52"	"99"	"5542"	"0"	"5542"	"0"
"230"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"233"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"234"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"237"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"238"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"239"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"240"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"241"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"242"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"243"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"244"	"1"	"96A"	"151"	"9"	"112"	"4"	"4"	"0"	"0"	"1"	"2"	"2"	"285"	"0"	"285"	"0"
"245"	"2"	"97"	"177"	"26"	"183"	"17"	"12"	"6"	"6"	"17"	"8"	"15"	"467"	"0"	"467"	"0"
"246"	"3"	"98"	"366"	"23"	"193"	"7"	"3"	"3"	"5"	"5"	"4"	"17"	"626"	"0"	"626"	"0"
"247"	"4"	"99"	"123"	"22"	"308"	"21"	"23"	"4"	"4"	"7"	"7"	"6"	"525"	"0"	"525"	"0"
"248"	"5"	"100"	"170"	"16"	"116"	"3"	"5"	"2"	"3"	"3"	"9"	"8"	"335"	"0"	"335"	"0"
"249"	"6"	"101"	"155"	"27"	"196"	"7"	"4"	"3"	"2"	"2"	"2"	"2"	"400"	"0"	"400"	"0"
"250"	"7"	"102"	"382"	"29"	"43"	"10"	"2"	"1"	"2"	"0"	"2"	"2"	"473"	"0"	"473"	"0"
"251"	"8"	"103"	"123"	"59"	"230"	"15"	"7"	"5"	"18"	"9"	"7"	"16"	"489"	"0"	"489"	"0"
"252"	"9"	"104"	"141"	"17"	"197"	"13"	"2"	"0"	"2"	"2"	"8"	"4"	"386"	"0"	"386"	"0"
"253"	"10"	"104A"	"230"	"19"	"132"	"3"	"6"	"1"	"5"	"3"	"4"	"6"	"409"	"0"	"409"	"0"
"254"	"11"	"105"	"213"	"12"	"244"	"12"	"2"	"0"	"1"	"3"	"2"	"6"	"495"	"0"	"495"	"0"
"255"	"12"	"106"	"118"	"14"	"319"	"12"	"13"	"4"	"4"	"3"	"2"	"3"	"492"	"0"	"492"	"0"
"256"	"13"	"107"	"70"	"13"	"218"	"15"	"28"	"3"	"3"	"1"	"0"	"5"	"356"	"0"	"356"	"0"
"257"	"14"	"108"	"132"	"9"	"76"	"1"	"3"	"1"	"3"	"5"	"0"	"4"	"234"	"0"	"234"	"0"
"258"	"Total Votes Polled"	""	"2551"	"295"	"2567"	"140"	"114"	"33"	"58"	"61"	"57"	"96"	"5972"	"0"	"5972"	"0"
"259"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"261"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"264"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"265"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"266"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"270"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"271"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"272"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"273"	"1"	"109"	"246"	"27"	"201"	"19"	"13"	"9"	"9"	"7"	"13"	"18"	"562"	"0"	"562"	"0"
"274"	"2"	"110"	"118"	"22"	"258"	"4"	"2"	"0"	"2"	"2"	"1"	"0"	"409"	"0"	"409"	"0"
"275"	"3"	"111"	"93"	"7"	"249"	"24"	"4"	"2"	"0"	"1"	"4"	"0"	"384"	"0"	"384"	"0"
"276"	"4"	"112"	"240"	"13"	"131"	"11"	"22"	"3"	"3"	"1"	"8"	"16"	"448"	"0"	"448"	"0"
"277"	"5"	"113"	"43"	"21"	"220"	"5"	"0"	"1"	"3"	"5"	"5"	"5"	"308"	"0"	"308"	"0"
"278"	"6"	"114"	"116"	"8"	"261"	"7"	"0"	"0"	"1"	"1"	"7"	"2"	"403"	"0"	"403"	"0"
"279"	"7"	"115"	"85"	"11"	"131"	"6"	"2"	"2"	"3"	"4"	"3"	"8"	"255"	"0"	"255"	"0"
"280"	"8"	"116"	"79"	"19"	"265"	"2"	"4"	"3"	"1"	"3"	"5"	"6"	"387"	"0"	"387"	"0"
"281"	"9"	"117"	"65"	"1"	"107"	"3"	"0"	"1"	"2"	"2"	"1"	"4"	"186"	"0"	"186"	"0"
"282"	"10"	"118"	"114"	"5"	"296"	"5"	"0"	"1"	"0"	"1"	"3"	"0"	"425"	"0"	"425"	"0"
"283"	"11"	"119"	"167"	"19"	"77"	"8"	"7"	"5"	"3"	"1"	"1"	"5"	"293"	"0"	"293"	"0"
"284"	"12"	"120"	"317"	"36"	"175"	"13"	"7"	"0"	"2"	"5"	"1"	"9"	"565"	"0"	"565"	"0"
"285"	"13"	"121"	"136"	"42"	"227"	"7"	"7"	"4"	"6"	"3"	"7"	"15"	"454"	"0"	"454"	"0"
"286"	"14"	"122"	"381"	"3"	"168"	"1"	"3"	"1"	"2"	"0"	"2"	"1"	"562"	"0"	"562"	"0"
"287"	"Total Votes Polled"	""	"2200"	"234"	"2766"	"115"	"71"	"32"	"37"	"36"	"61"	"89"	"5641"	"0"	"5641"	"0"
"288"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"292"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"293"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"294"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"295"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"296"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"297"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"298"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"299"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"300"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"1"	"123"	"29"	"4"	"170"	"1"	"1"	"1"	"0"	"4"	"0"	"2"	"212"	"0"	"212"	"0"
"303"	"2"	"124"	"138"	"61"	"289"	"10"	"28"	"1"	"6"	"5"	"4"	"12"	"554"	"0"	"554"	"0"
"304"	"3"	"125"	"203"	"11"	"158"	"5"	"5"	"2"	"1"	"3"	"5"	"6"	"399"	"0"	"399"	"0"
"305"	"4"	"125A"	"162"	"14"	"171"	"2"	"1"	"1"	"1"	"0"	"3"	"1"	"356"	"0"	"356"	"0"
"306"	"5"	"126"	"77"	"22"	"361"	"4"	"4"	"7"	"7"	"4"	"5"	"2"	"493"	"0"	"493"	"0"
"307"	"6"	"127"	"263"	"19"	"52"	"3"	"0"	"3"	"0"	"3"	"3"	"0"	"346"	"0"	"346"	"0"
"308"	"7"	"128"	"285"	"2"	"37"	"1"	"0"	"0"	"0"	"1"	"1"	"2"	"329"	"0"	"329"	"0"
"309"	"8"	"129"	"294"	"23"	"102"	"6"	"7"	"0"	"1"	"1"	"2"	"5"	"441"	"0"	"441"	"0"
"310"	"9"	"130"	"255"	"16"	"55"	"3"	"0"	"0"	"0"	"0"	"1"	"0"	"330"	"0"	"330"	"0"
"311"	"10"	"131"	"370"	"2"	"80"	"0"	"3"	"3"	"4"	"2"	"1"	"5"	"470"	"0"	"470"	"0"
"312"	"11"	"132"	"47"	"5"	"674"	"7"	"1"	"1"	"0"	"2"	"12"	"2"	"751"	"0"	"751"	"0"
"313"	"12"	"133"	"224"	"10"	"40"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"275"	"0"	"275"	"0"
"314"	"13"	"133A"	"151"	"2"	"79"	"3"	"2"	"2"	"1"	"1"	"2"	"7"	"250"	"0"	"250"	"0"
"315"	"14"	"134"	"110"	"5"	"121"	"7"	"3"	"1"	"1"	"1"	"1"	"5"	"255"	"0"	"255"	"0"
"316"	"Total Votes Polled"	""	"2608"	"196"	"2389"	"52"	"55"	"22"	"22"	"28"	"40"	"49"	"5461"	"0"	"5461"	"0"
"317"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"318"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"321"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"322"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"324"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"325"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"326"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"327"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"328"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"329"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"330"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"331"	"1"	"135"	"92"	"37"	"155"	"36"	"4"	"5"	"8"	"6"	"7"	"14"	"364"	"0"	"364"	"0"
"332"	"2"	"136"	"170"	"12"	"62"	"36"	"3"	"4"	"4"	"10"	"2"	"3"	"306"	"0"	"306"	"0"
"333"	"3"	"137"	"246"	"11"	"30"	"3"	"0"	"1"	"1"	"2"	"2"	"9"	"305"	"0"	"305"	"0"
"334"	"4"	"138"	"61"	"19"	"459"	"8"	"13"	"4"	"4"	"4"	"9"	"13"	"594"	"0"	"594"	"0"
"335"	"5"	"139"	"82"	"101"	"251"	"19"	"15"	"8"	"21"	"14"	"10"	"14"	"535"	"0"	"535"	"0"
"336"	"6"	"140"	"321"	"15"	"121"	"6"	"8"	"2"	"1"	"1"	"0"	"5"	"480"	"0"	"480"	"0"
"337"	"7"	"141"	"130"	"59"	"77"	"1"	"1"	"1"	"11"	"3"	"3"	"4"	"290"	"0"	"290"	"0"
"338"	"8"	"142"	"245"	"15"	"109"	"12"	"2"	"2"	"2"	"3"	"6"	"6"	"402"	"0"	"402"	"0"
"339"	"9"	"143"	"86"	"6"	"213"	"2"	"2"	"2"	"8"	"12"	"10"	"14"	"355"	"0"	"355"	"0"
"340"	"10"	"144"	"116"	"21"	"183"	"15"	"8"	"6"	"13"	"11"	"6"	"14"	"393"	"0"	"393"	"0"
"341"	"11"	"145"	"104"	"30"	"292"	"8"	"8"	"1"	"5"	"6"	"7"	"12"	"473"	"0"	"473"	"0"
"342"	"12"	"146"	"76"	"16"	"317"	"6"	"10"	"2"	"3"	"1"	"6"	"5"	"442"	"0"	"442"	"0"
"343"	"13"	"147"	"124"	"9"	"169"	"3"	"5"	"0"	"2"	"6"	"5"	"8"	"331"	"0"	"331"	"0"
"344"	"14"	"148"	"108"	"7"	"291"	"4"	"2"	"3"	"0"	"0"	"1"	"1"	"417"	"0"	"417"	"0"
"345"	"Total Votes Polled"	""	"1961"	"358"	"2729"	"159"	"81"	"41"	"83"	"79"	"74"	"122"	"5687"	"0"	"5687"	"0"
"346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"348"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"349"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"350"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"351"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"352"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"353"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"354"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"355"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"356"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"357"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"358"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"359"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"360"	"1"	"149"	"165"	"20"	"112"	"3"	"2"	"2"	"1"	"3"	"1"	"1"	"310"	"0"	"310"	"0"
"361"	"2"	"149A"	"146"	"23"	"178"	"28"	"6"	"5"	"9"	"5"	"6"	"6"	"412"	"0"	"412"	"0"
"362"	"3"	"150"	"240"	"14"	"112"	"5"	"1"	"0"	"6"	"3"	"7"	"5"	"393"	"0"	"393"	"0"
"363"	"4"	"151"	"116"	"15"	"380"	"11"	"1"	"0"	"1"	"1"	"2"	"4"	"531"	"0"	"531"	"0"
"364"	"5"	"152"	"91"	"22"	"242"	"3"	"1"	"1"	"1"	"3"	"3"	"6"	"373"	"0"	"373"	"0"
"365"	"6"	"153"	"136"	"20"	"150"	"3"	"2"	"0"	"1"	"2"	"4"	"3"	"321"	"0"	"321"	"0"
"366"	"7"	"153A"	"278"	"27"	"43"	"1"	"2"	"0"	"2"	"0"	"2"	"0"	"355"	"0"	"355"	"0"
"367"	"8"	"154"	"141"	"12"	"290"	"3"	"0"	"1"	"5"	"8"	"8"	"11"	"479"	"0"	"479"	"0"
"368"	"9"	"155"	"184"	"37"	"324"	"7"	"4"	"1"	"8"	"6"	"22"	"12"	"605"	"0"	"605"	"0"
"369"	"10"	"156"	"193"	"20"	"309"	"4"	"3"	"0"	"1"	"3"	"2"	"5"	"540"	"0"	"540"	"0"
"370"	"11"	"157"	"177"	"21"	"226"	"7"	"0"	"5"	"3"	"5"	"6"	"7"	"457"	"0"	"457"	"0"
"371"	"12"	"158"	"174"	"19"	"110"	"12"	"3"	"1"	"3"	"4"	"3"	"4"	"333"	"0"	"333"	"0"
"372"	"13"	"159"	"70"	"18"	"117"	"6"	"3"	"2"	"1"	"3"	"3"	"4"	"227"	"0"	"227"	"0"
"373"	"14"	"159A"	"112"	"22"	"97"	"12"	"3"	"0"	"3"	"4"	"3"	"5"	"261"	"0"	"261"	"0"
"374"	"Total Votes Polled"	""	"2223"	"290"	"2690"	"105"	"31"	"18"	"45"	"50"	"72"	"73"	"5597"	"0"	"5597"	"0"
"375"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"376"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"377"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"378"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"379"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"380"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"381"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"382"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"383"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"384"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"385"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"386"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"387"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"388"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"389"	"1"	"160"	"131"	"21"	"335"	"7"	"7"	"0"	"2"	"6"	"7"	"5"	"521"	"0"	"521"	"0"
"390"	"2"	"161"	"190"	"62"	"32"	"7"	"2"	"1"	"6"	"5"	"7"	"23"	"335"	"0"	"335"	"0"
"391"	"3"	"161A"	"182"	"22"	"119"	"42"	"2"	"12"	"4"	"5"	"0"	"7"	"395"	"0"	"395"	"0"
"392"	"4"	"162"	"256"	"10"	"37"	"6"	"1"	"2"	"4"	"5"	"1"	"7"	"329"	"0"	"329"	"0"
"393"	"5"	"162A"	"113"	"23"	"44"	"4"	"0"	"1"	"3"	"3"	"13"	"8"	"212"	"0"	"212"	"0"
"394"	"6"	"163"	"99"	"23"	"276"	"11"	"10"	"2"	"7"	"10"	"9"	"8"	"455"	"0"	"455"	"0"
"395"	"7"	"164"	"359"	"35"	"101"	"5"	"4"	"2"	"1"	"0"	"3"	"5"	"515"	"0"	"515"	"0"
"396"	"8"	"165"	"261"	"49"	"154"	"9"	"1"	"3"	"7"	"7"	"9"	"17"	"517"	"0"	"517"	"0"
"397"	"9"	"166"	"90"	"28"	"170"	"16"	"3"	"5"	"10"	"13"	"3"	"19"	"357"	"0"	"357"	"0"
"398"	"10"	"167"	"122"	"31"	"29"	"3"	"1"	"0"	"2"	"1"	"1"	"3"	"193"	"0"	"193"	"0"
"399"	"11"	"168"	"13"	"3"	"123"	"11"	"1"	"1"	"1"	"0"	"0"	"0"	"153"	"0"	"153"	"0"
"400"	"12"	"169"	"5"	"5"	"192"	"8"	"5"	"2"	"2"	"2"	"0"	"1"	"222"	"0"	"222"	"0"
"401"	"13"	"170"	"119"	"22"	"247"	"26"	"6"	"5"	"5"	"6"	"14"	"13"	"463"	"0"	"463"	"0"
"402"	"14"	"171"	"32"	"4"	"127"	"5"	"1"	"0"	"3"	"2"	"0"	"6"	"180"	"0"	"180"	"0"
"403"	"Total Votes Polled"	""	"1972"	"338"	"1986"	"160"	"44"	"36"	"57"	"65"	"67"	"122"	"4847"	"0"	"4847"	"0"
"404"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"405"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"406"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"407"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"408"	"Election to the State Legislative Assembly from the 240 - Rajauli (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"409"	"Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"410"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"411"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"412"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"413"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"414"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""
"415"	"Table No."	"No. & Name of Polling Station"	"NAND KISHORE CHAUDHRY"	"PRAKASH VEER"	"BANWARI RAM"	"BHOLA MANJHI"	"SURESH CHAUDHRY"	"UMESH RAJBANSHI"	"KAILASH RAM"	"BINOD CHAUDHRY"	"RAJENDRA CHAUDHRY"	"SHURES RAM"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"416"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"
"417"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"418"	"1"	"172"	"57"	"9"	"205"	"13"	"2"	"3"	"5"	"9"	"7"	"12"	"322"	"0"	"322"	"0"
"419"	"2"	"173"	"108"	"29"	"155"	"13"	"4"	"4"	"6"	"12"	"12"	"36"	"379"	"0"	"379"	"0"
"420"	"3"	"173A"	"86"	"18"	"166"	"4"	"2"	"5"	"4"	"5"	"10"	"26"	"326"	"0"	"326"	"0"
"421"	"4"	"174"	"136"	"80"	"64"	"20"	"11"	"12"	"24"	"9"	"5"	"14"	"375"	"0"	"375"	"0"
