"Form...20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"218"	"12"	"96"	"24"	"5"	"61"	"13"	"8"	"528"	"11"	"1"	"6"	"657"	"0"	"657"	"0"
"219"	"13"	"97"	"33"	"17"	"117"	"15"	"6"	"340"	"12"	"4"	"9"	"553"	"0"	"553"	"0"
"220"	"14"	"98"	"13"	"6"	"304"	"16"	"7"	"137"	"9"	"4"	"10"	"506"	"0"	"506"	"0"
"221"	"Total Votes Polled"	""	"555"	"130"	"1462"	"138"	"120"	"2594"	"119"	"56"	"144"	"5318"	"0"	"5318"	"241-0"
"222"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"223"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"224"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"225"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"226"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"227"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"228"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"232"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"233"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"234"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"235"	"1"	"99"	"39"	"7"	"96"	"16"	"15"	"288"	"17"	"3"	"11"	"492"	"0"	"492"	"0"
"236"	"2"	"99A"	"7"	"2"	"84"	"8"	"1"	"101"	"6"	"2"	"2"	"213"	"0"	"213"	"0"
"237"	"3"	"100"	"6"	"1"	"154"	"4"	"3"	"89"	"2"	"1"	"1"	"261"	"0"	"261"	"0"
"238"	"4"	"101"	"8"	"5"	"196"	"5"	"3"	"28"	"0"	"2"	"3"	"250"	"0"	"250"	"0"
"239"	"5"	"102"	"4"	"0"	"98"	"9"	"3"	"79"	"0"	"0"	"2"	"195"	"0"	"195"	"0"
"240"	"6"	"103"	"22"	"8"	"143"	"14"	"9"	"134"	"2"	"5"	"7"	"344"	"0"	"344"	"0"
"241"	"7"	"104"	"45"	"4"	"89"	"18"	"4"	"120"	"5"	"1"	"9"	"295"	"0"	"295"	"0"
"242"	"8"	"104A"	"22"	"5"	"96"	"5"	"5"	"96"	"4"	"4"	"5"	"242"	"0"	"242"	"0"
"243"	"9"	"105"	"6"	"1"	"435"	"12"	"1"	"150"	"3"	"0"	"7"	"615"	"0"	"615"	"0"
"244"	"10"	"106"	"22"	"7"	"179"	"17"	"5"	"65"	"3"	"2"	"14"	"314"	"0"	"314"	"0"
"245"	"11"	"107"	"56"	"23"	"338"	"21"	"15"	"88"	"19"	"9"	"3"	"572"	"0"	"572"	"0"
"246"	"12"	"108"	"36"	"8"	"206"	"13"	"9"	"120"	"8"	"2"	"10"	"412"	"0"	"412"	"0"
"247"	"13"	"109"	"15"	"4"	"117"	"15"	"8"	"198"	"18"	"5"	"8"	"388"	"0"	"388"	"0"
"248"	"14"	"109A"	"4"	"2"	"106"	"10"	"4"	"37"	"3"	"1"	"3"	"170"	"0"	"170"	"0"
"249"	"Total Votes Polled"	""	"292"	"77"	"2337"	"167"	"85"	"1593"	"90"	"37"	"85"	"4763"	"0"	"4763"	"241-0"
"250"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"251"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"252"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"253"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"256"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"257"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"258"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"259"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"260"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"261"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"262"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"263"	"1"	"110"	"32"	"3"	"153"	"6"	"4"	"232"	"7"	"2"	"7"	"446"	"0"	"446"	"0"
"264"	"2"	"111"	"67"	"8"	"137"	"9"	"13"	"222"	"8"	"13"	"23"	"500"	"0"	"500"	"0"
"265"	"3"	"112"	"14"	"2"	"42"	"10"	"10"	"164"	"12"	"4"	"9"	"267"	"0"	"267"	"0"
"266"	"4"	"113"	"21"	"9"	"84"	"10"	"8"	"115"	"7"	"4"	"12"	"270"	"0"	"270"	"0"
"267"	"5"	"114"	"20"	"4"	"137"	"6"	"3"	"167"	"4"	"1"	"6"	"348"	"0"	"348"	"0"
"268"	"6"	"115"	"124"	"19"	"76"	"5"	"15"	"118"	"8"	"4"	"22"	"391"	"0"	"391"	"0"
"269"	"7"	"116"	"18"	"0"	"44"	"7"	"7"	"238"	"8"	"1"	"20"	"343"	"0"	"343"	"0"
"270"	"8"	"117"	"40"	"10"	"180"	"14"	"7"	"125"	"6"	"6"	"20"	"408"	"0"	"408"	"0"
"271"	"9"	"118"	"43"	"0"	"132"	"8"	"5"	"178"	"5"	"3"	"12"	"386"	"0"	"386"	"0"
"272"	"10"	"119"	"29"	"5"	"88"	"9"	"8"	"248"	"10"	"5"	"8"	"410"	"0"	"410"	"0"
"273"	"11"	"120"	"72"	"75"	"85"	"9"	"10"	"200"	"6"	"5"	"13"	"475"	"0"	"475"	"0"
"274"	"12"	"121"	"104"	"14"	"169"	"8"	"15"	"108"	"6"	"1"	"5"	"430"	"0"	"430"	"0"
"275"	"13"	"122R"	"26"	"6"	"126"	"10"	"5"	"127"	"7"	"7"	"15"	"329"	"0"	"329"	"0"
"276"	"14"	"123"	"60"	"33"	"64"	"11"	"13"	"174"	"6"	"3"	"7"	"371"	"0"	"371"	"0"
"277"	"Total Votes Polled"	""	"670"	"188"	"1517"	"122"	"123"	"2416"	"100"	"59"	"179"	"5374"	"0"	"5374"	"241-0"
"278"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"279"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"280"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"281"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"283"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"284"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"285"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"289"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"290"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	"1"	"124"	"138"	"7"	"44"	"4"	"6"	"128"	"5"	"3"	"18"	"353"	"0"	"353"	"0"
"292"	"2"	"125"	"32"	"0"	"44"	"0"	"2"	"508"	"1"	"4"	"4"	"595"	"0"	"595"	"0"
"293"	"3"	"126"	"7"	"2"	"133"	"9"	"6"	"144"	"7"	"3"	"6"	"317"	"0"	"317"	"0"
"294"	"4"	"127"	"31"	"1"	"26"	"3"	"2"	"97"	"2"	"0"	"0"	"162"	"0"	"162"	"0"
"295"	"5"	"128"	"164"	"5"	"35"	"3"	"15"	"115"	"3"	"4"	"1"	"345"	"0"	"345"	"0"
"296"	"6"	"129"	"44"	"3"	"111"	"6"	"6"	"150"	"2"	"3"	"5"	"330"	"0"	"330"	"0"
"297"	"7"	"129A"	"71"	"8"	"154"	"9"	"6"	"108"	"1"	"4"	"4"	"365"	"0"	"365"	"0"
"298"	"8"	"130"	"50"	"11"	"112"	"5"	"10"	"189"	"6"	"1"	"4"	"388"	"0"	"388"	"0"
"299"	"9"	"130A"	"45"	"3"	"153"	"16"	"7"	"156"	"7"	"3"	"4"	"394"	"0"	"394"	"0"
"300"	"10"	"131"	"56"	"3"	"111"	"8"	"4"	"64"	"1"	"1"	"8"	"256"	"0"	"256"	"0"
"301"	"11"	"132"	"53"	"5"	"68"	"12"	"3"	"99"	"5"	"2"	"8"	"255"	"0"	"255"	"0"
"302"	"12"	"133"	"20"	"5"	"79"	"10"	"7"	"210"	"7"	"4"	"2"	"344"	"0"	"344"	"0"
"303"	"13"	"134"	"14"	"3"	"6"	"5"	"1"	"285"	"5"	"1"	"2"	"322"	"0"	"322"	"0"
"304"	"14"	"135"	"2"	"0"	"61"	"1"	"1"	"46"	"2"	"1"	"0"	"114"	"0"	"114"	"0"
"305"	"Total Votes Polled"	""	"727"	"56"	"1137"	"91"	"76"	"2299"	"54"	"34"	"66"	"4540"	"0"	"4540"	"241-0"
"306"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"308"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"309"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"311"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"312"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"313"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"314"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"315"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"316"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"317"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"318"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"319"	"1"	"135A"	"9"	"1"	"25"	"7"	"3"	"132"	"4"	"1"	"4"	"186"	"0"	"186"	"0"
"320"	"2"	"136"	"67"	"4"	"76"	"6"	"6"	"91"	"7"	"2"	"15"	"274"	"0"	"274"	"0"
"321"	"3"	"136A"	"83"	"5"	"102"	"6"	"6"	"88"	"4"	"7"	"4"	"305"	"0"	"305"	"0"
"322"	"4"	"137"	"21"	"4"	"133"	"22"	"6"	"140"	"7"	"5"	"25"	"363"	"0"	"363"	"0"
"323"	"5"	"138"	"76"	"10"	"101"	"16"	"13"	"207"	"9"	"6"	"12"	"450"	"0"	"450"	"0"
"324"	"6"	"139"	"95"	"12"	"90"	"13"	"12"	"146"	"8"	"6"	"16"	"398"	"0"	"398"	"0"
"325"	"7"	"140"	"55"	"6"	"130"	"18"	"8"	"132"	"10"	"2"	"6"	"367"	"0"	"367"	"0"
"326"	"8"	"141"	"76"	"4"	"97"	"10"	"4"	"248"	"8"	"3"	"12"	"462"	"0"	"462"	"0"
"327"	"9"	"142"	"20"	"1"	"60"	"5"	"7"	"97"	"3"	"2"	"10"	"205"	"0"	"205"	"0"
"328"	"10"	"143"	"83"	"4"	"143"	"7"	"13"	"137"	"11"	"3"	"12"	"413"	"0"	"413"	"0"
"329"	"11"	"144"	"20"	"5"	"158"	"11"	"4"	"226"	"6"	"2"	"8"	"440"	"0"	"440"	"0"
"330"	"12"	"145"	"83"	"6"	"146"	"12"	"6"	"159"	"7"	"4"	"10"	"433"	"0"	"433"	"0"
"331"	"13"	"146"	"118"	"0"	"65"	"4"	"4"	"36"	"2"	"3"	"10"	"242"	"0"	"242"	"0"
"332"	"14"	"147"	"11"	"4"	"157"	"10"	"2"	"179"	"2"	"1"	"1"	"367"	"0"	"367"	"0"
"333"	"Total Votes Polled"	""	"817"	"66"	"1483"	"147"	"94"	"2018"	"88"	"47"	"145"	"4905"	"0"	"4905"	"241-0"
"334"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"335"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"336"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"337"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"338"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"339"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"340"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"342"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"343"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"345"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"346"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"347"	"1"	"148"	"20"	"2"	"73"	"10"	"7"	"200"	"9"	"7"	"6"	"334"	"0"	"334"	"0"
"348"	"2"	"149"	"13"	"4"	"190"	"21"	"15"	"206"	"20"	"10"	"16"	"495"	"0"	"495"	"0"
"349"	"3"	"150"	"34"	"0"	"142"	"10"	"10"	"159"	"9"	"3"	"7"	"374"	"0"	"374"	"0"
"350"	"4"	"151"	"7"	"3"	"155"	"12"	"5"	"118"	"6"	"2"	"3"	"311"	"0"	"311"	"0"
"351"	"5"	"151A"	"23"	"3"	"102"	"9"	"7"	"79"	"4"	"6"	"6"	"239"	"0"	"239"	"0"
"352"	"6"	"152"	"40"	"5"	"86"	"12"	"24"	"266"	"9"	"7"	"8"	"457"	"0"	"457"	"0"
"353"	"7"	"153"	"53"	"8"	"230"	"17"	"15"	"192"	"13"	"7"	"4"	"539"	"0"	"539"	"0"
"354"	"8"	"154"	"37"	"3"	"189"	"18"	"11"	"146"	"6"	"8"	"9"	"427"	"0"	"427"	"0"
"355"	"9"	"155"	"27"	"3"	"50"	"6"	"12"	"293"	"7"	"5"	"8"	"411"	"0"	"411"	"0"
"356"	"10"	"156"	"28"	"4"	"144"	"14"	"13"	"144"	"9"	"6"	"11"	"373"	"0"	"373"	"0"
"357"	"11"	"157"	"16"	"2"	"94"	"18"	"4"	"249"	"16"	"3"	"14"	"416"	"0"	"416"	"0"
"358"	"12"	"158"	"51"	"3"	"6"	"6"	"10"	"99"	"5"	"2"	"20"	"202"	"0"	"202"	"0"
"359"	"13"	"159"	"43"	"2"	"95"	"13"	"12"	"247"	"7"	"3"	"6"	"428"	"0"	"428"	"0"
"360"	"14"	"160"	"17"	"2"	"182"	"6"	"7"	"130"	"5"	"1"	"2"	"352"	"0"	"352"	"0"
"361"	"Total Votes Polled"	""	"409"	"44"	"1738"	"172"	"152"	"2528"	"125"	"70"	"120"	"5358"	"0"	"5358"	"241-0"
"362"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"363"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"364"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"365"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"366"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"367"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"368"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"369"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"370"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"371"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"372"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"373"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"374"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"375"	"1"	"161"	"15"	"1"	"80"	"13"	"8"	"195"	"9"	"6"	"14"	"341"	"0"	"341"	"0"
"376"	"2"	"162"	"12"	"2"	"161"	"14"	"10"	"195"	"20"	"9"	"15"	"438"	"0"	"438"	"0"
"377"	"3"	"163"	"8"	"2"	"8"	"2"	"5"	"236"	"1"	"0"	"5"	"267"	"0"	"267"	"0"
"378"	"4"	"164"	"39"	"4"	"131"	"5"	"7"	"218"	"7"	"0"	"4"	"415"	"0"	"415"	"0"
"379"	"5"	"164A"	"7"	"1"	"99"	"0"	"0"	"108"	"6"	"2"	"4"	"227"	"0"	"227"	"0"
"380"	"6"	"165"	"18"	"3"	"85"	"10"	"6"	"115"	"1"	"4"	"0"	"242"	"0"	"242"	"0"
"381"	"7"	"166R"	"10"	"6"	"61"	"9"	"5"	"83"	"8"	"4"	"5"	"191"	"0"	"191"	"0"
"382"	"8"	"166AR"	"18"	"5"	"184"	"8"	"3"	"89"	"8"	"5"	"5"	"325"	"0"	"325"	"0"
"383"	"9"	"167R"	"24"	"7"	"124"	"19"	"10"	"94"	"23"	"9"	"26"	"336"	"0"	"336"	"0"
"384"	"10"	"168"	"20"	"8"	"150"	"18"	"5"	"149"	"6"	"1"	"6"	"363"	"0"	"363"	"0"
"385"	"11"	"168A"	"7"	"2"	"64"	"3"	"3"	"38"	"10"	"3"	"11"	"141"	"0"	"141"	"0"
"386"	"12"	"169"	"101"	"9"	"72"	"8"	"7"	"436"	"6"	"4"	"8"	"651"	"0"	"651"	"0"
"387"	"13"	"170"	"17"	"5"	"46"	"6"	"5"	"188"	"13"	"6"	"19"	"305"	"0"	"305"	"0"
"388"	"14"	"171"	"19"	"2"	"141"	"11"	"8"	"67"	"7"	"8"	"14"	"277"	"0"	"277"	"0"
"389"	"Total Votes Polled"	""	"315"	"57"	"1406"	"126"	"82"	"2211"	"125"	"61"	"136"	"4519"	"0"	"4519"	"241-0"
"390"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"391"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"392"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"393"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"394"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"395"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"396"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"397"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"398"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"399"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"400"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"401"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"403"	"1"	"172"	"22"	"1"	"224"	"3"	"6"	"108"	"7"	"3"	"3"	"377"	"0"	"377"	"0"
"404"	"2"	"172A"	"14"	"0"	"171"	"2"	"1"	"67"	"3"	"0"	"0"	"258"	"0"	"258"	"0"
"405"	"3"	"173"	"44"	"3"	"166"	"11"	"6"	"168"	"6"	"3"	"6"	"413"	"0"	"413"	"0"
"406"	"4"	"174"	"25"	"3"	"294"	"18"	"4"	"114"	"8"	"3"	"4"	"473"	"0"	"473"	"0"
"407"	"5"	"175"	"71"	"18"	"232"	"18"	"11"	"172"	"10"	"7"	"9"	"548"	"0"	"548"	"0"
"408"	"6"	"176"	"34"	"3"	"208"	"18"	"20"	"223"	"11"	"7"	"5"	"529"	"0"	"529"	"0"
"409"	"7"	"177"	"10"	"5"	"184"	"11"	"14"	"139"	"9"	"10"	"14"	"396"	"0"	"396"	"0"
"410"	"8"	"177A"	"24"	"1"	"100"	"8"	"8"	"91"	"6"	"1"	"8"	"247"	"0"	"247"	"0"
"411"	"9"	"178"	"31"	"4"	"153"	"11"	"6"	"157"	"6"	"5"	"7"	"380"	"0"	"380"	"0"
"412"	"10"	"179"	"14"	"1"	"45"	"5"	"2"	"535"	"3"	"0"	"1"	"606"	"0"	"606"	"0"
"413"	"11"	"180"	"28"	"11"	"302"	"14"	"11"	"176"	"7"	"8"	"8"	"565"	"0"	"565"	"0"
"414"	"12"	"181"	"28"	"3"	"153"	"1"	"6"	"93"	"5"	"2"	"2"	"293"	"0"	"293"	"0"
"415"	"13"	"181A"	"29"	"4"	"162"	"11"	"8"	"140"	"15"	"10"	"16"	"395"	"0"	"395"	"0"
"416"	"14"	"182"	"39"	"11"	"119"	"14"	"14"	"158"	"12"	"3"	"12"	"382"	"0"	"382"	"0"
"417"	"Total Votes Polled"	""	"413"	"68"	"2513"	"145"	"117"	"2341"	"108"	"62"	"95"	"5862"	"0"	"5862"	"241-0"
"418"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"419"	"Form - 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"420"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"421"	"[ See Rule 56C (2) ]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"422"	"Election to the State Legislative Assembly from the 241- Govindpur Assembly Constituency Part -1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"423"	"(To be used both for Parliamentary and Assembly Election)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"424"	"Total No. of Electors in Assembly Constituency / Segment :"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"425"	"Name of the Assembly / Segment"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"426"	"(in the case of election from a Parliamentary Constituency)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"427"	""	""	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""
"428"	"Table No."	"No. & Name of Polling Station"	"GAUTAM KAPUR"	"MUKHTAR SAYEED"	"SANJAY KUMAR PRABHAT"	"UMESH PRASAD YADAV"	"KARU RAM"	"KAUSHAL YADAV"	"MD NISHAR AHMAD"	"SHIV NANDAN KUMAR"	"HARISH CHANDRA PASWAN"	"Total of valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered Votes"
"429"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"
"430"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"431"	"1"	"183"	"6"	"0"	"34"	"1"	"4"	"294"	"5"	"2"	"4"	"350"	"0"	"350"	"0"
"432"	"2"	"184"	"26"	"7"	"222"	"18"	"9"	"127"	"10"	"5"	"14"	"438"	"0"	"438"	"0"
"433"	"3"	"185"	"61"	"12"	"256"	"21"	"12"	"150"	"11"	"8"	"10"	"541"	"0"	"541"	"0"
"434"	"4"	"186"	"31"	"9"	"305"	"25"	"14"	"140"	"7"	"5"	"7"	"543"	"0"	"543"	"0"
"435"	"5"	"187"	"101"	"14"	"136"	"11"	"10"	"193"	"13"	"9"	"16"	"503"	"0"	"503"	"0"
"436"	"6"	"187A"	"23"	"2"	"73"	"5"	"2"	"129"	"7"	"1"	"3"	"245"	"0"	"245"	"0"
