"X.FORM.20."	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"	"X..28"	"X..29"	"X..30"	"X..31"	"X..32"	"X..33"	"X..34"	"X..35"	"X..36"	"X..37"	"X..38"	"X..39"	"X..40"	"X..41"	"X..42"	"X..43"	"X..44"	"X..45"	"X..46"	"X..47"	"X..48"	"X..49"	"X..50"	"X..51"	"X..52"	"X..53"	"X..54"	"X..55"	"X..56"	"X..57"	"X..58"
"1"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"Election to the Bihar Legislative Assembly from the 235-Bodh Gaya (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"Total No. of Electors in Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"Round No. ……        1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Table No"	""	"Sl. No. of Polling Station"	""	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No.
of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	"Total no. of votes"	""	""	""	""	"Total No. of tendered votes"	""	""	""	""	""	""
"6"	""	""	""	""	""	""	"NAWAL KUMAR"	""	""	"PHOOL CHAND MANJHI"	""	"SHARMILA BHARTI"	""	""	""	"HARI MANJHI"	""	""	""	"MANOJ KUMAR"	""	""	""	""	"KARU MANJHI"	""	""	""	"TILESHWAR CHAUDHARY"	""	""	""	"RAMKESHWAR
RAM"	""	""	""	"RAM JATAN PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"79"	"4"	"39"	""	""	""	"20"	""	""	""	"66"	""	""	"7"	""	""	""	""	"186"	""	""	""	"5"	""	""	""	""	"4"	""	""	""	"5"	""	""	""	"2"	""	""	""	"14"	""	""	""	"309"	""	""	""	"0"	""	""	""	""	"309"	""	""	""	""	""	""	""	""
"80"	"5"	"40"	""	""	""	"36"	""	""	""	"4"	""	""	"4"	""	""	""	""	"378"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"2"	""	""	""	"0"	""	""	""	"2"	""	""	""	"432"	""	""	""	"0"	""	""	""	""	"432"	""	""	""	""	""	""	""	""
"81"	"6"	"40A"	""	""	""	"76"	""	""	""	"35"	""	""	"11"	""	""	""	""	"248"	""	""	""	"3"	""	""	""	""	"6"	""	""	""	"6"	""	""	""	"1"	""	""	""	"13"	""	""	""	"399"	""	""	""	"0"	""	""	""	""	"399"	""	""	""	""	""	""	""	""
"82"	"7"	"41"	""	""	""	"68"	""	""	""	"37"	""	""	"9"	""	""	""	""	"154"	""	""	""	"8"	""	""	""	""	"12"	""	""	""	"15"	""	""	""	"7"	""	""	""	"10"	""	""	""	"320"	""	""	""	"0"	""	""	""	""	"320"	""	""	""	""	""	""	""	""
"83"	"8"	"42"	""	""	""	"41"	""	""	""	"57"	""	""	"19"	""	""	""	""	"183"	""	""	""	"7"	""	""	""	""	"18"	""	""	""	"11"	""	""	""	"2"	""	""	""	"16"	""	""	""	"354"	""	""	""	"0"	""	""	""	""	"354"	""	""	""	""	""	""	""	""
"84"	"9"	"43"	""	""	""	"89"	""	""	""	"183"	""	""	"17"	""	""	""	""	"253"	""	""	""	"15"	""	""	""	""	"3"	""	""	""	"8"	""	""	""	"3"	""	""	""	"12"	""	""	""	"583"	""	""	""	"0"	""	""	""	""	"583"	""	""	""	""	""	""	""	""
"85"	"10"	"44"	""	""	""	"28"	""	""	""	"247"	""	""	"10"	""	""	""	""	"38"	""	""	""	"7"	""	""	""	""	"5"	""	""	""	"9"	""	""	""	"12"	""	""	""	"24"	""	""	""	"380"	""	""	""	"0"	""	""	""	""	"380"	""	""	""	""	""	""	""	""
"86"	"11"	"45"	""	""	""	"311"	""	""	""	"88"	""	""	"10"	""	""	""	""	"111"	""	""	""	"5"	""	""	""	""	"19"	""	""	""	"28"	""	""	""	"8"	""	""	""	"29"	""	""	""	"609"	""	""	""	"0"	""	""	""	""	"609"	""	""	""	""	""	""	""	""
"87"	"12"	"46"	""	""	""	"140"	""	""	""	"62"	""	""	"10"	""	""	""	""	"91"	""	""	""	"1"	""	""	""	""	"7"	""	""	""	"14"	""	""	""	"2"	""	""	""	"8"	""	""	""	"335"	""	""	""	"0"	""	""	""	""	"335"	""	""	""	""	""	""	""	""
"88"	"13"	"47"	""	""	""	"169"	""	""	""	"94"	""	""	"14"	""	""	""	""	"20"	""	""	""	"3"	""	""	""	""	"4"	""	""	""	"12"	""	""	""	"2"	""	""	""	"7"	""	""	""	"325"	""	""	""	"0"	""	""	""	""	"325"	""	""	""	""	""	""	""	""
"89"	"14"	"48"	""	""	""	"24"	""	""	""	"282"	""	""	"60"	""	""	""	""	"47"	""	""	""	"3"	""	""	""	""	"5"	""	""	""	"4"	""	""	""	"2"	""	""	""	"5"	""	""	""	"432"	""	""	""	"0"	""	""	""	""	"432"	""	""	""	""	""	""	""	""
"90"	"Total"	""	""	""	""	"1274"	""	""	""	"1567"	""	""	"225"	""	""	""	""	"1974"	""	""	""	"79"	""	""	""	""	"122"	""	""	""	"158"	""	""	""	"63"	""	""	""	"210"	""	""	""	"5672"	""	""	""	"0"	""	""	""	""	"5672"	""	""	""	""	""	""	""	""
"91"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"92"	"Date   22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"93"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"94"	"Table No"	"Sl. No. of Polling Station"	""	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"95"	""	""	""	""	""	"NAWAL KUMAR"	""	""	""	"PHOOL CHAND MANJHI"	""	""	"SHARMILA BHARTI"	""	""	""	""	"HARI MANJHI"	""	""	""	"MANOJ KUMAR"	""	""	""	""	"KARU MANJHI"	""	""	""	"TILESHWAR CHAUDHARY"	""	""	""	"RAMKESHWA R RAM"	""	""	""	"RAM JATAN PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"96"	"1"	"2"	""	""	""	"3"	""	""	""	"4"	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""
"97"	"1"	"49"	""	""	""	"64"	""	""	""	"187"	""	""	"14"	""	""	""	""	"6"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"6"	""	""	""	"8"	""	""	""	"11"	""	""	""	"299"	""	""	""	"0"	""	""	""	""	"299"	""	""	""	""	""	""	""	""
"98"	"2"	"50"	""	""	""	"97"	""	""	""	"130"	""	""	"29"	""	""	""	""	"78"	""	""	""	"10"	""	""	""	""	"193"	""	""	""	"53"	""	""	""	"22"	""	""	""	"28"	""	""	""	"640"	""	""	""	"0"	""	""	""	""	"640"	""	""	""	""	""	""	""	""
"99"	"3"	"51"	""	""	""	"44"	""	""	""	"107"	""	""	"3"	""	""	""	""	"121"	""	""	""	"4"	""	""	""	""	"3"	""	""	""	"6"	""	""	""	"5"	""	""	""	"8"	""	""	""	"301"	""	""	""	"0"	""	""	""	""	"301"	""	""	""	""	""	""	""	""
"100"	"4"	"52"	""	""	""	"104"	""	""	""	"137"	""	""	"12"	""	""	""	""	"148"	""	""	""	"2"	""	""	""	""	"4"	""	""	""	"13"	""	""	""	"3"	""	""	""	"23"	""	""	""	"446"	""	""	""	"0"	""	""	""	""	"446"	""	""	""	""	""	""	""	""
"101"	"5"	"53"	""	""	""	"25"	""	""	""	"152"	""	""	"12"	""	""	""	""	"129"	""	""	""	"17"	""	""	""	""	"9"	""	""	""	"5"	""	""	""	"5"	""	""	""	"10"	""	""	""	"364"	""	""	""	"0"	""	""	""	""	"364"	""	""	""	""	""	""	""	""
"102"	"6"	"54"	""	""	""	"78"	""	""	""	"177"	""	""	"45"	""	""	""	""	"239"	""	""	""	"10"	""	""	""	""	"7"	""	""	""	"12"	""	""	""	"9"	""	""	""	"11"	""	""	""	"588"	""	""	""	"0"	""	""	""	""	"588"	""	""	""	""	""	""	""	""
"103"	"7"	"55"	""	""	""	"165"	""	""	""	"135"	""	""	"14"	""	""	""	""	"157"	""	""	""	"6"	""	""	""	""	"8"	""	""	""	"41"	""	""	""	"11"	""	""	""	"28"	""	""	""	"565"	""	""	""	"0"	""	""	""	""	"565"	""	""	""	""	""	""	""	""
"104"	"8"	"56"	""	""	""	"34"	""	""	""	"121"	""	""	"13"	""	""	""	""	"1"	""	""	""	"1"	""	""	""	""	"2"	""	""	""	"3"	""	""	""	"1"	""	""	""	"11"	""	""	""	"187"	""	""	""	"0"	""	""	""	""	"187"	""	""	""	""	""	""	""	""
"105"	"9"	"57"	""	""	""	"157"	""	""	""	"61"	""	""	"23"	""	""	""	""	"46"	""	""	""	"8"	""	""	""	""	"5"	""	""	""	"12"	""	""	""	"4"	""	""	""	"12"	""	""	""	"328"	""	""	""	"0"	""	""	""	""	"328"	""	""	""	""	""	""	""	""
"106"	"10"	"58"	""	""	""	"129"	""	""	""	"43"	""	""	"8"	""	""	""	""	"173"	""	""	""	"10"	""	""	""	""	"15"	""	""	""	"25"	""	""	""	"6"	""	""	""	"12"	""	""	""	"421"	""	""	""	"0"	""	""	""	""	"421"	""	""	""	""	""	""	""	""
"107"	"11"	"59"	""	""	""	"142"	""	""	""	"74"	""	""	"14"	""	""	""	""	"196"	""	""	""	"6"	""	""	""	""	"12"	""	""	""	"16"	""	""	""	"20"	""	""	""	"16"	""	""	""	"496"	""	""	""	"0"	""	""	""	""	"496"	""	""	""	""	""	""	""	""
"108"	"12"	"60"	""	""	""	"43"	""	""	""	"101"	""	""	"17"	""	""	""	""	"189"	""	""	""	"1"	""	""	""	""	"14"	""	""	""	"13"	""	""	""	"7"	""	""	""	"16"	""	""	""	"401"	""	""	""	"0"	""	""	""	""	"401"	""	""	""	""	""	""	""	""
"109"	"13"	"61"	""	""	""	"24"	""	""	""	"105"	""	""	"11"	""	""	""	""	"205"	""	""	""	"4"	""	""	""	""	"6"	""	""	""	"5"	""	""	""	"7"	""	""	""	"17"	""	""	""	"384"	""	""	""	"0"	""	""	""	""	"384"	""	""	""	""	""	""	""	""
"110"	"14"	"62"	""	""	""	"108"	""	""	""	"214"	""	""	"24"	""	""	""	""	"150"	""	""	""	"10"	""	""	""	""	"4"	""	""	""	"16"	""	""	""	"15"	""	""	""	"19"	""	""	""	"560"	""	""	""	"0"	""	""	""	""	"560"	""	""	""	""	""	""	""	""
"111"	"Total"	""	""	""	""	"1214"	""	""	""	"1744"	""	""	"239"	""	""	""	""	"1838"	""	""	""	"90"	""	""	""	""	"284"	""	""	""	"226"	""	""	""	"123"	""	""	""	"222"	""	""	""	"5980"	""	""	""	"0"	""	""	""	""	"5980"	""	""	""	""	""	""	""	""
"112"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"113"	"Date   22-11-2005                                                                                                                                                                                          Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"114"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"115"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"116"	"Election to the Bihar Legislative Assembly from the 235-Bodh Gaya (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"117"	"Total No. of Electors in Assembly Constituency                                                                                                                    Round No. ……             6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"118"	"Table No"	"Sl. No. of Polling Station"	""	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"119"	""	""	""	""	""	"NAWAL KUMAR"	""	""	""	"PHOOL CHAND MANJHI"	""	""	"SHARMILA BHARTI"	""	""	""	""	"HARI MANJHI"	""	""	""	"MANOJ KUMAR"	""	""	""	""	"KARU MANJHI"	""	""	""	"TILESHWAR CHAUDHARY"	""	""	""	"RAMKESHWA R RAM"	""	""	""	"RAM JATAN PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"120"	"1"	"2"	""	""	""	"3"	""	""	""	"4"	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""
"121"	"1"	"63"	""	""	""	"29"	""	""	""	"199"	""	""	"10"	""	""	""	""	"96"	""	""	""	"10"	""	""	""	""	"1"	""	""	""	"9"	""	""	""	"12"	""	""	""	"9"	""	""	""	"375"	""	""	""	"0"	""	""	""	""	"375"	""	""	""	""	""	""	""	""
"122"	"2"	"64"	""	""	""	"70"	""	""	""	"26"	""	""	"13"	""	""	""	""	"322"	""	""	""	"10"	""	""	""	""	"13"	""	""	""	"9"	""	""	""	"6"	""	""	""	"10"	""	""	""	"479"	""	""	""	"0"	""	""	""	""	"479"	""	""	""	""	""	""	""	""
"123"	"3"	"65"	""	""	""	"108"	""	""	""	"306"	""	""	"31"	""	""	""	""	"200"	""	""	""	"11"	""	""	""	""	"7"	""	""	""	"15"	""	""	""	"18"	""	""	""	"43"	""	""	""	"739"	""	""	""	"0"	""	""	""	""	"739"	""	""	""	""	""	""	""	""
"124"	"4"	"66"	""	""	""	"62"	""	""	""	"113"	""	""	"7"	""	""	""	""	"148"	""	""	""	"7"	""	""	""	""	"12"	""	""	""	"9"	""	""	""	"9"	""	""	""	"10"	""	""	""	"377"	""	""	""	"0"	""	""	""	""	"377"	""	""	""	""	""	""	""	""
"125"	"5"	"67"	""	""	""	"46"	""	""	""	"107"	""	""	"21"	""	""	""	""	"300"	""	""	""	"16"	""	""	""	""	"17"	""	""	""	"15"	""	""	""	"49"	""	""	""	"26"	""	""	""	"597"	""	""	""	"0"	""	""	""	""	"597"	""	""	""	""	""	""	""	""
"126"	"6"	"68"	""	""	""	"100"	""	""	""	"40"	""	""	"10"	""	""	""	""	"483"	""	""	""	"17"	""	""	""	""	"12"	""	""	""	"14"	""	""	""	"2"	""	""	""	"12"	""	""	""	"690"	""	""	""	"0"	""	""	""	""	"690"	""	""	""	""	""	""	""	""
"127"	"7"	"69"	""	""	""	"49"	""	""	""	"210"	""	""	"12"	""	""	""	""	"124"	""	""	""	"13"	""	""	""	""	"13"	""	""	""	"19"	""	""	""	"39"	""	""	""	"50"	""	""	""	"529"	""	""	""	"0"	""	""	""	""	"529"	""	""	""	""	""	""	""	""
"128"	"8"	"70"	""	""	""	"7"	""	""	""	"72"	""	""	"6"	""	""	""	""	"63"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"5"	""	""	""	"2"	""	""	""	"4"	""	""	""	"166"	""	""	""	"0"	""	""	""	""	"166"	""	""	""	""	""	""	""	""
"129"	"9"	"71"	""	""	""	"65"	""	""	""	"11"	""	""	"5"	""	""	""	""	"87"	""	""	""	"8"	""	""	""	""	"13"	""	""	""	"8"	""	""	""	"8"	""	""	""	"8"	""	""	""	"213"	""	""	""	"0"	""	""	""	""	"213"	""	""	""	""	""	""	""	""
"130"	"10"	"72"	""	""	""	"64"	""	""	""	"39"	""	""	"8"	""	""	""	""	"297"	""	""	""	"11"	""	""	""	""	"11"	""	""	""	"13"	""	""	""	"12"	""	""	""	"28"	""	""	""	"483"	""	""	""	"0"	""	""	""	""	"483"	""	""	""	""	""	""	""	""
"131"	"11"	"73"	""	""	""	"16"	""	""	""	"102"	""	""	"9"	""	""	""	""	"239"	""	""	""	"0"	""	""	""	""	"3"	""	""	""	"1"	""	""	""	"2"	""	""	""	"7"	""	""	""	"379"	""	""	""	"0"	""	""	""	""	"379"	""	""	""	""	""	""	""	""
"132"	"12"	"74"	""	""	""	"102"	""	""	""	"73"	""	""	"14"	""	""	""	""	"152"	""	""	""	"6"	""	""	""	""	"34"	""	""	""	"36"	""	""	""	"8"	""	""	""	"22"	""	""	""	"447"	""	""	""	"0"	""	""	""	""	"447"	""	""	""	""	""	""	""	""
"133"	"13"	"75"	""	""	""	"48"	""	""	""	"160"	""	""	"8"	""	""	""	""	"207"	""	""	""	"8"	""	""	""	""	"10"	""	""	""	"8"	""	""	""	"3"	""	""	""	"7"	""	""	""	"459"	""	""	""	"0"	""	""	""	""	"459"	""	""	""	""	""	""	""	""
"134"	"14"	"76"	""	""	""	"52"	""	""	""	"149"	""	""	"3"	""	""	""	""	"120"	""	""	""	"5"	""	""	""	""	"6"	""	""	""	"11"	""	""	""	"8"	""	""	""	"16"	""	""	""	"370"	""	""	""	"0"	""	""	""	""	"370"	""	""	""	""	""	""	""	""
"135"	"Total"	""	""	""	""	"818"	""	""	""	"1607"	""	""	"157"	""	""	""	""	"2838"	""	""	""	"127"	""	""	""	""	"154"	""	""	""	"172"	""	""	""	"178"	""	""	""	"252"	""	""	""	"6303"	""	""	""	"0"	""	""	""	""	"6303"	""	""	""	""	""	""	""	""
"136"	"Place  Gaya College, Gaya"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"137"	"Date   22-11-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"138"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"139"	"(FORM 20)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"140"	"Sec rule 56(7) Final Result Sheet"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"141"	"Election to the Bihar Legislative Assembly from the 235-Bodh Gaya (SC) Assembly Constituency"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"142"	"Total No. of Electors in Assembly Constituency                                                                                                                    Round No. ……             7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"143"	"Table No"	"Sl. No. of Polling Station"	""	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL
No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	""	""	"Total no. of votes"	""	""	""	"Total No. of tendered votes"	""	""	""	""
"144"	""	""	""	""	""	"NAWAL KUMAR"	""	""	""	"PHOOL CHAND MANJHI"	""	""	"SHARMILA BHARTI"	""	""	""	""	"HARI MANJHI"	""	""	""	"MANOJ KUMAR"	""	""	""	""	"KARU MANJHI"	""	""	""	"TILESHWAR CHAUDHARY"	""	""	""	"RAMKESHWA R RAM"	""	""	""	"RAM JATAN PASWAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"145"	"1"	"2"	""	""	""	"3"	""	""	""	"4"	""	""	"5"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	""	"8"	""	""	""	"9"	""	""	""	"10"	""	""	""	"11"	""	""	""	"12"	""	""	""	"13"	""	""	""	""	"14"	""	""	""	"15"	""	""	""	""
"146"	"1"	"77"	""	""	""	"133"	""	""	""	"263"	""	""	"21"	""	""	""	""	"124"	""	""	""	"19"	""	""	""	""	"14"	""	""	""	"24"	""	""	""	"16"	""	""	""	"38"	""	""	""	"652"	""	""	""	"0"	""	""	""	""	"652"	""	""	""	""	""	""	""	""
"147"	"2"	"78"	""	""	""	"211"	""	""	""	"64"	""	""	"13"	""	""	""	""	"142"	""	""	""	"9"	""	""	""	""	"13"	""	""	""	"17"	""	""	""	"8"	""	""	""	"16"	""	""	""	"493"	""	""	""	"0"	""	""	""	""	"493"	""	""	""	""	""	""	""	""
"148"	"3"	"78A"	""	""	""	"79"	""	""	""	"55"	""	""	"8"	""	""	""	""	"178"	""	""	""	"11"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"3"	""	""	""	"8"	""	""	""	"355"	""	""	""	"0"	""	""	""	""	"355"	""	""	""	""	""	""	""	""
"149"	"4"	"79"	""	""	""	"138"	""	""	""	"214"	""	""	"18"	""	""	""	""	"199"	""	""	""	"12"	""	""	""	""	"17"	""	""	""	"20"	""	""	""	"10"	""	""	""	"13"	""	""	""	"641"	""	""	""	"0"	""	""	""	""	"641"	""	""	""	""	""	""	""	""
"150"	"5"	"80"	""	""	""	"72"	""	""	""	"59"	""	""	"1"	""	""	""	""	"172"	""	""	""	"2"	""	""	""	""	"6"	""	""	""	"7"	""	""	""	"0"	""	""	""	"4"	""	""	""	"323"	""	""	""	"0"	""	""	""	""	"323"	""	""	""	""	""	""	""	""
"151"	"6"	"81"	""	""	""	"314"	""	""	""	"24"	""	""	"25"	""	""	""	""	"125"	""	""	""	"6"	""	""	""	""	"28"	""	""	""	"34"	""	""	""	"3"	""	""	""	"21"	""	""	""	"580"	""	""	""	"0"	""	""	""	""	"580"	""	""	""	""	""	""	""	""
"152"	"7"	"82"	""	""	""	"116"	""	""	""	"15"	""	""	"8"	""	""	""	""	"160"	""	""	""	"6"	""	""	""	""	"9"	""	""	""	"14"	""	""	""	"5"	""	""	""	"8"	""	""	""	"341"	""	""	""	"0"	""	""	""	""	"341"	""	""	""	""	""	""	""	""
"153"	"8"	"83"	""	""	""	"180"	""	""	""	"36"	""	""	"8"	""	""	""	""	"243"	""	""	""	"2"	""	""	""	""	"9"	""	""	""	"13"	""	""	""	"4"	""	""	""	"6"	""	""	""	"501"	""	""	""	"0"	""	""	""	""	"501"	""	""	""	""	""	""	""	""
"154"	"9"	"84"	""	""	""	"25"	""	""	""	"58"	""	""	"5"	""	""	""	""	"162"	""	""	""	"5"	""	""	""	""	"2"	""	""	""	"4"	""	""	""	"5"	""	""	""	"5"	""	""	""	"271"	""	""	""	"0"	""	""	""	""	"271"	""	""	""	""	""	""	""	""
"155"	"10"	"85"	""	""	""	"24"	""	""	""	"99"	""	""	"6"	""	""	""	""	"86"	""	""	""	"5"	""	""	""	""	"5"	""	""	""	"5"	""	""	""	"7"	""	""	""	"14"	""	""	""	"251"	""	""	""	"0"	""	""	""	""	"251"	""	""	""	""	""	""	""	""
"156"	"11"	"86"	""	""	""	"86"	""	""	""	"58"	""	""	"6"	""	""	""	""	"149"	""	""	""	"9"	""	""	""	""	"11"	""	""	""	"29"	""	""	""	"19"	""	""	""	"18"	""	""	""	"385"	""	""	""	"0"	""	""	""	""	"385"	""	""	""	""	""	""	""	""
"157"	"12"	"87"	""	""	""	"68"	""	""	""	"84"	""	""	"23"	""	""	""	""	"312"	""	""	""	"4"	""	""	""	""	"10"	""	""	""	"11"	""	""	""	"9"	""	""	""	"21"	""	""	""	"542"	""	""	""	"0"	""	""	""	""	"542"	""	""	""	""	""	""	""	""
"158"	"13"	"88"	""	""	""	"143"	""	""	""	"87"	""	""	"10"	""	""	""	""	"57"	""	""	""	"16"	""	""	""	""	"12"	""	""	""	"8"	""	""	""	"28"	""	""	""	"47"	""	""	""	"408"	""	""	""	"0"	""	""	""	""	"408"	""	""	""	""	""	""	""	""
"159"	"14"	"89"	""	""	""	"77"	""	""	""	"94"	""	""	"39"	""	""	""	""	"243"	""	""	""	"11"	""	""	""	""	"11"	""	""	""	"8"	""	""	""	"20"	""	""	""	"6"	""	""	""	"509"	""	""	""	"0"	""	""	""	""	"509"	""	""	""	""	""	""	""	""
