"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"208"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"209"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"210"	"168"	"35"	"260"	"24"	"107"	"10"	"4"	"5"	"4"	"2"	"451"	""	"451"	""
"211"	"169"	"11"	"161"	"13"	"235"	"13"	"14"	"7"	"7"	"6"	"467"	""	"467"	""
"212"	"170"	"9"	"161"	"12"	"283"	"19"	"15"	"4"	"6"	"10"	"519"	""	"519"	""
"213"	"171"	"4"	"39"	"25"	"139"	"4"	"4"	"11"	"2"	"3"	"231"	""	"231"	""
"214"	"172"	"27"	"462"	"37"	"125"	"18"	"20"	"6"	"16"	"21"	"732"	""	"732"	""
"215"	"173"	"22"	"187"	"19"	"203"	"15"	"20"	"6"	"6"	"14"	"492"	""	"492"	""
"216"	"173A"	"8"	"36"	"6"	"328"	"8"	"9"	"2"	"1"	"3"	"401"	""	"401"	""
"217"	"174"	"10"	"61"	"5"	"310"	"10"	"10"	"5"	"4"	"7"	"422"	""	"422"	""
"218"	"175"	"9"	"115"	"25"	"310"	"9"	"4"	"2"	"2"	"9"	"485"	""	"485"	""
"219"	"175A"	"13"	"81"	"36"	"260"	"19"	"7"	"22"	"19"	"7"	"464"	""	"464"	""
"220"	"176"	"12"	"57"	"11"	"346"	"16"	"9"	"5"	"5"	"3"	"464"	""	"464"	""
"221"	"177"	"23"	"73"	"22"	"389"	"10"	"14"	"9"	"4"	"21"	"565"	""	"565"	""
"222"	"178"	"8"	"69"	"14"	"269"	"15"	"3"	"11"	"9"	"17"	"415"	""	"415"	""
"223"	"179"	"14"	"110"	"22"	"314"	"15"	"12"	"9"	"10"	"28"	"534"	""	"534"	""
"224"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"225"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"226"	"180"	"9"	"18"	"13"	"317"	"13"	"8"	"6"	"7"	"12"	"403"	""	"403"	""
"227"	"181"	"14"	"108"	"21"	"181"	"10"	"8"	"1"	"3"	"3"	"349"	""	"349"	""
"228"	"182"	"39"	"178"	"13"	"169"	"16"	"4"	"5"	"10"	"15"	"449"	""	"449"	""
"229"	"182A"	"34"	"174"	"22"	"101"	"10"	"0"	"2"	"2"	"3"	"348"	""	"348"	""
"230"	"183"	"14"	"89"	"23"	"434"	"17"	"6"	"3"	"13"	"10"	"609"	""	"609"	""
"231"	"184"	"7"	"35"	"9"	"202"	"10"	"4"	"6"	"3"	"12"	"288"	""	"288"	""
"232"	"185"	"8"	"79"	"5"	"287"	"17"	"8"	"7"	"6"	"5"	"422"	""	"422"	""
"233"	"186"	"15"	"49"	"11"	"504"	"13"	"2"	"2"	"2"	"2"	"600"	""	"600"	""
"234"	"187"	"14"	"131"	"32"	"253"	"25"	"3"	"6"	"9"	"7"	"480"	""	"480"	""
"235"	"187A"	"5"	"131"	"12"	"303"	"9"	"5"	"5"	"2"	"6"	"478"	""	"478"	""
"236"	"188"	"23"	"244"	"12"	"280"	"10"	"2"	"2"	"1"	"1"	"575"	""	"575"	""
"237"	"189"	"5"	"121"	"30"	"212"	"17"	"5"	"2"	"6"	"8"	"406"	""	"406"	""
"238"	"190"	"14"	"110"	"52"	"565"	"33"	"12"	"21"	"12"	"40"	"859"	""	"859"	""
"239"	"191"	"3"	"18"	"66"	"443"	"25"	"5"	"6"	"5"	"2"	"573"	""	"573"	""
"240"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"241"	""	"fcgkjh yky ikloku"	"egs'k ikloku"	"fo'oukFk _f\"k"	"lquhrk nsoh"	"jktsUnz izlkn gfjtu"	"odhy nkl"	"Hkos'k ikloku"	"eatw nsoh"	"lR; ukjk;.k _f\"k"	""	""	""	""
"242"	"192"	"27"	"274"	"23"	"38"	"12"	"1"	"3"	"10"	"16"	"404"	""	"404"	""
"243"	"ernku dsUnzksa ij vfHkfyf[kr erksa dh dqy la[;k"	"3670"	"37479"	"6750"	"49631"	"2982"	"2501"	"1526"	"1419"	"2505"	"108463"	"0"	"108463"	""
"244"	"Mkd eri=ksa ij vfHkfyf[kr erksa dh  la[;k ¼lHkk fuokZpu& {ks= ls fuokZpu  dh n'kk esa Hkjk tk, ½"	"0"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"3"	"8"	""	"8"	""
"245"	"Mkys x, dqy er"	"3670"	"37483"	"6750"	"49632"	"2982"	"2501"	"1526"	"1419"	"2508"	"108471"	"0"	"108471"	"0"
