"ELECTION.TO.THE.BIHAR.LEGISLATIVE.ASSEMBLY.FROM.107.BACHHWARA.A.C"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"
"1"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""
"2"	"Name of the Assembly  :  107 -  BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"3"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"264"	"179"	"50"	"43"	"7"	"134"	"10"	"103"	"347"	"0"	"347"	"0"
"265"	"179A"	"90"	"156"	"11"	"71"	"8"	"58"	"394"	"0"	"394"	"0"
"266"	"Total No. of Votes recorded on Polling
Stations"	"10024"	"33789"	"2286"	"36807"	"2085"	"17286"	"102277"	"0"	"102277"	"0"
"267"	"No. of Votes recorded on Postal Ballot
papers"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"268"	"ELECTION TO THE BIHAR LEGISLATIVE ASSEMBLY FROM 107 BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"269"	"Total No. of Electors in Assembly Constituency :"	""	""	""	""	""	""	""	""	""	""
"270"	"Name of the Assembly  :  107 -  BACHHWARA A.C"	""	""	""	""	""	""	""	""	""	""
"271"	"Sl.No of
Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	"Total of valid votes"	"No of votes"	"Total"	"No.of"
"272"	""	"Amrendra Kumar Amar"	"Awadhesh Kumar Roy"	"Dharmendra Rajak"	"Ramdeo Rai"	"Md. Moen Ansari"	"Arbind Singh"	""	""	""	"Tendered votes"
"273"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"
"274"	"Total Votes Polled"	"10026"	"33789"	"2287"	"36807"	"2085"	"17286"	"102277"	"0"	"102277"	"0"
"275"	"Place : Bazar Samiti, Begusarai"	""	""	""	""	""	""	""	""	""	""
"276"	"Date : 22-11-2005"	""	""	""	""	""	""	""	""	""	""
"277"	"Assistant Returning Officer"	""	""	""	""	""	""	""	""	""	""
"278"	"107- BACHHWARA A.C."	""	""	""	""	""	""	""	""	""	""
