"ernku.dsUnz.dh.dz0.la0"	"fuEufyf.kr.ds.i.k.esa.fn..x..fof.k.ekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"dqy.fof.k.ekU..er"	"izfr.ksfir.erksa.dh.la..k"	"X.ksx"	"fufonRr.erksa.dh.la..k"
"178"	"135"	"30"	"179"	"165"	"10"	"7"	"3"	"8"	"168"	"8"	"6"	"25"	"609"	"0"	"609"	""
"179"	"136"	"10"	"134"	"133"	"18"	"0"	"3"	"6"	"29"	"11"	"0"	"21"	"365"	"0"	"365"	""
"180"	"137"	"35"	"307"	"67"	"7"	"4"	"2"	"4"	"25"	"2"	"5"	"14"	"472"	"0"	"472"	""
"181"	"137A"	"11"	"37"	"109"	"79"	"2"	"4"	"9"	"13"	"6"	"7"	"9"	"286"	"0"	"286"	""
"182"	"138"	"16"	"72"	"320"	"19"	"6"	"6"	"3"	"39"	"9"	"5"	"19"	"514"	"0"	"514"	""
"183"	"139"	"18"	"151"	"81"	"8"	"7"	"1"	"2"	"3"	"5"	"5"	"4"	"285"	"0"	"285"	""
"184"	"140"	"32"	"99"	"292"	"20"	"4"	"9"	"6"	"11"	"17"	"12"	"41"	"543"	"0"	"543"	""
"185"	"141"	"6"	"127"	"32"	"19"	"3"	"0"	"1"	"37"	"3"	"2"	"5"	"235"	"0"	"235"	""
"186"	"141A"	"22"	"253"	"50"	"26"	"4"	"5"	"6"	"42"	"6"	"8"	"29"	"451"	"0"	"451"	""
"187"	"142"	"12"	"321"	"12"	"14"	"4"	"1"	"3"	"24"	"2"	"1"	"13"	"407"	"0"	"407"	""
"188"	"143"	"31"	"214"	"35"	"13"	"5"	"0"	"8"	"71"	"6"	"4"	"14"	"401"	"0"	"401"	""
"189"	"143A"	"14"	"107"	"23"	"19"	"3"	"6"	"1"	"69"	"4"	"8"	"23"	"277"	"0"	"277"	""
"190"	"144"	"14"	"375"	"36"	"7"	"5"	"8"	"0"	"40"	"9"	"8"	"23"	"525"	"0"	"525"	""
"191"	"145"	"7"	"233"	"75"	"16"	"1"	"0"	"0"	"4"	"10"	"4"	"21"	"371"	"0"	"371"	""
"192"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"193"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
"194"	"146"	"44"	"172"	"211"	"6"	"1"	"1"	"1"	"1"	"4"	"3"	"20"	"464"	"0"	"464"	""
"195"	"147"	"202"	"18"	"130"	"17"	"6"	"5"	"7"	"9"	"10"	"4"	"35"	"443"	"0"	"443"	""
"196"	"148"	"382"	"16"	"144"	"8"	"4"	"3"	"7"	"10"	"2"	"8"	"25"	"609"	"0"	"609"	""
"197"	"149"	"79"	"95"	"74"	"5"	"3"	"1"	"3"	"17"	"4"	"6"	"15"	"302"	"0"	"302"	""
"198"	"150"	"156"	"51"	"99"	"8"	"4"	"6"	"0"	"22"	"5"	"3"	"20"	"374"	"0"	"374"	""
"199"	"151"	"327"	"46"	"130"	"16"	"5"	"4"	"8"	"15"	"7"	"5"	"18"	"581"	"0"	"581"	""
"200"	"152"	"49"	"496"	"28"	"4"	"9"	"1"	"3"	"4"	"2"	"8"	"11"	"615"	"0"	"615"	""
"201"	"153"	"19"	"357"	"22"	"3"	"0"	"2"	"1"	"0"	"0"	"4"	"3"	"411"	"0"	"411"	""
"202"	"154"	"128"	"26"	"227"	"8"	"4"	"7"	"5"	"4"	"6"	"11"	"23"	"449"	"0"	"449"	""
"203"	"155"	"11"	"204"	"66"	"3"	"2"	"0"	"1"	"4"	"4"	"3"	"7"	"305"	"0"	"305"	""
"204"	"156"	"318"	"65"	"136"	"4"	"8"	"5"	"6"	"22"	"8"	"9"	"21"	"602"	"0"	"602"	""
"205"	"157"	"113"	"7"	"158"	"8"	"7"	"4"	"4"	"7"	"10"	"7"	"21"	"346"	"0"	"346"	""
"206"	"157A"	"219"	"21"	"125"	"5"	"0"	"0"	"4"	"11"	"4"	"0"	"8"	"397"	"0"	"397"	""
"207"	"ernku dsUnz dh dz0 la0"	"fuEufyf[kr ds i{k esa fn, x, fof/k ekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	""	""	"dqy fof/k ekU; er"	"izfr{ksfir erksa dh la[;k"	";ksx"	"fufonRr erksa dh la[;k"
"208"	""	"ufyfu eaMy"	"eqckjd gqlsu"	"fo'oukFk flag"	"lxhj vgen"	"lq/khj dqekj flag"	"pkUnq eqjeq"	"jkt dqekj ikloku"	"Jo.k ljkZQ"	"/kus'oj e.My"	"jgkuk ijohu"	"'kjhQ ljdkj"	""	""	""	""
"209"	"158"	"19"	"7"	"338"	"11"	"2"	"4"	"3"	"1"	"3"	"1"	"13"	"402"	"0"	"402"	""
"210"	"159"	"2"	"6"	"365"	"7"	"2"	"0"	"0"	"1"	"10"	"5"	"10"	"408"	"0"	"408"	""
"211"	"ernku dsUnzksa ij vfHkfyf[kr erksa dh dqy la[;k"	"5376"	"27821"	"26537"	"12262"	"1108"	"2476"	"915"	"2045"	"1119"	"1200"	"3681"	"84540"	"0"	"84540"	""
"212"	"Mkd eri=ksa ij vfHkfyf[kr erksa dh la[;k
¼lHkk fuokZpu&
{ks= ls fuokZpu dh n'kk esa Hkjk tk, ½"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"5"	"7"	""
"213"	"Mkys x, dqy er"	"5376"	"27822"	"26538"	"12262"	"1108"	"2476"	"915"	"2045"	"1119"	"1200"	"3681"	"84542"	"5"	"84547"	""
