"ernku.dsUnz.dh.la..k"	"fuEufyf.kr.vH.fFkZ.ks.ds.Ik.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"fufonr..erkssss.dh..laa.aa..k"	"izzfzzfr.kssfssfir.eri.kssaassaa.dh..laa.aa."	"dqqyqqy..fof.kekU....oaaaa.izzfzzfr.kssfssfir.erkssss.dh..laa.aa..k"
"200"	"ROUND- XI"	""	""	""	""	""	""	""	""	""	""	""	""
"201"	"B.F.->"	"1904"	"679"	"21119"	"2920"	"2003"	"25613"	"1115"	"1623"	"56976"	"0"	"0"	"56976"
"202"	"124"	"20"	"8"	"149"	"28"	"8"	"236"	"3"	"1"	"453"	""	""	"453"
"203"	"125"	"8"	"7"	"172"	"21"	"7"	"336"	"8"	"4"	"563"	""	""	"563"
"204"	"126"	"41"	"8"	"47"	"20"	"27"	"466"	"14"	"23"	"646"	""	""	"646"
"205"	"127"	"36"	"6"	"79"	"13"	"5"	"239"	"5"	"7"	"390"	""	""	"390"
"206"	"128"	"21"	"4"	"60"	"21"	"27"	"358"	"6"	"14"	"511"	""	""	"511"
"207"	"128A"	"19"	"1"	"7"	"1"	"13"	"241"	"8"	"12"	"302"	""	""	"302"
"208"	"129"	"41"	"4"	"9"	"76"	"19"	"261"	"3"	"11"	"424"	""	""	"424"
"209"	"130"	"77"	"8"	"108"	"61"	"4"	"74"	"6"	"6"	"344"	""	""	"344"
"210"	"131"	"28"	"3"	"104"	"33"	"5"	"33"	"3"	"1"	"210"	""	""	"210"
"211"	"132"	"73"	"14"	"21"	"99"	"29"	"201"	"9"	"17"	"463"	""	""	"463"
"212"	"133"	"13"	"5"	"159"	"134"	"15"	"131"	"15"	"17"	"489"	""	""	"489"
"213"	"134"	"40"	"19"	"11"	"339"	"18"	"115"	"2"	"2"	"546"	""	""	"546"
"214"	"135"	"23"	"4"	"92"	"166"	"15"	"163"	"8"	"7"	"478"	""	""	"478"
"215"	"136"	"171"	"11"	"83"	"67"	"10"	"65"	"7"	"19"	"433"	""	""	"433"
"216"	"Round Total"	"611"	"102"	"1101"	"1079"	"202"	"2919"	"97"	"141"	"6252"	"0"	"0"	"6252"
"217"	"C.F.->"	"2515"	"781"	"22220"	"3999"	"2205"	"28532"	"1212"	"1764"	"63228"	"0"	"0"	"63228"
"218"	"-1303"	""	""	""	""	""	""	""	""	""	""	""	""
"219"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"220"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"221"	"ROUND -XII"	""	""	""	""	""	""	""	""	""	""	""	""
"222"	"B.F.->"	"2515"	"781"	"22220"	"3999"	"2205"	"28532"	"1212"	"1764"	"63228"	"0"	"0"	"63228"
"223"	"137"	"17"	"4"	"121"	"91"	"8"	"67"	"6"	"19"	"333"	""	""	"333"
"224"	"138"	"10"	"6"	"173"	"66"	"5"	"100"	"4"	"3"	"367"	""	""	"367"
"225"	"139"	"69"	"5"	"14"	"33"	"26"	"119"	"5"	"10"	"281"	""	""	"281"
"226"	"140"	"16"	"12"	"16"	"19"	"18"	"220"	"11"	"14"	"326"	""	""	"326"
"227"	"140A"	"12"	"10"	"102"	"25"	"21"	"215"	"7"	"11"	"403"	""	""	"403"
"228"	"141"	"20"	"2"	"110"	"26"	"17"	"319"	"13"	"37"	"544"	""	""	"544"
"229"	"142"	"10"	"4"	"107"	"10"	"14"	"116"	"9"	"4"	"274"	""	""	"274"
"230"	"142A"	"98"	"7"	"146"	"12"	"17"	"91"	"12"	"21"	"404"	""	""	"404"
"231"	"143"	"28"	"4"	"137"	"8"	"3"	"3"	"4"	"7"	"194"	""	""	"194"
"232"	"144"	"34"	"2"	"141"	"29"	"5"	"13"	"3"	"3"	"230"	""	""	"230"
"233"	"144A"	"5"	"5"	"201"	"13"	"17"	"87"	"6"	"12"	"346"	""	""	"346"
"234"	"145"	"58"	"5"	"159"	"10"	"3"	"13"	"3"	"6"	"257"	""	""	"257"
"235"	"145A"	"27"	"5"	"177"	"7"	"16"	"106"	"6"	"7"	"351"	""	""	"351"
"236"	"146"	"29"	"9"	"83"	"7"	"9"	"114"	"12"	"22"	"285"	""	""	"285"
"237"	"Round Total"	"433"	"80"	"1687"	"356"	"179"	"1583"	"101"	"176"	"4595"	"0"	"0"	"4595"
"238"	"C.F.->"	"2948"	"861"	"23907"	"4355"	"2384"	"30115"	"1313"	"1940"	"67823"	"0"	"0"	"67823"
"239"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"240"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"241"	"ROUND- XIII"	""	""	""	""	""	""	""	""	""	""	""	""
"242"	"B.F.->"	"2948"	"861"	"23907"	"4355"	"2384"	"30115"	"1313"	"1940"	"67823"	"0"	"0"	"67823"
"243"	"146A"	"18"	"4"	"107"	"19"	"15"	"164"	"3"	"8"	"338"	""	""	"338"
"244"	"147"	"4"	"6"	"167"	"8"	"6"	"58"	"4"	"4"	"257"	""	""	"257"
"245"	"147A"	"39"	"3"	"104"	"10"	"7"	"55"	"8"	"10"	"236"	""	""	"236"
"246"	"148"	"62"	"16"	"25"	"30"	"45"	"328"	"5"	"10"	"521"	""	""	"521"
"247"	"149"	"55"	"2"	"3"	"2"	"2"	"252"	"9"	"7"	"332"	""	""	"332"
"248"	"150"	"178"	"10"	"12"	"10"	"10"	"183"	"8"	"13"	"424"	""	""	"424"
"249"	"151"	"3"	"0"	"204"	"32"	"3"	"24"	"1"	"4"	"271"	""	""	"271"
"250"	"151A"	"23"	"12"	"240"	"10"	"7"	"69"	"2"	"2"	"365"	""	""	"365"
"251"	"152"	"29"	"8"	"17"	"21"	"8"	"223"	"7"	"8"	"321"	""	""	"321"
"252"	"152A"	"10"	"3"	"10"	"7"	"4"	"171"	"4"	"7"	"216"	""	""	"216"
"253"	"153"	"0"	"1"	"0"	"9"	"1"	"101"	"1"	"0"	"113"	""	""	"113"
"254"	"154"	"36"	"10"	"179"	"17"	"10"	"154"	"11"	"11"	"428"	""	""	"428"
"255"	"155"	"64"	"4"	"104"	"19"	"26"	"364"	"24"	"18"	"623"	""	""	"623"
"256"	"156"	"61"	"3"	"175"	"7"	"3"	"99"	"9"	"9"	"366"	""	""	"366"
"257"	"Round Total"	"582"	"82"	"1347"	"201"	"147"	"2245"	"96"	"111"	"4811"	"0"	"0"	"4811"
"258"	"C.F.->"	"3530"	"943"	"25254"	"4556"	"2531"	"32360"	"1409"	"2051"	"72634"	"0"	"0"	"72634"
"259"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"260"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"261"	"ROUND -XIV"	""	""	""	""	""	""	""	""	""	""	""	""
"262"	"B.F.->"	"3530"	"943"	"25254"	"4556"	"2531"	"32360"	"1409"	"2051"	"72634"	"0"	"0"	"72634"
"263"	"157"	"23"	"5"	"48"	"18"	"21"	"240"	"11"	"14"	"380"	""	""	"380"
"264"	"158"	"19"	"10"	"72"	"13"	"26"	"235"	"10"	"12"	"397"	""	""	"397"
"265"	"159"	"30"	"6"	"64"	"16"	"29"	"448"	"23"	"35"	"651"	""	""	"651"
"266"	"160"	"15"	"7"	"162"	"13"	"16"	"157"	"5"	"16"	"391"	""	""	"391"
"267"	"160A"	"20"	"6"	"147"	"8"	"16"	"157"	"6"	"2"	"362"	""	""	"362"
"268"	"161"	"28"	"7"	"203"	"20"	"30"	"255"	"9"	"16"	"568"	""	""	"568"
"269"	"162"	"49"	"3"	"15"	"4"	"10"	"224"	"17"	"13"	"335"	""	""	"335"
"270"	"163"	"3"	"1"	"18"	"7"	"6"	"322"	"2"	"2"	"361"	""	""	"361"
"271"	"164"	"41"	"0"	"16"	"7"	"13"	"240"	"13"	"6"	"336"	""	""	"336"
"272"	"165"	"33"	"9"	"126"	"7"	"6"	"87"	"3"	"7"	"278"	""	""	"278"
"273"	"166"	"30"	"13"	"156"	"31"	"26"	"249"	"12"	"17"	"534"	""	""	"534"
"274"	"167"	"21"	"17"	"50"	"41"	"11"	"264"	"7"	"11"	"422"	""	""	"422"
"275"	"168"	"15"	"4"	"36"	"4"	"12"	"193"	"11"	"15"	"290"	""	""	"290"
"276"	"169"	"8"	"3"	"38"	"8"	"6"	"115"	"6"	"3"	"187"	""	""	"187"
"277"	"Round Total"	"335"	"91"	"1151"	"197"	"228"	"3186"	"135"	"169"	"5492"	"0"	"0"	"5492"
"278"	"C.F.->"	"3865"	"1034"	"26405"	"4753"	"2759"	"35546"	"1544"	"2220"	"78126"	"0"	"0"	"78126"
"279"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"280"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"281"	"ROUND- XV"	""	""	""	""	""	""	""	""	""	""	""	""
"282"	"B.F.->"	"3865"	"1034"	"26405"	"4753"	"2759"	"35546"	"1544"	"2220"	"78126"	"0"	"0"	"78126"
"283"	"170"	"4"	"3"	"31"	"46"	"13"	"182"	"10"	"9"	"298"	""	""	"298"
"284"	"171"	"16"	"2"	"38"	"58"	"9"	"165"	"7"	"4"	"299"	""	""	"299"
"285"	"172"	"18"	"8"	"94"	"8"	"25"	"133"	"13"	"20"	"319"	""	""	"319"
"286"	"172A"	"10"	"3"	"276"	"6"	"10"	"42"	"6"	"10"	"363"	""	""	"363"
"287"	"173"	"18"	"5"	"45"	"27"	"40"	"288"	"10"	"17"	"450"	""	""	"450"
"288"	"174"	"2"	"2"	"21"	"7"	"12"	"183"	"11"	"12"	"250"	""	""	"250"
"289"	"175"	"29"	"12"	"248"	"71"	"17"	"151"	"7"	"12"	"547"	""	""	"547"
"290"	"176"	"21"	"9"	"74"	"13"	"19"	"278"	"7"	"10"	"431"	""	""	"431"
"291"	"177"	"9"	"4"	"44"	"8"	"30"	"393"	"4"	"2"	"494"	""	""	"494"
"292"	"178"	"17"	"10"	"95"	"8"	"22"	"332"	"10"	"7"	"501"	""	""	"501"
"293"	"179"	"11"	"1"	"41"	"7"	"8"	"204"	"6"	"16"	"294"	""	""	"294"
"294"	"180"	"78"	"2"	"52"	"6"	"12"	"264"	"14"	"16"	"444"	""	""	"444"
"295"	"181"	"20"	"2"	"41"	"10"	"16"	"270"	"11"	"10"	"380"	""	""	"380"
"296"	"182"	"237"	"13"	"58"	"12"	"14"	"118"	"6"	"15"	"473"	""	""	"473"
"297"	"Round Total"	"490"	"76"	"1158"	"287"	"247"	"3003"	"122"	"160"	"5543"	"0"	"0"	"5543"
"298"	"C.F.->"	"4355"	"1110"	"27563"	"5040"	"3006"	"38549"	"1666"	"2380"	"83669"	"0"	"0"	"83669"
"299"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"300"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"301"	"ROUND -XVI"	""	""	""	""	""	""	""	""	""	""	""	""
"302"	"B.F.->"	"4355"	"1110"	"27563"	"5040"	"3006"	"38549"	"1666"	"2380"	"83669"	"0"	"0"	"83669"
"303"	"183"	"19"	"10"	"137"	"10"	"26"	"256"	"5"	"16"	"479"	""	""	"479"
"304"	"184"	"5"	"6"	"121"	"39"	"13"	"181"	"19"	"27"	"411"	""	""	"411"
"305"	"185"	"12"	"6"	"103"	"14"	"31"	"311"	"12"	"15"	"504"	""	""	"504"
"306"	"186"	"57"	"11"	"271"	"20"	"21"	"216"	"6"	"9"	"611"	""	""	"611"
"307"	"187"	"32"	"10"	"119"	"30"	"18"	"169"	"5"	"10"	"393"	""	""	"393"
"308"	"188"	"129"	"13"	"39"	"31"	"12"	"161"	"8"	"17"	"410"	""	""	"410"
"309"	"189"	"171"	"18"	"36"	"32"	"36"	"162"	"25"	"27"	"507"	""	""	"507"
"310"	"190"	"164"	"5"	"52"	"20"	"21"	"251"	"14"	"21"	"548"	""	""	"548"
"311"	"191"	"100"	"5"	"13"	"36"	"16"	"280"	"22"	"21"	"493"	""	""	"493"
"312"	"192"	"263"	"14"	"71"	"13"	"10"	"58"	"0"	"14"	"443"	""	""	"443"
"313"	"193"	"179"	"10"	"28"	"9"	"19"	"139"	"12"	"9"	"405"	""	""	"405"
"314"	"194"	"58"	"12"	"103"	"9"	"21"	"163"	"8"	"9"	"383"	""	""	"383"
"315"	"195"	"7"	"0"	"3"	"1"	"4"	"230"	"3"	"4"	"252"	""	""	"252"
"316"	"196"	"14"	"7"	"29"	"5"	"22"	"289"	"15"	"24"	"405"	""	""	"405"
"317"	"Round Total"	"1210"	"127"	"1125"	"269"	"270"	"2866"	"154"	"223"	"6244"	"0"	"0"	"6244"
"318"	"C.F.->"	"5565"	"1237"	"28688"	"5309"	"3276"	"41415"	"1820"	"2603"	"89913"	"0"	"0"	"89913"
"319"	""	""	""	""	""	""	""	""	""	""	""	""	""
"320"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"321"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"322"	"ROUND -XVII"	""	""	""	""	""	""	""	""	""	""	""	""
"323"	"B.F.->"	"5565"	"1237"	"28688"	"5309"	"3276"	"41415"	"1820"	"2603"	"89913"	"0"	"0"	"89913"
"324"	"197"	"35"	"7"	"57"	"15"	"13"	"378"	"5"	"10"	"520"	""	""	"520"
"325"	"198"	"24"	"6"	"104"	"10"	"11"	"270"	"14"	"13"	"452"	""	""	"452"
"326"	"199"	"9"	"2"	"112"	"5"	"11"	"146"	"5"	"3"	"293"	""	""	"293"
"327"	"200"	"25"	"8"	"352"	"20"	"24"	"223"	"9"	"14"	"675"	""	""	"675"
"328"	"201"	"7"	"4"	"187"	"19"	"22"	"303"	"10"	"15"	"567"	""	""	"567"
"329"	"202"	"134"	"15"	"67"	"31"	"27"	"286"	"14"	"13"	"587"	""	""	"587"
"330"	"203"	"28"	"8"	"64"	"37"	"39"	"301"	"15"	"9"	"501"	""	""	"501"
"331"	"204"	"13"	"8"	"198"	"14"	"6"	"148"	"4"	"5"	"396"	""	""	"396"
"332"	"205"	"8"	"5"	"56"	"16"	"16"	"248"	"10"	"13"	"372"	""	""	"372"
"333"	"206"	"12"	"8"	"69"	"5"	"9"	"327"	"15"	"14"	"459"	""	""	"459"
"334"	"207"	"24"	"10"	"34"	"10"	"23"	"305"	"5"	"7"	"418"	""	""	"418"
"335"	"208"	"41"	"3"	"106"	"6"	"10"	"113"	"9"	"17"	"305"	""	""	"305"
"336"	"208A"	"34"	"8"	"82"	"14"	"23"	"201"	"7"	"10"	"379"	""	""	"379"
"337"	"209"	"78"	"12"	"55"	"16"	"48"	"342"	"9"	"9"	"569"	""	""	"569"
"338"	"Round Total"	"472"	"104"	"1543"	"218"	"282"	"3591"	"131"	"152"	"6493"	"0"	"0"	"6493"
"339"	"C.F.->"	"6037"	"1341"	"30231"	"5527"	"3558"	"45006"	"1951"	"2755"	"96406"	"0"	"0"	"96406"
"340"	""	""	""	""	""	""	""	""	""	""	""	""	""
"341"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""	""	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"342"	""	"[kjkuUn Bkdqqjqqj"	"ehjk nssossoh"	"j.kthr ;kno"	"v'kkssdssd dqqeqqekj flaagaag"	"v:.k flaagaag"	"fd'kkssjssj dqqeqqekj"	"eqqdqqdss'ss'k dqqeqqekj flaagaag"	"jfoUnzzzz dqqeqqekj"	"dqqyqqy fof/kekU; er"	""	""	""
"343"	"ROUND -XVIII"	""	""	""	""	""	""	""	""	""	""	""	""
"344"	"B.F.->"	"6037"	"1341"	"30231"	"5527"	"3558"	"45006"	"1951"	"2755"	"96406"	"0"	"0"	"96406"
"345"	"210"	"60"	"4"	"13"	"23"	"7"	"285"	"8"	"7"	"407"	""	""	"407"
"346"	"211"	"33"	"9"	"74"	"33"	"34"	"416"	"16"	"12"	"627"	""	""	"627"
"347"	"212"	"21"	"2"	"68"	"26"	"10"	"243"	"3"	"4"	"377"	""	""	"377"
"348"	"213"	"78"	"5"	"81"	"20"	"9"	"192"	"3"	"12"	"400"	""	""	"400"
"349"	"214"	"154"	"12"	"69"	"74"	"32"	"265"	"29"	"40"	"675"	""	""	"675"
"350"	"215"	"76"	"5"	"62"	"13"	"34"	"351"	"11"	"12"	"564"	""	""	"564"
"351"	"Round Total"	"422"	"37"	"367"	"189"	"126"	"1752"	"70"	"87"	"3050"	"0"	"0"	"3050"
"352"	"C.F.->"	"6459"	"1378"	"30598"	"5716"	"3684"	"46758"	"2021"	"2842"	"99456"	"0"	"0"	"99456"
"353"	"Mkd eri=ks dh la[;k"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	""	""	"1"
"354"	"Grand Total"	"6459"	"1378"	"30598"	"5716"	"3684"	"46759"	"2021"	"2842"	"99457"	"0"	"0"	"99457"
