"NAME.OF.THE.ASSEMBLY.CONSTITUENCY.....76..Khajauli"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"
"211"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"212"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"213"	"Round 12"	"134"	"16"	"14"	"4"	"201"	"86"	"9"	"2"	"6"	"16"	"354"	""	"354"	""
"214"	""	"135"	"14"	"98"	"15"	"180"	"109"	"14"	"10"	"8"	"6"	"454"	""	"454"	""
"215"	""	"136"	"4"	"3"	"4"	"49"	"225"	"9"	"6"	"7"	"13"	"320"	""	"320"	""
"216"	""	"137"	"8"	"31"	"9"	"38"	"378"	"2"	"4"	"3"	"3"	"476"	""	"476"	""
"217"	""	"138"	"12"	"58"	"29"	"152"	"144"	"22"	"19"	"10"	"41"	"487"	""	"487"	""
"218"	""	"139"	"14"	"53"	"7"	"178"	"52"	"8"	"15"	"7"	"24"	"358"	""	"358"	""
"219"	""	"140"	"18"	"101"	"29"	"295"	"77"	"14"	"17"	"6"	"8"	"565"	""	"565"	""
"220"	""	"141"	"5"	"56"	"9"	"182"	"203"	"22"	"11"	"15"	"8"	"511"	""	"511"	""
"221"	""	"142"	"6"	"110"	"12"	"50"	"328"	"21"	"18"	"6"	"28"	"579"	""	"579"	""
"222"	""	"143"	"18"	"28"	"12"	"55"	"406"	"18"	"14"	"3"	"8"	"562"	""	"562"	""
"223"	""	"145"	"13"	"4"	"5"	"136"	"52"	"5"	"1"	"0"	"1"	"217"	""	"217"	""
"224"	""	"146"	"11"	"137"	"6"	"58"	"489"	"8"	"12"	"8"	"2"	"731"	""	"731"	""
"225"	""	"148"	"8"	"45"	"7"	"216"	"102"	"17"	"17"	"5"	"12"	"429"	""	"429"	""
"226"	""	"150"	"4"	"30"	"9"	"115"	"85"	"11"	"7"	"2"	"7"	"270"	""	"270"	""
"227"	""	"Total"	"151"	"768"	"157"	"1905"	"2736"	"180"	"153"	"86"	"177"	"6313"	""	"6313"	""
"228"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"230"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"231"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"232"	"Round 13"	"150&d"	"3"	"14"	"10"	"184"	"73"	"14"	"6"	"3"	"11"	"318"	""	"318"	""
"233"	""	"152"	"7"	"35"	"5"	"67"	"180"	"5"	"10"	"11"	"29"	"349"	""	"349"	""
"234"	""	"152&d"	"13"	"16"	"6"	"224"	"111"	"7"	"1"	"5"	"6"	"389"	""	"389"	""
"235"	""	"153"	"21"	"70"	"68"	"299"	"46"	"14"	"24"	"17"	"32"	"591"	""	"591"	""
"236"	""	"155"	"15"	"18"	"9"	"241"	"170"	"18"	"12"	"10"	"15"	"508"	""	"508"	""
"237"	""	"144"	"17"	"74"	"19"	"119"	"201"	"14"	"11"	"4"	"10"	"469"	""	"469"	""
"238"	""	"147"	"12"	"45"	"8"	"104"	"174"	"14"	"9"	"4"	"13"	"383"	""	"383"	""
"239"	""	"149"	"4"	"44"	"11"	"230"	"120"	"10"	"14"	"12"	"23"	"468"	""	"468"	""
"240"	""	"151"	"5"	"45"	"5"	"184"	"133"	"17"	"12"	"13"	"13"	"427"	""	"427"	""
"241"	""	"154"	"13"	"26"	"13"	"259"	"161"	"11"	"8"	"3"	"6"	"500"	""	"500"	""
"242"	""	"156"	"13"	"75"	"14"	"248"	"71"	"11"	"15"	"7"	"41"	"495"	""	"495"	""
"243"	""	"157"	"13"	"116"	"14"	"137"	"50"	"5"	"15"	"6"	"5"	"361"	""	"361"	""
"244"	""	"159"	"34"	"32"	"18"	"154"	"194"	"20"	"5"	"7"	"21"	"485"	""	"485"	""
"245"	""	"161"	"9"	"2"	"6"	"128"	"218"	"14"	"5"	"4"	"10"	"396"	""	"396"	""
"246"	""	"Total"	"179"	"612"	"206"	"2578"	"1902"	"174"	"147"	"106"	"235"	"6139"	""	"6139"	""
"247"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"249"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"250"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"251"	"Round 14"	"162"	"19"	"22"	"9"	"115"	"243"	"19"	"13"	"5"	"8"	"453"	""	"453"	""
"252"	""	"158"	"8"	"24"	"8"	"212"	"42"	"4"	"6"	"5"	"11"	"320"	""	"320"	""
"253"	""	"158&d"	"6"	"38"	"10"	"253"	"38"	"8"	"7"	"10"	"28"	"398"	""	"398"	""
"254"	""	"160"	"8"	"8"	"5"	"165"	"63"	"7"	"0"	"4"	"0"	"260"	""	"260"	""
"255"	""	"163"	"8"	"53"	"13"	"263"	"51"	"7"	"8"	"5"	"11"	"419"	""	"419"	""
"256"	""	"164"	"12"	"60"	"3"	"179"	"111"	"8"	"16"	"2"	"5"	"396"	""	"396"	""
"257"	""	"165"	"6"	"46"	"9"	"172"	"163"	"9"	"13"	"5"	"15"	"438"	""	"438"	""
"258"	""	"166"	"4"	"6"	"3"	"224"	"5"	"1"	"1"	"0"	"1"	"245"	""	"245"	""
"259"	""	"167"	"5"	"28"	"6"	"138"	"260"	"19"	"8"	"8"	"11"	"483"	""	"483"	""
"260"	""	"168"	"13"	"32"	"17"	"259"	"128"	"17"	"9"	"11"	"9"	"495"	""	"495"	""
"261"	""	"169"	"22"	"38"	"5"	"474"	"71"	"8"	"7"	"7"	"7"	"639"	""	"639"	""
"262"	""	"170"	"7"	"16"	"4"	"244"	"200"	"23"	"8"	"11"	"15"	"528"	""	"528"	""
"263"	""	"171"	"5"	"33"	"6"	"112"	"37"	"6"	"0"	"4"	"6"	"209"	""	"209"	""
"264"	""	"172"	"9"	"87"	"12"	"206"	"105"	"14"	"21"	"13"	"21"	"488"	""	"488"	""
"265"	""	"Total"	"132"	"491"	"110"	"3016"	"1517"	"150"	"117"	"90"	"148"	"5771"	""	"5771"	""
"266"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"268"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"269"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"270"	"Round 15"	"173"	"6"	"39"	"7"	"240"	"78"	"5"	"4"	"6"	"9"	"394"	""	"394"	""
"271"	""	"174"	"7"	"24"	"10"	"85"	"133"	"11"	"6"	"6"	"13"	"295"	""	"295"	""
"272"	""	"175"	"6"	"70"	"25"	"204"	"108"	"22"	"31"	"13"	"11"	"490"	""	"490"	""
"273"	""	"176"	"13"	"64"	"9"	"150"	"218"	"14"	"19"	"11"	"37"	"535"	""	"535"	""
"274"	""	"177"	"8"	"19"	"15"	"419"	"67"	"14"	"11"	"13"	"10"	"576"	""	"576"	""
"275"	""	"178"	"7"	"98"	"8"	"110"	"64"	"3"	"3"	"3"	"5"	"301"	""	"301"	""
"276"	""	"179"	"10"	"14"	"23"	"208"	"124"	"20"	"11"	"5"	"7"	"422"	""	"422"	""
"277"	""	"180"	"14"	"8"	"17"	"243"	"198"	"26"	"19"	"13"	"24"	"562"	""	"562"	""
"278"	""	"181"	"6"	"16"	"5"	"194"	"28"	"6"	"4"	"7"	"8"	"274"	""	"274"	""
"279"	""	"182"	"15"	"10"	"4"	"146"	"161"	"8"	"10"	"3"	"7"	"364"	""	"364"	""
"280"	""	"182&d"	"12"	"86"	"7"	"168"	"52"	"11"	"10"	"2"	"10"	"358"	""	"358"	""
"281"	""	"183"	"10"	"13"	"9"	"162"	"364"	"22"	"14"	"9"	"26"	"629"	""	"629"	""
"282"	""	"184"	"3"	"2"	"2"	"165"	"6"	"0"	"3"	"1"	"1"	"183"	""	"183"	""
"283"	""	"184&d"	"5"	"21"	"1"	"136"	"8"	"0"	"1"	"1"	"1"	"174"	""	"174"	""
"284"	""	"Total"	"122"	"484"	"142"	"2630"	"1609"	"162"	"146"	"93"	"169"	"5557"	""	"5557"	""
"285"	"Total No. of Electors in Assembly Constituency :-"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"286"	"NAME OF THE ASSEMBLY CONSTITUENCY  :- 76- Khajauli"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"287"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"288"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"289"	"FINAL RESULT SHEET [SEE RULE 56C(2){C}]"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"290"	"ELECTION OF THE LEGISLATIVE ASSEMBLY ELECTION"	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"291"	""	"Sl. No. of Polling Station"	"No. of valid votes cast in favour of"	""	""	""	""	""	""	""	""	"Total Valid Votes"	"No. of Rejecte d Votes"	"Total"	"No. of Tendered Votes"
"292"	""	""	"Chalitar Paswan"	"Dhanveer Paswan"	"Maheshwar Ram"	"Rampreet Paswan"	"Ram Lakhan Ram Raman"	"Ramashish Ram"	"Lalo Paswan"	"Vishwanath Paswan"	"Surya Narayan Ram"	""	""	""	""
"293"	""	""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	""	""	""	""
"294"	"Round 16"	"185"	"16"	"20"	"10"	"108"	"77"	"14"	"10"	"4"	"2"	"261"	""	"261"	""
"295"	""	"186"	"17"	"21"	"20"	"270"	"186"	"21"	"17"	"10"	"21"	"583"	""	"583"	""
"296"	""	"187"	"13"	"316"	"27"	"116"	"110"	"7"	"29"	"15"	"25"	"658"	""	"658"	""
"297"	""	"188"	"14"	"25"	"12"	"218"	"30"	"6"	"2"	"3"	"3"	"313"	""	"313"	""
"298"	""	"189"	"20"	"7"	"7"	"222"	"12"	"2"	"0"	"1"	"0"	"271"	""	"271"	""
"299"	""	"190"	"8"	"18"	"12"	"129"	"17"	"1"	"6"	"5"	"10"	"206"	""	"206"	""
"300"	""	"191"	"8"	"70"	"30"	"287"	"108"	"18"	"19"	"11"	"15"	"566"	""	"566"	""
"301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"302"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"303"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"304"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"305"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"306"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"307"	""	"Total"	"96"	"477"	"118"	"1350"	"540"	"69"	"83"	"49"	"76"	"2858"	""	"2858"	""
"308"	""	"Total No. of votes recorded at Polling stations"	"2511"	"9726"	"2320"	"37827"	"29687"	"2802"	"2351"	"1365"	"2893"	"91482"	""	"91482"	""
"309"	""	"No. of Votes recorded on postal ballot papers"	""	""	""	""	""	""	""	""	""	""	""	""	""
"310"	""	"TOTAL VOTES POLLED"	"2511"	"9726"	"2320"	"37827"	"29687"	"2802"	"2351"	"1365"	"2893"	"91482"	""	"91482"	""
