"X116.....flags.oj"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"
"233"	"171"	"258"	"4"	"1"	"20"	"0"	"6"	"2"	"10"	"301"	"0"	"301"	"0"
"234"	"172"	"269"	"34"	"9"	"221"	"33"	"64"	"10"	"4"	"644"	"0"	"644"	"0"
"235"	"173"	"336"	"14"	"3"	"39"	"1"	"9"	"3"	"7"	"412"	"0"	"412"	"0"
"236"	"174"	"254"	"43"	"1"	"26"	"2"	"7"	"7"	"14"	"354"	"0"	"354"	"0"
"237"	"174 A"	"49"	"22"	"3"	"153"	"2"	"21"	"1"	"3"	"254"	"0"	"254"	"0"
"238"	"175"	"254"	"13"	"5"	"51"	"5"	"19"	"7"	"13"	"367"	"0"	"367"	"0"
"239"	"ROUND 15"	"1994"	"465"	"65"	"1593"	"107"	"437"	"114"	"156"	"4931"	"0"	"4931"	"0"
"240"	"176"	"180"	"32"	"5"	"106"	"5"	"39"	"11"	"38"	"416"	"0"	"416"	"0"
"241"	"177"	"140"	"36"	"4"	"85"	"19"	"30"	"3"	"4"	"321"	"0"	"321"	"0"
"242"	"178"	"94"	"5"	"3"	"45"	"41"	"24"	"7"	"2"	"221"	"0"	"221"	"0"
"243"	"179"	"143"	"9"	"1"	"37"	"6"	"7"	"1"	"1"	"205"	"0"	"205"	"0"
"244"	"180"	"236"	"8"	"2"	"44"	"3"	"31"	"3"	"22"	"349"	"0"	"349"	"0"
"245"	"180 A"	"191"	"20"	"3"	"13"	"4"	"12"	"4"	"20"	"267"	"0"	"267"	"0"
"246"	"181"	"219"	"8"	"2"	"34"	"1"	"8"	"2"	"4"	"278"	"0"	"278"	"0"
"247"	"182"	"94"	"15"	"2"	"61"	"31"	"22"	"9"	"18"	"252"	"0"	"252"	"0"
"248"	"183"	"232"	"17"	"6"	"96"	"11"	"43"	"9"	"16"	"430"	"0"	"430"	"0"
"249"	"184"	"54"	"112"	"17"	"125"	"9"	"59"	"24"	"40"	"440"	"0"	"440"	"0"
"250"	"ROUND 16"	"1583"	"262"	"45"	"646"	"130"	"275"	"73"	"165"	"3179"	"0"	"3179"	"0"
