"Table.No."	"Sl..No..of.Polling.Station"	"X."	"X..1"	"Number.of.Valid.votes.cast.in.favour.of"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"TOTAL.No..of.valid.votes"	"X..19"	"X..20"	"X..21"	"No..of.rejected.votes"	"X..22"	"X..23"	"Total.no..of.votes"	"X..24"	"X..25"	"Total.No..of.tendered.votes"	"X..26"	"X..27"
"131"	"3"	"93"	""	""	"109"	""	""	"1"	""	""	"94"	""	""	"28"	""	""	"24"	""	""	"9"	""	""	""	"265"	""	""	"0"	""	""	"265"	""	""	""	""	""
"132"	"4"	"94"	""	""	"271"	""	""	"6"	""	""	"48"	""	""	"27"	""	""	"13"	""	""	"13"	""	""	""	"378"	""	""	"0"	""	""	"378"	""	""	""	""	""
"133"	"5"	"95"	""	""	"265"	""	""	"15"	""	""	"75"	""	""	"80"	""	""	"15"	""	""	"26"	""	""	""	"476"	""	""	"0"	""	""	"476"	""	""	""	""	""
"134"	"6"	"96"	""	""	"262"	""	""	"22"	""	""	"119"	""	""	"136"	""	""	"12"	""	""	"10"	""	""	""	"561"	""	""	"0"	""	""	"561"	""	""	""	""	""
"135"	"7"	"97"	""	""	"134"	""	""	"126"	""	""	"63"	""	""	"42"	""	""	"8"	""	""	"18"	""	""	""	"391"	""	""	"0"	""	""	"391"	""	""	""	""	""
"136"	"8"	"98"	""	""	"208"	""	""	"18"	""	""	"130"	""	""	"52"	""	""	"8"	""	""	"16"	""	""	""	"432"	""	""	"0"	""	""	"432"	""	""	""	""	""
"137"	"9"	"99"	""	""	"95"	""	""	"7"	""	""	"174"	""	""	"55"	""	""	"10"	""	""	"28"	""	""	""	"369"	""	""	"0"	""	""	"369"	""	""	""	""	""
"138"	"10"	"100"	""	""	"84"	""	""	"22"	""	""	"196"	""	""	"77"	""	""	"30"	""	""	"82"	""	""	""	"491"	""	""	"0"	""	""	"491"	""	""	""	""	""
"139"	"11"	"101"	""	""	"151"	""	""	"3"	""	""	"36"	""	""	"26"	""	""	"4"	""	""	"5"	""	""	""	"225"	""	""	"0"	""	""	"225"	""	""	""	""	""
"140"	"12"	"102"	""	""	"29"	""	""	"12"	""	""	"115"	""	""	"69"	""	""	"7"	""	""	"24"	""	""	""	"256"	""	""	"0"	""	""	"256"	""	""	""	""	""
"141"	"13"	"103"	""	""	"62"	""	""	"1"	""	""	"51"	""	""	"13"	""	""	"2"	""	""	"4"	""	""	""	"133"	""	""	"0"	""	""	"133"	""	""	""	""	""
"142"	"14"	"104"	""	""	"83"	""	""	"13"	""	""	"105"	""	""	"90"	""	""	"18"	""	""	"29"	""	""	""	"338"	""	""	"0"	""	""	"338"	""	""	""	""	""
"143"	"Total"	""	""	""	"2209"	""	""	"268"	""	""	"1346"	""	""	"789"	""	""	"178"	""	""	"310"	""	""	""	"5100"	""	""	"0"	""	""	"5100"	""	""	""	""	""
"144"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"145"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"146"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"147"	"1"	"105"	""	""	"41"	""	""	"9"	""	""	"138"	""	""	"83"	""	""	"3"	""	""	"14"	""	""	"288"	""	""	""	"0"	""	""	"288"	""	""	""	""	""
"148"	"2"	"106"	""	""	"88"	""	""	"18"	""	""	"198"	""	""	"54"	""	""	"18"	""	""	"20"	""	""	"396"	""	""	""	"0"	""	""	"396"	""	""	""	""	""
"149"	"3"	"107"	""	""	"36"	""	""	"11"	""	""	"66"	""	""	"180"	""	""	"13"	""	""	"43"	""	""	"349"	""	""	""	"0"	""	""	"349"	""	""	""	""	""
"150"	"4"	"108"	""	""	"33"	""	""	"15"	""	""	"165"	""	""	"120"	""	""	"8"	""	""	"20"	""	""	"361"	""	""	""	"0"	""	""	"361"	""	""	""	""	""
"151"	"5"	"109"	""	""	"10"	""	""	"15"	""	""	"64"	""	""	"56"	""	""	"9"	""	""	"14"	""	""	"168"	""	""	""	"0"	""	""	"168"	""	""	""	""	""
"152"	"6"	"110"	""	""	"314"	""	""	"22"	""	""	"89"	""	""	"25"	""	""	"4"	""	""	"8"	""	""	"462"	""	""	""	"0"	""	""	"462"	""	""	""	""	""
"153"	"7"	"111"	""	""	"111"	""	""	"10"	""	""	"133"	""	""	"42"	""	""	"13"	""	""	"18"	""	""	"327"	""	""	""	"0"	""	""	"327"	""	""	""	""	""
"154"	"8"	"112"	""	""	"174"	""	""	"18"	""	""	"46"	""	""	"91"	""	""	"13"	""	""	"13"	""	""	"355"	""	""	""	"0"	""	""	"355"	""	""	""	""	""
"155"	"9"	"113"	""	""	"200"	""	""	"7"	""	""	"69"	""	""	"34"	""	""	"12"	""	""	"14"	""	""	"336"	""	""	""	"0"	""	""	"336"	""	""	""	""	""
"156"	"10"	"114"	""	""	"117"	""	""	"9"	""	""	"27"	""	""	"13"	""	""	"5"	""	""	"11"	""	""	"182"	""	""	""	"0"	""	""	"182"	""	""	""	""	""
"157"	"11"	"115"	""	""	"66"	""	""	"24"	""	""	"71"	""	""	"44"	""	""	"14"	""	""	"17"	""	""	"236"	""	""	""	"0"	""	""	"236"	""	""	""	""	""
"158"	"12"	"116"	""	""	"149"	""	""	"17"	""	""	"198"	""	""	"38"	""	""	"8"	""	""	"12"	""	""	"422"	""	""	""	"0"	""	""	"422"	""	""	""	""	""
"159"	"13"	"117"	""	""	"92"	""	""	"12"	""	""	"162"	""	""	"47"	""	""	"4"	""	""	"3"	""	""	"320"	""	""	""	"0"	""	""	"320"	""	""	""	""	""
"160"	"14"	"118"	""	""	"60"	""	""	"20"	""	""	"114"	""	""	"84"	""	""	"11"	""	""	"17"	""	""	"306"	""	""	""	"0"	""	""	"306"	""	""	""	""	""
"161"	"Total"	""	""	""	"1491"	""	""	"207"	""	""	"1540"	""	""	"911"	""	""	"135"	""	""	"224"	""	""	"4508"	""	""	""	"0"	""	""	"4508"	""	""	""	""	""
"162"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"163"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"164"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"165"	"1"	"119"	""	""	"86"	""	""	"20"	""	""	"70"	""	""	"105"	""	""	"19"	""	""	"23"	""	""	"323"	""	""	""	"0"	""	""	"323"	""	""	""	""	""
"166"	"2"	"120"	""	""	"261"	""	""	"18"	""	""	"148"	""	""	"29"	""	""	"15"	""	""	"33"	""	""	"504"	""	""	""	"0"	""	""	"504"	""	""	""	""	""
"167"	"3"	"121"	""	""	"27"	""	""	"8"	""	""	"133"	""	""	"37"	""	""	"2"	""	""	"4"	""	""	"211"	""	""	""	"0"	""	""	"211"	""	""	""	""	""
"168"	"4"	"122"	""	""	"62"	""	""	"6"	""	""	"146"	""	""	"58"	""	""	"9"	""	""	"9"	""	""	"290"	""	""	""	"0"	""	""	"290"	""	""	""	""	""
"169"	"5"	"123"	""	""	"66"	""	""	"8"	""	""	"55"	""	""	"53"	""	""	"6"	""	""	"9"	""	""	"197"	""	""	""	"0"	""	""	"197"	""	""	""	""	""
"170"	"6"	"124"	""	""	"42"	""	""	"14"	""	""	"45"	""	""	"82"	""	""	"9"	""	""	"18"	""	""	"210"	""	""	""	"0"	""	""	"210"	""	""	""	""	""
"171"	"7"	"125"	""	""	"178"	""	""	"13"	""	""	"119"	""	""	"18"	""	""	"9"	""	""	"4"	""	""	"341"	""	""	""	"0"	""	""	"341"	""	""	""	""	""
"172"	"8"	"126"	""	""	"136"	""	""	"7"	""	""	"23"	""	""	"22"	""	""	"8"	""	""	"9"	""	""	"205"	""	""	""	"0"	""	""	"205"	""	""	""	""	""
"173"	"9"	"127"	""	""	"76"	""	""	"9"	""	""	"29"	""	""	"46"	""	""	"7"	""	""	"15"	""	""	"182"	""	""	""	"0"	""	""	"182"	""	""	""	""	""
"174"	"10"	"128"	""	""	"101"	""	""	"18"	""	""	"82"	""	""	"56"	""	""	"12"	""	""	"18"	""	""	"287"	""	""	""	"0"	""	""	"287"	""	""	""	""	""
"175"	"11"	"129"	""	""	"79"	""	""	"2"	""	""	"90"	""	""	"21"	""	""	"9"	""	""	"3"	""	""	"204"	""	""	""	"0"	""	""	"204"	""	""	""	""	""
"176"	"12"	"130"	""	""	"246"	""	""	"6"	""	""	"63"	""	""	"13"	""	""	"11"	""	""	"8"	""	""	"347"	""	""	""	"0"	""	""	"347"	""	""	""	""	""
"177"	"13"	"131"	""	""	"165"	""	""	"6"	""	""	"67"	""	""	"13"	""	""	"6"	""	""	"10"	""	""	"267"	""	""	""	"0"	""	""	"267"	""	""	""	""	""
"178"	"14"	"132"	""	""	"270"	""	""	"10"	""	""	"40"	""	""	"46"	""	""	"5"	""	""	"8"	""	""	"379"	""	""	""	"0"	""	""	"379"	""	""	""	""	""
"179"	"Total"	""	""	""	"1795"	""	""	"145"	""	""	"1110"	""	""	"599"	""	""	"127"	""	""	"171"	""	""	"3947"	""	""	""	"0"	""	""	"3947"	""	""	""	""	""
"180"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"181"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"182"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"183"	"1"	"133"	""	""	"123"	""	""	"7"	""	""	"177"	""	""	"27"	""	""	"8"	""	""	"17"	""	""	"359"	""	""	""	"0"	""	""	"359"	""	""	""	""	""
"184"	"2"	"134"	""	""	"103"	""	""	"14"	""	""	"202"	""	""	"105"	""	""	"10"	""	""	"27"	""	""	"461"	""	""	""	"0"	""	""	"461"	""	""	""	""	""
"185"	"3"	"135"	""	""	"149"	""	""	"2"	""	""	"99"	""	""	"22"	""	""	"2"	""	""	"9"	""	""	"283"	""	""	""	"0"	""	""	"283"	""	""	""	""	""
"186"	"4"	"136"	""	""	"35"	""	""	"8"	""	""	"96"	""	""	"81"	""	""	"11"	""	""	"27"	""	""	"258"	""	""	""	"0"	""	""	"258"	""	""	""	""	""
"187"	"5"	"137"	""	""	"106"	""	""	"21"	""	""	"50"	""	""	"60"	""	""	"13"	""	""	"20"	""	""	"270"	""	""	""	"0"	""	""	"270"	""	""	""	""	""
"188"	"6"	"138"	""	""	"84"	""	""	"5"	""	""	"34"	""	""	"30"	""	""	"4"	""	""	"11"	""	""	"168"	""	""	""	"0"	""	""	"168"	""	""	""	""	""
"189"	"7"	"139"	""	""	"194"	""	""	"17"	""	""	"66"	""	""	"93"	""	""	"13"	""	""	"29"	""	""	"412"	""	""	""	"0"	""	""	"412"	""	""	""	""	""
"190"	"8"	"140"	""	""	"214"	""	""	"10"	""	""	"222"	""	""	"15"	""	""	"5"	""	""	"4"	""	""	"470"	""	""	""	"0"	""	""	"470"	""	""	""	""	""
"191"	"9"	"140A"	""	""	"48"	""	""	"9"	""	""	"62"	""	""	"14"	""	""	"8"	""	""	"3"	""	""	"144"	""	""	""	"0"	""	""	"144"	""	""	""	""	""
"192"	"10"	"141"	""	""	"149"	""	""	"10"	""	""	"97"	""	""	"17"	""	""	"5"	""	""	"12"	""	""	"290"	""	""	""	"0"	""	""	"290"	""	""	""	""	""
"193"	"11"	"142"	""	""	"177"	""	""	"6"	""	""	"107"	""	""	"17"	""	""	"11"	""	""	"12"	""	""	"330"	""	""	""	"0"	""	""	"330"	""	""	""	""	""
"194"	"12"	"143"	""	""	"199"	""	""	"9"	""	""	"111"	""	""	"21"	""	""	"12"	""	""	"6"	""	""	"358"	""	""	""	"0"	""	""	"358"	""	""	""	""	""
"195"	"13"	"144"	""	""	"428"	""	""	"11"	""	""	"120"	""	""	"14"	""	""	"6"	""	""	"12"	""	""	"591"	""	""	""	"0"	""	""	"591"	""	""	""	""	""
"196"	"14"	"145"	""	""	"303"	""	""	"12"	""	""	"121"	""	""	"41"	""	""	"14"	""	""	"27"	""	""	"518"	""	""	""	"0"	""	""	"518"	""	""	""	""	""
"197"	"Total"	""	""	""	"2312"	""	""	"141"	""	""	"1564"	""	""	"557"	""	""	"122"	""	""	"216"	""	""	"4912"	""	""	""	"0"	""	""	"4912"	""	""	""	""	""
"198"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"199"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"200"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"201"	"1"	"145A"	""	""	"51"	""	""	"13"	""	""	"52"	""	""	"13"	""	""	"2"	""	""	"9"	""	""	"140"	""	""	""	"0"	""	""	"140"	""	""	""	""	""
"202"	"2"	"146"	""	""	"172"	""	""	"23"	""	""	"85"	""	""	"55"	""	""	"10"	""	""	"27"	""	""	"372"	""	""	""	"0"	""	""	"372"	""	""	""	""	""
"203"	"3"	"147"	""	""	"283"	""	""	"20"	""	""	"174"	""	""	"34"	""	""	"13"	""	""	"18"	""	""	"542"	""	""	""	"0"	""	""	"542"	""	""	""	""	""
"204"	"4"	"148"	""	""	"154"	""	""	"5"	""	""	"106"	""	""	"39"	""	""	"9"	""	""	"5"	""	""	"318"	""	""	""	"0"	""	""	"318"	""	""	""	""	""
"205"	"5"	"149"	""	""	"65"	""	""	"28"	""	""	"86"	""	""	"65"	""	""	"8"	""	""	"17"	""	""	"269"	""	""	""	"0"	""	""	"269"	""	""	""	""	""
"206"	"6"	"150"	""	""	"122"	""	""	"10"	""	""	"99"	""	""	"13"	""	""	"6"	""	""	"7"	""	""	"257"	""	""	""	"0"	""	""	"257"	""	""	""	""	""
"207"	"7"	"151"	""	""	"115"	""	""	"3"	""	""	"33"	""	""	"29"	""	""	"2"	""	""	"5"	""	""	"187"	""	""	""	"0"	""	""	"187"	""	""	""	""	""
"208"	"8"	"152"	""	""	"278"	""	""	"15"	""	""	"58"	""	""	"50"	""	""	"20"	""	""	"21"	""	""	"442"	""	""	""	"0"	""	""	"442"	""	""	""	""	""
"209"	"9"	"153"	""	""	"65"	""	""	"5"	""	""	"121"	""	""	"47"	""	""	"4"	""	""	"15"	""	""	"257"	""	""	""	"0"	""	""	"257"	""	""	""	""	""
"210"	"10"	"154"	""	""	"89"	""	""	"9"	""	""	"88"	""	""	"37"	""	""	"10"	""	""	"7"	""	""	"240"	""	""	""	"0"	""	""	"240"	""	""	""	""	""
"211"	"11"	"155"	""	""	"50"	""	""	"10"	""	""	"110"	""	""	"6"	""	""	"3"	""	""	"7"	""	""	"186"	""	""	""	"0"	""	""	"186"	""	""	""	""	""
"212"	"12"	"156"	""	""	"51"	""	""	"12"	""	""	"26"	""	""	"21"	""	""	"6"	""	""	"13"	""	""	"129"	""	""	""	"0"	""	""	"129"	""	""	""	""	""
"213"	"13"	"157"	""	""	"212"	""	""	"19"	""	""	"39"	""	""	"20"	""	""	"4"	""	""	"8"	""	""	"302"	""	""	""	"0"	""	""	"302"	""	""	""	""	""
"214"	"14"	"158"	""	""	"114"	""	""	"15"	""	""	"208"	""	""	"42"	""	""	"8"	""	""	"7"	""	""	"394"	""	""	""	"0"	""	""	"394"	""	""	""	""	""
"215"	"Total"	""	""	""	"1821"	""	""	"187"	""	""	"1285"	""	""	"471"	""	""	"105"	""	""	"166"	""	""	"4035"	""	""	""	"0"	""	""	"4035"	""	""	""	""	""
"216"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"217"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"218"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"219"	"1"	"159"	""	""	"145"	""	""	"7"	""	""	"29"	""	""	"43"	""	""	"7"	""	""	"14"	""	""	"245"	""	""	""	"0"	""	""	"245"	""	""	""	""	""
"220"	"2"	"160"	""	""	"125"	""	""	"14"	""	""	"109"	""	""	"43"	""	""	"5"	""	""	"12"	""	""	"308"	""	""	""	"0"	""	""	"308"	""	""	""	""	""
"221"	"3"	"161"	""	""	"92"	""	""	"7"	""	""	"42"	""	""	"63"	""	""	"9"	""	""	"7"	""	""	"220"	""	""	""	"0"	""	""	"220"	""	""	""	""	""
"222"	"4"	"162"	""	""	"100"	""	""	"13"	""	""	"133"	""	""	"19"	""	""	"7"	""	""	"9"	""	""	"281"	""	""	""	"0"	""	""	"281"	""	""	""	""	""
"223"	"5"	"163"	""	""	"23"	""	""	"3"	""	""	"94"	""	""	"85"	""	""	"11"	""	""	"17"	""	""	"233"	""	""	""	"0"	""	""	"233"	""	""	""	""	""
"224"	"6"	"164"	""	""	"87"	""	""	"9"	""	""	"162"	""	""	"99"	""	""	"5"	""	""	"18"	""	""	"380"	""	""	""	"0"	""	""	"380"	""	""	""	""	""
"225"	"7"	"165"	""	""	"26"	""	""	"6"	""	""	"86"	""	""	"70"	""	""	"5"	""	""	"5"	""	""	"198"	""	""	""	"0"	""	""	"198"	""	""	""	""	""
"226"	"8"	"166"	""	""	"127"	""	""	"7"	""	""	"109"	""	""	"76"	""	""	"9"	""	""	"26"	""	""	"354"	""	""	""	"0"	""	""	"354"	""	""	""	""	""
"227"	"9"	"167"	""	""	"69"	""	""	"9"	""	""	"110"	""	""	"12"	""	""	"0"	""	""	"3"	""	""	"203"	""	""	""	"0"	""	""	"203"	""	""	""	""	""
"228"	"10"	"168"	""	""	"75"	""	""	"10"	""	""	"191"	""	""	"91"	""	""	"11"	""	""	"9"	""	""	"387"	""	""	""	"0"	""	""	"387"	""	""	""	""	""
"229"	"11"	"169"	""	""	"42"	""	""	"9"	""	""	"175"	""	""	"49"	""	""	"13"	""	""	"28"	""	""	"316"	""	""	""	"0"	""	""	"316"	""	""	""	""	""
"230"	"12"	"169A"	""	""	"48"	""	""	"8"	""	""	"122"	""	""	"67"	""	""	"11"	""	""	"20"	""	""	"276"	""	""	""	"0"	""	""	"276"	""	""	""	""	""
"231"	"13"	"170"	""	""	"92"	""	""	"9"	""	""	"52"	""	""	"42"	""	""	"7"	""	""	"21"	""	""	"223"	""	""	""	"0"	""	""	"223"	""	""	""	""	""
"232"	"14"	"171"	""	""	"59"	""	""	"6"	""	""	"100"	""	""	"25"	""	""	"6"	""	""	"16"	""	""	"212"	""	""	""	"0"	""	""	"212"	""	""	""	""	""
"233"	"Total"	""	""	""	"1110"	""	""	"117"	""	""	"1514"	""	""	"784"	""	""	"106"	""	""	"205"	""	""	"3836"	""	""	""	"0"	""	""	"3836"	""	""	""	""	""
"234"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"235"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"236"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	"9"	""	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"237"	"1"	"172"	""	""	"184"	""	""	"8"	""	""	"81"	""	""	"76"	""	""	"12"	""	""	"14"	""	""	"375"	""	""	""	"0"	""	""	"375"	""	""	""	""	""
"238"	"2"	"172A"	""	""	"47"	""	""	"4"	""	""	"35"	""	""	"72"	""	""	"3"	""	""	"10"	""	""	"171"	""	""	""	"0"	""	""	"171"	""	""	""	""	""
"239"	"3"	"173"	""	""	"21"	""	""	"6"	""	""	"123"	""	""	"77"	""	""	"5"	""	""	"15"	""	""	"247"	""	""	""	"0"	""	""	"247"	""	""	""	""	""
"240"	"4"	"173A"	""	""	"12"	""	""	"5"	""	""	"78"	""	""	"17"	""	""	"2"	""	""	"4"	""	""	"118"	""	""	""	"0"	""	""	"118"	""	""	""	""	""
"241"	"5"	"174"	""	""	"59"	""	""	"7"	""	""	"115"	""	""	"52"	""	""	"2"	""	""	"15"	""	""	"250"	""	""	""	"0"	""	""	"250"	""	""	""	""	""
"242"	"6"	"174A"	""	""	"106"	""	""	"12"	""	""	"80"	""	""	"40"	""	""	"6"	""	""	"25"	""	""	"269"	""	""	""	"0"	""	""	"269"	""	""	""	""	""
"243"	"7"	"175"	""	""	"68"	""	""	"11"	""	""	"92"	""	""	"73"	""	""	"15"	""	""	"16"	""	""	"275"	""	""	""	"0"	""	""	"275"	""	""	""	""	""
"244"	"8"	"176"	""	""	"113"	""	""	"12"	""	""	"21"	""	""	"77"	""	""	"8"	""	""	"14"	""	""	"245"	""	""	""	"0"	""	""	"245"	""	""	""	""	""
"245"	"9"	"177"	""	""	"118"	""	""	"9"	""	""	"22"	""	""	"46"	""	""	"6"	""	""	"13"	""	""	"214"	""	""	""	"0"	""	""	"214"	""	""	""	""	""
"246"	"10"	"178"	""	""	"188"	""	""	"8"	""	""	"119"	""	""	"95"	""	""	"7"	""	""	"13"	""	""	"430"	""	""	""	"0"	""	""	"430"	""	""	""	""	""
"247"	"11"	"179"	""	""	"119"	""	""	"10"	""	""	"136"	""	""	"92"	""	""	"7"	""	""	"11"	""	""	"375"	""	""	""	"0"	""	""	"375"	""	""	""	""	""
"248"	"12"	"180"	""	""	"63"	""	""	"8"	""	""	"169"	""	""	"77"	""	""	"10"	""	""	"13"	""	""	"340"	""	""	""	"0"	""	""	"340"	""	""	""	""	""
"249"	"13"	"181"	""	""	"214"	""	""	"6"	""	""	"58"	""	""	"13"	""	""	"5"	""	""	"6"	""	""	"302"	""	""	""	"0"	""	""	"302"	""	""	""	""	""
"250"	"14"	"181A"	""	""	"257"	""	""	"12"	""	""	"30"	""	""	"11"	""	""	"8"	""	""	"11"	""	""	"329"	""	""	""	"0"	""	""	"329"	""	""	""	""	""
"251"	"Total"	""	""	""	"1569"	""	""	"118"	""	""	"1159"	""	""	"818"	""	""	"96"	""	""	"180"	""	""	"3940"	""	""	""	"0"	""	""	"3940"	""	""	""	""	""
"252"	"Table No."	"Sl. No. of Polling Station"	""	""	"Number of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TOTAL No. of valid votes"	""	""	"No. of rejected votes"	""	""	"Total no. of votes"	""	""	"Total No. of tendered votes"	""	""
"253"	""	""	""	""	"UDAY NARAIN CHAUDH RY"	""	""	"YOGENDRA MANJHI"	""	""	"RAM SWAROOP PASWAN"	""	""	"RAUSHAN KUMAR"	""	""	"RAM BHAJAN MANAV"	""	""	"RAMBALI RISHIYASHAN"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"254"	"1"	"2"	""	""	"3"	""	""	"4"	""	""	"5"	""	""	"6"	""	""	"7"	""	""	"8"	""	""	""	"9"	""	""	"10"	""	""	"11"	""	""	"12"	""	""
"255"	"1"	"182"	""	""	"240"	""	""	"57"	""	""	"119"	""	""	"68"	""	""	"14"	""	""	"16"	""	""	""	"514"	""	""	"0"	""	""	"514"	""	""	""	""	""
"256"	"2"	"183"	""	""	"153"	""	""	"10"	""	""	"128"	""	""	"51"	""	""	"6"	""	""	"13"	""	""	""	"361"	""	""	"0"	""	""	"361"	""	""	""	""	""
"257"	"3"	"184"	""	""	"101"	""	""	"14"	""	""	"135"	""	""	"89"	""	""	"12"	""	""	"25"	""	""	""	"376"	""	""	"0"	""	""	"376"	""	""	""	""	""
"258"	"4"	"185"	""	""	"130"	""	""	"30"	""	""	"73"	""	""	"116"	""	""	"30"	""	""	"61"	""	""	""	"440"	""	""	"0"	""	""	"440"	""	""	""	""	""
"259"	"5"	"186"	""	""	"151"	""	""	"24"	""	""	"206"	""	""	"68"	""	""	"10"	""	""	"21"	""	""	""	"480"	""	""	"0"	""	""	"480"	""	""	""	""	""
"260"	"6"	"187"	""	""	"227"	""	""	"12"	""	""	"86"	""	""	"145"	""	""	"14"	""	""	"25"	""	""	""	"509"	""	""	"0"	""	""	"509"	""	""	""	""	""
"261"	"7"	"188"	""	""	"240"	""	""	"4"	""	""	"141"	""	""	"60"	""	""	"11"	""	""	"17"	""	""	""	"473"	""	""	"0"	""	""	"473"	""	""	""	""	""
"262"	"8"	"189"	""	""	"76"	""	""	"13"	""	""	"222"	""	""	"85"	""	""	"17"	""	""	"24"	""	""	""	"437"	""	""	"0"	""	""	"437"	""	""	""	""	""
"263"	"9"	"190"	""	""	"238"	""	""	"3"	""	""	"24"	""	""	"43"	""	""	"5"	""	""	"14"	""	""	""	"327"	""	""	"0"	""	""	"327"	""	""	""	""	""
