"Serial.No.of.Polling.Station."	"Upendar.Prasad.Singh"	"Nand.Kumar.Choudhary"	"Ram.Lakhan.Mahto"	"Sheel.Kumar.Ray"	"Pramchand.Kumar"	"Hari.Narayan.Paswan"	"Total.of.valid.Votes"	"No.of.rejected.votes"	"Total"	"No.of.Tendered.Votes"
"269"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"270"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"271"	"B.F."	"20360"	"1978"	"36257"	"32672"	"2497"	"3400"	"97164"	"0"	"97164"	"0"
"272"	"189"	"208"	"4"	"52"	"65"	"15"	"15"	"359"	""	"359"	""
"273"	"190"	"198"	"12"	"101"	"70"	"21"	"31"	"433"	""	"433"	""
"274"	"191"	"117"	"12"	"77"	"63"	"8"	"20"	"297"	""	"297"	""
"275"	"192"	"65"	"4"	"25"	"47"	"9"	"13"	"163"	""	"163"	""
"276"	"193"	"65"	"7"	"201"	"76"	"12"	"8"	"369"	""	"369"	""
"277"	"194"	"106"	"14"	"238"	"122"	"19"	"39"	"538"	""	"538"	""
"278"	"195"	"92"	"2"	"159"	"110"	"7"	"9"	"379"	""	"379"	""
"279"	"196"	"31"	"12"	"223"	"299"	"14"	"8"	"587"	""	"587"	""
"280"	"197"	"69"	"5"	"167"	"133"	"7"	"4"	"385"	""	"385"	""
"281"	"197A"	"84"	"5"	"86"	"107"	"14"	"8"	"304"	""	"304"	""
"282"	"198"	"59"	"3"	"45"	"121"	"4"	"10"	"242"	""	"242"	""
"283"	"199"	"121"	"16"	"86"	"238"	"18"	"21"	"500"	""	"500"	""
"284"	"200"	"135"	"7"	"94"	"245"	"11"	"7"	"499"	""	"499"	""
"285"	"201"	"50"	"5"	"21"	"111"	"9"	"7"	"203"	""	"203"	""
"286"	"Page Total"	"21760"	"2086"	"37832"	"34479"	"2665"	"3600"	"102422"	"0"	"102422"	"0"
"287"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"288"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"289"	"B.F."	"21760"	"2086"	"37832"	"34479"	"2665"	"3600"	"102422"	"0"	"102422"	"0"
"290"	"202"	"168"	"11"	"78"	"70"	"12"	"19"	"358"	""	"358"	""
"291"	"203"	"57"	"6"	"125"	"134"	"8"	"10"	"340"	""	"340"	""
"292"	"204"	"217"	"10"	"112"	"195"	"9"	"16"	"559"	""	"559"	""
"293"	"205"	"155"	"12"	"199"	"179"	"12"	"23"	"580"	""	"580"	""
"294"	"206"	"174"	"5"	"33"	"107"	"5"	"7"	"331"	""	"331"	""
"295"	"207"	"139"	"6"	"93"	"198"	"17"	"24"	"477"	""	"477"	""
"296"	"208"	"133"	"10"	"90"	"373"	"18"	"8"	"632"	""	"632"	""
"297"	"209"	"212"	"12"	"75"	"201"	"18"	"19"	"537"	""	"537"	""
"298"	"210"	"60"	"17"	"165"	"327"	"21"	"20"	"610"	""	"610"	""
"299"	"211"	"122"	"9"	"224"	"145"	"16"	"30"	"546"	""	"546"	""
"300"	"212"	"39"	"4"	"228"	"135"	"11"	"17"	"434"	""	"434"	""
"301"	"212A"	"69"	"1"	"100"	"104"	"9"	"12"	"295"	""	"295"	""
"302"	"213"	"116"	"5"	"156"	"105"	"12"	"23"	"417"	""	"417"	""
"303"	"214"	"274"	"9"	"50"	"182"	"14"	"31"	"560"	""	"560"	""
"304"	"Page Total"	"23695"	"2203"	"39560"	"36934"	"2847"	"3859"	"109098"	"0"	"109098"	"0"
"305"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"306"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"307"	"B.F."	"23695"	"2203"	"39560"	"36934"	"2847"	"3859"	"109098"	"0"	"109098"	"0"
"308"	"215"	"124"	"23"	"227"	"193"	"14"	"22"	"603"	""	"603"	""
"309"	"216"	"136"	"4"	"139"	"167"	"13"	"8"	"467"	""	"467"	""
"310"	"217"	"56"	"8"	"56"	"176"	"9"	"22"	"327"	""	"327"	""
"311"	"218"	"187"	"22"	"140"	"134"	"14"	"22"	"519"	""	"519"	""
"312"	"219"	"53"	"8"	"122"	"78"	"7"	"5"	"273"	""	"273"	""
"313"	"219A"	"36"	"10"	"76"	"128"	"5"	"6"	"261"	""	"261"	""
"314"	"220"	"170"	"8"	"148"	"96"	"8"	"20"	"450"	""	"450"	""
"315"	"221"	"119"	"4"	"49"	"132"	"3"	"10"	"317"	""	"317"	""
"316"	"221A"	"126"	"0"	"22"	"77"	"7"	"6"	"238"	""	"238"	""
"317"	"222"	"49"	"10"	"200"	"154"	"12"	"10"	"435"	""	"435"	""
"318"	"222A"	"211"	"5"	"26"	"62"	"15"	"14"	"333"	""	"333"	""
"319"	"223"	"40"	"18"	"215"	"171"	"12"	"23"	"479"	""	"479"	""
"320"	"224"	"240"	"10"	"117"	"131"	"11"	"20"	"529"	""	"529"	""
"321"	"225"	"184"	"5"	"95"	"109"	"7"	"19"	"419"	""	"419"	""
"322"	"Page Total"	"25426"	"2338"	"41192"	"38742"	"2984"	"4066"	"114748"	"0"	"114748"	"0"
"323"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"324"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"325"	"B.F."	"25426"	"2338"	"41192"	"38742"	"2984"	"4066"	"114748"	"0"	"114748"	"0"
"326"	"225A"	"47"	"15"	"178"	"102"	"5"	"8"	"355"	""	"355"	""
"327"	"226"	"63"	"2"	"86"	"39"	"5"	"11"	"206"	""	"206"	""
"328"	"Page Total"	"25536"	"2355"	"41456"	"38883"	"2994"	"4085"	"115309"	"0"	"115309"	"0"
"329"	"Serial
No.of Polling Station*"	"Upendar
Prasad Singh"	"Nand Kumar
Choudhary"	"Ram
Lakhan Mahto"	"Sheel
Kumar Ray"	"Pramchand
Kumar"	"Hari Narayan
Paswan"	"Total of
valid Votes"	"No.of
rejected votes"	"Total"	"No.of
Tendered Votes"
"330"	""	"A"	"B"	"C"	"D"	"E"	"F"	""	""	""	""
"331"	"Total No of votes recorded at Polling Stations"	"25536"	"2355"	"41456"	"38883"	"2994"	"4085"	"115309"	"0"	"115309"	"0"
"332"	"No. of Votes recorded on Postal ballot Papers"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	""
"333"	"Total Votes Polled"	"25536"	"2355"	"41456"	"38883"	"2994"	"4085"	"115309"	"0"	"115309"	"0"
"334"	"Place :- SAMASTIPUE COLLEGE, SAMASTIPUR"	""	""	""	""	""	""	""	""	""	""
"335"	"Returning Officer"	""	""	""	""	""	""	""	""	""	""
"336"	"98-Dalsinghsarai"	""	""	""	""	""	""	""	""	""	""
"337"	"Date:- 22nd Nov 2005                                                                                                                        Samastipur"	""	""	""	""	""	""	""	""	""	""
