"Total.No..of.Electors.in.Asembly.Constituency"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"
"1"	"Name of the Assembly Constituency : - 89 Darbhanga"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2"	"ANNEXURE XLI"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"3"	"(CHAPTER XIV, PARA 26.9) FORM 20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"4"	"FINAL RESULT SHEET [(SEE RULE 56C (2)(C)] PART I"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"5"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"149"	"133"	"99"	"13"	"233"	"5"	"0"	"29"	"1"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"287"	"-"	"287"	""
"150"	"134"	"100"	"53"	"226"	"1"	"1"	"15"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"1"	"4"	"306"	"-"	"306"	""
"151"	"135"	"101"	"16"	"194"	"1"	"0"	"8"	"1"	"1"	"0"	"0"	"0"	"1"	"2"	"4"	"4"	"11"	"243"	"-"	"243"	""
"152"	"136"	"101A"	"18"	"142"	"0"	"0"	"119"	"1"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"284"	"-"	"284"	""
"153"	"137"	"102"	"110"	"206"	"2"	"4"	"95"	"0"	"1"	"3"	"1"	"1"	"1"	"2"	"2"	"7"	"3"	"438"	"-"	"438"	""
"154"	"138"	"102A"	"14"	"133"	"2"	"1"	"8"	"0"	"5"	"4"	"1"	"2"	"0"	"0"	"2"	"3"	"0"	"175"	"-"	"175"	""
"155"	"139"	"103"	"138"	"193"	"7"	"2"	"146"	"5"	"0"	"6"	"4"	"3"	"3"	"2"	"5"	"5"	"18"	"537"	"-"	"537"	""
"156"	"140"	"104"	"140"	"154"	"2"	"0"	"139"	"2"	"3"	"0"	"2"	"0"	"2"	"2"	"3"	"2"	"17"	"468"	"-"	"468"	""
"157"	"141"	"105"	"107"	"283"	"4"	"5"	"124"	"1"	"1"	"1"	"3"	"4"	"7"	"3"	"3"	"6"	"22"	"574"	"-"	"574"	""
"158"	"142"	"106"	"28"	"150"	"0"	"0"	"26"	"1"	"3"	"2"	"0"	"2"	"1"	"2"	"1"	"3"	"4"	"223"	"-"	"223"	""
"159"	"143"	"106A"	"43"	"151"	"1"	"0"	"25"	"2"	"2"	"3"	"1"	"3"	"0"	"0"	"0"	"2"	"4"	"237"	"-"	"237"	""
"160"	"144"	"107"	"35"	"363"	"5"	"1"	"32"	"1"	"0"	"4"	"0"	"1"	"0"	"0"	"2"	"12"	"11"	"467"	"-"	"467"	""
"161"	"145"	"108"	"49"	"237"	"9"	"3"	"161"	"2"	"3"	"10"	"6"	"2"	"11"	"4"	"3"	"29"	"28"	"557"	"-"	"557"	""
"162"	"146"	"109"	"11"	"294"	"6"	"5"	"3"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"2"	"6"	"4"	"335"	"-"	"335"	""
"163"	"147"	"110"	"13"	"281"	"6"	"0"	"185"	"1"	"0"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"3"	"497"	"-"	"497"	""
"164"	"148"	"111"	"14"	"394"	"5"	"0"	"3"	"1"	"1"	"1"	"1"	"0"	"0"	"1"	"0"	"2"	"3"	"426"	"-"	"426"	""
"165"	"149"	"112"	"17"	"385"	"3"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"1"	"2"	"430"	"-"	"430"	""
"166"	"150"	"113"	"6"	"119"	"2"	"1"	"191"	"2"	"1"	"0"	"0"	"0"	"0"	"5"	"0"	"0"	"4"	"331"	"-"	"331"	""
"167"	"151"	"113A"	"16"	"173"	"3"	"0"	"23"	"0"	"0"	"1"	"0"	"0"	"0"	"4"	"1"	"1"	"0"	"222"	"-"	"222"	""
"168"	"152"	"114"	"14"	"267"	"6"	"1"	"158"	"3"	"2"	"2"	"1"	"4"	"3"	"12"	"3"	"5"	"12"	"493"	"-"	"493"	""
"169"	"153"	"115"	"18"	"69"	"0"	"0"	"249"	"0"	"1"	"1"	"0"	"0"	"1"	"14"	"7"	"1"	"5"	"366"	"-"	"366"	""
"170"	"154"	"115A"	"41"	"135"	"2"	"1"	"145"	"7"	"0"	"0"	"0"	"0"	"1"	"5"	"1"	"4"	"7"	"349"	"-"	"349"	""
"171"	"155"	"116"	"16"	"100"	"4"	"5"	"310"	"8"	"0"	"2"	"1"	"5"	"2"	"1"	"4"	"3"	"5"	"466"	"-"	"466"	""
"172"	"156"	"117"	"8"	"62"	"1"	"1"	"276"	"4"	"0"	"3"	"0"	"1"	"3"	"1"	"0"	"0"	"1"	"361"	"-"	"361"	""
"173"	"157"	"117A"	"4"	"152"	"5"	"5"	"157"	"3"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"1"	"15"	"346"	"-"	"346"	""
"174"	"158"	"118"	"8"	"165"	"3"	"2"	"371"	"6"	"3"	"1"	"3"	"2"	"5"	"1"	"2"	"1"	"8"	"581"	"-"	"581"	""
"175"	"159"	"119"	"21"	"88"	"3"	"6"	"299"	"7"	"3"	"7"	"2"	"3"	"8"	"6"	"2"	"5"	"14"	"474"	"-"	"474"	""
"176"	"160"	"120"	"32"	"276"	"5"	"3"	"213"	"3"	"4"	"3"	"1"	"2"	"5"	"2"	"4"	"3"	"12"	"568"	"-"	"568"	""
"177"	"161"	"121"	"162"	"149"	"9"	"6"	"268"	"7"	"3"	"3"	"2"	"5"	"2"	"4"	"2"	"5"	"20"	"647"	"-"	"647"	""
"178"	"162"	"122"	"7"	"71"	"2"	"6"	"239"	"6"	"0"	"3"	"0"	"1"	"2"	"2"	"0"	"3"	"1"	"343"	"-"	"343"	""
"179"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"180"	""	""	"Ehsanul Haque"	"Dr. Madan Mohan Jha"	"Shamim Ahmad"	"Shivan Yadav"	"Sanjay Saraogi"	"Abdul Allam"	"Khalikujjama"	"Navin Khatik"	"Raj Kumar Kanth"	"Shrawan Chaudhary"	"Bharat Yadav"	"Md.
Mainuddin Ansari"	"Manoj Kumar Jha"	"Rajesh Kumar Singh"	"Ram Khelawan Mahto"	""	""	""	""
"181"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"182"	"163"	"123"	"3"	"84"	"3"	"4"	"362"	"1"	"1"	"1"	"1"	"5"	"2"	"2"	"0"	"1"	"1"	"471"	"-"	"471"	""
"183"	"164"	"124"	"4"	"80"	"2"	"3"	"266"	"3"	"0"	"1"	"0"	"2"	"3"	"0"	"1"	"1"	"1"	"367"	"-"	"367"	""
"184"	"165"	"125"	"12"	"112"	"1"	"1"	"422"	"4"	"4"	"1"	"1"	"1"	"4"	"0"	"0"	"10"	"4"	"577"	"-"	"577"	""
"185"	"166"	"125A"	"1"	"30"	"1"	"0"	"114"	"1"	"0"	"10"	"1"	"0"	"1"	"0"	"0"	"6"	"1"	"166"	"-"	"166"	""
"186"	"167"	"126"	"16"	"254"	"2"	"0"	"44"	"2"	"1"	"1"	"0"	"1"	"1"	"2"	"1"	"3"	"6"	"334"	"-"	"334"	""
"187"	"168"	"126A"	"20"	"234"	"6"	"1"	"12"	"1"	"2"	"2"	"0"	"2"	"1"	"0"	"0"	"5"	"3"	"289"	"-"	"289"	""
"188"	"169"	"127"	"1"	"76"	"0"	"0"	"272"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"3"	"360"	"-"	"360"	""
"189"	"170"	"127A"	"1"	"86"	"2"	"0"	"30"	"0"	"0"	"0"	"1"	"1"	"0"	"2"	"0"	"1"	"0"	"124"	"-"	"124"	""
"190"	"171"	"128"	"12"	"101"	"1"	"1"	"198"	"2"	"1"	"2"	"0"	"1"	"4"	"5"	"1"	"4"	"2"	"335"	"-"	"335"	""
"191"	"172"	"128A"	"10"	"142"	"1"	"1"	"114"	"2"	"1"	"1"	"2"	"1"	"6"	"1"	"2"	"4"	"1"	"289"	"-"	"289"	""
"192"	"173"	"129"	"5"	"50"	"2"	"2"	"290"	"2"	"0"	"4"	"3"	"2"	"3"	"5"	"3"	"4"	"2"	"377"	"-"	"377"	""
"193"	"174"	"129A"	"4"	"91"	"3"	"4"	"243"	"3"	"1"	"0"	"0"	"0"	"5"	"0"	"0"	"4"	"2"	"360"	"-"	"360"	""
"194"	"175"	"130"	"7"	"74"	"2"	"0"	"400"	"2"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"3"	"492"	"-"	"492"	""
"195"	"176"	"131"	"8"	"160"	"7"	"1"	"303"	"3"	"1"	"3"	"1"	"0"	"0"	"0"	"1"	"8"	"5"	"501"	"-"	"501"	""
"196"	"177"	"132"	"10"	"233"	"8"	"2"	"163"	"3"	"1"	"3"	"3"	"1"	"3"	"5"	"5"	"3"	"3"	"446"	"-"	"446"	""
"197"	"178"	"132A"	"11"	"195"	"2"	"0"	"67"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"279"	"-"	"279"	""
"198"	"179"	"133"	"11"	"300"	"4"	"2"	"144"	"1"	"2"	"5"	"0"	"1"	"0"	"1"	"0"	"2"	"2"	"475"	"-"	"475"	""
"199"	"180"	"133A"	"10"	"184"	"2"	"2"	"6"	"0"	"0"	"2"	"0"	"1"	"1"	"3"	"1"	"2"	"2"	"216"	"-"	"216"	""
"200"	"181"	"134"	"10"	"219"	"4"	"3"	"347"	"13"	"3"	"4"	"3"	"7"	"27"	"11"	"5"	"18"	"28"	"702"	"-"	"702"	""
"201"	"182"	"135"	"60"	"156"	"8"	"3"	"209"	"2"	"5"	"3"	"1"	"6"	"18"	"7"	"8"	"10"	"28"	"524"	"-"	"524"	""
"202"	"183"	"136"	"61"	"72"	"1"	"3"	"263"	"3"	"1"	"0"	"3"	"2"	"6"	"0"	"1"	"8"	"18"	"442"	"-"	"442"	""
"203"	"184"	"136A"	"7"	"68"	"0"	"2"	"293"	"0"	"2"	"0"	"2"	"2"	"1"	"3"	"1"	"2"	"6"	"389"	"-"	"389"	""
"204"	"185"	"137"	"8"	"104"	"5"	"5"	"372"	"7"	"3"	"5"	"2"	"3"	"8"	"3"	"1"	"8"	"33"	"567"	"-"	"567"	""
"205"	"186"	"138"	"28"	"197"	"4"	"6"	"264"	"4"	"1"	"1"	"2"	"5"	"4"	"3"	"1"	"5"	"20"	"545"	"-"	"545"	""
"206"	"187"	"139"	"1"	"29"	"1"	"2"	"202"	"2"	"0"	"19"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"257"	"-"	"257"	""
"207"	"188"	"139A"	"5"	"54"	"0"	"0"	"270"	"2"	"1"	"19"	"1"	"0"	"1"	"3"	"1"	"2"	"4"	"363"	"-"	"363"	""
"208"	"189"	"140"	"7"	"95"	"3"	"2"	"458"	"3"	"0"	"5"	"3"	"1"	"4"	"4"	"1"	"1"	"8"	"595"	"-"	"595"	""
"209"	"190"	"141"	"4"	"78"	"2"	"7"	"328"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"423"	"-"	"423"	""
"210"	"191"	"142"	"16"	"146"	"3"	"2"	"202"	"3"	"0"	"0"	"1"	"1"	"0"	"1"	"3"	"2"	"5"	"385"	"-"	"385"	""
"211"	"192"	"142A"	"2"	"83"	"3"	"1"	"186"	"0"	"1"	"0"	"1"	"2"	"2"	"0"	"0"	"0"	"2"	"283"	"-"	"283"	""
"212"	"193"	"143"	"5"	"50"	"0"	"2"	"124"	"2"	"0"	"0"	"0"	"2"	"1"	"3"	"0"	"1"	"3"	"193"	"-"	"193"	""
"213"	"194"	"143A"	"2"	"62"	"0"	"0"	"198"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"10"	"0"	"275"	"-"	"275"	""
"214"	"195"	"144"	"1"	"60"	"1"	"1"	"149"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"218"	"-"	"218"	""
"215"	"196"	"144A"	"3"	"29"	"0"	"0"	"168"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"-"	"201"	""
"216"	"197"	"145"	"1"	"61"	"0"	"2"	"215"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"-"	"282"	""
"217"	"198"	"145A"	"2"	"35"	"1"	"1"	"152"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"197"	"-"	"197"	""
"218"	"199"	"146"	"113"	"49"	"1"	"1"	"172"	"6"	"2"	"1"	"2"	"3"	"5"	"4"	"5"	"4"	"27"	"395"	"-"	"395"	""
"219"	"200"	"146A"	"11"	"42"	"1"	"1"	"203"	"0"	"1"	"2"	"3"	"0"	"0"	"1"	"0"	"1"	"1"	"267"	"-"	"267"	""
"220"	"201"	"147"	"9"	"121"	"12"	"6"	"473"	"6"	"1"	"1"	"3"	"3"	"7"	"4"	"3"	"4"	"19"	"672"	"-"	"672"	""
"221"	"202"	"148"	"15"	"48"	"1"	"1"	"72"	"4"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"3"	"147"	"-"	"147"	""
"222"	"203"	"148A"	"3"	"83"	"1"	"2"	"375"	"6"	"0"	"0"	"3"	"2"	"1"	"3"	"0"	"1"	"1"	"481"	"-"	"481"	""
"223"	"204"	"149"	"139"	"49"	"2"	"3"	"85"	"1"	"1"	"1"	"1"	"9"	"1"	"0"	"3"	"3"	"41"	"339"	"-"	"339"	""
"224"	"Sl.
No."	"No. of Polling Station"	"No. of Valid votes cast in favour of"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Total valid votes"	"No. of rejected votes"	"Total"	"No. of Tendered votes"
"225"	""	""	"Ehsanul Haque"	"Dr. Madan Mohan Jha"	"Shamim Ahmad"	"Shivan Yadav"	"Sanjay Saraogi"	"Abdul Allam"	"Khalikujjama"	"Navin Khatik"	"Raj Kumar Kanth"	"Shrawan Chaudhary"	"Bharat Yadav"	"Md.
Mainuddin Ansari"	"Manoj Kumar Jha"	"Rajesh Kumar Singh"	"Ram Khelawan Mahto"	""	""	""	""
"226"	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"20"	"21"
"227"	"205"	"149A"	"14"	"104"	"0"	"2"	"267"	"1"	"0"	"1"	"1"	"2"	"6"	"1"	"0"	"1"	"3"	"403"	"-"	"403"	""
"228"	"206"	"150"	"2"	"65"	"0"	"4"	"398"	"4"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"476"	"-"	"476"	""
"229"	"207"	"151"	"14"	"273"	"8"	"1"	"106"	"1"	"3"	"3"	"4"	"3"	"5"	"0"	"3"	"2"	"7"	"433"	"-"	"433"	""
"230"	"208"	"151A"	"7"	"33"	"1"	"9"	"149"	"2"	"1"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"1"	"206"	"-"	"206"	""
"231"	"209"	"152"	"12"	"165"	"8"	"9"	"407"	"4"	"4"	"1"	"2"	"1"	"2"	"0"	"1"	"0"	"3"	"619"	"-"	"619"	""
"232"	"210"	"153"	"15"	"114"	"3"	"48"	"269"	"8"	"1"	"3"	"3"	"3"	"9"	"4"	"3"	"5"	"4"	"492"	"-"	"492"	""
"233"	"211"	"154"	"21"	"37"	"5"	"1"	"197"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"271"	"-"	"271"	""
"234"	"212"	"155"	"24"	"171"	"10"	"7"	"258"	"16"	"6"	"1"	"1"	"6"	"3"	"3"	"0"	"6"	"6"	"518"	"-"	"518"	""
"235"	"213"	"156"	"11"	"74"	"2"	"4"	"332"	"5"	"2"	"0"	"0"	"0"	"5"	"1"	"0"	"1"	"4"	"441"	"-"	"441"	""
"236"	"214"	"157"	"17"	"73"	"4"	"9"	"232"	"15"	"4"	"7"	"4"	"5"	"12"	"5"	"3"	"6"	"13"	"409"	"-"	"409"	""
"237"	"215"	"158"	"36"	"205"	"11"	"5"	"142"	"3"	"1"	"1"	"2"	"5"	"3"	"1"	"3"	"11"	"18"	"447"	"-"	"447"	""
"238"	"216"	"159"	"75"	"87"	"3"	"8"	"279"	"4"	"3"	"4"	"1"	"3"	"10"	"2"	"1"	"5"	"11"	"496"	"-"	"496"	""
"239"	"217"	"160"	"27"	"258"	"8"	"4"	"26"	"4"	"6"	"6"	"2"	"1"	"0"	"0"	"2"	"5"	"52"	"401"	"-"	"401"	""
"240"	"218"	"161"	"65"	"161"	"10"	"14"	"140"	"17"	"2"	"2"	"3"	"6"	"8"	"1"	"4"	"2"	"35"	"470"	"-"	"470"	""
"241"	"219"	"162"	"16"	"161"	"5"	"3"	"15"	"1"	"0"	"8"	"0"	"0"	"0"	"1"	"0"	"8"	"4"	"222"	"-"	"222"	""
"242"	"220"	"163"	"29"	"197"	"5"	"8"	"118"	"3"	"0"	"10"	"7"	"5"	"8"	"7"	"4"	"26"	"41"	"468"	"-"	"468"	""
"243"	"221"	"164"	"52"	"232"	"10"	"111"	"207"	"5"	"4"	"27"	"2"	"10"	"13"	"9"	"10"	"8"	"15"	"715"	"-"	"715"	""
"244"	"222"	"165"	"349"	"64"	"7"	"2"	"97"	"10"	"0"	"0"	"4"	"9"	"5"	"1"	"2"	"8"	"50"	"608"	"-"	"608"	""
"245"	"223"	"166"	"99"	"80"	"10"	"141"	"91"	"7"	"6"	"5"	"7"	"16"	"21"	"38"	"16"	"6"	"53"	"596"	"-"	"596"	""
"246"	"224"	"167"	"10"	"51"	"5"	"39"	"465"	"9"	"3"	"4"	"10"	"5"	"13"	"10"	"6"	"3"	"9"	"642"	"-"	"642"	""
"247"	"225"	"168"	"46"	"189"	"10"	"35"	"153"	"7"	"4"	"5"	"4"	"3"	"4"	"5"	"4"	"6"	"20"	"495"	"-"	"495"	""
"248"	"226"	"169"	"34"	"116"	"9"	"9"	"426"	"12"	"1"	"2"	"0"	"4"	"6"	"1"	"1"	"1"	"3"	"625"	"-"	"625"	""
"249"	"227"	"170"	"65"	"151"	"6"	"4"	"176"	"5"	"2"	"4"	"3"	"8"	"2"	"1"	"1"	"2"	"15"	"445"	"-"	"445"	""
"250"	"228"	"171"	"64"	"117"	"5"	"5"	"305"	"6"	"3"	"0"	"1"	"1"	"7"	"4"	"1"	"5"	"14"	"538"	"-"	"538"	""
"251"	"Total No. of votes recording at polling Stations"	""	"6595"	"28280"	"860"	"1350"	"53263"	"942"	"383"	"1159"	"389"	"570"	"940"	"562"	"430"	"852"	"2579"	"99154"	"-"	"99154"	""
"252"	"No. of votes"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	"Nil"	""	""	"Nil"	"Nil"	"Nil"	""
"253"	"Total Votes polled"	""	"6595"	"28280"	"860"	"1350"	"53263"	"942"	""	"1159"	"389"	"570"	"940"	"562"	"430"	""	""	"99154"	"-"	"99154"	""
"254"	"Place :   DARBHANGA                                                                                                                                                                                                                                                    Returning Officer"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"255"	"Date  :   22.11.2005                                                                                                                                                                                                                                                       89-Darbhanga"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
