"ernku.dsUnz.dh.la..k"	"fuEufyf.kr.vH.fFkZ.ks.ds.Ik.k.esa.fn..x..fof.kekU..erksa.dh.la..k"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"
"279"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"280"	"ROUND- XV"	""	""	""	""	""	""	""	""
"281"	"B.F.->"	"6550"	"31250"	"23034"	"4385"	"65219"	"0"	"0"	"65219"
"282"	"174"	"2"	"101"	"2"	"0"	"105"	""	""	"105"
"283"	"175"	"8"	"181"	"75"	"5"	"269"	""	""	"269"
"284"	"175A"	"10"	"186"	"21"	"5"	"222"	""	""	"222"
"285"	"176"	"12"	"165"	"245"	"14"	"436"	""	""	"436"
"286"	"177"	"27"	"47"	"284"	"37"	"395"	""	""	"395"
"287"	"178"	"21"	"118"	"186"	"20"	"345"	""	""	"345"
"288"	"178A"	"14"	"18"	"199"	"18"	"249"	""	""	"249"
"289"	"179"	"62"	"95"	"183"	"22"	"362"	""	""	"362"
"290"	"180"	"31"	"186"	"201"	"18"	"436"	""	""	"436"
"291"	"181"	"11"	"162"	"126"	"16"	"315"	""	""	"315"
"292"	"182"	"9"	"97"	"113"	"21"	"240"	""	""	"240"
"293"	"183"	"14"	"296"	"105"	"15"	"430"	""	""	"430"
"294"	"184"	"26"	"132"	"471"	"42"	"671"	""	""	"671"
"295"	"185"	"6"	"213"	"73"	"13"	"305"	""	""	"305"
"296"	"Round Total"	"253"	"1997"	"2284"	"246"	"4780"	"0"	"0"	"4780"
"297"	"C.F.->"	"6803"	"33247"	"25318"	"4631"	"69999"	"0"	"0"	"69999"
"298"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"299"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"300"	"ROUND -XVI"	""	""	""	""	""	""	""	""
"301"	"B.F.->"	"6803"	"33247"	"25318"	"4631"	"69999"	"0"	"0"	"69999"
"302"	"186"	"8"	"105"	"131"	"24"	"268"	""	""	"268"
"303"	"187"	"10"	"200"	"46"	"7"	"263"	""	""	"263"
"304"	"188"	"33"	"147"	"273"	"22"	"475"	""	""	"475"
"305"	"189"	"20"	"159"	"125"	"13"	"317"	""	""	"317"
"306"	"190"	"8"	"16"	"214"	"23"	"261"	""	""	"261"
"307"	"191"	"46"	"207"	"193"	"40"	"486"	""	""	"486"
"308"	"192"	"39"	"222"	"159"	"24"	"444"	""	""	"444"
"309"	"193"	"32"	"28"	"193"	"48"	"301"	""	""	"301"
"310"	"193A"	"8"	"30"	"216"	"24"	"278"	""	""	"278"
"311"	"194"	"53"	"351"	"14"	"15"	"433"	""	""	"433"
"312"	"195"	"107"	"95"	"164"	"68"	"434"	""	""	"434"
"313"	"196"	"128"	"175"	"103"	"20"	"426"	""	""	"426"
"314"	"197"	"215"	"65"	"148"	"20"	"448"	""	""	"448"
"315"	"198"	"264"	"14"	"25"	"16"	"319"	""	""	"319"
"316"	"Round Total"	"971"	"1814"	"2004"	"364"	"5153"	"0"	"0"	"5153"
"317"	"C.F.->"	"7774"	"35061"	"27322"	"4995"	"75152"	"0"	"0"	"75152"
"318"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"319"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"320"	"ROUND -XVII"	""	""	""	""	""	""	""	""
"321"	"B.F.->"	"7774"	"35061"	"27322"	"4995"	"75152"	"0"	"0"	"75152"
"322"	"199"	"24"	"49"	"243"	"40"	"356"	""	""	"356"
"323"	"200"	"28"	"48"	"210"	"22"	"308"	""	""	"308"
"324"	"201"	"12"	"38"	"211"	"37"	"298"	""	""	"298"
"325"	"202"	"12"	"30"	"391"	"16"	"449"	""	""	"449"
"326"	"203"	"28"	"21"	"424"	"28"	"501"	""	""	"501"
"327"	"204"	"35"	"106"	"222"	"60"	"423"	""	""	"423"
"328"	"205"	"26"	"54"	"202"	"19"	"301"	""	""	"301"
"329"	"206"	"30"	"90"	"283"	"38"	"441"	""	""	"441"
"330"	"207"	"52"	"289"	"189"	"19"	"549"	""	""	"549"
"331"	"208"	"265"	"113"	"43"	"24"	"445"	""	""	"445"
"332"	"209"	"20"	"50"	"366"	"48"	"484"	""	""	"484"
"333"	"210"	"31"	"105"	"207"	"36"	"379"	""	""	"379"
"334"	"211"	"33"	"136"	"142"	"20"	"331"	""	""	"331"
"335"	"212"	"11"	"143"	"70"	"18"	"242"	""	""	"242"
"336"	"Round Total"	"607"	"1272"	"3203"	"425"	"5507"	"0"	"0"	"5507"
"337"	"C.F.->"	"8381"	"36333"	"30525"	"5420"	"80659"	"0"	"0"	"80659"
"338"	"ernku dsUnz dh la[;k"	"fuEufyf[kr vH;fFkZ;ks ds Ik{k esa fn, x, fof/kekU; erksa dh la[;k"	""	""	""	""	""	""	""
"339"	""	"vdhy vgen"	"xqqaatqqaatss'ss'oj lkg"	"lqqjqqjssUssUnzzzz ;kno"	"bLrkd [kku"	"dqqyqqy  fof/kekU;  er"	"fufonr  erkssss dh  laa[aa[;k"	"izzfzzfr{kssfssfir  eri=kssaassaa dh  laa-aa-"	"dqqyqqy  fof/kekU;  ,oaaaa izzfzzfr{kssfssfir erkssss dh  laa[aa[;k"
"340"	"ROUND -XVIII"	""	""	""	""	""	""	""	""
"341"	"B.F.->"	"8381"	"36333"	"30525"	"5420"	"80659"	"0"	"0"	"80659"
"342"	"213"	"18"	"257"	"37"	"20"	"332"	""	""	"332"
"343"	"214"	"6"	"177"	"26"	"7"	"216"	""	""	"216"
"344"	"215"	"14"	"235"	"45"	"18"	"312"	""	""	"312"
"345"	"216"	"15"	"215"	"45"	"13"	"288"	""	""	"288"
"346"	"217"	"69"	"41"	"127"	"20"	"257"	""	""	"257"
"347"	"218"	"8"	"151"	"95"	"18"	"272"	""	""	"272"
"348"	"218A"	"23"	"234"	"44"	"9"	"310"	""	""	"310"
"349"	"219"	"48"	"50"	"204"	"32"	"334"	""	""	"334"
"350"	"220"	"32"	"190"	"39"	"9"	"270"	""	""	"270"
"351"	"221"	"98"	"174"	"65"	"34"	"371"	""	""	"371"
"352"	"222"	"24"	"111"	"30"	"6"	"171"	""	""	"171"
"353"	"223"	"18"	"37"	"79"	"12"	"146"	""	""	"146"
"354"	"224"	"9"	"78"	"39"	"8"	"134"	""	""	"134"
"355"	"Round Total"	"382"	"1950"	"875"	"206"	"3413"	"0"	"0"	"3413"
"356"	"C.F.->"	"8763"	"38283"	"31400"	"5626"	"84072"	"0"	"0"	"84072"
"357"	"Mkd eri=ks dh la[;k"	""	""	""	""	"0"	""	""	"0"
"358"	"Grand Total"	"8763"	"38283"	"31400"	"5626"	"84072"	"0"	"0"	"84072"
