"FORM.20"	"X."	"X..1"	"X..2"	"X..3"	"X..4"	"X..5"	"X..6"	"X..7"	"X..8"	"X..9"	"X..10"	"X..11"	"X..12"	"X..13"	"X..14"	"X..15"	"X..16"	"X..17"	"X..18"	"X..19"	"X..20"	"X..21"	"X..22"	"X..23"	"X..24"	"X..25"	"X..26"	"X..27"
"146"	"98"	"168"	"56"	""	"29"	""	"16"	""	"1"	""	"3"	""	"0"	""	"0"	""	"3"	""	"6"	""	"282"	""	""	""	""	""	""	""	""
"147"	"99"	"155"	"73"	""	"33"	""	"11"	""	"2"	""	"11"	""	"1"	""	"4"	""	"4"	""	"6"	""	"300"	""	""	""	""	""	""	""	""
"148"	"100"	"164"	"31"	""	"166"	""	"12"	""	"6"	""	"9"	""	"6"	""	"20"	""	"11"	""	"29"	""	"454"	""	""	""	""	""	""	""	""
"149"	"101"	"114"	"187"	""	"86"	""	"12"	""	"1"	""	"4"	""	"1"	""	"7"	""	"15"	""	"15"	""	"442"	""	""	""	""	""	""	""	""
"150"	"102"	"56"	"69"	""	"205"	""	"47"	""	"84"	""	"16"	""	"6"	""	"10"	""	"11"	""	"10"	""	"514"	""	""	""	""	""	""	""	""
"151"	"TOTAL"	"1337"	"1398"	""	"1848"	""	"299"	""	"178"	""	"68"	""	"39"	""	"99"	""	"87"	""	"116"	""	"5469"	""	""	""	""	""	""	""	""
"152"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"153"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"154"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"155"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""	""
"156"	"103"	"3"	"75"	""	"170"	""	"17"	""	"44"	""	"7"	""	"1"	""	"3"	""	"1"	""	"4"	""	"325"	""	""	""	""	""	""	""	""
"157"	"104"	"29"	"105"	""	"79"	""	"7"	""	"2"	""	"1"	""	"2"	""	"1"	""	"2"	""	"1"	""	"229"	""	""	""	""	""	""	""	""
"158"	"105"	"63"	"16"	""	"171"	""	"14"	""	"4"	""	"2"	""	"5"	""	"11"	""	"1"	""	"11"	""	"298"	""	""	""	""	""	""	""	""
"159"	"106"	"55"	"4"	""	"59"	""	"5"	""	"2"	""	"0"	""	"1"	""	"2"	""	"1"	""	"1"	""	"130"	""	""	""	""	""	""	""	""
"160"	"107"	"160"	"129"	""	"224"	""	"35"	""	"11"	""	"7"	""	"11"	""	"8"	""	"7"	""	"5"	""	"597"	""	""	""	""	""	""	""	""
"161"	"108"	"105"	"23"	""	"132"	""	"8"	""	"2"	""	"2"	""	"3"	""	"7"	""	"8"	""	"6"	""	"296"	""	""	""	""	""	""	""	""
"162"	"109"	"105"	"49"	""	"143"	""	"2"	""	"19"	""	"6"	""	"2"	""	"10"	""	"3"	""	"16"	""	"355"	""	""	""	""	""	""	""	""
"163"	"110"	"310"	"37"	""	"117"	""	"8"	""	"5"	""	"3"	""	"1"	""	"13"	""	"8"	""	"19"	""	"521"	""	""	""	""	""	""	""	""
"164"	"111"	"211"	"54"	""	"165"	""	"19"	""	"41"	""	"5"	""	"2"	""	"14"	""	"12"	""	"19"	""	"542"	""	""	""	""	""	""	""	""
"165"	"112"	"245"	"103"	""	"168"	""	"8"	""	"7"	""	"3"	""	"10"	""	"16"	""	"6"	""	"16"	""	"582"	""	""	""	""	""	""	""	""
"166"	"113"	"58"	"8"	""	"246"	""	"9"	""	"1"	""	"3"	""	"1"	""	"5"	""	"4"	""	"3"	""	"338"	""	""	""	""	""	""	""	""
"167"	"113A"	"37"	"9"	""	"74"	""	"32"	""	"90"	""	"13"	""	"2"	""	"4"	""	"3"	""	"8"	""	"272"	""	""	""	""	""	""	""	""
"168"	"114"	"138"	"107"	""	"98"	""	"24"	""	"8"	""	"4"	""	"0"	""	"10"	""	"4"	""	"7"	""	"400"	""	""	""	""	""	""	""	""
"169"	"115"	"55"	"101"	""	"90"	""	"15"	""	"33"	""	"8"	""	"2"	""	"13"	""	"3"	""	"7"	""	"327"	""	""	""	""	""	""	""	""
"170"	"TOTAL"	"1574"	"820"	""	"1936"	""	"203"	""	"269"	""	"64"	""	"43"	""	"117"	""	"63"	""	"123"	""	"5212"	""	""	""	""	""	""	""	""
"171"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"172"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"173"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"174"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""	""
"175"	"116"	"39"	"77"	""	"113"	""	"8"	""	"8"	""	"3"	""	"4"	""	"4"	""	"10"	""	"14"	""	"280"	""	""	""	""	""	""	""	""
"176"	"117"	"167"	"68"	""	"106"	""	"7"	""	"3"	""	"4"	""	"5"	""	"8"	""	"8"	""	"15"	""	"391"	""	""	""	""	""	""	""	""
"177"	"118"	"97"	"112"	""	"162"	""	"33"	""	"5"	""	"5"	""	"4"	""	"14"	""	"6"	""	"8"	""	"446"	""	""	""	""	""	""	""	""
"178"	"119"	"36"	"133"	""	"102"	""	"9"	""	"1"	""	"1"	""	"1"	""	"8"	""	"5"	""	"15"	""	"311"	""	""	""	""	""	""	""	""
"179"	"120"	"198"	"25"	""	"152"	""	"25"	""	"3"	""	"2"	""	"2"	""	"5"	""	"4"	""	"15"	""	"431"	""	""	""	""	""	""	""	""
"180"	"121"	"159"	"77"	""	"177"	""	"13"	""	"3"	""	"3"	""	"1"	""	"8"	""	"4"	""	"4"	""	"449"	""	""	""	""	""	""	""	""
"181"	"122"	"160"	"83"	""	"120"	""	"12"	""	"5"	""	"3"	""	"1"	""	"9"	""	"5"	""	"5"	""	"403"	""	""	""	""	""	""	""	""
"182"	"123"	"70"	"60"	""	"57"	""	"8"	""	"1"	""	"1"	""	"2"	""	"4"	""	"4"	""	"9"	""	"216"	""	""	""	""	""	""	""	""
"183"	"123A"	"107"	"31"	""	"113"	""	"13"	""	"1"	""	"1"	""	"1"	""	"0"	""	"1"	""	"2"	""	"270"	""	""	""	""	""	""	""	""
"184"	"124"	"104"	"85"	""	"206"	""	"31"	""	"0"	""	"5"	""	"2"	""	"13"	""	"4"	""	"9"	""	"459"	""	""	""	""	""	""	""	""
"185"	"125"	"179"	"4"	""	"15"	""	"8"	""	"0"	""	"1"	""	"1"	""	"5"	""	"3"	""	"6"	""	"222"	""	""	""	""	""	""	""	""
"186"	"126"	"247"	"19"	""	"119"	""	"6"	""	"7"	""	"3"	""	"1"	""	"11"	""	"6"	""	"8"	""	"427"	""	""	""	""	""	""	""	""
"187"	"127"	"418"	"18"	""	"5"	""	"9"	""	"21"	""	"3"	""	"4"	""	"9"	""	"10"	""	"26"	""	"523"	""	""	""	""	""	""	""	""
"188"	"128"	"231"	"52"	""	"34"	""	"8"	""	"4"	""	"2"	""	"0"	""	"12"	""	"4"	""	"5"	""	"352"	""	""	""	""	""	""	""	""
"189"	"TOTAL"	"2212"	"844"	""	"1481"	""	"190"	""	"62"	""	"37"	""	"29"	""	"110"	""	"74"	""	"141"	""	"5180"	""	""	""	""	""	""	""	""
"190"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"191"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"192"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"193"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""	""
"194"	"129"	"42"	"90"	""	"211"	""	"30"	""	"4"	""	"3"	""	"3"	""	"10"	""	"7"	""	"18"	""	"418"	""	""	""	""	""	""	""	""
"195"	"130"	"63"	"74"	""	"113"	""	"9"	""	"1"	""	"2"	""	"2"	""	"4"	""	"7"	""	"9"	""	"284"	""	""	""	""	""	""	""	""
"196"	"131"	"20"	"67"	""	"220"	""	"8"	""	"1"	""	"4"	""	"1"	""	"2"	""	"2"	""	"4"	""	"329"	""	""	""	""	""	""	""	""
"197"	"131A"	"21"	"135"	""	"141"	""	"26"	""	"3"	""	"5"	""	"2"	""	"5"	""	"7"	""	"2"	""	"347"	""	""	""	""	""	""	""	""
"198"	"132"	"116"	"94"	""	"365"	""	"29"	""	"4"	""	"1"	""	"2"	""	"7"	""	"5"	""	"5"	""	"628"	""	""	""	""	""	""	""	""
"199"	"133"	"60"	"78"	""	"83"	""	"28"	""	"2"	""	"13"	""	"4"	""	"6"	""	"4"	""	"10"	""	"288"	""	""	""	""	""	""	""	""
"200"	"134"	"73"	"60"	""	"104"	""	"13"	""	"1"	""	"1"	""	"1"	""	"4"	""	"2"	""	"2"	""	"261"	""	""	""	""	""	""	""	""
"201"	"135"	"150"	"193"	""	"96"	""	"42"	""	"4"	""	"10"	""	"5"	""	"6"	""	"12"	""	"16"	""	"534"	""	""	""	""	""	""	""	""
"202"	"136"	"64"	"85"	""	"54"	""	"47"	""	"13"	""	"6"	""	"4"	""	"4"	""	"3"	""	"8"	""	"288"	""	""	""	""	""	""	""	""
"203"	"136A"	"23"	"167"	""	"50"	""	"17"	""	"32"	""	"4"	""	"9"	""	"13"	""	"3"	""	"10"	""	"328"	""	""	""	""	""	""	""	""
"204"	"137"	"41"	"38"	""	"285"	""	"24"	""	"3"	""	"2"	""	"6"	""	"7"	""	"15"	""	"9"	""	"430"	""	""	""	""	""	""	""	""
"205"	"138"	"15"	"6"	""	"248"	""	"10"	""	"2"	""	"2"	""	"2"	""	"11"	""	"5"	""	"9"	""	"310"	""	""	""	""	""	""	""	""
"206"	"139"	"115"	"110"	""	"105"	""	"10"	""	"3"	""	"1"	""	"1"	""	"14"	""	"3"	""	"14"	""	"376"	""	""	""	""	""	""	""	""
"207"	"140"	"38"	"135"	""	"146"	""	"10"	""	"8"	""	"4"	""	"1"	""	"10"	""	"11"	""	"13"	""	"376"	""	""	""	""	""	""	""	""
"208"	"TOTAL"	"841"	"1332"	""	"2221"	""	"303"	""	"81"	""	"58"	""	"43"	""	"103"	""	"86"	""	"129"	""	"5197"	""	""	""	""	""	""	""	""
"209"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"210"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"211"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"212"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""	""
"213"	"141"	"56"	"268"	""	"140"	""	"12"	""	"4"	""	"2"	""	"5"	""	"12"	""	"7"	""	"11"	""	"517"	""	""	""	""	""	""	""	""
"214"	"142"	"144"	"258"	""	"169"	""	"8"	""	"4"	""	"4"	""	"3"	""	"10"	""	"3"	""	"3"	""	"606"	""	""	""	""	""	""	""	""
"215"	"143"	"57"	"329"	""	"134"	""	"18"	""	"6"	""	"1"	""	"2"	""	"14"	""	"4"	""	"12"	""	"577"	""	""	""	""	""	""	""	""
"216"	"144"	"95"	"147"	""	"78"	""	"69"	""	"9"	""	"6"	""	"8"	""	"4"	""	"4"	""	"13"	""	"433"	""	""	""	""	""	""	""	""
"217"	"145"	"47"	"150"	""	"174"	""	"45"	""	"11"	""	"3"	""	"4"	""	"5"	""	"1"	""	"10"	""	"450"	""	""	""	""	""	""	""	""
"218"	"146"	"33"	"141"	""	"94"	""	"32"	""	"6"	""	"36"	""	"3"	""	"10"	""	"4"	""	"2"	""	"361"	""	""	""	""	""	""	""	""
"219"	"147"	"127"	"120"	""	"119"	""	"32"	""	"6"	""	"1"	""	"6"	""	"6"	""	"3"	""	"7"	""	"427"	""	""	""	""	""	""	""	""
"220"	"148"	"34"	"176"	""	"77"	""	"52"	""	"4"	""	"5"	""	"0"	""	"3"	""	"2"	""	"2"	""	"355"	""	""	""	""	""	""	""	""
"221"	"149"	"32"	"62"	""	"141"	""	"55"	""	"7"	""	"2"	""	"3"	""	"6"	""	"8"	""	"5"	""	"321"	""	""	""	""	""	""	""	""
"222"	"150"	"75"	"151"	""	"261"	""	"92"	""	"4"	""	"6"	""	"4"	""	"13"	""	"7"	""	"4"	""	"617"	""	""	""	""	""	""	""	""
"223"	"151"	"18"	"74"	""	"116"	""	"16"	""	"5"	""	"8"	""	"2"	""	"5"	""	"9"	""	"13"	""	"266"	""	""	""	""	""	""	""	""
"224"	"152"	"51"	"198"	""	"53"	""	"77"	""	"5"	""	"7"	""	"2"	""	"6"	""	"11"	""	"10"	""	"420"	""	""	""	""	""	""	""	""
"225"	"153"	"60"	"222"	""	"44"	""	"73"	""	"3"	""	"6"	""	"6"	""	"7"	""	"13"	""	"28"	""	"462"	""	""	""	""	""	""	""	""
"226"	"154"	"63"	"173"	""	"103"	""	"21"	""	"4"	""	"2"	""	"3"	""	"6"	""	"7"	""	"8"	""	"390"	""	""	""	""	""	""	""	""
"227"	"TOTAL"	"892"	"2469"	""	"1703"	""	"602"	""	"78"	""	"89"	""	"51"	""	"107"	""	"83"	""	"128"	""	"6202"	""	""	""	""	""	""	""	""
"228"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"229"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"230"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"231"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""	""
"232"	"155"	"71"	"102"	""	"54"	""	"12"	""	"2"	""	"1"	""	"0"	""	"3"	""	"3"	""	"8"	""	"256"	""	""	""	""	""	""	""	""
"233"	"156"	"98"	"79"	""	"139"	""	"25"	""	"2"	""	"1"	""	"6"	""	"15"	""	"9"	""	"28"	""	"402"	""	""	""	""	""	""	""	""
"234"	"157"	"119"	"37"	""	"25"	""	"43"	""	"3"	""	"1"	""	"0"	""	"4"	""	"0"	""	"1"	""	"233"	""	""	""	""	""	""	""	""
"235"	"158"	"35"	"52"	""	"135"	""	"27"	""	"4"	""	"3"	""	"2"	""	"9"	""	"8"	""	"7"	""	"282"	""	""	""	""	""	""	""	""
"236"	"159"	"99"	"105"	""	"172"	""	"35"	""	"7"	""	"5"	""	"3"	""	"8"	""	"3"	""	"10"	""	"447"	""	""	""	""	""	""	""	""
"237"	"160"	"302"	"69"	""	"100"	""	"45"	""	"4"	""	"9"	""	"9"	""	"22"	""	"15"	""	"37"	""	"612"	""	""	""	""	""	""	""	""
"238"	"161"	"141"	"108"	""	"55"	""	"35"	""	"3"	""	"5"	""	"3"	""	"17"	""	"1"	""	"21"	""	"389"	""	""	""	""	""	""	""	""
"239"	"162"	"10"	"120"	""	"101"	""	"8"	""	"0"	""	"1"	""	"3"	""	"11"	""	"7"	""	"7"	""	"268"	""	""	""	""	""	""	""	""
"240"	"163"	"55"	"101"	""	"107"	""	"26"	""	"5"	""	"2"	""	"3"	""	"8"	""	"7"	""	"7"	""	"321"	""	""	""	""	""	""	""	""
"241"	"164"	"26"	"231"	""	"144"	""	"56"	""	"8"	""	"4"	""	"8"	""	"14"	""	"8"	""	"12"	""	"511"	""	""	""	""	""	""	""	""
"242"	"165"	"38"	"172"	""	"109"	""	"30"	""	"4"	""	"1"	""	"0"	""	"4"	""	"3"	""	"14"	""	"375"	""	""	""	""	""	""	""	""
"243"	"166"	"33"	"216"	""	"54"	""	"25"	""	"2"	""	"0"	""	"2"	""	"3"	""	"4"	""	"5"	""	"344"	""	""	""	""	""	""	""	""
"244"	"167"	"106"	"124"	""	"198"	""	"50"	""	"6"	""	"3"	""	"3"	""	"12"	""	"13"	""	"11"	""	"526"	""	""	""	""	""	""	""	""
"245"	"168"	"87"	"126"	""	"294"	""	"59"	""	"5"	""	"8"	""	"10"	""	"21"	""	"7"	""	"14"	""	"631"	""	""	""	""	""	""	""	""
"246"	"TOTAL"	"1220"	"1642"	""	"1687"	""	"476"	""	"55"	""	"44"	""	"52"	""	"151"	""	"88"	""	"182"	""	"5597"	""	""	""	""	""	""	""	""
"247"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"248"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"249"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"250"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""	""
"251"	"169"	"31"	"207"	""	"224"	""	"50"	""	"5"	""	"11"	""	"7"	""	"18"	""	"5"	""	"20"	""	"578"	""	""	""	""	""	""	""	""
"252"	"170"	"23"	"91"	""	"94"	""	"55"	""	"4"	""	"3"	""	"1"	""	"5"	""	"4"	""	"2"	""	"282"	""	""	""	""	""	""	""	""
"253"	"171"	"16"	"168"	""	"61"	""	"93"	""	"2"	""	"4"	""	"3"	""	"2"	""	"1"	""	"2"	""	"352"	""	""	""	""	""	""	""	""
"254"	"172"	"79"	"265"	""	"197"	""	"65"	""	"4"	""	"8"	""	"2"	""	"2"	""	"7"	""	"6"	""	"635"	""	""	""	""	""	""	""	""
"255"	"173"	"55"	"202"	""	"160"	""	"43"	""	"2"	""	"8"	""	"5"	""	"19"	""	"13"	""	"10"	""	"517"	""	""	""	""	""	""	""	""
"256"	"174"	"87"	"154"	""	"47"	""	"20"	""	"14"	""	"2"	""	"1"	""	"6"	""	"6"	""	"7"	""	"344"	""	""	""	""	""	""	""	""
"257"	"175"	"77"	"174"	""	"66"	""	"6"	""	"7"	""	"0"	""	"3"	""	"7"	""	"7"	""	"5"	""	"352"	""	""	""	""	""	""	""	""
"258"	"176"	"12"	"126"	""	"107"	""	"12"	""	"18"	""	"1"	""	"6"	""	"10"	""	"2"	""	"2"	""	"296"	""	""	""	""	""	""	""	""
"259"	"177"	"13"	"111"	""	"85"	""	"54"	""	"39"	""	"9"	""	"5"	""	"16"	""	"12"	""	"22"	""	"366"	""	""	""	""	""	""	""	""
"260"	"178"	"118"	"74"	""	"54"	""	"27"	""	"4"	""	"2"	""	"3"	""	"1"	""	"1"	""	"4"	""	"288"	""	""	""	""	""	""	""	""
"261"	"179"	"77"	"55"	""	"269"	""	"47"	""	"10"	""	"12"	""	"5"	""	"8"	""	"5"	""	"4"	""	"492"	""	""	""	""	""	""	""	""
"262"	"180"	"31"	"347"	""	"204"	""	"17"	""	"2"	""	"2"	""	"4"	""	"9"	""	"5"	""	"9"	""	"630"	""	""	""	""	""	""	""	""
"263"	"181"	"16"	"184"	""	"59"	""	"8"	""	"1"	""	"0"	""	"0"	""	"5"	""	"5"	""	"7"	""	"285"	""	""	""	""	""	""	""	""
"264"	"182"	"18"	"105"	""	"180"	""	"14"	""	"3"	""	"1"	""	"1"	""	"14"	""	"8"	""	"12"	""	"356"	""	""	""	""	""	""	""	""
"265"	"TOTAL"	"653"	"2263"	""	"1807"	""	"511"	""	"115"	""	"63"	""	"46"	""	"122"	""	"81"	""	"112"	""	"5773"	""	""	""	""	""	""	""	""
"266"	"FORM-20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"267"	"FINAL RESULT SHEET"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"268"	"ELECTOTION TO THE 38 TARAIYA JALALPUR LEGSTATIVE ASSEMBLY CONSTITUENCY-2005"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"269"	"Serial No.of Polling Station"	"Kamala Prasad Singh"	"Janak Singh"	""	"Ram Das Ray"	""	"Shallendr a Pratap"	""	"Setyendra Kr.Sahani"	""	"Nand Kishor Singh"	""	"Rananjay Kumar"	""	"Vijay Kumar"	""	"Binda Prasad Yadav"	""	"Virendra Yadav"	""	"Tatal of Valid Votes"	""	"No.of Rejected Votes"	""	"Tatal"	""	"No.of Tendered Votes"	""	""
"270"	"183"	"18"	"339"	""	"141"	""	"28"	""	"3"	""	"7"	""	"5"	""	"12"	""	"10"	""	"13"	""	"576"	""	""	""	""	""	""	""	""
"271"	"184"	"53"	"243"	""	"60"	""	"18"	""	"5"	""	"4"	""	"4"	""	"13"	""	"9"	""	"19"	""	"428"	""	""	""	""	""	""	""	""
"272"	"185"	"58"	"163"	""	"111"	""	"9"	""	"0"	""	"1"	""	"0"	""	"6"	""	"2"	""	"3"	""	"353"	""	""	""	""	""	""	""	""
"273"	"186"	"97"	"112"	""	"102"	""	"16"	""	"4"	""	"2"	""	"2"	""	"6"	""	"4"	""	"0"	""	"345"	""	""	""	""	""	""	""	""
"274"	"187"	"85"	"145"	""	"141"	""	"11"	""	"1"	""	"4"	""	"1"	""	"2"	""	"1"	""	"6"	""	"397"	""	""	""	""	""	""	""	""
"275"	"188"	"42"	"96"	""	"188"	""	"6"	""	"1"	""	"3"	""	"2"	""	"1"	""	"0"	""	"0"	""	"339"	""	""	""	""	""	""	""	""
"276"	"189"	"9"	"49"	""	"134"	""	"8"	""	"2"	""	"3"	""	"3"	""	"3"	""	"5"	""	"5"	""	"221"	""	""	""	""	""	""	""	""
"277"	"190"	"85"	"253"	""	"69"	""	"45"	""	"7"	""	"6"	""	"6"	""	"9"	""	"8"	""	"10"	""	"498"	""	""	""	""	""	""	""	""
"278"	"191"	"8"	"152"	""	"98"	""	"91"	""	"6"	""	"0"	""	"4"	""	"3"	""	"4"	""	"6"	""	"372"	""	""	""	""	""	""	""	""
"279"	"192"	"63"	"143"	""	"146"	""	"24"	""	"9"	""	"4"	""	"8"	""	"20"	""	"6"	""	"8"	""	"431"	""	""	""	""	""	""	""	""
"280"	"193"	"10"	"145"	""	"78"	""	"34"	""	"0"	""	"7"	""	"1"	""	"10"	""	"5"	""	"7"	""	"297"	""	""	""	""	""	""	""	""
"281"	"194"	"14"	"211"	""	"54"	""	"36"	""	"3"	""	"6"	""	"7"	""	"12"	""	"1"	""	"6"	""	"350"	""	""	""	""	""	""	""	""
"282"	"TOTAL"	"542"	"2051"	""	"1322"	""	"326"	""	"41"	""	"47"	""	"43"	""	"97"	""	"55"	""	"83"	""	"4607"	""	""	""	""	""	""	""	""
